id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5
12667,5,5,-0.636488,NA,NA,9258.416,NA
12865,5,5,-0.600653,NA,NA,9393.584,NA
13073,5,5,-1.01494,6027.572,NA,NA,NA
13347,5,5,-0.913687,NA,NA,13390.136,NA
13515,4.95886,4.72579,-1.11325,NA,NA,695.57,NA
13634,5,4.99872,-0.899909,NA,NA,11606.781,NA
13961,5,5,-0.737406,NA,NA,12457.507,NA
14040,5,4.77941,-1.01828,NA,NA,7772.701,NA
14391,5,5,-0.895582,NA,NA,14233.5,NA
14402,5,4.73358,-0.753369,NA,NA,13917.579,NA
14664,5,4.90931,-0.893325,NA,NA,18775.196,NA
14984,5,5,-0.7873,NA,NA,17236.053,NA
15053,4.71086,5,-1.00493,NA,NA,7074.018,NA
15250,4.95417,5,-1.04868,NA,NA,5349.555,NA
15527,4.93385,5,-0.816191,NA,NA,19251.424,NA
15786,5,4.89361,-0.815597,NA,NA,17227.194,NA
15830,5,5,-0.740586,NA,NA,12515.926,NA
16053,5,5,-0.716021,NA,NA,15924.842,NA
16283,4.98274,5,-2.03643,NA,NA,5875.007,NA
16546,5,3.76838,-0.869548,NA,NA,4973.963,NA
16622,4.82342,5,-0.78706,NA,NA,17114.4,NA
16980,5,5,-0.799931,NA,NA,13057.984,NA
17114,5,5,-0.943764,NA,NA,9967.823,NA
17355,5,5,-0.81932,NA,NA,13002.124,NA
17436,5,5,0.184844,NA,NA,1638.327,NA
17628,5,5,-0.607773,NA,NA,8763.629,NA
17901,5,4.65986,-0.494912,NA,NA,1583.47,NA
18177,5,5,-0.898437,NA,NA,11583.508,NA
18353,5,3.74342,-0.837944,NA,NA,4681.246,NA
18422,5,3.78328,-0.905623,NA,NA,4211.013,NA
18671,5,4.33067,-1.34699,NA,NA,6448.883,NA
18878,5,5,-0.927178,NA,NA,10620.881,NA
19029,4.64195,4.82048,-0.580327,NA,NA,7596.534,NA
19330,5,5,-0.841486,NA,NA,16468.823,NA
19522,4.92268,5,-0.908223,NA,NA,14246.86,NA
19712,5,5,-1.31951,4006.569,NA,NA,NA
19824,5,5,-1.46321,6656.832,NA,NA,NA
20038,5,5,-1.54517,4297.124,NA,NA,NA
20291,5,5,-0.846203,8235.911,NA,NA,NA
20501,5,5,-0.700289,NA,NA,15075.684,NA
20636,5,4.97031,-0.989696,NA,NA,8792.953,NA
20847,4.69455,5,-0.556978,NA,NA,6653.821,NA
21105,5,5,-0.900861,NA,NA,11510.992,NA
21250,5,4.69139,-0.618927,NA,NA,7822.729,NA
21568,4.8746,5,0.2481,NA,NA,3781.657,NA
21773,4.07555,5,-0.0485814,NA,521.632,NA,NA
21822,5,4.5465,-0.947351,NA,NA,2318.246,NA
22155,5,5,-0.647804,NA,NA,12963.317,NA
22327,5,4.35934,-1.437,NA,NA,6417.528,NA
22534,5,4.74059,-1.91558,NA,NA,5224.833,NA
22715,4.35147,4.94296,-1.36672,NA,NA,7662.092,NA
22980,4.75207,5,-0.73683,NA,NA,14400.274,NA
23157,4.84641,5,-0.898633,NA,NA,15407.829,NA
23346,5,4.86857,-0.95387,NA,NA,15221.243,NA
23470,5,5,-0.865728,NA,NA,12397.444,NA
23795,5,5,-0.741529,NA,NA,16145.495,NA
23898,5,5,-0.684085,NA,NA,13455.202,NA
24086,5,5,-0.723332,NA,NA,12164.814,NA
24319,4.13336,5,-1.44787,NA,NA,4967.542,NA
24535,4.44832,5,-1.52586,NA,NA,2896.531,NA
24753,4.8226,5,-1.86295,NA,NA,4426.796,NA
24967,5,5,-2.82275,NA,NA,1424.075,NA
25122,5,5,-2.1694,NA,NA,4115.557,NA
25262,5,5,-0.971975,NA,NA,8708.494,NA
25519,5,5,-0.695198,NA,NA,15212.913,NA
25648,5,4.68182,-0.95461,NA,NA,8355.863,NA
25953,5,5,-1.99943,NA,NA,5546.972,NA
26133,4.96149,5,-3.09067,NA,NA,3240.823,NA
26385,5,5,-0.907957,NA,NA,14553.686,NA
26455,4.68945,5,-0.690782,NA,NA,10312.569,NA
26765,4.96577,5,-0.742011,3540.516,NA,NA,NA
26934,5,5,-0.871661,NA,NA,16306.854,NA
27151,4.97575,5,-0.9538,NA,NA,10515.557,NA
27201,5,4.29088,-2.60837,NA,NA,1638.223,NA
27587,5,2.77183,-0.874096,NA,NA,3427.699,NA
27647,4.66536,2.84208,-0.962379,NA,NA,1862.486,NA
27922,5,3.74292,-0.830805,NA,NA,4705.572,NA
28072,5,5,-1.28612,3098.301,NA,NA,NA
28265,5,5,-1.89906,NA,NA,5739.516,NA
28564,5,5,-2.12633,NA,NA,4255.237,NA
28621,5,5,-0.672748,NA,NA,10682.731,NA
28895,4.83871,5,-1.02314,NA,NA,7994.585,NA
29139,4.80779,5,-0.550968,NA,NA,6556.072,NA
29259,5,4.97452,-2.1236,NA,NA,4770.656,NA
29573,5,5,-2.15348,NA,NA,3666.656,NA
29640,5,5,-0.83101,NA,NA,12912.154,NA
29951,5,5,-0.681542,NA,NA,10985.599,NA
30150,5,5,-1.90833,NA,NA,5812.504,NA
30235,5,4.72804,-1.89758,NA,NA,4603.953,NA
30451,5,5,-1.37906,7054.431,NA,NA,NA
30637,5,5,-0.254404,3723.396,NA,NA,NA
30909,4.72176,5,-1.35372,NA,4183.093,NA,NA
31124,5,5,-2.05289,NA,NA,5346.857,NA
31348,4.25459,5,-1.65863,NA,NA,3272.394,NA
31438,4.88989,4.1413,-1.652,NA,NA,3250.642,NA
31757,5,4.95407,-0.748493,NA,NA,14908.825,NA
31853,4.65966,5,0.325394,NA,NA,2672.685,NA
32198,4.87674,5,-0.744475,NA,NA,16701.136,NA
32254,4.64326,5,-0.639103,NA,NA,6474.818,NA
32503,4.78342,5,-0.878357,NA,NA,15073.396,NA
32763,5,5,-0.930903,NA,NA,10480.189,NA
32873,5,4.69745,-0.86554,NA,NA,11772.677,NA
33112,4.37385,4.71837,-1.4917,NA,NA,5942.404,NA
33221,4.85536,4.74857,-1.95971,NA,NA,8121.063,NA
33480,4.73244,4.82599,-2.05946,NA,NA,7580.853,NA
33752,5,4.64915,-2.07927,NA,NA,4251.936,NA
33920,5,5,-1.02203,NA,NA,6087.806,NA
34059,5,4.68253,-2.03661,NA,NA,4823.652,NA
34211,5,5,-2.06542,NA,NA,6035.045,NA
34469,4.7755,4.90388,-0.754266,19894.58,NA,NA,NA
34675,5,5,-1.04885,NA,NA,4529.651,NA
34953,4.80794,5,-0.939415,NA,NA,13109.723,NA
35025,5,5,-0.908955,NA,NA,11257.074,NA
35331,4.80335,5,-0.81254,NA,NA,16742.592,NA
35508,5,5,-0.827348,NA,NA,12944.888,NA
35657,5,5,-0.80071,NA,NA,16060.03,NA
35929,5,4.91735,-0.744153,NA,NA,16024.695,NA
36132,5,5,-0.700739,NA,NA,11582.62,NA
36369,4.27119,5,-0.850643,NA,4443.209,NA,NA
36422,4.77536,5,-0.617416,NA,NA,10292.893,NA
36621,4.23197,5,-1.61471,NA,NA,4375.832,NA
36821,4.99962,4.66358,-0.645242,NA,NA,7641.75,NA
37103,5,3.70692,-0.589816,NA,NA,2385.258,NA
37264,5,5,-1.08147,NA,NA,3378.972,NA
37511,5,5,-2.09121,NA,NA,4880.699,NA
37683,4.33057,5,-1.36313,NA,NA,8695.454,NA
37810,3.40214,5,-1.42623,NA,NA,3163.462,NA
38141,3.27415,5,-1.30176,NA,NA,3509.912,NA
38202,4.9008,5,-0.887625,NA,NA,15481.492,NA
38500,5,4.90107,-0.64364,NA,NA,12447.521,NA
38636,4.95606,4.23498,-1.38276,NA,NA,8227.228,NA
38976,5,4.42936,-1.33651,NA,NA,3717.445,NA
39051,4.92158,4.63515,-2.14849,NA,NA,3106.494,NA
39260,5,4.97732,-0.785848,NA,NA,16862.155,NA
39471,5,5,-0.813488,NA,NA,13031.177,NA
39625,4.26508,5,-0.30486,NA,NA,3965.76,NA
39826,4.26134,5,-0.232641,NA,NA,4774.313,NA
40099,4.87057,4.71037,-0.981732,9004.001,NA,NA,NA
40247,5,5,-0.618147,NA,NA,8443.36,NA
40422,4.98044,5,-0.86462,NA,NA,13460.102,NA
40678,4.21575,5,-0.173031,NA,NA,4552.055,NA
40946,4.81614,4.73172,-0.792998,NA,NA,18506.206,NA
41034,5,5,-0.898513,NA,NA,11581.259,NA
41395,5,5,-0.839342,NA,NA,12822.248,NA
41490,4.83525,5,-0.786365,NA,NA,17255.34,NA
41600,5,4.78627,-0.784897,NA,NA,16279.442,NA
41841,5,5,-0.632987,NA,NA,9107.3,NA
42156,5,5,-0.654242,NA,NA,13133.111,NA
42278,5,5,-0.884385,NA,NA,11971.178,NA
42579,5,4.91215,0.349485,NA,NA,4421.908,NA
42754,5,5,-1.98928,NA,NA,5520.049,NA
42987,4.22327,5,-0.230075,NA,NA,4570.914,NA
43037,5,5,-0.554338,NA,NA,5253.725,NA
43345,5,4.98164,0.281015,NA,NA,3482.833,NA
43468,5,4.68901,-0.717866,NA,NA,10976.157,NA
43780,5,5,0.347987,NA,NA,3447.531,NA
43942,5,4.95098,1.18036,NA,NA,1889.187,NA
44155,5,4.88894,-0.856129,NA,NA,16564.248,NA
44339,5,5,-0.508812,NA,NA,2798.688,NA
44565,4.13251,5,-0.202766,NA,NA,3288.813,NA
44734,4.98027,4.98635,-0.550174,NA,NA,5782.943,NA
44980,5,4.93518,-0.740808,NA,NA,15439.939,NA
45174,5,5,-0.856156,NA,NA,12575.967,NA
45242,5,5,-0.912909,NA,NA,11126.531,NA
45428,5,4.76582,-1.02188,NA,NA,7304.778,NA
45727,5,4.86893,-0.951981,NA,NA,12804.581,NA
45881,5,4.64384,-0.90968,NA,NA,7795.823,NA
46109,5,4.67497,-0.84434,NA,NA,10807.669,NA
46278,4.88206,4.64879,-0.717271,NA,NA,11440.523,NA
46528,5,5,-0.652405,NA,NA,9916.574,NA
46628,5,5,-0.630432,NA,NA,8995.645,NA
46816,5,5,-2.96214,NA,NA,3150.412,NA
47071,4.92395,5,-1.10205,NA,NA,1590.031,NA
47283,5,4.9188,1.45345,NA,NA,2187.056,NA
47590,5,5,1.30364,NA,NA,2665.865,NA
47708,4.82269,5,-0.54866,NA,NA,6499.309,NA
47965,5,5,-0.52986,NA,NA,3940.752,NA
48055,4.75221,5,0.305878,NA,NA,3931.129,NA
48265,5,5,-0.650809,NA,NA,9852.803,NA
48547,5,4.93547,-0.961728,NA,NA,13414.249,NA
48781,5,5,-0.836278,NA,NA,12857.798,NA
48990,5,5,-1.84892,3299.136,NA,NA,NA
49134,5,5,-0.782746,NA,NA,13010.43,NA
49232,5,4.91801,-0.955242,10697.276,NA,NA,NA
49578,5,5,-1.38789,5838.034,NA,NA,NA
49755,5,4.39134,-1.28731,NA,NA,5442.665,NA
49886,5,5,-0.656759,NA,NA,10087.92,NA
50028,5,5,-0.731564,NA,NA,12342.724,NA
50333,5,5,-0.747764,NA,NA,12637.136,NA
50518,5,5,0.215104,NA,NA,3044.568,NA
50777,5,4.89916,-0.721022,NA,NA,NA,5253.392
50840,5,5,-1.29144,NA,NA,NA,3164.169
51103,5,4.85158,-1.03102,NA,NA,7428.195,NA
51220,4.3619,5,-1.12774,NA,NA,188.457,NA
51439,5,5,-0.621077,NA,NA,10527.534,NA
51755,5,5,-0.849978,NA,NA,12676.485,NA
51927,5,5,-0.969366,NA,NA,8832.285,NA
52154,4.83337,4.88049,-0.597126,9115.715,NA,NA,NA
52371,4.84714,4.78196,-0.816588,NA,NA,21489.322,NA
52475,4.69594,5,-0.674034,NA,NA,10113.569,NA
52602,4.81024,5,-2.15834,NA,NA,5459.45,NA
52941,5,5,-0.81644,NA,NA,13017.789,NA
53020,4.60443,5,-0.943191,NA,NA,6494.54,NA
53381,5,4.14693,-1.34562,NA,NA,4968.624,NA
53582,5,5,0.449044,NA,NA,2865.106,NA
53682,4.95108,5,0.342641,NA,NA,4107.328,NA
53925,5,5,-0.697566,NA,NA,11490.223,NA
54080,5,5,-0.924497,NA,NA,10719.945,NA
54338,5,5,-0.731686,NA,NA,12345.219,NA
54517,5,5,-0.906954,NA,NA,11321.522,NA
54658,5,5,-0.685485,NA,NA,14285.606,NA
54833,5,5,-0.624935,NA,NA,8751.611,NA
55057,5,5,-0.927403,NA,NA,12895.452,NA
55349,5,4.80614,-0.935025,NA,NA,16644.028,NA
55583,4.84061,5,-0.712729,NA,NA,15814.752,NA
55733,5,5,-0.878454,NA,NA,15005.49,NA
55979,5,5,-0.659134,NA,NA,10179.737,NA
56181,5,5,-1.02846,NA,NA,5722.226,NA
56249,5,4.27158,-1.34339,NA,NA,7326.983,NA
56537,4.75366,5,-1.03611,NA,NA,6135.714,NA
56735,5,5,-0.867,NA,NA,14940.912,NA
56882,5,5,-0.761972,NA,NA,12832.781,NA
57142,5,5,-0.741996,NA,NA,15174.488,NA
57378,5,3.47617,-1.24146,NA,NA,887.824,NA
57582,4.56776,5,-0.79781,NA,NA,4846.312,NA
57636,5,5,-0.926887,NA,NA,13260.632,NA
57987,5,5,-0.855978,NA,NA,12579.025,NA
58148,5,5,-0.985488,NA,NA,8045.275,NA
58275,4.42443,5,-0.216467,NA,NA,2844.538,NA
58476,4.90168,5,-0.598065,NA,NA,9746.484,NA
58632,5,4.85942,-0.671243,NA,NA,14169.016,NA
58928,5,4.371,-1.50749,NA,NA,5637.64,NA
59197,5,5,-0.882387,NA,NA,12021.703,NA
59222,5,4.9581,-0.968895,NA,NA,10320.619,NA
59576,5,5,-0.547233,NA,NA,4875.517,NA
59615,4.85037,4.8849,-0.539631,NA,NA,7862.201,NA
59917,5,5,-0.709267,NA,NA,11818.183,NA
60106,5,5,-1.03438,NA,NA,5380.922,NA
60272,5,5,-0.763369,12384.428,NA,NA,NA
60530,5,5,-0.628566,NA,NA,8913.382,NA
60767,4.87069,5,-1.04499,NA,NA,6331.287,NA
60942,4.86893,4.72197,-0.991183,NA,NA,10843.914,NA
61079,4.51453,5,-0.588725,NA,NA,105.489,NA
61357,5,4.75139,0.306578,NA,NA,3926.008,NA
61573,5,5,0.438647,NA,NA,2646.503,NA
61792,5,5,-0.808421,NA,NA,13047.859,NA
61858,4.84174,5,-1.90003,NA,NA,5771.832,NA
62008,5,5,-1.88543,3732.534,NA,NA,NA
62376,5,5,-0.820738,NA,NA,12993.466,NA
62561,4.84654,5,-0.85583,NA,NA,16744.405,NA
62680,5,5,-0.926703,NA,NA,10638.567,NA
62856,5,4.33289,-1.51642,NA,NA,6261.884,NA
63027,5,4.32961,-1.31446,NA,NA,5927.938,NA
63289,5,5,-1.99613,NA,NA,5540.571,NA
63512,5,5,-1.27892,NA,5342.839,NA,NA
63733,5,5,-0.175748,4863.795,NA,NA,NA
63831,5,4.22937,-1.46501,NA,NA,6977.64,NA
64178,5,5,-0.844626,NA,NA,12754.163,NA
64214,5,5,-0.765017,NA,NA,12866.943,NA
64405,5,5,-0.624101,NA,NA,8714.142,NA
64664,4.27126,5,-0.16771,NA,NA,5082.486,NA
64861,5,5,-0.671009,NA,NA,10620.75,NA
65054,4.82123,4.79438,-0.920009,NA,NA,18080.036,NA
65199,4.86749,5,-2.05089,NA,NA,8876.162,NA
65406,4.77678,5,-2.06922,NA,NA,6356.819,NA
65723,4.93428,5,-1.89079,NA,NA,6723.074,NA
65913,4.90881,5,-0.911054,8164.741,NA,NA,NA
66111,5,5,-2.06331,NA,NA,6599.953,NA
66257,5,5,-0.974271,9688.466,NA,NA,NA
66583,5,5,-0.813651,14153.593,NA,NA,NA
66723,5,5,-2.05894,NA,NA,5289.975,NA
66871,5,5,-1.9212,NA,NA,4775.229,NA
67063,5,5,-2.14359,NA,NA,3890.239,NA
67379,5,5,-1.05573,NA,NA,4117.454,NA
67454,5,5,-2.09758,NA,NA,5120.972,NA
67711,4.2926,5,-1.3078,NA,NA,6097.196,NA
67867,3.78054,4.92939,-0.893515,NA,NA,5427.642,NA
68072,3.72713,5,-0.930153,NA,NA,4817.567,NA
68390,5,4.79999,-0.576806,NA,NA,8215.203,NA
68596,4.75344,5,-0.674517,NA,NA,12478.193,NA
68648,5,5,-1.97074,NA,NA,5414.983,NA
68880,5,5,-1.88073,NA,NA,3871.87,NA
69193,5,4.67537,-0.808058,NA,NA,11078.537,NA
69324,5,5,-0.835565,NA,NA,12865.656,NA
69434,5,5,-1.10386,NA,NA,1425.207,NA
69757,4.2908,5,-1.37397,NA,NA,7129.591,NA
69866,5,5,-1.9804,NA,NA,5478.796,NA
70080,5,5,-1.97294,NA,NA,5431.259,NA
70206,4.9022,5,-0.971902,NA,NA,11328.759,NA
70456,5,5,-0.803559,10007.083,NA,NA,NA
70599,5,4.83872,-0.656002,NA,NA,13346.377,NA
70841,5,5,-0.622421,NA,NA,8638.317,NA
71029,5,5,-0.995467,NA,NA,7533.079,NA
71224,5,5,-0.694478,NA,NA,11397.871,NA
71560,5,5,-0.317891,2332.621,NA,NA,NA
71745,5,5,-2.03721,NA,NA,7239.241,NA
71994,5,5,-0.953402,NA,NA,9557.773,NA
72177,5,5,-1.02309,NA,NA,6060.525,NA
72392,4.19319,4.9186,-1.43048,NA,NA,10947.721,NA
72454,5,4.43058,-1.34781,NA,NA,3767.019,NA
72600,5,5,-0.752882,8600.178,NA,NA,NA
72839,5,5,-0.791315,NA,NA,13045.492,NA
73047,5,5,-0.55271,NA,NA,5167.326,NA
73259,5,5,-0.561428,NA,NA,5627.964,NA
73554,5,5,-0.7772,NA,NA,12975.775,NA
73780,4.85565,4.78286,-0.978467,NA,NA,13901.349,NA
73933,5,4.43175,0.666788,NA,NA,662.412,NA
74089,4.75312,5,0.305887,NA,NA,5244.238,NA
74279,4.75036,4.82373,-0.111361,6603.824,NA,NA,NA
74434,3.84139,5,-0.958698,NA,NA,4036.078,NA
74706,4.21997,5,-1.48471,NA,NA,6691.376,NA
74932,5,5,-0.951732,NA,NA,10304.272,NA
75185,5,5,-0.64523,NA,NA,9625.917,NA
75281,4.9789,5,-0.704722,NA,NA,12746.475,NA
75528,5,3.88494,-1.96858,NA,NA,1426.974,NA
75642,5,4.85276,-2.0507,NA,NA,7150.495,NA
75818,4.31714,3.74395,-1.61408,NA,NA,1607.118,NA
76046,5,5,-0.824935,NA,NA,15757.723,NA
76374,5,4.85035,-0.900972,NA,NA,15329.102,NA
76435,5,5,-1.03118,NA,NA,5565.953,NA
76702,5,5,-0.928563,4856.549,NA,NA,NA
76920,5,5,-0.751317,5016.256,NA,NA,NA
77041,4.27073,4.8874,-0.152969,NA,NA,6283.364,NA
77273,4.70029,5,0.358982,NA,NA,3282.618,NA
77475,4.54253,4.83738,-0.754491,NA,NA,3531.207,NA
77749,5,4.78199,-0.669534,NA,NA,13107.072,NA
77964,5,3.71809,-2.07958,NA,NA,1753.751,NA
78162,5,4.89621,-0.990725,NA,NA,10179.684,NA
78327,4.87259,5,0.332871,NA,NA,4603.74,NA
78415,5,5,-0.765306,NA,NA,12870.041,NA
78793,5,5,-0.888256,NA,NA,11870.007,NA
78848,4.27776,5,0.758663,NA,NA,2608.973,NA
79166,3.14774,5,-1.43774,NA,NA,3958.194,NA
79278,4.73046,5,-0.936242,NA,NA,11121.124,NA
79544,5,5,-2.14511,NA,NA,3856.521,NA
79755,5,4.76839,-2.61711,1787.19,NA,NA,NA
79814,5,5,-1.84691,3282.327,NA,NA,NA
80127,4.77464,5,-2.69959,NA,528.61,NA,NA
80276,4.19929,5,-1.38742,NA,NA,6530.928,NA
80458,4.73181,5,-0.714466,NA,NA,14350.577,NA
80656,5,5,-1.77942,NA,NA,328.717,NA
80993,4.95303,5,-1.44061,8721.261,NA,NA,NA
81082,5,5,-0.729797,NA,NA,12306.12,NA
81250,4.23838,4.97523,-1.17796,NA,NA,2335.489,NA
81490,5,5,-0.542708,NA,NA,4633.237,NA
81685,4.73537,5,-0.711235,NA,NA,17412.85,NA
81955,5,5,-0.555647,NA,NA,5323.074,NA
82172,5,3.69693,-0.695723,NA,1370.678,NA,NA
82199,4.86919,4.72924,-1.03615,NA,NA,7573.702,NA
82402,5,4.25169,-0.0533999,NA,NA,3528.949,NA
82793,4.90801,5,-0.763948,NA,NA,20171.053,NA
82828,5,5,-0.653574,NA,NA,9962.958,NA
83023,5,4.83299,-0.901437,NA,NA,15202.559,NA
83316,5,5,-0.565702,NA,NA,7063.686,NA
83407,5,4.96995,-0.921361,NA,NA,12177.818,NA
83749,5,5,-0.876662,NA,NA,13730.04,NA
83900,5,4.77419,-1.23254,NA,2909.122,NA,NA
84170,5,5,-1.60234,2682.039,NA,NA,NA
84302,4.78433,5,-0.584637,NA,NA,8501.488,NA
84559,5,5,-0.846337,NA,NA,12730.282,NA
84703,4.27476,5,-1.32688,NA,NA,6505.267,NA
84958,5,5,-0.994888,NA,NA,7563.291,NA
85140,5,5,-0.595848,NA,NA,9426.905,NA
85212,5,5,-0.802604,NA,NA,16898.311,NA
85557,5,5,0.219643,NA,NA,2828.477,NA
85773,5,5,-0.877446,9164.673,NA,NA,NA
85928,5,5,-1.86612,NA,NA,3466.254,NA
86088,5,5,-0.729701,NA,NA,12304.106,NA
86306,5,4.75493,-0.851908,NA,NA,14744.979,NA
86560,4.86563,4.39095,-1.33778,NA,NA,7818.158,NA
86789,4.98736,4.98377,-1.83991,NA,NA,2983.317,NA
86969,5,5,-0.876349,NA,NA,12167.331,NA
87148,4.20825,5,-1.47835,NA,NA,6574.953,NA
87312,5,4.17846,-1.62056,1938.066,NA,NA,NA
87588,5,4.07868,-1.30164,NA,NA,2577.05,NA
87728,5,4.40458,-1.55606,NA,NA,4083.174,NA
87863,5,4.65455,-2.08677,NA,NA,3700.155,NA
88003,5,4.68114,0.300851,NA,NA,2952.698,NA
88374,5,4.98783,-0.979434,NA,NA,8792.827,NA
88570,5,4.68197,-1.03671,NA,NA,4614.962,NA
88635,5,5,-0.894644,NA,NA,14409.214,NA
88857,4.9733,4.27398,-1.36497,NA,NA,8989.309,NA
89138,5,3.78388,-0.770521,NA,NA,6285.62,NA
89260,5,3.75503,-0.854598,NA,NA,4651.278,NA
89472,5,4.1969,-1.54113,NA,NA,7009.745,NA
89727,5,4.28048,-1.4668,NA,NA,7242.273,NA
89926,5,5,-1.08278,NA,NA,2462.057,NA
90105,4.8192,5,-0.143798,5827.248,NA,NA,NA
90309,4.86277,4.95763,-0.63471,8755.211,NA,NA,NA
90584,4.91046,5,-0.250707,4977.553,NA,NA,NA
90748,5,4.82953,0.294819,NA,NA,5246.075,NA
90974,5,5,-0.750295,NA,NA,12676.321,NA
90997,5,4.99702,-1.27956,4841.516,NA,NA,NA
91267,5,5,-1.3579,6879.044,NA,NA,NA
91445,5,5,-2.0043,NA,NA,7120.239,NA
91686,5,5,-1.06077,NA,NA,3812.867,NA
91930,4.83789,5,-0.635511,NA,NA,16122.779,NA
92085,4.9461,5,-2.02814,NA,NA,6627.902,NA
92228,4.9196,5,-0.657259,NA,NA,12830.846,NA
92574,5,5,-1.00942,NA,NA,6787.762,NA
92607,4.96598,5,-0.691735,NA,NA,12880.549,NA
92953,5,5,-0.866799,NA,NA,12375.759,NA
92998,5,5,-0.937193,NA,NA,12826.398,NA
93248,5,5,-0.565406,NA,NA,5836.347,NA
93413,5,5,-0.743219,9508.22,NA,NA,NA
93693,5,5,-0.955104,NA,NA,9483.123,NA
93877,5,5,-1.98907,NA,NA,7356.473,NA
94017,4.92077,5,-0.696645,NA,NA,14523.712,NA
94247,5,5,-1.04232,NA,NA,6202.176,NA
94430,4.37673,4.44613,-0.637381,NA,NA,1404.514,NA
94674,5,4.18533,-1.44837,NA,NA,6323.797,NA
94904,5,5,-0.541976,NA,NA,4593.954,NA
95119,5,4.43983,-0.336016,NA,NA,1677.541,NA
95274,5,5,-0.865974,NA,NA,12392.494,NA
95498,5,5,-1.39798,NA,6732.195,NA,NA
95625,4.94504,5,-0.561548,NA,NA,8971.859,NA
95860,4.73128,5,-0.528508,NA,NA,5503.075,NA
96061,5,5,-1.84071,NA,NA,2667.976,NA
96203,5,5,-0.977372,NA,2760.197,NA,NA
96488,5,4.83297,-2.07996,NA,NA,6670.135,NA
