id,x0,x1,x2,fitness-4,fitness-2.5,fitness-1.5,fitness-3,fitness-2,fitness-3.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
9202,0.537449,1.55203,-5,NA,NA,NA,-57.998,NA,NA,NA,NA,NA,NA
9573,1.12729,1.08878,-4.66112,NA,-35.589,NA,NA,NA,NA,NA,NA,NA,NA
9618,0.758138,1.35212,-5,NA,-52.762,NA,NA,NA,NA,NA,NA,NA,NA
9900,1.80751,1.03435,-2.77643,NA,NA,NA,NA,-91.604,NA,NA,NA,NA,NA
10051,1.72164,2.24788,-2.90865,NA,-63.386,NA,NA,NA,NA,NA,NA,NA,NA
10382,2.57462,2.11579,-3.55532,NA,NA,NA,-50.891,NA,NA,NA,NA,NA,NA
10446,1.91082,2.35752,-4.17466,NA,NA,NA,-18.374,NA,NA,NA,NA,NA,NA
10773,1.36896,1.69538,-5,NA,-20.109,NA,NA,NA,NA,NA,NA,NA,NA
10827,1.27225,2.02553,-4.90624,NA,NA,NA,NA,-24.864,NA,NA,NA,NA,NA
11132,0.856081,2.43995,-5,NA,NA,-59.384,NA,NA,NA,NA,NA,NA,NA
11248,0.407093,2.11284,-5,NA,NA,NA,NA,-63.226,NA,NA,NA,NA,NA
11597,0.519419,2.33131,-5,NA,-60.386,NA,NA,NA,NA,NA,NA,NA,NA
11635,1.66771,2.29559,-5,NA,NA,NA,NA,-27.856,NA,NA,NA,NA,NA
11977,1.67855,2.49586,-3.46022,NA,NA,NA,NA,-48.373,NA,NA,NA,NA,NA
12125,2.26792,2.40949,-4.12779,NA,-22.698,NA,NA,NA,NA,NA,NA,NA,NA
12231,1.891,0.865851,-4.13233,NA,NA,NA,NA,-45.689,NA,NA,NA,NA,NA
12499,2.45758,2.7967,-5,NA,NA,NA,NA,-54.603,NA,NA,NA,NA,NA
12778,1.18742,2.16853,-3.75282,NA,NA,NA,NA,-29.124,NA,NA,NA,NA,NA
12904,2.2162,1.82846,-3.76233,NA,NA,NA,NA,NA,NA,-65.984,NA,NA,NA
13158,2.35121,1.29808,-4.72992,NA,NA,NA,-21.017,NA,NA,NA,NA,NA,NA
13352,2.40379,1.44266,-4.51233,NA,NA,NA,-22.147,NA,NA,NA,NA,NA,NA
13472,2.52965,2.49795,-4.50283,NA,NA,NA,NA,NA,-57.233,NA,NA,NA,NA
13724,1.08483,1.89824,-4.12857,NA,NA,NA,-23.408,NA,NA,NA,NA,NA,NA
13998,1.33404,1.92248,-2.9887,NA,-55.164,NA,NA,NA,NA,NA,NA,NA,NA
14032,1.30745,1.40638,-4.01725,NA,NA,NA,NA,-15.938,NA,NA,NA,NA,NA
14336,1.01496,2.06572,-4.5407,NA,-23.325,NA,NA,NA,NA,NA,NA,NA,NA
14536,1.77208,2.79572,-4.48825,NA,NA,NA,NA,-42.619,NA,NA,NA,NA,NA
14730,1.78921,2.62832,-4.93391,NA,NA,-47.656,NA,NA,NA,NA,NA,NA,NA
14804,1.18699,1.03595,-5,NA,-48.657,NA,NA,NA,NA,NA,NA,NA,NA
15165,0.627058,2.12197,-3.61187,NA,NA,NA,-56.156,NA,NA,NA,NA,NA,NA
15364,1.37061,1.58653,-4.82225,NA,-14.05,NA,NA,NA,NA,NA,NA,NA,NA
15417,1.80972,2.13242,-4.7851,NA,NA,-30.161,NA,NA,NA,NA,NA,NA,NA
15623,2.27104,1.42797,-5,NA,NA,NA,-30.758,NA,NA,NA,NA,NA,NA
15845,2.71668,1.90612,-3.64798,NA,NA,NA,NA,NA,-67.503,NA,NA,NA,NA
16155,3.10631,1.48962,-4.50614,NA,-44.946,NA,NA,NA,NA,NA,NA,NA,NA
16349,2.05117,2.04265,-4.63302,NA,NA,NA,-14.53,NA,NA,NA,NA,NA,NA
16451,2.01226,2.39427,-5,NA,NA,NA,-32.451,NA,NA,NA,NA,NA,NA
16771,1.83637,2.30377,-4.92066,NA,NA,NA,NA,NA,NA,-70.442,NA,NA,NA
16939,3.1838,1.6754,-5,NA,NA,-71.411,NA,NA,NA,NA,NA,NA,NA
17032,1.21358,0.874638,-5,NA,NA,NA,-58.834,NA,NA,NA,NA,NA,NA
17380,0.223612,2.20888,-4.07596,NA,NA,NA,-67.727,NA,NA,NA,NA,NA,NA
17532,0.702213,1.35897,-4.5515,NA,-44.641,NA,NA,NA,NA,NA,NA,NA,NA
17787,0.650733,0.943776,-5,NA,NA,NA,NA,NA,-97.877,NA,NA,NA,NA
17984,1.40198,2.1831,-5,NA,NA,NA,-31.773,NA,NA,NA,NA,NA,NA
18133,1.9263,2.70688,-4.08501,NA,NA,NA,-36.371,NA,NA,NA,NA,NA,NA
18280,1.48376,1.92706,-5,NA,NA,NA,NA,NA,-31.362,NA,NA,NA,NA
18513,2.78046,2.48361,-4.49981,-76.891,NA,NA,NA,NA,NA,NA,NA,NA,NA
18608,1.66225,2.46215,-4.4377,NA,-19.788,NA,NA,NA,NA,NA,NA,NA,NA
18807,2.55531,2.49505,-5,NA,NA,NA,NA,-46.218,NA,NA,NA,NA,NA
19186,2.47509,1.38517,-5,NA,NA,-46.127,NA,NA,NA,NA,NA,NA,NA
19277,2.19155,1.91613,-4.3978,NA,-9.411,NA,NA,NA,NA,NA,NA,NA,NA
19404,2.29249,1.51675,-5,NA,NA,NA,NA,NA,-50.72,NA,NA,NA,NA
19722,2.50766,1.89465,-5,NA,NA,NA,NA,-37.25,NA,NA,NA,NA,NA
19944,1.58099,1.52578,-5,NA,NA,-43.401,NA,NA,NA,NA,NA,NA,NA
20198,1.77299,1.1195,-5,NA,NA,NA,NA,-30.756,NA,NA,NA,NA,NA
20261,1.06733,1.55747,-4.33944,NA,NA,NA,-19.915,NA,NA,NA,NA,NA,NA
20401,2.17686,1.49353,-4.31553,NA,NA,NA,NA,NA,NA,-60.363,NA,NA,NA
20685,0.861037,2.3322,-4.20856,NA,NA,-57.531,NA,NA,NA,NA,NA,NA,NA
20984,2.99861,2.31572,-4.35538,NA,NA,NA,NA,-47.465,NA,NA,NA,NA,NA
21084,2.12575,1.61231,-5,NA,-17.72,NA,NA,NA,NA,NA,NA,NA,NA
21344,1.91102,1.05567,-4.67859,NA,-18.292,NA,NA,NA,NA,NA,NA,NA,NA
21427,1.65904,2.12202,-5,NA,-19.7,NA,NA,NA,NA,NA,NA,NA,NA
21723,1.76334,1.70078,-4.21086,NA,NA,NA,NA,-11.073,NA,NA,NA,NA,NA
21907,1.56865,1.42119,-4.68188,NA,NA,NA,NA,NA,-25.938,NA,NA,NA,NA
22170,0.916601,1.9181,-3.98405,NA,NA,NA,NA,NA,-56.715,NA,NA,NA,NA
22295,1.42578,2.21153,-4.86973,NA,NA,NA,NA,NA,-36.251,NA,NA,NA,NA
22426,1.77689,2.25436,-5,NA,-21.686,NA,NA,NA,NA,NA,NA,NA,NA
22623,1.57256,1.91486,-3.92897,NA,NA,-35.812,NA,NA,NA,NA,NA,NA,NA
22999,1.31482,1.45723,-4.63256,NA,-12.556,NA,NA,NA,NA,NA,NA,NA,NA
23197,2.40191,2.40003,-3.90605,NA,-30.264,NA,NA,NA,NA,NA,NA,NA,NA
23361,1.73211,2.48695,-5,-72.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
23414,2.38084,2.56254,-4.54378,NA,NA,NA,NA,NA,-47.822,NA,NA,NA,NA
23681,1.95352,3.00931,-4.42266,NA,NA,NA,NA,-51.104,NA,NA,NA,NA,NA
23899,0.848589,2.91278,-5,NA,-64.318,NA,NA,NA,NA,NA,NA,NA,NA
24141,1.74132,1.44945,-5,NA,NA,NA,NA,NA,-42.575,NA,NA,NA,NA
24247,2.19489,1.96372,-3.96633,NA,NA,NA,-13.735,NA,NA,NA,NA,NA,NA
24401,1.86731,1.5775,-5,NA,NA,NA,NA,NA,-28.725,NA,NA,NA,NA
24708,1.25491,0.996914,-4.5826,NA,NA,NA,-38.244,NA,NA,NA,NA,NA,NA
24821,1.06391,0.599603,-3.79509,NA,NA,NA,NA,-116.84,NA,NA,NA,NA,NA
25174,1.03961,2.5283,-4.41402,NA,-32.866,NA,NA,NA,NA,NA,NA,NA,NA
25248,1.37507,2.53888,-5,NA,NA,NA,NA,NA,-47.585,NA,NA,NA,NA
25407,3.53554,1.91928,-5,NA,-79.248,NA,NA,NA,NA,NA,NA,NA,NA
25614,2.65642,2.91011,-4.89234,NA,-59.79,NA,NA,NA,NA,NA,NA,NA,NA
25929,2.21292,1.94227,-3.70744,NA,NA,NA,NA,-29.806,NA,NA,NA,NA,NA
26187,2.75784,2.08682,-3.93297,NA,-35.148,NA,NA,NA,NA,NA,NA,NA,NA
26280,2.38646,2.75427,-4.73572,NA,NA,NA,NA,-43.725,NA,NA,NA,NA,NA
26599,2.23062,2.1123,-4.1682,NA,NA,NA,NA,-15.352,NA,NA,NA,NA,NA
26766,1.84492,1.05937,-5,NA,NA,NA,NA,-39.847,NA,NA,NA,NA,NA
26923,2.1643,2.46438,-5,NA,-30.419,NA,NA,NA,NA,NA,NA,NA,NA
27189,1.55971,2.1179,-5,NA,NA,NA,NA,NA,NA,-68.136,NA,NA,NA
27325,1.73271,2.32155,-5,NA,-23.74,NA,NA,NA,NA,NA,NA,NA,NA
27460,2.49741,2.29598,-5,NA,NA,NA,NA,NA,-50.793,NA,NA,NA,NA
27668,1.96419,1.86859,-3.6163,NA,NA,NA,-28.268,NA,NA,NA,NA,NA,NA
27808,1.65299,1.94539,-4.95547,NA,NA,NA,-19.202,NA,NA,NA,NA,NA,NA
28181,1.07714,1.47349,-5,NA,-34.805,NA,NA,NA,NA,NA,NA,NA,NA
28399,0.262719,1.07256,-4.73771,NA,-97.157,NA,NA,NA,NA,NA,NA,NA,NA
28551,1.25627,1.67303,-4.47414,NA,-9.923,NA,NA,NA,NA,NA,NA,NA,NA
28728,2.63797,0.454697,-3.74368,NA,NA,NA,NA,-98.075,NA,NA,NA,NA,NA
28875,2.66636,1.28539,-4.83638,NA,NA,-61.832,NA,NA,NA,NA,NA,NA,NA
29155,1.90469,2.16939,-5,NA,NA,NA,-29.322,NA,NA,NA,NA,NA,NA
29299,3.12362,1.96994,-5,NA,NA,NA,-56.393,NA,NA,NA,NA,NA,NA
29574,2.79198,1.56606,-4.44627,NA,NA,NA,-30.477,NA,NA,NA,NA,NA,NA
29683,2.2071,1.15228,-5,NA,NA,NA,-34.831,NA,NA,NA,NA,NA,NA
29867,1.20397,1.53778,-5,NA,NA,NA,-35.221,NA,NA,NA,NA,NA,NA
30071,2.31085,0.603297,-5,NA,-69.703,NA,NA,NA,NA,NA,NA,NA,NA
30272,1.7698,1.61225,-5,NA,-15.027,NA,NA,NA,NA,NA,NA,NA,NA
30497,1.85969,1.14582,-5,NA,NA,NA,-34.152,NA,NA,NA,NA,NA,NA
30620,3.93498,1.39025,-5,NA,-111.849,NA,NA,NA,NA,NA,NA,NA,NA
30813,2.88372,0.778398,-4.52523,NA,-63.961,NA,NA,NA,NA,NA,NA,NA,NA
31068,2.24822,1.325,-2.89794,NA,-69.005,NA,NA,NA,NA,NA,NA,NA,NA
31371,2.24807,1.39736,-4.22959,NA,NA,NA,-15.231,NA,NA,NA,NA,NA,NA
31584,1.63518,1.62679,-3.73328,NA,NA,NA,NA,NA,-27.868,NA,NA,NA,NA
31744,1.04781,1.68014,-5,NA,NA,NA,-34.44,NA,NA,NA,NA,NA,NA
31979,0.773732,1.81157,-5,NA,NA,NA,NA,NA,-55.853,NA,NA,NA,NA
32059,1.91632,0.726428,-4.90903,NA,NA,NA,-58.205,NA,NA,NA,NA,NA,NA
32380,2.23969,1.11809,-5,NA,NA,NA,NA,NA,-51.931,NA,NA,NA,NA
32497,2.07487,0.71564,-5,NA,-53.625,NA,NA,NA,NA,NA,NA,NA,NA
32607,1.18393,1.0087,-4.4937,NA,NA,NA,NA,NA,-50.604,NA,NA,NA,NA
32974,1.00425,1.87457,-4.74247,NA,NA,NA,NA,NA,-47.1,NA,NA,NA,NA
33008,1.28754,1.91269,-4.87654,NA,NA,NA,NA,NA,NA,NA,-82.92,NA,NA
33235,0.915663,1.69135,-5,NA,NA,NA,NA,NA,-53.831,NA,NA,NA,NA
33434,1.34696,1.24958,-5,NA,NA,NA,-34.307,NA,NA,NA,NA,NA,NA
33620,1.55491,2.0623,-5,NA,NA,NA,-25.816,NA,NA,NA,NA,NA,NA
33862,1.89035,2.32186,-4.61001,NA,NA,NA,-19.491,NA,NA,NA,NA,NA,NA
34039,2.55386,2.59615,-3.79789,NA,-44.844,NA,NA,NA,NA,NA,NA,NA,NA
34218,1.49103,1.35775,-4.22144,NA,NA,NA,NA,-12.765,NA,NA,NA,NA,NA
34504,1.95495,1.04166,-5,NA,-31.937,NA,NA,NA,NA,NA,NA,NA,NA
34778,1.18677,0.884325,-3.96855,NA,NA,NA,-53.846,NA,NA,NA,NA,NA,NA
34822,1.15879,2.35023,-4.03621,NA,-25.327,NA,NA,NA,NA,NA,NA,NA,NA
35057,0.948731,1.158,-5,-82.076,NA,NA,NA,NA,NA,NA,NA,NA,NA
35296,0.803043,0.526784,-4.50611,NA,NA,NA,NA,NA,NA,NA,NA,-212.442,NA
35600,2.52978,1.945,-3.48165,NA,NA,NA,-43.699,NA,NA,NA,NA,NA,NA
35792,2.06717,2.18606,-4.37668,NA,NA,NA,NA,NA,-40.811,NA,NA,NA,NA
35827,1.80706,3.60381,-5,NA,NA,NA,-95.063,NA,NA,NA,NA,NA,NA
36171,2.29044,3.21048,-5,NA,-68.848,NA,NA,NA,NA,NA,NA,NA,NA
36251,1.92469,2.06386,-3.94854,NA,NA,NA,NA,NA,-28.952,NA,NA,NA,NA
36555,1.41139,3.07289,-4.53924,NA,NA,NA,-51.315,NA,NA,NA,NA,NA,NA
36709,2.23071,1.86455,-3.65054,NA,-21.26,NA,NA,NA,NA,NA,NA,NA,NA
36969,1.23544,2.25518,-5,NA,NA,NA,-34.497,NA,NA,NA,NA,NA,NA
37155,1.1791,1.93901,-4.0275,NA,NA,NA,-21.209,NA,NA,NA,NA,NA,NA
37228,0.764808,1.7568,-5,NA,NA,NA,NA,-46.831,NA,NA,NA,NA,NA
37529,1.59983,2.00776,-4.29389,NA,NA,-34.071,NA,NA,NA,NA,NA,NA,NA
37677,1.95133,2.44106,-5,NA,NA,NA,NA,NA,NA,-78.782,NA,NA,NA
37875,2.28365,2.04634,-4.82736,NA,NA,-30.47,NA,NA,NA,NA,NA,NA,NA
38146,1.7991,2.88175,-5,NA,NA,NA,NA,NA,NA,-82.366,NA,NA,NA
38273,1.89259,2.10269,-5,NA,-18.411,NA,NA,NA,NA,NA,NA,NA,NA
38538,2.27468,0.7209,-3.43709,NA,NA,NA,-66.731,NA,NA,NA,NA,NA,NA
38734,2.40284,2.0899,-4.25224,NA,NA,NA,-19.492,NA,NA,NA,NA,NA,NA
38875,1.54752,3.18639,-4.06377,NA,NA,NA,-58.374,NA,NA,NA,NA,NA,NA
39076,1.5558,2.26755,-3.19115,NA,NA,NA,-46.446,NA,NA,NA,NA,NA,NA
39339,1.82353,1.69363,-4.28087,NA,NA,NA,NA,NA,-31.755,NA,NA,NA,NA
39506,1.55875,1.0829,-5,NA,-32.435,NA,NA,NA,NA,NA,NA,NA,NA
39709,2.75917,2.07165,-4.23827,NA,NA,-46.469,NA,NA,NA,NA,NA,NA,NA
39916,1.32757,2.33476,-4.83546,NA,NA,-42.797,NA,NA,NA,NA,NA,NA,NA
40095,1.88151,3.13859,-4.49622,NA,NA,-65.896,NA,NA,NA,NA,NA,NA,NA
40271,2.12065,2.98171,-5,NA,NA,NA,NA,NA,NA,-112.932,NA,NA,NA
40534,0.75335,3.45253,-5,NA,NA,NA,NA,NA,NA,-136.754,NA,NA,NA
40625,0.809298,1.16922,-4.69273,NA,NA,NA,NA,-63.957,NA,NA,NA,NA,NA
40802,1.86407,1.43807,-4.94721,NA,-14.564,NA,NA,NA,NA,NA,NA,NA,NA
41023,2.50853,2.53862,-4.23037,NA,-33.109,NA,NA,NA,NA,NA,NA,NA,NA
41208,0.111115,2.60438,-4.2948,NA,-82.79,NA,NA,NA,NA,NA,NA,NA,NA
41432,1.31832,2.26899,-4.43757,NA,NA,NA,NA,-23.939,NA,NA,NA,NA,NA
41775,2.39433,1.63073,-4.73725,NA,NA,NA,NA,-21.278,NA,NA,NA,NA,NA
41930,2.62518,2.77697,-4.29223,NA,NA,NA,NA,-52.383,NA,NA,NA,NA,NA
42161,2.25436,3.20266,-4.59787,NA,NA,NA,NA,NA,-89.668,NA,NA,NA,NA
42216,2.46349,1.86009,-4.7416,NA,-18.775,NA,NA,NA,NA,NA,NA,NA,NA
42443,2.87821,1.41487,-5,NA,NA,NA,-51.975,NA,NA,NA,NA,NA,NA
42776,2.9744,2.50315,-5,NA,-58.764,NA,NA,NA,NA,NA,NA,NA,NA
42893,2.35691,1.59889,-3.42153,NA,-34.317,NA,NA,NA,NA,NA,NA,NA,NA
43143,2.74167,1.8979,-4.78808,NA,NA,NA,NA,-34.907,NA,NA,NA,NA,NA
43263,1.98081,3.05471,-5,NA,NA,NA,NA,NA,NA,-92.018,NA,NA,NA
43495,1.43935,1.46883,-4.20037,NA,NA,-32.271,NA,NA,NA,NA,NA,NA,NA
43725,1.31915,2.04645,-4.09732,NA,NA,NA,NA,-25.697,NA,NA,NA,NA,NA
43918,2.50931,2.45941,-4.38231,NA,-30.109,NA,NA,NA,NA,NA,NA,NA,NA
44095,2.44305,1.53991,-4.10734,NA,-16.793,NA,NA,NA,NA,NA,NA,NA,NA
44344,1.05558,0.971378,-4.92552,NA,NA,NA,-55.786,NA,NA,NA,NA,NA,NA
44410,2.51611,1.67949,-5,NA,NA,NA,-29.573,NA,NA,NA,NA,NA,NA
44794,1.28493,1.94542,-5,NA,NA,NA,-30.647,NA,NA,NA,NA,NA,NA
44842,2.67173,2.99417,-5,NA,NA,NA,-72.341,NA,NA,NA,NA,NA,NA
45010,2.6881,2.50964,-5,NA,NA,NA,NA,NA,-65.191,NA,NA,NA,NA
45206,1.66225,2.00676,-4.60711,NA,NA,NA,-10.477,NA,NA,NA,NA,NA,NA
45401,2.11812,2.23025,-5,NA,NA,NA,NA,-25.405,NA,NA,NA,NA,NA
45678,1.41613,2.02412,-5,NA,-21.035,NA,NA,NA,NA,NA,NA,NA,NA
45999,2.17405,3.15011,-5,NA,NA,NA,-71.54,NA,NA,NA,NA,NA,NA
46181,2.208,2.30516,-5,NA,-26.36,NA,NA,NA,NA,NA,NA,NA,NA
46400,2.22948,2.01789,-4.41879,NA,-11.947,NA,NA,NA,NA,NA,NA,NA,NA
46403,2.03256,1.41095,-4.7519,NA,NA,NA,-13.493,NA,NA,NA,NA,NA,NA
46780,1.33455,1.00631,-5,NA,-45.973,NA,NA,NA,NA,NA,NA,NA,NA
46837,2.52516,1.25915,-4.74615,NA,NA,NA,-32.216,NA,NA,NA,NA,NA,NA
47116,1.54625,1.63153,-5,NA,-16.566,NA,NA,NA,NA,NA,NA,NA,NA
47379,2.28523,1.05717,-4.77818,NA,NA,NA,NA,-31.124,NA,NA,NA,NA,NA
47521,2.01743,1.19088,-5,NA,NA,NA,NA,NA,-46.344,NA,NA,NA,NA
47799,1.85129,0.818635,-5,NA,NA,NA,-51.257,NA,NA,NA,NA,NA,NA
47974,2.19895,1.10163,-5,NA,NA,NA,NA,-38.777,NA,NA,NA,NA,NA
48145,1.93659,2.63596,-4.74683,NA,NA,NA,NA,-30.547,NA,NA,NA,NA,NA
48380,1.44451,2.43504,-5,NA,NA,-42.417,NA,NA,NA,NA,NA,NA,NA
48598,1.75654,1.85756,-5,NA,-15.554,NA,NA,NA,NA,NA,NA,NA,NA
48698,1.78303,2.3952,-3.25404,NA,NA,NA,NA,NA,-63.183,NA,NA,NA,NA
48882,1.40278,2.62941,-4.48788,NA,NA,NA,NA,-29.911,NA,NA,NA,NA,NA
49168,0.934312,2.1331,-4.87977,NA,NA,NA,-33.195,NA,NA,NA,NA,NA,NA
49377,1.79679,2.44243,-5,NA,NA,NA,NA,-29.886,NA,NA,NA,NA,NA
49564,1.75034,2.08824,-5,NA,-18.705,NA,NA,NA,NA,NA,NA,NA,NA
49661,1.32663,1.2015,-3.82469,NA,-25.441,NA,NA,NA,NA,NA,NA,NA,NA
49822,1.59077,1.78491,-4.15761,NA,NA,NA,NA,NA,-26.473,NA,NA,NA,NA
50197,1.91747,2.09136,-5,NA,NA,NA,-24.612,NA,NA,NA,NA,NA,NA
50319,2.41984,1.58287,-3.43811,NA,NA,NA,NA,-37.269,NA,NA,NA,NA,NA
50542,1.94249,1.09317,-3.63701,NA,NA,NA,NA,-39.939,NA,NA,NA,NA,NA
50757,0.843123,1.6738,-3.45062,NA,NA,NA,-50.93,NA,NA,NA,NA,NA,NA
50874,1.33522,1.35724,-5,NA,NA,NA,NA,-32.142,NA,NA,NA,NA,NA
51107,1.79507,2.56575,-5,NA,-31.229,NA,NA,NA,NA,NA,NA,NA,NA
51282,0.71178,1.73564,-4.06459,NA,-38.185,NA,NA,NA,NA,NA,NA,NA,NA
51498,1.0755,2.0276,-4.57502,NA,-20.898,NA,NA,NA,NA,NA,NA,NA,NA
51734,1.8404,1.35294,-4.49133,NA,-3.872,NA,NA,NA,NA,NA,NA,NA,NA
51989,1.31178,1.54849,-4.03327,NA,NA,NA,-14.871,NA,NA,NA,NA,NA,NA
52176,2.20663,1.71357,-4.69038,NA,NA,NA,-12.505,NA,NA,NA,NA,NA,NA
52201,1.41426,1.48074,-5,NA,NA,NA,NA,NA,-44.177,NA,NA,NA,NA
52568,1.90793,2.60453,-5,NA,NA,NA,-38.832,NA,NA,NA,NA,NA,NA
52729,0.78289,2.32788,-4.0369,NA,-40.73,NA,NA,NA,NA,NA,NA,NA,NA
52903,0.932934,2.88832,-4.02241,NA,NA,NA,NA,NA,-68.418,NA,NA,NA,NA
53076,2.44961,0.939826,-5,NA,NA,NA,NA,-50.375,NA,NA,NA,NA,NA
53388,1.77578,0.642185,-3.98807,NA,NA,NA,NA,-58.146,NA,NA,NA,NA,NA
53461,2.03439,0.930316,-4.27444,NA,NA,-44.913,NA,NA,NA,NA,NA,NA,NA
53655,2.12954,1.89828,-4.14734,NA,NA,NA,-12.156,NA,NA,NA,NA,NA,NA
53857,2.72665,2.27635,-3.73306,NA,NA,NA,-53.645,NA,NA,NA,NA,NA,NA
54062,2.71345,2.20759,-4.78188,NA,-33.467,NA,NA,NA,NA,NA,NA,NA,NA
54321,2.09875,2.46579,-5,NA,NA,-48.149,NA,NA,NA,NA,NA,NA,NA
54524,1.62749,2.04048,-5,NA,NA,NA,NA,-25.736,NA,NA,NA,NA,NA
54792,0.710308,1.3825,-4.40549,NA,NA,-70.413,NA,NA,NA,NA,NA,NA,NA
54882,1.06121,2.13962,-5,NA,NA,NA,NA,-41.96,NA,NA,NA,NA,NA
55166,1.89081,2.947,-5,NA,-49.512,NA,NA,NA,NA,NA,NA,NA,NA
55376,2.60751,1.47192,-4.74154,NA,NA,NA,NA,-30.696,NA,NA,NA,NA,NA
55433,1.25655,1.7957,-5,NA,NA,-38.341,NA,NA,NA,NA,NA,NA,NA
