id,x0,x1,x2,fitness1,fitness0,fitness-1,fitness-2,fitness-0.5,fitness-1.5,fitness2.5,fitness2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness0.5,fitness1.5,fitness-3,fitness-4,fitness-3.5,fitness-2.5,fitness-5,fitness-4.5
11209,0.779036,-0.714119,4.71035,NA,NA,NA,NA,NA,NA,NA,NA,NA,4495.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11505,1.70047,0.247189,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,619.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11777,4.15976,-0.285839,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3314.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11868,4.96273,-1.0266,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6702.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12113,3.78089,-1.24379,3.24912,NA,NA,NA,NA,NA,NA,NA,NA,NA,948.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12320,4.49568,-1.47541,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12430,5,-1.08946,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12621,5,-0.552685,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5165.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12920,5,-0.971245,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8743.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13095,2.55272,-0.0117298,4.98962,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13222,4.08669,-1.34757,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3202.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13402,4.51584,-1.30704,4.10003,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13755,5,-3.05877,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3069.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13899,5,-1.03577,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5300.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14020,4.2297,-0.21868,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4672.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14310,3.5838,-0.869616,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14517,3.35384,-0.0240398,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14700,2.55922,-0.63684,4.54912,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14823,3.30179,-0.377648,2.88573,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15026,3.14486,-0.309626,1.93438,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15196,2.17624,-0.559511,1.44998,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15436,2.27174,0.398485,2.2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15781,1.51067,-0.717215,2.20174,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15944,1.44565,0.425037,2.41758,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16085,1.40803,-1.29741,3.95847,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16388,1.11061,-0.692699,5,NA,NA,NA,NA,NA,NA,NA,NA,316.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16503,3.41109,0.0623287,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16777,4.14226,0.857458,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16801,4.12281,0.810741,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1358.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17144,4.90293,1.41268,4.51648,NA,NA,NA,NA,NA,NA,NA,NA,-19.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17384,4.90385,3.14423,3.48528,NA,NA,NA,NA,NA,NA,NA,NA,202.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17584,5,2.30522,4.23215,NA,NA,NA,NA,NA,NA,NA,NA,828.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17719,5,2.48208,4.79405,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17938,4.93336,0.90619,4.40421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18045,4.05396,0.314596,4.01405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
18252,4.32666,1.15781,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18582,5,2.20173,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18698,4.07623,0.168488,3.48888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.459,NA,NA,NA,NA,NA,NA,NA,NA
18875,3.97582,1.39483,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19023,5,2.30461,5,NA,NA,NA,NA,NA,NA,NA,NA,2422.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19281,4.58887,2.78282,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.724,NA,NA,NA,NA,NA,NA,NA,NA,NA
19501,5,4.84656,4.34256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19708,5,4.73422,4.32181,NA,NA,NA,NA,NA,NA,NA,NA,6016.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19849,5,5,4.13897,NA,NA,NA,NA,NA,NA,NA,NA,NA,3876.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20058,5,3.58784,3.52349,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20218,5,3.8591,4.07081,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20502,5,5,4.57482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.313,NA,NA,NA,NA,NA,NA,NA,NA,NA
20671,4.7844,3.99406,5,NA,NA,NA,NA,NA,NA,NA,NA,138.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20937,5,4.61163,4.51529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21166,4.89883,4.08786,4.70169,NA,NA,NA,NA,NA,NA,NA,NA,2776.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21372,4.17178,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4541.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21470,3.41113,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21736,3.38521,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2593.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21912,4.84197,3.44845,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22092,4.20833,3.39511,2.48188,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22298,4.61545,4.04994,2.59992,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22479,5,4.45291,1.68999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22692,5,4.34898,1.64709,NA,NA,NA,NA,NA,NA,NA,NA,635.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22823,5,5,1.08369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23192,5,4.92728,0.645066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.684,NA,NA,NA,NA,NA,NA,NA,NA
23266,5,4.93001,-0.139046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3365.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
23460,5,5,0.337553,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23722,4.19334,3.74789,0.86664,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23914,4.36707,3.83598,-1.17232,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24115,5,4.60151,-0.704106,NA,NA,NA,NA,NA,NA,NA,NA,NA,5512.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24301,5,5,-1.98847,NA,NA,NA,NA,NA,NA,NA,NA,NA,5516.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24576,4.7359,5,-0.688921,NA,NA,NA,NA,NA,NA,NA,NA,NA,12374.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24679,3.83968,4.17756,-0.267028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1592.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24854,3.62129,3.86105,-0.00973144,NA,NA,NA,NA,NA,NA,NA,NA,127.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25180,3.79373,4.10725,1.06279,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25278,3.55849,4.11818,-0.00561501,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25505,4.01849,4.77764,0.0615198,NA,NA,NA,NA,NA,NA,NA,NA,160.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25726,4.45762,5,-0.272389,NA,NA,NA,NA,NA,NA,NA,NA,NA,1711.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25838,3.65739,5,-0.23355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.393,NA,NA,NA,NA,NA,NA,NA,NA,NA
26150,3.68434,5,-1.15121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26328,5,5,0.227957,NA,NA,NA,NA,NA,NA,NA,NA,2269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26558,4.93896,5,0.275584,NA,NA,NA,NA,NA,NA,NA,NA,NA,3886.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26768,4.41667,4.87818,-0.0469013,NA,NA,NA,NA,NA,NA,NA,NA,NA,2869.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26966,5,4.42406,1.03298,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27105,5,5,1.27475,NA,NA,NA,NA,NA,NA,NA,NA,NA,2520.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27381,4.754,5,2.22977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27442,5,5,3.02342,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27760,4.37505,4.32291,3.92376,NA,NA,NA,NA,NA,NA,NA,NA,318.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27951,2.50573,4.32095,3.21639,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28113,3.37759,3.76892,2.34553,NA,NA,NA,NA,NA,NA,NA,NA,169.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28382,5,5,2.37708,NA,NA,NA,NA,NA,NA,NA,NA,NA,2957.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28486,5,5,3.15296,NA,NA,NA,NA,NA,NA,NA,NA,NA,2348.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28699,5,5,2.53723,NA,NA,NA,NA,NA,NA,NA,NA,114.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28955,3.92923,5,4.27267,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29006,5,3.26585,4.2203,NA,NA,NA,NA,NA,NA,NA,NA,141.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29367,5,2.36537,3.68757,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29466,4.27512,2.47712,4.22007,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29771,5,1.3173,3.69419,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29972,5,-0.375591,4.01509,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30184,5,0.0683435,4.45754,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30330,5,-0.316225,4.25452,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30473,5,1.10442,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30622,5,1.12324,4.67982,NA,NA,NA,NA,NA,NA,NA,NA,NA,584.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30956,5,3.27084,5,NA,NA,NA,NA,NA,NA,NA,NA,3609.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31061,5,4.25164,4.72935,NA,NA,NA,NA,NA,NA,NA,NA,NA,6560.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31327,3.37656,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2695.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31407,2.474,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31685,2.6634,5,4.24315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31907,3.40044,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2396.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32035,4.3928,4.89629,5,NA,NA,NA,NA,NA,NA,NA,NA,4120.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32306,4.24806,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5475.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32483,5,5,4.32865,NA,NA,NA,NA,NA,NA,NA,NA,3241.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32653,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2899.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32906,4.10081,4.87915,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33085,5,5,4.35453,NA,NA,NA,NA,NA,NA,NA,NA,NA,4904.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33358,5,3.57597,5,NA,NA,NA,NA,NA,NA,NA,NA,559.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33480,5,3.3414,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
33624,5,2.48861,4.64543,NA,NA,NA,NA,NA,NA,NA,NA,NA,874.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33934,5,0.47579,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2694.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34135,5,1.50405,5,NA,NA,NA,NA,NA,NA,NA,NA,214.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
