id,x0,x1,x2,fitness-1,fitness-1.5,fitness-3,fitness-3.5,fitness-2.5,fitness-2,fitness-4
36942,1.41945,1.94533,-4.2458,NA,NA,-12.125,NA,NA,NA,NA
37142,1.28423,1.91998,-4.39409,NA,NA,-13.35,NA,NA,NA,NA
37371,1.493,2.21381,-3.96471,NA,NA,NA,NA,-16.145,NA,NA
37436,2.16598,1.17062,-5,NA,NA,NA,NA,-28.277,NA,NA
37604,1.9944,2.64494,-3.75298,NA,NA,NA,NA,-34.672,NA,NA
37908,1.83969,1.50909,-3.89074,NA,NA,-22.18,NA,NA,NA,NA
38132,2.06487,1.34985,-4.29565,NA,NA,NA,NA,-5.773,NA,NA
38330,2.17188,1.35526,-4.44651,NA,NA,-21.786,NA,NA,NA,NA
38547,1.71506,2.11651,-4.52807,NA,NA,-15.438,NA,NA,NA,NA
38714,0.906475,1.77825,-3.72536,NA,NA,NA,NA,NA,-39.861,NA
38866,1.7118,2.07531,-5,NA,NA,NA,NA,-18.081,NA,NA
39160,1.51505,2.21763,-4.81118,NA,NA,NA,NA,-17.286,NA,NA
39296,2.21555,1.61422,-4.74953,NA,NA,NA,NA,-12.557,NA,NA
39421,0.943708,1.22042,-4.5852,NA,NA,NA,NA,NA,-41.437,NA
39754,1.55252,2.21662,-4.60465,NA,NA,-14.601,NA,NA,NA,NA
39819,1.39419,3.0591,-4.56269,NA,NA,NA,NA,-49.449,NA,NA
40022,1.10612,1.59255,-4.65877,NA,NA,NA,NA,-20.731,NA,NA
40265,2.22828,2.23604,-5,NA,NA,-26.997,NA,NA,NA,NA
40513,1.86203,1.82636,-5,NA,NA,NA,NA,-15.152,NA,NA
40724,2.61171,1.66565,-4.52214,NA,NA,NA,NA,NA,-25.286,NA
40936,1.92368,1.83993,-3.63433,NA,NA,-22.515,NA,NA,NA,NA
41054,1.99344,1.30316,-4.41994,NA,NA,NA,NA,-6.143,NA,NA
41312,1.73714,1.36493,-4.27452,NA,NA,NA,NA,-2.385,NA,NA
41529,2.36111,1.54825,-4.09265,NA,NA,NA,NA,-12.793,NA,NA
41735,2.33069,2.17174,-3.93784,NA,NA,NA,NA,NA,-23.063,NA
41878,1.57532,1.9756,-3.68689,NA,NA,NA,NA,-16.961,NA,NA
42045,1.87334,1.61797,-5,NA,NA,-18.804,NA,NA,NA,NA
42228,1.33586,1.87718,-4.09047,NA,NA,NA,-24.936,NA,NA,NA
42524,1.62949,1.30743,-5,NA,NA,-24.061,NA,NA,NA,NA
42741,1.97122,1.76831,-5,NA,NA,-18.722,NA,NA,NA,NA
42825,1.61287,1.33926,-4.11186,NA,NA,-14.902,NA,NA,NA,NA
43020,2.50182,1.29077,-4.39878,NA,NA,NA,NA,-20.718,NA,NA
43232,1.95648,1.04592,-3.98037,NA,NA,NA,NA,-19.032,NA,NA
43511,1.97515,1.4895,-4.28041,NA,NA,NA,NA,NA,-5.746,NA
43627,1.97679,1.66465,-5,NA,-33.347,NA,NA,NA,NA,NA
43820,1.72209,1.65636,-4.47425,NA,-27.147,NA,NA,NA,NA,NA
44163,2.39494,1.24839,-4.77847,NA,NA,NA,NA,-23.004,NA,NA
44337,1.71932,1.36992,-5,NA,NA,NA,NA,NA,-23.233,NA
44565,1.59571,1.35017,-4.4469,NA,-27.144,NA,NA,NA,NA,NA
44604,2.08937,2.24147,-5,NA,NA,NA,NA,NA,-26.536,NA
44925,1.61578,1.80955,-3.66452,NA,NA,NA,NA,-16.848,NA,NA
45012,2.24493,1.33108,-5,NA,NA,-27.088,NA,NA,NA,NA
45325,0.850923,1.74607,-5,NA,NA,-40.752,NA,NA,NA,NA
45463,1.5969,1.81316,-5,NA,NA,-18.026,NA,NA,NA,NA
45689,1.97427,1.97933,-4.6674,NA,NA,NA,-22.42,NA,NA,NA
45857,1.55969,2.01516,-5,NA,NA,NA,NA,-17.933,NA,NA
46086,1.77272,1.38529,-5,NA,NA,NA,NA,-17.353,NA,NA
46334,1.80345,1.65549,-4.95651,NA,NA,NA,NA,-12.882,NA,NA
46568,2.76851,1.51192,-4.22824,NA,NA,NA,NA,-28.655,NA,NA
46712,2.17862,2.33092,-4.34994,NA,NA,NA,NA,-18.045,NA,NA
46987,2.5934,1.63361,-5,NA,NA,NA,NA,-30.672,NA,NA
47171,1.4626,1.47619,-3.80814,NA,NA,NA,NA,-15.007,NA,NA
47211,1.90665,1.71477,-4.82311,NA,NA,-16.607,NA,NA,NA,NA
47526,2.30163,1.80357,-4.08898,NA,NA,NA,NA,-11.552,NA,NA
47655,1.99453,2.32287,-5,NA,NA,-33.145,NA,NA,NA,NA
47956,1.61185,1.7834,-3.83772,NA,NA,NA,NA,-9.253,NA,NA
48166,1.75419,1.90464,-5,NA,NA,NA,NA,-15.46,NA,NA
48383,1.40853,1.91051,-5,NA,NA,NA,NA,-19.521,NA,NA
48406,1.84084,1.86556,-5,NA,NA,NA,NA,NA,-18.935,NA
48785,1.57921,2.26129,-5,NA,NA,-24.246,NA,NA,NA,NA
48803,2.00111,2.11069,-4.32504,NA,-32.118,NA,NA,NA,NA,NA
49151,1.23131,1.59695,-4.64518,NA,NA,NA,NA,NA,-17.772,NA
49337,1.71772,1.27436,-5,NA,NA,NA,NA,-21.447,NA,NA
49493,1.07886,1.78545,-4.49703,NA,NA,-20.535,NA,NA,NA,NA
49622,1.54115,2.30976,-4.97871,NA,NA,-28.917,NA,NA,NA,NA
49878,2.08094,2.53092,-4.3854,NA,NA,NA,NA,-22.718,NA,NA
50139,1.8333,2.23775,-4.1526,NA,NA,-22.721,NA,NA,NA,NA
50267,0.871915,2.17654,-4.26963,NA,NA,NA,NA,-31.002,NA,NA
50465,1.89242,1.06193,-4.68939,NA,NA,-24.957,NA,NA,NA,NA
50763,2.09617,2.14342,-4.43921,NA,NA,NA,NA,NA,-12.978,NA
50885,1.51175,1.56227,-4.7318,NA,NA,NA,NA,NA,-16.108,NA
51171,1.37751,1.36103,-5,NA,NA,-25.665,NA,NA,NA,NA
51279,1.44116,1.6027,-3.87293,NA,NA,NA,NA,-10.755,NA,NA
51447,1.51134,1.35282,-4.8303,NA,NA,-17.401,NA,NA,NA,NA
51742,1.73433,1.15492,-5,NA,NA,NA,-42.421,NA,NA,NA
51872,2.25679,2.35517,-5,NA,NA,NA,NA,-29.884,NA,NA
52047,2.03596,1.47913,-4.31851,NA,NA,NA,-19.294,NA,NA,NA
52384,1.67224,1.45511,-5,NA,NA,-19.485,NA,NA,NA,NA
52552,1.73966,1.1579,-3.97835,NA,NA,NA,NA,-13.082,NA,NA
52683,1.17396,1.27334,-3.68288,NA,NA,NA,NA,-33.696,NA,NA
52937,2.6289,1.33646,-3.88253,NA,NA,NA,NA,-30,NA,NA
53106,2.14137,1.72458,-4.3795,NA,NA,NA,NA,-5.924,NA,NA
53337,1.35551,1.72717,-3.71303,NA,NA,-26.25,NA,NA,NA,NA
53575,1.2108,1.49424,-4.05802,NA,NA,NA,-30.788,NA,NA,NA
53611,2.221,1.84271,-3.55507,NA,NA,NA,-38.052,NA,NA,NA
53882,1.76101,2.03472,-5,NA,NA,NA,NA,-17.177,NA,NA
54110,1.92441,1.60892,-4.73302,NA,-34.089,NA,NA,NA,NA,NA
54306,1.87213,1.96207,-4.55452,NA,NA,NA,NA,NA,-9.662,NA
54432,2.27413,1.38203,-4.2339,NA,NA,NA,NA,-11.029,NA,NA
54728,1.82852,1.69207,-4.34905,NA,NA,NA,-19.774,NA,NA,NA
54835,2.28936,1.66412,-3.90568,NA,NA,NA,NA,-14.28,NA,NA
55071,2.54182,1.46123,-3.89443,NA,NA,NA,NA,-25.159,NA,NA
55400,2.5476,1.9878,-4.00982,NA,NA,NA,NA,NA,-30.528,NA
55481,2.14638,1.92652,-4.5149,NA,NA,-10.763,NA,NA,NA,NA
55798,1.84723,1.90646,-5,NA,NA,NA,NA,-16.696,NA,NA
55931,1.95266,2.50327,-4.35996,NA,NA,NA,NA,-20.208,NA,NA
56005,2.12651,1.41306,-4.24178,NA,NA,-11.659,NA,NA,NA,NA
56242,1.52948,1.47656,-4.3145,NA,NA,NA,NA,-2.725,NA,NA
56430,1.69521,1.56023,-3.83009,NA,NA,NA,NA,-8.58,NA,NA
56656,1.29832,1.33899,-4.42462,NA,NA,NA,NA,-11.871,NA,NA
56822,2.07209,1.56309,-5,NA,NA,NA,NA,-16.542,NA,NA
57080,1.7941,1.73082,-5,NA,NA,-20.598,NA,NA,NA,NA
57356,2.00487,1.82281,-5,NA,NA,NA,NA,-15.872,NA,NA
57562,2.24728,1.72245,-4.50815,NA,NA,NA,NA,-9.94,NA,NA
57628,1.66809,1.76575,-4.01675,NA,NA,NA,NA,NA,-17.82,NA
57929,1.60603,2.37036,-3.85419,NA,NA,NA,NA,-21.086,NA,NA
58051,1.47752,1.64932,-3.83243,NA,NA,-17.266,NA,NA,NA,NA
58280,1.98482,2.34613,-4.33818,NA,-30.232,NA,NA,NA,NA,NA
58522,1.69765,2.01878,-4.07957,NA,NA,NA,NA,-6.869,NA,NA
58767,1.75253,1.98422,-5,NA,NA,NA,NA,NA,-21.816,NA
58961,1.85098,2.27671,-4.21843,NA,NA,NA,NA,-12.109,NA,NA
59171,1.6608,2.09712,-4.44365,NA,NA,-9.667,NA,NA,NA,NA
59312,2.27127,1.67561,-4.29211,NA,NA,-9.992,NA,NA,NA,NA
59521,1.32428,1.92511,-5,NA,NA,NA,NA,-21.138,NA,NA
59704,1.52646,1.47802,-4.78084,NA,NA,NA,NA,NA,-18.47,NA
59944,1.47991,1.03568,-4.56674,NA,NA,NA,NA,NA,-30.899,NA
60077,1.7087,1.09397,-4.74837,NA,NA,NA,NA,-19.924,NA,NA
60248,2.06575,1.99525,-4.8879,NA,NA,NA,NA,-15.319,NA,NA
60482,1.73967,1.60173,-4.35141,NA,NA,NA,NA,NA,-5.333,NA
60749,1.80233,1.96232,-3.5896,NA,NA,NA,NA,NA,-31.552,NA
60928,1.78555,2.02015,-4.39799,NA,NA,NA,NA,NA,-9.547,NA
61105,1.37095,2.15002,-4.61304,NA,NA,-16.763,NA,NA,NA,NA
61298,2.0147,1.69305,-4.99162,NA,NA,-25.037,NA,NA,NA,NA
61493,0.955748,2.19154,-4.8475,NA,NA,-33.165,NA,NA,NA,NA
61790,1.56622,2.23738,-5,NA,NA,NA,NA,-22.144,NA,NA
61889,1.80669,1.92088,-4.88875,NA,NA,NA,NA,-12.555,NA,NA
62015,1.8158,2.63311,-4.1701,NA,NA,NA,NA,-25.951,NA,NA
62296,1.62525,1.82425,-4.05752,NA,NA,NA,NA,NA,-7.052,NA
62407,1.61821,2.20669,-4.49756,NA,NA,NA,NA,-11.024,NA,NA
62624,1.66877,1.16784,-4.45601,NA,NA,NA,NA,NA,-22.661,NA
62917,1.59716,1.73948,-4.41386,NA,NA,NA,NA,NA,-4.981,NA
63158,1.21714,1.85128,-3.94865,NA,NA,NA,NA,NA,-21.835,NA
63331,1.83708,2.08351,-3.84763,NA,NA,NA,NA,-13.463,NA,NA
63537,0.905975,1.82576,-4.3284,NA,NA,NA,NA,-25.043,NA,NA
63614,2.17759,1.76635,-4.95459,NA,NA,NA,NA,NA,-18.324,NA
63867,1.73693,1.45075,-4.6036,NA,NA,NA,NA,-4.122,NA,NA
64024,1.73948,1.36367,-4.45682,NA,NA,-15.319,NA,NA,NA,NA
64232,1.85507,2.01098,-3.6799,NA,NA,-19.11,NA,NA,NA,NA
64452,1.73368,2.15163,-4.64574,NA,NA,-13.573,NA,NA,NA,NA
64749,1.59733,2.1332,-4.9361,NA,NA,NA,NA,-18.67,NA,NA
64981,2.77676,1.84562,-4.44334,NA,NA,NA,NA,NA,-35.739,NA
65200,1.47637,2.38391,-4.14123,NA,NA,NA,NA,NA,-26.765,NA
65353,1.43448,1.97227,-4.10149,NA,NA,NA,NA,NA,-18.509,NA
65546,1.44216,2.09894,-4.64524,NA,NA,NA,NA,-13.097,NA,NA
65674,1.54975,1.84343,-4.84165,NA,NA,NA,NA,-11.866,NA,NA
65984,1.28595,1.67568,-5,NA,NA,-27.127,NA,NA,NA,NA
66033,0.994835,1.51683,-4.48422,NA,NA,-24.205,NA,NA,NA,NA
66250,2.61985,1.88063,-4.54582,NA,NA,NA,NA,-21.875,NA,NA
66428,2.20272,1.44281,-4.2218,NA,NA,NA,NA,-7.988,NA,NA
66707,1.78238,1.79149,-3.96933,NA,NA,NA,NA,-5.03,NA,NA
66922,1.35786,1.87219,-3.80917,NA,NA,-21.028,NA,NA,NA,NA
67142,1.64929,2.36757,-4.84787,NA,NA,NA,NA,-21.55,NA,NA
67283,2.15725,1.10877,-4.52289,NA,NA,NA,-31.237,NA,NA,NA
