id,x0,x1,x2,fitness-1,fitness-0.5,fitness-2,fitness-3,fitness-2.5,fitness-3.5,fitness-4,fitness-1.5,fitness-4.5,fitness-5,fitness0
8722,1.9694,1.39237,-4.30582,NA,NA,-5.65,NA,NA,NA,NA,NA,NA,NA,NA
8820,2.57073,1.53028,-4.36367,NA,NA,NA,-20.768,NA,NA,NA,NA,NA,NA,NA
9028,1.27388,1.90737,-5,NA,NA,NA,NA,-22.329,NA,NA,NA,NA,NA,NA
9371,1.91533,1.52788,-4.89378,NA,NA,NA,NA,NA,NA,NA,-31.071,NA,NA,NA
9594,1.65061,2.19251,-5,NA,NA,NA,NA,NA,NA,NA,-35.807,NA,NA,NA
9628,2.11495,1.96613,-5,NA,NA,NA,NA,NA,NA,NA,-48.814,NA,NA,NA
9803,0.570316,1.75321,-4.94079,NA,NA,-55.737,NA,NA,NA,NA,NA,NA,NA,NA
10004,0.417018,3.31159,-5,NA,NA,NA,NA,-106.864,NA,NA,NA,NA,NA,NA
10286,1.19149,3.03548,-5,NA,NA,NA,-63.442,NA,NA,NA,NA,NA,NA,NA
10600,2.02744,1.48227,-3.98535,NA,NA,-16.02,NA,NA,NA,NA,NA,NA,NA,NA
10735,1.75494,2.39174,-4.79226,NA,NA,-27.308,NA,NA,NA,NA,NA,NA,NA,NA
10819,1.78283,1.90991,-4.57345,NA,NA,NA,NA,-5.037,NA,NA,NA,NA,NA,NA
11020,1.28245,2.11093,-5,NA,NA,-26.859,NA,NA,NA,NA,NA,NA,NA,NA
11210,0.991102,1.73814,-5,NA,NA,-35.903,NA,NA,NA,NA,NA,NA,NA,NA
11459,2.62375,1.87432,-4.20077,NA,NA,NA,NA,-22.422,NA,NA,NA,NA,NA,NA
11613,1.35308,2.0317,-4.29156,NA,NA,-17.436,NA,NA,NA,NA,NA,NA,NA,NA
11820,1.49918,2.09183,-4.49196,-75.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12136,0.391863,2.78765,-3.86667,-146.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12264,0.692266,2.30921,-4.71316,NA,NA,-56.082,NA,NA,NA,NA,NA,NA,NA,NA
12584,0.738704,2.60423,-5,NA,NA,NA,-57.324,NA,NA,NA,NA,NA,NA,NA
12737,0.615493,2.79229,-4.83833,NA,NA,NA,-65.842,NA,NA,NA,NA,NA,NA,NA
12961,0.627842,2.31422,-4.4747,NA,NA,NA,-44.889,NA,NA,NA,NA,NA,NA,NA
13117,1.63302,2.74224,-3.33126,NA,NA,NA,NA,NA,-76.456,NA,NA,NA,NA,NA
13335,2.52287,2.28413,-2.83591,NA,NA,NA,-99.42,NA,NA,NA,NA,NA,NA,NA
13575,2.57196,2.66915,-3.07533,NA,NA,NA,NA,NA,-109.41,NA,NA,NA,NA,NA
13693,2.06713,2.26982,-3.9765,NA,NA,NA,NA,-17.94,NA,NA,NA,NA,NA,NA
13834,1.63261,1.52555,-4.40835,NA,NA,-11.459,NA,NA,NA,NA,NA,NA,NA,NA
14039,2.09869,1.13669,-5,NA,NA,NA,-27.532,NA,NA,NA,NA,NA,NA,NA
14250,1.83901,2.46846,-4.69919,NA,NA,NA,NA,NA,NA,NA,-33.378,NA,NA,NA
14444,0.943233,1.33365,-5,NA,NA,NA,NA,NA,NA,NA,-61.646,NA,NA,NA
14669,1.28661,1.60915,-4.89366,NA,NA,NA,NA,NA,NA,NA,-44.985,NA,NA,NA
14913,2.24461,1.2659,-5,NA,NA,NA,-30.265,NA,NA,NA,NA,NA,NA,NA
15076,1.75273,2.25126,-5,NA,NA,NA,NA,NA,NA,NA,NA,-107.316,NA,NA
15338,1.81929,0.924745,-5,NA,NA,NA,NA,NA,-64.972,NA,NA,NA,NA,NA
15488,2.61939,1.85564,-4.60985,NA,NA,NA,-27.508,NA,NA,NA,NA,NA,NA,NA
15694,1.89907,1.01778,-3.96011,NA,NA,NA,NA,-20.396,NA,NA,NA,NA,NA,NA
15958,1.786,0.672116,-4.27081,-102.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16050,1.47424,1.06901,-3.82445,NA,NA,NA,NA,NA,NA,NA,-64.479,NA,NA,NA
16388,2.26336,1.27566,-5,NA,NA,NA,NA,NA,NA,NA,-48.052,NA,NA,NA
16507,1.39978,2.07755,-4.60602,NA,NA,-21.407,NA,NA,NA,NA,NA,NA,NA,NA
16763,0.715966,2.30974,-3.68377,NA,NA,NA,NA,-51.399,NA,NA,NA,NA,NA,NA
16942,1.69998,1.89422,-4.65537,NA,NA,NA,NA,-7.698,NA,NA,NA,NA,NA,NA
17152,2.14321,1.77242,-5,NA,NA,-19.103,NA,NA,NA,NA,NA,NA,NA,NA
17374,2.65568,1.29249,-5,NA,NA,NA,NA,NA,-50.881,NA,NA,NA,NA,NA
17534,2.84718,1.14752,-5,NA,NA,NA,-51.23,NA,NA,NA,NA,NA,NA,NA
17742,3.12722,0.590952,-5,NA,NA,NA,-92.762,NA,NA,NA,NA,NA,NA,NA
17928,3.18518,0.546602,-3.89939,NA,NA,NA,NA,NA,-108.735,NA,NA,NA,NA,NA
18088,2.42603,0.389378,-4.93365,NA,NA,NA,NA,NA,-97.041,NA,NA,NA,NA,NA
18259,2.00835,1.52259,-5,NA,NA,NA,NA,NA,-41.918,NA,NA,NA,NA,NA
18510,2.18263,2.29345,-4.86356,NA,NA,NA,NA,NA,NA,NA,NA,NA,-148.983,NA
18775,2.32511,2.2774,-3.61794,NA,NA,NA,NA,NA,NA,NA,NA,NA,-166.998,NA
18999,1.90304,2.17903,-4.30997,NA,NA,NA,NA,NA,-24.197,NA,NA,NA,NA,NA
19122,1.22646,1.51742,-4.2891,NA,NA,-23.177,NA,NA,NA,NA,NA,NA,NA,NA
19286,0.713132,1.78067,-4.43544,NA,NA,-39.36,NA,NA,NA,NA,NA,NA,NA,NA
19407,1.87558,2.43679,-5,NA,NA,NA,NA,NA,NA,NA,-51.529,NA,NA,NA
19789,2.21406,2.45469,-4.40371,NA,NA,-31.477,NA,NA,NA,NA,NA,NA,NA,NA
19855,1.5155,1.39416,-4.38097,-61.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20115,0.734286,1.89455,-3.11964,NA,NA,NA,-70.085,NA,NA,NA,NA,NA,NA,NA
20386,1.27055,1.73252,-5,NA,NA,NA,NA,NA,NA,NA,-37.715,NA,NA,NA
20600,1.35889,2.14692,-5,NA,NA,NA,NA,NA,-39.901,NA,NA,NA,NA,NA
20671,1.47526,0.763404,-5,NA,NA,NA,NA,NA,NA,NA,NA,-115.572,NA,NA
20809,2.39828,1.61059,-4.56872,NA,NA,NA,NA,-13.826,NA,NA,NA,NA,NA,NA
21020,2.45489,1.63973,-5,NA,NA,-36.995,NA,NA,NA,NA,NA,NA,NA,NA
21302,2.06139,1.42415,-5,NA,NA,NA,NA,-18.94,NA,NA,NA,NA,NA,NA
21437,1.59278,1.18473,-5,NA,NA,NA,NA,-26.965,NA,NA,NA,NA,NA,NA
21792,1.2627,0.935121,-5,NA,NA,NA,-52.654,NA,NA,NA,NA,NA,NA,NA
21822,1.70149,0.322396,-5,NA,NA,NA,-106.187,NA,NA,NA,NA,NA,NA,NA
22115,1.67917,0.972046,-5,NA,NA,NA,NA,NA,NA,NA,-74.738,NA,NA,NA
22246,2.80125,1.16426,-5,NA,NA,-53.331,NA,NA,NA,NA,NA,NA,NA,NA
22576,2.5598,0.864844,-4.82334,NA,NA,NA,NA,-47.941,NA,NA,NA,NA,NA,NA
22664,2.03602,0.733217,-4.86735,NA,NA,NA,NA,NA,-67.666,NA,NA,NA,NA,NA
22847,2.78112,2.78756,-5,NA,NA,-67.983,NA,NA,NA,NA,NA,NA,NA,NA
23087,3.89589,2.09317,-4.92502,NA,NA,-113.006,NA,NA,NA,NA,NA,NA,NA,NA
23336,2.96889,1.4319,-5,NA,NA,-51.409,NA,NA,NA,NA,NA,NA,NA,NA
23516,2.97898,2.22286,-5,NA,NA,NA,NA,-51.096,NA,NA,NA,NA,NA,NA
23617,2.23766,1.88594,-4.93839,NA,NA,-21.549,NA,NA,NA,NA,NA,NA,NA,NA
23824,3.06848,2.12949,-5,NA,NA,NA,NA,NA,NA,NA,-64.899,NA,NA,NA
24065,2.75503,1.86749,-4.83671,NA,NA,NA,NA,NA,NA,NA,-56.998,NA,NA,NA
24240,2.50694,2.45162,-4.05034,NA,NA,-40.368,NA,NA,NA,NA,NA,NA,NA,NA
24537,1.20732,0.746766,-4.93481,NA,NA,NA,-69.508,NA,NA,NA,NA,NA,NA,NA
24740,2.38053,0.611575,-4.84012,NA,NA,-70.627,NA,NA,NA,NA,NA,NA,NA,NA
24990,2.64103,0.743537,-4.61664,NA,NA,NA,NA,-56.748,NA,NA,NA,NA,NA,NA
25135,3.53977,2.58623,-4.93426,NA,NA,NA,-99.334,NA,NA,NA,NA,NA,NA,NA
25341,2.86756,2.25575,-5,NA,NA,-56.537,NA,NA,NA,NA,NA,NA,NA,NA
25446,1.68177,2.06469,-5,NA,NA,NA,NA,NA,NA,NA,-33.741,NA,NA,NA
25690,1.10897,2.30161,-5,NA,NA,-43.792,NA,NA,NA,NA,NA,NA,NA,NA
25903,1.32305,2.11065,-5,NA,NA,NA,NA,NA,-43.204,NA,NA,NA,NA,NA
26060,1.80634,1.54528,-5,NA,NA,NA,NA,NA,NA,NA,-35.49,NA,NA,NA
26318,1.19065,2.62341,-4.55718,NA,NA,-35.791,NA,NA,NA,NA,NA,NA,NA,NA
26551,0.573399,3.2175,-5,NA,NA,-99.548,NA,NA,NA,NA,NA,NA,NA,NA
26788,-0.35622,2.52555,-4.33198,NA,NA,NA,NA,-117.291,NA,NA,NA,NA,NA,NA
26883,1.48249,1.78413,-4.80992,NA,NA,NA,NA,-11.573,NA,NA,NA,NA,NA,NA
27152,1.34941,1.85101,-4.67639,NA,NA,NA,NA,NA,-24.707,NA,NA,NA,NA,NA
27351,1.08381,0.960339,-5,NA,NA,NA,NA,-58.356,NA,NA,NA,NA,NA,NA
27475,1.09315,1.469,-5,NA,NA,NA,NA,NA,NA,NA,-58.098,NA,NA,NA
27792,2.0028,2.53461,-5,NA,NA,NA,NA,NA,NA,NA,-51.006,NA,NA,NA
27835,1.11676,1.88281,-5,-83.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28197,1.45058,2.29007,-4.29424,NA,NA,-22.843,NA,NA,NA,NA,NA,NA,NA,NA
28385,2.23131,2.76424,-4.1622,NA,NA,NA,-41.997,NA,NA,NA,NA,NA,NA,NA
28566,2.27607,0.834748,-4.49845,NA,NA,NA,NA,-35.601,NA,NA,NA,NA,NA,NA
28759,1.20749,2.04712,-4.63409,NA,NA,NA,NA,NA,NA,NA,-42.222,NA,NA,NA
28981,2.05826,1.74676,-2.80334,NA,NA,-77.197,NA,NA,NA,NA,NA,NA,NA,NA
29088,2.23954,1.42391,-2.50773,NA,NA,NA,NA,NA,NA,NA,-129.661,NA,NA,NA
29372,1.74445,1.36095,-2.90912,NA,NA,NA,NA,-62.378,NA,NA,NA,NA,NA,NA
29526,1.39195,1.84125,-4.58308,NA,NA,NA,NA,-8.293,NA,NA,NA,NA,NA,NA
29601,1.58603,0.995352,-5,NA,NA,NA,NA,-39.762,NA,NA,NA,NA,NA,NA
29809,2.06813,1.11662,-5,NA,NA,NA,NA,-29.776,NA,NA,NA,NA,NA,NA
30024,1.80627,1.53422,-5,NA,NA,-28.192,NA,NA,NA,NA,NA,NA,NA,NA
30336,2.17982,0.659033,-5,NA,NA,NA,NA,-63.1,NA,NA,NA,NA,NA,NA
30588,2.63799,1.13992,-5,NA,NA,NA,NA,NA,-52.449,NA,NA,NA,NA,NA
30646,2.25764,2.3618,-4.5397,NA,NA,-24.175,NA,NA,NA,NA,NA,NA,NA,NA
30910,2.15275,3.00649,-4.86689,NA,NA,-53.539,NA,NA,NA,NA,NA,NA,NA,NA
31185,1.87417,1.2593,-4.5637,NA,NA,-9.99,NA,NA,NA,NA,NA,NA,NA,NA
31280,1.8865,1.13044,-5,NA,NA,NA,NA,-26.023,NA,NA,NA,NA,NA,NA
31476,2.34326,0.685575,-5,NA,NA,NA,NA,NA,-69.177,NA,NA,NA,NA,NA
31731,2.15925,0.585465,-4.22488,NA,NA,NA,-59.619,NA,NA,NA,NA,NA,NA,NA
31867,1.01679,1.62355,-4.49453,NA,NA,NA,-29.885,NA,NA,NA,NA,NA,NA,NA
32120,1.63087,1.76107,-5,NA,NA,NA,NA,-15.735,NA,NA,NA,NA,NA,NA
32245,1.87677,2.2604,-5,NA,NA,NA,NA,-21.676,NA,NA,NA,NA,NA,NA
32489,1.69735,2.18226,-5,NA,NA,NA,NA,NA,NA,-56.087,NA,NA,NA,NA
32713,1.45292,1.88521,-5,NA,NA,NA,NA,-18.189,NA,NA,NA,NA,NA,NA
32880,0.683541,3.43872,-5,NA,NA,NA,NA,NA,-120.624,NA,NA,NA,NA,NA
33175,0.218346,1.09173,-5,NA,NA,NA,NA,-102.47,NA,NA,NA,NA,NA,NA
33353,0.937389,1.80674,-4.22114,NA,NA,NA,NA,NA,NA,NA,-42.521,NA,NA,NA
33494,1.0642,2.52332,-5,NA,NA,-43.271,NA,NA,NA,NA,NA,NA,NA,NA
33731,2.88843,2.26563,-5,NA,NA,NA,-49.626,NA,NA,NA,NA,NA,NA,NA
33879,2.73958,2.21598,-5,NA,NA,NA,NA,-39.813,NA,NA,NA,NA,NA,NA
34044,1.92552,2.70944,-4.83147,NA,NA,NA,NA,-33.18,NA,NA,NA,NA,NA,NA
34329,1.14203,2.08632,-5,NA,NA,NA,NA,NA,NA,NA,-43.55,NA,NA,NA
34566,2.17357,3.43855,-4.88883,NA,NA,NA,NA,-79.456,NA,NA,NA,NA,NA,NA
34633,1.9993,2.15144,-4.12009,NA,NA,NA,-20.953,NA,NA,NA,NA,NA,NA,NA
34861,0.792793,2.36033,-5,NA,NA,NA,NA,NA,-58.807,NA,NA,NA,NA,NA
35066,1.28428,1.24647,-4.60992,NA,NA,NA,-28.468,NA,NA,NA,NA,NA,NA,NA
35252,1.49038,0.588695,-4.92847,NA,NA,NA,NA,-82.862,NA,NA,NA,NA,NA,NA
35419,0.410537,1.94685,-5,NA,NA,NA,NA,-60.167,NA,NA,NA,NA,NA,NA
35754,1.97517,1.32926,-4.80813,NA,NA,-24.714,NA,NA,NA,NA,NA,NA,NA,NA
35840,3.18762,0.462746,-5,NA,NA,NA,NA,-106.236,NA,NA,NA,NA,NA,NA
36193,1.32792,0.770964,-4.64076,NA,NA,NA,NA,NA,-65.682,NA,NA,NA,NA,NA
36367,2.01746,1.8468,-5,NA,NA,NA,NA,-16.624,NA,NA,NA,NA,NA,NA
36409,2.21656,3.11673,-4.72787,NA,NA,-58.708,NA,NA,NA,NA,NA,NA,NA,NA
36686,2.23314,1.77426,-5,NA,NA,NA,-25.745,NA,NA,NA,NA,NA,NA,NA
36924,3.12795,2.17048,-5,NA,NA,NA,-68.293,NA,NA,NA,NA,NA,NA,NA
37121,2.82594,2.49944,-4.7505,NA,NA,NA,-57.422,NA,NA,NA,NA,NA,NA,NA
37253,2.02428,1.02879,-4.91087,NA,NA,NA,NA,NA,-40.845,NA,NA,NA,NA,NA
37456,1.01277,2.25891,-4.02334,NA,NA,NA,NA,NA,NA,NA,-45.608,NA,NA,NA
37717,2.67103,3.14944,-4.84098,NA,NA,-80.648,NA,NA,NA,NA,NA,NA,NA,NA
37839,2.63098,2.8226,-5,NA,-140.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
38118,2.01597,1.80696,-4.73092,NA,NA,NA,NA,NA,NA,NA,-40.657,NA,NA,NA
38212,1.6196,1.54759,-4.57307,NA,NA,NA,NA,-3.372,NA,NA,NA,NA,NA,NA
38597,1.45841,1.78694,-4.72836,NA,NA,NA,NA,-10.427,NA,NA,NA,NA,NA,NA
38800,1.53698,0.757413,-4.74024,NA,NA,NA,NA,NA,NA,NA,-83.822,NA,NA,NA
38834,3.3546,1.37575,-4.7954,NA,NA,-69.112,NA,NA,NA,NA,NA,NA,NA,NA
39037,2.70436,1.89945,-4.88851,NA,NA,NA,NA,-30.688,NA,NA,NA,NA,NA,NA
39314,2.24241,3.02568,-4.21743,NA,NA,NA,NA,-49.777,NA,NA,NA,NA,NA,NA
39523,2.76465,2.90883,-4.83052,NA,NA,NA,NA,-62.209,NA,NA,NA,NA,NA,NA
39728,2.20035,3.71741,-4.53596,NA,NA,NA,NA,-97.63,NA,NA,NA,NA,NA,NA
39996,2.04745,2.08631,-4.44768,NA,NA,NA,NA,-9.045,NA,NA,NA,NA,NA,NA
40083,1.96407,3.40948,-4.29211,NA,NA,NA,NA,-70.021,NA,NA,NA,NA,NA,NA
40373,1.53831,2.34003,-5,NA,NA,NA,NA,-26.425,NA,NA,NA,NA,NA,NA
40523,2.31687,1.79473,-4.90766,NA,NA,NA,NA,-18.579,NA,NA,NA,NA,NA,NA
40609,2.48616,2.26039,-5,NA,NA,-33.804,NA,NA,NA,NA,NA,NA,NA,NA
40827,2.30761,1.80967,-3.97808,NA,NA,NA,-22.126,NA,NA,NA,NA,NA,NA,NA
41082,1.99906,2.74508,-3.48695,NA,NA,-54.942,NA,NA,NA,NA,NA,NA,NA,NA
41400,2.37254,2.01446,-4.45469,NA,NA,-17.994,NA,NA,NA,NA,NA,NA,NA,NA
41548,1.89308,2.77819,-3.01135,NA,NA,NA,NA,NA,NA,NA,-104.482,NA,NA,NA
41659,1.93314,2.77426,-3.91027,NA,NA,-40.696,NA,NA,NA,NA,NA,NA,NA,NA
41900,2.58934,2.13426,-3.68912,NA,NA,NA,NA,NA,-52.754,NA,NA,NA,NA,NA
42104,1.82092,2.35011,-5,NA,NA,-30.847,NA,NA,NA,NA,NA,NA,NA,NA
42323,2.51674,3.00952,-4.66517,NA,NA,-60.957,NA,NA,NA,NA,NA,NA,NA,NA
42505,1.98799,1.04603,-4.6387,NA,NA,NA,NA,NA,NA,NA,-59.587,NA,NA,NA
42769,2.08682,1.24425,-4.05526,NA,NA,-27.205,NA,NA,NA,NA,NA,NA,NA,NA
42984,1.63953,1.18098,-4.54954,NA,NA,NA,NA,-11.438,NA,NA,NA,NA,NA,NA
43127,2.66103,0.945944,-3.95661,NA,NA,NA,NA,NA,-66.407,NA,NA,NA,NA,NA
43239,1.33075,1.28791,-4.09551,NA,NA,NA,NA,-13.973,NA,NA,NA,NA,NA,NA
43426,1.35134,1.63353,-5,NA,NA,NA,NA,-20.084,NA,NA,NA,NA,NA,NA
43662,2.12748,0.841531,-4.68817,NA,NA,-41.717,NA,NA,NA,NA,NA,NA,NA,NA
43986,1.3273,0.802264,-5,NA,NA,-67.977,NA,NA,NA,NA,NA,NA,NA,NA
44128,1.9414,2.7409,-5,NA,NA,NA,NA,-38.969,NA,NA,NA,NA,NA,NA
44210,2.24483,2.38641,-4.76129,NA,NA,NA,NA,-24.316,NA,NA,NA,NA,NA,NA
44543,2.60014,2.19532,-3.69769,NA,NA,NA,NA,-36.626,NA,NA,NA,NA,NA,NA
44787,1.64125,1.05689,-4.05748,NA,NA,-30.485,NA,NA,NA,NA,NA,NA,NA,NA
44820,1.06413,2.28087,-3.92265,NA,NA,-34.745,NA,NA,NA,NA,NA,NA,NA,NA
45193,0.843646,2.33402,-4.01108,NA,NA,NA,-40.342,NA,NA,NA,NA,NA,NA,NA
45296,1.06646,2.79919,-3.02739,NA,NA,NA,-84.304,NA,NA,NA,NA,NA,NA,NA
45514,2.24771,1.47275,-5,NA,NA,NA,NA,-21.117,NA,NA,NA,NA,NA,NA
45617,1.92495,1.76602,-5,NA,NA,NA,-16.358,NA,NA,NA,NA,NA,NA,NA
45898,2.06224,2.3763,-4.77392,NA,NA,NA,NA,-21.136,NA,NA,NA,NA,NA,NA
46032,1.58916,1.53963,-5,NA,NA,NA,NA,-16.509,NA,NA,NA,NA,NA,NA
46315,1.97896,1.71846,-5,NA,NA,NA,NA,NA,-42.748,NA,NA,NA,NA,NA
46427,1.20333,2.01385,-5,NA,NA,NA,-27.638,NA,NA,NA,NA,NA,NA,NA
46750,1.81216,1.82482,-5,NA,NA,NA,-16.66,NA,NA,NA,NA,NA,NA,NA
46864,2.80407,3.21555,-5,NA,NA,-86.949,NA,NA,NA,NA,NA,NA,NA,NA
47012,1.59466,1.74549,-5,NA,NA,NA,-17.068,NA,NA,NA,NA,NA,NA,NA
47360,1.50214,0.864432,-4.95552,NA,NA,-68.318,NA,NA,NA,NA,NA,NA,NA,NA
47520,2.16575,0.617179,-5,NA,NA,NA,NA,NA,NA,NA,-83.546,NA,NA,NA
47614,2.51117,1.74575,-4.41385,NA,NA,NA,NA,NA,NA,NA,NA,-103.007,NA,NA
47928,2.58516,2.31784,-4.62834,NA,NA,NA,NA,-30.011,NA,NA,NA,NA,NA,NA
48020,1.10175,2.19351,-4.80432,NA,NA,NA,NA,NA,-50.955,NA,NA,NA,NA,NA
48221,2.54849,2.37156,-4.26827,NA,NA,NA,NA,NA,NA,-89.798,NA,NA,NA,NA
48564,2.39924,1.88659,-5,NA,NA,NA,-30.76,NA,NA,NA,NA,NA,NA,NA
48777,2.10558,0.716542,-5,NA,NA,NA,NA,NA,-64.392,NA,NA,NA,NA,NA
48908,1.81527,1.26602,-4.75264,NA,NA,NA,NA,NA,-45.207,NA,NA,NA,NA,NA
49154,3.6145,1.60593,-4.80853,NA,NA,NA,NA,-80.483,NA,NA,NA,NA,NA,NA
49359,3.1178,1.91902,-3.89699,NA,NA,-53.52,NA,NA,NA,NA,NA,NA,NA,NA
49499,2.51819,1.65528,-4.89296,NA,NA,NA,NA,-23.412,NA,NA,NA,NA,NA,NA
49734,2.85031,1.10767,-4.6589,NA,NA,NA,NA,-43.11,NA,NA,NA,NA,NA,NA
49900,2.88861,0.967848,-4.77897,NA,NA,NA,NA,-52.773,NA,NA,NA,NA,NA,NA
50038,2.61651,0.908281,-3.48583,NA,NA,NA,NA,-65.212,NA,NA,NA,NA,NA,NA
50390,2.79991,2.87699,-3.10239,NA,NA,-105.767,NA,NA,NA,NA,NA,NA,NA,NA
50444,1.71126,2.83687,-4.42955,NA,NA,NA,NA,-34.503,NA,NA,NA,NA,NA,NA
50664,1.88434,1.62351,-4.50429,NA,NA,NA,NA,-2.664,NA,NA,NA,NA,NA,NA
50801,0.737872,1.57206,-5,NA,NA,NA,NA,-47.656,NA,NA,NA,NA,NA,NA
51046,0.98004,1.50129,-5,NA,NA,NA,NA,NA,NA,NA,NA,-101.673,NA,NA
51294,2.29265,2.65303,-5,NA,NA,NA,NA,NA,NA,-75.934,NA,NA,NA,NA
51573,1.26334,2.09348,-4.8175,NA,NA,-24.684,NA,NA,NA,NA,NA,NA,NA,NA
51664,1.61821,2.41081,-5,NA,NA,NA,NA,-27.327,NA,NA,NA,NA,NA,NA
51885,1.26052,1.25435,-4.88826,NA,NA,-36.715,NA,NA,NA,NA,NA,NA,NA,NA
52134,1.76852,1.26517,-5,NA,NA,NA,NA,-21.385,NA,NA,NA,NA,NA,NA
52356,1.98813,0.764661,-4.38138,NA,NA,NA,-38.004,NA,NA,NA,NA,NA,NA,NA
