id,x0,x1,x2,fitness-4.5,fitness-3,fitness-3.5,fitness-4,fitness-5,fitness-2.5
8079,-2.43967,3.95562,-4.76833,-48.879,NA,NA,NA,NA,NA
8250,-1.50514,4.24479,-4.2812,-65.549,NA,NA,NA,NA,NA
8544,-1.58432,4.56555,-4.87918,-52.686,NA,NA,NA,NA,NA
8773,-1.7584,3.76541,-4.19847,NA,NA,NA,-52.171,NA,NA
8852,-1.45659,3.88283,-4.99719,-12.724,NA,NA,NA,NA,NA
9077,-1.55848,3.9954,-4.24205,-49.387,NA,NA,NA,NA,NA
9215,-2.12853,3.86244,-4.47831,NA,NA,NA,NA,-48.991,NA
9536,-1.59225,4.17442,-4.76307,-32.086,NA,NA,NA,NA,NA
9629,-1.44469,3.86124,-4.86792,NA,NA,NA,NA,-24.673,NA
9833,-1.79696,3.43113,-4.82319,NA,NA,NA,-31.932,NA,NA
10041,-1.46588,3.8756,-4.93444,-7.879,NA,NA,NA,NA,NA
10284,-2.01921,3.90171,-4.32163,-41.966,NA,NA,NA,NA,NA
10544,-2.06069,3.20887,-3.90819,-88.397,NA,NA,NA,NA,NA
10616,-1.8209,3.66212,-4.97063,NA,NA,NA,-26.688,NA,NA
10826,-2.09502,4.10557,-4.89732,NA,NA,NA,NA,-52.82,NA
11096,-1.45875,4.46293,-4.24471,-70.934,NA,NA,NA,NA,NA
11377,-2.3163,4.24746,-4.08449,-65.373,NA,NA,NA,NA,NA
11523,-2.34385,4.16653,-4.3178,-53.003,NA,NA,NA,NA,NA
11728,-1.47308,3.61341,-4.74218,NA,NA,NA,NA,-38.354,NA
11868,-1.17819,3.44751,-4.59914,-52.839,NA,NA,NA,NA,NA
12062,-1.50688,3.57141,-4.74049,NA,NA,NA,-30.213,NA,NA
12363,-1.69891,3.59938,-4.7962,NA,NA,NA,-8.177,NA,NA
12401,-1.9308,3.48832,-4.95725,-30.499,NA,NA,NA,NA,NA
12718,-1.3984,4.98471,-4.28773,NA,NA,NA,-102.138,NA,NA
12937,-1.60473,4.56624,-4.88524,-46.912,NA,NA,NA,NA,NA
13138,-2.13866,3.61679,-4.93032,NA,NA,NA,-37.502,NA,NA
13276,-1.2092,3.48517,-4.69335,NA,NA,NA,-26.243,NA,NA
13401,-1.81079,3.90634,-4.97626,-17.248,NA,NA,NA,NA,NA
13733,-1.61424,3.64907,-4.71596,NA,NA,NA,-13.742,NA,NA
13801,-2.41119,3.59507,-4.45447,NA,NA,NA,NA,-61.391,NA
14192,-2.0758,4.71088,-4.35703,NA,-96.055,NA,NA,NA,NA
14357,-2.42217,4.35003,-4.57927,NA,NA,NA,-63.899,NA,NA
14430,-2.21109,4.21984,-4.58155,-51.111,NA,NA,NA,NA,NA
14796,-1.86195,3.53242,-4.97061,NA,NA,NA,-20.731,NA,NA
14911,-2.44347,4.20316,-4.4341,-57.828,NA,NA,NA,NA,NA
15092,-1.59844,3.18482,-4.8112,-38.248,NA,NA,NA,NA,NA
15224,-1.3745,3.85661,-4.79442,NA,NA,NA,-18.429,NA,NA
15448,-1.86452,4.73458,-4.71469,NA,NA,NA,-71.475,NA,NA
15631,-1.37626,4.11619,-4.62803,-33.701,NA,NA,NA,NA,NA
15962,-1.41931,3.89622,-4.87379,-20.724,NA,NA,NA,NA,NA
16077,-1.583,4.18584,-4.54784,-42.339,NA,NA,NA,NA,NA
16279,-1.51814,4.37571,-4.65441,-44.069,NA,NA,NA,NA,NA
16448,-2.0476,3.93925,-4.42689,NA,NA,NA,NA,-54.228,NA
16727,-1.18649,3.89407,-4.609,NA,NA,NA,-29.923,NA,NA
16996,-1.40417,3.63774,-4.76133,NA,NA,NA,-14.598,NA,NA
17050,-1.93714,3.74308,-4.73835,NA,NA,NA,-27.22,NA,NA
17237,-1.47941,3.96389,-4.2962,NA,NA,NA,-60.56,NA,NA
17453,-1.41975,3.92761,-4.68903,-22.177,NA,NA,NA,NA,NA
17609,-1.5367,3.63219,-4.9381,NA,NA,NA,-20.092,NA,NA
17915,-1.10358,4.5031,-4.99034,-67.819,NA,NA,NA,NA,NA
18080,-1.37593,3.88532,-4.8934,NA,NA,NA,NA,-23.832,NA
18332,-1.25012,3.51737,-4.87323,-35.544,NA,NA,NA,NA,NA
18561,-1.4639,3.55532,-4.60745,-31.351,NA,NA,NA,NA,NA
18695,-2.33227,4.71904,-4.93644,NA,NA,NA,-55.146,NA,NA
18920,-1.17649,4.03727,-4.36411,-55.941,NA,NA,NA,NA,NA
19089,-1.92201,3.98254,-4.40467,-40.003,NA,NA,NA,NA,NA
19230,-1.39575,4.84114,-4.84582,NA,NA,NA,-73.691,NA,NA
19559,-1.63942,3.84103,-4.88039,-12.821,NA,NA,NA,NA,NA
19640,-1.68459,3.90094,-4.43024,NA,NA,NA,NA,-35.071,NA
19884,-1.76278,3.76544,-4.28284,-56.801,NA,NA,NA,NA,NA
20088,-1.36262,4.12536,-4.95833,NA,NA,NA,NA,-55.593,NA
20274,-2.22798,4.05413,-4.74673,NA,NA,NA,NA,-46.616,NA
20494,-1.64962,3.96229,-4.39693,-40.308,NA,NA,NA,NA,NA
20692,-2.10123,3.8919,-4.84517,NA,NA,NA,-40,NA,NA
20914,-1.75995,3.8785,-4.90632,-11.105,NA,NA,NA,NA,NA
21035,-1.61328,3.61803,-4.71331,NA,NA,NA,-8.199,NA,NA
21383,-1.68944,3.81444,-4.28415,-41.585,NA,NA,NA,NA,NA
21563,-0.7344,3.73744,-4.90584,NA,NA,NA,-72.652,NA,NA
21619,-1.61771,3.97347,-4.7757,-11.041,NA,NA,NA,NA,NA
21925,-1.41042,3.90702,-4.31629,NA,NA,NA,-27.422,NA,NA
22065,-2.09456,3.89899,-4.94249,NA,NA,NA,-38.212,NA,NA
22309,-1.8504,3.92448,-4.62403,-24.113,NA,NA,NA,NA,NA
22529,-2.146,4.66241,-4.89883,NA,NA,NA,-64.989,NA,NA
22633,-2.0653,3.94282,-4.32107,-37.227,NA,NA,NA,NA,NA
22834,-1.93466,4.09086,-4.94904,NA,NA,NA,-31.637,NA,NA
23058,-1.6079,4.47395,-4.09223,-75.915,NA,NA,NA,NA,NA
23304,-1.49015,3.41049,-4.8972,-8.502,NA,NA,NA,NA,NA
23520,-1.96606,4.24078,-4.73253,-30.977,NA,NA,NA,NA,NA
23714,-2.58261,3.98836,-4.78065,-58.278,NA,NA,NA,NA,NA
23867,-1.99185,4.79221,-4.97687,NA,NA,NA,-67.321,NA,NA
24108,-1.89204,3.7554,-4.41464,-30.334,NA,NA,NA,NA,NA
24220,-1.98673,4.77017,-4.82117,NA,NA,NA,-66.149,NA,NA
24440,-2.16113,4.0903,-4.73014,NA,NA,NA,-44.275,NA,NA
24790,-1.21561,3.43759,-4.67265,-44.316,NA,NA,NA,NA,NA
24936,-1.40419,3.97894,-4.90517,NA,NA,NA,-20.259,NA,NA
25049,-1.97978,4.3056,-4.70144,NA,NA,NA,NA,-57.344,NA
25392,-2.30268,4.10545,-4.65431,NA,NA,NA,NA,-50.699,NA
25484,-2.22272,3.92122,-4.63998,-41.634,NA,NA,NA,NA,NA
25754,-2.75007,3.46981,-4.84899,-64.266,NA,NA,NA,NA,NA
25852,-2.37441,3.70499,-4.63476,-46.641,NA,NA,NA,NA,NA
26085,-2.20852,3.59386,-4.81884,-43.191,NA,NA,NA,NA,NA
26248,-1.72472,3.83113,-4.24342,NA,NA,NA,NA,-38.037,NA
26597,-1.55091,4.15654,-4.47866,NA,NA,NA,NA,-48.332,NA
26777,-2.07495,4.65515,-4.29834,-56.816,NA,NA,NA,NA,NA
26857,-2.06476,3.76152,-4.92622,NA,NA,NA,NA,-33.14,NA
27086,-1.38332,4.24826,-4.22145,NA,NA,NA,NA,-46.744,NA
27346,-1.42029,3.75523,-4.56358,-31.242,NA,NA,NA,NA,NA
27458,-2.39652,3.69174,-4.65794,NA,NA,NA,NA,-58.534,NA
27720,-1.17038,4.01894,-4.76376,-29.531,NA,NA,NA,NA,NA
27975,-2.0423,4.66353,-4.25356,-54.156,NA,NA,NA,NA,NA
28054,-2.48383,4.71206,-4.90758,NA,NA,NA,-82.16,NA,NA
28241,-2.07938,4.59786,-4.64892,NA,NA,NA,NA,-58.915,NA
28472,-1.98253,3.79064,-4.79729,NA,NA,NA,-29.378,NA,NA
28711,-1.61328,3.74492,-4.5982,-11.123,NA,NA,NA,NA,NA
28882,-2.51826,4.00884,-4.64651,NA,NA,-83.878,NA,NA,NA
29173,-2.60226,3.5963,-4.31814,NA,NA,NA,NA,-73.764,NA
29319,-2.42841,4.71583,-4.49859,-71.209,NA,NA,NA,NA,NA
29501,-2.39553,3.73168,-4.97378,NA,NA,NA,NA,-57.501,NA
29610,-2.3646,4.06769,-4.69716,NA,NA,NA,NA,-52.664,NA
29811,-1.96515,4.15612,-4.83485,-25.632,NA,NA,NA,NA,NA
30097,-2.05175,4.41529,-4.78924,NA,NA,NA,-44.361,NA,NA
30298,-1.66051,3.32654,-4.67525,-37.292,NA,NA,NA,NA,NA
30513,-1.51634,4.19181,-4.85122,NA,NA,NA,NA,-51.837,NA
30767,-1.73056,4.09852,-4.67606,NA,NA,NA,-30.077,NA,NA
30967,-2.14029,3.63484,-4.09619,NA,NA,NA,NA,-73.095,NA
31127,-1.60545,3.78726,-4.59934,NA,NA,NA,-14.209,NA,NA
31374,-1.52629,3.7405,-4.63629,-17.553,NA,NA,NA,NA,NA
31569,-1.68875,3.94342,-4.4591,NA,NA,NA,NA,-41.737,NA
31622,-1.90316,3.5024,-4.93778,NA,NA,NA,-25.755,NA,NA
31946,-1.86091,3.68283,-4.34576,NA,NA,NA,NA,-49.719,NA
32054,-1.8364,3.23576,-4.5173,-49.115,NA,NA,NA,NA,NA
32365,-1.85082,4.92564,-4.56888,NA,NA,NA,NA,-74.978,NA
32553,-1.92603,3.33887,-3.80643,NA,NA,NA,-90.69,NA,NA
32632,-1.81079,3.91745,-4.84686,NA,NA,NA,NA,-45.638,NA
32881,-1.70634,4.0605,-4.50685,NA,NA,NA,NA,-48.359,NA
33008,-1.74318,3.65468,-4.68431,-11.372,NA,NA,NA,NA,NA
33201,-1.4745,3.46319,-4.58847,NA,NA,NA,-28.107,NA,NA
33477,-1.36589,3.43536,-4.78637,-27.092,NA,NA,NA,NA,NA
33773,-1.64874,4.16192,-4.74861,NA,NA,NA,NA,-33.375,NA
33937,-1.74466,3.3003,-4.91169,NA,NA,NA,NA,-35.184,NA
34155,-1.72292,4.22208,-4.54903,NA,NA,NA,NA,-50.423,NA
34377,-1.35144,3.6902,-4.19963,NA,NA,NA,-52.702,NA,NA
34404,-1.27431,3.97452,-4.75764,-21.119,NA,NA,NA,NA,NA
34730,-1.77842,3.74592,-4.82242,-7.874,NA,NA,NA,NA,NA
34887,-1.60069,3.93395,-4.6176,NA,NA,NA,-16.73,NA,NA
35129,-1.32635,3.75367,-4.53484,NA,NA,NA,-32.297,NA,NA
35219,-1.9109,4.19211,-4.42803,NA,NA,NA,NA,-47.019,NA
35484,-2.3782,4.15851,-4.55985,NA,NA,NA,NA,-58.334,NA
35687,-2.22945,3.9439,-4.77065,-42.997,NA,NA,NA,NA,NA
35956,-1.91993,3.64724,-4.77802,-24.189,NA,NA,NA,NA,NA
36101,-2.37077,4.28578,-4.61317,-58.393,NA,NA,NA,NA,NA
36217,-1.97694,3.96429,-4.9183,-32.977,NA,NA,NA,NA,NA
36540,-2.55612,3.94324,-4.90426,-54.613,NA,NA,NA,NA,NA
36648,-2.41603,3.47482,-4.68892,-62.214,NA,NA,NA,NA,NA
36914,-1.6002,3.77095,-4.89391,-3.032,NA,NA,NA,NA,NA
37089,-1.89293,4.10736,-4.79202,-31.497,NA,NA,NA,NA,NA
37378,-1.19955,3.6283,-4.28238,-60.695,NA,NA,NA,NA,NA
37449,-1.03948,4.08217,-4.92656,NA,NA,NA,-57.65,NA,NA
37686,-1.80357,3.27657,-4.56084,-39.529,NA,NA,NA,NA,NA
37858,-2.30915,3.45215,-4.47479,-60.78,NA,NA,NA,NA,NA
38101,-1.49372,3.36779,-4.14316,NA,NA,NA,-84.596,NA,NA
38369,-1.67017,4.54574,-4.44759,NA,NA,NA,NA,-59.094,NA
38522,-1.94951,4.87675,-4.58324,NA,NA,NA,-77.703,NA,NA
38785,-1.31774,4.16818,-4.63081,-42.272,NA,NA,NA,NA,NA
38981,-1.79296,3.27981,-4.78956,NA,NA,NA,NA,-40.433,NA
39097,-1.80421,3.13939,-4.73664,-52.473,NA,NA,NA,NA,NA
39299,-1.22025,4.14413,-4.62376,-40.429,NA,NA,NA,NA,NA
39491,-1.68847,3.46585,-4.85538,NA,NA,NA,-22.239,NA,NA
39666,-1.73992,3.75557,-4.58111,-17.02,NA,NA,NA,NA,NA
39916,-1.67253,3.77911,-4.50742,NA,NA,NA,-24.102,NA,NA
40102,-1.48791,3.97156,-4.49749,-30.8,NA,NA,NA,NA,NA
40394,-1.63332,4.78915,-4.82937,-49.804,NA,NA,NA,NA,NA
40415,-1.28951,4.12352,-4.78084,NA,NA,NA,-39.333,NA,NA
40705,-0.898644,3.90774,-4.98488,NA,NA,NA,NA,-76.847,NA
40890,-1.07171,3.3927,-4.92283,-57.551,NA,NA,NA,NA,NA
41148,-1.41075,3.60704,-4.90317,-1.844,NA,NA,NA,NA,NA
41388,-2.28297,4.20482,-4.88452,-51.828,NA,NA,NA,NA,NA
41538,-2.52253,4.01343,-4.96218,-55.307,NA,NA,NA,NA,NA
41610,-1.65192,3.89552,-4.73901,NA,NA,NA,-26.238,NA,NA
41818,-2.46333,3.55064,-4.97327,NA,NA,NA,-58.692,NA,NA
42149,-1.29263,3.87211,-4.56328,NA,NA,NA,-36.743,NA,NA
42267,-1.99572,4.10392,-4.77034,-33.974,NA,NA,NA,NA,NA
42437,-2.03617,4.14903,-4.87421,-27.754,NA,NA,NA,NA,NA
42729,-2.05718,3.77951,-4.62691,NA,NA,NA,NA,-40.939,NA
42830,-1.63234,3.94057,-4.86752,-19.247,NA,NA,NA,NA,NA
43165,-1.66062,3.91401,-4.8838,NA,NA,NA,NA,-46.906,NA
43340,-2.39955,3.60177,-4.62235,-53.229,NA,NA,NA,NA,NA
43433,-1.80493,3.99763,-4.73721,-24.488,NA,NA,NA,NA,NA
43645,-1.82579,3.35751,-4.86633,-29.619,NA,NA,NA,NA,NA
43946,-1.74229,3.64242,-4.92401,-23.382,NA,NA,NA,NA,NA
44015,-1.43924,3.99755,-4.03971,-74.125,NA,NA,NA,NA,NA
44254,-1.85756,3.9762,-4.6839,NA,NA,NA,NA,-39.17,NA
44541,-1.8574,3.47199,-4.48243,-35.181,NA,NA,NA,NA,NA
44686,-1.90355,3.68491,-4.88395,NA,NA,-74.92,NA,NA,NA
44960,-3.17455,4.13029,-4.62766,-85.826,NA,NA,NA,NA,NA
45155,-1.92756,3.6854,-4.6385,-32.319,NA,NA,NA,NA,NA
45204,-1.72366,3.34813,-4.55991,-42.758,NA,NA,NA,NA,NA
45499,-2.43565,4.00464,-4.754,-49.844,NA,NA,NA,NA,NA
45770,-1.86366,3.95854,-4.53977,-29.427,NA,NA,NA,NA,NA
45871,-1.15395,3.73593,-4.64709,NA,NA,NA,NA,-51.582,NA
46083,-2.60019,4.60408,-4.95806,-77.036,NA,NA,NA,NA,NA
46203,-2.47106,4.62925,-4.53347,-69.553,NA,NA,NA,NA,NA
46599,-2.04572,3.57524,-4.73762,NA,NA,NA,-35.949,NA,NA
46773,-1.35955,3.76591,-4.37364,NA,NA,NA,-41.853,NA,NA
46809,-2.01538,4.86503,-4.911,NA,NA,NA,-72.54,NA,NA
47105,-1.82619,4.21373,-4.04191,-67.988,NA,NA,NA,NA,NA
47366,-2.31943,2.85452,-4.70181,-67.762,NA,NA,NA,NA,NA
47420,-1.98084,4.08854,-4.89573,-35.183,NA,NA,NA,NA,NA
47774,-1.77023,3.7053,-4.42927,-35.319,NA,NA,NA,NA,NA
47802,-1.46869,3.8598,-4.38434,NA,NA,NA,NA,-65.168,NA
48190,-1.79813,4.61105,-4.42295,-61.785,NA,NA,NA,NA,NA
48357,-2.20605,3.8889,-4.75402,-37.26,NA,NA,NA,NA,NA
48500,-2.01322,4.22315,-4.70576,NA,NA,NA,NA,-56.592,NA
48685,-2.50732,3.88753,-3.91636,-81.272,NA,NA,NA,NA,NA
48933,-1.9902,3.53645,-4.85067,-23.003,NA,NA,NA,NA,NA
49082,-1.76822,3.87917,-4.73862,NA,NA,NA,-24.253,NA,NA
49275,-1.70321,3.26491,-4.90034,-40.129,NA,NA,NA,NA,NA
49533,-2.44438,4.02201,-4.99855,-51.579,NA,NA,NA,NA,NA
49669,-1.68163,3.62827,-4.51504,NA,NA,NA,-35.006,NA,NA
49803,-1.71093,3.26556,-4.78872,-40.876,NA,NA,NA,NA,NA
50178,-1.92585,3.39175,-4.71374,NA,NA,NA,-31.703,NA,NA
50295,-1.71977,4.01333,-4.86743,-19.057,NA,NA,NA,NA,NA
50518,-2.30267,4.23643,-4.9791,NA,NA,NA,NA,-46.347,NA
50778,-2.69283,3.73028,-4.45333,-63.821,NA,NA,NA,NA,NA
50950,-1.63007,3.82979,-4.53579,NA,NA,NA,NA,-33.058,NA
51007,-1.17354,4.30831,-4.88694,-56.135,NA,NA,NA,NA,NA
51243,-1.82492,3.51676,-4.27426,NA,NA,NA,NA,-67.246,NA
51519,-1.61765,3.31821,-4.94188,NA,NA,-50.793,NA,NA,NA
51632,-1.46673,3.81442,-4.68493,NA,NA,NA,-20.289,NA,NA
51880,-1.43018,4.29728,-4.81866,NA,NA,NA,-25.163,NA,NA
52195,-1.27121,3.90926,-4.35253,-37.838,NA,NA,NA,NA,NA
52240,-1.1654,4.26875,-4.81578,NA,NA,NA,NA,-47.601,NA
52577,-1.91071,4.00538,-4.94076,-27.44,NA,NA,NA,NA,NA
52691,-2.26747,4.39832,-4.93055,NA,NA,NA,NA,-52.034,NA
52950,-2.43567,3.97785,-4.89419,-48.137,NA,NA,NA,NA,NA
53122,-1.64224,4.29488,-4.14368,-66.375,NA,NA,NA,NA,NA
53280,-1.92665,3.35704,-4.93149,NA,NA,NA,-36.453,NA,NA
53565,-1.50593,3.8946,-4.63403,-18.735,NA,NA,NA,NA,NA
53795,-1.67284,3.3177,-4.4713,NA,NA,NA,-48.359,NA,NA
53923,-2.19301,3.98226,-4.74717,-40.852,NA,NA,NA,NA,NA
54014,-2.37633,3.98663,-4.52694,-53.837,NA,NA,NA,NA,NA
54262,-1.72818,4.46251,-4.63245,-50.206,NA,NA,NA,NA,NA
54509,-1.42724,4.42799,-4.72669,-43.148,NA,NA,NA,NA,NA
54657,-2.03497,4.06994,-4.52033,-44.755,NA,NA,NA,NA,NA
54807,-1.67422,3.92559,-4.78407,-12.348,NA,NA,NA,NA,NA
55112,-1.94986,3.62153,-4.80124,-23.963,NA,NA,NA,NA,NA
55280,-1.53803,3.26829,-4.75519,-25.887,NA,NA,NA,NA,NA
55577,-1.13739,3.95924,-4.89198,-21.271,NA,NA,NA,NA,NA
55746,-1.79565,4.46353,-4.13711,NA,NA,NA,-74.278,NA,NA
55876,-2.44799,3.71447,-4.3652,NA,NA,NA,NA,-60.839,NA
56140,-1.88769,4.17239,-4.42042,NA,NA,NA,-59.378,NA,NA
56338,-1.88996,3.61551,-4.79087,NA,NA,NA,NA,-42.16,NA
56512,-1.46919,3.22672,-4.70969,NA,NA,NA,NA,-58.345,NA
56651,-2.45318,4.69644,-4.88094,-62.891,NA,NA,NA,NA,NA
56837,-1.8903,4.68229,-4.57737,NA,NA,NA,-70.479,NA,NA
57111,-2.38602,4.20537,-4.34977,-53.105,NA,NA,NA,NA,NA
57257,-1.41015,3.42547,-4.48839,NA,NA,NA,NA,-44.228,NA
57428,-2.01697,3.47915,-4.746,NA,NA,NA,-34.917,NA,NA
57760,-2.30009,3.30708,-4.65946,-60.256,NA,NA,NA,NA,NA
57948,-2.43807,3.7071,-4.50566,-57.692,NA,NA,NA,NA,NA
58033,-2.10549,3.61195,-4.45114,NA,NA,NA,NA,-52.674,NA
58384,-1.41474,3.75739,-4.8153,-19.569,NA,NA,NA,NA,NA
58594,-2.21367,3.91871,-4.82047,-37.377,NA,NA,NA,NA,NA
58751,-1.79538,3.22467,-4.99882,-43.104,NA,NA,NA,NA,NA
58924,-1.79129,3.05989,-4.97488,-52.396,NA,NA,NA,NA,NA
59074,-1.84488,4.05396,-4.64561,NA,NA,NA,NA,-39.673,NA
59318,-2.01417,4.26301,-4.20178,NA,NA,NA,NA,-48.795,NA
59531,-1.75904,3.20474,-4.60787,NA,NA,NA,NA,-61.65,NA
59786,-1.58823,3.54258,-4.6539,-10.571,NA,NA,NA,NA,NA
59924,-2.20687,3.28703,-4.85439,NA,NA,NA,NA,-54.22,NA
60012,-1.35716,3.25024,-4.82311,-33.288,NA,NA,NA,NA,NA
60201,-2.16871,4.28504,-4.56835,NA,NA,NA,NA,-55.174,NA
60505,-2.11498,3.51717,-4.65579,-39.038,NA,NA,NA,NA,NA
60644,-1.51714,4.11767,-4.201,NA,NA,NA,NA,-64.805,NA
60920,-1.26547,4.32589,-4.86505,NA,NA,NA,-51.2,NA,NA
61013,-1.21582,3.62413,-4.61498,-28.819,NA,NA,NA,NA,NA
61365,-1.66046,4.20533,-4.86186,NA,NA,NA,NA,-29.502,NA
61582,-1.44691,3.81605,-4.92858,NA,NA,NA,-6.688,NA,NA
61742,-2.21998,3.73528,-4.90485,NA,NA,NA,NA,-46.77,NA
61820,-1.42788,3.8702,-4.85905,-20.014,NA,NA,NA,NA,NA
62079,-1.94852,3.8127,-3.93478,NA,NA,NA,-76.911,NA,NA
62326,-2.09118,4.37208,-4.79708,-38.871,NA,NA,NA,NA,NA
62547,-2.40249,3.57791,-4.48696,-60.077,NA,NA,NA,NA,NA
62621,-1.922,4.01571,-4.6943,NA,NA,NA,-32.936,NA,NA
62838,-1.83341,4.43757,-4.53922,NA,NA,NA,-58.232,NA,NA
63018,-2.47257,3.94566,-4.79755,-51.974,NA,NA,NA,NA,NA
63294,-2.40997,4.02789,-4.52952,NA,NA,NA,-61.384,NA,NA
63430,-2.31005,4.30412,-4.76131,NA,NA,NA,NA,-44.896,NA
63677,-1.81981,3.05996,-4.78503,NA,NA,NA,NA,-71.46,NA
63880,-1.20615,3.7639,-4.74214,-36.56,NA,NA,NA,NA,NA
64035,-1.61883,4.53285,-4.77403,NA,NA,NA,NA,-56.507,NA
64318,-1.74243,4.4977,-4.52946,NA,NA,NA,NA,-60.378,NA
64458,-2.07743,3.77385,-4.07453,-60.727,NA,NA,NA,NA,NA
64653,-1.57218,4.63689,-4.90495,-51.503,NA,NA,NA,NA,NA
64956,-1.33196,3.19199,-4.95066,NA,NA,NA,-51.638,NA,NA
65176,-1.99249,4.22241,-4.50764,NA,NA,NA,NA,-46.062,NA
65333,-1.43658,4.30206,-4.57648,NA,NA,NA,-57.644,NA,NA
65434,-1.57105,3.67647,-4.94561,-2.47,NA,NA,NA,NA,NA
65666,-1.6476,3.44236,-4.98316,NA,NA,NA,-27.076,NA,NA
65854,-1.5853,3.95777,-4.67591,NA,NA,NA,-32.743,NA,NA
66127,-1.58938,4.25341,-4.11223,NA,NA,NA,-69.36,NA,NA
66368,-2.16077,4.02393,-4.87004,-40.584,NA,NA,NA,NA,NA
66433,-1.53207,4.25339,-4.9735,NA,NA,NA,-32.518,NA,NA
66704,-1.20443,4.25238,-4.35967,-69.618,NA,NA,NA,NA,NA
66844,-1.66905,3.79197,-4.73816,-10.215,NA,NA,NA,NA,NA
67026,-2.16057,4.84422,-4.70596,NA,NA,NA,NA,-69.247,NA
67320,-1.48006,4.11523,-4.67521,NA,NA,NA,NA,-41.737,NA
67477,-1.29825,3.52777,-4.97982,-11.36,NA,NA,NA,NA,NA
67624,-1.21407,3.80625,-4.86558,-12.948,NA,NA,NA,NA,NA
67945,-1.84326,3.65214,-4.51446,-26.513,NA,NA,NA,NA,NA
68116,-1.71441,3.46331,-4.84277,-19.929,NA,NA,NA,NA,NA
68266,-1.90253,4.15315,-4.53703,-39.824,NA,NA,NA,NA,NA
68547,-1.41252,4.30821,-4.63237,-37.046,NA,NA,NA,NA,NA
68781,-2.33927,4.26016,-4.75721,NA,NA,NA,NA,-44.594,NA
68819,-1.98307,3.47338,-4.67469,-38.693,NA,NA,NA,NA,NA
69154,-2.31255,4.16868,-4.43121,NA,NA,NA,NA,-61.469,NA
69385,-1.42824,3.75169,-4.75233,NA,NA,NA,NA,-26.244,NA
