id,x0,x1,x2,fitness-0.5,fitness-2.5,fitness-2,fitness-3,fitness-4,fitness-1.5,fitness-3.5
4648,2.0973,2.33542,-3.88243,NA,NA,-22.8,NA,NA,NA,NA
4877,2.17294,1.564,-4.0364,NA,NA,NA,-9.521,NA,NA,NA
5055,2.26902,1.03712,-4.0675,NA,-23.575,NA,NA,NA,NA,NA
5337,2.16104,1.57969,-4.57715,NA,NA,NA,-9.461,NA,NA,NA
5430,2.44629,1.55871,-4.78321,NA,NA,-20.757,NA,NA,NA,NA
5786,1.80692,1.58416,-5,NA,NA,-17.491,NA,NA,NA,NA
5939,1.46106,2.03106,-5,NA,NA,NA,-23.833,NA,NA,NA
6133,2.17109,1.63486,-5,NA,-18.562,NA,NA,NA,NA,NA
6381,1.59077,1.69997,-4.94257,NA,-13.471,NA,NA,NA,NA,NA
6563,1.57935,1.3739,-4.21668,NA,NA,NA,-6.185,NA,NA,NA
6793,1.55763,2.00181,-3.94118,NA,NA,-14.459,NA,NA,NA,NA
6977,1.61929,1.68836,-4.68054,NA,NA,NA,NA,NA,-37.84,NA
7114,1.71674,1.3058,-4.02145,NA,-6.901,NA,NA,NA,NA,NA
7307,1.55662,1.49416,-4.74843,NA,NA,-13.641,NA,NA,NA,NA
7420,1.46331,2.86769,-4.3613,NA,-38.126,NA,NA,NA,NA,NA
7621,1.94798,2.26019,-4.05623,NA,-14.767,NA,NA,NA,NA,NA
7860,1.61233,1.23402,-4.7206,NA,NA,NA,-23.919,NA,NA,NA
8138,1.65451,1.6573,-4.96497,NA,NA,NA,-17.013,NA,NA,NA
8327,1.80001,1.6426,-4.40432,NA,NA,-2.776,NA,NA,NA,NA
8518,1.82758,1.75628,-4.45286,NA,NA,NA,-16.845,NA,NA,NA
8783,2.65003,2.14225,-3.98388,NA,NA,-34.642,NA,NA,NA,NA
8937,2.63605,2.27175,-4.56161,NA,-30.5,NA,NA,NA,NA,NA
9190,2.04514,2.27279,-5,NA,-24.137,NA,NA,NA,NA,NA
9285,1.88857,2.77406,-3.87377,NA,NA,NA,-47.786,NA,NA,NA
9412,1.41363,1.55325,-4.43726,NA,-5.186,NA,NA,NA,NA,NA
9729,1.69815,1.50779,-4.5017,NA,NA,NA,-9.744,NA,NA,NA
9801,1.95965,2.01057,-3.65409,NA,-18.199,NA,NA,NA,NA,NA
10187,2.13214,1.44121,-4.66823,NA,NA,NA,NA,NA,-36.314,NA
10389,3.03475,2.19649,-4.84141,NA,NA,-50.331,NA,NA,NA,NA
10480,2.23422,2.25125,-4.15163,NA,NA,-22.274,NA,NA,NA,NA
10617,1.9557,1.82631,-4.31484,NA,-3.121,NA,NA,NA,NA,NA
10999,1.44886,1.64482,-3.33263,NA,-33.313,NA,NA,NA,NA,NA
11081,1.37595,2.32338,-4.37414,NA,-17.909,NA,NA,NA,NA,NA
11332,2.04182,0.881746,-5,NA,-44.747,NA,NA,NA,NA,NA
11552,1.91131,1.99249,-5,NA,NA,NA,-19.675,NA,NA,NA
11749,1.66663,1.95374,-3.62242,NA,-19.356,NA,NA,NA,NA,NA
11873,1.81996,1.61826,-4.43942,NA,NA,-4.866,NA,NA,NA,NA
12148,1.46892,2.16801,-4.41731,NA,-11.516,NA,NA,NA,NA,NA
12236,1.55303,1.45646,-5,NA,-18.145,NA,NA,NA,NA,NA
12451,1.31505,1.89442,-4.22549,NA,NA,-21.019,NA,NA,NA,NA
12787,2.44255,2.67347,-4.55007,NA,-36.799,NA,NA,NA,NA,NA
12978,2.20108,2.30033,-4.36693,NA,NA,NA,-24.468,NA,NA,NA
13012,2.15247,2.2347,-4.33361,NA,NA,NA,-25.184,NA,NA,NA
13331,1.95331,2.1918,-4.92834,NA,-18.957,NA,NA,NA,NA,NA
13474,1.548,1.39253,-5,NA,NA,-26.504,NA,NA,NA,NA
13655,2.12629,1.33322,-4.11881,NA,-8.559,NA,NA,NA,NA,NA
13875,2.08892,2.02461,-4.8729,NA,-15.518,NA,NA,NA,NA,NA
14007,1.27801,1.98377,-4.05839,NA,-13.704,NA,NA,NA,NA,NA
14320,1.8447,1.11974,-5,NA,NA,-29.822,NA,NA,NA,NA
14460,1.98501,1.45909,-4.46128,NA,-3.338,NA,NA,NA,NA,NA
14634,2.32659,2.11718,-4.34863,NA,NA,NA,-19.706,NA,NA,NA
14895,2.28491,2.22627,-5,NA,-26.057,NA,NA,NA,NA,NA
15186,1.84387,2.6807,-4.71034,NA,NA,-33.493,NA,NA,NA,NA
15398,1.3508,1.26326,-4.80226,NA,NA,-28.315,NA,NA,NA,NA
15473,1.12524,1.99108,-5,NA,NA,-35.121,NA,NA,NA,NA
15751,1.88145,1.87957,-5,NA,-15.233,NA,NA,NA,NA,NA
15841,1.66124,1.77648,-4.21264,NA,NA,-4.818,NA,NA,NA,NA
16160,1.77433,1.76378,-5,NA,-15.297,NA,NA,NA,NA,NA
16364,2.44121,1.40137,-5,NA,-27.103,NA,NA,NA,NA,NA
16453,2.11105,2.09313,-4.93958,NA,NA,NA,-20.504,NA,NA,NA
16619,1.96667,1.411,-5,NA,-17.67,NA,NA,NA,NA,NA
16901,2.29949,2.50994,-3.80614,NA,-33.256,NA,NA,NA,NA,NA
17070,1.99963,2.1861,-3.8221,NA,NA,NA,-18.507,NA,NA,NA
17342,1.24909,1.70854,-4.89383,NA,NA,NA,-20.812,NA,NA,NA
17495,1.32681,1.44193,-5,NA,-24.348,NA,NA,NA,NA,NA
17654,1.75512,2.24357,-4.68328,NA,-13.917,NA,NA,NA,NA,NA
17954,1.82049,2.2466,-4.42475,NA,NA,-18.327,NA,NA,NA,NA
18040,1.79778,1.48928,-4.86331,NA,NA,NA,-13.215,NA,NA,NA
18360,1.58358,2.1687,-5,NA,NA,-26.423,NA,NA,NA,NA
18534,1.99066,0.920669,-5,NA,-38.65,NA,NA,NA,NA,NA
18664,1.32373,1.34596,-5,NA,-25.788,NA,NA,NA,NA,NA
18944,1.57752,1.78601,-4.29992,NA,NA,NA,-15.149,NA,NA,NA
19055,1.25301,1.53815,-4.81676,NA,-17.325,NA,NA,NA,NA,NA
19226,1.03334,1.68724,-4.27787,NA,NA,NA,-20.93,NA,NA,NA
19585,2.0189,1.27402,-5,NA,-21.737,NA,NA,NA,NA,NA
19739,1.70252,1.5883,-5,NA,NA,-22.654,NA,NA,NA,NA
19867,2.63731,1.58834,-4.85143,NA,NA,NA,NA,NA,-52.883,NA
20135,1.88107,1.52253,-4.48139,NA,-1.928,NA,NA,NA,NA,NA
20346,2.32155,1.95663,-5,NA,-23.112,NA,NA,NA,NA,NA
20556,1.60183,1.52497,-5,NA,NA,-25.64,NA,NA,NA,NA
20794,1.73207,1.65071,-4.50462,NA,-2.985,NA,NA,NA,NA,NA
20894,1.73572,1.86415,-4.89323,NA,NA,NA,-13.309,NA,NA,NA
21173,1.71742,1.43474,-4.81255,NA,NA,NA,NA,NA,NA,-35.929
21284,1.10695,1.74274,-5,NA,NA,NA,NA,NA,NA,-44.75
21476,1.33463,1.69884,-5,NA,-20.626,NA,NA,NA,NA,NA
21749,1.13096,1.45197,-4.98916,NA,-32.485,NA,NA,NA,NA,NA
21809,1.14473,1.59883,-5,NA,NA,NA,-33.095,NA,NA,NA
22009,0.956814,2.27489,-4.77075,NA,NA,NA,NA,NA,NA,-43.231
22223,1.85448,1.31624,-4.72227,NA,NA,-19.942,NA,NA,NA,NA
22453,1.2977,1.70362,-5,NA,NA,NA,-26.957,NA,NA,NA
22638,1.65201,1.47006,-4.98337,NA,NA,NA,-21.151,NA,NA,NA
22968,1.87957,2.31765,-5,NA,NA,NA,-27.619,NA,NA,NA
23154,1.74206,1.28582,-5,NA,-21.103,NA,NA,NA,NA,NA
23263,1.0515,1.43945,-4.97275,NA,NA,-46.293,NA,NA,NA,NA
23536,1.672,1.7953,-5,NA,-15.169,NA,NA,NA,NA,NA
23606,1.3875,1.41791,-4.97199,NA,-21.068,NA,NA,NA,NA,NA
23914,1.38032,1.80037,-5,NA,NA,NA,-24.351,NA,NA,NA
24195,1.79748,1.80933,-3.524,NA,NA,-29.343,NA,NA,NA,NA
24272,2.09809,1.66109,-4.16346,NA,-4.482,NA,NA,NA,NA,NA
24501,1.88528,1.87155,-4.37832,NA,NA,-9.657,NA,NA,NA,NA
24768,1.1827,2.26717,-4.2573,NA,NA,NA,-27.528,NA,NA,NA
24966,1.99075,2.17212,-5,NA,NA,NA,-26.1,NA,NA,NA
25027,1.96376,2.28613,-3.90355,NA,-18.331,NA,NA,NA,NA,NA
25299,2.0917,2.07603,-5,NA,NA,NA,-22.588,NA,NA,NA
25459,1.32902,1.87642,-5,NA,NA,NA,-24.441,NA,NA,NA
25680,2.049,1.28181,-5,NA,NA,NA,-26.746,NA,NA,NA
25891,1.96334,2.12301,-4.63661,NA,NA,-13.175,NA,NA,NA,NA
26073,1.98218,1.86421,-4.95352,NA,-14.194,NA,NA,NA,NA,NA
26230,1.47235,1.24612,-4.61205,NA,-13.082,NA,NA,NA,NA,NA
26572,2.31737,1.55874,-4.08431,NA,NA,-17.246,NA,NA,NA,NA
26649,1.78223,2.0447,-4.50001,NA,NA,NA,NA,NA,-31.798,NA
26938,1.37661,1.3797,-5,NA,NA,NA,-24.489,NA,NA,NA
27096,2.05182,1.93665,-4.46838,NA,-6.322,NA,NA,NA,NA,NA
27226,1.75275,1.80633,-3.79951,NA,-10.269,NA,NA,NA,NA,NA
27409,1.47492,2.03909,-5,NA,NA,NA,NA,NA,-35.616,NA
27665,2.24854,2.14927,-5,NA,-23.843,NA,NA,NA,NA,NA
27922,1.44186,2.13833,-5,NA,NA,-23.717,NA,NA,NA,NA
28118,2.18889,1.49686,-5,NA,-18.97,NA,NA,NA,NA,NA
28264,1.984,1.60897,-5,NA,-15.805,NA,NA,NA,NA,NA
28591,1.4161,1.62969,-3.95119,NA,NA,-11.78,NA,NA,NA,NA
28756,2.51581,1.85603,-4.39428,NA,-17.037,NA,NA,NA,NA,NA
28907,1.4902,1.43888,-3.62483,NA,NA,NA,-22.606,NA,NA,NA
29096,1.3286,2.20379,-4.46587,NA,NA,-26.786,NA,NA,NA,NA
29393,1.07105,1.66942,-4.40167,NA,NA,-21.716,NA,NA,NA,NA
29527,2.22841,1.53443,-4.56853,NA,-8.958,NA,NA,NA,NA,NA
29601,1.16489,1.39138,-5,NA,-30.341,NA,NA,NA,NA,NA
29954,1.08519,2.04291,-5,NA,-29.721,NA,NA,NA,NA,NA
30196,1.98482,1.34039,-5,NA,-19.44,NA,NA,NA,NA,NA
30224,1.81314,1.19856,-4.6967,NA,-13.961,NA,NA,NA,NA,NA
30540,1.32172,1.90691,-4.3405,NA,-8.779,NA,NA,NA,NA,NA
30788,1.84359,1.86707,-4.686,NA,NA,-19.88,NA,NA,NA,NA
30931,2.49777,1.61898,-4.57657,NA,NA,NA,-18.178,NA,NA,NA
31098,2.50618,2.26407,-4.17167,NA,-24.452,NA,NA,NA,NA,NA
31395,1.79496,2.16401,-4.53468,NA,-10.196,NA,NA,NA,NA,NA
31572,2.63739,1.74127,-4.2479,NA,-21.624,NA,NA,NA,NA,NA
31653,2.31659,1.91079,-4.10887,NA,NA,-14.106,NA,NA,NA,NA
31812,1.55216,1.75887,-4.13841,NA,NA,-13.664,NA,NA,NA,NA
32137,1.68038,1.7264,-3.81424,NA,NA,-12.937,NA,NA,NA,NA
32203,2.04193,1.43687,-4.68727,NA,-9.314,NA,NA,NA,NA,NA
32559,1.94939,1.97504,-4.1415,NA,-6.017,NA,NA,NA,NA,NA
32626,0.954508,1.52954,-4.16145,NA,NA,NA,-29.986,NA,NA,NA
32835,2.56994,1.93719,-3.858,NA,NA,-28.552,NA,NA,NA,NA
33147,1.77821,1.72158,-5,NA,-15.078,NA,NA,NA,NA,NA
33376,1.52399,1.83576,-4.76779,NA,NA,-19.809,NA,NA,NA,NA
33515,2.03022,1.62335,-4.54474,NA,NA,NA,-16.613,NA,NA,NA
33715,2.15147,1.31638,-3.86946,NA,NA,-19.048,NA,NA,NA,NA
33954,2.21387,1.56996,-5,NA,NA,NA,-24.207,NA,NA,NA
34197,1.91448,1.25251,-4.33226,NA,NA,NA,-10.257,NA,NA,NA
34298,1.51399,1.32671,-4.07464,NA,-8.516,NA,NA,NA,NA,NA
34416,1.88927,1.93055,-3.7641,NA,NA,NA,-20.456,NA,NA,NA
34758,2.2547,1.52689,-4.69386,NA,-12.899,NA,NA,NA,NA,NA
34901,2.49593,3.09081,-4.71555,NA,-61.019,NA,NA,NA,NA,NA
35041,1.3215,1.70795,-4.72863,NA,NA,NA,NA,NA,NA,-32.711
35361,1.71796,1.71404,-5,NA,NA,NA,NA,NA,NA,-28.587
35448,1.03744,1.55192,-5,NA,NA,NA,-41.032,NA,NA,NA
35751,1.88904,1.38861,-4.8309,NA,NA,-15.098,NA,NA,NA,NA
35808,1.23141,1.18244,-4.77,NA,-27.452,NA,NA,NA,NA,NA
36144,1.39469,1.68214,-4.86088,NA,-14.815,NA,NA,NA,NA,NA
36345,1.73289,1.50308,-5,NA,NA,NA,-27.684,NA,NA,NA
36442,1.66811,1.21865,-5,NA,-23.271,NA,NA,NA,NA,NA
36768,1.63631,1.7687,-5,NA,-16.841,NA,NA,NA,NA,NA
36841,2.61573,2.11913,-4.2228,NA,-24.994,NA,NA,NA,NA,NA
37188,2.25907,1.72358,-5,NA,NA,NA,-25.126,NA,NA,NA
37364,2.00746,2.01953,-4.167,NA,NA,NA,NA,NA,NA,-25.694
37411,1.89256,1.63717,-4.73036,NA,NA,NA,NA,NA,-34.478,NA
37725,2.21855,2.23042,-5,NA,NA,NA,NA,NA,NA,-42.482
37805,1.37963,1.59026,-3.96161,NA,NA,NA,-24.001,NA,NA,NA
38034,1.42853,1.3957,-4.38148,NA,-6.422,NA,NA,NA,NA,NA
38314,1.0064,2.12921,-4.46898,NA,NA,NA,-26.173,NA,NA,NA
38557,2.37507,1.73316,-4.54488,NA,-13.691,NA,NA,NA,NA,NA
38677,1.46411,1.9016,-5,NA,NA,-25.84,NA,NA,NA,NA
38917,2.07392,2.31825,-4.45694,NA,-16.356,NA,NA,NA,NA,NA
39111,2.16491,1.51712,-4.43438,NA,NA,-20.446,NA,NA,NA,NA
39353,1.35121,1.77326,-3.66905,NA,NA,-28.107,NA,NA,NA,NA
39513,1.57528,2.10846,-5,NA,NA,NA,-20.92,NA,NA,NA
39766,1.21179,1.58237,-4.75039,NA,NA,-23.454,NA,NA,NA,NA
39807,2.03389,1.25068,-4.76754,NA,NA,NA,-24.899,NA,NA,NA
40151,1.83226,1.84967,-5,NA,-15.336,NA,NA,NA,NA,NA
40400,2.17246,1.77994,-5,NA,NA,NA,NA,NA,-35.926,NA
40485,1.41682,1.86811,-5,NA,NA,-30.437,NA,NA,NA,NA
40720,1.20678,2.13322,-4.41328,NA,NA,NA,-17.658,NA,NA,NA
40966,1.51305,1.86493,-3.80596,NA,-12.213,NA,NA,NA,NA,NA
41160,1.79091,1.47013,-3.69187,NA,NA,NA,-16.3,NA,NA,NA
41386,1.86216,2.25746,-4.36402,NA,NA,NA,-15.186,NA,NA,NA
41436,2.48771,1.79802,-4.83202,NA,-21.441,NA,NA,NA,NA,NA
41696,2.58962,1.632,-4.75199,NA,-23.372,NA,NA,NA,NA,NA
41969,1.7043,2.45656,-5,NA,NA,NA,NA,NA,-40.669,NA
42175,2.25636,1.40014,-5,NA,-21.837,NA,NA,NA,NA,NA
42251,2.09461,2.23033,-5,NA,NA,NA,-26.485,NA,NA,NA
42420,1.74868,1.61023,-5,NA,NA,NA,NA,NA,NA,-28.948
42736,1.87973,2.04172,-5,NA,-17.161,NA,NA,NA,NA,NA
42978,1.84931,1.24189,-4.60715,NA,NA,NA,-13.155,NA,NA,NA
43088,2.13184,2.20947,-4.58724,NA,-14.311,NA,NA,NA,NA,NA
43264,0.808285,1.62898,-5,NA,NA,-49.874,NA,NA,NA,NA
43554,1.75266,1.49176,-5,NA,-16.977,NA,NA,NA,NA,NA
43689,2.36426,1.37898,-4.07702,NA,-14.998,NA,NA,NA,NA,NA
43854,2.06219,1.75323,-4.5899,NA,-6.355,NA,NA,NA,NA,NA
44185,1.88627,2.11467,-3.63264,NA,NA,NA,-23.975,NA,NA,NA
44204,2.11122,2.04409,-3.66752,NA,-20.9,NA,NA,NA,NA,NA
44542,2.06662,1.5977,-3.84234,NA,-10.344,NA,NA,NA,NA,NA
44768,1.76327,1.58451,-4.48667,NA,NA,-8.559,NA,NA,NA,NA
44863,1.80933,1.60241,-4.4065,NA,NA,NA,-3.637,NA,NA,NA
45020,2.26714,1.62092,-4.26112,NA,NA,NA,-13.261,NA,NA,NA
45338,1.66949,2.369,-5,NA,NA,NA,NA,NA,NA,-52.672
45579,1.27066,1.82617,-3.72703,NA,-20.311,NA,NA,NA,NA,NA
45688,1.31378,1.63591,-4.34031,NA,NA,-10.027,NA,NA,NA,NA
45908,1.86367,1.77889,-4.96655,NA,NA,-15.728,NA,NA,NA,NA
46087,1.65747,1.65623,-4.58958,NA,NA,-13.84,NA,NA,NA,NA
46330,2.10335,1.6336,-4.4556,NA,-4.593,NA,NA,NA,NA,NA
46475,2.47822,1.90837,-4.06937,NA,-17.77,NA,NA,NA,NA,NA
46662,2.05377,1.56219,-3.81748,NA,-10.903,NA,NA,NA,NA,NA
46965,1.75769,1.573,-5,NA,NA,-25.015,NA,NA,NA,NA
47158,1.73795,1.78605,-4.38141,NA,NA,-13.083,NA,NA,NA,NA
47320,1.2417,2.20357,-3.98619,NA,NA,NA,-20.519,NA,NA,NA
47566,2.20308,1.59297,-4.00307,NA,NA,NA,NA,NA,NA,-24.043
47668,2.70496,2.12718,-5,NA,-37.609,NA,NA,NA,NA,NA
47867,2.20907,1.83631,-4.81625,NA,-14.504,NA,NA,NA,NA,NA
48161,1.97255,1.66755,-3.84043,NA,NA,-12.206,NA,NA,NA,NA
48305,1.64155,2.18914,-4.98306,NA,NA,NA,-23.806,NA,NA,NA
48552,1.96784,1.12138,-4.46321,NA,-12.555,NA,NA,NA,NA,NA
48753,1.92195,2.06363,-4.50391,NA,-8.902,NA,NA,NA,NA,NA
48878,2.44048,1.19801,-5,NA,NA,NA,-37.729,NA,NA,NA
49176,1.72695,2.02361,-5,NA,-18.229,NA,NA,NA,NA,NA
49226,2.00539,2.03049,-5,NA,NA,NA,-24.33,NA,NA,NA
49522,2.45146,1.4741,-4.29273,NA,-14.903,NA,NA,NA,NA,NA
49715,2.10711,2.72988,-4.51375,NA,-31.577,NA,NA,NA,NA,NA
49822,1.31911,1.8741,-4.06204,NA,NA,-13.347,NA,NA,NA,NA
50041,1.9743,0.783537,-4.04276,NA,-38.52,NA,NA,NA,NA,NA
50233,2.0546,2.08093,-4.14487,NA,NA,-11.492,NA,NA,NA,NA
50579,1.83524,1.71483,-4.5497,NA,NA,NA,-6.636,NA,NA,NA
50664,1.76842,1.04,-4.19686,NA,NA,NA,NA,NA,NA,-32.582
50928,2.10139,1.17898,-4.00365,NA,NA,-20.4,NA,NA,NA,NA
51128,2.01164,2.05592,-4.63326,NA,NA,-21.118,NA,NA,NA,NA
51398,1.65976,2.20342,-4.61529,NA,NA,-15.027,NA,NA,NA,NA
51495,1.386,2.23164,-4.05341,NA,NA,-20.29,NA,NA,NA,NA
51687,1.77729,1.49076,-4.94356,NA,-13.398,NA,NA,NA,NA,NA
51962,2.05431,2.40492,-5,NA,NA,NA,NA,NA,-50.136,NA
52043,1.71242,1.57705,-3.55836,NA,-19.721,NA,NA,NA,NA,NA
52347,1.71257,1.14181,-4.66414,NA,-15.293,NA,NA,NA,NA,NA
52448,1.85431,1.48903,-4.4418,NA,NA,NA,-5.585,NA,NA,NA
52798,2.20465,1.37838,-5,NA,-21.399,NA,NA,NA,NA,NA
52952,2.15163,2.09811,-4.62009,NA,NA,-16.168,NA,NA,NA,NA
53045,1.96975,2.2233,-4.92658,NA,-19.153,NA,NA,NA,NA,NA
53302,2.08767,2.40622,-5,NA,-27.555,NA,NA,NA,NA,NA
53534,1.92896,1.20382,-4.42587,NA,NA,-18.147,NA,NA,NA,NA
53699,1.32193,1.28873,-5,NA,NA,-31.482,NA,NA,NA,NA
53880,1.96301,1.3157,-5,NA,NA,NA,-24.028,NA,NA,NA
54058,2.2032,1.58615,-4.56269,NA,NA,NA,-16.938,NA,NA,NA
54377,2.19226,2.29478,-5,NA,-26.235,NA,NA,NA,NA,NA
54492,1.66165,1.97493,-4.66974,NA,NA,-13.723,NA,NA,NA,NA
54658,1.47609,1.97386,-5,NA,NA,NA,-24.695,NA,NA,NA
54883,1.60595,1.99493,-4.66587,NA,NA,NA,-14.338,NA,NA,NA
55191,1.35581,1.61454,-3.45767,NA,-29.161,NA,NA,NA,NA,NA
55334,1.60107,1.92951,-3.48369,NA,NA,NA,-25.053,NA,NA,NA
55408,2.61714,1.30423,-4.34471,NA,NA,-35.945,NA,NA,NA,NA
55742,2.25912,1.34139,-3.97698,NA,-15.461,NA,NA,NA,NA,NA
55813,1.9822,1.85411,-4.33925,NA,NA,-5.549,NA,NA,NA,NA
56159,1.75273,2.08437,-5,NA,-19.57,NA,NA,NA,NA,NA
56349,1.74655,2.23605,-4.97136,NA,-21.683,NA,NA,NA,NA,NA
56443,1.6743,1.43888,-5,NA,NA,-21.882,NA,NA,NA,NA
56712,1.88495,1.8085,-4.01318,NA,-4.713,NA,NA,NA,NA,NA
56905,2.33974,1.4967,-4.38309,NA,NA,NA,-24.765,NA,NA,NA
57082,2.57928,1.41482,-4.2772,NA,-20.876,NA,NA,NA,NA,NA
57259,2.32171,1.03413,-5,NA,-36.095,NA,NA,NA,NA,NA
57519,1.99648,1.11774,-4.68133,NA,NA,NA,NA,NA,NA,-31.209
57715,1.7058,1.49329,-3.60708,NA,-18.297,NA,NA,NA,NA,NA
57902,2.18654,1.9515,-3.96241,NA,NA,-14.58,NA,NA,NA,NA
58104,2.8109,1.44544,-4.44027,NA,NA,-32.911,NA,NA,NA,NA
58316,1.41763,1.89586,-4.39808,NA,NA,NA,-17.58,NA,NA,NA
58415,2.51575,2.20248,-4.25248,NA,NA,NA,-27.371,NA,NA,NA
58745,1.74534,1.57884,-4.74008,NA,NA,NA,-14.564,NA,NA,NA
58811,2.12164,2.01966,-5,NA,-19.087,NA,NA,NA,NA,NA
59190,1.62706,1.18426,-4.6328,NA,NA,NA,-19.917,NA,NA,NA
59234,1.66917,1.69309,-5,NA,NA,NA,-24.635,NA,NA,NA
59543,1.71172,1.70837,-5,NA,-15.128,NA,NA,NA,NA,NA
59635,1.33514,1.96949,-5,NA,NA,NA,-23.722,NA,NA,NA
59885,1.30202,1.63518,-4.62062,NA,NA,-13.623,NA,NA,NA,NA
60012,2.18553,1.89359,-4.21006,NA,NA,NA,NA,NA,-27.28,NA
60301,1.60296,2.26555,-4.41262,NA,NA,NA,NA,NA,-26.165,NA
60579,1.80004,2.42456,-4.36828,NA,-17.423,NA,NA,NA,NA,NA
60628,1.29738,1.61118,-4.25199,NA,NA,-10.233,NA,NA,NA,NA
60850,1.25159,1.47028,-4.12315,NA,-12.564,NA,NA,NA,NA,NA
61009,2.06432,2.44551,-4.48823,NA,-19.859,NA,NA,NA,NA,NA
61224,1.55343,2.20517,-4.79911,NA,NA,NA,NA,NA,-32.825,NA
61415,2.00311,1.58834,-5,NA,-15.932,NA,NA,NA,NA,NA
61617,1.30463,1.79505,-5,NA,NA,NA,-25.2,NA,NA,NA
61940,1.80707,2.05151,-4.89117,NA,-14.688,NA,NA,NA,NA,NA
62144,2.16323,1.84182,-4.48112,NA,NA,NA,NA,NA,NA,-30.186
62257,2.01905,1.2474,-4.51489,NA,NA,-15.865,NA,NA,NA,NA
62550,1.95374,1.81515,-5,NA,NA,NA,-24.197,NA,NA,NA
62744,2.20852,1.69662,-5,NA,-19.304,NA,NA,NA,NA,NA
62810,1.92371,1.66304,-4.49721,NA,-3.162,NA,NA,NA,NA,NA
63097,2.18241,1.38746,-5,NA,NA,NA,-30.805,NA,NA,NA
63322,1.58493,2.01024,-5,NA,-17.685,NA,NA,NA,NA,NA
63494,1.40115,1.84643,-4.00217,NA,NA,NA,-13.921,NA,NA,NA
63709,1.59126,2.08685,-4.72763,NA,-12.324,NA,NA,NA,NA,NA
63965,1.29538,1.97816,-5,NA,-22.544,NA,NA,NA,NA,NA
64068,1.52812,1.79942,-5,NA,-16.72,NA,NA,NA,NA,NA
64388,2.183,2.07806,-5,NA,NA,NA,-25.194,NA,NA,NA
64496,1.58376,1.69479,-4.6854,NA,-6.042,NA,NA,NA,NA,NA
64780,1.5058,2.29055,-4.78573,NA,NA,NA,-20.597,NA,NA,NA
64928,1.87927,1.6737,-4.13235,NA,NA,-9.166,NA,NA,NA,NA
65001,1.52477,2.45497,-4.36812,NA,NA,-31.28,NA,NA,NA,NA
65212,1.77599,1.27972,-3.98173,NA,-8.49,NA,NA,NA,NA,NA
65590,2.18001,1.37418,-3.85769,NA,NA,-17.098,NA,NA,NA,NA
65650,1.86363,2.05439,-5,NA,NA,NA,-20.535,NA,NA,NA
65912,2.31779,2.23021,-5,NA,-26.774,NA,NA,NA,NA,NA
66038,2.2015,2.25092,-5,NA,-25.143,NA,NA,NA,NA,NA
66311,1.46951,0.974403,-5,NA,-44.787,NA,NA,NA,NA,NA
66563,1.49508,1.99147,-4.53005,NA,-8.759,NA,NA,NA,NA,NA
66631,1.45569,1.59259,-5,NA,NA,NA,NA,NA,-40.703,NA
66883,1.51129,2.20344,-5,NA,NA,-27.696,NA,NA,NA,NA
67066,1.72686,2.50608,-4.80854,NA,NA,NA,-26.972,NA,NA,NA
67282,1.44391,2.77917,-5,NA,-43.203,NA,NA,NA,NA,NA
67453,1.76063,1.12366,-4.29273,NA,-12.002,NA,NA,NA,NA,NA
