id,x0,x1,x2,fitness-1.5,fitness-2,fitness-0.5,fitness-1,fitness0,fitness2.5,fitness3.5,fitness5,fitness4.5,fitness4,fitness3,fitness2
12799,5,-1.51496,3.47856,NA,NA,NA,NA,NA,NA,NA,1304.043,NA,NA,NA,NA
12848,4.28473,-2.20186,4.21749,NA,NA,NA,NA,NA,NA,NA,941.858,NA,NA,NA,NA
13003,4.37751,-1.98154,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,787.168,NA
13224,5,-1.72099,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.296,NA
13579,5,-1.53575,4.30181,NA,NA,NA,NA,NA,NA,NA,NA,6916.746,NA,NA,NA
13695,4.14174,-1.44576,3.78571,NA,NA,NA,NA,NA,NA,NA,1932.136,NA,NA,NA,NA
13999,4.0936,-1.37768,5,NA,NA,NA,NA,NA,NA,NA,3599.572,NA,NA,NA,NA
14040,3.90397,-0.907767,5,NA,NA,NA,NA,NA,NA,NA,2555.881,NA,NA,NA,NA
14372,5,-0.911943,5,NA,NA,NA,NA,NA,NA,NA,11158.813,NA,NA,NA,NA
14578,5,-1.20808,5,NA,NA,NA,NA,NA,NA,NA,NA,3262.341,NA,NA,NA
14642,5,-0.564185,5,NA,NA,NA,NA,NA,NA,NA,5772.516,NA,NA,NA,NA
14868,5,-0.858202,4.16787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2338.561,NA
15141,4.68555,-0.913151,4.86655,NA,NA,NA,NA,NA,NA,NA,13271.601,NA,NA,NA,NA
15291,5,-1.45676,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3645.944,NA,NA
15587,4.77386,-4.01768,5,NA,NA,NA,NA,NA,NA,NA,3141.652,NA,NA,NA,NA
15779,4.6256,-3.04603,5,NA,NA,NA,NA,NA,NA,NA,2448.054,NA,NA,NA,NA
15828,4.95328,-1.61304,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3053.25,NA,NA
16140,5,-2.05152,5,NA,NA,NA,NA,NA,NA,NA,5358.82,NA,NA,NA,NA
16282,5,-0.632112,4.84325,NA,NA,NA,NA,NA,NA,NA,12056.923,NA,NA,NA,NA
16399,5,-0.840589,5,NA,NA,NA,NA,NA,NA,NA,12806.953,NA,NA,NA,NA
16594,4.82247,-0.213298,3.51425,NA,NA,NA,NA,NA,NA,NA,425.756,NA,NA,NA,NA
16800,4.63979,-1.4212,3.39268,NA,NA,NA,NA,NA,NA,NA,2990.294,NA,NA,NA,NA
17178,5,-1.05832,3.82236,NA,NA,NA,NA,NA,NA,NA,1782.939,NA,NA,NA,NA
17276,4.90304,-1.86191,4.82857,NA,NA,NA,NA,NA,NA,NA,5725.468,NA,NA,NA,NA
17404,4.5832,-1.81068,5,NA,NA,NA,NA,NA,NA,NA,593.393,NA,NA,NA,NA
17702,4.77564,-0.508444,5,NA,NA,NA,NA,NA,NA,NA,3402.924,NA,NA,NA,NA
17805,5,-0.753267,5,NA,NA,NA,NA,NA,NA,NA,12719.949,NA,NA,NA,NA
18076,5,-0.683297,5,NA,NA,NA,NA,NA,NA,NA,11043.888,NA,NA,NA,NA
18241,5,-0.635431,5,NA,NA,NA,NA,NA,NA,NA,9213.024,NA,NA,NA,NA
18537,5,-1.52869,5,NA,NA,NA,NA,NA,NA,1026.712,NA,NA,NA,NA,NA
18779,5,-1.27965,5,NA,NA,NA,NA,NA,NA,NA,NA,5445.579,NA,NA,NA
18969,4.27635,-0.249708,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036.182,NA
19100,5,-0.799702,4.34944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2751.574,NA
19245,4.9842,-1.40965,3.65408,NA,NA,NA,NA,NA,480.093,NA,NA,NA,NA,NA,NA
19403,5,-0.575419,3.16129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.8,NA
19607,5,-0.579683,4.85571,NA,NA,NA,NA,NA,NA,NA,NA,6835.861,NA,NA,NA
19891,3.08131,-1.6621,5,NA,NA,NA,NA,NA,NA,NA,NA,594.726,NA,NA,NA
20143,3.74993,-1.92456,5,NA,NA,NA,NA,NA,NA,NA,NA,1888.952,NA,NA,NA
20299,4.65609,-0.714316,4.84176,NA,NA,NA,NA,NA,NA,NA,11995.942,NA,NA,NA,NA
20524,5,-0.676948,5,NA,NA,NA,NA,NA,NA,NA,13372.236,NA,NA,NA,NA
20613,4.86029,-1.00124,4.77651,NA,NA,NA,NA,NA,NA,NA,11821.597,NA,NA,NA,NA
20982,5,-0.63248,5,NA,NA,NA,NA,NA,NA,NA,NA,8755.323,NA,NA,NA
21029,5,-0.827858,4.56215,NA,NA,NA,NA,NA,NA,NA,3381.507,NA,NA,NA,NA
21321,5,-1.05114,4.84175,NA,NA,NA,NA,NA,NA,NA,5836.753,NA,NA,NA,NA
21512,5,-0.616343,4.83237,NA,NA,NA,NA,NA,NA,NA,11053.788,NA,NA,NA,NA
21661,5,-1.85433,5,NA,NA,NA,NA,NA,NA,NA,3110.041,NA,NA,NA,NA
21938,5,-0.826043,4.83707,NA,NA,NA,NA,NA,NA,NA,20142.819,NA,NA,NA,NA
22052,5,-0.848756,3.6397,NA,NA,NA,NA,NA,NA,NA,3013.963,NA,NA,NA,NA
22268,5,-1.30394,4.24694,NA,NA,NA,NA,NA,NA,NA,5952.9,NA,NA,NA,NA
22478,3.92359,-1.04196,4.94578,NA,NA,NA,NA,NA,NA,NA,1440.79,NA,NA,NA,NA
22734,4.8711,-0.922918,4.78584,NA,NA,NA,NA,NA,NA,NA,NA,12782.436,NA,NA,NA
22809,5,-0.8676,3.8928,NA,NA,NA,NA,NA,NA,NA,3080.566,NA,NA,NA,NA
23055,4.91099,-0.777616,4.93551,NA,NA,NA,NA,NA,NA,NA,20569.457,NA,NA,NA,NA
23207,5,-0.653026,5,NA,NA,NA,NA,NA,NA,NA,9941.249,NA,NA,NA,NA
23464,4.41651,-0.938077,5,NA,NA,NA,NA,NA,NA,NA,NA,2268.692,NA,NA,NA
23759,5,-1.29263,4.18617,NA,NA,NA,NA,NA,NA,NA,NA,5250.618,NA,NA,NA
23881,4.90825,-0.943842,5,NA,NA,NA,NA,NA,NA,NA,12861.996,NA,NA,NA,NA
23985,5,-0.965242,5,NA,NA,NA,NA,NA,NA,NA,11277.291,NA,NA,NA,NA
24223,5,-0.608997,4.94545,NA,NA,NA,NA,NA,NA,NA,9659.913,NA,NA,NA,NA
24414,5,-2.04304,5,NA,NA,NA,NA,NA,NA,NA,7198.667,NA,NA,NA,NA
24736,5,-4.04213,5,NA,NA,NA,NA,NA,NA,NA,2461.227,NA,NA,NA,NA
24921,4.95969,-3.0282,4.94216,NA,NA,NA,NA,NA,NA,NA,4529.836,NA,NA,NA,NA
25044,4.18777,-1.56587,4.26306,NA,NA,NA,NA,NA,NA,NA,NA,1494.995,NA,NA,NA
25220,5,-0.95654,5,NA,NA,NA,NA,NA,NA,NA,9419.627,NA,NA,NA,NA
25504,5,-0.72461,5,NA,NA,NA,NA,NA,NA,NA,12193.66,NA,NA,NA,NA
25623,5,-0.803935,5,NA,NA,NA,NA,NA,NA,NA,13055.989,NA,NA,NA,NA
25846,5,-1.05809,5,NA,NA,NA,NA,NA,NA,NA,3975.091,NA,NA,NA,NA
26092,5,-0.801206,5,NA,NA,NA,NA,NA,NA,NA,13057.887,NA,NA,NA,NA
26287,5,-0.733751,5,NA,NA,NA,NA,NA,NA,NA,12386.819,NA,NA,NA,NA
26470,5,-1.63192,4.77983,NA,NA,NA,NA,NA,NA,NA,NA,NA,4753.795,NA,NA
26701,5,-2.11235,5,NA,NA,NA,NA,NA,NA,NA,5636.2,NA,NA,NA,NA
26790,4.78069,-4.02987,4.74569,NA,NA,NA,NA,NA,NA,NA,3550.208,NA,NA,NA,NA
27093,5,-5,5,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA
27194,5,-5,5,NA,NA,NA,NA,NA,NA,NA,3394.155,NA,NA,NA,NA
27536,4.85987,-3.03224,5,NA,NA,NA,NA,NA,NA,NA,4267.956,NA,NA,NA,NA
27610,4.63377,-2.22875,5,NA,NA,NA,NA,NA,NA,NA,NA,644.888,NA,NA,NA
27967,3.8125,-1.64786,5,NA,NA,NA,NA,NA,NA,NA,NA,593.353,NA,NA,NA
28098,3.7543,-0.883668,5,NA,NA,NA,NA,NA,NA,NA,4422.462,NA,NA,NA,NA
28243,5,-0.93494,4.89918,NA,NA,NA,NA,NA,NA,NA,13469.361,NA,NA,NA,NA
28544,5,-1.0743,4.21109,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.005,NA,NA
28617,5,-0.656639,4.78105,NA,NA,NA,NA,NA,NA,NA,12483.621,NA,NA,NA,NA
28874,5,-2.04669,5,NA,NA,NA,NA,NA,NA,NA,5398.26,NA,NA,NA,NA
29034,4.72054,-2.07298,4.74398,NA,NA,NA,NA,NA,NA,NA,6063.347,NA,NA,NA,NA
29274,3.90075,-2.34495,5,NA,NA,NA,NA,NA,NA,NA,NA,172.654,NA,NA,NA
29476,5,-1.79366,5,NA,NA,NA,NA,NA,NA,NA,1210.342,NA,NA,NA,NA
29764,4.2745,-1.16788,4.56942,NA,NA,NA,NA,NA,NA,NA,NA,256.785,NA,NA,NA
29906,5,0.189388,4.91972,NA,NA,NA,NA,NA,NA,NA,2213.772,NA,NA,NA,NA
30106,5,-0.640838,5,NA,NA,NA,NA,NA,NA,NA,9443.072,NA,NA,NA,NA
30305,4.71874,0.223873,4.78525,NA,NA,NA,NA,NA,NA,NA,3178.586,NA,NA,NA,NA
30492,5,-1.07389,5,NA,NA,NA,NA,NA,NA,NA,3011.136,NA,NA,NA,NA
30731,5,-0.673527,4.94413,NA,NA,NA,NA,NA,NA,NA,NA,12449.408,NA,NA,NA
30852,5,-0.942273,5,NA,NA,NA,NA,NA,NA,NA,NA,8763.999,NA,NA,NA
31171,5,-1.89897,5,NA,NA,NA,NA,NA,NA,NA,4320.09,NA,NA,NA,NA
31359,5,-2.15428,5,NA,NA,NA,NA,NA,NA,NA,NA,2021.862,NA,NA,NA
31425,5,-2.13741,5,NA,NA,NA,NA,NA,NA,NA,4024.792,NA,NA,NA,NA
31597,4.66204,-2.02313,5,NA,NA,NA,NA,NA,NA,NA,4338.761,NA,NA,NA,NA
31892,4.84259,-1.31609,3.31376,NA,NA,NA,NA,NA,NA,NA,4800.144,NA,NA,NA,NA
32175,4.80332,-2.24139,5,NA,NA,NA,NA,NA,NA,NA,1783.21,NA,NA,NA,NA
32350,5,-2.50407,4.87563,NA,NA,NA,NA,NA,NA,NA,NA,NA,2421.885,NA,NA
32407,5,-0.660991,5,NA,NA,NA,NA,NA,NA,3696.259,NA,NA,NA,NA,NA
32595,5,-0.785427,5,NA,NA,NA,NA,NA,NA,4214.446,NA,NA,NA,NA,NA
32959,5,-1.33713,5,NA,NA,NA,NA,NA,NA,3452.17,NA,NA,NA,NA,NA
32998,5,-0.220007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2953.348,NA,NA
33366,4.9283,0.251834,4.96272,NA,NA,NA,NA,NA,NA,NA,4167.413,NA,NA,NA,NA
33462,4.10029,-1.26604,5,NA,NA,NA,NA,NA,NA,NA,2708.063,NA,NA,NA,NA
33677,4.33552,-0.787756,4.17947,NA,NA,NA,NA,NA,NA,NA,4183.636,NA,NA,NA,NA
33813,5,-2.60516,4.15867,NA,NA,NA,NA,NA,NA,NA,1291.282,NA,NA,NA,NA
34126,4.99444,-2.38359,4.35738,NA,NA,NA,NA,NA,NA,NA,1172.163,NA,NA,NA,NA
34269,4.20253,-2.38351,4.66053,NA,NA,NA,NA,NA,NA,NA,NA,1039.039,NA,NA,NA
34431,5,-3.9089,5,NA,NA,NA,NA,NA,NA,NA,3064.377,NA,NA,NA,NA
34635,5,-1.10359,5,NA,NA,NA,NA,NA,NA,NA,1522.913,NA,NA,NA,NA
34946,5,-0.915799,4.82243,NA,NA,NA,NA,NA,NA,NA,19020.453,NA,NA,NA,NA
35014,5,-0.894837,5,NA,NA,NA,NA,NA,NA,NA,15322.248,NA,NA,NA,NA
35257,4.97651,-1.27307,5,NA,NA,NA,NA,NA,NA,NA,NA,4464.075,NA,NA,NA
35457,4.80115,-0.834638,4.93571,NA,NA,NA,NA,NA,NA,6643.74,NA,NA,NA,NA,NA
35715,4.4385,-0.704939,5,NA,NA,NA,NA,NA,NA,NA,NA,910.728,NA,NA,NA
35930,5,-0.723907,5,NA,NA,NA,NA,NA,NA,NA,NA,7977.359,NA,NA,NA
36046,4.80024,0.47578,5,NA,NA,NA,NA,NA,NA,NA,2597.204,NA,NA,NA,NA
36302,5,-0.793763,3.76809,NA,NA,NA,NA,NA,NA,NA,4847.751,NA,NA,NA,NA
36536,5,-1.58452,2.93766,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.658,NA,NA
36745,5,0.0554939,3.20175,NA,NA,NA,NA,NA,NA,NA,733.417,NA,NA,NA,NA
36877,3.30155,-1.42619,4.70614,NA,NA,NA,NA,NA,NA,NA,4240.255,NA,NA,NA,NA
36987,3.81885,-1.56339,5,NA,NA,NA,NA,NA,NA,NA,NA,1761.938,NA,NA,NA
37183,5,-1.40778,5,NA,NA,NA,NA,NA,NA,NA,NA,6328.011,NA,NA,NA
37408,4.99586,-0.856403,5,NA,NA,NA,NA,NA,NA,NA,12806.111,NA,NA,NA,NA
37663,4.21259,-1.31117,5,NA,NA,NA,NA,NA,NA,NA,5763.202,NA,NA,NA,NA
37865,4.80875,-1.19959,5,NA,NA,NA,NA,NA,NA,NA,NA,3545.779,NA,NA,NA
38156,4.80118,-0.698796,4.73652,NA,NA,NA,NA,NA,NA,NA,16303.955,NA,NA,NA,NA
38214,5,-0.676659,5,NA,NA,NA,NA,NA,NA,NA,10819.626,NA,NA,NA,NA
38526,3.44248,-0.426104,5,NA,NA,NA,NA,NA,NA,NA,366.358,NA,NA,NA,NA
38709,5,-1.08789,4.85355,NA,NA,NA,NA,NA,NA,NA,3524.294,NA,NA,NA,NA
38886,4.82775,-0.706652,5,NA,NA,NA,NA,NA,NA,NA,15483.302,NA,NA,NA,NA
39136,5,-2.04111,5,NA,NA,NA,NA,NA,NA,NA,6037.434,NA,NA,NA,NA
39309,5,-1.90548,4.8007,NA,NA,NA,NA,NA,NA,NA,5712.46,NA,NA,NA,NA
39535,5,-0.722214,5,NA,NA,NA,NA,NA,NA,NA,NA,9834.198,NA,NA,NA
39636,5,-0.584864,4.75238,NA,NA,NA,NA,NA,NA,NA,10302.944,NA,NA,NA,NA
39919,4.11761,-0.0856577,5,NA,NA,NA,NA,NA,NA,NA,2478.924,NA,NA,NA,NA
40128,5,0.245777,5,NA,NA,NA,NA,NA,NA,NA,2812.977,NA,NA,NA,NA
40317,5,-0.208707,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2335.92,NA,NA
40392,5,-1.20714,5,NA,NA,NA,NA,NA,NA,1622.594,NA,NA,NA,NA,NA
40699,5,-0.631998,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2543.74
40812,5,-0.0589336,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077.144,NA
41150,5,-0.279248,3.21273,NA,NA,NA,NA,NA,NA,NA,2342.491,NA,NA,NA,NA
41346,4.22608,-1.26402,4.61865,NA,NA,NA,NA,NA,NA,NA,2712.954,NA,NA,NA,NA
41549,4.64501,-1.08601,5,NA,NA,NA,NA,NA,NA,NA,1583.014,NA,NA,NA,NA
41761,4.9058,-2.03235,4.77595,NA,NA,NA,NA,NA,NA,NA,8710.407,NA,NA,NA,NA
41908,5,-1.99064,5,NA,NA,NA,NA,NA,NA,NA,5524.903,NA,NA,NA,NA
42168,5,-1.8374,5,NA,NA,NA,NA,NA,NA,NA,2555.794,NA,NA,NA,NA
42312,3.26824,-0.322087,5,NA,NA,NA,NA,NA,NA,NA,2139.688,NA,NA,NA,NA
42521,4.3623,-0.326975,5,NA,NA,NA,NA,NA,NA,NA,3063.141,NA,NA,NA,NA
42765,5,-0.758225,5,NA,NA,NA,NA,NA,NA,NA,12786.959,NA,NA,NA,NA
42834,4.66088,-0.753387,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634.221,NA,NA
43108,4.25556,-0.520296,5,NA,NA,NA,NA,NA,NA,NA,NA,1094.098,NA,NA,NA
43197,5,-0.683351,3.79339,NA,NA,NA,NA,NA,NA,NA,4062.633,NA,NA,NA,NA
43558,5,-0.605898,4.73178,NA,NA,NA,NA,NA,NA,NA,8557.456,NA,NA,NA,NA
43585,4.84035,-0.85164,3.60521,NA,NA,NA,NA,NA,NA,NA,NA,NA,877.895,NA,NA
43877,4.86598,-0.972528,5,NA,NA,NA,NA,NA,NA,NA,11564.699,NA,NA,NA,NA
44162,5,-0.831261,5,NA,NA,NA,NA,NA,NA,NA,12909.758,NA,NA,NA,NA
44182,5,0.274943,5,NA,NA,NA,NA,NA,NA,NA,3171.053,NA,NA,NA,NA
44398,5,1.96708,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.102,NA,NA
44776,5,0.466329,5,NA,NA,NA,NA,NA,NA,NA,2853.76,NA,NA,NA,NA
44947,4.19682,0.837174,4.80828,NA,NA,NA,NA,NA,NA,NA,2475.629,NA,NA,NA,NA
45107,4.43785,-0.664785,5,NA,NA,NA,NA,NA,NA,NA,NA,1892.552,NA,NA,NA
45265,5,-0.508797,5,NA,NA,NA,NA,NA,NA,NA,2797.874,NA,NA,NA,NA
45392,5,-0.568064,5,NA,NA,NA,NA,NA,NA,NA,5974.885,NA,NA,NA,NA
45647,5,-0.771006,5,NA,NA,NA,NA,NA,NA,NA,15620.107,NA,NA,NA,NA
45831,5,-2.17037,5,NA,NA,NA,NA,NA,NA,NA,3263.859,NA,NA,NA,NA
45994,5,-2.91267,4.86823,NA,NA,NA,NA,NA,NA,NA,3676.647,NA,NA,NA,NA
46228,5,-3.04841,5,NA,NA,NA,NA,NA,NA,NA,3130.438,NA,NA,NA,NA
46454,4.88521,-2.82839,5,NA,NA,NA,NA,NA,NA,NA,2016.348,NA,NA,NA,NA
46586,4.38824,-1.31804,5,NA,NA,NA,NA,NA,NA,NA,6409.298,NA,NA,NA,NA
46875,3.63027,-2.0229,4.85261,NA,NA,NA,NA,NA,NA,NA,1616.578,NA,NA,NA,NA
47041,5,-2.43279,4.26084,NA,NA,NA,NA,NA,NA,NA,2179.1,NA,NA,NA,NA
47360,5,-1.34524,4.22275,NA,NA,NA,NA,NA,NA,NA,6466.875,NA,NA,NA,NA
47505,5,-1.46763,4.49045,NA,NA,NA,NA,NA,NA,NA,NA,1316.653,NA,NA,NA
47715,5,-2.15671,5,NA,NA,NA,NA,NA,NA,NA,3591.572,NA,NA,NA,NA
47911,4.68958,-2.92814,5,NA,NA,NA,NA,NA,NA,NA,2664.084,NA,NA,NA,NA
48055,5,-3.07184,5,NA,NA,NA,NA,NA,NA,NA,NA,2585.316,NA,NA,NA
48297,5,-3.93067,5,NA,NA,NA,NA,NA,NA,NA,2488.628,NA,NA,NA,NA
48477,5,-3.85206,4.78475,NA,NA,NA,NA,NA,NA,NA,2231.339,NA,NA,NA,NA
48744,5,-4.73647,5,NA,NA,NA,NA,NA,NA,NA,320.696,NA,NA,NA,NA
48797,5,-5,4.94282,NA,NA,NA,NA,NA,NA,NA,3103.17,NA,NA,NA,NA
49151,5,-5,3.75593,NA,NA,NA,NA,NA,NA,NA,945.191,NA,NA,NA,NA
49218,5,-3.16434,4.64105,NA,NA,NA,NA,NA,NA,NA,1259.789,NA,NA,NA,NA
49483,4.84658,-3.01546,5,NA,NA,NA,NA,NA,NA,NA,NA,4321.388,NA,NA,NA
49626,4.71425,-2.25698,5,NA,NA,NA,NA,NA,NA,NA,988.506,NA,NA,NA,NA
49800,5,-1.03296,4.93804,NA,NA,NA,NA,NA,NA,NA,7809.533,NA,NA,NA,NA
50063,4.55283,-0.966901,4.63004,NA,NA,NA,NA,NA,NA,NA,1181.101,NA,NA,NA,NA
50265,4.62463,-1.93907,3.46772,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.59,NA,NA
50572,4.89989,-0.845512,3.84931,NA,NA,NA,NA,NA,NA,367.389,NA,NA,NA,NA,NA
50741,4.74048,-1.41083,4.72546,NA,NA,NA,NA,NA,NA,NA,NA,NA,4371.895,NA,NA
50964,5,-0.854361,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3882.419,NA,NA
50986,5,-0.822863,5,NA,NA,NA,NA,NA,NA,NA,12979.325,NA,NA,NA,NA
51183,4.6136,-0.682606,5,NA,NA,NA,NA,NA,NA,NA,NA,6522.616,NA,NA,NA
51507,5,0.774144,5,NA,NA,NA,NA,NA,NA,NA,NA,2013.681,NA,NA,NA
51614,5,0.351838,4.95445,NA,NA,NA,NA,NA,NA,NA,5344.917,NA,NA,NA,NA
51816,5,-1.50747,5,NA,NA,NA,NA,NA,NA,NA,NA,5173.195,NA,NA,NA
