id,x0,x1,x2,fitness-1.5,fitness-1,fitness-2,fitness0,fitness1.5,fitness4,fitness3,fitness2.5,fitness-0.5,fitness1,fitness0.5,fitness2,fitness-2.5,fitness-3,fitness-4,fitness-3.5,fitness-4.5,fitness-5,fitness4.5,fitness3.5,fitness5
10097,1.90776,-2.94836,-3.2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10273,1.157,-2.39702,-4.52802,NA,NA,NA,76.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10472,-0.112776,-1.51889,-3.07419,NA,NA,NA,2412.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10655,-1.88318,-0.810778,-1.62295,NA,NA,NA,98.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10919,-2.58721,-2.27087,-1.44618,75.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11179,-2.07911,-2.70896,-0.115873,NA,NA,NA,299.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11399,-1.27116,-4.03463,-0.588201,NA,NA,NA,NA,NA,NA,NA,NA,1465.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11422,0.158403,-4.54563,-1.98821,NA,NA,-3.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11796,0.0676395,-4.3189,-1.33965,NA,198.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11920,2.146,-4.76612,1.62652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.179,NA,NA,NA,NA,NA,NA,NA,NA
12143,1.46057,-3.90281,2.85322,NA,NA,62.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12399,2.46364,-4.18825,2.9373,NA,NA,7.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12546,3.22874,-4.59597,4.12326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.241,NA,NA,NA,NA,NA,NA,NA
12781,3.98818,-4.33563,3.77981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.065,NA,NA,NA,NA,NA,NA,NA,NA
12967,4.32864,-4.13189,4.49559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.629,NA,NA,NA,NA,NA,NA
13027,3.62712,-4.49097,4.2969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.696,NA,NA,NA,NA,NA,NA,NA
13322,3.19481,-4.99752,4.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.759,NA,NA,NA,NA,NA
13557,3.47843,-4.44031,4.15904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.635,NA,NA,NA,NA,NA,NA,NA
13608,3.98168,-4.35098,3.34024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.894,NA,NA,NA,NA,NA,NA,NA,NA
13990,4.13636,-3.85521,3.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.155,NA,NA,NA,NA,NA,NA,NA
14158,4.0879,-3.13114,3.58028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.621,NA,NA,NA,NA,NA,NA,NA,NA
14216,3.75227,-3.51811,4.35142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.963,NA,NA,NA,NA,NA,NA,NA,NA
14445,3.27472,-3.04004,4.80862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.582,NA,NA,NA,NA,NA,NA,NA
14719,2.37792,-4.86182,4.57573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.347,NA,NA,NA,NA,NA
14824,1.9782,-4.99003,4.9813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.949,NA,NA,NA,NA,NA
15041,2.33398,-4.61219,4.77985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.559,NA,NA,NA,NA,NA,NA
15276,2.96184,-4.00217,3.88382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.523,NA,NA,NA,NA
15523,3.46296,-3.16331,4.39613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.891,NA,NA,NA,NA,NA,NA
15737,3.92454,-1.95226,4.88216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.188,NA,NA,NA,NA,NA,NA,NA,NA
15996,3.30306,-1.13479,4.06035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.653,NA,NA,NA
16119,2.69475,-0.0501355,4.72041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.286,NA,NA,NA
16310,1.65926,0.801579,4.47714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.778,NA,NA,NA,NA,NA,NA
16428,2.04886,0.0794438,4.06152,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16743,1.86269,2.97406,4.74977,NA,NA,37.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16939,3.60481,2.74667,4.05637,NA,NA,NA,NA,NA,NA,NA,NA,-110.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17021,4.60358,3.73487,4.83142,NA,NA,NA,NA,NA,NA,NA,NA,2828.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17212,4.65388,3.11992,4.76764,1789.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17526,4.27897,1.62078,4.70622,729.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17757,3.72483,-0.0294945,4.91366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.128,NA,NA,NA,NA,NA,NA,NA,NA
17958,2.87652,0.596489,3.35616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.629,NA,NA,NA,NA,NA,NA,NA,NA
18181,2.43648,0.0187448,1.31461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.103,NA,NA,NA
18325,2.88162,-1.52654,0.552649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.449,NA,NA,NA,NA,NA,NA
18454,4.03414,-1.23798,3.08935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.658,NA,NA,NA,NA
18676,3.193,-2.17185,3.91719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.759,NA,NA,NA,NA,NA
18939,2.86851,-2.003,4.39756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.176,NA,NA,NA,NA,NA,NA
19048,4.44287,-2.012,4.09056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.742,NA,NA,NA,NA
19393,4.43041,-2.38385,4.16244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.589,NA,NA,NA
19561,3.90345,-3.05771,4.14907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.414,NA,NA,NA,NA,NA,NA
19743,3.60425,-2.0772,3.4618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.046,NA,NA,NA
19967,4.30457,-2.19468,4.46967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.278,NA,NA,NA
20008,4.08199,-1.31842,3.15249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.145,NA,NA,NA,NA,NA,NA,NA
20276,2.80511,-1.68079,3.50058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.269,NA,NA,NA,NA,NA,NA
20534,2.76769,-2.7627,3.25752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA
20740,3.21022,-1.50974,4.4124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.884,NA,NA,NA
20863,2.52112,-2.23058,4.39608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.972,NA,NA,NA,NA
21105,2.91562,-1.94006,3.84772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.077,NA,NA,NA,NA
21378,3.40518,0.196365,4.14985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.178,NA,NA,NA,NA
21507,3.76109,1.24611,1.77366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.431,NA,NA,NA,NA
21715,3.62556,0.324845,1.71431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.821,NA,NA,NA,NA
21923,3.26152,-0.423145,1.54335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.113,NA,NA,NA
22121,3.41612,1.42318,1.9106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.366,NA,NA,NA,NA,NA,NA,NA
22314,4.81305,2.69948,2.13226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.259,NA,NA,NA,NA,NA
22534,4.76087,2.23413,3.21656,NA,NA,491.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22603,4.75407,2.94985,0.169912,NA,134.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22849,4.92554,2.55685,-1.19161,NA,NA,NA,NA,NA,NA,NA,NA,-6.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23125,4.0495,1.59217,-0.4376,NA,NA,NA,NA,NA,NA,NA,NA,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23320,3.26264,-0.691091,-1.34427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1748.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23511,3.31696,0.0818602,-1.09642,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23662,3.35745,0.874702,-1.31368,NA,NA,NA,NA,NA,NA,257.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23874,3.43351,0.598413,-0.609096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.608,NA,NA
24005,2.74458,0.451764,1.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.08,NA
24343,2.80129,0.344302,0.839651,NA,NA,NA,NA,NA,NA,NA,57.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24503,3.82326,-0.406174,0.200522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.855,NA
24688,3.33928,-0.132545,-1.67911,NA,NA,NA,NA,NA,455.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24929,3.79428,0.0913491,-3.74452,NA,NA,NA,NA,NA,NA,NA,-0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25122,2.00829,0.687396,-4.98965,NA,NA,NA,NA,7.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25338,2.37266,1.62591,-3.25491,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25453,1.8249,0.964086,-3.99524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25610,2.89154,-0.435964,-3.15052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
25870,3.05965,-1.50133,-2.38401,NA,NA,NA,NA,NA,NA,NA,63.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26020,3.13349,-0.61385,-3.90453,NA,NA,NA,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26216,3.93619,-0.790061,-3,NA,NA,NA,NA,223.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26514,3.73475,-3.20304,-2.46048,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26788,2.71016,-4.06495,-4.38906,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26981,2.64813,-3.76477,-3.75214,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27098,1.89917,-3.31605,-3.99537,NA,NA,NA,NA,NA,NA,NA,NA,34.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27356,2.92734,-4.43662,-2.86574,NA,NA,NA,47.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27429,4.23389,-3.66412,-3.81462,NA,NA,NA,NA,NA,NA,NA,NA,126.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27604,4.05154,-4.84094,-4.96416,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27858,4.61389,-3.13473,-3.6421,NA,NA,NA,163.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28079,4.634,-2.77079,-4.69928,NA,NA,-4.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28272,4.90733,-2.59292,-4.00941,1155.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28498,3.68445,-1.41691,-3.7582,208.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28659,4.34611,-0.650333,-2.93116,NA,NA,NA,1433.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28995,3.64963,0.0883535,-2.84129,NA,NA,-4.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29190,3.31793,-0.38062,-4.04301,NA,NA,192.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29341,3.62917,0.775977,-4.23998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.879,NA,NA,NA,NA,NA,NA,NA,NA
29472,3.48949,0.569985,-4.81229,NA,NA,-0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29707,3.42822,0.488009,-4.74601,16.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29891,3.75769,0.574122,-4.76947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,NA,NA,NA,NA,NA
30163,4.75799,-0.657605,-4.90934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.308,NA,NA,NA,NA,NA,NA
30400,4.74093,-2.00242,-4.70467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.226,NA,NA,NA
30412,3.83802,-2.41118,-4.03817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.08,NA,NA,NA,NA
30651,2.96018,-2.56065,-4.6614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.734,NA,NA,NA
30825,3.32985,-2.05436,-2.58682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.128,NA,NA,NA
31033,3.46198,-0.864737,-2.42494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.785,NA,NA,NA,NA,NA
31234,4.81532,-0.580352,-2.27407,NA,NA,308.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31570,3.90085,-0.709183,-1.8429,NA,NA,32.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31736,4.8274,1.6363,-2.58345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.689,NA,NA,NA,NA,NA,NA,NA,NA
31929,3.84726,2.33329,-2.70931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.081,NA,NA,NA,NA,NA,NA,NA,NA
32164,4.77931,3.04668,-3.79261,NA,NA,51.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32289,4.93712,3.21142,-3.54347,846.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32446,3.60143,3.73452,-2.86108,155.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
