id,x0,x1,x2,fitness-3,fitness-2.5,fitness-4,fitness-2,fitness-1.5,fitness-3.5,fitness-1,fitness-4.5,fitness-0.5
15021,2.50217,1.19209,-5,NA,-36.543,NA,NA,NA,NA,NA,NA,NA
15396,2.79404,1.42408,-4.03359,NA,-32.72,NA,NA,NA,NA,NA,NA,NA
15544,2.20828,1.4708,-4.76551,NA,-12.792,NA,NA,NA,NA,NA,NA,NA
15765,1.41771,2.00316,-5,NA,NA,NA,-29.727,NA,NA,NA,NA,NA
15826,1.48192,1.6941,-5,NA,NA,NA,NA,NA,-44.168,NA,NA,NA
16145,1.86195,1.42221,-4.72325,-11.119,NA,NA,NA,NA,NA,NA,NA,NA
16223,1.6403,1.54253,-3.53397,NA,NA,-59.411,NA,NA,NA,NA,NA,NA
16427,1.98785,2.25102,-4.81272,-20.083,NA,NA,NA,NA,NA,NA,NA,NA
16746,1.96399,1.44752,-5,NA,-18.493,NA,NA,NA,NA,NA,NA,NA
16802,2.06491,1.31793,-4.94565,NA,NA,NA,NA,-40.877,NA,NA,NA,NA
17013,1.85748,1.79681,-5,NA,NA,NA,NA,-44.297,NA,NA,NA,NA
17327,1.20483,1.59908,-4.32809,NA,NA,NA,NA,-39.889,NA,NA,NA,NA
17464,1.77891,1.07275,-4.96983,NA,NA,NA,-32.335,NA,NA,NA,NA,NA
17661,1.20211,1.98789,-3.78698,NA,-21.85,NA,NA,NA,NA,NA,NA,NA
17826,1.90531,1.82279,-4.08693,NA,NA,NA,-7.116,NA,NA,NA,NA,NA
18001,2.21706,1.34378,-4.69569,NA,-13.313,NA,NA,NA,NA,NA,NA,NA
18251,2.0177,1.48295,-5,-22.371,NA,NA,NA,NA,NA,NA,NA,NA
18587,1.56095,1.64187,-4.96968,-22.796,NA,NA,NA,NA,NA,NA,NA,NA
18684,2.00557,1.7177,-5,NA,-15.772,NA,NA,NA,NA,NA,NA,NA
18943,2.50423,1.59393,-3.8512,NA,-22.677,NA,NA,NA,NA,NA,NA,NA
19134,2.3951,2.15782,-4.48503,NA,NA,NA,-27.532,NA,NA,NA,NA,NA
19247,1.99128,2.28051,-3.87858,NA,-18.048,NA,NA,NA,NA,NA,NA,NA
19401,1.22184,1.8844,-5,-26.791,NA,NA,NA,NA,NA,NA,NA,NA
19638,2.10451,1.84764,-3.87025,NA,NA,NA,-16.078,NA,NA,NA,NA,NA
19869,1.58383,1.42863,-4.8395,NA,NA,NA,NA,-46.085,NA,NA,NA,NA
20187,1.191,1.13238,-5,-45.772,NA,NA,NA,NA,NA,NA,NA,NA
20229,1.76314,1.87989,-5,-20.876,NA,NA,NA,NA,NA,NA,NA,NA
20544,2.0726,2.58364,-5,-39.16,NA,NA,NA,NA,NA,NA,NA,NA
20748,1.22587,1.99227,-5,-26.363,NA,NA,NA,NA,NA,NA,NA,NA
20807,1.85836,1.9626,-5,NA,-17.161,NA,NA,NA,NA,NA,NA,NA
21179,2.05435,1.8554,-5,NA,-17.965,NA,NA,NA,NA,NA,NA,NA
21247,2.45454,1.84798,-4.67865,NA,NA,NA,NA,-32.296,NA,NA,NA,NA
21585,1.61427,2.60842,-4.51782,NA,-25.736,NA,NA,NA,NA,NA,NA,NA
21609,1.56788,1.34413,-4.2495,NA,-5.997,NA,NA,NA,NA,NA,NA,NA
21989,1.88725,1.43481,-3.4862,NA,-24.683,NA,NA,NA,NA,NA,NA,NA
22140,3.24263,1.58441,-4.99574,NA,-60.134,NA,NA,NA,NA,NA,NA,NA
22269,3.01911,2.01072,-4.48895,NA,NA,NA,-42.631,NA,NA,NA,NA,NA
22591,2.5419,2.70801,-4.73558,-47.529,NA,NA,NA,NA,NA,NA,NA,NA
22736,2.42907,1.47575,-4.79905,NA,NA,NA,NA,-34.611,NA,NA,NA,NA
22908,2.16575,1.75182,-3.99607,NA,NA,NA,-12.683,NA,NA,NA,NA,NA
23064,2.00219,1.51693,-4.30221,-6,NA,NA,NA,NA,NA,NA,NA,NA
23249,2.25069,1.97108,-5,-22.829,NA,NA,NA,NA,NA,NA,NA,NA
23509,2.6341,1.51471,-5,NA,-32.544,NA,NA,NA,NA,NA,NA,NA
23770,1.4467,2.42155,-4.81765,NA,NA,NA,NA,NA,-41.497,NA,NA,NA
23895,1.97181,0.502802,-4.8895,-70.662,NA,NA,NA,NA,NA,NA,NA,NA
24107,1.20143,1.85867,-5,NA,NA,NA,NA,NA,-36.542,NA,NA,NA
24289,1.41761,1.38065,-5,-24.034,NA,NA,NA,NA,NA,NA,NA,NA
24490,1.19313,2.08864,-4.16173,NA,-16.472,NA,NA,NA,NA,NA,NA,NA
24710,2.36487,2.57665,-4.64569,-33.345,NA,NA,NA,NA,NA,NA,NA,NA
24856,2.10328,2.18135,-5,NA,-22.022,NA,NA,NA,NA,NA,NA,NA
25127,2.71923,1.42943,-5,-43.796,NA,NA,NA,NA,NA,NA,NA,NA
25227,1.5373,2.69017,-5,NA,-37.394,NA,NA,NA,NA,NA,NA,NA
25406,3.03175,1.49187,-5,-56.063,NA,NA,NA,NA,NA,NA,NA,NA
25787,1.30669,1.10991,-5,NA,-37.111,NA,NA,NA,NA,NA,NA,NA
25997,1.174,1.14275,-3.80833,NA,-35.798,NA,NA,NA,NA,NA,NA,NA
26025,2.13733,1.21987,-4.08819,NA,-12.082,NA,NA,NA,NA,NA,NA,NA
26389,0.860791,1.23395,-3.97884,NA,-43.495,NA,NA,NA,NA,NA,NA,NA
26475,1.37124,1.25911,-5,NA,-28.237,NA,NA,NA,NA,NA,NA,NA
26769,1.94687,1.95637,-5,NA,NA,NA,-21.808,NA,NA,NA,NA,NA
26873,1.78716,2.32512,-4.00312,NA,NA,NA,-19.495,NA,NA,NA,NA,NA
27130,1.47094,2.51523,-4.37416,-30.141,NA,NA,NA,NA,NA,NA,NA,NA
27312,1.45113,2.32019,-3.98061,-19.79,NA,NA,NA,NA,NA,NA,NA,NA
27454,1.6343,1.8307,-3.86456,-15.744,NA,NA,NA,NA,NA,NA,NA,NA
27689,1.4177,1.48465,-3.31116,-40.85,NA,NA,NA,NA,NA,NA,NA,NA
27861,2.14792,1.89989,-3.89829,NA,-11.849,NA,NA,NA,NA,NA,NA,NA
28179,2.81857,1.41252,-4.0411,NA,NA,NA,-41.103,NA,NA,NA,NA,NA
28306,1.42196,2.82758,-4.99749,NA,NA,NA,-50.281,NA,NA,NA,NA,NA
28419,2.21255,1.45829,-4.93518,-19.624,NA,NA,NA,NA,NA,NA,NA,NA
28685,1.79979,1.87456,-5,NA,-16.28,NA,NA,NA,NA,NA,NA,NA
28992,1.60117,1.71443,-3.78094,NA,NA,NA,-20.798,NA,NA,NA,NA,NA
29016,1.33155,1.41897,-4.89313,NA,NA,NA,NA,-36.632,NA,NA,NA,NA
29382,2.1373,1.53541,-5,NA,NA,NA,NA,-49.283,NA,NA,NA,NA
29446,1.64718,1.53043,-4.58672,NA,-3.622,NA,NA,NA,NA,NA,NA,NA
29728,1.1965,2.20083,-4.71473,NA,NA,NA,-29.151,NA,NA,NA,NA,NA
29874,1.44736,1.2198,-5,NA,NA,NA,-40.86,NA,NA,NA,NA,NA
30059,1.01902,1.18912,-3.81099,NA,NA,NA,-56.178,NA,NA,NA,NA,NA
30355,1.40691,1.87343,-4.57369,NA,-8.832,NA,NA,NA,NA,NA,NA,NA
30474,2.20087,1.65149,-3.82101,-17.339,NA,NA,NA,NA,NA,NA,NA,NA
30667,2.1511,1.85441,-4.90452,NA,-15.894,NA,NA,NA,NA,NA,NA,NA
30918,2.53447,2.94453,-5,NA,NA,NA,NA,-85.809,NA,NA,NA,NA
31151,2.15822,2.2161,-5,NA,NA,NA,NA,-49.474,NA,NA,NA,NA
31389,2.25845,1.07904,-4.12988,NA,NA,NA,-23.656,NA,NA,NA,NA,NA
31447,2.17121,2.42099,-3.80502,NA,NA,NA,-34.107,NA,NA,NA,NA,NA
31681,1.66662,1.2163,-4.16136,NA,NA,NA,-11.252,NA,NA,NA,NA,NA
31855,2.18898,1.61799,-4.43565,NA,NA,NA,NA,-24.844,NA,NA,NA,NA
32089,1.81524,2.34427,-5,-34.445,NA,NA,NA,NA,NA,NA,NA,NA
32305,1.91493,2.53501,-4.91261,NA,NA,NA,NA,NA,-51.033,NA,NA,NA
32444,2.15162,1.91117,-4.2864,NA,NA,NA,NA,-22.665,NA,NA,NA,NA
32648,1.87214,1.05367,-4.24515,-15.865,NA,NA,NA,NA,NA,NA,NA,NA
32911,1.79903,2.08733,-5,NA,NA,NA,NA,NA,-32.192,NA,NA,NA
33101,2.14306,0.922441,-5,NA,NA,NA,NA,NA,-58.647,NA,NA,NA
33364,2.34926,1.56396,-4.77401,-22.74,NA,NA,NA,NA,NA,NA,NA,NA
33484,1.72087,1.1385,-5,NA,-30.34,NA,NA,NA,NA,NA,NA,NA
33626,1.61353,1.83658,-5,NA,NA,NA,-23.667,NA,NA,NA,NA,NA
33974,1.99984,1.98537,-5,-28.641,NA,NA,NA,NA,NA,NA,NA,NA
34038,1.50432,0.958444,-5,-49.29,NA,NA,NA,NA,NA,NA,NA,NA
34211,1.89054,1.20998,-4.83688,NA,NA,NA,NA,NA,-31.14,NA,NA,NA
34404,1.76038,1.99618,-4.62107,NA,NA,NA,-9.995,NA,NA,NA,NA,NA
34623,2.25599,2.24477,-4.32363,NA,NA,NA,-25.383,NA,NA,NA,NA,NA
34828,1.70799,1.49956,-3.99264,NA,NA,NA,NA,-24.666,NA,NA,NA,NA
35038,2.03297,1.108,-4.17424,NA,-13.965,NA,NA,NA,NA,NA,NA,NA
35255,1.67095,1.78043,-4.47885,NA,NA,NA,NA,NA,-24.175,NA,NA,NA
35441,2.15537,2.29927,-4.82002,NA,-21.082,NA,NA,NA,NA,NA,NA,NA
35614,2.28375,1.31722,-5,-25.012,NA,NA,NA,NA,NA,NA,NA,NA
35908,2.31217,1.36368,-4.4319,NA,NA,NA,-21.028,NA,NA,NA,NA,NA
36062,2.13036,2.2872,-4.59985,NA,-16.501,NA,NA,NA,NA,NA,NA,NA
36325,1.76302,2.18301,-5,NA,-20.386,NA,NA,NA,NA,NA,NA,NA
36462,2.65867,1.62636,-4.55316,NA,-22.855,NA,NA,NA,NA,NA,NA,NA
36739,1.92905,1.38116,-4.55664,NA,NA,-55.895,NA,NA,NA,NA,NA,NA
36904,2.5329,2.69793,-5,-59.422,NA,NA,NA,NA,NA,NA,NA,NA
37103,1.24928,1.32276,-4.41426,-15.875,NA,NA,NA,NA,NA,NA,NA,NA
37396,2.41366,1.53555,-4.5284,-24.364,NA,NA,NA,NA,NA,NA,NA,NA
37549,2.53492,1.94872,-5,NA,NA,NA,-29.885,NA,NA,NA,NA,NA
37706,1.74745,1.92264,-4.87732,NA,-11.87,NA,NA,NA,NA,NA,NA,NA
37853,1.86267,1.79073,-4.91481,NA,-11.95,NA,NA,NA,NA,NA,NA,NA
38149,1.96089,1.79471,-4.72585,NA,NA,NA,-10.704,NA,NA,NA,NA,NA
38325,1.2451,2.21897,-5,NA,NA,NA,NA,NA,-42.063,NA,NA,NA
38590,1.1177,1.72196,-4.59157,NA,NA,NA,-24.039,NA,NA,NA,NA,NA
38769,1.59799,1.68698,-3.661,NA,NA,NA,NA,NA,-42.886,NA,NA,NA
38986,1.34534,2.03157,-5,NA,-23.383,NA,NA,NA,NA,NA,NA,NA
39030,2.40196,1.81617,-4.10122,NA,NA,NA,-16.246,NA,NA,NA,NA,NA
39374,1.4467,1.31527,-4.16578,NA,-8.486,NA,NA,NA,NA,NA,NA,NA
39501,3,1.29819,-5,NA,-52.407,NA,NA,NA,NA,NA,NA,NA
39646,1.79817,2.18241,-4.36245,NA,NA,NA,-15.595,NA,NA,NA,NA,NA
39848,2.35352,3.31878,-4.73298,-73.929,NA,NA,NA,NA,NA,NA,NA,NA
40060,2.4588,2.61361,-4.6966,-41.687,NA,NA,NA,NA,NA,NA,NA,NA
40273,1.23302,1.80793,-4.37146,-12.564,NA,NA,NA,NA,NA,NA,NA,NA
40495,1.06353,2.09847,-4.20669,-28.598,NA,NA,NA,NA,NA,NA,NA,NA
40781,1.53991,2.0621,-4.15155,NA,-9.664,NA,NA,NA,NA,NA,NA,NA
40835,1.77718,1.2127,-3.61193,NA,NA,NA,NA,-50.126,NA,NA,NA,NA
41148,1.14465,1.98471,-4.03425,NA,NA,NA,NA,-35.864,NA,NA,NA,NA
41263,2.4577,1.58994,-4.12712,NA,NA,NA,-23.535,NA,NA,NA,NA,NA
41447,1.6415,2.16548,-4.48648,NA,NA,NA,-13.07,NA,NA,NA,NA,NA
41717,1.70588,1.02623,-5,NA,-32.92,NA,NA,NA,NA,NA,NA,NA
41969,1.06206,2.21769,-5,NA,-32.957,NA,NA,NA,NA,NA,NA,NA
42026,2.53777,2.09954,-4.18233,-29.288,NA,NA,NA,NA,NA,NA,NA,NA
42302,2.55411,1.08521,-4.732,-37.611,NA,NA,NA,NA,NA,NA,NA,NA
42422,2.38307,1.34427,-4.01951,NA,-16.943,NA,NA,NA,NA,NA,NA,NA
42782,1.37481,2.33872,-4.56034,NA,-19.05,NA,NA,NA,NA,NA,NA,NA
42941,1.63658,1.75777,-4.26502,NA,NA,NA,-4.765,NA,NA,NA,NA,NA
43167,1.63789,1.74944,-4.14527,NA,NA,NA,-6.539,NA,NA,NA,NA,NA
43313,2.31649,0.858646,-5,-48.957,NA,NA,NA,NA,NA,NA,NA,NA
43569,1.75628,1.35894,-4.60438,-11.153,NA,NA,NA,NA,NA,NA,NA,NA
43777,2.40608,2.18599,-4.33122,NA,NA,NA,-20.422,NA,NA,NA,NA,NA
43994,2.36205,1.57879,-5,NA,NA,NA,NA,-36.079,NA,NA,NA,NA
44092,1.93771,1.24322,-4.36468,-12.818,NA,NA,NA,NA,NA,NA,NA,NA
44307,1.68086,2.74699,-4.84466,NA,NA,NA,NA,-54.193,NA,NA,NA,NA
44442,1.54203,2.6814,-5,NA,NA,NA,-38.992,NA,NA,NA,NA,NA
44669,1.46733,2.82442,-5,NA,NA,NA,NA,-58.385,NA,NA,NA,NA
44919,1.20639,1.46392,-4.4631,NA,-13.992,NA,NA,NA,NA,NA,NA,NA
45181,0.913396,1.26282,-4.13872,NA,NA,NA,-46.024,NA,NA,NA,NA,NA
45399,1.43885,1.19171,-5,NA,-31.619,NA,NA,NA,NA,NA,NA,NA
45551,2.18444,1.55218,-5,NA,NA,NA,NA,-36.7,NA,NA,NA,NA
45665,1.29691,1.26037,-3.9775,-31.063,NA,NA,NA,NA,NA,NA,NA,NA
45951,1.61653,2.18679,-4.50229,NA,NA,-57.666,NA,NA,NA,NA,NA,NA
46040,1.58836,1.52351,-5,NA,NA,NA,NA,NA,-33.349,NA,NA,NA
46387,2.05639,1.96886,-5,NA,NA,-66.07,NA,NA,NA,NA,NA,NA
46589,2.54978,2.20883,-4.00015,-35.743,NA,NA,NA,NA,NA,NA,NA,NA
46776,1.67254,2.03171,-3.48908,NA,-26.607,NA,NA,NA,NA,NA,NA,NA
46958,1.50831,0.848267,-5,-50.217,NA,NA,NA,NA,NA,NA,NA,NA
47063,2.26509,1.03385,-4.30083,NA,NA,NA,NA,NA,-36.827,NA,NA,NA
47368,2.20178,1.83794,-5,NA,NA,-67.777,NA,NA,NA,NA,NA,NA
47442,2.89411,1.31542,-5,NA,NA,-85.077,NA,NA,NA,NA,NA,NA
47629,2.74643,1.96458,-4.63362,-38.954,NA,NA,NA,NA,NA,NA,NA,NA
47999,2.01313,1.81276,-4.90004,-20.487,NA,NA,NA,NA,NA,NA,NA,NA
48144,2.1542,1.88562,-3.61584,NA,NA,NA,-30.126,NA,NA,NA,NA,NA
48350,2.20933,2.61767,-4.81661,NA,-32.475,NA,NA,NA,NA,NA,NA,NA
48408,2.07298,2.25402,-4.66706,NA,NA,NA,-18.318,NA,NA,NA,NA,NA
48762,1.81057,2.30654,-4.3963,NA,-12.826,NA,NA,NA,NA,NA,NA,NA
48806,1.88415,1.81802,-3.77421,NA,NA,NA,NA,NA,-41.713,NA,NA,NA
49048,1.16886,1.93713,-4.20756,NA,NA,NA,-18.137,NA,NA,NA,NA,NA
49294,2.21338,2.29455,-4.84975,NA,-22.24,NA,NA,NA,NA,NA,NA,NA
49425,1.44298,2.00132,-4.9606,NA,-18.896,NA,NA,NA,NA,NA,NA,NA
49646,1.31065,2.7598,-4.59045,NA,NA,NA,-39.681,NA,NA,NA,NA,NA
49955,1.03706,2.22433,-4.28745,NA,NA,NA,-36.168,NA,NA,NA,NA,NA
50148,1.63082,1.4334,-4.14867,NA,NA,NA,-19.256,NA,NA,NA,NA,NA
50354,2.52222,1.41007,-3.77913,NA,-27.652,NA,NA,NA,NA,NA,NA,NA
50596,2.03304,1.60058,-5,NA,NA,NA,NA,NA,-45.286,NA,NA,NA
50695,2.18594,1.37686,-3.42065,NA,-33.119,NA,NA,NA,NA,NA,NA,NA
50903,1.70624,2.1954,-4.83125,-17.401,NA,NA,NA,NA,NA,NA,NA,NA
51002,1.94435,2.46516,-4.10843,NA,-20.398,NA,NA,NA,NA,NA,NA,NA
51255,2.05326,2.45545,-4.52398,NA,-20.076,NA,NA,NA,NA,NA,NA,NA
51511,1.88257,1.71642,-3.87583,NA,NA,NA,-20.796,NA,NA,NA,NA,NA
51657,1.65019,1.31868,-4.14263,NA,NA,NA,NA,-25.473,NA,NA,NA,NA
51803,2.69067,1.20034,-3.89953,NA,-37.636,NA,NA,NA,NA,NA,NA,NA
52086,1.79346,1.28943,-4.47742,NA,NA,NA,-12.215,NA,NA,NA,NA,NA
52283,1.43107,2.16656,-5,NA,-24.008,NA,NA,NA,NA,NA,NA,NA
52437,1.93002,1.08616,-4.99665,-29.823,NA,NA,NA,NA,NA,NA,NA,NA
52681,1.66613,1.51219,-5,-24.895,NA,NA,NA,NA,NA,NA,NA,NA
52981,1.7136,1.40994,-4.88207,-16.106,NA,NA,NA,NA,NA,NA,NA,NA
53006,1.94511,1.49329,-5,-17.599,NA,NA,NA,NA,NA,NA,NA,NA
53290,1.25198,2.09156,-4.55898,NA,-15.293,NA,NA,NA,NA,NA,NA,NA
53423,2.21683,1.36534,-4.37059,NA,-10.655,NA,NA,NA,NA,NA,NA,NA
53601,2.66817,1.8033,-4.7769,NA,-26.987,NA,NA,NA,NA,NA,NA,NA
53971,1.73129,2.04397,-5,NA,-17.609,NA,NA,NA,NA,NA,NA,NA
54176,1.98035,1.66688,-5,NA,-15.927,NA,NA,NA,NA,NA,NA,NA
54215,2.04825,1.54269,-4.80449,NA,NA,NA,NA,-26.39,NA,NA,NA,NA
54422,2.07416,2.50136,-4.22864,NA,NA,NA,-30.625,NA,NA,NA,NA,NA
54693,0.764103,2.41957,-4.63482,NA,NA,NA,NA,-60.462,NA,NA,NA,NA
54849,1.30962,2.31143,-4.96043,NA,NA,NA,NA,-39.828,NA,NA,NA,NA
55161,1.01339,2.06456,-5,NA,-34.112,NA,NA,NA,NA,NA,NA,NA
55285,1.25661,1.36553,-5,NA,NA,NA,-39.46,NA,NA,NA,NA,NA
55490,1.57155,1.48946,-5,NA,-17.798,NA,NA,NA,NA,NA,NA,NA
55625,0.908715,1.47074,-4.03764,NA,-31.061,NA,NA,NA,NA,NA,NA,NA
55922,2.44456,1.56661,-4.06431,NA,NA,NA,NA,NA,-41.708,NA,NA,NA
56115,1.95747,1.59579,-4.27739,NA,NA,NA,-3.283,NA,NA,NA,NA,NA
56357,2.77538,2.99763,-4.39141,NA,NA,NA,-68.38,NA,NA,NA,NA,NA
56511,0.828649,2.57169,-4.21611,NA,NA,NA,NA,-59.53,NA,NA,NA,NA
56766,1.62308,2.18642,-3.96994,NA,-12.877,NA,NA,NA,NA,NA,NA,NA
56906,1.95042,1.56531,-5,NA,NA,NA,-17.439,NA,NA,NA,NA,NA
57102,1.67066,1.82115,-5,NA,-15.227,NA,NA,NA,NA,NA,NA,NA
57246,1.3255,2.11775,-5,NA,NA,NA,NA,-37.282,NA,NA,NA,NA
57598,1.58021,2.03209,-5,-24.104,NA,NA,NA,NA,NA,NA,NA,NA
57725,1.55635,1.93127,-5,NA,-17.287,NA,NA,NA,NA,NA,NA,NA
57817,1.5971,1.96305,-5,NA,-17.579,NA,NA,NA,NA,NA,NA,NA
58128,2.155,1.21021,-4.03434,NA,-13.558,NA,NA,NA,NA,NA,NA,NA
58382,2.3279,1.29298,-5,NA,NA,NA,NA,NA,-39.438,NA,NA,NA
58404,2.32062,0.671203,-5,NA,NA,NA,-68.497,NA,NA,NA,NA,NA
58769,1.66897,1.22118,-4.63911,NA,NA,NA,-16.824,NA,NA,NA,NA,NA
58828,2.24225,1.87449,-5,NA,NA,NA,-21.622,NA,NA,NA,NA,NA
