id,x0,x1,x2,fitness-2.5,fitness-0.5,fitness-1,fitness-1.5,fitness-2,fitness0,fitness1.5,fitness0.5,fitness1,fitness-3,fitness-5,fitness-4.5,fitness3,fitness4.5,fitness3.5,fitness5,fitness4
15243,4.87077,5,5,NA,NA,NA,NA,NA,1610.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15554,5,4.56487,4.806,NA,NA,4316.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15766,5,4.38839,5,NA,NA,NA,5310.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15961,4.28569,4.72528,5,NA,NA,NA,7498.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16183,5,4.18174,5,NA,NA,NA,2757.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16277,5,4.27675,4.87914,NA,NA,4996.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16555,5,4.29878,4.84664,NA,NA,NA,9060.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16764,5,4.40033,4.9619,NA,NA,NA,3731.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16828,5,3.65869,5,NA,3355.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17151,4.98753,4.39691,5,1566.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17264,5,4.5735,4.77818,NA,NA,NA,NA,2191.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17420,5,4.73009,5,NA,NA,NA,NA,5580.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17626,5,5,5,NA,NA,NA,NA,NA,NA,NA,3307.504,NA,NA,NA,NA,NA,NA,NA,NA,NA
17872,5,5,5,NA,9944.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18183,4.9698,5,5,NA,NA,NA,NA,NA,NA,NA,3501.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
18235,5,5,5,NA,10710.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18527,5,5,5,NA,NA,13041.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18697,5,5,5,NA,NA,12523.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18825,4.26209,5,5,NA,NA,NA,6094.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19021,5,4.69596,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3002.156,NA,NA,NA,NA,NA,NA,NA
19206,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA
19413,5,4.81805,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3344.5,NA,NA,NA,NA,NA,NA
19685,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2634.728,NA,NA,NA,NA,NA,NA
19973,5,5,4.75832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3010.455,NA,NA,NA,NA,NA,NA
20171,5,4.31417,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.925,NA,NA,NA,NA,NA
20365,4.70193,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478.987,NA,NA,NA,NA,NA,NA
20582,5,5,4.74195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2875.334,NA,NA,NA,NA,NA,NA
20698,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA
20945,4.62872,4.7964,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004.558,NA,NA,NA,NA,NA,NA
21155,5,4.68835,4.81181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019.698,NA,NA,NA,NA,NA,NA
21209,5,4.91067,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292.621,NA,NA,NA,NA,NA,NA
21569,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772.599,NA,NA,NA,NA,NA,NA
21617,5,4.979,4.91754,NA,NA,NA,NA,NA,NA,NA,NA,NA,3951.704,NA,NA,NA,NA,NA,NA,NA
21918,5,4.87061,5,NA,NA,NA,NA,7117.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22171,4.54584,5,5,NA,NA,2235.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22200,5,5,3.86824,NA,3147.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22418,5,5,3.28387,NA,NA,NA,4136.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22691,5,4.83533,2.8576,NA,NA,NA,NA,1760.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22922,5,4.73922,4.19049,NA,NA,NA,7150.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23082,3.75357,5,5,NA,4498.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23190,4.561,5,5,NA,NA,NA,NA,1095.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23538,3.95561,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.958,NA,NA,NA,NA,NA,NA,NA
23689,5,4.94176,5,NA,NA,NA,NA,6096.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23816,5,5,4.81137,NA,NA,488.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24127,5,4.92987,5,NA,NA,NA,NA,6645.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24289,5,5,5,NA,NA,NA,NA,5521.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24582,5,4.23033,5,NA,NA,NA,2723.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24676,5,5,5,NA,NA,13057.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24895,3.72543,4.82655,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1022.036,NA,NA,NA,NA,NA,NA,NA
25097,3.80355,4.98609,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108.144,NA,NA,NA,NA,NA,NA,NA
25374,4.72034,5,4.95897,NA,NA,NA,NA,NA,NA,NA,NA,NA,2471.508,NA,NA,NA,NA,NA,NA,NA
25538,5,3.3859,5,NA,NA,NA,3446.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25661,5,3.64172,5,NA,1973.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25984,5,2.83957,4.20339,NA,NA,NA,NA,NA,1102.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26148,4.93713,4.53117,4.98482,NA,309.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26283,5,4.7318,5,NA,NA,NA,NA,5782.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26426,5,3.55783,5,NA,NA,NA,NA,298.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26688,5,3.71314,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.964,NA,NA,NA,NA,NA,NA,NA
26936,4.80139,4.35029,4.64549,808.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27008,5,5,3.85936,NA,NA,NA,NA,841.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27222,5,4.71476,4.22022,NA,NA,NA,7148.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27402,5,5,4.23513,NA,NA,NA,6370.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27708,5,5,5,NA,NA,12926.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27884,4.66122,5,5,NA,9284.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28165,4.44719,5,5,NA,NA,NA,NA,NA,2135.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28219,5,5,4.35063,NA,2276.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28473,4.65327,5,4.74052,NA,NA,6433.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28710,4.77723,5,5,NA,NA,15644.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28844,5,5,5,NA,4252.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29082,5,5,4.77762,NA,NA,NA,NA,6435.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29281,5,4.99576,4.64409,NA,NA,NA,NA,NA,NA,NA,NA,NA,2148.547,NA,NA,NA,NA,NA,NA,NA
29516,5,5,4.8792,NA,NA,NA,NA,NA,NA,NA,NA,NA,3412.257,NA,NA,NA,NA,NA,NA,NA
29673,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470.57,NA,NA,NA,NA,NA,NA,NA
29843,5,4.62533,5,NA,NA,NA,NA,3236.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30156,4.3258,4.83592,4.69429,NA,NA,NA,4831.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30184,4.22696,4.14532,5,NA,NA,2744.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30398,4.95009,3.57359,4.85021,NA,NA,NA,NA,805.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30619,5,4.75658,5,NA,9952.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30822,5,5,5,NA,11286.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31086,5,5,5,NA,NA,NA,NA,5532.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31268,5,5,4.14012,NA,NA,NA,1858.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31559,5,5,5,NA,NA,NA,NA,3671.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31763,4.30613,5,4.28444,NA,NA,NA,NA,1715.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31856,5,4.94188,4.35182,NA,NA,NA,7262.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32173,4.941,5,4.16684,NA,NA,NA,NA,NA,3385.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32245,5,5,4.08345,NA,NA,NA,NA,NA,2188.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32445,4.26336,4.18843,4.8516,NA,NA,1269.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32732,4.69567,4.74109,5,NA,NA,13548.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32937,5,5,5,NA,8030.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33049,5,5,4.8167,NA,12317.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33361,5,4.65647,5,NA,7858.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33447,4.3286,4.58064,5,NA,1345.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33600,4.00587,4.94342,5,NA,NA,NA,NA,NA,438.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33972,3.25935,5,5,NA,2669.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34165,3.89344,4.81858,4.83993,NA,NA,5605.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34333,4.86266,5,5,NA,10984.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34454,4.38539,4.67648,5,NA,3059.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34725,5,5,5,NA,NA,NA,NA,NA,NA,NA,3001.136,NA,NA,NA,NA,NA,NA,NA,NA,NA
34893,5,4.7438,4.89139,NA,NA,NA,NA,8209.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35127,4.43892,4.83233,5,NA,NA,NA,4906.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35256,5,5,5,NA,NA,11224.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35443,5,5,3.31822,NA,NA,NA,4047.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35648,5,5,2.70606,NA,NA,787.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35878,4.37493,4.36653,3.98167,NA,5.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35992,5,3.93957,4.98759,NA,NA,1944.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36210,4.27136,5,4.74686,NA,NA,NA,8386.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36564,5,5,5,NA,4962.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36632,4.62576,4.86674,5,NA,8093.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36840,4.21395,5,5,NA,NA,NA,NA,NA,3943.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37153,4.85085,4.9873,5,NA,14231.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37369,5,5,5,NA,7155.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37503,5,5,5,NA,NA,NA,NA,NA,NA,NA,1715.814,NA,NA,NA,NA,NA,NA,NA,NA,NA
37746,5,3.81748,5,NA,NA,4594.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37966,5,3.33513,5,NA,NA,NA,1944.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38096,5,4.98238,5,NA,NA,13205.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38181,5,4.26137,5,NA,NA,NA,7180.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38518,4.28566,4.78216,5,NA,NA,NA,NA,NA,5818.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38645,4.6411,4.82707,5,NA,NA,NA,NA,NA,2551.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38840,4.68757,4.8812,4.72429,NA,9934.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39101,4.84681,5,5,NA,NA,17086.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39250,5,5,5,NA,NA,10944.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39574,5,4.84562,5,NA,NA,NA,NA,NA,NA,NA,4150.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
39684,5,4.46874,5,NA,NA,NA,NA,NA,931.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39880,5,5,5,NA,8972.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40128,5,4.89772,5,NA,NA,16952.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40301,3.37619,5,5,NA,NA,NA,3592.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397,3.85951,5,4.64796,NA,NA,NA,NA,NA,607.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40663,4.56527,5,4.25312,NA,595.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40963,5,5,4.42244,NA,NA,NA,4396.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41013,5,5,5,NA,NA,9114.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41261,5,4.99749,5,NA,12030.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41468,5,5,4.79651,NA,NA,NA,NA,5910.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41622,5,4.99231,4.37775,NA,NA,NA,6113.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41921,4.97656,5,5,NA,10866.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
