id,x0,x1,x2,fitness4.5,fitness5,fitness3.5,fitness4,fitness3,fitness1.5,fitness0.5,fitness-0.5,fitness0,fitness-2,fitness-1,fitness-1.5,fitness-3,fitness-4,fitness-5,fitness-2.5,fitness1
7296,-0.779037,4.21332,3.31632,2347.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7564,0.0791297,4.29694,4.61666,NA,498.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7694,-1.47693,3.07912,5,NA,1543.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7968,-1.45499,4.00867,4.94753,NA,1026.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8117,-1.95395,5,5,NA,5256.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8391,-0.609518,5,4.76253,NA,NA,NA,3282.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8540,-1.32869,4.61044,4.23055,NA,4015.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8723,-1.443,4.11077,4.29908,1664.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8822,-0.809268,4.53964,4.81509,910.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,-0.363452,5,4.09957,1412.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9225,-0.301463,4.90215,4.71554,NA,NA,NA,1739.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9571,-1.5874,4.92171,4.05536,NA,2096.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9746,-1.46704,5,4.96119,NA,NA,NA,7337.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9910,-1.00087,4.58481,4.8375,NA,4092.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,-0.672577,4.87847,2.86929,NA,4322.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10311,-0.114358,5,4.32239,3085.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10524,-0.324261,5,4.05941,NA,1218.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10762,-0.330744,4.94246,4.39395,NA,3118.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10952,-0.205972,4.4803,5,813.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11027,-0.9431,5,4.76223,NA,11873.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11272,-3.06916,4.98761,5,NA,3158.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11567,-2.21204,5,5,NA,2186.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11657,-0.793298,5,5,NA,15703.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11878,-1.52019,5,5,5435.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12085,-1.3534,4.79835,4.32162,NA,8483.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12316,-0.888423,5,5,7298.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12456,-0.517519,5,5,NA,3271.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12670,-0.627554,5,5,NA,8868.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12893,-0.844418,5,5,NA,12757.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13143,-1.62343,4.35832,4.60725,NA,1882.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13303,-2.11762,4.97452,5,NA,5797.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13517,-1.91299,4.87945,5,NA,6122.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13650,-1.92578,4.85626,5,NA,6473.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13929,-2.22415,5,5,NA,1858.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14157,-2.14173,5,5,NA,3931.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14298,-1.43613,5,5,NA,NA,NA,5262.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14405,-0.93925,5,5,NA,10152.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14588,-0.350456,4.90074,4.37226,NA,3283.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14778,-0.548882,5,5,NA,4963.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15067,-0.794764,5,4.76077,NA,15450.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15286,-0.773935,5,4.99466,NA,13261.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15463,-1.16953,4.26975,5,NA,1850.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15636,-2.94621,5,5,NA,3056.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15957,-1.32682,5,4.45797,NA,2492.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16000,-0.739072,4.99424,4.97671,NA,NA,NA,1711.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16344,-1.03908,5,4.73119,NA,7253.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16517,-1.49653,4.31167,5,NA,6781.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16748,-0.762141,4.6595,4.66024,NA,7694.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16959,-1.34754,3.472,5,NA,1488.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17060,-0.833185,4.6092,4.87344,NA,8790.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17274,-0.78651,4.74821,5,NA,18601.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17441,-1.10147,5,5,NA,1298.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17619,-0.850224,5,4.94952,NA,15116.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17811,-0.832087,5,5,9796.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18083,-1.2398,5,5,1329.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18324,-0.76997,5,5,NA,12916.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18547,-0.683108,5,4.67358,NA,9277.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18742,-1.59204,5,3.32426,NA,2887.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18859,-0.889313,4.67891,4.89801,NA,13389.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19101,-0.916676,4.6034,4.71269,NA,5374.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19347,-0.812556,5,5,10252.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19471,-0.970238,4.90273,5,NA,11424.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19621,-0.309561,4.36111,5,NA,3359.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19882,0.185387,5,4.74347,NA,1863.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20005,-0.626171,4.61515,4.69378,NA,5933.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20280,-0.598689,5,5,NA,7521.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20422,-1.94009,5,5,NA,5080.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20625,-0.677827,5,4.82288,13688.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20928,-0.743873,5,5,NA,12573.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21087,-0.263469,5,3.28135,NA,2660.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21210,-1.29765,4.75092,4.29669,NA,NA,NA,1091.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21464,-1.67502,5,3.22956,NA,1573.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21630,-1.70931,5,4.30275,NA,1774.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21939,-0.765569,5,5,NA,12872.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21972,-1.61722,5,5,NA,NA,1569.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22226,-0.538279,5,5,NA,NA,NA,1620.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22444,-1.92673,4.88075,5,NA,6453.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22716,-0.495998,4.04117,5,172.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22954,-0.255483,4.60209,4.35008,1882.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23021,-0.826454,5,5,NA,12952.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23315,-0.0878845,5,4.24992,NA,4052.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23435,-1.00675,5,4.69266,NA,8543.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23725,-2.11537,4.78331,5,3807.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23908,-2.24904,5,5,465.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23976,-2.06118,5,5,NA,5267.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24225,-1.60031,4.79012,4.05564,NA,1965.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24443,-0.782984,4.74344,4.76917,NA,17732.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24596,-2.40687,4.24702,5,NA,1530.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24815,-0.613834,5,5,NA,10715.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25160,-0.542812,4.86011,5,4596.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25226,0.726488,5,5,NA,NA,1041.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25401,-0.275412,5,5,4365.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25742,-0.920894,5,5,NA,10850.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25800,-0.987707,4.83281,5,NA,10491.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25995,-1.99961,4.88774,4.84916,NA,9739.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26194,-1.43709,5,5,NA,NA,NA,4810.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26471,-0.61365,5,5,NA,9756.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26653,-0.779662,5,5,NA,12992.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26950,-1.80294,4.67032,4.70946,NA,1062.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27125,-2.03879,5,4.8284,NA,7190.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27290,-1.3329,5,4.15672,NA,5062.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27443,-1.31896,5,4.21106,NA,5887.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27598,-3.03001,5,5,NA,3209.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27793,-2.00623,4.74069,5,NA,NA,NA,999.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28116,0.204029,5,5,NA,2066.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28343,-0.527433,5,4.60408,NA,2446.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28461,-0.616727,5,5,NA,8377.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28628,-0.91938,5,5,9450.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28849,0.783277,5,5,2076.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29019,-0.884519,3.92716,5,NA,2073.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29331,-1.95365,5,5,NA,5253.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29396,-3.1744,5,4.92968,NA,2112.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29705,-2.23895,4.96892,5,NA,1641.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29917,-1.49351,5,5,NA,NA,NA,5577.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30157,-0.631014,5,4.93958,NA,13094.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30353,-0.890717,5,5,13326.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30481,-1.41082,5,5,6935.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30665,-1.4937,4.66667,4.10796,NA,3191.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30861,-2.10285,5,5,NA,4692.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31128,-1.52817,5,4.33305,NA,6078.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31272,-1.3272,4.41894,4.68167,NA,3513.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31374,-0.874139,5,4.70458,NA,11972.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31713,-0.713784,4.76965,5,NA,14427.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31868,0.197769,5,5,NA,1932.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32070,0.389589,5,5,NA,3222.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32182,-0.667866,4.81969,5,NA,13753.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32470,-0.722195,3.65007,4.82105,NA,4075.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32748,-2.11367,4.17704,4.55728,NA,NA,NA,273.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32963,-0.828892,5,5,NA,NA,3123.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33097,-0.997896,5,5,NA,7405.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33347,-0.760437,5,4.1064,NA,NA,1458.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33478,-0.811174,4.12331,4.5444,NA,NA,NA,476.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33570,-1.24596,5,5,NA,NA,NA,3646.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33907,-0.624198,4.67174,5,NA,7252.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34027,-1.20018,4.72935,4.79443,3287.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34170,-0.709862,5,3.8603,657.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34475,-0.915667,5,1.8133,NA,3114.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34596,-2.40998,4.69249,2.50749,NA,187.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34926,-2.0817,4.63218,4.88762,NA,4195.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35104,-2.25074,5,4.81882,NA,1481.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35209,-1.22387,5,4.28589,NA,3795.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35539,-1.83951,5,5,NA,3148.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35702,-0.948203,5,5,8383.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35784,-1.18208,4.19662,5,NA,2071.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36074,0.237583,4.97954,5,NA,2922.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36340,1.27836,5,5,NA,2538.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36455,0.455769,5,5,NA,2379.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36675,-0.5677,3.77256,5,NA,2213.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36899,-0.0196247,5,5,2450.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37062,-0.992622,5,4.94564,NA,12332.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37247,-0.181387,5,4.26658,NA,4876.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37451,-0.560895,5,4.69963,NA,7127.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37755,-0.901044,5,5,NA,11505.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37830,-1.15395,5,5,NA,NA,NA,1236.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38047,-1.87676,4.79278,4.70251,NA,4623.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38169,-1.86711,5,5,NA,3495.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38398,-1.52528,5,5,6507.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38665,-1.52854,4.46848,5,NA,2027.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38830,-1.66717,4.33918,5,NA,2820.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39043,-1.46208,4.71444,4.32901,NA,9133.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39241,-1.21952,4.4321,4.70536,NA,1947.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39415,-1.45646,4.20861,5,NA,6733.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39579,-2.17294,5,5,NA,3200.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39922,-1.96681,5,4.64839,4007.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39999,-0.640682,4.65526,5,NA,7091.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40320,0.35074,4.63608,5,NA,2250.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
