id,x0,x1,x2,fitness6.5,fitness7.5,fitness8,fitness8.5,fitness7,fitness9,fitness9.5
32325,7.04265,6.83019,8.01451,NA,NA,NA,0.639,NA,NA,NA
32442,7.55491,7.62965,8.78629,NA,0.806,NA,NA,NA,NA,NA
32704,7.2772,7.58522,8.0565,NA,0.889,NA,NA,NA,NA,NA
32874,8.53388,7.3383,7.30205,NA,0.783,NA,NA,NA,NA,NA
33159,7.93007,7.44032,7.15409,NA,NA,NA,0.839,NA,NA,NA
33289,7.69568,6.44685,8.11375,NA,NA,0.637,NA,NA,NA,NA
33422,7.67281,7.58679,7.67109,NA,NA,NA,NA,0.869,NA,NA
33634,8.18271,7.88903,8.17054,NA,NA,NA,NA,0.827,NA,NA
33926,7.19817,7.81936,7.09572,NA,NA,0.837,NA,NA,NA,NA
34072,7.61991,8.13311,7.36626,NA,NA,0.925,NA,NA,NA,NA
34289,7.19904,7.65134,8.23521,NA,NA,NA,0.83,NA,NA,NA
34509,7.41603,8.04843,7.76313,NA,NA,0.918,NA,NA,NA,NA
34605,7.41442,7.19429,7.40479,NA,NA,NA,NA,NA,0.679,NA
35000,7.17824,7.7151,7.90492,NA,NA,0.919,NA,NA,NA,NA
35186,7.99549,7.14916,7.7107,NA,NA,0.878,NA,NA,NA,NA
35255,8.25149,6.75063,8.10528,NA,NA,0.694,NA,NA,NA,NA
35563,8.2579,7.046,7.74313,NA,NA,NA,NA,0.787,NA,NA
35663,7.97992,7.32184,7.53062,NA,NA,0.932,NA,NA,NA,NA
35892,8.34408,7.67244,7.14924,NA,0.857,NA,NA,NA,NA,NA
36062,7.01973,7.43237,7.81691,NA,NA,0.834,NA,NA,NA,NA
36394,7.34089,7.28972,6.89877,NA,NA,NA,NA,0.693,NA,NA
36479,7.70363,6.93134,8.3237,NA,NA,0.781,NA,NA,NA,NA
36741,7.52089,7.9522,6.55967,NA,NA,0.72,NA,NA,NA,NA
36880,7.27232,7.73292,7.41912,NA,NA,0.899,NA,NA,NA,NA
37025,7.22882,7.41864,7.5916,NA,NA,NA,0.817,NA,NA,NA
37379,8.35301,7.36237,8.66038,NA,NA,NA,0.614,NA,NA,NA
37501,8.34212,7.53665,7.97439,NA,0.898,NA,NA,NA,NA,NA
37762,8.00764,7.95474,7.73307,NA,NA,0.968,NA,NA,NA,NA
37986,7.30891,8.37881,7.24703,NA,NA,NA,0.737,NA,NA,NA
38101,7.29814,7.40197,7.49142,NA,NA,0.893,NA,NA,NA,NA
38202,8.24033,8.14779,8.67244,NA,NA,0.741,NA,NA,NA,NA
38508,8.0544,7.37211,7.79364,NA,0.927,NA,NA,NA,NA,NA
38709,7.63672,7.85345,7.36897,NA,0.931,NA,NA,NA,NA,NA
38918,7.83909,7.52495,7.57508,NA,NA,0.975,NA,NA,NA,NA
39196,8.23187,7.59009,7.64569,NA,NA,NA,0.873,NA,NA,NA
39214,7.76621,7.20525,7.22151,NA,NA,0.872,NA,NA,NA,NA
39411,8.15803,7.72142,7.28383,NA,NA,0.885,NA,NA,NA,NA
39603,7.6553,8.52902,7.43479,NA,NA,0.84,NA,NA,NA,NA
39937,7.55937,7.7453,8.00657,NA,NA,0.952,NA,NA,NA,NA
40089,7.56021,8.05676,8.28485,NA,NA,NA,NA,0.804,NA,NA
40239,7.41212,7.79806,6.7143,NA,NA,0.775,NA,NA,NA,NA
40428,7.30716,7.40348,7.36776,NA,0.882,NA,NA,NA,NA,NA
40612,7.39079,7.51962,7.19855,NA,NA,NA,0.821,NA,NA,NA
40835,7.69303,7.95991,7.44554,NA,NA,NA,NA,NA,0.772,NA
41197,7.41302,7.39286,7.22724,NA,NA,0.87,NA,NA,NA,NA
41272,8.29576,7.25214,7.57675,NA,0.869,NA,NA,NA,NA,NA
41492,7.73938,7.0549,7.86784,NA,NA,0.879,NA,NA,NA,NA
41685,8.94061,7.73358,7.80278,NA,NA,NA,0.707,NA,NA,NA
41949,8.14229,7.53269,7.51821,NA,NA,0.92,NA,NA,NA,NA
42058,7.45369,7.51724,8.0988,NA,0.948,NA,NA,NA,NA,NA
42252,6.8477,8.15816,7.53774,NA,NA,0.778,NA,NA,NA,NA
42485,7.38005,7.22386,7.59568,NA,0.924,NA,NA,NA,NA,NA
42639,7.77687,7.37488,7.60039,NA,0.955,NA,NA,NA,NA,NA
42829,7.57804,8.16591,7.90082,NA,NA,0.937,NA,NA,NA,NA
43062,8.00225,7.04674,7.90084,NA,NA,0.88,NA,NA,NA,NA
43363,7.42497,8.02197,8.20399,NA,NA,NA,0.784,NA,NA,NA
43444,7.59425,7.06139,6.99192,NA,0.77,NA,NA,NA,NA,NA
43701,7.1008,8.19089,7.71091,NA,0.86,NA,NA,NA,NA,NA
43921,7.52487,7.03095,7.73679,NA,0.888,NA,NA,NA,NA,NA
44018,7.50392,7.53851,8.48914,NA,NA,NA,NA,NA,0.619,NA
44230,7.38751,7.9426,7.4071,NA,NA,0.919,NA,NA,NA,NA
44471,7.12512,7.50424,8.12912,NA,NA,NA,0.801,NA,NA,NA
44788,8.37216,7.96256,7.92614,NA,NA,NA,NA,0.82,NA,NA
44818,8.84919,7.69095,7.80023,NA,0.795,NA,NA,NA,NA,NA
45086,7.96792,7.68134,8.33666,NA,0.895,NA,NA,NA,NA,NA
45219,8.60802,7.81298,7.43046,NA,0.822,NA,NA,NA,NA,NA
45599,7.50489,7.54835,8.08697,NA,0.922,NA,NA,NA,NA,NA
45800,7.25065,7.79684,8.65447,NA,0.784,NA,NA,NA,NA,NA
45881,6.92864,7.44726,7.31959,NA,NA,0.781,NA,NA,NA,NA
46039,7.49667,7.58508,8.03243,NA,NA,0.943,NA,NA,NA,NA
46216,7.4604,7.28061,8.21317,NA,0.898,NA,NA,NA,NA,NA
46590,7.1166,7.89193,8.14725,NA,NA,0.831,NA,NA,NA,NA
46616,6.86078,6.92978,7.32748,NA,0.688,NA,NA,NA,NA,NA
46940,7.78784,7.12414,7.61119,NA,NA,NA,NA,0.819,NA,NA
47124,7.21459,8.04454,7.21492,NA,NA,NA,NA,0.818,NA,NA
47288,7.14186,7.59169,8.31175,NA,0.856,NA,NA,NA,NA,NA
47459,7.44874,7.72264,7.23631,NA,NA,0.918,NA,NA,NA,NA
47778,8.15171,7.42922,7.83462,NA,0.928,NA,NA,NA,NA,NA
47872,7.12682,8.17393,7.26533,NA,NA,0.838,NA,NA,NA,NA
48156,7.44768,7.8129,7.63902,NA,NA,NA,NA,0.913,NA,NA
48393,8.70919,7.63833,8.08438,NA,NA,0.803,NA,NA,NA,NA
48554,7.27361,8.25128,8.01711,NA,NA,NA,NA,0.802,NA,NA
48704,8.05405,7.78353,7.00418,NA,NA,0.852,NA,NA,NA,NA
48961,7.7183,7.31568,7.52802,NA,NA,NA,0.855,NA,NA,NA
49125,8.0672,8.01129,7.41107,NA,0.92,NA,NA,NA,NA,NA
49251,7.27809,7.8205,7.10237,NA,0.874,NA,NA,NA,NA,NA
49545,7.9869,7.57594,7.13238,NA,NA,NA,NA,0.833,NA,NA
49651,7.70571,7.64844,6.32886,NA,NA,NA,NA,0.57,NA,NA
49820,7.46738,7.39601,7.18351,NA,0.895,NA,NA,NA,NA,NA
50128,6.90287,8.36632,7.9124,NA,NA,NA,NA,0.674,NA,NA
50314,8.0341,7.40914,7.30446,NA,NA,NA,NA,0.878,NA,NA
50559,7.86571,7.97227,7.64654,NA,NA,0.972,NA,NA,NA,NA
50733,7.93746,8.05652,7.79196,NA,0.924,NA,NA,NA,NA,NA
50969,7.51869,7.73869,7.73187,NA,NA,0.943,NA,NA,NA,NA
51118,8.41726,8.06354,7.49272,NA,NA,0.866,NA,NA,NA,NA
51272,7.84031,6.97929,7.39025,NA,0.859,NA,NA,NA,NA,NA
51507,7.54653,7.36775,7.74303,NA,NA,0.964,NA,NA,NA,NA
51613,7.62498,7.48201,7.34001,NA,NA,NA,NA,0.869,NA,NA
51933,7.95845,7.67719,7.78231,NA,NA,NA,NA,0.902,NA,NA
52043,7.84455,7.30153,7.83097,NA,0.953,NA,NA,NA,NA,NA
52290,8.54103,7.82302,8.21659,NA,0.825,NA,NA,NA,NA,NA
52457,8.14795,8.0372,7.37945,NA,NA,NA,NA,0.824,NA,NA
52749,8.62325,7.78646,7.32623,NA,NA,NA,NA,0.779,NA,NA
52969,8.21153,7.57294,7.97349,NA,0.932,NA,NA,NA,NA,NA
53156,7.67155,7.21002,8.68542,NA,0.777,NA,NA,NA,NA,NA
53220,7.80177,8.42356,7.0467,NA,0.808,NA,NA,NA,NA,NA
53505,8.13561,7.30471,7.65679,NA,0.885,NA,NA,NA,NA,NA
53680,7.72485,7.82839,7.60431,NA,0.951,NA,NA,NA,NA,NA
53818,8.21588,7.32421,7.73726,NA,NA,0.876,NA,NA,NA,NA
54151,7.71728,7.02122,7.36932,NA,NA,NA,0.755,NA,NA,NA
54245,7.47788,7.63658,7.6173,NA,NA,0.984,NA,NA,NA,NA
54401,8.1045,8.26256,8.40536,NA,NA,NA,NA,0.712,NA,NA
54682,7.96652,8.28819,7.75359,NA,NA,0.922,NA,NA,NA,NA
54830,7.341,7.85038,7.16974,NA,NA,NA,NA,0.815,NA,NA
55040,7.81927,7.64097,6.95664,NA,NA,0.83,NA,NA,NA,NA
55356,7.58639,7.85261,7.56574,NA,NA,0.96,NA,NA,NA,NA
55547,7.91828,8.61006,8.01742,NA,0.83,NA,NA,NA,NA,NA
55619,7.27085,7.91581,6.84118,NA,NA,0.792,NA,NA,NA,NA
55929,7.63404,8.3016,6.76679,NA,0.748,NA,NA,NA,NA,NA
56108,7.96404,7.83015,7.69119,NA,0.983,NA,NA,NA,NA,NA
56242,8.71377,7.72064,7.60305,NA,NA,NA,0.741,NA,NA,NA
56592,8.31588,7.95746,7.59469,NA,NA,NA,NA,0.87,NA,NA
56775,7.82236,6.86041,7.52031,NA,0.83,NA,NA,NA,NA,NA
56882,7.83514,7.96845,7.47046,NA,NA,NA,0.85,NA,NA,NA
57090,8.24992,7.96941,7.53738,NA,NA,0.887,NA,NA,NA,NA
57356,8.09929,8.22617,7.26385,NA,NA,NA,NA,0.808,NA,NA
57433,7.7287,8.35779,7.45545,NA,0.887,NA,NA,NA,NA,NA
57624,7.85349,7.70452,7.09458,NA,0.91,NA,NA,NA,NA,NA
57831,7.39018,7.79302,7.65592,NA,NA,0.944,NA,NA,NA,NA
58191,7.99241,7.56913,8.52924,NA,NA,NA,0.786,NA,NA,NA
58367,7.85609,7.85688,7.7885,NA,NA,0.968,NA,NA,NA,NA
58425,7.0191,7.55594,7.21912,NA,NA,0.811,NA,NA,NA,NA
58747,7.31993,7.01479,6.94063,NA,NA,0.712,NA,NA,NA,NA
58833,7.49143,8.04493,7.86024,NA,NA,0.936,NA,NA,NA,NA
59078,8.02076,8.54856,7.66452,NA,0.854,NA,NA,NA,NA,NA
59232,8.03886,7.45655,7.60905,NA,NA,NA,0.852,NA,NA,NA
59551,8.18793,7.44517,7.56341,NA,NA,0.895,NA,NA,NA,NA
59733,8.21217,7.34363,7.58231,NA,0.886,NA,NA,NA,NA,NA
59889,8.23076,7.52213,7.20079,NA,NA,NA,0.827,NA,NA,NA
60023,7.64904,7.15827,6.82464,NA,NA,0.747,NA,NA,NA,NA
60242,7.91118,7.27735,7.91712,NA,NA,0.887,NA,NA,NA,NA
60591,7.41696,6.85978,8.01126,NA,NA,0.782,NA,NA,NA,NA
60696,7.28212,6.76661,8.16702,NA,NA,0.709,NA,NA,NA,NA
60925,7.59754,6.96094,7.04974,NA,NA,0.785,NA,NA,NA,NA
61045,7.78958,7.48824,8.49896,NA,0.851,NA,NA,NA,NA,NA
61395,7.37937,8.54562,7.90779,NA,NA,0.839,NA,NA,NA,NA
61573,7.11159,8.67823,7.76666,NA,0.765,NA,NA,NA,NA,NA
61784,7.55487,7.8802,8.31858,NA,0.918,NA,NA,NA,NA,NA
61918,8.14584,7.6572,7.82779,NA,0.959,NA,NA,NA,NA,NA
62001,7.54563,8.53793,7.78075,NA,NA,0.868,NA,NA,NA,NA
62340,6.87315,8.03103,7.79313,NA,0.83,NA,NA,NA,NA,NA
62526,6.69243,7.95143,7.99508,NA,0.748,NA,NA,NA,NA,NA
62793,7.99356,7.90446,8.18691,NA,NA,0.919,NA,NA,NA,NA
62813,7.65061,7.87807,8.4855,NA,0.862,NA,NA,NA,NA,NA
63180,7.53509,8.44095,7.65874,NA,NA,0.885,NA,NA,NA,NA
63282,8.54656,7.65672,7.95516,0.669,NA,NA,NA,NA,NA,NA
63550,7.82182,7.36959,8.00956,0.723,NA,NA,NA,NA,NA,NA
63649,7.52017,7.83713,6.98122,NA,NA,0.871,NA,NA,NA,NA
63997,6.77415,8.11119,7.87242,NA,0.779,NA,NA,NA,NA,NA
64158,7.57163,8.20756,7.88149,NA,0.926,NA,NA,NA,NA,NA
64328,8.35312,8.00349,7.52843,NA,NA,NA,NA,0.853,NA,NA
64463,7.89775,7.71426,7.8385,NA,NA,NA,0.916,NA,NA,NA
64674,7.19109,7.94957,8.48424,NA,NA,0.815,NA,NA,NA,NA
64993,8.13576,7.18493,7.61909,NA,NA,NA,NA,0.76,NA,NA
65011,7.47578,7.2569,7.43545,NA,0.9,NA,NA,NA,NA,NA
65249,8.62921,6.72154,7.37762,NA,NA,0.59,NA,NA,NA,NA
65494,7.68473,7.25286,7.45604,NA,0.906,NA,NA,NA,NA,NA
65709,8.45948,8.07181,8.58679,NA,0.74,NA,NA,NA,NA,NA
65806,7.73958,8.26363,7.90921,NA,NA,0.932,NA,NA,NA,NA
66101,7.62379,6.97307,7.6127,NA,NA,NA,0.795,NA,NA,NA
66372,7.45717,8.5983,7.55708,NA,NA,NA,NA,0.8,NA,NA
66407,8.35569,7.5805,8.2294,NA,0.863,NA,NA,NA,NA,NA
66753,8.15777,8.22636,7.20474,NA,0.846,NA,NA,NA,NA,NA
66918,7.44969,7.63573,7.83066,NA,NA,0.945,NA,NA,NA,NA
67021,7.97661,7.67497,7.48476,NA,NA,0.974,NA,NA,NA,NA
67346,8.38676,7.89717,8.07001,NA,NA,0.879,NA,NA,NA,NA
67444,7.91923,7.31389,7.81065,NA,NA,NA,NA,0.785,NA,NA
67680,7.97535,7.93821,8.04639,NA,NA,NA,NA,0.876,NA,NA
67887,7.73888,7.77599,8.32873,NA,NA,0.925,NA,NA,NA,NA
68137,7.03637,7.4653,7.7699,NA,NA,0.889,NA,NA,NA,NA
68381,7.12054,7.65509,8.38443,NA,NA,0.835,NA,NA,NA,NA
68468,8.20204,7.66681,8.18975,NA,NA,NA,NA,0.813,NA,NA
68722,7.99046,7.9025,8.0392,NA,NA,0.947,NA,NA,NA,NA
68916,8.53426,8.462,7.6052,NA,NA,NA,0.693,NA,NA,NA
69077,7.50368,7.7461,8.29674,NA,NA,NA,NA,0.772,NA,NA
69331,8.06399,8.05626,8.544,NA,0.808,NA,NA,NA,NA,NA
