id,x0,x1,x2,fitness-1,fitness0,fitness1,fitness0.5,fitness2.5,fitness4.5,fitness4,fitness5,fitness3,fitness2,fitness-2,fitness-0.5,fitness-1.5,fitness-2.5,fitness-3.5,fitness-3,fitness-4.5,fitness-4,fitness1.5,fitness3.5,fitness-5
3432,4.5844,4.59414,4.67093,NA,NA,44.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3677,5,4.10474,4.96959,NA,NA,409.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3822,5,4.0088,5,NA,NA,NA,24.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4177,4.03151,5,5,616.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4226,4.92596,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6397.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4405,5,5,4.99889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6994.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
4677,5,5,4.51599,NA,NA,NA,49.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4914,5,5,4.89112,10211.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,4.70958,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4717.514,NA,NA,NA,NA,NA,NA,NA,NA,NA
5278,5,4.78072,4.95539,NA,NA,NA,4467.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5477,5,5,4.19115,NA,NA,NA,1309.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5680,4.20022,4.55364,4.10474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.486,NA,NA,NA,NA,NA,NA,NA,NA,NA
5821,4.57036,4.64818,4.84938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6081,4.30147,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6530.055,NA,NA,NA,NA,NA,NA,NA,NA
6335,4.30662,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7092.056,NA,NA,NA,NA,NA,NA,NA,NA
6441,3.56173,5,4.66638,377.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6753,3.1653,5,1.49272,66.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6940,3.90749,5,1.51419,NA,119.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7170,5,3.28711,1.61281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.371,NA,NA,NA,NA,NA,NA,NA,NA
7251,5,2.76212,0.244669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.944,NA,NA,NA,NA,NA,NA,NA
7479,5,3.22732,-0.223875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.82,NA,NA,NA,NA,NA,NA
7668,5,4.42335,-1.61596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734.679,NA,NA,NA,NA,NA,NA,NA
7991,5,4.3978,1.31793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8080,4.32502,5,0.328025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.169,NA,NA,NA,NA,NA
8256,5,5,1.85794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.41,NA,NA,NA,NA,NA
8598,5,5,3.42999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551.635,NA,NA,NA,NA
8752,5,5,2.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743.89,NA,NA,NA,NA,NA
8952,4.04928,4.70614,3.69091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.378,NA,NA,NA,NA,NA,NA,NA
9016,5,3.59828,4.65937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.314,NA,NA,NA,NA,NA
9271,4.44942,4.39172,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.128,NA,NA,NA,NA,NA
9483,5,3.84359,4.93999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299.492,NA,NA,NA,NA,NA
9701,5,3.33936,4.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908.061,NA,NA,NA,NA,NA,NA
9927,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754.538,NA,NA,NA
10091,4.44842,4.94026,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.256,NA,NA,NA,NA,NA,NA,NA
10227,5,4.94041,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592.528,NA,NA,NA,NA,NA
10552,4.64717,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3659.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10664,4.06614,5,4.94281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.576,NA,NA,NA,NA,NA,NA,NA
10945,4.15194,4.44269,4.44661,85.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11159,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4380.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11283,5,4.79419,4.75663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5851.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11473,4.79299,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5556.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11619,5,3.70834,5,4071.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11892,4.76732,5,4.61948,4016.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12066,4.82236,5,4.41709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3665.451,NA,NA,NA,NA,NA,NA,NA,NA,NA
12325,5,5,4.31686,NA,530.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12499,5,5,4.2575,NA,NA,NA,1431.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12789,5,5,3.69373,NA,NA,NA,934.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12822,5,5,3.39031,NA,NA,NA,590.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13017,5,3.90436,4.37849,NA,880.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13307,5,5,4.65032,1914.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13551,4.84875,5,5,17384.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13644,5,3.69526,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13917,5,3.33373,3.7119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329.699,NA,NA,NA,NA,NA,NA,NA,NA
14031,5,2.82081,3.45448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.239,NA,NA,NA,NA,NA,NA,NA,NA
14388,5,3.97328,1.6845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.338,NA,NA,NA,NA,NA,NA,NA,NA,NA
14506,5,3.93591,0.593322,NA,-55.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14692,4.31386,4.77969,-0.276234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7036.899,NA,NA,NA,NA,NA,NA,NA,NA
14882,4.3575,5,-0.557664,1723.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15114,4.61578,4.49395,-0.329662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.708,NA,NA,NA,NA,NA,NA,NA,NA
15373,2.81209,4.01955,-0.275601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.296,NA,NA,NA,NA,NA,NA,NA,NA
15544,2.78933,3.23362,0.188591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
15715,2.21746,3.15155,-0.146703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.991,NA,NA
15878,1.65239,4.11067,-0.979811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.007,NA
16153,1.34402,5,-0.392328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.608,NA
16237,2.68087,5,1.50768,NA,NA,NA,NA,NA,183.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16498,3.44454,5,1.95834,NA,NA,NA,NA,NA,NA,NA,318.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16644,5,4.93921,2.26969,NA,NA,NA,NA,NA,2284.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16964,4.3969,5,2.78545,NA,NA,NA,NA,NA,NA,NA,1097.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17135,4.19362,5,3.53363,NA,NA,NA,NA,NA,NA,NA,16.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17286,3.56245,5,3.0903,NA,NA,NA,NA,NA,NA,NA,99.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17438,4.88346,5,3.20507,NA,NA,NA,NA,NA,NA,NA,3865.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17670,3.84491,4.33478,3.11929,NA,NA,NA,NA,NA,88.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17986,2.72101,5,3.44141,NA,NA,NA,NA,NA,491.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18002,2.37893,5,4.99115,NA,NA,NA,NA,NA,NA,NA,2404.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18287,4.17133,4.62383,5,NA,NA,NA,NA,NA,NA,NA,2676.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18593,5,4.41596,5,NA,NA,NA,NA,NA,NA,NA,3816.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18744,5,3.58682,4.28314,NA,NA,NA,NA,NA,NA,NA,943.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18841,3.366,5,5,NA,NA,NA,NA,NA,NA,881.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19119,3.02115,3.26067,5,NA,NA,NA,NA,12.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19248,3.46315,3.62345,4.74994,NA,NA,NA,NA,NA,NA,105.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19402,3.63047,3.35212,5,NA,NA,NA,NA,NA,NA,240.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19727,4.7201,3.58416,5,NA,NA,NA,NA,NA,703.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19925,3.0492,4.74149,5,NA,NA,NA,NA,NA,NA,115.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170,3.25386,4.96478,5,NA,NA,NA,NA,NA,NA,NA,3669.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20233,3.15422,3.94409,5,NA,NA,NA,NA,NA,NA,NA,308.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20523,4.62056,5,3.51436,NA,NA,NA,NA,NA,139.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20739,5,4.20107,3.90015,NA,NA,NA,NA,130.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20905,4.74393,5,2.8466,NA,NA,NA,NA,NA,NA,NA,NA,780.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21192,4.60561,5,4.34574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.022,NA
21363,4.14711,3.76501,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.213,NA
21575,5,4.70466,5,NA,NA,NA,NA,2044.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21621,5,4.74659,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21930,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3225.054,NA
22060,4.35416,5,5,NA,NA,NA,NA,NA,NA,1806.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22267,3.10376,4.88172,5,NA,NA,NA,NA,NA,NA,NA,2691.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22555,2.59456,4.43084,4.81426,NA,NA,NA,NA,NA,NA,NA,308.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22727,2.79558,3.82564,4.22754,NA,NA,NA,NA,NA,NA,NA,504.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22841,4.75421,5,3.17551,NA,NA,NA,NA,NA,NA,NA,3057.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23057,4.00926,4.65168,3.80805,NA,NA,NA,NA,NA,129.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23225,3.52432,5,5,NA,NA,NA,NA,NA,NA,NA,162.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23464,4.39262,5,5,NA,NA,NA,NA,NA,NA,NA,4121.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23615,4.22843,4.96294,3.68259,NA,NA,NA,NA,NA,NA,NA,2477.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23817,4.97176,4.32347,5,NA,NA,NA,NA,NA,NA,NA,7304.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24113,5,4.76375,5,NA,NA,NA,NA,NA,6334.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24331,5,4.44208,4.03952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.882,NA
24423,5,5,2.72091,NA,NA,NA,NA,NA,NA,NA,NA,-11.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24687,4.92479,5,4.84903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718.58,NA
24950,4.9023,4.54965,4.49036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.51,NA
25163,4.36342,4.13764,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517.19,NA
25256,4.43561,4.11127,4.58602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.742,NA
25460,3.11939,4.52689,4.57433,NA,NA,NA,NA,NA,NA,NA,NA,11.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25784,3.00948,4.12585,3.42436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.645,NA
25903,1.41315,3.22186,3.35639,NA,NA,NA,NA,NA,NA,NA,254.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26128,3.40778,4.05423,4.0018,NA,NA,NA,NA,NA,-6.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26382,3.1187,4.47684,4.79467,NA,NA,NA,NA,NA,197.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26427,4.38458,4.49498,5,NA,NA,NA,NA,NA,218.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26776,3.94278,3.58988,4.80283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.157,NA
26906,4.71586,3.46045,3.79783,NA,NA,NA,NA,NA,NA,180.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27198,5,3.45492,4.89029,NA,NA,NA,NA,NA,NA,708.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27337,5,4.02564,5,NA,NA,NA,NA,NA,NA,351.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27589,5,4.63871,4.73276,NA,NA,NA,NA,NA,NA,1666.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27747,4.76064,4.05782,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.859,NA
27978,5,4.79215,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978.177,NA
28198,5,4.67544,5,NA,NA,NA,NA,2231.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28386,5,4.67855,5,NA,NA,NA,NA,NA,NA,NA,NA,2509.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28505,4.89187,5,4.58109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.403,NA
28680,5,5,1.85701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630.761,NA
28881,4.38469,4.79128,4.07029,NA,NA,NA,NA,NA,843.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29154,3.93055,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29384,3.17244,4.92953,4.99579,NA,NA,NA,NA,NA,NA,NA,NA,466.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29511,2.46986,3.85918,5,NA,NA,NA,136.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29620,4.03939,2.58553,5,NA,65.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29865,5,4.74951,5,14848.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29999,5,4.82035,4.56002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.513,NA,NA,NA,NA,NA
30290,4.42779,5,4.09045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.172,NA,NA,NA,NA,NA
30471,4.33441,4.11168,4.38893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.536,NA,NA,NA,NA,NA,NA,NA,NA
30727,4.32887,3.30645,4.98372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.747,NA,NA,NA,NA,NA
30918,4.737,3.92944,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31146,5,3.09191,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.621,NA,NA,NA,NA,NA,NA,NA
31320,4.25854,3.75919,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.581,NA,NA,NA,NA,NA,NA
31528,5,2.84509,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.927,NA,NA,NA,NA,NA
31605,5,2.87924,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.21,NA,NA,NA
31807,4.05646,3.08624,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.961
32098,3.70584,4.93033,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.361,NA,NA,NA,NA,NA,NA,NA
32280,4.57132,4.39668,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.942,NA,NA,NA,NA,NA,NA
32442,5,4.6138,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1466.126,NA,NA,NA,NA,NA
32752,4.81148,4.50104,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.046,NA,NA,NA,NA,NA,NA,NA,NA
32800,5,5,3.62174,1315.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33072,4.3283,4.71215,3.48717,825.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33317,5,5,1.8507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2359.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
33526,5,5,1.71218,2395.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33604,5,5,1.02879,834.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33961,5,5,1.01479,425.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34005,5,5,2.07937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.329,NA,NA,NA,NA,NA,NA,NA,NA
34306,5,5,2.60273,1073.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34466,4.18934,5,3.93203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.29,NA,NA,NA,NA,NA,NA,NA,NA
