id,x0,x1,x2,fitness8,fitness7.5,fitness7,fitness9.5,fitness8.5,fitness9,fitness6.5,fitness6,fitness10
9280,8.20489,7.92281,7.66977,NA,NA,NA,NA,0.878,NA,NA,NA,NA
9599,7.65613,8.04306,7.45266,NA,NA,0.857,NA,NA,NA,NA,NA,NA
9780,8.07856,8.53984,7.20333,NA,0.797,NA,NA,NA,NA,NA,NA,NA
9985,8.09851,7.89022,7.92692,NA,0.929,NA,NA,NA,NA,NA,NA,NA
10088,8.11833,8.04856,8.27392,NA,NA,NA,NA,0.822,NA,NA,NA,NA
10259,7.25927,7.57569,8.19459,NA,0.901,NA,NA,NA,NA,NA,NA,NA
10568,6.928,8.07434,8.43251,NA,NA,0.658,NA,NA,NA,NA,NA,NA
10671,6.3661,8.06969,8.78008,NA,NA,NA,NA,0.362,NA,NA,NA,NA
10957,7.61982,7.14993,8.17619,NA,0.889,NA,NA,NA,NA,NA,NA,NA
11120,7.33008,7.51119,7.70207,NA,NA,0.87,NA,NA,NA,NA,NA,NA
11387,8.12544,8.14098,7.74595,0.876,NA,NA,NA,NA,NA,NA,NA,NA
11490,7.61401,8.56224,7.37081,NA,NA,NA,NA,0.778,NA,NA,NA,NA
11761,8.65696,8.14231,7.63891,0.783,NA,NA,NA,NA,NA,NA,NA,NA
11941,8.26304,8.28306,7.92995,NA,NA,0.75,NA,NA,NA,NA,NA,NA
12098,7.71171,7.42052,8.67875,NA,NA,NA,NA,0.769,NA,NA,NA,NA
12392,8.2635,8.37558,7.9053,NA,NA,NA,NA,0.778,NA,NA,NA,NA
12422,7.59514,7.33307,9.44287,NA,0.595,NA,NA,NA,NA,NA,NA,NA
12782,7.77648,8.11347,8.81645,NA,0.772,NA,NA,NA,NA,NA,NA,NA
12846,7.98449,7.98159,8.46812,0.851,NA,NA,NA,NA,NA,NA,NA,NA
13141,8.55636,8.14349,7.94793,0.785,NA,NA,NA,NA,NA,NA,NA,NA
13309,8.58183,7.91196,7.36917,0.821,NA,NA,NA,NA,NA,NA,NA,NA
13504,8.77205,8.53505,7.95768,NA,NA,0.607,NA,NA,NA,NA,NA,NA
13743,8.35458,7.76037,8.33378,NA,NA,0.769,NA,NA,NA,NA,NA,NA
13934,8.45499,7.9668,7.72391,NA,0.874,NA,NA,NA,NA,NA,NA,NA
14180,7.49642,7.9476,7.14167,NA,NA,NA,NA,0.817,NA,NA,NA,NA
14357,8.19634,7.70498,6.67681,0.711,NA,NA,NA,NA,NA,NA,NA,NA
14476,7.81856,7.49946,6.81633,NA,0.809,NA,NA,NA,NA,NA,NA,NA
14674,7.06422,7.08494,7.67388,0.827,NA,NA,NA,NA,NA,NA,NA,NA
14981,7.60234,8.03363,7.80948,NA,0.957,NA,NA,NA,NA,NA,NA,NA
15001,7.19599,7.87649,8.14838,0.898,NA,NA,NA,NA,NA,NA,NA,NA
15371,8.02832,8.20024,7.50304,0.882,NA,NA,NA,NA,NA,NA,NA,NA
15598,7.3446,8.60606,7.44405,0.77,NA,NA,NA,NA,NA,NA,NA,NA
15700,7.36551,7.71758,7.34209,NA,0.906,NA,NA,NA,NA,NA,NA,NA
15801,8.27511,7.7024,7.49747,NA,0.93,NA,NA,NA,NA,NA,NA,NA
16078,8.49037,9.09475,8.2267,NA,0.553,NA,NA,NA,NA,NA,NA,NA
16287,7.59907,9.45355,7.84383,NA,0.63,NA,NA,NA,NA,NA,NA,NA
16568,8.0304,8.78123,7.68009,0.794,NA,NA,NA,NA,NA,NA,NA,NA
16659,7.51945,8.61464,8.43762,0.752,NA,NA,NA,NA,NA,NA,NA,NA
16916,7.71616,8.91794,8.01581,NA,NA,NA,NA,0.597,NA,NA,NA,NA
17057,7.61755,8.1495,7.85031,NA,NA,NA,NA,NA,0.717,NA,NA,NA
17301,7.39972,8.35634,7.78959,0.88,NA,NA,NA,NA,NA,NA,NA,NA
17567,8.10696,8.42827,7.45266,NA,NA,0.798,NA,NA,NA,NA,NA,NA
17716,8.14802,7.59315,7.85493,0.909,NA,NA,NA,NA,NA,NA,NA,NA
17887,7.54004,8.27359,7.60477,0.928,NA,NA,NA,NA,NA,NA,NA,NA
18182,7.95526,7.17496,7.3791,NA,NA,NA,NA,NA,NA,0.681,NA,NA
18385,7.56201,8.09544,7.18438,0.904,NA,NA,NA,NA,NA,NA,NA,NA
18494,7.8392,7.55568,7.36148,NA,0.965,NA,NA,NA,NA,NA,NA,NA
18653,7.90373,7.47835,7.81984,0.956,NA,NA,NA,NA,NA,NA,NA,NA
18866,7.28933,7.6668,9.32051,NA,NA,NA,NA,0.564,NA,NA,NA,NA
19042,8.08738,6.54955,8.47434,0.583,NA,NA,NA,NA,NA,NA,NA,NA
19267,8.29535,7.11458,8.27695,0.787,NA,NA,NA,NA,NA,NA,NA,NA
19508,8.72686,7.65354,7.76833,NA,NA,NA,NA,0.727,NA,NA,NA,NA
19621,9.14537,7.23373,7.79472,NA,0.664,NA,NA,NA,NA,NA,NA,NA
19993,8.46509,7.91438,8.07893,0.807,NA,NA,NA,NA,NA,NA,NA,NA
20109,8.56325,7.99468,7.9924,NA,NA,NA,NA,NA,0.543,NA,NA,NA
20221,7.70485,8.35961,7.81528,NA,NA,NA,NA,0.777,NA,NA,NA,NA
20481,7.56204,7.55625,6.6905,NA,0.759,NA,NA,NA,NA,NA,NA,NA
20630,8.08312,8.10222,7.58793,NA,0.933,NA,NA,NA,NA,NA,NA,NA
20875,8.60504,7.40602,7.89194,0.785,NA,NA,NA,NA,NA,NA,NA,NA
21122,8.11045,7.37004,8.34225,0.857,NA,NA,NA,NA,NA,NA,NA,NA
21358,7.96267,7.08572,6.70187,NA,0.694,NA,NA,NA,NA,NA,NA,NA
21472,7.49524,7.47217,6.49821,0.682,NA,NA,NA,NA,NA,NA,NA,NA
21738,7.26912,7.73083,7.36492,0.913,NA,NA,NA,NA,NA,NA,NA,NA
21849,7.67575,7.44586,6.95402,0.833,NA,NA,NA,NA,NA,NA,NA,NA
22183,7.45336,7.34521,7.54777,NA,NA,NA,NA,0.877,NA,NA,NA,NA
22332,7.29974,8.12236,7.31385,NA,NA,NA,NA,0.792,NA,NA,NA,NA
22584,7.12684,8.3812,7.11036,0.758,NA,NA,NA,NA,NA,NA,NA,NA
22735,7.55268,7.69432,6.96522,NA,0.874,NA,NA,NA,NA,NA,NA,NA
22938,7.10984,7.53664,7.40286,0.892,NA,NA,NA,NA,NA,NA,NA,NA
23112,7.43078,8.49366,8.1023,NA,0.843,NA,NA,NA,NA,NA,NA,NA
23333,8.23208,8.01458,7.49791,NA,NA,NA,NA,0.826,NA,NA,NA,NA
23439,7.80758,8.03168,7.44052,NA,NA,NA,NA,NA,0.705,NA,NA,NA
23700,7.63196,6.99438,7.64899,0.883,NA,NA,NA,NA,NA,NA,NA,NA
23940,7.34214,8.10662,7.34377,NA,NA,NA,NA,0.771,NA,NA,NA,NA
24065,7.6891,7.77013,7.61378,NA,NA,NA,NA,0.918,NA,NA,NA,NA
24360,7.89021,8.28006,7.90556,NA,NA,NA,NA,NA,0.709,NA,NA,NA
24428,7.17682,7.86398,7.63703,NA,NA,NA,NA,0.805,NA,NA,NA,NA
24728,7.16371,7.80407,7.72561,0.917,NA,NA,NA,NA,NA,NA,NA,NA
24860,7.66512,7.51076,7.7588,NA,0.991,NA,NA,NA,NA,NA,NA,NA
25030,8.10976,8.04189,5.81394,NA,0.45,NA,NA,NA,NA,NA,NA,NA
25284,6.30662,8.61958,7.63537,NA,0.498,NA,NA,NA,NA,NA,NA,NA
25431,7.01577,8.03882,6.46298,NA,NA,0.519,NA,NA,NA,NA,NA,NA
25744,8.0937,8.14955,7.46251,NA,0.894,NA,NA,NA,NA,NA,NA,NA
25961,7.48064,8.17338,7.23975,NA,NA,0.745,NA,NA,NA,NA,NA,NA
26099,8.27008,7.35075,7.46645,NA,0.898,NA,NA,NA,NA,NA,NA,NA
26302,8.67056,7.29716,7.95287,NA,NA,0.747,NA,NA,NA,NA,NA,NA
26408,8.11894,7.33284,7.55032,NA,NA,NA,NA,NA,0.707,NA,NA,NA
26698,7.82604,7.01754,7.59595,NA,0.89,NA,NA,NA,NA,NA,NA,NA
26996,7.34628,7.05708,7.7267,0.856,NA,NA,NA,NA,NA,NA,NA,NA
27178,7.65351,7.47699,7.37033,NA,NA,NA,NA,0.878,NA,NA,NA,NA
27211,8.17545,7.12855,7.43038,0.856,NA,NA,NA,NA,NA,NA,NA,NA
27466,7.99648,7.16445,7.7987,NA,0.918,NA,NA,NA,NA,NA,NA,NA
27758,7.74259,7.64729,6.72428,0.777,NA,NA,NA,NA,NA,NA,NA,NA
27846,8.45614,6.91092,7.44751,NA,0.75,NA,NA,NA,NA,NA,NA,NA
28047,8.46027,8.00162,7.33043,NA,NA,NA,NA,0.783,NA,NA,NA,NA
28240,8.19761,7.38836,7.91036,NA,0.923,NA,NA,NA,NA,NA,NA,NA
28503,7.76628,7.77153,8.25153,0.919,NA,NA,NA,NA,NA,NA,NA,NA
28690,7.88409,7.88054,7.56764,0.966,NA,NA,NA,NA,NA,NA,NA,NA
28817,7.62004,8.72273,8.0999,NA,NA,NA,NA,NA,0.612,NA,NA,NA
29004,6.96737,8.61091,7.25589,0.69,NA,NA,NA,NA,NA,NA,NA,NA
29305,6.70607,7.91292,7.45638,NA,0.771,NA,NA,NA,NA,NA,NA,NA
29474,7.56423,8.53475,8.39766,0.789,NA,NA,NA,NA,NA,NA,NA,NA
29647,8.31123,9.69804,8.53521,NA,0.394,NA,NA,NA,NA,NA,NA,NA
29945,8.20747,8.39922,7.14959,NA,NA,0.743,NA,NA,NA,NA,NA,NA
30015,7.83738,8.51857,8.24005,NA,0.785,NA,NA,NA,NA,NA,NA,NA
30208,6.97143,7.20663,6.86894,NA,0.672,NA,NA,NA,NA,NA,NA,NA
30461,7.20458,8.1637,7.21272,NA,NA,0.7,NA,NA,NA,NA,NA,NA
30671,7.37977,7.53289,6.94398,NA,NA,NA,NA,0.744,NA,NA,NA,NA
30847,7.83689,9.03256,7.80727,NA,0.736,NA,NA,NA,NA,NA,NA,NA
31007,8.01403,8.22342,7.47177,NA,0.918,NA,NA,NA,NA,NA,NA,NA
31284,6.97868,8.10742,7.54685,NA,0.849,NA,NA,NA,NA,NA,NA,NA
31534,8.09567,8.06152,8.32051,NA,0.875,NA,NA,NA,NA,NA,NA,NA
31643,7.82374,8.84352,7.7697,NA,0.778,NA,NA,NA,NA,NA,NA,NA
31878,7.59743,8.26371,8.05246,NA,NA,NA,NA,0.854,NA,NA,NA,NA
32014,7.08046,7.86246,7.88262,0.899,NA,NA,NA,NA,NA,NA,NA,NA
32221,8.0825,8.25401,8.22956,NA,0.845,NA,NA,NA,NA,NA,NA,NA
32405,7.99243,7.69925,7.17083,0.921,NA,NA,NA,NA,NA,NA,NA,NA
32696,7.86546,8.0048,7.59998,NA,0.949,NA,NA,NA,NA,NA,NA,NA
32885,8.18034,8.29067,7.76024,0.884,NA,NA,NA,NA,NA,NA,NA,NA
33125,7.66826,8.52586,7.1935,NA,NA,NA,NA,NA,0.589,NA,NA,NA
33390,7.1856,7.87133,7.69625,0.931,NA,NA,NA,NA,NA,NA,NA,NA
33461,8.00391,7.83671,7.49287,NA,0.932,NA,NA,NA,NA,NA,NA,NA
33642,7.51427,7.41753,6.6754,NA,NA,NA,NA,NA,NA,0.542,NA,NA
33871,7.62071,7.50886,7.02954,NA,NA,0.727,NA,NA,NA,NA,NA,NA
34032,7.36634,7.06526,7.36621,NA,NA,NA,NA,NA,NA,NA,0.472,NA
34357,7.95119,7.49505,7.95415,NA,NA,NA,NA,NA,NA,0.595,NA,NA
34582,8.4283,8.28802,8.20407,0.795,NA,NA,NA,NA,NA,NA,NA,NA
34755,8.48787,7.9809,7.85985,0.867,NA,NA,NA,NA,NA,NA,NA,NA
34996,7.94633,8.00504,7.54707,NA,NA,NA,NA,NA,0.761,NA,NA,NA
35078,8.59469,7.24877,7.45765,NA,NA,NA,NA,0.748,NA,NA,NA,NA
35223,7.99116,6.61626,7.28975,0.661,NA,NA,NA,NA,NA,NA,NA,NA
35563,7.38503,7.85923,7.03356,NA,NA,0.713,NA,NA,NA,NA,NA,NA
35786,7.57968,7.12916,8.10045,NA,NA,0.739,NA,NA,NA,NA,NA,NA
35813,7.36054,8.02188,8.25585,NA,0.867,NA,NA,NA,NA,NA,NA,NA
36135,7.43092,7.35061,8.33428,NA,NA,0.737,NA,NA,NA,NA,NA,NA
36267,7.80578,6.99081,7.8386,NA,NA,0.819,NA,NA,NA,NA,NA,NA
36455,8.09633,7.63697,8.13034,NA,NA,0.79,NA,NA,NA,NA,NA,NA
36772,7.78872,7.54169,7.30151,NA,0.957,NA,NA,NA,NA,NA,NA,NA
36896,7.61895,8.0455,7.32215,NA,NA,NA,NA,0.773,NA,NA,NA,NA
37175,7.48519,9.14997,7.74554,NA,NA,NA,NA,0.583,NA,NA,NA,NA
37295,8.53384,8.09894,7.30058,NA,0.815,NA,NA,NA,NA,NA,NA,NA
37585,8.06118,7.55727,8.25708,NA,0.904,NA,NA,NA,NA,NA,NA,NA
37723,7.93423,7.64552,7.68061,NA,NA,NA,NA,NA,NA,0.796,NA,NA
37949,8.90305,7.70875,7.88089,NA,0.752,NA,NA,NA,NA,NA,NA,NA
38171,8.03087,7.58911,7.52501,NA,0.949,NA,NA,NA,NA,NA,NA,NA
38265,7.93237,7.3338,7.36608,NA,NA,NA,NA,NA,NA,NA,0.512,NA
38530,8.72646,7.40521,8.02116,NA,NA,0.659,NA,NA,NA,NA,NA,NA
38609,8.26861,7.23753,7.17648,0.801,NA,NA,NA,NA,NA,NA,NA,NA
38948,8.04961,7.39084,8.04819,NA,0.922,NA,NA,NA,NA,NA,NA,NA
39085,8.15816,8.17579,7.87909,NA,NA,NA,NA,0.747,NA,NA,NA,NA
39273,7.83307,7.53941,8.19438,NA,NA,NA,NA,0.835,NA,NA,NA,NA
39418,7.82816,8.047,8.16487,0.91,NA,NA,NA,NA,NA,NA,NA,NA
39601,7.65921,7.63951,8.15953,NA,0.916,NA,NA,NA,NA,NA,NA,NA
39868,7.43108,7.3952,6.90568,NA,NA,NA,NA,0.705,NA,NA,NA,NA
40154,7.304,7.80251,7.08539,NA,NA,NA,NA,0.792,NA,NA,NA,NA
40318,8.05753,8.22317,7.30365,NA,0.89,NA,NA,NA,NA,NA,NA,NA
40411,7.70713,8.45926,8.11288,0.827,NA,NA,NA,NA,NA,NA,NA,NA
40695,7.58621,8.26037,7.5769,0.904,NA,NA,NA,NA,NA,NA,NA,NA
40973,7.32235,8.5273,9.42867,NA,NA,0.41,NA,NA,NA,NA,NA,NA
41024,7.785,7.52069,8.44125,NA,NA,0.798,NA,NA,NA,NA,NA,NA
41213,7.45632,7.25353,7.42875,NA,NA,NA,NA,NA,0.728,NA,NA,NA
41436,8.29187,7.67206,8.77313,NA,NA,NA,NA,NA,0.569,NA,NA,NA
41711,7.38023,8.7156,8.42647,NA,NA,NA,NA,0.602,NA,NA,NA,NA
41955,7.1452,8.03021,7.41931,0.891,NA,NA,NA,NA,NA,NA,NA,NA
42077,8.36403,7.96894,8.53444,0.763,NA,NA,NA,NA,NA,NA,NA,NA
42343,7.30894,7.01935,7.34323,NA,NA,NA,NA,0.727,NA,NA,NA,NA
42404,6.86437,7.38939,8.00412,NA,NA,NA,NA,0.675,NA,NA,NA,NA
42779,7.16039,7.64069,7.44336,NA,NA,0.834,NA,NA,NA,NA,NA,NA
42929,7.07891,7.27308,7.06672,NA,0.776,NA,NA,NA,NA,NA,NA,NA
43037,8.25772,8.32898,7.28281,NA,0.819,NA,NA,NA,NA,NA,NA,NA
43266,7.60199,8.18443,8.02603,0.93,NA,NA,NA,NA,NA,NA,NA,NA
43401,7.45929,8.40617,7.70015,NA,0.892,NA,NA,NA,NA,NA,NA,NA
43621,8.02511,8.6101,7.93579,NA,0.83,NA,NA,NA,NA,NA,NA,NA
43923,7.54967,8.82431,7.72569,NA,NA,NA,NA,0.658,NA,NA,NA,NA
44014,8.47731,7.62777,8.71282,0.722,NA,NA,NA,NA,NA,NA,NA,NA
44286,8.29919,6.88121,8.16058,0.747,NA,NA,NA,NA,NA,NA,NA,NA
44577,7.15156,6.51727,7.8414,NA,NA,NA,NA,0.581,NA,NA,NA,NA
44714,7.45374,7.79984,7.41766,NA,0.956,NA,NA,NA,NA,NA,NA,NA
44912,6.75552,7.74957,8.15884,NA,NA,NA,NA,0.7,NA,NA,NA,NA
45024,8.23618,8.13535,9.13379,0.603,NA,NA,NA,NA,NA,NA,NA,NA
45387,7.84272,8.70258,8.66189,NA,NA,NA,NA,0.579,NA,NA,NA,NA
45522,7.37955,8.17497,8.09991,NA,NA,NA,NA,NA,0.665,NA,NA,NA
45629,7.35066,7.86789,7.84377,NA,NA,NA,NA,0.803,NA,NA,NA,NA
45919,7.62113,8.1414,9.23734,NA,NA,NA,NA,0.567,NA,NA,NA,NA
46195,7.57913,7.46074,7.48797,NA,0.954,NA,NA,NA,NA,NA,NA,NA
46365,7.72613,7.44164,8.12395,NA,0.951,NA,NA,NA,NA,NA,NA,NA
46533,7.38492,7.78142,8.5325,NA,NA,NA,NA,0.79,NA,NA,NA,NA
46776,8.04743,7.59732,8.57614,NA,0.844,NA,NA,NA,NA,NA,NA,NA
46846,7.97011,6.96293,8.07885,NA,0.837,NA,NA,NA,NA,NA,NA,NA
47101,7.5064,7.48717,7.51812,NA,0.955,NA,NA,NA,NA,NA,NA,NA
47367,7.5202,7.50492,7.55165,0.977,NA,NA,NA,NA,NA,NA,NA,NA
47573,8.22363,8.04468,7.86729,0.918,NA,NA,NA,NA,NA,NA,NA,NA
47790,7.19307,8.68413,7.44764,NA,0.766,NA,NA,NA,NA,NA,NA,NA
47922,7.04199,7.41067,8.27317,NA,0.795,NA,NA,NA,NA,NA,NA,NA
48161,8.44304,8.09932,7.79423,NA,0.868,NA,NA,NA,NA,NA,NA,NA
48277,8.97308,7.26866,7.82045,0.717,NA,NA,NA,NA,NA,NA,NA,NA
48580,7.38616,7.06574,7.95136,NA,NA,0.79,NA,NA,NA,NA,NA,NA
48670,7.83281,7.5362,8.15905,0.9,NA,NA,NA,NA,NA,NA,NA,NA
48803,7.58848,8.389,6.84876,0.746,NA,NA,NA,NA,NA,NA,NA,NA
49016,7.79626,7.86679,7.58256,NA,NA,NA,NA,NA,NA,0.702,NA,NA
49302,8.30576,7.79313,8.31868,NA,NA,0.791,NA,NA,NA,NA,NA,NA
49465,8.09617,7.43158,7.98419,NA,0.895,NA,NA,NA,NA,NA,NA,NA
49788,8.96314,7.72456,7.52461,NA,0.755,NA,NA,NA,NA,NA,NA,NA
49924,7.79635,8.47501,8.08115,NA,0.854,NA,NA,NA,NA,NA,NA,NA
50092,7.90145,7.7984,7.44664,NA,NA,NA,NA,0.917,NA,NA,NA,NA
50355,8.32468,8.15815,7.18244,0.812,NA,NA,NA,NA,NA,NA,NA,NA
50420,8.55324,8.55375,7.36158,NA,NA,0.561,NA,NA,NA,NA,NA,NA
50669,8.37206,7.85662,7.08149,NA,0.816,NA,NA,NA,NA,NA,NA,NA
50896,8.50373,7.27712,6.92023,NA,0.696,NA,NA,NA,NA,NA,NA,NA
51025,8.89505,9.16929,7.20151,0.433,NA,NA,NA,NA,NA,NA,NA,NA
51243,8.41529,8.2014,6.92949,NA,0.734,NA,NA,NA,NA,NA,NA,NA
51566,7.67867,8.45507,7.65052,NA,0.865,NA,NA,NA,NA,NA,NA,NA
51651,7.58387,7.21673,7.40736,NA,NA,0.823,NA,NA,NA,NA,NA,NA
51885,7.50313,7.78728,7.95885,NA,0.974,NA,NA,NA,NA,NA,NA,NA
52095,8.20689,7.50775,7.11249,0.819,NA,NA,NA,NA,NA,NA,NA,NA
52260,8.38318,8.19333,7.94851,NA,NA,0.723,NA,NA,NA,NA,NA,NA
52511,7.91834,7.88803,8.04825,NA,NA,0.787,NA,NA,NA,NA,NA,NA
52623,8.15179,7.70181,7.33479,0.898,NA,NA,NA,NA,NA,NA,NA,NA
52804,8.69538,7.72727,7.28285,0.779,NA,NA,NA,NA,NA,NA,NA,NA
53126,7.56582,8.18217,6.70451,NA,0.747,NA,NA,NA,NA,NA,NA,NA
53289,7.62431,7.74778,8.59316,0.824,NA,NA,NA,NA,NA,NA,NA,NA
53480,7.10718,8.02887,7.4121,0.878,NA,NA,NA,NA,NA,NA,NA,NA
53787,7.57972,7.8814,7.23,NA,NA,NA,NA,NA,0.645,NA,NA,NA
53954,7.69189,7.71794,7.63181,NA,NA,NA,NA,NA,0.75,NA,NA,NA
54014,7.60916,7.80655,8.90049,NA,NA,NA,NA,0.7,NA,NA,NA,NA
54312,7.55754,6.65015,7.76536,NA,0.746,NA,NA,NA,NA,NA,NA,NA
54416,7.19656,6.6441,7.34698,0.685,NA,NA,NA,NA,NA,NA,NA,NA
54729,7.879,6.67292,7.7784,NA,NA,NA,NA,0.69,NA,NA,NA,NA
54865,8.25054,7.08128,7.48919,NA,0.828,NA,NA,NA,NA,NA,NA,NA
55074,8.47555,7.43383,7.57015,NA,0.853,NA,NA,NA,NA,NA,NA,NA
55359,8.71933,8.16931,7.98536,NA,0.76,NA,NA,NA,NA,NA,NA,NA
55447,7.51538,8.0542,8.05488,NA,0.938,NA,NA,NA,NA,NA,NA,NA
55625,7.87615,7.1271,6.29879,0.556,NA,NA,NA,NA,NA,NA,NA,NA
55817,7.41199,7.87831,6.58444,0.7,NA,NA,NA,NA,NA,NA,NA,NA
56051,8.05783,7.59767,8.79593,0.76,NA,NA,NA,NA,NA,NA,NA,NA
56231,7.68151,7.0759,8.10653,NA,0.883,NA,NA,NA,NA,NA,NA,NA
56472,6.27746,8.12084,7.90289,NA,0.583,NA,NA,NA,NA,NA,NA,NA
56666,7.84486,7.49624,8.30814,0.914,NA,NA,NA,NA,NA,NA,NA,NA
56848,8.96101,7.59945,8.00463,NA,0.744,NA,NA,NA,NA,NA,NA,NA
57029,7.35606,8.33434,8.25058,NA,NA,0.78,NA,NA,NA,NA,NA,NA
57347,7.85854,7.89447,7.40303,NA,0.946,NA,NA,NA,NA,NA,NA,NA
57429,8.02577,7.73665,8.02172,0.951,NA,NA,NA,NA,NA,NA,NA,NA
57664,6.95022,7.33721,7.81645,NA,0.844,NA,NA,NA,NA,NA,NA,NA
57925,7.21845,7.99461,7.43609,NA,0.916,NA,NA,NA,NA,NA,NA,NA
58081,7.16315,6.99469,6.82679,NA,0.657,NA,NA,NA,NA,NA,NA,NA
58289,7.86042,7.94595,7.39357,0.942,NA,NA,NA,NA,NA,NA,NA,NA
58553,8.39292,8.66553,7.55079,NA,0.755,NA,NA,NA,NA,NA,NA,NA
58704,8.28353,8.20477,8.14247,NA,0.817,NA,NA,NA,NA,NA,NA,NA
58962,8.03797,8.10461,7.58001,NA,NA,NA,NA,NA,NA,0.737,NA,NA
59199,7.20631,7.8443,8.22379,NA,NA,0.716,NA,NA,NA,NA,NA,NA
59288,7.68926,7.19171,7.7499,NA,NA,0.882,NA,NA,NA,NA,NA,NA
59448,7.30762,7.47697,7.99995,NA,NA,NA,NA,0.805,NA,NA,NA,NA
59621,8.48067,8.47571,8.00241,NA,0.752,NA,NA,NA,NA,NA,NA,NA
59857,8.36394,8.07982,7.1764,NA,NA,NA,NA,0.775,NA,NA,NA,NA
60114,7.48702,8.39009,7.86307,NA,0.874,NA,NA,NA,NA,NA,NA,NA
