id,x0,x1,x2,fitness2,fitness0.5,fitness1,fitness0,fitness-0.5,fitness-1.5,fitness-2,fitness-3,fitness-1,fitness-2.5,fitness2.5,fitness-3.5,fitness3,fitness1.5,fitness-5,fitness-4,fitness4,fitness3.5,fitness5,fitness4.5,fitness-4.5
7582,4.29382,3.39936,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7691,4.01132,4.13631,4.92466,NA,NA,66.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7850,5,5,5,NA,NA,NA,NA,8701.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8058,4.90032,4.20863,5,NA,NA,NA,NA,NA,6789.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8329,4.45065,4.05964,5,NA,NA,NA,NA,NA,NA,98.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8414,4.5281,3.66414,5,NA,NA,NA,NA,NA,NA,125.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8729,4.83288,1.9231,5,NA,NA,NA,NA,NA,NA,996.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8844,4.55285,3.3239,4.44598,NA,NA,NA,NA,200.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9045,5,3.3182,4.49957,NA,NA,NA,NA,NA,NA,NA,NA,267.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9362,4.63923,3.41666,5,NA,NA,NA,NA,NA,901.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9429,5,3.93581,5,NA,NA,NA,NA,NA,NA,NA,NA,1257.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9602,4.84669,4.66157,4.60692,NA,NA,NA,NA,5931.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9965,5,4.13719,4.80638,NA,NA,NA,NA,NA,6496.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10092,4.38742,4.86978,4.38359,NA,NA,NA,NA,NA,NA,NA,NA,1580.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10362,4.95702,4.22725,5,NA,NA,NA,NA,NA,8120.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10510,4.25961,2.45214,4.8505,NA,NA,NA,NA,NA,NA,785.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10720,5,2.77743,5,NA,NA,NA,NA,NA,NA,859.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10815,4.68928,3.33183,5,NA,NA,NA,NA,NA,1169.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11143,4.98954,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13281.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11197,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11307.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11524,5,5,4.76018,NA,NA,NA,NA,NA,NA,6417.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11618,5,5,5,NA,NA,NA,NA,NA,NA,3857.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11824,5,5,4.2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,5,5,4.5496,NA,NA,NA,NA,NA,NA,775.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12211,5,5,3.59548,NA,NA,NA,NA,NA,NA,691.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12561,5,4.19641,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12625,4.30295,4.9059,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740.887,NA,NA,NA,NA,NA,NA,NA,NA,NA
12967,2.96878,4.59249,5,NA,NA,NA,NA,NA,NA,NA,91.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13093,3.20481,5,4.58112,NA,NA,NA,NA,777.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13354,5,5,5,NA,3217.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13477,5,5,4.73437,NA,NA,NA,NA,NA,NA,NA,NA,10340.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13597,5,5,5,NA,NA,NA,NA,NA,NA,1640.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13943,5,4.41618,5,NA,NA,NA,NA,NA,3496.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14177,5,3.75743,4.63084,NA,NA,NA,NA,NA,NA,NA,725.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14230,4.54381,5,4.56466,NA,NA,NA,NA,NA,NA,128.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14419,4.10828,5,4.37806,NA,NA,NA,NA,NA,NA,NA,NA,2333.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14706,5,3.85653,5,NA,NA,NA,NA,1699.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14912,5,4.73124,4.33502,NA,1494.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15007,4.62322,5,4.85599,NA,NA,842.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15359,5,5,4.86563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.717,NA,NA,NA,NA,NA,NA,NA,NA
15571,5,5,2.77476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15659,4.61691,5,2.58408,-46.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15960,5,5,3.76443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.861,NA,NA,NA,NA,NA,NA,NA
16007,5,4.41422,4.16538,NA,NA,NA,346.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16221,5,4.64085,3.23684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.165,NA,NA,NA,NA,NA,NA,NA
16417,5,5,3.31216,NA,NA,NA,2730.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16657,5,5,4.71993,NA,NA,NA,2953.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16915,3.81223,5,4.40388,NA,NA,NA,NA,461.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17111,4.14086,5,4.94652,NA,NA,NA,2439.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17226,4.30598,4.3357,4.98298,NA,NA,NA,NA,3943.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17532,4.38114,5,4.40134,NA,731.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17706,4.92546,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641.548,NA,NA,NA,NA,NA,NA,NA
17851,5,4.24962,5,NA,NA,NA,NA,3710.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18119,4.56552,5,5,NA,NA,NA,NA,157.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18299,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5952.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18402,5,4.26591,5,NA,NA,NA,NA,NA,7153.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18713,5,5,4.53578,NA,NA,NA,NA,NA,NA,650.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18953,5,5,5,NA,NA,NA,NA,12657.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19155,4.13716,4.71231,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19363,5,4.75134,3.40933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.874,NA,NA,NA,NA,NA,NA,NA,NA,NA
19557,4.80527,5,3.90867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.331,NA,NA,NA,NA,NA,NA
19652,5,4.77045,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099.217,NA,NA,NA,NA,NA,NA
19829,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA
20172,5,3.95307,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.693,NA,NA,NA,NA,NA,NA
20198,4.93171,2.88724,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.295,NA,NA,NA,NA,NA
20452,4.60257,5,3.75665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.287,NA,NA,NA,NA,NA
20672,4.73971,3.97735,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.955,NA,NA,NA,NA,NA,NA
20927,5,5,4.94864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059.626,NA,NA,NA,NA,NA,NA
21054,5,5,4.99826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2557.679,NA,NA,NA,NA,NA
21220,5,5,5,NA,NA,NA,NA,NA,NA,NA,2815.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21429,5,5,4.25871,NA,NA,NA,NA,NA,6323.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21608,4.82226,5,3.93594,NA,NA,NA,NA,NA,NA,NA,NA,1893.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21947,5,5,3.21988,NA,NA,NA,NA,NA,NA,NA,NA,1581.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22019,4.37809,3.13146,3.5987,NA,NA,NA,NA,NA,NA,NA,60.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22346,5,2.67336,4.71648,NA,NA,NA,NA,NA,NA,NA,NA,2644.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22455,4.99446,2.86943,5,NA,NA,NA,NA,2392.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22629,5,2.26094,4.69162,NA,NA,917.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22863,5,0.791858,5,NA,NA,NA,544.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23065,3.46905,3.7538,5,NA,NA,NA,219.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23224,3.15405,4.68342,3.86764,NA,NA,NA,445.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23528,4.90118,5,4.23899,NA,759.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23691,5,5,5,NA,NA,NA,2368.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23804,5,4.36058,5,NA,NA,NA,3164.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24190,5,5,5,NA,2111.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24312,5,5,4.31521,NA,NA,NA,4429.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24532,3.91777,5,4.16737,NA,NA,NA,NA,670.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24765,5,5,2.69586,NA,777.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24894,5,5,2.28338,NA,NA,NA,1658.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25077,5,5,3.05151,NA,NA,NA,NA,NA,NA,NA,NA,573.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25244,4.56355,5,3.52779,NA,NA,NA,NA,NA,NA,-14.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25457,5,5,4.89928,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25747,5,3.79513,5,NA,NA,NA,NA,NA,NA,NA,1057.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25822,5,4.30037,5,NA,NA,NA,NA,NA,6568.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26158,4.79714,4.48887,5,NA,NA,NA,917.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26226,5,4.87287,5,NA,4111.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26571,4.96529,5,4.9634,NA,4510.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26770,5,4.66969,4.3701,NA,NA,NA,3312.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26815,5,4.32327,2.77457,NA,NA,NA,NA,NA,1506.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27173,4.11978,4.48195,1.153,NA,NA,NA,NA,NA,NA,NA,NA,46.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27290,4.81413,5,-0.494851,NA,NA,NA,NA,NA,2541.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27460,5,5,-1.30476,NA,3271.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27724,4.20134,5,-3.77509,NA,NA,NA,NA,NA,NA,NA,NA,592.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27970,4.40302,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,1453.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28042,5,5,-3.63245,NA,NA,NA,NA,883.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28252,4.39755,4.1336,-4.36678,NA,144.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28589,4.9571,3.31076,-4.66697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.802,NA,NA,NA,NA,NA,NA,NA
28686,5,3.98492,-2.93144,NA,-13.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28910,4.35347,5,-0.697625,NA,2589.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28999,4.12539,5,-1.2189,NA,NA,NA,2053.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29265,4.00201,5,-1.22355,NA,NA,NA,NA,166.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29490,3.75245,4.76818,-2.18637,NA,NA,NA,1105.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29730,4.13263,5,-0.563745,NA,NA,NA,NA,1532.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29863,5,5,0.385841,NA,NA,NA,NA,NA,NA,NA,NA,1062.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30028,4.63884,5,0.30935,NA,NA,NA,NA,NA,NA,NA,NA,NA,843.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30335,5,5,1.5274,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30472,5,4.98012,2.08089,NA,NA,NA,NA,NA,177.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30743,4.93853,5,-0.273424,NA,NA,NA,NA,11386.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30988,4.95517,2.68467,-0.443582,NA,NA,NA,51.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31124,5,3.45579,-1.18517,NA,NA,NA,308.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31305,5,4.19165,-0.458342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31555,4.91046,5,-2.14323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.561,NA,NA,NA,NA
31638,4.95841,4.98849,-3.78305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.525,NA,NA,NA,NA
31961,5,5,-2.21662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751.734,NA,NA,NA
31993,5,3.62834,-1.19895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.127,NA,NA,NA
32205,5,4.01979,-0.0121639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.033,NA,NA
32438,5,5,1.17039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444.655,NA,NA
32658,4.81995,5,1.06813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.671,NA
32887,5,4.28235,2.57017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.174,NA,NA
33094,5,5,3.12624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967.027,NA,NA
33236,5,5,2.23994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454.646,NA,NA
33536,5,4.13783,3.82189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788.133,NA,NA
33779,3.63533,3.95394,4.28826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.239,NA,NA
33831,3.49185,5,3.95699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.035,NA
34125,1.86276,5,3.20019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006.414,NA,NA
34256,1.79554,5,4.35819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563.207,NA,NA
34448,3.49271,5,3.75541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.091,NA,NA
34788,4.34015,5,2.23545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.709,NA
