id,x0,x1,x2,fitness-4,fitness-2,fitness-1,fitness-0.5,fitness0,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness0.5,fitness2,fitness1.5,fitness3,fitness5,fitness4.5,fitness3.5,fitness1,fitness2.5,fitness-4.5,fitness-5,fitness4
4027,5,5,0.0913472,NA,NA,704.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4395,3.85092,5,0.139292,NA,NA,NA,NA,123.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4497,3.20067,5,-0.139201,NA,NA,740.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4635,4.99239,5,-0.217758,NA,NA,NA,1178.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4856,4.5398,3.48889,0.364971,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5186,5,2.84094,-0.249744,NA,NA,707.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5362,5,3.77807,-0.299999,NA,NA,339.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5495,4.73689,4.624,-0.907991,NA,NA,NA,5689.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5663,5,4.1137,-0.191103,NA,NA,NA,NA,2477.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5973,4.60186,3.38052,-0.187241,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6158,5,3.64057,-0.69081,NA,NA,NA,2008.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6280,4.3481,5,0.733443,NA,NA,NA,NA,1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6417,4.97618,5,1.26213,NA,NA,NA,1587.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6745,5,5,0.413762,NA,NA,NA,NA,NA,NA,NA,NA,1903.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6902,4.56144,5,-0.792768,NA,NA,NA,NA,NA,NA,NA,NA,3075.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7053,5,5,-0.811552,NA,NA,NA,9454.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7317,4.95165,4.90554,1.39285,NA,NA,NA,NA,3137.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7499,5,5,2.67283,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7640,5,3.65615,3.24783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7969,3.7753,3.27466,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
8074,4.62626,3.40631,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.877,NA,NA,NA,NA,NA,NA,NA,NA
8272,4.88946,3.14554,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2958.731,NA,NA,NA,NA,NA,NA,NA
8586,3.70303,3.70341,4.23844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.422,NA,NA,NA,NA,NA,NA,NA
8639,4.28167,4.23375,4.33701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2040.006,NA,NA,NA,NA,NA,NA,NA
8986,3.45165,4.33801,4.0468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.668,NA,NA,NA,NA,NA,NA,NA
9166,3.56386,5,4.44075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.94,NA,NA,NA,NA,NA,NA,NA
9243,4.29373,4.97361,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6130.217,NA,NA,NA,NA,NA,NA,NA
9589,4.53524,4.3925,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.056,NA,NA,NA,NA,NA,NA,NA
9634,4.19257,5,4.5504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973.577,NA,NA,NA,NA,NA,NA,NA
9820,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5044.195,NA,NA,NA,NA,NA,NA
10112,5,5,4.27639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2486.027,NA,NA,NA,NA,NA,NA
10302,5,5,4.98737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3384.821,NA,NA,NA,NA,NA
10570,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742.564,NA,NA,NA,NA,NA,NA,NA,NA
10674,4.9352,3.43767,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.198,NA,NA,NA,NA,NA,NA,NA,NA,NA
10949,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.406,NA,NA,NA,NA,NA,NA,NA,NA,NA
11090,5,5,4.4204,NA,NA,NA,1633.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11237,4.53263,5,4.95621,NA,NA,NA,616.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11494,5,5,5,NA,NA,NA,NA,2455.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11771,5,4.86232,5,NA,NA,NA,4415.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11963,5,5,5,NA,2698.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,4.48816,4.00155,4.70248,NA,NA,NA,NA,NA,-3.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12252,4.93463,5,4.78494,NA,8240.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12527,5,5,5,NA,4888.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12672,4.20501,5,5,NA,NA,NA,NA,NA,1737.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12809,5,5,5,NA,2026.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13147,4.39562,4.66828,4.84297,NA,NA,NA,NA,NA,823.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13231,3.79322,4.77035,5,NA,1387.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13426,4.68556,3.90147,3.67457,NA,333.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13670,5,4.04037,4.64964,NA,NA,NA,NA,NA,NA,NA,NA,855.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13883,4.40319,5,3.88933,NA,NA,NA,NA,NA,NA,NA,NA,853.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14075,4.1378,5,4.14169,NA,NA,2040.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14339,4.81331,5,4.5761,NA,2312.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14435,3.68593,5,4.17362,NA,NA,NA,NA,NA,NA,NA,NA,1411.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14722,3.26304,5,4.01953,NA,NA,NA,422.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14972,4.51134,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.576,NA,NA,NA,NA
15164,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2521.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
15250,4.90632,5,4.74258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2953.012,NA,NA,NA,NA
15418,5,3.84538,4.26225,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15731,5,4.87826,4.6762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.478,NA,NA,NA,NA,NA,NA,NA,NA,NA
15989,4.57558,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.086,NA,NA,NA
16177,5,5,4.60635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003.618,NA,NA,NA,NA
16290,3.90443,4.22367,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.601,NA,NA,NA,NA
16522,4.27005,5,4.90325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16643,5,4.53456,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.501,NA,NA,NA,NA,NA,NA,NA,NA,NA
16843,2.63111,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.692,NA,NA,NA,NA,NA,NA,NA,NA,NA
17094,3.47262,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17326,3.19766,4.18789,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
17549,2.79213,3.77733,5,NA,NA,NA,730.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17614,3.69519,4.94453,4.94886,NA,NA,2817.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17847,4.4695,5,4.74356,NA,NA,NA,NA,NA,NA,NA,NA,1659.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18092,4.19512,4.97892,4.91765,NA,NA,NA,NA,NA,NA,NA,NA,4982.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18337,5,5,5,NA,NA,NA,2550.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18545,5,4.75043,4.93676,NA,NA,NA,NA,NA,NA,NA,NA,NA,4899.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18708,4.63943,4.37818,5,NA,NA,NA,2356.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18997,5,2.14451,4.50744,NA,NA,4.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19110,5,2.84067,4.17691,NA,NA,NA,NA,NA,NA,NA,NA,1563.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19388,5,3.75856,4.0322,NA,NA,NA,NA,NA,NA,NA,NA,512.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19568,4.76121,3.33069,5,NA,NA,NA,NA,NA,NA,NA,NA,4846.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19686,4.77734,3.84861,4.10304,NA,NA,NA,NA,NA,NA,NA,NA,1338.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19931,5,4.36409,5,NA,NA,NA,NA,NA,NA,NA,NA,904.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20176,5,3.71783,4.38746,NA,NA,NA,NA,NA,NA,NA,NA,256.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20257,4.97962,3.47195,5,NA,NA,646.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20590,5,3.04549,5,NA,NA,NA,NA,NA,67.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20783,5,3.22032,4.98455,NA,NA,NA,NA,NA,NA,157.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20933,4.45671,4.82668,4.61884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.611,NA,NA
21144,4.77368,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3192.308,NA
21377,3.77339,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950.935,NA
21591,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA
21770,5,4.78073,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3166.447,NA
21964,3.51121,5,4.3951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.797,NA
22035,3.75829,5,4.85658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262.02,NA
22242,4.61072,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1333.674,NA
22423,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2581.773,NA
22613,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA
23096,5,5,4.60597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305.994,NA
23265,4.43228,4.29071,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562.652,NA
23455,4.47488,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.949,NA,NA
23715,5,4.52651,4.33127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.244,NA,NA
23884,5,5,4.68597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2298.528,NA
24084,5,4.8919,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.078,NA
24263,3.83876,4.9701,5,NA,NA,NA,NA,NA,NA,57.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24579,4.74227,5,4.70859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2868.723,NA
24738,5,4.69641,4.52441,140.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24828,5,4.68829,4.37538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.919,NA,NA
25178,4.83556,5,4.60672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1694.549,NA
25289,5,4.3894,4.31779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764.377,NA
25585,4.7659,4.8117,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3981.069,NA
25750,5,4.66692,5,1981.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25911,5,5,5,582.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26115,4.84874,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3407.887,NA
26335,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA
26581,4.59273,5,4.88272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1438.881,NA
26666,5,5,4.5954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124.308,NA
26819,4.39536,4.93725,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.336,NA,NA
27048,4.66663,4.80531,5,2530.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27270,4.00059,4.72796,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.664,NA,NA
27585,5,5,4.95204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660.584,NA
27612,5,4.94484,4.29797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1575.014,NA,NA
27954,5,4.76631,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123.031,NA
28026,5,3.84481,5,626.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28324,5,4.97888,5,NA,5266.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28526,5,4.29281,5,NA,NA,NA,NA,NA,NA,NA,NA,7282.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28783,5,4.30597,4.99012,NA,NA,NA,NA,4805.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28947,5,4.38798,5,NA,NA,NA,NA,NA,NA,NA,NA,4855.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29180,5,5,5,NA,NA,NA,9030.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29265,5,4.61098,4.66747,NA,NA,NA,NA,NA,NA,NA,NA,NA,1456.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29452,5,4.89865,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2656.162,NA,NA,NA,NA,NA,NA,NA,NA,NA
29707,4.77676,4.89113,4.40656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29956,4.35861,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1022.041,NA,NA,NA
30095,4.6393,4.08002,3.93211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.504,NA,NA,NA,NA,NA,NA,NA
30317,5,3.96581,2.31282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.975,NA,NA,NA,NA,NA,NA
30522,4.15818,3.73135,2.21236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.34
30700,4.13005,4.89399,1.35093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775.511
30840,3.78501,5,0.377903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223.124,NA,NA,NA,NA,NA,NA
31061,4.27776,3.5617,-0.234301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.687,NA,NA,NA,NA,NA,NA,NA
31379,4.75465,2.7524,-1.36947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290.703
31559,4.67057,3.8817,-1.96768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242.804,NA,NA,NA,NA,NA,NA,NA
31632,5,4.76205,-1.92572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5765.125,NA,NA,NA,NA,NA,NA,NA
31829,5,5,-2.98012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3220.294,NA,NA,NA,NA,NA,NA,NA
32058,5,5,-2.81641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586.442,NA,NA,NA,NA,NA,NA,NA
32355,5,5,-2.87172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239.925,NA,NA,NA,NA,NA,NA,NA
32557,4.72102,5,-3.74448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.495,NA,NA,NA,NA,NA
32651,5,5,-3.9839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2633.272,NA,NA,NA,NA,NA,NA,NA
32844,4.07471,4.9223,-3.58234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.324,NA,NA,NA,NA,NA,NA,NA
33038,5,5,-4.56969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268.442,NA,NA,NA,NA,NA,NA
33238,5,4.55371,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.611,NA,NA,NA,NA,NA,NA
33503,5,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA
33635,5,4.148,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750.997
33944,5,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34157,5,4.73712,-4.39898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.162,NA,NA,NA,NA,NA,NA,NA,NA
34325,5,4.27938,-2.46485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.376,NA,NA,NA,NA,NA
34473,4.81823,5,-2.15405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104.896,NA,NA,NA,NA,NA,NA
34751,4.77048,3.23618,-1.44029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5051.464,NA,NA,NA,NA,NA,NA,NA
