id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-1.5,fitness-2,fitness-4,fitness-1
7537,2.94373,1.60601,-4.10177,NA,NA,-45.11,NA,NA,NA,NA
7692,2.87092,1.08542,-3.52924,NA,NA,NA,NA,-68.272,NA,NA
7907,1.062,1.07852,-4.02826,NA,NA,-44.505,NA,NA,NA,NA
8106,1.96256,1.90758,-4.28048,-20.609,NA,NA,NA,NA,NA,NA
8357,2.09932,1.81575,-4.47651,NA,NA,-7.798,NA,NA,NA,NA
8401,1.30957,1.54999,-4.76563,NA,NA,NA,NA,NA,-69.492,NA
8646,1.10732,1.58424,-4.90921,NA,NA,-28.339,NA,NA,NA,NA
8904,2.34902,2.42876,-4.16476,NA,-26.061,NA,NA,NA,NA,NA
9078,2.29785,1.03421,-4.15705,NA,-25.818,NA,NA,NA,NA,NA
9360,1.8385,1.74115,-4.15157,NA,-2.017,NA,NA,NA,NA,NA
9576,1.70959,1.98854,-3.9414,NA,-9.156,NA,NA,NA,NA,NA
9731,1.79176,1.7996,-3.94817,NA,NA,NA,NA,-11.163,NA,NA
9967,1.46598,1.79464,-4.363,NA,NA,-12.874,NA,NA,NA,NA
10140,1.87607,1.70728,-3.23494,NA,-35.326,NA,NA,NA,NA,NA
10260,2.2146,2.34562,-4.41024,-34.573,NA,NA,NA,NA,NA,NA
10578,2.58354,1.02814,-4.11186,-58.492,NA,NA,NA,NA,NA,NA
10687,1.10803,1.97841,-4.35051,NA,NA,-24.287,NA,NA,NA,NA
10823,1.07258,2.32243,-3.66344,NA,-36.52,NA,NA,NA,NA,NA
11052,2.12095,1.87292,-3.8253,NA,NA,NA,NA,NA,-62.162,NA
11299,2.4431,2.14817,-4.66046,NA,-21.24,NA,NA,NA,NA,NA
11402,1.62383,2.31204,-4.00099,-44.474,NA,NA,NA,NA,NA,NA
11758,1.34029,1.67616,-4.6899,NA,NA,-14.342,NA,NA,NA,NA
11963,1.81148,1.26866,-4.17915,-32.636,NA,NA,NA,NA,NA,NA
12199,1.60803,1.07283,-4.40295,NA,NA,-17.975,NA,NA,NA,NA
12373,1.82092,2.42013,-3.83149,NA,NA,-28.699,NA,NA,NA,NA
12564,1.35066,1.96566,-4.26336,NA,NA,NA,NA,NA,-44.97,NA
12779,0.935316,2.54519,-4.94405,-59.48,NA,NA,NA,NA,NA,NA
12952,2.11918,1.66986,-4.99937,NA,NA,-26.267,NA,NA,NA,NA
13089,1.23955,2.57798,-4.92702,NA,NA,-42.84,NA,NA,NA,NA
13333,2.0444,1.89449,-4.0091,NA,NA,NA,NA,-9.323,NA,NA
13408,3.02671,2.09079,-3.83764,NA,-50.91,NA,NA,NA,NA,NA
13603,1.42683,2.09677,-4.85863,NA,NA,-18.316,NA,NA,NA,NA
13845,2.23984,1.79942,-4.93903,NA,NA,-18.816,NA,NA,NA,NA
14137,2.61323,1.28852,-4.57942,NA,NA,-30.427,NA,NA,NA,NA
14395,2.34976,1.42695,-4.19962,NA,NA,-26.338,NA,NA,NA,NA
14443,1.49149,1.32165,-3.88264,NA,NA,-19.479,NA,NA,NA,NA
14635,1.61201,2.61708,-4.05048,NA,-26.733,NA,NA,NA,NA,NA
14876,1.54766,2.08358,-3.75626,NA,NA,NA,NA,-18.664,NA,NA
15056,2.57481,1.38347,-4.33932,NA,NA,NA,NA,-25.479,NA,NA
15229,1.39815,1.40767,-4.36076,NA,NA,NA,-32.672,NA,NA,NA
15537,2.29217,1.93612,-4.48178,NA,NA,NA,-44.565,NA,NA,NA
15740,1.5796,2.10781,-4.52136,NA,NA,NA,NA,-12.907,NA,NA
15903,1.7624,1.59611,-4.43448,NA,NA,-9.062,NA,NA,NA,NA
16173,2.38578,2.64602,-4.24189,NA,NA,-34.957,NA,NA,NA,NA
16250,1.75202,1.44101,-4.10024,NA,NA,-8.215,NA,NA,NA,NA
16566,1.70574,1.47276,-3.36246,NA,-31.281,NA,NA,NA,NA,NA
16781,1.4752,1.22517,-4.87462,NA,NA,-30.953,NA,NA,NA,NA
16930,1.93937,1.668,-4.99283,NA,NA,NA,-43.025,NA,NA,NA
17019,1.92434,2.64543,-4.82214,NA,NA,NA,NA,-33.608,NA,NA
17384,1.61308,2.11837,-4.58737,NA,NA,NA,-32.274,NA,NA,NA
17589,2.07445,2.02587,-4.23728,NA,-9.03,NA,NA,NA,NA,NA
17745,1.56111,1.12088,-3.50014,NA,NA,-43.199,NA,NA,NA,NA
17883,1.27848,1.83864,-4.56801,NA,NA,-16.163,NA,NA,NA,NA
18171,1.27403,1.23086,-4.43853,NA,-18.957,NA,NA,NA,NA,NA
18280,2.32586,2.11866,-4.76505,NA,NA,NA,NA,-28.173,NA,NA
18534,1.68833,1.44976,-3.76962,NA,-13.487,NA,NA,NA,NA,NA
18720,2.21453,2.09645,-3.65193,NA,-23.929,NA,NA,NA,NA,NA
18933,1.19326,1.33383,-4.17496,NA,-17.235,NA,NA,NA,NA,NA
19087,1.77529,1.65689,-4.20048,NA,NA,NA,NA,-3.723,NA,NA
19299,2.4331,2.39817,-4.35914,NA,-26.366,NA,NA,NA,NA,NA
19565,1.5875,1.60003,-4.59658,NA,NA,-6.698,NA,NA,NA,NA
19641,1.62391,1.27727,-4.13991,NA,-6.955,NA,NA,NA,NA,NA
19840,1.98264,2.33721,-4.35112,-28.379,NA,NA,NA,NA,NA,NA
20087,0.701928,1.49448,-4.14612,NA,NA,NA,NA,-47.827,NA,NA
20369,1.06448,2.31254,-4.95636,NA,NA,NA,-58.165,NA,NA,NA
20454,1.94538,1.74048,-4.86346,NA,NA,NA,NA,-16.593,NA,NA
20618,1.1689,1.42598,-3.77416,NA,NA,NA,NA,-37.465,NA,NA
20970,1.87099,1.24629,-4.94103,NA,NA,-22.279,NA,NA,NA,NA
21069,1.81929,1.24896,-4.82886,-39.3,NA,NA,NA,NA,NA,NA
21228,2.41868,2.27021,-4.96591,NA,-29.98,NA,NA,NA,NA,NA
21469,1.80367,1.96365,-3.8339,NA,NA,-13.28,NA,NA,NA,NA
21697,1.98028,2.16003,-4.56365,NA,NA,-14.65,NA,NA,NA,NA
21811,1.61857,0.994173,-3.8157,NA,-30.306,NA,NA,NA,NA,NA
22102,1.71971,1.55203,-4.10154,NA,-1.718,NA,NA,NA,NA,NA
22341,1.99261,2.3542,-4.43586,NA,-15.661,NA,NA,NA,NA,NA
22411,1.20426,2.05815,-4.18108,NA,NA,-16.628,NA,NA,NA,NA
22636,1.82636,1.95456,-3.0935,NA,NA,NA,-80.976,NA,NA,NA
22920,1.6367,2.37494,-3.26304,NA,NA,NA,NA,-48.581,NA,NA
23130,1.85678,2.37603,-3.78156,NA,-22.72,NA,NA,NA,NA,NA
23250,1.10421,1.80527,-4.12073,NA,-17.5,NA,NA,NA,NA,NA
23468,1.53255,1.65057,-4.80862,-24.417,NA,NA,NA,NA,NA,NA
23740,2.46792,1.79705,-4.69277,NA,NA,NA,NA,NA,-57.114,NA
23890,2.34407,2.06225,-4.20716,NA,-15.954,NA,NA,NA,NA,NA
24135,2.14779,2.02063,-4.96241,NA,NA,-25.338,NA,NA,NA,NA
24375,1.66621,1.99313,-4.20958,NA,NA,NA,NA,-11.719,NA,NA
24446,2.66392,1.7466,-4.80378,NA,NA,-29.048,NA,NA,NA,NA
24800,1.62974,2.31144,-3.57006,NA,-28.262,NA,NA,NA,NA,NA
24988,1.62477,1.53449,-4.32963,NA,-2.908,NA,NA,NA,NA,NA
25006,2.23316,1.35862,-4.31938,NA,NA,NA,NA,-11.713,NA,NA
25221,3.54673,2.00975,-4.82978,NA,NA,NA,NA,-85.126,NA,NA
25548,2.96204,2.03804,-4.84785,NA,-43.629,NA,NA,NA,NA,NA
25703,2.86352,1.89259,-4.01816,NA,-35.22,NA,NA,NA,NA,NA
25880,2.10056,1.16183,-3.86939,NA,-20.533,NA,NA,NA,NA,NA
26007,1.13151,2.37022,-4.67039,NA,-28.304,NA,NA,NA,NA,NA
26353,2.02032,2.22369,-4.75852,NA,NA,NA,-48.362,NA,NA,NA
26407,2.27144,1.85807,-4.1873,NA,NA,NA,-37.442,NA,NA,NA
26678,1.88189,2.78579,-4.1391,NA,NA,-35.902,NA,NA,NA,NA
26943,1.2545,1.85898,-4.01895,NA,NA,NA,-34.232,NA,NA,NA
27080,2.47741,1.61372,-3.62007,NA,-29.025,NA,NA,NA,NA,NA
27349,2.53789,1.83009,-4.45239,NA,NA,NA,-38.935,NA,NA,NA
27457,2.585,2.02979,-3.79545,NA,NA,-32.471,NA,NA,NA,NA
27650,2.59125,2.15383,-4.44295,NA,NA,-28.266,NA,NA,NA,NA
27895,2.28403,2.23279,-4.64943,NA,-18.885,NA,NA,NA,NA,NA
28062,2.38596,1.98296,-4.20455,-28.331,NA,NA,NA,NA,NA,NA
28377,2.31257,2.33577,-4.22896,NA,NA,-26.926,NA,NA,NA,NA
28465,2.06674,1.97154,-4.64395,-23.132,NA,NA,NA,NA,NA,NA
28758,1.40607,1.51137,-4.90329,NA,NA,NA,NA,-23.431,NA,NA
28912,0.932032,1.63959,-4.54201,NA,NA,NA,NA,-42.266,NA,NA
29192,1.36225,1.59708,-3.74822,NA,NA,NA,-35.642,NA,NA,NA
29363,1.8959,2.44528,-4.70767,NA,-20.698,NA,NA,NA,NA,NA
29555,1.45432,2.48066,-4.26944,NA,-21.472,NA,NA,NA,NA,NA
29615,1.85068,1.78344,-4.21964,NA,NA,-13.052,NA,NA,NA,NA
29839,0.954223,2.51728,-3.9361,NA,-41.13,NA,NA,NA,NA,NA
30046,1.5559,2.10043,-4.71094,NA,NA,NA,NA,-20.453,NA,NA
30264,1.7926,1.45888,-4.66144,NA,-5.324,NA,NA,NA,NA,NA
30547,2.75134,2.03689,-4.78236,NA,-32.134,NA,NA,NA,NA,NA
30794,1.70095,2.08516,-4.10934,NA,NA,NA,NA,-12.159,NA,NA
30920,1.88865,1.2861,-3.94374,NA,NA,-15.397,NA,NA,NA,NA
31020,2.30613,1.88363,-3.92186,NA,NA,-26.946,NA,NA,NA,NA
31219,2.63918,1.34816,-3.91566,NA,-29.769,NA,NA,NA,NA,NA
31534,2.44228,1.60705,-4.40804,NA,NA,NA,NA,-20.427,NA,NA
31623,2.43064,2.12619,-4.44207,NA,NA,NA,NA,-19.782,NA,NA
31982,2.65023,1.91763,-4.69724,NA,NA,-32.732,NA,NA,NA,NA
32100,1.12189,2.01917,-4.58195,NA,-18.818,NA,NA,NA,NA,NA
32216,1.49416,2.33158,-4.8845,NA,NA,NA,-35.536,NA,NA,NA
32402,0.992681,1.99961,-4.44211,NA,-22.717,NA,NA,NA,NA,NA
32795,0.829958,1.13974,-4.72968,NA,NA,NA,-81.884,NA,NA,NA
32967,2.66717,1.25522,-4.84723,NA,NA,NA,NA,NA,NA,-80.749
33076,1.52621,1.41319,-4.68951,NA,NA,NA,NA,-22.782,NA,NA
33232,2.85836,2.17491,-4.56747,NA,NA,-38.622,NA,NA,NA,NA
33480,1.46672,1.74858,-4.25281,NA,NA,-8.173,NA,NA,NA,NA
33766,1.24398,1.91179,-4.45097,NA,NA,-17.047,NA,NA,NA,NA
33910,1.47078,2.29602,-3.0265,NA,NA,NA,NA,-70.024,NA,NA
34066,1.38392,1.51978,-3.98161,NA,NA,NA,-35.7,NA,NA,NA
34347,1.89378,1.25858,-3.90361,NA,NA,NA,NA,-22.136,NA,NA
34445,1.86427,1.32893,-4.10222,NA,NA,-13.663,NA,NA,NA,NA
34611,2.28189,2.15102,-3.86466,NA,NA,-21.793,NA,NA,NA,NA
34935,1.71268,1.79356,-4.51182,NA,NA,-4.966,NA,NA,NA,NA
35001,1.49594,3.12654,-4.09656,NA,-52.897,NA,NA,NA,NA,NA
35281,2.28794,2.56766,-4.96195,NA,NA,NA,NA,-37.183,NA,NA
35548,2.57053,2.28329,-4.31313,NA,-26.706,NA,NA,NA,NA,NA
35754,1.54763,1.50479,-4.42035,NA,NA,NA,NA,-10.076,NA,NA
35917,2.12208,1.43455,-3.65859,NA,NA,NA,NA,-21.687,NA,NA
36162,2.12147,2.43191,-4.20552,NA,NA,NA,NA,NA,NA,-77.043
36355,1.69299,1.95821,-4.03289,NA,-6.329,NA,NA,NA,NA,NA
36533,1.63376,1.35537,-3.96846,NA,-7.671,NA,NA,NA,NA,NA
36627,2.59738,3.1097,-3.62163,NA,-78.592,NA,NA,NA,NA,NA
36979,1.94057,2.2843,-4.50179,NA,NA,NA,NA,-25.133,NA,NA
37137,1.71025,1.26114,-3.64376,NA,NA,-32.213,NA,NA,NA,NA
37343,1.10185,1.60791,-4.92581,NA,-26.727,NA,NA,NA,NA,NA
37524,1.45547,2.0704,-4.43183,NA,NA,NA,NA,-20.08,NA,NA
37741,1.8982,2.00813,-4.74777,NA,NA,NA,-27.501,NA,NA,NA
37950,1.56071,1.90763,-4.00111,NA,NA,NA,NA,-15.901,NA,NA
38044,1.61648,2.51122,-3.68922,-60.795,NA,NA,NA,NA,NA,NA
38209,1.25697,2.08429,-4.89162,NA,-21.248,NA,NA,NA,NA,NA
38504,1.55485,2.50674,-4.78269,NA,-25.054,NA,NA,NA,NA,NA
38709,1.45197,2.00836,-4.55631,NA,NA,NA,-38.137,NA,NA,NA
38912,1.84968,1.6369,-4.65687,NA,NA,NA,-25.375,NA,NA,NA
39125,2.55097,2.22205,-4.04255,NA,-27.483,NA,NA,NA,NA,NA
39241,2.41943,1.8036,-4.18972,NA,NA,NA,NA,-26.889,NA,NA
39448,0.835005,2.23875,-4.81681,NA,-38.124,NA,NA,NA,NA,NA
39710,1.43681,2.37182,-4.53572,NA,-18.894,NA,NA,NA,NA,NA
39967,1.45271,2.95517,-4.40244,NA,NA,NA,NA,-49.469,NA,NA
40141,2.18279,1.63789,-4.91831,NA,-14.909,NA,NA,NA,NA,NA
40204,1.77838,1.80248,-4.83049,NA,NA,-12.17,NA,NA,NA,NA
40565,1.51553,1.52793,-4.50221,NA,-5.209,NA,NA,NA,NA,NA
40716,1.14129,2.44229,-4.94898,NA,-35.989,NA,NA,NA,NA,NA
40948,1.5557,1.60881,-4.45333,NA,NA,NA,NA,-14.343,NA,NA
41091,0.808817,1.95459,-4.19137,NA,NA,-39.068,NA,NA,NA,NA
41222,2.39163,1.79877,-4.37483,NA,-12.5,NA,NA,NA,NA,NA
41558,1.96764,2.25951,-4.77537,NA,NA,NA,NA,NA,-52.556,NA
41674,2.68828,1.64828,-4.28608,-47.363,NA,NA,NA,NA,NA,NA
41872,2.86185,1.73957,-4.99725,NA,NA,NA,NA,-47.602,NA,NA
42004,1.46608,1.22088,-4.29306,NA,NA,NA,NA,-14.834,NA,NA
42255,2.80711,1.67484,-4.54912,NA,-29.047,NA,NA,NA,NA,NA
42422,1.96285,2.04981,-4.18325,-26.039,NA,NA,NA,NA,NA,NA
42752,1.02074,1.37723,-4.4271,NA,NA,NA,NA,-28.518,NA,NA
42930,1.69574,1.81079,-4.63909,NA,-6.272,NA,NA,NA,NA,NA
43145,2.78108,1.38021,-4.92469,NA,-37.184,NA,NA,NA,NA,NA
43251,2.31102,2.49156,-4.66119,NA,-27.419,NA,NA,NA,NA,NA
43595,1.95502,1.95469,-4.27763,NA,NA,NA,NA,-12.387,NA,NA
43786,2.23585,1.50684,-4.32276,NA,-7.506,NA,NA,NA,NA,NA
43968,1.49165,1.7974,-4.77611,NA,NA,-12.319,NA,NA,NA,NA
44032,2.39087,1.87377,-3.83093,NA,-19.732,NA,NA,NA,NA,NA
44339,3.20183,2.46845,-4.8568,NA,NA,NA,NA,-69.543,NA,NA
44535,1.8106,1.85613,-4.63186,NA,NA,NA,NA,-7.693,NA,NA
44780,1.39256,3.21306,-4.24185,NA,-58.158,NA,NA,NA,NA,NA
44918,2.12135,1.42397,-4.4583,NA,-6.47,NA,NA,NA,NA,NA
45012,2.05635,1.80903,-4.86796,NA,NA,NA,NA,-14.651,NA,NA
45212,2.10838,1.94825,-4.89444,NA,NA,NA,-40.033,NA,NA,NA
45404,2.33798,1.47366,-4.85135,NA,-18.656,NA,NA,NA,NA,NA
45636,1.88023,2.57184,-4.88315,NA,NA,NA,NA,-36.746,NA,NA
45973,2.325,1.7131,-4.9113,NA,-19.376,NA,NA,NA,NA,NA
46022,2.38155,1.20434,-4.96777,NA,NA,NA,NA,-35.532,NA,NA
46205,2.39876,0.626396,-4.90642,NA,-61.462,NA,NA,NA,NA,NA
46574,1.44016,0.582516,-4.28713,NA,-68.218,NA,NA,NA,NA,NA
46625,1.5855,1.49968,-3.96991,NA,-5.688,NA,NA,NA,NA,NA
46936,1.98678,1.03135,-4.07884,NA,NA,NA,NA,-22.623,NA,NA
47019,0.414029,1.93517,-4.38826,NA,NA,NA,NA,-54.422,NA,NA
47224,0.69891,2.74141,-4.88548,NA,NA,-61.037,NA,NA,NA,NA
47530,1.85432,2.47817,-4.43822,NA,NA,NA,NA,-22.344,NA,NA
47708,1.76478,2.203,-3.61808,NA,-23.37,NA,NA,NA,NA,NA
47930,2.18683,2.15075,-4.21862,NA,NA,NA,NA,-14.643,NA,NA
48101,1.68011,2.34654,-4.82161,NA,-19.651,NA,NA,NA,NA,NA
48270,1.97257,1.48387,-4.49572,NA,NA,NA,-29.785,NA,NA,NA
48457,1.72218,1.66765,-4.40372,NA,NA,NA,NA,-4.255,NA,NA
48664,2.09038,2.49284,-4.35675,NA,NA,-23.197,NA,NA,NA,NA
48912,1.7407,1.06425,-4.40151,NA,-15.041,NA,NA,NA,NA,NA
49133,2.15997,2.14965,-4.38741,NA,NA,-16.78,NA,NA,NA,NA
49336,1.40137,1.64345,-4.3809,NA,NA,NA,-22.972,NA,NA,NA
49444,2.45424,2.07958,-4.23951,NA,-19.076,NA,NA,NA,NA,NA
49760,2.16496,2.01527,-4.25874,NA,NA,-22.129,NA,NA,NA,NA
49992,1.61959,1.38265,-4.60423,NA,NA,-16.426,NA,NA,NA,NA
50110,2.73601,1.96715,-4.36769,NA,NA,NA,NA,-29.099,NA,NA
50384,2.1591,1.82879,-4.719,-28.795,NA,NA,NA,NA,NA,NA
50444,1.95805,2.41441,-4.41589,NA,NA,-22.197,NA,NA,NA,NA
50715,2.79807,1.45067,-4.87537,NA,NA,-43.915,NA,NA,NA,NA
50971,2.31797,2.28264,-4.2183,NA,-19.109,NA,NA,NA,NA,NA
51027,2.10046,1.83711,-4.88467,NA,NA,NA,NA,-15.189,NA,NA
51337,2.48605,1.63748,-4.65112,NA,NA,NA,NA,-22.602,NA,NA
51404,1.43539,1.80827,-4.10235,NA,NA,NA,NA,-8.872,NA,NA
51777,1.8982,1.26281,-3.86797,NA,-14.17,NA,NA,NA,NA,NA
51893,1.3932,2.1407,-4.41912,NA,-12.994,NA,NA,NA,NA,NA
52126,2.30342,2.31626,-4.14791,NA,-21.6,NA,NA,NA,NA,NA
52396,2.17218,2.55331,-4.21697,NA,NA,NA,-38.771,NA,NA,NA
52493,1.44139,2.47499,-4.39481,NA,NA,-26.336,NA,NA,NA,NA
52762,1.46243,1.59477,-3.82343,NA,-11.689,NA,NA,NA,NA,NA
52926,1.857,1.23445,-4.61259,NA,NA,NA,NA,-22.948,NA,NA
53134,1.44923,1.35533,-4.88989,NA,NA,NA,NA,-20.37,NA,NA
53243,2.1353,1.32008,-4.85206,NA,NA,NA,NA,-22.74,NA,NA
53442,1.27556,1.86508,-4.39105,NA,NA,NA,NA,-11.925,NA,NA
53671,1.04137,1.93763,-4.00464,NA,NA,NA,-39.365,NA,NA,NA
53893,1.89888,0.874541,-3.93565,NA,NA,NA,NA,-36.041,NA,NA
54142,2.28695,1.67053,-3.7014,NA,NA,-21.276,NA,NA,NA,NA
54259,1.32153,1.08276,-4.54807,NA,-24.224,NA,NA,NA,NA,NA
54474,2.08385,1.34795,-4.18253,-23.42,NA,NA,NA,NA,NA,NA
54694,2.76741,1.48816,-4.88707,-51.392,NA,NA,NA,NA,NA,NA
54897,2.85406,1.50287,-4.25723,NA,NA,NA,NA,NA,-68.721,NA
55189,2.01361,1.01844,-3.89016,NA,-23.741,NA,NA,NA,NA,NA
55363,0.736243,1.05582,-3.99782,NA,NA,-63.231,NA,NA,NA,NA
55579,2.56101,2.15509,-4.23358,NA,NA,NA,NA,-28.003,NA,NA
55792,1.69161,2.23298,-3.96752,NA,NA,NA,NA,-18.72,NA,NA
55984,2.04626,1.91805,-4.06303,NA,-8.208,NA,NA,NA,NA,NA
56176,1.83566,1.72474,-4.72393,NA,-6.381,NA,NA,NA,NA,NA
56263,1.74017,1.83459,-4.19807,NA,NA,NA,NA,-7.115,NA,NA
56466,2.49443,1.34291,-4.4338,NA,-20.392,NA,NA,NA,NA,NA
56774,1.34447,2.46717,-4.42683,NA,-22.788,NA,NA,NA,NA,NA
56930,2.98025,2.00715,-4.31803,NA,-38.521,NA,NA,NA,NA,NA
57072,2.02442,1.27153,-4.69532,NA,-13.645,NA,NA,NA,NA,NA
57222,2.50928,1.28888,-4.84351,NA,NA,-31.688,NA,NA,NA,NA
57484,1.90924,1.60919,-3.58553,NA,-18.665,NA,NA,NA,NA,NA
57656,1.44868,0.946458,-4.42211,NA,-28.3,NA,NA,NA,NA,NA
57928,1.77688,1.81736,-4.85944,NA,NA,NA,NA,-12.005,NA,NA
58167,1.27151,2.25069,-4.38341,NA,NA,NA,NA,-20.939,NA,NA
58315,1.71075,1.48417,-4.87339,NA,NA,NA,NA,-14.523,NA,NA
58545,1.96342,2.12844,-4.88732,NA,-15.85,NA,NA,NA,NA,NA
58787,1.43488,1.88532,-4.94025,NA,-16.75,NA,NA,NA,NA,NA
58915,2.06932,1.98193,-4.68992,NA,NA,-18.979,NA,NA,NA,NA
59065,2.37195,2.03071,-4.63077,NA,-16.454,NA,NA,NA,NA,NA
59389,1.3079,1.93075,-3.80264,NA,NA,-20.688,NA,NA,NA,NA
59568,2.7391,1.70525,-3.76451,NA,NA,NA,NA,-38.888,NA,NA
59677,1.94494,2.36653,-3.90064,-45.157,NA,NA,NA,NA,NA,NA
59937,2.18669,2.46493,-4.58332,NA,-23.27,NA,NA,NA,NA,NA
60115,1.953,1.78867,-4.3548,NA,-3.168,NA,NA,NA,NA,NA
60282,2.39696,1.81523,-4.79756,NA,NA,NA,NA,-28.491,NA,NA
60446,2.56231,1.0291,-4.27244,NA,NA,NA,NA,-36.665,NA,NA
60761,2.26148,1.85762,-4.84174,NA,NA,NA,NA,-17.323,NA,NA
60831,1.95102,1.55873,-3.68862,NA,NA,NA,NA,-19.534,NA,NA
61048,2.24068,2.32077,-3.95485,NA,NA,NA,NA,-24.089,NA,NA
61204,2.09764,1.84261,-4.35489,NA,NA,-13.587,NA,NA,NA,NA
61545,1.99365,1.46907,-4.5469,NA,-5.427,NA,NA,NA,NA,NA
61660,1.9873,1.05306,-4.2321,NA,-15.067,NA,NA,NA,NA,NA
61997,1.04787,1.17077,-4.15687,NA,NA,NA,NA,-48.519,NA,NA
62116,1.52189,2.41295,-4.67642,NA,NA,NA,-34.998,NA,NA,NA
62295,1.51025,1.75342,-3.80129,NA,-11.821,NA,NA,NA,NA,NA
62545,2.28786,1.5395,-4.62887,NA,NA,NA,NA,-14.966,NA,NA
62667,2.0778,1.49336,-4.63854,NA,NA,-19.509,NA,NA,NA,NA
62804,1.93175,2.64642,-4.77269,NA,-29.483,NA,NA,NA,NA,NA
63016,2.19637,2.36767,-4.43862,NA,NA,-21.474,NA,NA,NA,NA
63212,1.23022,2.05505,-4.81081,NA,NA,NA,-46.49,NA,NA,NA
63425,1.15765,2.03537,-4.57396,NA,-18.776,NA,NA,NA,NA,NA
63638,1.40547,1.58473,-4.29183,NA,NA,NA,NA,-10.076,NA,NA
63813,1.66164,2.07986,-3.2962,NA,NA,NA,NA,-50.624,NA,NA
64158,1.58865,1.61269,-4.96129,NA,-14.12,NA,NA,NA,NA,NA
64400,1.61486,1.73525,-3.69736,NA,NA,-17.545,NA,NA,NA,NA
64520,1.7751,1.20563,-4.51838,NA,NA,NA,NA,-12.252,NA,NA
64635,1.6952,1.0866,-4.56974,NA,-15.013,NA,NA,NA,NA,NA
64919,2.14827,0.561124,-4.46197,NA,NA,NA,NA,-69.679,NA,NA
65045,2.8406,0.916936,-4.46543,NA,NA,NA,NA,-57.712,NA,NA
65273,1.79203,0.641535,-4.52195,NA,NA,-50.687,NA,NA,NA,NA
65552,2.14219,1.31201,-4.67731,NA,-12.491,NA,NA,NA,NA,NA
65602,2.00727,1.64395,-4.98951,NA,NA,-26.331,NA,NA,NA,NA
65817,1.0197,1.41764,-4.79406,NA,-29.803,NA,NA,NA,NA,NA
