id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1.5,fitness-4,fitness-1
9959,1.29038,0.929451,-4.28636,NA,NA,NA,-39.391,NA,NA,NA
10082,1.63848,1.25354,-5,NA,-22.147,NA,NA,NA,NA,NA
10218,2.23841,2.12868,-3.59999,NA,-27.052,NA,NA,NA,NA,NA
10478,1.41529,2.88928,-5,-65.507,NA,NA,NA,NA,NA,NA
10795,1.88546,1.40378,-4.21789,NA,-3.336,NA,NA,NA,NA,NA
10823,1.79428,2.26458,-3.95823,NA,-15.425,NA,NA,NA,NA,NA
11039,1.39677,1.64023,-3.63626,NA,-21.06,NA,NA,NA,NA,NA
11385,2.26262,1.94308,-4.46517,NA,NA,-13.9,NA,NA,NA,NA
11488,1.49947,0.946729,-5,NA,NA,-43.865,NA,NA,NA,NA
11699,1.87649,1.66064,-4.33996,NA,NA,NA,-9.298,NA,NA,NA
11976,1.86995,1.90989,-5,NA,-16.632,NA,NA,NA,NA,NA
12152,2.13231,1.31297,-4.48887,NA,NA,NA,NA,-37.967,NA,NA
12259,1.6835,2.14964,-4.67072,NA,NA,NA,-23.04,NA,NA,NA
12479,0.472277,1.29122,-4.23394,NA,NA,-60.1,NA,NA,NA,NA
12647,1.08123,1.32241,-5,NA,NA,NA,-41.366,NA,NA,NA
12999,2.52821,1.99987,-4.01301,NA,NA,NA,-31.149,NA,NA,NA
13096,2.26326,0.876175,-4.39242,NA,NA,NA,-35.597,NA,NA,NA
13293,2.99138,1.4317,-4.82204,NA,NA,NA,-48.393,NA,NA,NA
13474,3.03585,1.40084,-4.20975,NA,-42.612,NA,NA,NA,NA,NA
13776,2.13696,2.17592,-4.08498,NA,NA,NA,-18.45,NA,NA,NA
13804,1.98781,2.14287,-3.93935,NA,NA,-18.534,NA,NA,NA,NA
14137,2.31919,1.52951,-5,NA,NA,NA,-23.866,NA,NA,NA
14241,1.29902,1.64794,-4.99913,NA,NA,NA,-25.543,NA,NA,NA
14568,2.07164,2.23336,-4.59734,NA,-15.073,NA,NA,NA,NA,NA
14665,1.64458,1.54206,-5,NA,NA,-21.324,NA,NA,NA,NA
14872,1.49744,1.91634,-5,-30.107,NA,NA,NA,NA,NA,NA
15101,1.91019,2.42613,-4.20955,NA,NA,-22.92,NA,NA,NA,NA
15310,2.49797,2.52126,-3.75449,NA,NA,NA,-42.007,NA,NA,NA
15429,2.47237,1.36384,-5,NA,-30.135,NA,NA,NA,NA,NA
15767,2.77647,1.38597,-5,NA,NA,NA,-49.113,NA,NA,NA
15818,2.92718,1.89869,-5,NA,-43.693,NA,NA,NA,NA,NA
16095,1.16043,2.5267,-3.97245,NA,-33.311,NA,NA,NA,NA,NA
16240,1.48069,1.61907,-4.09476,NA,-4.38,NA,NA,NA,NA,NA
16447,1.98148,0.760216,-4.36907,NA,NA,NA,-42.694,NA,NA,NA
16613,1.57642,1.87728,-4.42385,-25.438,NA,NA,NA,NA,NA,NA
16845,1.10623,1.90869,-4.29859,-33.87,NA,NA,NA,NA,NA,NA
17095,1.95294,1.73065,-4.74902,NA,NA,-12.783,NA,NA,NA,NA
17309,1.56073,1.14322,-4.59774,-38.326,NA,NA,NA,NA,NA,NA
17585,1.7838,1.55144,-5,NA,NA,NA,-20.442,NA,NA,NA
17607,1.05275,1.52192,-3.92035,NA,NA,NA,-32.681,NA,NA,NA
17854,1.49656,2.29632,-4.26107,NA,-15.644,NA,NA,NA,NA,NA
18089,1.95075,1.49176,-5,NA,-16.292,NA,NA,NA,NA,NA
18339,1.9482,1.04302,-5,NA,NA,-33.419,NA,NA,NA,NA
18460,1.48264,2.07114,-5,NA,NA,-31.518,NA,NA,NA,NA
18764,1.09575,1.41379,-4.29593,NA,NA,NA,NA,NA,-64.378,NA
18964,2.00037,1.38578,-4.53382,NA,NA,-9.629,NA,NA,NA,NA
19134,2.31844,1.32685,-4.6518,NA,NA,-17.433,NA,NA,NA,NA
19218,1.6531,1.74401,-5,NA,NA,NA,NA,-34.689,NA,NA
19592,1.49225,2.29419,-4.5037,NA,NA,NA,-16.938,NA,NA,NA
19756,2.59677,1.49572,-5,NA,NA,NA,-36.007,NA,NA,NA
19909,1.85747,2.14017,-4.65409,NA,NA,NA,-13.943,NA,NA,NA
20025,2.58061,1.47916,-4.25513,NA,-21.265,NA,NA,NA,NA,NA
20344,2.1082,1.506,-3.93304,NA,NA,NA,-17.094,NA,NA,NA
20595,1.5038,2.15991,-4.94571,NA,NA,-24.584,NA,NA,NA,NA
20682,1.40995,1.27887,-4.76221,NA,NA,NA,-32.069,NA,NA,NA
20972,1.26101,1.7084,-4.65098,NA,NA,NA,-17.329,NA,NA,NA
21131,1.36068,1.8427,-4.45943,NA,-7.849,NA,NA,NA,NA,NA
21295,2.53552,2.26683,-3.68556,NA,NA,NA,-42.245,NA,NA,NA
21542,2.18685,1.81829,-3.63462,NA,NA,NA,-28.679,NA,NA,NA
21617,2.38017,1.81738,-4.0828,NA,NA,-17.643,NA,NA,NA,NA
21820,1.46261,1.96282,-4.64538,NA,-10.829,NA,NA,NA,NA,NA
22156,1.25927,0.796841,-4.0743,NA,NA,NA,-63.706,NA,NA,NA
22257,2.03021,1.25843,-4.23784,NA,NA,NA,-10.477,NA,NA,NA
22569,1.7161,0.638014,-4.22951,NA,NA,-50.911,NA,NA,NA,NA
22651,1.54316,2.6326,-4.69673,NA,NA,-34.757,NA,NA,NA,NA
22873,1.35658,1.15477,-4.27985,NA,NA,NA,-30.26,NA,NA,NA
23015,1.07468,2.12764,-4.21126,NA,NA,NA,-27.063,NA,NA,NA
23211,1.93699,1.58433,-5,NA,-16.336,NA,NA,NA,NA,NA
23554,1.26484,2.20624,-5,NA,NA,NA,-29.886,NA,NA,NA
23785,1.71437,2.89897,-4.32371,NA,NA,-40.813,NA,NA,NA,NA
23821,2.48416,2.06269,-4.73682,NA,NA,NA,-23.561,NA,NA,NA
24048,2.16422,2.25504,-3.81526,NA,NA,-28.733,NA,NA,NA,NA
24396,2.08627,2.72526,-4.24463,NA,-31.151,NA,NA,NA,NA,NA
24434,1.68268,1.48455,-5,NA,-17.851,NA,NA,NA,NA,NA
24792,2.24425,1.80215,-5,NA,NA,NA,-22.486,NA,NA,NA
24824,1.86288,1.28869,-4.58881,NA,NA,NA,NA,-47.02,NA,NA
25095,1.43994,2.12714,-4.73755,NA,NA,NA,-16.83,NA,NA,NA
25327,1.85612,1.41686,-4.44475,NA,NA,-6.088,NA,NA,NA,NA
25561,2.37744,1.64719,-4.45376,NA,NA,-15.043,NA,NA,NA,NA
25657,2.00663,1.99184,-3.72848,NA,NA,NA,-22.213,NA,NA,NA
25981,2.01584,1.65403,-5,NA,NA,NA,-25.312,NA,NA,NA
26178,2.22226,1.72122,-4.05483,NA,-8.935,NA,NA,NA,NA,NA
26387,1.39,2.43033,-3.97611,NA,-23.393,NA,NA,NA,NA,NA
26562,2.37306,1.37774,-3.919,NA,NA,NA,-29.11,NA,NA,NA
26789,2.52763,1.71285,-5,NA,-27.044,NA,NA,NA,NA,NA
26903,2.25338,1.29507,-5,NA,NA,NA,NA,-42.109,NA,NA
27179,2.01895,2.07071,-5,NA,NA,NA,-29.091,NA,NA,NA
27359,1.73707,1.22524,-4.70038,NA,-11.629,NA,NA,NA,NA,NA
27509,0.910527,1.19403,-5,NA,-52.997,NA,NA,NA,NA,NA
27800,2.23389,1.09181,-5,-46.189,NA,NA,NA,NA,NA,NA
27938,1.96447,1.59604,-5,NA,NA,-18.626,NA,NA,NA,NA
28091,1.77222,1.31428,-4.36266,NA,-3.409,NA,NA,NA,NA,NA
28377,1.84869,1.68646,-4.12494,NA,NA,NA,-3.754,NA,NA,NA
28499,2.65419,1.52035,-3.98441,NA,-26.087,NA,NA,NA,NA,NA
28729,2.71501,1.08724,-4.43967,NA,-36.767,NA,NA,NA,NA,NA
28983,2.27914,1.62184,-4.3175,NA,NA,-9.752,NA,NA,NA,NA
29126,2.83863,1.17292,-5,NA,NA,NA,-53.697,NA,NA,NA
29308,2.11594,0.920158,-4.88944,NA,-35.125,NA,NA,NA,NA,NA
29588,1.67751,1.59441,-4.9067,NA,-12.159,NA,NA,NA,NA,NA
29775,1.40134,2.79869,-5,NA,NA,NA,-48.141,NA,NA,NA
29939,2.11941,1.97166,-3.65301,NA,NA,-32.102,NA,NA,NA,NA
30046,2.2082,2.1324,-4.79993,NA,NA,-18.619,NA,NA,NA,NA
30297,2.26797,3.20054,-5,NA,-68.185,NA,NA,NA,NA,NA
30535,1.22294,2.33144,-4.82918,NA,-26.293,NA,NA,NA,NA,NA
30707,2.19284,2.33177,-4.25379,NA,-18.05,NA,NA,NA,NA,NA
30983,1.55849,2.80844,-4.74514,NA,NA,NA,-42.667,NA,NA,NA
31199,2.0971,1.83765,-4.33973,NA,NA,NA,-12.843,NA,NA,NA
31253,1.43329,0.857584,-5,NA,NA,NA,-59.168,NA,NA,NA
31565,1.46099,0.886246,-5,NA,-49.684,NA,NA,NA,NA,NA
31655,1.47772,1.61577,-5,NA,-18.414,NA,NA,NA,NA,NA
32000,2.73168,2.02531,-3.98219,NA,NA,NA,-32.854,NA,NA,NA
32189,1.75818,0.909436,-5,NA,NA,NA,-46.218,NA,NA,NA
32374,2.06121,0.873508,-5,NA,NA,-43.216,NA,NA,NA,NA
32576,2.38001,1.98605,-3.70615,NA,NA,NA,-29.668,NA,NA,NA
32718,1.12621,1.97345,-3.98431,NA,NA,NA,NA,-35.583,NA,NA
32940,1.64903,2.34367,-4.97317,NA,NA,-24.726,NA,NA,NA,NA
33112,2.19702,2.81916,-3.59633,NA,NA,-55.074,NA,NA,NA,NA
33245,2.1653,2.74895,-3.43501,NA,NA,-60.828,NA,NA,NA,NA
33580,2.07488,1.54148,-3.7914,NA,-12.578,NA,NA,NA,NA,NA
33782,1.95591,1.6956,-4.81881,NA,-10.131,NA,NA,NA,NA,NA
33835,2.15155,1.42429,-5,NA,NA,NA,-21.32,NA,NA,NA
34110,2.21008,2.60022,-5,NA,-36.4,NA,NA,NA,NA,NA
34289,0.866032,1.80695,-5,NA,NA,NA,-41.272,NA,NA,NA
34524,1.12209,1.71358,-5,NA,-28.329,NA,NA,NA,NA,NA
34793,1.13852,1.04328,-4.13443,NA,-35.979,NA,NA,NA,NA,NA
34804,1.57005,1.35857,-4.64004,NA,NA,NA,-15.078,NA,NA,NA
35182,1.09903,1.47326,-4.69836,NA,NA,NA,-29.698,NA,NA,NA
35345,1.82014,1.68626,-5,NA,NA,NA,-22.928,NA,NA,NA
35456,2.12405,1.60614,-4.73218,NA,NA,-10.876,NA,NA,NA,NA
35721,2.0593,1.12108,-3.74479,NA,NA,-27.083,NA,NA,NA,NA
35957,2.01903,1.04574,-4.12018,NA,-17.797,NA,NA,NA,NA,NA
36093,1.56105,2.50757,-4.54575,NA,-22.525,NA,NA,NA,NA,NA
36399,1.39939,2.34623,-5,NA,-28.316,NA,NA,NA,NA,NA
36559,2.34494,2.17848,-5,NA,-26.984,NA,NA,NA,NA,NA
36661,2.01777,2.44799,-3.72501,NA,NA,-31.709,NA,NA,NA,NA
36867,2.00545,1.49042,-4.40566,-27.622,NA,NA,NA,NA,NA,NA
37172,1.74964,2.69318,-4.69363,NA,NA,-36.038,NA,NA,NA,NA
37260,1.76908,2.64419,-4.55547,NA,NA,NA,-33.957,NA,NA,NA
37429,2.3121,2.02846,-4.269,NA,-12.82,NA,NA,NA,NA,NA
37636,1.84694,1.91427,-5,NA,NA,-19.656,NA,NA,NA,NA
37890,1.57697,2.12209,-5,NA,NA,NA,-29.788,NA,NA,NA
38114,1.17873,1.87202,-5,NA,NA,-30.601,NA,NA,NA,NA
38381,1.70206,1.78871,-4.71704,NA,NA,NA,-12.177,NA,NA,NA
38471,1.50597,1.57832,-5,NA,NA,NA,-23.936,NA,NA,NA
38790,2.29997,2.55219,-5,NA,NA,-37.886,NA,NA,NA,NA
38947,1.82322,1.55154,-4.54453,NA,NA,NA,-4.316,NA,NA,NA
39184,0.76967,2.72568,-3.80219,NA,NA,NA,NA,-75.17,NA,NA
39236,1.67869,1.34414,-4.68778,NA,NA,NA,NA,-30.46,NA,NA
39441,1.58465,1.77972,-4.26262,NA,NA,NA,-8.714,NA,NA,NA
39697,1.93993,1.53622,-5,NA,NA,NA,NA,NA,NA,-54.006
39947,1.85299,2.56586,-4.82037,NA,-26.904,NA,NA,NA,NA,NA
40079,1.60023,1.81268,-3.94732,NA,NA,NA,-9.213,NA,NA,NA
40350,1.62006,2.27927,-4.52792,NA,-14.097,NA,NA,NA,NA,NA
40553,0.975975,1.92046,-3.64647,NA,NA,NA,-37.684,NA,NA,NA
40706,1.90069,1.6151,-4.01129,NA,NA,NA,-8.54,NA,NA,NA
40902,1.70986,1.34566,-4.06026,NA,NA,NA,NA,-25.353,NA,NA
41020,1.84195,1.90991,-4.01449,NA,NA,-11.38,NA,NA,NA,NA
41315,2.54731,2.09323,-4.64128,NA,-24.289,NA,NA,NA,NA,NA
41507,1.80912,1.52092,-4.62757,NA,NA,-10.94,NA,NA,NA,NA
41606,2.25755,2.87967,-5,NA,-49.71,NA,NA,NA,NA,NA
41904,2.40342,2.50074,-4.28158,NA,NA,NA,-33.487,NA,NA,NA
42173,2.83993,0.925738,-4.944,NA,NA,NA,-65.408,NA,NA,NA
42335,2.53771,1.82445,-3.86922,NA,-23.756,NA,NA,NA,NA,NA
42488,1.65046,1.42483,-4.1957,NA,-3.512,NA,NA,NA,NA,NA
42698,1.05611,1.84081,-3.6033,NA,NA,-33.047,NA,NA,NA,NA
42992,1.56613,1.46852,-4.58706,NA,-6.814,NA,NA,NA,NA,NA
43142,2.55736,2.25838,-5,NA,-34.904,NA,NA,NA,NA,NA
43389,2.6539,2.3641,-5,NA,NA,NA,-44.752,NA,NA,NA
43406,2.21224,2.80396,-5,NA,NA,NA,-46.876,NA,NA,NA
43610,1.80814,1.2003,-5,NA,NA,-35.147,NA,NA,NA,NA
43886,1.2075,1.0851,-4.07185,NA,NA,-36.713,NA,NA,NA,NA
44065,2.29552,1.94251,-4.14428,NA,-12.187,NA,NA,NA,NA,NA
44342,1.78523,1.9902,-4.43126,NA,NA,-7.998,NA,NA,NA,NA
44492,2.80047,2.03489,-4.92003,NA,NA,NA,-44.725,NA,NA,NA
44745,1.83688,1.00679,-5,NA,NA,NA,-40.643,NA,NA,NA
44990,1.94899,2.69573,-4.86467,NA,-33.571,NA,NA,NA,NA,NA
45160,1.13692,2.11777,-4.58271,NA,NA,NA,NA,-39.245,NA,NA
45292,2.147,1.0147,-5,NA,NA,-34.639,NA,NA,NA,NA
45507,2.76113,1.78705,-5,NA,-35.569,NA,NA,NA,NA,NA
45685,2.20268,2.54815,-3.77661,-60.143,NA,NA,NA,NA,NA,NA
45855,1.31764,1.87318,-4.70543,NA,NA,-15.845,NA,NA,NA,NA
46031,1.78304,1.50033,-3.83658,NA,-9.418,NA,NA,NA,NA,NA
46350,1.88436,1.60687,-4.8672,NA,NA,NA,NA,-29.378,NA,NA
46534,1.86322,2.26514,-5,NA,NA,-22.99,NA,NA,NA,NA
46708,2.61438,1.49577,-5,NA,-33.096,NA,NA,NA,NA,NA
46947,1.83698,1.21585,-5,NA,-23.264,NA,NA,NA,NA,NA
47140,1.69664,1.83874,-4.66389,NA,-5.678,NA,NA,NA,NA,NA
47210,2.29714,1.65397,-5,NA,-20.406,NA,NA,NA,NA,NA
47521,2.27659,2.30193,-4.67117,NA,-21.791,NA,NA,NA,NA,NA
47636,2.5675,2.37439,-4.80679,NA,NA,NA,NA,-45.392,NA,NA
47965,1.91575,1.6669,-4.91155,NA,NA,NA,NA,-39.298,NA,NA
48153,2.24797,2.14546,-5,NA,NA,NA,NA,-46.406,NA,NA
48281,1.98172,2.37964,-4.28864,NA,NA,-26.064,NA,NA,NA,NA
48568,1.93594,2.59182,-4.35011,NA,-23.482,NA,NA,NA,NA,NA
48639,1.88085,1.6923,-5,NA,-15.371,NA,NA,NA,NA,NA
48999,2.17438,1.38623,-4.72378,NA,NA,NA,NA,NA,NA,-52.478
49143,1.89607,1.23544,-3.52318,NA,NA,-40.18,NA,NA,NA,NA
49256,1.23387,2.12252,-4.0881,NA,-17.086,NA,NA,NA,NA,NA
49558,1.10444,1.65526,-4.28349,NA,-15.54,NA,NA,NA,NA,NA
49779,1.60099,1.70136,-5,-35.335,NA,NA,NA,NA,NA,NA
49892,1.56494,1.97907,-4.08031,NA,-7.296,NA,NA,NA,NA,NA
50132,1.39096,2.06441,-4.58382,NA,-11.751,NA,NA,NA,NA,NA
50260,1.93737,1.34171,-4.4906,NA,NA,NA,-17.788,NA,NA,NA
50470,1.49427,1.36243,-4.24008,NA,NA,-14.925,NA,NA,NA,NA
50796,1.43651,1.94726,-4.71932,NA,NA,NA,-13.719,NA,NA,NA
50828,1.67444,2.6553,-3.74,NA,NA,-40.143,NA,NA,NA,NA
51086,1.82221,1.77542,-4.41446,NA,NA,-7.462,NA,NA,NA,NA
51371,1.31032,1.23064,-4.52945,NA,NA,-31.66,NA,NA,NA,NA
51566,2.9135,1.11102,-5,NA,-55.289,NA,NA,NA,NA,NA
51645,2.65026,1.34204,-5,NA,-35.782,NA,NA,NA,NA,NA
51891,2.20438,1.5995,-4.99529,-30.754,NA,NA,NA,NA,NA,NA
52117,1.92004,2.51696,-4.98508,NA,-30.364,NA,NA,NA,NA,NA
52255,2.06778,1.38054,-4.70853,-34.044,NA,NA,NA,NA,NA,NA
52578,2.74427,2.2809,-4.55048,-56.943,NA,NA,NA,NA,NA,NA
52637,1.49862,1.67702,-3.58517,NA,NA,-25.098,NA,NA,NA,NA
52954,0.840298,2.01894,-5,NA,-39.392,NA,NA,NA,NA,NA
53157,3.08424,2.14081,-4.57173,NA,NA,-50.745,NA,NA,NA,NA
53291,2.31972,1.2295,-4.28107,NA,NA,NA,-21.199,NA,NA,NA
53583,2.5386,1.72785,-4.83718,NA,-23.819,NA,NA,NA,NA,NA
53663,2.12235,1.06487,-5,NA,NA,NA,-35.496,NA,NA,NA
53873,2.02474,1.39503,-5,NA,-19.113,NA,NA,NA,NA,NA
54005,1.67379,1.2374,-5,NA,NA,-33.878,NA,NA,NA,NA
54292,1.72523,1.98101,-5,NA,NA,-28.725,NA,NA,NA,NA
54522,1.8093,1.69883,-5,NA,-15.42,NA,NA,NA,NA,NA
54791,1.80309,2.21693,-4.80049,NA,NA,-19.418,NA,NA,NA,NA
54906,1.55755,1.66542,-4.21945,NA,NA,NA,-19.922,NA,NA,NA
55023,1.69252,2.54534,-4.13126,NA,NA,-24.741,NA,NA,NA,NA
55362,1.46948,2.17989,-5,NA,NA,NA,-25.284,NA,NA,NA
55498,1.67093,1.04436,-4.3908,NA,-15.704,NA,NA,NA,NA,NA
55724,2.22403,2.18663,-5,NA,-23.808,NA,NA,NA,NA,NA
55803,2.26441,0.904817,-5,-54.397,NA,NA,NA,NA,NA,NA
56109,1.61493,1.21763,-4.44634,NA,NA,-23.617,NA,NA,NA,NA
56216,1.36284,1.73595,-4.07399,NA,-8.059,NA,NA,NA,NA,NA
56425,1.51298,1.02242,-5,NA,-35.965,NA,NA,NA,NA,NA
56670,2.33336,1.81813,-5,NA,NA,-25.741,NA,NA,NA,NA
56803,1.80244,2.14426,-3.64622,NA,NA,-22.924,NA,NA,NA,NA
57021,1.6583,1.92115,-4.53776,NA,NA,-8.534,NA,NA,NA,NA
57358,1.37311,1.85139,-4.14117,NA,NA,NA,NA,-26.051,NA,NA
57596,1.41585,1.35522,-4.29054,NA,NA,NA,NA,-32.435,NA,NA
57783,2.66403,1.05553,-5,NA,-47.968,NA,NA,NA,NA,NA
57946,2.05395,2.06086,-4.9125,NA,-16.449,NA,NA,NA,NA,NA
58140,1.03548,1.79773,-5,NA,NA,NA,-35.837,NA,NA,NA
58219,2.42251,1.30158,-5,NA,-28.397,NA,NA,NA,NA,NA
58411,3.14972,2.30615,-4.65719,NA,NA,NA,-58.637,NA,NA,NA
58655,1.87798,1.96693,-4.85013,NA,NA,NA,-14.555,NA,NA,NA
58888,1.60033,1.64222,-5,NA,-15.669,NA,NA,NA,NA,NA
59129,1.4358,1.00329,-4.40996,NA,NA,NA,-29.083,NA,NA,NA
59354,1.42498,1.04968,-4.48254,NA,NA,-24.408,NA,NA,NA,NA
59572,1.51512,1.38585,-5,-46.777,NA,NA,NA,NA,NA,NA
59650,2.49285,1.75492,-5,NA,NA,NA,-30.612,NA,NA,NA
59803,2.35198,2.2818,-4.37344,NA,-19.735,NA,NA,NA,NA,NA
60169,1.54262,2.40825,-4.42484,NA,-17.993,NA,NA,NA,NA,NA
60209,1.00675,2.61697,-4.26209,NA,NA,-39.127,NA,NA,NA,NA
60527,2.29265,2.14372,-5,-49.99,NA,NA,NA,NA,NA,NA
60767,2.3982,2.8916,-5,-68.743,NA,NA,NA,NA,NA,NA
60819,1.3298,1.71291,-5,-41.384,NA,NA,NA,NA,NA,NA
61186,2.36112,2.209,-5,NA,NA,-38.567,NA,NA,NA,NA
61375,2.0716,2.40049,-5,NA,NA,NA,-28.926,NA,NA,NA
61567,1.34253,2.08296,-5,NA,-23.048,NA,NA,NA,NA,NA
61714,1.88613,2.31965,-4.30108,NA,NA,NA,-25.432,NA,NA,NA
61860,2.00122,1.41005,-3.73424,NA,-14.852,NA,NA,NA,NA,NA
62007,2.29418,2.3604,-4.56766,NA,NA,NA,-23.324,NA,NA,NA
62292,2.09252,1.99106,-4.34663,NA,-7.859,NA,NA,NA,NA,NA
62424,2.13854,2.12854,-4.79175,NA,NA,NA,-19.888,NA,NA,NA
62738,2.47787,2.47009,-3.48187,NA,-49.237,NA,NA,NA,NA,NA
62955,1.4388,1.51965,-3.96291,-44.915,NA,NA,NA,NA,NA,NA
63015,1.522,0.992244,-4.57432,NA,NA,NA,-38.543,NA,NA,NA
63301,2.27471,1.46292,-5,NA,NA,NA,-23.838,NA,NA,NA
63558,1.96388,1.58264,-5,NA,NA,-16.822,NA,NA,NA,NA
63732,1.1092,1.77597,-5,NA,NA,-37.798,NA,NA,NA,NA
63836,1.23041,1.43704,-3.58768,NA,-30.572,NA,NA,NA,NA,NA
64089,2.11002,1.92563,-3.38082,NA,-30.75,NA,NA,NA,NA,NA
64284,1.59551,1.61517,-4.54905,NA,NA,NA,-13.958,NA,NA,NA
64492,0.732178,1.935,-5,NA,NA,NA,-51.997,NA,NA,NA
64761,1.51057,2.1744,-5,NA,NA,NA,-26.672,NA,NA,NA
64903,1.81547,2.08996,-5,NA,NA,NA,-20.209,NA,NA,NA
65036,2.40736,2.28842,-4.18134,NA,NA,NA,NA,-35.733,NA,NA
65247,1.10473,2.28671,-5,NA,-33.432,NA,NA,NA,NA,NA
65555,2.2458,2.02429,-5,NA,NA,-22.81,NA,NA,NA,NA
65738,2.59223,1.6538,-4.62434,NA,NA,-31.631,NA,NA,NA,NA
65981,1.92888,2.0316,-4.51543,-25.776,NA,NA,NA,NA,NA,NA
66021,1.72089,1.96395,-5,NA,-16.464,NA,NA,NA,NA,NA
66266,1.05048,1.66752,-5,NA,NA,NA,-38.409,NA,NA,NA
66467,1.46782,1.54116,-5,NA,NA,NA,-24.843,NA,NA,NA
66659,1.6425,1.95027,-4.21029,NA,-5.027,NA,NA,NA,NA,NA
66958,2.3227,2.10188,-3.27222,NA,NA,NA,-46.505,NA,NA,NA
67138,1.27852,1.56135,-4.8545,NA,NA,-21.766,NA,NA,NA,NA
67253,1.80869,1.53117,-5,NA,NA,-20.872,NA,NA,NA,NA
67515,1.62769,3.05469,-5,NA,NA,NA,NA,-67.539,NA,NA
67725,0.904929,2.4595,-5,NA,NA,NA,-53.585,NA,NA,NA
