id,x0,x1,x2,fitness7,fitness7.5,fitness9.5,fitness9,fitness8.5,fitness8,fitness10,fitness6.5,fitness6,fitness5,fitness4.5,fitness4
11111,8.0877,7.76409,8.03051,NA,NA,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA
11231,8.81082,7.88211,9.77429,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA,NA,NA
11581,7.46286,8.65737,9.75915,NA,NA,NA,NA,0.309,NA,NA,NA,NA,NA,NA,NA
11725,7.49991,7.62036,8.2098,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11907,7.59794,6.86208,8.23236,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12082,6.91503,7.61493,7.56061,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA
12274,7.09749,8.33149,8.04378,NA,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA
12431,6.35845,8.5618,7.902,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA
12786,7.56181,9.06697,6.47479,NA,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12864,9.73333,8.8378,7.48637,NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA,NA,NA
13088,9.18445,8.61946,8.26167,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13287,8.97262,8.4585,7.41569,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13424,7.97921,7.92519,9.21629,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13735,7.59346,7.77522,9.55464,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA,NA,NA
13860,7.39794,8.39835,9.28114,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14050,7.2831,8.11441,8.92434,NA,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14328,7.07476,8.65474,6.93086,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14408,6.65377,8.54921,7.11029,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA
14721,6.59012,8.50207,7.0386,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA
14961,7.1687,7.53573,8.46977,NA,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15184,8.06285,7.49968,8.16818,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15291,7.31401,8.34739,8.06629,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15477,7.67725,7.31239,7.968,NA,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA,NA
15646,7.85534,6.91997,7.6687,NA,NA,NA,NA,NA,0.821,NA,NA,NA,NA,NA,NA
15977,7.65689,6.44139,7.82232,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16108,6.31316,8.15342,7.30203,NA,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16329,8.25613,8.94128,7.01354,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA
16451,8.5181,9.76479,7.48064,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA
16604,7.68001,8.01772,7.79557,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA
16931,7.29107,7.32746,7.08809,NA,NA,NA,NA,NA,0.819,NA,NA,NA,NA,NA,NA
17115,7.43184,7.82417,7.27042,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17251,7.01843,9.06329,6.71816,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17572,6.64099,8.56303,7.22182,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17770,7.02649,8.9593,7.96647,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17865,7.43018,8.54934,8.5456,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18174,6.26637,7.98652,8.58021,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18367,6.76723,8.4175,8.37621,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18554,8.84174,7.64557,8.60196,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18787,8.78541,7.30719,8.29859,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18897,8.99014,7.09606,8.57447,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19087,8.13201,7.17979,8.39571,NA,NA,NA,NA,NA,0.779,NA,NA,NA,NA,NA,NA
19380,7.71001,7.56736,8.04278,NA,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA
19410,8.24442,8.01312,7.60934,NA,NA,NA,NA,NA,0.912,NA,NA,NA,NA,NA,NA
19751,7.20681,8.11794,7.48462,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA
19810,8.29074,8.5874,6.61756,NA,NA,NA,NA,0.506,NA,NA,NA,NA,NA,NA,NA
20164,8.84331,9.40654,6.94962,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20400,8.19419,9.10379,8.16112,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20437,8.28403,9.83449,8.14005,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20631,7.34967,8.52319,7.9617,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20924,6.50136,7.39379,7.56452,NA,0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21135,7.44873,6.32306,7.90151,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21208,6.92511,6.65049,7.51958,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21520,7.33866,7.84031,7.16523,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21609,7.29605,8.48715,7.1137,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21994,8.7572,6.96755,7.42934,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22094,7.58128,7.7142,8.4842,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
22355,8.14267,8.02468,7.2421,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA
22574,7.79063,7.28289,7.52513,NA,NA,NA,NA,NA,0.898,NA,NA,NA,NA,NA,NA
22616,8.24308,7.26172,6.98113,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22982,7.00104,7.7884,7.72633,NA,NA,NA,NA,NA,NA,NA,NA,0.495,NA,NA,NA
23059,7.2151,7.74139,7.45787,NA,NA,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA
23273,7.14346,7.05229,6.99495,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA
23503,7.90199,7.1742,6.72356,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23744,8.13708,7.67604,7.4374,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23851,6.74117,7.46377,8.66976,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24068,7.36062,8.22216,8.71674,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA,NA
24234,6.85146,9.84348,7.14782,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24477,7.24768,8.10426,7.95296,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA
24751,7.03669,8.16688,7.04096,NA,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA
24942,7.80067,8.18667,7.91599,NA,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25127,8.79473,8.90094,9.04123,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25266,8.54197,8.12582,8.82511,NA,NA,NA,NA,0.492,NA,NA,NA,NA,NA,NA,NA
25432,7.20692,8.0964,8.05133,NA,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA
25699,8.46829,8.34407,8.57208,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA
25924,8.21198,7.54261,9.31407,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA
26080,8.5032,7.76131,7.69033,NA,NA,NA,NA,NA,0.873,NA,NA,NA,NA,NA,NA
26367,7.61136,7.75977,8.34649,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA
26551,7.14256,6.05765,7.89262,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA
26693,8.23825,7.66814,8.43492,NA,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26934,8.04491,8.06759,8.89982,NA,NA,NA,NA,NA,0.732,NA,NA,NA,NA,NA,NA
27010,7.55612,8.47752,8.07852,NA,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA
27243,8.20363,8.51972,7.6559,NA,NA,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA
27413,8.01837,8.24593,7.04977,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA
27662,8.25385,8.18324,8.16306,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27808,7.90665,8.79112,7.72097,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA
28049,7.66849,7.54881,7.27155,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28217,7.45886,6.80065,8.22696,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA
28454,8.39149,7.75002,7.83315,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA
28750,6.91644,9.17017,7.70058,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28907,7.91261,8.56255,7.75735,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29170,8.90612,9.52462,6.68114,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA
29221,7.90625,8.31429,7.9933,NA,NA,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA
29547,8.50242,8.47877,7.62066,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA,NA
29628,8.34394,8.19619,7.23555,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA
29963,6.99569,6.79076,6.83144,NA,NA,NA,NA,0.464,NA,NA,NA,NA,NA,NA,NA
30021,6.43389,7.66926,6.71466,NA,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA
30233,7.15305,8.97637,7.37937,NA,NA,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA
30521,7.28081,8.91962,8.70809,NA,NA,NA,NA,NA,0.573,NA,NA,NA,NA,NA,NA
30772,6.90224,8.65573,8.32861,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30804,7.57658,8.3789,8.93979,NA,NA,NA,NA,NA,NA,NA,0.481,NA,NA,NA,NA
31170,7.74438,6.85833,8.17955,NA,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA
31214,7.04031,7.87933,8.22735,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA
31506,8.16073,8.05376,8.23302,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA
31641,7.58694,7.83747,8.38467,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31828,8.64726,8.12567,7.98524,NA,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32173,7.29827,8.83036,8.65708,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32229,7.43416,7.44456,9.59653,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32593,7.66234,7.33789,7.81452,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32698,8.18233,7.63835,8.39846,NA,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32902,9.20802,7.67328,8.13823,NA,0.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33188,8.95798,7.73514,6.50809,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33395,7.8026,8.16976,6.71243,NA,NA,NA,NA,NA,NA,NA,0.449,NA,NA,NA,NA
33491,8.12357,7.08823,7.43396,NA,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33702,7.76247,7.94691,6.56867,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33835,7.2171,7.31512,7.50317,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34007,7.96513,6.11734,7.92475,NA,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34296,7.84415,5.96947,8.26875,NA,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA
34420,7.84794,7.91586,8.10769,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
34796,7.90553,7.58736,7.22691,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
34930,7.77568,9.0207,7.72351,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA
35163,7.88773,7.98072,7.3413,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
35361,6.96989,8.26777,7.11296,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA
35471,7.31941,8.26669,6.93142,NA,NA,NA,NA,NA,0.764,NA,NA,NA,NA,NA,NA
35613,7.50005,8.39581,7.30748,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35935,7.96058,7.85721,8.79809,NA,NA,NA,NA,NA,NA,NA,0.581,NA,NA,NA,NA
36039,7.50199,8.10228,8.20685,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36361,7.62666,8.30536,7.76539,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36444,8.09036,7.50982,8.83668,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA
36677,6.87396,7.25507,7.92576,NA,NA,NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA
36939,7.10623,6.81266,7.46367,NA,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA
37022,7.96393,6.54912,8.0141,NA,NA,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA
37271,7.10212,6.63851,7.35193,NA,NA,NA,NA,NA,0.656,NA,NA,NA,NA,NA,NA
37582,6.77615,7.05252,7.50928,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37647,6.82846,8.16809,7.80144,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37853,6.53505,8.8493,8.395,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA
38121,6.64012,7.94208,8.55339,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38335,8.21256,7.94126,7.83625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549,NA,NA
38531,7.61984,7.67914,7.35081,NA,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38611,6.76689,8.65199,7.74992,NA,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA
38879,6.77452,8.55315,7.41827,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39192,6.69627,7.31449,7.38858,NA,NA,NA,NA,NA,NA,NA,0.543,NA,NA,NA,NA
39307,6.68276,6.68052,6.77557,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39474,6.4251,6.83456,6.47251,NA,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39701,7.23191,7.27518,6.82334,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39910,6.26138,8.54303,7.2513,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40183,6.61718,8.43221,7.44755,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40206,7.33953,8.00455,7.40635,NA,NA,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA
40530,7.1161,8.7315,7.02935,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA
40665,7.23092,6.76161,7.56322,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40845,8.94982,6.99973,7.97261,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41171,8.99431,6.65989,7.2798,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41365,8.34429,7.06718,8.19254,NA,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41420,7.92861,7.59651,8.75676,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA
41683,7.75854,7.84009,8.83881,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA
41975,7.87088,8.66342,8.43051,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA
42071,7.41243,8.2825,6.7068,NA,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA
42204,6.91635,7.52328,6.27563,NA,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42465,8.12924,6.88765,6.4157,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42757,6.92182,7.0363,7.37849,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42967,7.64297,7.0034,7.16512,NA,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA
43115,7.44657,7.20673,8.63953,NA,NA,NA,NA,NA,0.755,NA,NA,NA,NA,NA,NA
43251,7.99956,7.08883,9.0207,NA,NA,NA,NA,0.492,NA,NA,NA,NA,NA,NA,NA
43470,7.25016,8.07584,8.54006,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA
43779,7.61503,7.98229,8.01983,NA,NA,NA,NA,NA,0.953,NA,NA,NA,NA,NA,NA
43829,8.7576,7.88152,8.1382,NA,NA,NA,NA,NA,0.752,NA,NA,NA,NA,NA,NA
44099,8.49976,9.23711,7.93135,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA,NA,NA
44230,7.39245,8.84732,6.6429,NA,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA
44574,7.02289,9.05846,6.79851,NA,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA
44643,7.03493,7.20313,8.03493,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA
44865,7.3324,6.93247,8.50971,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45100,7.85468,8.08468,7.09548,NA,NA,NA,NA,NA,0.859,NA,NA,NA,NA,NA,NA
45327,8.27639,8.91461,8.51119,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA
45450,8.49807,7.7631,8.23504,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA
45702,9.17894,7.34322,8.57244,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA
45960,7.16485,7.2703,7.69003,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA,NA
46136,8.52199,7.01277,7.80285,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46252,8.56721,7.69595,8.86191,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46511,7.96259,8.55997,7.7994,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,NA
46777,7.91595,8.34693,7.12987,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46878,7.15754,7.53587,7.77312,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA
47001,6.60351,7.38633,7.74312,NA,NA,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA
47259,5.53967,8.31803,8.55464,NA,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA
47526,6.32975,7.46618,9.03548,NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47712,7.93731,9.06976,7.19747,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47937,9.05246,9.5406,7.75143,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA
48119,8.73022,8.19587,7.29869,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA
48292,8.50088,9.04852,6.91688,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA
48417,7.14888,8.74209,8.00262,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48639,7.98231,9.37288,7.45366,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48976,7.37087,8.69592,6.75663,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA
49037,7.53467,8.60638,7.09433,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49355,8.02592,9.40674,7.11267,NA,NA,NA,NA,NA,0.516,NA,NA,NA,NA,NA,NA
49514,8.88215,8.45495,8.60828,NA,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49649,8.14125,7.67407,7.33343,NA,NA,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA
49898,7.6896,6.43419,7.50215,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA
50022,8.30728,7.35629,7.32209,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA
