id,x0,x1,x2,fitness-1.5,fitness-2,fitness-2.5,fitness-1,fitness0.5,fitness0,fitness-0.5,fitness1,fitness2,fitness2.5,fitness3.5,fitness4.5,fitness5,fitness4
6585,-1.82188,5,5,2674.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6687,-3.01628,5,4.74007,4777.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6898,-1.49027,4.86483,5,NA,8145.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,-0.943638,5,5,11169.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7270,-1.51175,4.25365,5,8099.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7420,-1.52838,3.35064,5,2857.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7724,-0.913576,4.82491,5,13298.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7931,-1.62147,4.36668,5,4886.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8112,-1.46387,5,5,NA,7240.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8243,-0.298909,5,5,NA,1337.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8473,-0.0241602,5,4.86215,NA,NA,NA,2343.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8614,-0.192075,5,4.97256,NA,NA,NA,9286.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8865,-0.202526,5,5,NA,NA,NA,11484.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9126,-0.51287,5,5,NA,NA,NA,NA,NA,2656.857,NA,NA,NA,NA,NA,NA,NA,NA
9248,-0.952924,5,5,11021.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9469,-1.01622,5,5,4704.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9602,-2.02825,4.68521,5,4546.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9920,-1.86442,4.82356,5,4126.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10126,-1.36828,5,5,NA,4746.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10265,-1.55741,5,4.76761,NA,NA,NA,NA,NA,3062.644,NA,NA,NA,NA,NA,NA,NA,NA
10575,-0.643798,5,5,NA,NA,NA,NA,NA,3466.474,NA,NA,NA,NA,NA,NA,NA,NA
10722,-0.861309,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3524.456,NA,NA,NA,NA,NA
10881,-1.91816,4.87706,4.66568,NA,NA,NA,NA,NA,3996.955,NA,NA,NA,NA,NA,NA,NA,NA
11027,-1.71193,5,4.83732,NA,NA,NA,3138.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11366,-0.873333,4.93001,4.78371,NA,NA,NA,12470.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11550,-1.43785,5,5,NA,NA,NA,13057.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11601,-1.62489,4.29857,5,NA,NA,NA,3188.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11923,-1.64231,5,4.98878,NA,NA,NA,8686.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12130,-1.5621,4.62971,3.86164,NA,NA,NA,946.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12316,-0.789358,5,4.96024,19925.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12456,-0.677708,5,5,14199.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12787,-1.5377,4.76809,5,NA,NA,NA,17737.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12926,-1.52953,5,4.79491,NA,NA,NA,NA,NA,NA,8196.004,NA,NA,NA,NA,NA,NA,NA
13084,-0.798185,5,4.11522,NA,NA,NA,2767.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13278,-1.46452,4.37858,4.72576,6473.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13509,-0.725739,4.08611,5,NA,NA,NA,5450.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13799,-0.767969,4.34712,5,NA,2299.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13803,-1.62457,4.61827,5,NA,2283.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14027,-1.47304,4.15497,5,7006.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14233,-1.29686,3.40799,4.76662,3317.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14493,-1.32282,5,5,NA,NA,NA,14983.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14711,-1.53939,5,5,NA,NA,NA,9263.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14877,-1.90501,4.83992,5,7869.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15114,-1.49834,5,5,NA,NA,NA,16231.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15201,-1.0265,5,5,NA,NA,NA,NA,NA,4271.003,NA,NA,NA,NA,NA,NA,NA,NA
15592,-0.59697,5,5,9192.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15638,-1.02625,5,4.66906,NA,NA,NA,NA,NA,3027.689,NA,NA,NA,NA,NA,NA,NA,NA
15856,-1.49947,4.94516,5,NA,NA,NA,NA,NA,NA,9410.427,NA,NA,NA,NA,NA,NA,NA
16163,-1.39243,5,5,NA,6480.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16219,-1.68051,5,5,NA,NA,NA,NA,NA,NA,5168.842,NA,NA,NA,NA,NA,NA,NA
16451,-1.98323,5,5,5835.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16650,-0.849136,5,4.79866,NA,NA,NA,NA,NA,13811.348,NA,NA,NA,NA,NA,NA,NA,NA
16827,-0.599705,5,5,NA,NA,NA,NA,NA,6410.107,NA,NA,NA,NA,NA,NA,NA,NA
17162,-0.649153,5,4.88744,15858.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17386,-2.05534,5,5,NA,NA,NA,NA,NA,4692.887,NA,NA,NA,NA,NA,NA,NA,NA
17477,-2.02988,5,4.31233,NA,NA,NA,4998.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17744,-1.38763,5,4.4062,NA,NA,NA,NA,NA,4348.654,NA,NA,NA,NA,NA,NA,NA,NA
17835,-1.95926,4.2964,3.27461,NA,NA,NA,NA,NA,NA,950.194,NA,NA,NA,NA,NA,NA,NA
18050,-1.58138,5,3.84228,NA,NA,NA,2871.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18297,-2.21069,5,4.87553,2753.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18441,-0.0277755,4.86947,5,NA,3821.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18754,-1.07287,5,5,3594.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18886,-0.646265,4.86006,5,NA,NA,NA,NA,NA,10864.375,NA,NA,NA,NA,NA,NA,NA,NA
19016,-0.989598,4.68951,5,NA,NA,NA,NA,NA,3095.89,NA,NA,NA,NA,NA,NA,NA,NA
19283,-0.796277,4.86823,4.89966,NA,NA,NA,NA,NA,18519.594,NA,NA,NA,NA,NA,NA,NA,NA
19430,-1.4092,5,4.75089,NA,NA,NA,11310.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19606,-0.846508,5,4.7387,NA,NA,NA,NA,NA,11785.137,NA,NA,NA,NA,NA,NA,NA,NA
19880,-0.919397,5,5,NA,NA,NA,NA,NA,8382.936,NA,NA,NA,NA,NA,NA,NA,NA
20036,-1.37106,5,5,NA,NA,NA,NA,NA,3338.885,NA,NA,NA,NA,NA,NA,NA,NA
20368,-0.183682,5,5,NA,4887.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20524,-0.0178111,3.27431,5,2098.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20656,-0.256219,3.28407,5,3584.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20977,-1.40267,3.69998,5,NA,NA,NA,5581.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21023,-1.59568,4.71848,5,NA,NA,NA,NA,NA,NA,11444.01,NA,NA,NA,NA,NA,NA,NA
21201,-1.63666,4.89555,5,NA,NA,NA,9268.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21461,-2.05952,5,5,4875.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21725,-1.59689,4.42403,5,3832.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21986,-1.71546,5,5,NA,NA,NA,1501.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22023,-2.0875,5,5,6312.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22380,-1.51327,5,5,NA,NA,NA,NA,NA,NA,14381.247,NA,NA,NA,NA,NA,NA,NA
22401,-0.862569,5,5,15546.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22717,-0.653396,5,5,5264.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22865,-0.876388,5,5,9009.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23159,-1.18522,5,5,NA,NA,NA,5735.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23380,-2.85582,4.98095,4.9635,3158.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23576,-2.19999,4.29822,4.66937,NA,NA,NA,1947.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23678,-1.31362,4.79943,5,NA,7899.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23993,-1.8811,5,5,NA,NA,NA,NA,NA,NA,1081.965,NA,NA,NA,NA,NA,NA,NA
24009,-2.33928,4.98725,5,NA,NA,NA,NA,NA,NA,761.588,NA,NA,NA,NA,NA,NA,NA
24373,-1.86415,5,5,4334.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24587,-1.51629,5,4.13816,5943.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24794,-1.3203,4.24587,5,6576.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24835,-0.732418,5,5,NA,NA,NA,NA,NA,10832.045,NA,NA,NA,NA,NA,NA,NA,NA
25143,-0.679732,4.99959,5,NA,NA,NA,NA,NA,9212.317,NA,NA,NA,NA,NA,NA,NA,NA
25301,-1.33517,5,5,NA,NA,NA,8455.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25451,-1.01796,4.85538,4.87603,NA,NA,NA,NA,NA,9295.919,NA,NA,NA,NA,NA,NA,NA,NA
25644,-1.37976,4.72692,5,NA,4720.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25881,-0.668793,5,4.9559,NA,NA,NA,NA,NA,NA,8601.265,NA,NA,NA,NA,NA,NA,NA
26101,-0.133081,4.85432,5,NA,NA,NA,5738.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26285,-1.00743,4.72533,4.38723,NA,NA,NA,NA,NA,NA,4374.74,NA,NA,NA,NA,NA,NA,NA
26453,0.318087,5,5,NA,NA,NA,NA,NA,3007.305,NA,NA,NA,NA,NA,NA,NA,NA
26793,-0.948482,5,5,NA,NA,NA,NA,NA,3373.212,NA,NA,NA,NA,NA,NA,NA,NA
26963,-0.762272,5,5,NA,NA,NA,NA,NA,NA,7104.453,NA,NA,NA,NA,NA,NA,NA
27187,-1.36616,5,5,NA,NA,NA,NA,1871.869,NA,NA,NA,NA,NA,NA,NA,NA,NA
27253,-0.669529,5,5,NA,NA,NA,NA,NA,3422.499,NA,NA,NA,NA,NA,NA,NA,NA
27543,0.232738,5,5,3035.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27649,-0.479114,4.88282,5,2102.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27819,-0.0269301,5,5,NA,NA,NA,6464.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28143,-0.862368,5,4.99385,NA,NA,NA,NA,NA,10289.253,NA,NA,NA,NA,NA,NA,NA,NA
28343,-0.211377,5,5,NA,NA,NA,11018.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28430,-0.693742,5,5,12406.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28707,-0.167407,5,3.33617,3522.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28804,-0.581349,5,4.34425,NA,NA,NA,NA,NA,NA,4091.52,NA,NA,NA,NA,NA,NA,NA
29037,-0.470895,5,5,336.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29369,-0.898834,5,5,14673.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29559,-0.85632,5,5,NA,NA,NA,NA,NA,11007.973,NA,NA,NA,NA,NA,NA,NA,NA
29610,-0.632223,4.90631,5,11066.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29947,-0.957988,5,5,11304.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30200,-0.967818,4.81456,5,NA,NA,NA,NA,NA,NA,9227.702,NA,NA,NA,NA,NA,NA,NA
30285,-1.55479,4.89904,5,NA,NA,NA,NA,NA,NA,7673.767,NA,NA,NA,NA,NA,NA,NA
30462,-0.200001,4.90022,5,NA,NA,NA,NA,NA,NA,11450.802,NA,NA,NA,NA,NA,NA,NA
30724,-0.663533,5,5,NA,NA,NA,NA,NA,NA,7765.741,NA,NA,NA,NA,NA,NA,NA
30896,-1.2971,5,5,NA,NA,NA,12836.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31059,-0.908627,4.26361,5,NA,NA,NA,8485.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31349,-1.39172,5,5,NA,NA,NA,17149.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31599,-1.54091,5,4.66215,NA,NA,NA,NA,NA,NA,11105.512,NA,NA,NA,NA,NA,NA,NA
31725,-0.849035,5,5,NA,NA,NA,NA,NA,7658.485,NA,NA,NA,NA,NA,NA,NA,NA
31967,-0.791138,4.77196,5,NA,NA,NA,NA,NA,NA,8963.37,NA,NA,NA,NA,NA,NA,NA
32130,-1.45039,4.42703,4.87593,7393.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32358,-1.18339,5,5,NA,NA,NA,5562.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32514,-1.38506,4.90371,5,NA,NA,NA,NA,NA,NA,10605.811,NA,NA,NA,NA,NA,NA,NA
32754,-0.738488,4.76872,5,13230.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32940,-0.682688,5,5,NA,NA,4032.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33070,-0.928308,4.68616,5,NA,NA,3467.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33381,-0.189709,5,5,NA,4791.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33529,-0.355428,5,4.95659,NA,3226.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33682,-0.319468,5,4.81536,NA,4047.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33833,-0.431104,5,5,NA,NA,NA,1568.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34037,-0.84065,5,4.61785,1999.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34291,-0.879885,5,4.39628,NA,NA,NA,NA,NA,NA,6912.248,NA,NA,NA,NA,NA,NA,NA
34494,-1.56881,5,4.90147,NA,NA,NA,NA,NA,NA,NA,NA,NA,3460.685,NA,NA,NA,NA
34637,-2.3874,4.84647,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.682,NA,NA,NA
34852,-1.39443,4.63913,4.66737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3972.322,NA,NA
35126,-0.789097,5,4.84784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23045.36,NA
35382,-1.44233,4.70505,4.13193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5341.928,NA
35480,-1.31162,4.30354,4.9007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7973.041,NA
35795,-0.824315,4.54922,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2501.647,NA
35846,-0.879284,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12097.873,NA
36050,0.442852,5,4.90462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3350.199,NA
36283,-0.732869,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15444.856,NA
36472,-0.745877,4.69107,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15281.225,NA
36658,0.838912,4.36803,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800.484,NA
36853,-0.797788,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13057.017,NA
37001,-0.558243,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5460.273,NA
37236,-0.819411,4.97519,4.76408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17133.936,NA
37498,-1.00607,5,4.68635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6271.808,NA
37688,-0.804397,4.8343,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17282.222,NA
37801,-0.63944,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9384.109,NA
38062,-0.740807,5,4.97204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13976.282,NA
38260,-0.847686,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16886.523,NA
38586,-0.845382,4.68503,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11391.1,NA
38765,-0.623626,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8692.75,NA
38966,-0.647691,4.7202,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11205.35,NA
39027,-1.30778,5,4.28118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6821.579,NA,NA
39249,-0.866682,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12378.145,NA
39571,-0.727854,4.92166,4.87374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20620.943,NA
39621,-1.48193,4.15082,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5291.242,NA
39954,-0.808363,5,4.65956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10083.023,NA
40175,-2.10118,4.8743,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6272.255,NA
40221,-2.14204,5,4.88329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5189.625,NA
40418,-1.44539,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6746.006,NA,NA
40706,-2.10376,4.87383,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6215.273,NA
40910,-0.802146,4.93567,4.98477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17151.136,NA
41197,-0.551922,5,4.97321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5233.174,NA,NA
41252,-1.05141,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4376.786,NA
41435,-1.89646,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4262.344,NA
41708,-0.683018,4.81559,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14384.498,NA
41857,-0.844041,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12762.122,NA
42159,-0.703347,5,4.94379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14102.205,NA
42244,-0.733219,4.86773,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8365.027,NA,NA
42486,-0.711629,5,4.95633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13916.361,NA
42626,-0.597328,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7454.749,NA
42807,-0.883132,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879.563,NA,NA
43147,-0.781732,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265.547,NA,NA
43201,-0.517267,4.75272,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3775.985,NA
43413,-1.27098,4.56024,4.91083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690.364,NA,NA
43745,-1.32006,4.77702,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6451.502
43865,-1.94669,3.8042,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876.148,NA
44167,-1.21266,4.15997,4.88491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4411.187,NA
44265,-1.07432,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2984.673,NA
44558,0.270253,4.82286,4.56606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156.643,NA
44639,2.42231,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893.061,NA
44967,1.32513,5,4.87585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3496.774,NA
45098,-0.820226,5,4.89769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16982.978,NA
45282,-0.79289,4.30899,4.23302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5048.329,NA
45403,-0.143145,4.80919,4.83135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7584.883
45789,-1.46208,4.13306,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5430.782,NA
45912,-0.688817,5,4.84024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14901.356,NA
46065,0.314794,5,4.9704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3851.88,NA
46223,-0.571611,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7061.711,NA,NA
46433,-0.290959,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1412.948,NA,NA
