id,x0,x1,x2,fitness-0.5,fitness-1.5,fitness-3,fitness-2.5,fitness-2,fitness-3.5,fitness-4,fitness-1
15854,2.3239,2.5079,-4.47853,NA,NA,NA,NA,-36.801,NA,NA,NA
16058,1.43788,2.40995,-4.75078,NA,NA,NA,NA,-34.103,NA,NA,NA
16276,1.84979,1.62005,-4.43426,NA,NA,NA,-2.672,NA,NA,NA,NA
16528,2.2495,2.37902,-4.87194,NA,NA,NA,NA,-32.172,NA,NA,NA
16730,2.02825,1.19481,-4.42496,NA,NA,NA,-11.078,NA,NA,NA,NA
16808,1.45424,1.98362,-4.90932,NA,-33.251,NA,NA,NA,NA,NA,NA
17144,2.24692,1.61411,-4.27932,NA,NA,NA,-8.7,NA,NA,NA,NA
17231,2.5308,2.76396,-4.14138,NA,-58.417,NA,NA,NA,NA,NA,NA
17563,1.98377,2.59162,-4.24996,NA,NA,NA,-24.06,NA,NA,NA,NA
17704,1.49219,2.31287,-4.57847,NA,NA,NA,-17.264,NA,NA,NA,NA
17810,2.08478,1.83537,-4.54719,NA,NA,NA,NA,-8.24,NA,NA,NA
18037,2.28861,1.60961,-4.19123,NA,NA,NA,NA,NA,-39.141,NA,NA
18336,2.53172,1.29089,-4.23411,NA,NA,NA,NA,NA,-34.616,NA,NA
18490,1.45011,1.18052,-4.38232,NA,NA,NA,-13.787,NA,NA,NA,NA
18651,1.21863,1.61288,-4.96644,NA,NA,-28.827,NA,NA,NA,NA,NA
18882,1.00194,0.968632,-4.76599,NA,NA,NA,NA,-61.037,NA,NA,NA
19080,1.53692,1.22295,-4.14075,NA,NA,NA,NA,-12.833,NA,NA,NA
19396,1.39538,1.92758,-3.88363,NA,NA,-17.443,NA,NA,NA,NA,NA
19548,1.4561,1.19971,-4.03208,NA,NA,-17.641,NA,NA,NA,NA,NA
19728,2.36026,0.681364,-4.70137,NA,NA,NA,-56.21,NA,NA,NA,NA
19960,1.78958,0.864786,-4.11858,NA,-59.955,NA,NA,NA,NA,NA,NA
20009,1.78512,2.02284,-4.50705,NA,NA,NA,-7.335,NA,NA,NA,NA
20242,2.15352,2.46398,-4.97747,NA,NA,-33.442,NA,NA,NA,NA,NA
20505,2.40201,2.09578,-4.29975,NA,NA,-18.044,NA,NA,NA,NA,NA
20619,2.88183,1.89623,-4.69566,NA,NA,NA,-35.397,NA,NA,NA,NA
20894,1.74906,1.65435,-4.24882,NA,NA,NA,NA,-3.618,NA,NA,NA
21024,1.96306,2.42491,-4.06907,NA,NA,NA,NA,NA,-32.745,NA,NA
21347,1.19276,1.86763,-4.6506,NA,NA,-18.054,NA,NA,NA,NA,NA
21450,2.04277,1.64071,-4.98011,NA,NA,NA,-16.034,NA,NA,NA,NA
21742,2.42542,1.81335,-4.87568,NA,NA,NA,NA,-23.687,NA,NA,NA
21861,1.56183,1.83741,-4.48366,NA,-38.596,NA,NA,NA,NA,NA,NA
22033,1.32419,1.41479,-4.75987,NA,NA,NA,-16.586,NA,NA,NA,NA
22267,2.44021,1.88513,-4.3872,NA,NA,NA,-15.474,NA,NA,NA,NA
22472,1.91627,2.23503,-4.39385,NA,NA,NA,NA,-17.009,NA,NA,NA
22792,1.80247,2.28721,-4.1902,NA,NA,NA,NA,-16.469,NA,NA,NA
22844,1.81491,2.68761,-4.87239,NA,NA,NA,-33.472,NA,NA,NA,NA
23123,1.36386,1.87242,-4.07438,NA,NA,NA,NA,-13.039,NA,NA,NA
23358,1.33885,2.44322,-4.19137,NA,NA,NA,-22.146,NA,NA,NA,NA
23507,1.99412,1.55053,-3.82849,NA,NA,NA,NA,-19.59,NA,NA,NA
23717,1.7858,1.43121,-4.68503,NA,NA,NA,NA,-19.342,NA,NA,NA
23815,1.49399,2.42023,-4.22379,NA,NA,NA,-19.19,NA,NA,NA,NA
24198,1.93887,2.65078,-4.63424,NA,NA,NA,-28.776,NA,NA,NA,NA
24325,1.78235,1.44905,-4.27276,NA,NA,NA,NA,-11.483,NA,NA,NA
24411,1.35993,1.05644,-4.52139,NA,NA,NA,-23.621,NA,NA,NA,NA
24788,2.0936,0.788675,-4.32938,NA,NA,NA,-34.579,NA,NA,NA,NA
24922,1.94555,1.16196,-4.60521,NA,NA,NA,-14.515,NA,NA,NA,NA
25054,1.14235,1.89891,-4.43518,NA,NA,NA,-15.056,NA,NA,NA,NA
25250,1.58698,1.86482,-3.79986,NA,NA,-20.611,NA,NA,NA,NA,NA
25593,2.05936,1.36389,-3.82635,NA,NA,NA,-13.319,NA,NA,NA,NA
25632,2.32092,1.95378,-4.71449,NA,NA,-16.981,NA,NA,NA,NA,NA
25895,2.37205,1.78782,-3.79073,NA,NA,NA,NA,-21.225,NA,NA,NA
26135,2.20191,1.18943,-4.16651,NA,NA,NA,NA,-16.407,NA,NA,NA
26346,0.742753,1.58993,-4.54485,NA,NA,NA,-36.248,NA,NA,NA,NA
26466,1.97551,1.84246,-4.62117,NA,NA,NA,-5.847,NA,NA,NA,NA
26687,1.83807,2.03544,-4.80472,NA,NA,NA,-11.909,NA,NA,NA,NA
26903,1.99296,2.08573,-4.65078,NA,NA,NA,NA,-17.316,NA,NA,NA
27005,2.08523,2.3466,-4.82062,NA,NA,NA,-21.652,NA,NA,NA,NA
27220,1.48908,1.14784,-4.41282,NA,NA,NA,-15.16,NA,NA,NA,NA
27531,1.09238,1.87993,-4.19774,NA,NA,NA,NA,NA,-32.851,NA,NA
27646,2.02056,1.5733,-4.77883,NA,NA,-22.564,NA,NA,NA,NA,NA
27809,2.90062,1.26917,-4.44923,NA,NA,-39.552,NA,NA,NA,NA,NA
28035,1.87294,1.12077,-4.69211,NA,NA,NA,-15.836,NA,NA,NA,NA
28326,1.81616,1.32947,-4.56556,NA,NA,NA,-5.693,NA,NA,NA,NA
28477,1.47479,1.93826,-3.40575,NA,NA,-39.816,NA,NA,NA,NA,NA
28714,1.87845,1.48529,-4.99666,NA,NA,NA,NA,-21.621,NA,NA,NA
28959,2.40361,1.55742,-4.6129,NA,NA,NA,-14.815,NA,NA,NA,NA
29105,1.83308,1.17354,-4.56346,NA,NA,NA,-11.617,NA,NA,NA,NA
29357,2.32948,0.440612,-4.32136,NA,NA,NA,NA,-77.098,NA,NA,NA
29423,1.6534,1.3599,-4.36847,NA,-42.005,NA,NA,NA,NA,NA,NA
29759,2.38063,2.13832,-4.44151,NA,NA,NA,-18.043,NA,NA,NA,NA
29807,1.61098,1.88342,-4.6616,NA,NA,NA,NA,-21.396,NA,NA,NA
30093,1.40864,1.37957,-3.58104,NA,NA,NA,NA,NA,-40.793,NA,NA
30286,1.67725,1.81344,-3.79608,NA,NA,-14.222,NA,NA,NA,NA,NA
30530,2.2618,1.67556,-4.42106,NA,NA,NA,NA,-18.184,NA,NA,NA
30700,1.58644,1.46423,-3.85689,NA,NA,NA,-9.886,NA,NA,NA,NA
30863,1.85429,1.58998,-4.10303,NA,NA,NA,NA,-10.771,NA,NA,NA
31041,1.2226,2.31318,-4.48512,NA,NA,-21.817,NA,NA,NA,NA,NA
31279,2.00781,2.03627,-4.38848,NA,NA,NA,-7.647,NA,NA,NA,NA
31567,1.67081,1.41426,-4.86136,NA,NA,NA,-12.816,NA,NA,NA,NA
31712,2.99825,1.90773,-4.55403,NA,NA,-45.134,NA,NA,NA,NA,NA
31952,2.67577,1.5169,-4.28286,NA,NA,NA,NA,-29.434,NA,NA,NA
32029,2.50656,1.66967,-4.29381,NA,NA,NA,-15.749,NA,NA,NA,NA
32242,2.74776,1.61118,-4.94557,NA,NA,NA,-33.522,NA,NA,NA,NA
32549,2.94836,1.3657,-4.86316,NA,NA,NA,-43.647,NA,NA,NA,NA
32750,2.54787,2.43396,-4.62966,NA,NA,NA,-32.228,NA,NA,NA,NA
32927,2.22819,1.75845,-4.59799,NA,NA,NA,-9.707,NA,NA,NA,NA
33087,1.66575,2.21349,-4.47368,NA,NA,NA,-11.902,NA,NA,NA,NA
33230,2.05728,2.50292,-4.51486,NA,NA,-31.009,NA,NA,NA,NA,NA
33410,2.05758,1.97561,-4.95475,NA,NA,-17.948,NA,NA,NA,NA,NA
33766,2.06505,2.19437,-4.23336,NA,NA,NA,-11.834,NA,NA,NA,NA
33982,2.24789,1.66769,-4.82129,NA,NA,NA,NA,-21.119,NA,NA,NA
34036,1.75939,2.33235,-4.75651,NA,NA,NA,-18.783,NA,NA,NA,NA
34281,2.43764,2.48683,-4.3536,NA,NA,NA,NA,NA,-41.644,NA,NA
34447,2.6066,1.69278,-3.59211,NA,NA,NA,-35.583,NA,NA,NA,NA
34685,2.33823,1.22584,-3.80948,NA,NA,NA,NA,-34.006,NA,NA,NA
34990,1.84954,1.28811,-4.60268,NA,NA,NA,NA,-18.087,NA,NA,NA
35170,3.00068,1.02182,-4.58582,NA,NA,NA,NA,-57.499,NA,NA,NA
35267,1.69783,0.979941,-3.84682,NA,NA,NA,NA,-39.377,NA,NA,NA
35541,2.3066,1.76522,-3.65298,NA,NA,NA,-22.689,NA,NA,NA,NA
35607,1.08628,1.69628,-4.35422,NA,NA,NA,-16.856,NA,NA,NA,NA
35852,1.35811,2.35685,-4.85031,NA,NA,NA,-24.62,NA,NA,NA,NA
36071,2.13719,2.81145,-4.85193,NA,NA,NA,-40.257,NA,NA,NA,NA
36323,1.64167,2.06722,-4.5059,NA,NA,NA,-8.563,NA,NA,NA,NA
36422,1.94578,1.77602,-3.56849,NA,NA,NA,-20.246,NA,NA,NA,NA
36623,1.19135,1.4494,-4.13504,NA,NA,NA,-15.356,NA,NA,NA,NA
36949,2.00965,2.39154,-4.17076,NA,NA,-25.395,NA,NA,NA,NA,NA
37101,1.4888,1.52843,-4.89684,NA,NA,-15.741,NA,NA,NA,NA,NA
37237,1.70969,2.74512,-4.62267,NA,NA,-33.478,NA,NA,NA,NA,NA
37471,2.32507,1.19216,-3.78988,NA,NA,NA,-25.977,NA,NA,NA,NA
37790,1.95753,2.40444,-3.81754,NA,NA,NA,NA,NA,-45.841,NA,NA
37904,2.35782,1.64198,-4.50258,NA,NA,NA,NA,NA,-28.334,NA,NA
38143,2.17521,2.13264,-4.39837,NA,-34.99,NA,NA,NA,NA,NA,NA
38202,2.6718,1.76969,-4.31931,NA,NA,NA,NA,-26.408,NA,NA,NA
38415,2.01551,1.97856,-4.47581,NA,NA,-18.096,NA,NA,NA,NA,NA
38679,1.15314,1.30321,-4.83087,NA,NA,NA,-27.458,NA,NA,NA,NA
38907,2.26447,1.52358,-4.1442,NA,NA,NA,-9.252,NA,NA,NA,NA
39121,2.13937,1.63778,-3.69858,NA,NA,NA,NA,NA,-32.817,NA,NA
39244,1.97163,2.60852,-4.69739,NA,NA,NA,-27.502,NA,NA,NA,NA
39469,1.72322,1.58705,-4.40109,NA,NA,-5.471,NA,NA,NA,NA,NA
39668,1.98652,1.27543,-4.82655,NA,NA,-19.422,NA,NA,NA,NA,NA
39831,2.61648,0.810463,-4.32807,NA,NA,-54.099,NA,NA,NA,NA,NA
40025,2.63268,1.99404,-4.14474,NA,-48.67,NA,NA,NA,NA,NA,NA
40296,2.21969,1.87089,-4.4757,NA,-34.977,NA,NA,NA,NA,NA,NA
40554,1.67252,2.07026,-4.41414,NA,-26.292,NA,NA,NA,NA,NA,NA
40671,1.28435,1.73066,-4.07552,NA,NA,NA,NA,-15.077,NA,NA,NA
40943,1.43518,1.30109,-4.428,NA,NA,-14.098,NA,NA,NA,NA,NA
41071,1.57045,2.01162,-4.77979,NA,NA,NA,-12.03,NA,NA,NA,NA
41312,1.77544,1.61001,-4.75325,NA,NA,NA,-6.404,NA,NA,NA,NA
41600,1.70138,1.77184,-4.41043,NA,NA,-4.152,NA,NA,NA,NA,NA
41638,1.33567,2.14203,-4.56936,NA,NA,NA,-14.677,NA,NA,NA,NA
41968,1.54377,1.42246,-4.77464,NA,NA,-16.194,NA,NA,NA,NA,NA
42077,1.49722,2.15663,-4.91258,NA,NA,NA,-18.713,NA,NA,NA,NA
42375,1.63481,1.84753,-4.39878,NA,NA,NA,NA,NA,-32.373,NA,NA
42489,2.27882,1.72439,-4.15521,NA,NA,NA,-9.128,NA,NA,NA,NA
42627,2.25543,0.87327,-4.51809,NA,NA,NA,-33.667,NA,NA,NA,NA
42998,1.77464,3.20242,-3.57022,NA,NA,NA,NA,-71.917,NA,NA,NA
43135,2.06447,1.07667,-4.34989,NA,NA,NA,NA,NA,NA,-62.085,NA
43301,2.31824,1.402,-4.78057,NA,NA,NA,-17.458,NA,NA,NA,NA
43554,1.56942,2.0842,-4.21503,NA,NA,NA,-7.908,NA,NA,NA,NA
43644,1.40203,1.53305,-4.61562,NA,NA,NA,NA,-15.89,NA,NA,NA
43850,1.80309,0.87557,-4.05945,NA,NA,NA,NA,-42.643,NA,NA,NA
44049,2.16394,1.36684,-4.18682,NA,NA,-22.485,NA,NA,NA,NA,NA
44314,1.87932,1.93724,-4.27063,NA,NA,NA,NA,NA,-21.379,NA,NA
44518,1.59751,3.10119,-4.68089,NA,NA,NA,NA,NA,-62.141,NA,NA
44773,2.18885,2.37621,-4.71289,NA,NA,-26.78,NA,NA,NA,NA,NA
44878,2.46863,2.99768,-4.48903,NA,NA,NA,-52.612,NA,NA,NA,NA
45165,1.71678,1.45057,-4.57308,NA,NA,NA,NA,NA,-23.653,NA,NA
45372,1.79939,0.899228,-4.80495,NA,NA,NA,NA,NA,-49.44,NA,NA
45430,1.39922,2.2782,-4.79047,NA,NA,-30.806,NA,NA,NA,NA,NA
45745,2.05476,1.83677,-4.54013,NA,NA,-10.886,NA,NA,NA,NA,NA
45828,2.20279,1.58693,-4.79429,NA,NA,NA,-12.983,NA,NA,NA,NA
46185,1.82079,1.34038,-4.10255,NA,NA,NA,-4.906,NA,NA,NA,NA
46339,1.33367,2.04898,-4.56888,NA,NA,NA,-13.623,NA,NA,NA,NA
46570,1.1816,1.14541,-4.89212,NA,NA,NA,-34.948,NA,NA,NA,NA
46626,0.970386,1.28746,-4.69131,NA,NA,NA,-34.942,NA,NA,NA,NA
46925,1.07317,1.45997,-4.78499,NA,NA,NA,-25.659,NA,NA,NA,NA
47162,0.943028,2.67314,-4.84773,NA,NA,NA,NA,-48.595,NA,NA,NA
47281,-0.105858,2.07442,-4.73167,NA,NA,-91.595,NA,NA,NA,NA,NA
47477,0.889682,1.56995,-4.95257,NA,NA,NA,-40.285,NA,NA,NA,NA
47749,1.94455,2.15146,-4.52789,NA,NA,NA,-10.974,NA,NA,NA,NA
47862,1.24765,1.28825,-4.20145,NA,NA,NA,-17.156,NA,NA,NA,NA
48119,2.25341,1.36542,-4.82656,NA,NA,NA,NA,-27.326,NA,NA,NA
48329,2.73,2.29554,-4.50255,NA,NA,NA,-34.256,NA,NA,NA,NA
48404,0.812749,1.12145,-4.62969,NA,NA,NA,-53.341,NA,NA,NA,NA
48655,1.83755,0.89628,-4.03727,NA,NA,-33.247,NA,NA,NA,NA,NA
48808,1.57425,2.3332,-4.94964,NA,NA,NA,-23.995,NA,NA,NA,NA
49199,1.54347,1.67205,-4.69668,NA,NA,NA,-7.601,NA,NA,NA,NA
49332,2.1017,2.95257,-4.8255,NA,-59.859,NA,NA,NA,NA,NA,NA
49536,1.94158,2.22829,-3.72898,NA,-37.776,NA,NA,NA,NA,NA,NA
49773,1.24766,1.72344,-4.81955,NA,NA,-20.899,NA,NA,NA,NA,NA
49917,2.6273,1.92013,-4.4951,NA,NA,NA,-22.705,NA,NA,NA,NA
50135,2.58083,0.987582,-4.50372,NA,NA,NA,NA,-40.459,NA,NA,NA
50326,2.26272,1.70353,-4.95616,NA,NA,NA,NA,-20.324,NA,NA,NA
50405,1.74825,3.10854,-4.48338,NA,NA,NA,-49.547,NA,NA,NA,NA
50610,2.04252,1.81574,-3.79718,NA,NA,NA,NA,-19.002,NA,NA,NA
50974,1.33056,2.13423,-4.01778,NA,NA,-26.258,NA,NA,NA,NA,NA
51065,1.39628,1.40998,-4.28088,NA,NA,NA,-6.946,NA,NA,NA,NA
51231,1.45362,2.16013,-4.79714,NA,NA,NA,NA,-24.841,NA,NA,NA
51499,1.52326,2.11182,-4.28579,NA,NA,NA,NA,-12.932,NA,NA,NA
51603,1.44026,1.73336,-3.84082,NA,NA,-19.415,NA,NA,NA,NA,NA
51894,0.86815,1.90091,-4.70931,NA,NA,NA,-30.205,NA,NA,NA,NA
52080,1.63335,1.09649,-4.35777,NA,NA,NA,NA,NA,NA,-52.599,NA
52285,1.27954,1.51101,-3.22624,NA,NA,-52.486,NA,NA,NA,NA,NA
52418,1.0039,1.7591,-3.67503,NA,NA,-37.476,NA,NA,NA,NA,NA
52716,2.0826,2.29688,-4.21928,NA,NA,NA,-14.782,NA,NA,NA,NA
52981,2.56218,1.70384,-4.60771,NA,NA,NA,NA,-22.127,NA,NA,NA
53168,1.48162,1.07086,-4.26454,NA,NA,NA,NA,NA,-35.747,NA,NA
53265,1.42233,1.72504,-3.7951,NA,NA,NA,NA,NA,-35.751,NA,NA
53414,1.85931,1.09312,-4.36233,NA,NA,-20.419,NA,NA,NA,NA,NA
53617,2.15324,2.03247,-4.53972,NA,NA,NA,NA,-14.148,NA,NA,NA
53938,2.40994,1.61477,-4.36256,NA,NA,NA,-12.393,NA,NA,NA,NA
54096,1.66342,1.52671,-4.61455,NA,NA,NA,NA,-7.216,NA,NA,NA
54288,1.18646,1.6255,-4.116,NA,NA,NA,NA,-18.949,NA,NA,NA
54568,0.72447,1.59306,-4.73833,NA,NA,NA,NA,-54.149,NA,NA,NA
54786,1.96452,1.67896,-4.64991,NA,NA,NA,-6.611,NA,NA,NA,NA
54801,1.60258,1.8023,-3.90551,NA,NA,NA,NA,-19.753,NA,NA,NA
55131,2.19769,2.82943,-4.79359,NA,NA,NA,NA,NA,NA,NA,-73.075
55359,2.48008,1.7909,-3.8682,NA,NA,NA,NA,NA,-38.035,NA,NA
55441,1.40411,2.12463,-4.12933,NA,NA,NA,-12.632,NA,NA,NA,NA
55789,2.19116,1.78865,-4.53099,NA,NA,-16.492,NA,NA,NA,NA,NA
55945,2.49852,0.963192,-4.80602,NA,NA,NA,NA,-42.262,NA,NA,NA
56146,1.27651,1.78353,-4.10516,NA,NA,NA,-10.143,NA,NA,NA,NA
56201,1.39475,2.82558,-4.73698,NA,NA,NA,NA,NA,NA,NA,-86.614
56535,1.39782,2.32732,-4.74994,NA,NA,NA,-20.936,NA,NA,NA,NA
56694,2.7013,1.70435,-4.13383,NA,NA,-27.939,NA,NA,NA,NA,NA
56947,1.95299,1.67074,-4.57771,NA,NA,NA,-4.053,NA,NA,NA,NA
57188,2.09769,2.6399,-4.52349,NA,NA,NA,NA,-29.292,NA,NA,NA
57208,1.28365,2.11407,-4.22882,NA,NA,NA,NA,NA,-27.119,NA,NA
57535,0.843179,2.17477,-4.65817,NA,NA,NA,NA,NA,-45.998,NA,NA
57691,1.32131,1.53902,-3.96336,NA,NA,NA,-13.412,NA,NA,NA,NA
57862,1.28154,2.05689,-4.08674,NA,NA,-19.801,NA,NA,NA,NA,NA
58158,1.37669,0.746246,-4.59591,NA,NA,NA,-49.51,NA,NA,NA,NA
58229,1.3662,2.06019,-4.99704,NA,NA,-26.178,NA,NA,NA,NA,NA
58467,2.46689,2.43213,-4.79077,NA,NA,NA,-32.385,NA,NA,NA,NA
58781,1.65942,0.907168,-4.61203,NA,NA,NA,NA,-38.479,NA,NA,NA
58956,0.688128,1.82559,-4.27736,NA,NA,-36.074,NA,NA,NA,NA,NA
59136,1.83502,2.04255,-4.68352,NA,NA,NA,-9.912,NA,NA,NA,NA
59227,2.56281,2.47771,-4.40458,NA,NA,NA,-33.17,NA,NA,NA,NA
59502,0.979838,1.31881,-4.3103,NA,NA,NA,NA,NA,-41.46,NA,NA
59739,1.17702,1.51982,-4.27095,NA,NA,NA,-14.235,NA,NA,NA,NA
59935,1.74728,1.80042,-4.69656,NA,NA,NA,-7.516,NA,NA,NA,NA
60158,1.14318,1.89526,-4.6489,NA,NA,NA,NA,-21.621,NA,NA,NA
60288,1.39162,1.84296,-4.65379,NA,-38.226,NA,NA,NA,NA,NA,NA
60411,2.94424,1.58234,-4.68823,NA,NA,-47.11,NA,NA,NA,NA,NA
60615,2.40351,0.731078,-3.67068,NA,NA,NA,-58.613,NA,NA,NA,NA
60849,2.32174,2.52159,-4.39909,NA,NA,NA,-26.84,NA,NA,NA,NA
61141,2.07868,2.08968,-4.80301,NA,NA,NA,-15.796,NA,NA,NA,NA
61258,2.3175,2.0916,-4.84723,NA,NA,-22.528,NA,NA,NA,NA,NA
61598,2.26156,1.7397,-4.36952,NA,NA,NA,NA,NA,-22.921,NA,NA
