id,x0,x1,x2,fitness-5,fitness-4.5,fitness-4,fitness-3.5,fitness-3
42605,-2.29716,4.03783,-4.88938,NA,NA,-56.654,NA,NA
42899,-2.36482,3.68764,-4.60192,NA,-49.666,NA,NA,NA
43175,-1.71524,3.49901,-4.75443,NA,-15.84,NA,NA,NA
43271,-1.54994,3.98574,-4.82379,NA,-11.826,NA,NA,NA
43535,-1.72645,3.53449,-4.99148,NA,-18.068,NA,NA,NA
43689,-2.10196,4.69767,-4.69299,-60.211,NA,NA,NA,NA
43976,-2.25287,4.4165,-4.66833,-55.326,NA,NA,NA,NA
44106,-2.31897,4.3955,-4.93553,NA,NA,NA,-62.605,NA
44262,-1.557,4.00473,-3.86108,-86.905,NA,NA,NA,NA
44474,-2.28992,4.11627,-4.11222,NA,NA,-67.582,NA,NA
44780,-3.12807,3.19427,-4.91439,NA,-92.59,NA,NA,NA
44856,-1.40746,3.90614,-4.50008,NA,-23.413,NA,NA,NA
45044,-1.01963,3.84223,-4.2303,NA,-99.234,NA,NA,NA
45204,-1.1344,4.21533,-4.85362,NA,-49.578,NA,NA,NA
45568,-1.61797,3.41695,-4.56414,NA,NA,-50.94,NA,NA
45693,-2.43339,3.18172,-3.26814,-144.145,NA,NA,NA,NA
45891,-2.85217,3.79127,-3.99225,NA,-86.774,NA,NA,NA
46070,-1.29294,3.60025,-4.5339,NA,NA,-46.026,NA,NA
46386,-1.58954,4.73919,-4.88209,NA,NA,NA,-103.521,NA
46512,-1.07953,4.08813,-4.49713,NA,NA,-58.546,NA,NA
46751,-1.91564,4.94447,-4.2827,NA,-85.054,NA,NA,NA
46856,-2.29966,4.04007,-4.76693,NA,-45.695,NA,NA,NA
47095,-0.996107,3.98816,-4.49769,NA,-65.715,NA,NA,NA
47276,-1.30799,4.42828,-4.51938,NA,-62.382,NA,NA,NA
47441,-1.48722,4.49809,-4.77763,NA,NA,NA,-75.399,NA
47796,-1.50679,3.37507,-4.75607,NA,-33.845,NA,NA,NA
47924,-2.55461,3.42019,-4.49117,NA,NA,-75.206,NA,NA
48019,-2.12828,3.73318,-4.99423,NA,-36.994,NA,NA,NA
48270,-1.52171,3.63602,-4.67643,NA,-5.587,NA,NA,NA
48427,-1.92808,4.36651,-4.9578,NA,NA,-43.814,NA,NA
48678,-2.31471,4.86124,-4.79112,-74.895,NA,NA,NA,NA
48814,-1.53203,4.82326,-4.77171,NA,-70.146,NA,NA,NA
49021,-2.27779,3.98352,-4.77037,NA,NA,-45.641,NA,NA
49320,-1.89484,4.42575,-3.83702,-90.22,NA,NA,NA,NA
49583,-3.27693,4.37733,-4.41393,NA,NA,-103.722,NA,NA
49770,-2.52279,4.78466,-3.85914,-97.037,NA,NA,NA,NA
49907,-1.53144,4.06812,-4.06611,NA,-67.783,NA,NA,NA
50195,-1.51062,3.7114,-4.13881,NA,-53.858,NA,NA,NA
50326,-1.5919,3.88889,-4.48897,NA,-31.671,NA,NA,NA
50578,-2.07429,4.37709,-4.85172,NA,NA,-71.369,NA,NA
50771,-2.68879,4.61075,-4.85511,NA,-77.796,NA,NA,NA
50920,-1.72107,3.99306,-4.47499,NA,-32.524,NA,NA,NA
51001,-1.61971,3.35461,-4.59177,NA,NA,-35.145,NA,NA
51299,-2.41498,4.26961,-4.18346,-76.26,NA,NA,NA,NA
51428,-1.74093,4.35474,-4.12287,NA,-59.259,NA,NA,NA
51773,-2.76591,3.61102,-4.47993,NA,-72.035,NA,NA,NA
51937,-2.35265,3.18614,-3.99485,NA,-95.675,NA,NA,NA
52120,-1.8023,3.83553,-4.39386,NA,NA,-41.265,NA,NA
52373,-2.5537,4.4489,-4.74305,NA,NA,-64.944,NA,NA
52573,-2.75748,3.44401,-4.34093,-76.464,NA,NA,NA,NA
52681,-2.02513,4.67939,-4.62735,NA,NA,-68.936,NA,NA
52826,-1.15785,4.01084,-4.31965,NA,-64.878,NA,NA,NA
53006,-1.23077,3.60665,-4.84465,NA,-29.319,NA,NA,NA
53307,-1.82929,4.32368,-4.79673,NA,-43.068,NA,NA,NA
53444,-1.22892,3.54073,-4.59356,NA,-28.898,NA,NA,NA
53777,-2.00345,4.4526,-4.68996,-59.282,NA,NA,NA,NA
53815,-2.11359,4.38575,-4.2188,NA,NA,-71.987,NA,NA
54049,-2.0615,3.44397,-4.7502,NA,-39.921,NA,NA,NA
54321,-1.83024,3.02691,-4.63509,-74.048,NA,NA,NA,NA
54485,-2.68896,4.25384,-4.254,-66.034,NA,NA,NA,NA
54645,-2.01368,4.27541,-4.81787,-56.613,NA,NA,NA,NA
54817,-1.89588,4.08111,-4.36226,NA,NA,-50.132,NA,NA
55086,-1.60505,4.42081,-4.91442,NA,NA,NA,-77.673,NA
55250,-2.27184,4.971,-3.60595,NA,NA,-121.198,NA,NA
55584,-2.57689,4.03948,-4.48416,NA,-61.576,NA,NA,NA
55708,-1.96541,4.32341,-4.42686,-46.903,NA,NA,NA,NA
55886,-2.09636,3.36188,-4.85339,NA,-33.328,NA,NA,NA
56090,-2.3455,3.55916,-4.52839,-59.566,NA,NA,NA,NA
56330,-2.1857,4.12976,-4.63854,NA,-45.303,NA,NA,NA
56431,-2.17934,4.0484,-3.85237,NA,NA,NA,-125.172,NA
56708,-1.93557,3.46923,-4.69708,NA,-39.422,NA,NA,NA
56807,-2.50762,4.03163,-4.45028,NA,-60.536,NA,NA,NA
57071,-1.80463,3.28434,-4.9751,NA,NA,-43.917,NA,NA
57287,-2.19659,4.15557,-4.96411,NA,NA,-49.264,NA,NA
57409,-1.8435,3.60128,-4.89756,NA,-27.903,NA,NA,NA
57767,-2.46993,4.21094,-4.59887,NA,-58.705,NA,NA,NA
57991,-1.47531,3.87145,-4.98843,NA,NA,NA,-51.672,NA
58030,-1.88568,4.57125,-4.65857,NA,NA,-72.643,NA,NA
58293,-2.57012,4.14901,-4.34387,NA,-65.184,NA,NA,NA
58546,-1.7485,4.38931,-4.14904,NA,NA,-64.732,NA,NA
58788,-2.53915,4.99692,-4.62972,NA,-82.468,NA,NA,NA
58865,-2.01472,4.79967,-4.75289,NA,-77.676,NA,NA,NA
59180,-1.62862,4.69873,-4.83731,NA,NA,-87.812,NA,NA
59272,-2.49824,4.39708,-4.55265,NA,-63.155,NA,NA,NA
59547,-2.14388,4.01701,-4.12296,NA,-62.927,NA,NA,NA
59761,-2.11639,3.62572,-4.79299,NA,NA,-45.79,NA,NA
59954,-2.20292,2.87683,-4.67465,NA,-83.211,NA,NA,NA
60079,-1.18375,3.99748,-4.38238,NA,-58.749,NA,NA,NA
60202,-1.2261,3.49821,-4.2039,-86.752,NA,NA,NA,NA
60507,-1.15436,3.38975,-4.56519,-66.832,NA,NA,NA,NA
60710,-2.49981,3.25217,-4.50263,NA,NA,-88.921,NA,NA
60994,-2.52072,3.74362,-4.63936,NA,NA,-61.201,NA,NA
61057,-3.50204,4.55811,-4.20949,NA,-124.471,NA,NA,NA
61286,-2.0266,3.72299,-4.98427,NA,-34.517,NA,NA,NA
61553,-1.68587,3.8401,-4.81101,NA,-16.405,NA,NA,NA
61629,-0.990293,4.75225,-4.45742,NA,-99.863,NA,NA,NA
61834,-1.95015,4.65382,-4.25571,NA,-53.532,NA,NA,NA
62041,-1.64381,4.00974,-4.33598,-53.732,NA,NA,NA,NA
62277,-1.16229,4.18811,-4.58229,-67.143,NA,NA,NA,NA
62578,-1.33898,3.69406,-4.90528,-26.663,NA,NA,NA,NA
62770,-2.02083,3.99521,-4.19006,-62.765,NA,NA,NA,NA
62862,-1.44775,4.05023,-4.53603,NA,-33.816,NA,NA,NA
63090,-2.2027,4.99214,-4.78579,NA,-77.208,NA,NA,NA
63396,-1.51097,3.87476,-3.7249,-93.622,NA,NA,NA,NA
63592,-2.75129,3.58925,-4.70701,NA,-67.41,NA,NA,NA
63626,-2.28405,4.66801,-4.0637,-80.113,NA,NA,NA,NA
63949,-1.94722,4.23309,-4.97378,-57.619,NA,NA,NA,NA
64127,-2.21255,3.92734,-4.93589,NA,NA,NA,-68.176,NA
64210,-2.02001,3.52906,-4.3539,-49.399,NA,NA,NA,NA
64488,-1.69599,3.95784,-4.322,NA,-50.678,NA,NA,NA
64667,-1.59855,3.89382,-4.45443,-39.462,NA,NA,NA,NA
64818,-1.11231,4.02091,-4.51001,NA,NA,-68.05,NA,NA
65092,-1.35242,4.66811,-4.80166,-48.955,NA,NA,NA,NA
65389,-1.94359,4.25626,-3.71751,NA,-68.392,NA,NA,NA
65436,-2.06306,3.88305,-4.97468,NA,-38.051,NA,NA,NA
65769,-2.07226,3.88457,-4.24623,NA,-40.633,NA,NA,NA
65862,-1.60585,3.40755,-4.96926,-30.546,NA,NA,NA,NA
66104,-2.51132,4.04577,-4.95296,-57.929,NA,NA,NA,NA
66285,-1.95224,4.79401,-4.71696,-61.875,NA,NA,NA,NA
66577,-1.49505,3.82323,-4.95094,-22.618,NA,NA,NA,NA
66630,-2.20326,3.87639,-4.47972,NA,NA,-51.606,NA,NA
66810,-1.87899,2.97946,-4.82267,-68.124,NA,NA,NA,NA
67039,-1.90001,3.85471,-4.31827,NA,NA,-52.228,NA,NA
67393,-1.86449,4.33,-4.60159,NA,NA,NA,-68.213,NA
67489,-2.0043,3.56724,-4.68947,NA,-29.393,NA,NA,NA
67669,-2.76361,4.88686,-4.70532,NA,NA,NA,-96.52,NA
67971,-1.63815,4.38709,-4.74262,NA,NA,-50.263,NA,NA
68200,-1.31273,3.96308,-4.85349,-39.828,NA,NA,NA,NA
68216,-2.02455,4.00343,-4.42007,NA,-45.354,NA,NA,NA
68416,-1.75333,3.71364,-4.06131,NA,-65.446,NA,NA,NA
68793,-2.66592,4.09887,-4.70577,NA,NA,NA,-90.701,NA
68855,-2.59586,3.6466,-4.9292,NA,NA,NA,-73.341,NA
69084,-2.32869,3.68617,-3.98003,NA,NA,NA,-114.565,NA
69354,-1.79152,4.46276,-3.79302,NA,NA,NA,-121.591,NA
69477,-2.44139,3.83614,-4.83525,-63.382,NA,NA,NA,NA
69800,-2.71011,4.15474,-4.53375,NA,-67.89,NA,NA,NA
69855,-1.6315,4.03703,-4.98892,NA,NA,-18.522,NA,NA
70174,-1.52647,3.40162,-4.3518,-60.04,NA,NA,NA,NA
70223,-1.63525,3.75539,-4.52372,NA,-23.385,NA,NA,NA
70583,-1.15326,4.01714,-4.65172,NA,-34.699,NA,NA,NA
70681,-2.18509,4.6945,-4.7852,-65.026,NA,NA,NA,NA
70856,-2.21326,4.76152,-4.40015,NA,NA,-76.494,NA,NA
71060,-1.45151,4.4719,-4.85756,-56.646,NA,NA,NA,NA
71245,-2.42841,3.51405,-4.76063,-55.166,NA,NA,NA,NA
71432,-1.2746,4.07548,-4.42104,NA,-48.092,NA,NA,NA
71647,-2.54198,4.22608,-4.88839,NA,NA,-56.212,NA,NA
71987,-3.79934,4.04957,-4.78199,NA,-125.802,NA,NA,NA
72176,-2.7355,3.27544,-4.94112,NA,-77.188,NA,NA,NA
72392,-1.88988,3.41702,-4.19975,NA,NA,-71.037,NA,NA
72428,-2.54372,4.1525,-4.48003,NA,-64.429,NA,NA,NA
72799,-2.5184,4.6834,-4.90181,NA,NA,-73.923,NA,NA
72942,-3.05295,4.72039,-4.9148,NA,-85.403,NA,NA,NA
73030,-1.1555,4.51489,-4.68112,NA,-66.77,NA,NA,NA
73330,-1.96719,4.28131,-4.4723,NA,-58.846,NA,NA,NA
73411,-1.29314,3.92443,-4.43441,NA,-43.215,NA,NA,NA
73658,-2.378,4.4569,-3.94754,NA,-82.655,NA,NA,NA
73996,-1.35827,4.62494,-4.17913,NA,-65.17,NA,NA,NA
74116,-2.30848,2.98445,-4.76035,NA,-51.827,NA,NA,NA
74323,-2.19362,4.27598,-3.74613,NA,-93.87,NA,NA,NA
74577,-1.91739,4.53143,-4.4726,NA,-57.171,NA,NA,NA
74787,-1.72095,4.05097,-4.12774,NA,-58.811,NA,NA,NA
74988,-1.74111,4.68145,-4.27932,NA,NA,-62.391,NA,NA
75093,-1.63989,4.68852,-4.53553,NA,-65.009,NA,NA,NA
