id,x0,x1,x2,fitness-3,fitness-1,fitness-2.5,fitness-2,fitness-3.5,fitness-4,fitness-1.5,fitness-5,fitness-4.5,fitness-0.5
4121,3.07287,2.50897,-4.87239,-66.326,NA,NA,NA,NA,NA,NA,NA,NA,NA
4304,1.82056,2.12969,-5,NA,NA,-19.585,NA,NA,NA,NA,NA,NA,NA
4434,1.9828,1.91543,-5,NA,NA,NA,NA,NA,NA,-32.462,NA,NA,NA
4630,1.29633,1.47083,-4.58969,NA,-57.785,NA,NA,NA,NA,NA,NA,NA,NA
4873,1.19403,2.16081,-5,NA,-67.711,NA,NA,NA,NA,NA,NA,NA,NA
5011,1.16778,3.20562,-5,NA,NA,NA,-73.553,NA,NA,NA,NA,NA,NA
5217,1.74971,1.46442,-5,NA,NA,NA,-26.789,NA,NA,NA,NA,NA,NA
5440,2.04014,1.38379,-4.56852,NA,NA,NA,NA,NA,NA,-23.696,NA,NA,NA
5768,1.15868,3.06936,-4.4936,NA,-98.867,NA,NA,NA,NA,NA,NA,NA,NA
5925,1.2525,2.1116,-3.48072,NA,NA,NA,NA,NA,NA,-52.008,NA,NA,NA
6005,1.69545,1.76315,-4.32144,NA,-46.603,NA,NA,NA,NA,NA,NA,NA,NA
6338,1.6338,1.85055,-3.7097,-17.369,NA,NA,NA,NA,NA,NA,NA,NA,NA
6422,1.33242,1.65064,-3.43346,NA,NA,-32.547,NA,NA,NA,NA,NA,NA,NA
6645,2.5705,1.14438,-3.85419,-35.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
6926,1.77534,1.56995,-4.3385,NA,NA,NA,NA,-33.785,NA,NA,NA,NA,NA
7036,1.77984,2.20952,-4.64632,-13.912,NA,NA,NA,NA,NA,NA,NA,NA,NA
7362,2.01205,1.5765,-3.3236,NA,NA,NA,NA,-51.958,NA,NA,NA,NA,NA
7510,2.57286,2.46736,-2.81441,NA,NA,NA,-101.449,NA,NA,NA,NA,NA,NA
7652,2.1361,1.60263,-4.11191,NA,NA,NA,NA,-41.713,NA,NA,NA,NA,NA
7810,1.08531,1.90955,-4.23082,NA,NA,-16.988,NA,NA,NA,NA,NA,NA,NA
8083,2.02077,2.01602,-4.62055,NA,NA,-10.343,NA,NA,NA,NA,NA,NA,NA
8276,2.79557,2.19806,-5,NA,NA,NA,-46.606,NA,NA,NA,NA,NA,NA
8521,2.48552,2.95395,-5,-60.427,NA,NA,NA,NA,NA,NA,NA,NA,NA
8723,1.34262,2.36662,-4.29348,NA,NA,NA,-23.294,NA,NA,NA,NA,NA,NA
8840,2.04453,2.24509,-5,NA,NA,NA,-27.084,NA,NA,NA,NA,NA,NA
9068,0.779955,3.36368,-5,NA,NA,-93.304,NA,NA,NA,NA,NA,NA,NA
9352,1.99223,1.06061,-4.41796,-22.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
9404,1.04313,0.555125,-4.13914,-101.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
9681,0.413324,0.715386,-4.26422,NA,NA,-121.524,NA,NA,NA,NA,NA,NA,NA
9831,1.19704,1.11132,-4.83692,NA,NA,-34.296,NA,NA,NA,NA,NA,NA,NA
10044,1.21364,1.42735,-5,NA,NA,-27.465,NA,NA,NA,NA,NA,NA,NA
10396,1.34929,2.72509,-4.9262,-48.446,NA,NA,NA,NA,NA,NA,NA,NA,NA
10406,0.889863,2.60972,-5,NA,NA,-50.353,NA,NA,NA,NA,NA,NA,NA
10743,3.23451,1.83268,-4.88872,-60.909,NA,NA,NA,NA,NA,NA,NA,NA,NA
11000,2.1914,1.98705,-5,NA,NA,NA,-26.521,NA,NA,NA,NA,NA,NA
11182,2.15763,2.43591,-5,NA,NA,NA,NA,NA,NA,-45.185,NA,NA,NA
11370,0.815927,1.56733,-4.83227,NA,NA,-40.061,NA,NA,NA,NA,NA,NA,NA
11517,1.05953,1.32947,-4.19619,NA,NA,NA,NA,NA,NA,-46.638,NA,NA,NA
11767,1.8448,2.09233,-5,NA,NA,NA,NA,NA,NA,-45.422,NA,NA,NA
11874,2.45524,2.57992,-5,NA,NA,NA,-46.33,NA,NA,NA,NA,NA,NA
12073,3.36684,2.81161,-5,NA,NA,-92.924,NA,NA,NA,NA,NA,NA,NA
12290,1.86884,1.77172,-5,-20.608,NA,NA,NA,NA,NA,NA,NA,NA,NA
12539,1.10198,1.94727,-4.96946,NA,NA,NA,NA,-54.737,NA,NA,NA,NA,NA
12749,1.75639,1.87771,-4.86885,NA,NA,-11.002,NA,NA,NA,NA,NA,NA,NA
12896,2.10051,1.83153,-5,-25.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
13107,1.57984,1.26858,-5,NA,NA,NA,-25.366,NA,NA,NA,NA,NA,NA
13260,0.886751,1.27783,-5,-47.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
13453,2.28164,1.73609,-4.38801,NA,NA,NA,NA,NA,-52.949,NA,NA,NA,NA
13682,2.269,1.22591,-5,NA,NA,-26.768,NA,NA,NA,NA,NA,NA,NA
13905,2.0111,2.06519,-4.92612,NA,NA,NA,-20.198,NA,NA,NA,NA,NA,NA
14127,2.33829,1.42282,-4.15852,-22.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
14377,2.07095,2.02477,-5,NA,NA,NA,NA,NA,-53.145,NA,NA,NA,NA
14437,1.99503,0.947993,-3.59355,NA,NA,NA,NA,NA,-73.195,NA,NA,NA,NA
14651,2.04098,1.53549,-3.85466,-12.774,NA,NA,NA,NA,NA,NA,NA,NA,NA
14886,0.938985,1.83451,-5,NA,NA,NA,-39.205,NA,NA,NA,NA,NA,NA
15150,1.05724,2.12068,-5,NA,NA,NA,-37.026,NA,NA,NA,NA,NA,NA
15312,0.513988,1.46552,-5,NA,NA,NA,-77.429,NA,NA,NA,NA,NA,NA
15417,2.24134,1.90488,-5,NA,NA,NA,-23.021,NA,NA,NA,NA,NA,NA
15654,1.84863,1.7355,-5,NA,NA,NA,NA,-29.428,NA,NA,NA,NA,NA
15985,2.74808,2.52542,-5,NA,NA,NA,NA,NA,-101.867,NA,NA,NA,NA
16126,1.77143,1.41736,-5,NA,NA,-17.014,NA,NA,NA,NA,NA,NA,NA
16201,2.11615,1.48879,-5,NA,NA,-18.938,NA,NA,NA,NA,NA,NA,NA
16506,2.36426,3.04031,-4.31021,NA,NA,NA,-58.183,NA,NA,NA,NA,NA,NA
16728,1.8098,2.06102,-4.69795,-11.679,NA,NA,NA,NA,NA,NA,NA,NA,NA
16912,1.71191,1.62832,-4.3576,NA,NA,NA,NA,-22.707,NA,NA,NA,NA,NA
17178,2.32565,0.640236,-3.78841,-64.126,NA,NA,NA,NA,NA,NA,NA,NA,NA
17301,2.28818,1.30483,-4.1971,NA,NA,-12.862,NA,NA,NA,NA,NA,NA,NA
17547,2.72532,2.43886,-4.71429,NA,NA,-40.005,NA,NA,NA,NA,NA,NA,NA
17645,1.79888,1.85938,-5,NA,NA,-15.923,NA,NA,NA,NA,NA,NA,NA
17870,2.46963,2.21519,-5,-31.702,NA,NA,NA,NA,NA,NA,NA,NA,NA
18104,2.01176,2.19971,-5,NA,NA,NA,NA,-38.989,NA,NA,NA,NA,NA
18310,0.982671,2.37199,-5,NA,NA,NA,NA,-51.825,NA,NA,NA,NA,NA
18482,1.351,1.31548,-4.96361,NA,NA,NA,NA,NA,-79.678,NA,NA,NA,NA
18607,0.650904,1.091,-5,NA,NA,-75.389,NA,NA,NA,NA,NA,NA,NA
18893,0.571645,1.89386,-3.71735,-52.346,NA,NA,NA,NA,NA,NA,NA,NA,NA
19189,0.21869,2.8778,-5,NA,NA,-94.551,NA,NA,NA,NA,NA,NA,NA
19295,1.26207,1.68387,-5,-25.708,NA,NA,NA,NA,NA,NA,NA,NA,NA
19417,2.26794,3.55901,-5,-94.936,NA,NA,NA,NA,NA,NA,NA,NA,NA
19791,2.29461,2.29783,-5,-37.979,NA,NA,NA,NA,NA,NA,NA,NA,NA
19855,3.15129,0.538667,-5,-98.081,NA,NA,NA,NA,NA,NA,NA,NA,NA
20040,2.45627,1.40597,-4.15285,NA,NA,NA,NA,-41.185,NA,NA,NA,NA,NA
20302,2.09581,1.63152,-5,NA,NA,-16.468,NA,NA,NA,NA,NA,NA,NA
20409,2.28312,0.561634,-4.3262,-59.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
20766,2.95519,0.592253,-3.6457,-95.342,NA,NA,NA,NA,NA,NA,NA,NA,NA
20894,1.95367,1.24134,-4.18648,NA,NA,NA,NA,NA,NA,-38.747,NA,NA,NA
21176,1.96253,2.24594,-4.53987,NA,NA,-12.635,NA,NA,NA,NA,NA,NA,NA
21316,2.23675,2.42669,-5,NA,NA,NA,-32.089,NA,NA,NA,NA,NA,NA
21527,1.21534,2.4727,-4.66027,NA,NA,NA,-30.031,NA,NA,NA,NA,NA,NA
21642,0.852098,1.35413,-5,NA,NA,NA,-53.809,NA,NA,NA,NA,NA,NA
21936,1.7985,1.21729,-5,NA,NA,NA,NA,NA,NA,-45.339,NA,NA,NA
22162,2.52201,2.16883,-4.27342,NA,NA,NA,NA,NA,NA,-48.488,NA,NA,NA
22349,1.25705,1.66104,-5,NA,NA,-23.001,NA,NA,NA,NA,NA,NA,NA
22533,0.968568,1.46239,-4.80547,NA,NA,NA,-34.335,NA,NA,NA,NA,NA,NA
22740,1.9509,3.17717,-4.92561,NA,NA,NA,NA,NA,NA,-85.693,NA,NA,NA
22859,1.29664,2.79442,-4.46761,NA,NA,-37.213,NA,NA,NA,NA,NA,NA,NA
23183,2.34875,1.74368,-4.27557,NA,-60.509,NA,NA,NA,NA,NA,NA,NA,NA
23340,2.18617,1.50219,-4.30911,NA,NA,NA,-13.139,NA,NA,NA,NA,NA,NA
23541,3.08481,0.949539,-4.65394,NA,NA,NA,-68.832,NA,NA,NA,NA,NA,NA
23729,1.91888,1.52071,-5,NA,NA,-15.4,NA,NA,NA,NA,NA,NA,NA
23820,0.478836,1.98584,-3.44066,NA,NA,NA,-72.345,NA,NA,NA,NA,NA,NA
24012,0.606038,2.29916,-3.85442,-50.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
24282,1.45693,1.83227,-3.81962,-14.483,NA,NA,NA,NA,NA,NA,NA,NA,NA
24514,0.821916,1.84175,-3.43097,NA,NA,-50.376,NA,NA,NA,NA,NA,NA,NA
24737,1.8798,0.402517,-4.68701,-75.684,NA,NA,NA,NA,NA,NA,NA,NA,NA
24878,1.42631,1.59212,-3.98955,-9.837,NA,NA,NA,NA,NA,NA,NA,NA,NA
25101,0.311793,1.72473,-4.43506,NA,NA,-61.008,NA,NA,NA,NA,NA,NA,NA
25389,0.756714,1.94732,-4.38701,-34.688,NA,NA,NA,NA,NA,NA,NA,NA,NA
25525,2.20892,2.06514,-3.31812,-49.896,NA,NA,NA,NA,NA,NA,NA,NA,NA
25674,2.21279,2.55678,-4.12556,-28.479,NA,NA,NA,NA,NA,NA,NA,NA,NA
25947,2.04511,2.28023,-4.13034,NA,NA,-14.62,NA,NA,NA,NA,NA,NA,NA
26028,2.40892,1.81765,-3.84548,NA,-73.498,NA,NA,NA,NA,NA,NA,NA,NA
26283,2.51071,2.29684,-5,NA,NA,NA,NA,NA,NA,-50.323,NA,NA,NA
26489,1.82683,2.1376,-5,NA,NA,-18.932,NA,NA,NA,NA,NA,NA,NA
26770,1.96881,1.37135,-5,-27.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
26802,2.9523,0.891967,-5,NA,NA,-65.507,NA,NA,NA,NA,NA,NA,NA
27181,2.47417,1.43042,-5,NA,NA,-27.405,NA,NA,NA,NA,NA,NA,NA
27310,3.26859,0.926448,-5,NA,NA,NA,NA,NA,NA,-110.624,NA,NA,NA
27487,3.19652,1.64759,-4.03794,NA,NA,NA,-57.228,NA,NA,NA,NA,NA,NA
27794,1.5481,1.9698,-3.39465,NA,NA,NA,-33.354,NA,NA,NA,NA,NA,NA
27907,1.54264,1.68716,-3.10846,NA,NA,NA,-47.957,NA,NA,NA,NA,NA,NA
28038,2.64453,0.481751,-4.0118,NA,NA,NA,-87.481,NA,NA,NA,NA,NA,NA
28369,2.70084,1.18619,-4.99486,NA,NA,-43.678,NA,NA,NA,NA,NA,NA,NA
28486,1.88959,0.940454,-5,NA,NA,NA,NA,NA,NA,-66.538,NA,NA,NA
28725,2.50106,1.97924,-4.73632,NA,NA,NA,-24.579,NA,NA,NA,NA,NA,NA
28871,1.67021,2.01836,-5,NA,NA,NA,NA,NA,NA,-36.759,NA,NA,NA
29111,2.54963,1.89778,-5,NA,NA,-29.328,NA,NA,NA,NA,NA,NA,NA
29400,1.9494,1.68452,-4.10103,NA,NA,NA,NA,NA,NA,-28.375,NA,NA,NA
29502,2.19833,1.19027,-5,NA,NA,NA,-36.352,NA,NA,NA,NA,NA,NA
29648,2.26614,1.61795,-4.50199,NA,NA,NA,-20.504,NA,NA,NA,NA,NA,NA
29988,2.23112,1.79453,-5,NA,NA,NA,NA,-31.486,NA,NA,NA,NA,NA
30108,1.17314,2.4199,-5,NA,NA,-34.795,NA,NA,NA,NA,NA,NA,NA
30340,2.19742,1.47679,-5,NA,NA,-19.504,NA,NA,NA,NA,NA,NA,NA
30457,1.44734,0.778449,-5,NA,NA,NA,NA,-69.256,NA,NA,NA,NA,NA
30764,2.59483,1.32122,-5,NA,NA,-34.566,NA,NA,NA,NA,NA,NA,NA
30987,2.27591,2.41822,-4.49601,NA,NA,NA,NA,-40.138,NA,NA,NA,NA,NA
31195,0.719946,2.29501,-2.93244,NA,NA,NA,-99.627,NA,NA,NA,NA,NA,NA
31269,1.10112,2.15944,-4.57551,-27.506,NA,NA,NA,NA,NA,NA,NA,NA,NA
31482,1.81664,1.07068,-4.76014,NA,NA,NA,NA,NA,NA,NA,-130.906,NA,NA
31681,2.89841,1.19284,-4.90331,NA,NA,NA,NA,NA,NA,NA,NA,-137.855,NA
31909,2.80913,1.32678,-5,NA,NA,NA,NA,-52.372,NA,NA,NA,NA,NA
32127,2.19048,2.24441,-5,-27.782,NA,NA,NA,NA,NA,NA,NA,NA,NA
32359,2.79117,3.34351,-5,NA,NA,NA,NA,-122.207,NA,NA,NA,NA,NA
32494,2.97383,2.25808,-4.61593,NA,NA,NA,NA,-57.862,NA,NA,NA,NA,NA
32646,1.34219,1.93239,-4.32156,NA,NA,NA,-19.636,NA,NA,NA,NA,NA,NA
32955,2.06573,2.48915,-5,NA,NA,NA,-38.63,NA,NA,NA,NA,NA,NA
33184,2.66582,1.41896,-5,NA,-77.89,NA,NA,NA,NA,NA,NA,NA,NA
33277,3.15961,2.8953,-5,NA,NA,NA,-86.485,NA,NA,NA,NA,NA,NA
33501,2.19584,3.20753,-5,NA,NA,-66.777,NA,NA,NA,NA,NA,NA,NA
33657,1.42686,2.98027,-3.49764,NA,NA,NA,-68.913,NA,NA,NA,NA,NA,NA
33969,0.719874,2.25983,-4.46201,NA,NA,-40.298,NA,NA,NA,NA,NA,NA,NA
34131,1.25576,2.73212,-5,NA,NA,-43.537,NA,NA,NA,NA,NA,NA,NA
34297,1.22003,2.82955,-4.3264,NA,NA,-39.981,NA,NA,NA,NA,NA,NA,NA
34466,2.0408,1.65032,-4.28806,NA,NA,-2.673,NA,NA,NA,NA,NA,NA,NA
34642,2.56639,1.94897,-5,NA,NA,NA,NA,-53.116,NA,NA,NA,NA,NA
34828,1.41924,1.78632,-4.16898,NA,NA,NA,-15.561,NA,NA,NA,NA,NA,NA
35197,1.85421,1.16271,-5,NA,NA,NA,-28.802,NA,NA,NA,NA,NA,NA
35225,0.0494736,1.36623,-5,NA,NA,NA,-104.459,NA,NA,NA,NA,NA,NA
35413,0.609003,1.85445,-5,NA,NA,NA,NA,NA,NA,-81.111,NA,NA,NA
35783,1.43343,1.37569,-4.63235,NA,NA,-10.545,NA,NA,NA,NA,NA,NA,NA
35918,1.46308,1.64938,-5,NA,NA,NA,NA,-38.131,NA,NA,NA,NA,NA
36052,1.96558,1.58658,-5,NA,NA,-15.138,NA,NA,NA,NA,NA,NA,NA
36219,2.36282,0.734107,-5,-55.974,NA,NA,NA,NA,NA,NA,NA,NA,NA
36455,2.8025,0.619446,-5,NA,NA,NA,NA,-97.809,NA,NA,NA,NA,NA
36756,1.45693,1.87176,-4.09575,NA,NA,-6.769,NA,NA,NA,NA,NA,NA,NA
36982,2.36221,0.952012,-3.40309,-57.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
37112,2.17657,1.97926,-3.81903,-22.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
37327,1.7042,2.84337,-4.35374,NA,NA,-35.186,NA,NA,NA,NA,NA,NA,NA
37582,1.46423,0.577907,-4.41322,NA,NA,-69.544,NA,NA,NA,NA,NA,NA,NA
37726,1.00129,2.08268,-5,-36.328,NA,NA,NA,NA,NA,NA,NA,NA,NA
37887,1.47946,3.13529,-5,-67.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
38059,1.29241,3.29003,-4.57923,NA,NA,NA,-72.422,NA,NA,NA,NA,NA,NA
38203,1.46907,3.00243,-4.24779,NA,-103.061,NA,NA,NA,NA,NA,NA,NA,NA
38524,1.27229,2.63976,-5,NA,NA,-39.515,NA,NA,NA,NA,NA,NA,NA
38785,2.41033,1.15815,-3.73585,NA,NA,-32.069,NA,NA,NA,NA,NA,NA,NA
38980,2.65275,0.837233,-4.90018,NA,NA,NA,NA,-76.89,NA,NA,NA,NA,NA
39085,2.04341,1.26105,-3.43152,-45.221,NA,NA,NA,NA,NA,NA,NA,NA,NA
39267,1.59454,2.46441,-3.01867,-61.834,NA,NA,NA,NA,NA,NA,NA,NA,NA
39457,2.20968,2.66052,-4.39741,-41.133,NA,NA,NA,NA,NA,NA,NA,NA,NA
39671,2.24154,1.60479,-5,NA,NA,NA,NA,-38.072,NA,NA,NA,NA,NA
39849,2.61772,1.89159,-5,NA,NA,NA,-34.351,NA,NA,NA,NA,NA,NA
40102,3.05276,2.61258,-5,-67.542,NA,NA,NA,NA,NA,NA,NA,NA,NA
40258,2.83563,1.4395,-5,NA,NA,NA,-46.109,NA,NA,NA,NA,NA,NA
40559,1.77528,1.84002,-5,NA,NA,NA,NA,NA,NA,-41.252,NA,NA,NA
40731,2.1041,1.80192,-5,NA,NA,NA,-22.645,NA,NA,NA,NA,NA,NA
40962,1.2376,2.35631,-5,NA,NA,NA,-36.234,NA,NA,NA,NA,NA,NA
41026,2.12144,1.19262,-4.86304,-31.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
41239,2.37353,1.85936,-4.5732,NA,NA,-14.431,NA,NA,NA,NA,NA,NA,NA
41493,1.20797,3.51441,-5,NA,NA,-91.894,NA,NA,NA,NA,NA,NA,NA
41668,0.74163,1.92138,-4.78148,NA,NA,-37.301,NA,NA,NA,NA,NA,NA,NA
41845,1.35803,0.720225,-3.59651,NA,NA,NA,NA,NA,-98.175,NA,NA,NA,NA
42035,2.19849,1.15047,-3.07911,NA,NA,NA,NA,-72.064,NA,NA,NA,NA,NA
42394,2.79343,0.591806,-4.03981,-74.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
42583,2.33623,1.85891,-3.98536,-16.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
42671,2.18819,1.21028,-5,NA,NA,NA,-27.919,NA,NA,NA,NA,NA,NA
42874,2.79096,1.94821,-4.3598,NA,NA,NA,NA,NA,NA,-43.754,NA,NA,NA
43170,1.21613,3.1408,-4.76136,NA,NA,NA,-61.617,NA,NA,NA,NA,NA,NA
43218,2.41364,1.66047,-5,NA,NA,NA,NA,NA,NA,-45.136,NA,NA,NA
43477,1.84738,1.56635,-4.31395,NA,NA,-1.409,NA,NA,NA,NA,NA,NA,NA
43799,1.20964,2.36905,-5,NA,NA,NA,NA,NA,NA,-60.391,NA,NA,NA
43974,0.921967,1.94868,-3.54491,NA,NA,NA,-48.161,NA,NA,NA,NA,NA,NA
44112,2.26923,0.615656,-5,-65.687,NA,NA,NA,NA,NA,NA,NA,NA,NA
44344,0.841422,1.21336,-4.3121,NA,NA,-42.483,NA,NA,NA,NA,NA,NA,NA
44479,1.35963,0.694433,-5,NA,NA,NA,-83.273,NA,NA,NA,NA,NA,NA
44685,1.49976,1.22923,-4.86297,NA,NA,NA,-26.612,NA,NA,NA,NA,NA,NA
44809,0.846366,1.98852,-4.07321,NA,NA,NA,NA,NA,NA,-57.458,NA,NA,NA
45080,1.26556,2.41891,-4.81229,NA,NA,NA,-31.429,NA,NA,NA,NA,NA,NA
45257,1.90181,2.89508,-3.71205,NA,NA,NA,-48.546,NA,NA,NA,NA,NA,NA
45546,2.40091,2.70246,-4.04816,NA,NA,-39.029,NA,NA,NA,NA,NA,NA,NA
45672,2.24832,2.4784,-4.35767,NA,NA,NA,NA,-36.239,NA,NA,NA,NA,NA
45812,2.21354,1.36846,-4.59166,NA,NA,-10.801,NA,NA,NA,NA,NA,NA,NA
46028,1.28179,1.52594,-4.73861,NA,NA,NA,-21.801,NA,NA,NA,NA,NA,NA
46293,3.82666,2.0719,-4.49077,NA,NA,-96.507,NA,NA,NA,NA,NA,NA,NA
46410,1.93807,1.72946,-4.80042,NA,NA,-8.65,NA,NA,NA,NA,NA,NA,NA
46770,1.74576,1.10202,-5,NA,NA,-30.895,NA,NA,NA,NA,NA,NA,NA
46921,1.76549,0.367657,-4.88461,-88.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
47061,2.16994,0.616766,-4.67043,NA,NA,-55.691,NA,NA,NA,NA,NA,NA,NA
47298,1.12629,1.16635,-4.53658,-36.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
47409,1.02558,1.46551,-4.67771,-25.966,NA,NA,NA,NA,NA,NA,NA,NA,NA
47757,2.88332,1.81082,-5,NA,NA,NA,-45.937,NA,NA,NA,NA,NA,NA
47824,2.35963,1.91518,-5,NA,-81.905,NA,NA,NA,NA,NA,NA,NA,NA
48183,2.13666,0.321537,-5,NA,NA,NA,-108.969,NA,NA,NA,NA,NA,NA
48205,0.681214,0.701751,-4.61597,NA,NA,NA,NA,NA,NA,-130.011,NA,NA,NA
48525,0.897262,0.983556,-4.56256,NA,NA,NA,-72.049,NA,NA,NA,NA,NA,NA
48756,2.27521,1.7055,-4.17839,NA,NA,NA,NA,NA,-69.096,NA,NA,NA,NA
48853,2.51434,2.58036,-4.13299,NA,NA,NA,NA,-57.089,NA,NA,NA,NA,NA
49062,2.09353,2.50546,-5,NA,NA,NA,NA,NA,NA,-52.289,NA,NA,NA
49233,1.35366,2.99745,-5,-57.633,NA,NA,NA,NA,NA,NA,NA,NA,NA
49499,1.03089,1.94361,-5,-38.358,NA,NA,NA,NA,NA,NA,NA,NA,NA
49630,2.12144,1.31314,-3.98272,NA,NA,NA,NA,-26.908,NA,NA,NA,NA,NA
49898,1.44562,1.89377,-5,NA,NA,NA,-20.634,NA,NA,NA,NA,NA,NA
50050,1.61476,2.10655,-4.58749,-14.099,NA,NA,NA,NA,NA,NA,NA,NA,NA
50267,2.22749,2.12557,-4.99786,NA,NA,-23.615,NA,NA,NA,NA,NA,NA,NA
50404,2.18013,1.96922,-4.31054,NA,NA,NA,NA,-23.092,NA,NA,NA,NA,NA
50793,2.44517,2.64798,-5,-45.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
50944,1.8083,3.21811,-4.568,NA,NA,NA,NA,NA,NA,-85.221,NA,NA,NA
51115,2.40626,2.73362,-4.99311,NA,NA,NA,-47.185,NA,NA,NA,NA,NA,NA
51358,2.01399,1.62344,-5,NA,NA,NA,NA,-35.831,NA,NA,NA,NA,NA
51484,2.29662,1.43325,-4.01575,NA,NA,-13.602,NA,NA,NA,NA,NA,NA,NA
51722,1.62389,1.71241,-4.70277,NA,NA,NA,NA,NA,NA,-40.342,NA,NA,NA
51977,1.18533,2.27353,-5,NA,NA,-30.189,NA,NA,NA,NA,NA,NA,NA
52114,2.15407,2.38374,-4.2497,NA,NA,NA,-29.602,NA,NA,NA,NA,NA,NA
52280,1.94099,1.62767,-5,NA,NA,NA,NA,NA,NA,-29.919,NA,NA,NA
52581,2.73472,1.55309,-5,NA,NA,-35.209,NA,NA,NA,NA,NA,NA,NA
52702,1.89666,1.2877,-4.91203,-19.137,NA,NA,NA,NA,NA,NA,NA,NA,NA
52810,1.53265,1.63769,-4.35124,NA,NA,NA,-16.232,NA,NA,NA,NA,NA,NA
53064,1.98872,1.89317,-4.55968,NA,NA,NA,-7.744,NA,NA,NA,NA,NA,NA
53389,1.50083,1.35696,-4.43357,NA,-90.851,NA,NA,NA,NA,NA,NA,NA,NA
53509,1.72033,1.56982,-4.4785,NA,NA,NA,NA,NA,NA,-41.898,NA,NA,NA
53731,0.86196,1.93478,-5,-44.757,NA,NA,NA,NA,NA,NA,NA,NA,NA
53876,1.03689,1.81248,-4.9291,NA,NA,-27.719,NA,NA,NA,NA,NA,NA,NA
54181,0.910524,2.50929,-5,-48.031,NA,NA,NA,NA,NA,NA,NA,NA,NA
54338,0.841067,2.86757,-5,-65.733,NA,NA,NA,NA,NA,NA,NA,NA,NA
54464,1.19586,2.52957,-5,NA,NA,-37.586,NA,NA,NA,NA,NA,NA,NA
54612,1.16845,2.28292,-5,-35.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
54972,2.42778,2.2362,-4.44247,NA,NA,NA,-22.126,NA,NA,NA,NA,NA,NA
55020,3.08953,1.81856,-3.82529,NA,NA,NA,-52.539,NA,NA,NA,NA,NA,NA
55354,1.82225,1.98245,-4.41743,NA,NA,-4.813,NA,NA,NA,NA,NA,NA,NA
55401,1.65302,2.25665,-5,-28.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
