id,x0,x1,x2,fitness7.5,fitness8,fitness9,fitness7,fitness8.5,fitness9.5,fitness6.5,fitness10,fitness5.5,fitness4.5,fitness4,fitness5,fitness6,fitness2.5,fitness3,fitness3.5,fitness2,fitness0.5,fitness1,fitness1.5,fitness10.5
3374,4.78645,8.39068,5.27304,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3450,5.02927,7.76225,5.37589,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3673,6.22969,7.30545,6.08791,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3858,7.21694,6.91964,7.17719,NA,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4099,8.10656,7.5897,6.41635,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4275,6.59106,7.22922,7.36474,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4510,6.62829,7.56841,7.2418,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4732,7.36701,7.58807,7.84742,NA,0.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4801,8.81274,6.33358,8.50921,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5118,7.95545,8.2329,7.52494,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5249,9.40969,7.47518,7.34556,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5458,10.5,8.22571,6.12722,NA,NA,NA,NA,NA,-0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5666,9.68261,8.0161,7.34004,NA,NA,NA,NA,NA,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5833,8.55515,8.48507,7.3399,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6059,7.86618,6.79289,7.68997,NA,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6314,7.09996,7.20086,8.37026,NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6507,8.67531,7.63686,6.89343,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6678,9.58412,6.73578,7.22342,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6816,10.0038,7.63934,6.92873,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7187,10.5,7.92925,7.21418,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7235,10.5,7.62514,7.91358,NA,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7511,9.03584,7.22739,8.13489,NA,NA,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7714,8.52203,7.6735,7.2072,NA,NA,NA,NA,NA,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7825,8.34551,7.52655,6.92247,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8148,9.09232,7.54433,7.62444,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8252,9.2341,7.21696,8.66245,NA,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8433,9.10541,7.96495,7.63115,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8674,8.4774,6.089,7.94419,NA,NA,NA,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8815,8.21162,6.22537,6.40437,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9155,9.16309,6.18495,5.9972,NA,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9337,7.73069,6.83985,5.63508,NA,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9486,7.99096,8.30061,5.74594,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9661,8.08487,8.33533,4.41946,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9804,8.49934,7.65921,6.90084,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10196,10.0247,8.39561,8.21366,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10243,9.04192,9.00128,7.12892,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10579,8.86397,10.0599,8.37157,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10696,8.40864,8.53528,9.92749,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10827,7.60439,7.60398,8.42194,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11019,6.34625,7.8358,8.90605,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11283,7.9612,8.09138,8.05635,NA,NA,NA,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11504,8.51037,8.28536,8.85363,NA,NA,NA,NA,NA,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11781,8.68516,7.69713,6.45183,NA,NA,NA,NA,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11891,8.15519,7.24612,6.51627,NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12144,7.13494,7.61417,7.15258,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12277,7.60325,6.83351,6.75195,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12561,8.18721,7.55307,6.74301,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12631,7.1239,7.59064,8.24823,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12978,6.50499,7.33639,9.7717,NA,NA,NA,NA,NA,NA,NA,NA,-0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13064,7.01253,7.88891,9.60789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346,8.58895,7.8071,8.46077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13416,7.04247,8.03718,8.28192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13730,6.72582,7.89843,7.62755,NA,NA,NA,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13892,7.71928,8.42329,7.72737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA
14099,7.95384,7.13608,7.7271,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14228,9.05687,6.84304,7.18576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14481,8.64364,6.79453,7.43153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
14779,8.4927,7.7307,7.01173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
14841,6.91896,6.80153,6.62375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005,NA,NA,NA,NA,NA,NA,NA,NA
15119,7.14831,7.33419,6.04804,NA,NA,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15299,6.94116,8.59069,6.81105,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15460,6.75459,9.1179,7.2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA
15751,6.48184,7.51523,7.40963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA
15879,6.28053,8.32496,9.35607,NA,NA,NA,NA,NA,NA,-0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16162,6.64695,7.87087,9.33744,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16271,8.40828,7.91612,9.98824,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16410,8.51272,7.54751,9.85609,NA,NA,NA,NA,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16698,7.75636,9.19942,8.36473,NA,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16871,6.95869,7.23727,7.96724,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17009,5.70098,7.81796,8.61442,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17293,5.82841,7.33084,8.92288,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17491,7.04672,7.66734,8.62779,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17619,6.3827,7.25557,7.64614,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17854,6.36108,6.53155,8.45324,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18012,6.45472,5.54085,8.89102,NA,NA,-0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18373,4.98704,7.46963,10.1621,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18407,5.64184,7.07185,7.74413,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18684,6.33185,6.39781,7.80851,NA,NA,NA,NA,NA,NA,NA,NA,-0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18809,6.60471,6.75398,7.78426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19052,5.91892,6.80559,7.54605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,NA,NA,NA,NA,NA,NA,NA,NA
19287,6.60963,7.26374,7.92784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19410,7.86526,7.54972,8.71548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA
19708,7.02927,9.75784,8.30309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.072,NA,NA,NA,NA,NA,NA
19820,7.92595,8.59129,8.19427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709,NA,NA,NA,NA,NA
20061,7.63591,9.88874,7.22167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA
20344,6.92366,8.35294,7.64464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA
20523,7.63348,9.42198,7.38903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,NA,NA,NA
20627,7.65707,10.5,7.68514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,NA,NA,NA
20965,9.07863,9.82496,7.01912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA
21027,8.32853,10.3627,7.42456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA
21378,8.3194,10.1439,7.34166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184,NA
21565,8.79845,8.98787,8.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA
21625,8.45121,7.99413,7.76185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA
21897,7.43837,8.92108,6.85549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547,NA
22104,6.6412,9.99619,6.44863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.496,NA,NA,NA,NA,NA,NA
22307,6.96066,9.83734,7.58075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22510,8.21262,8.13291,7.20816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,NA,NA,NA,NA,NA
22666,9.51817,7.50134,7.45503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,NA,NA,NA,NA,NA
22868,10.5,7.35864,7.49946,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23110,10.126,7.61647,7.87519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367,NA,NA,NA,NA,NA
23239,6.75094,6.80349,6.85111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23483,6.75698,6.1052,7.42805,NA,NA,NA,NA,NA,NA,NA,NA,-0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23720,8.51567,6.78022,7.3953,NA,NA,NA,NA,NA,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23980,7.56737,8.17589,7.68414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA
24077,8.60013,7.71287,8.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
24202,8.29199,7.86367,7.77776,NA,NA,NA,NA,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24460,6.95814,7.52645,7.96497,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24748,7.7188,7.82649,7.44471,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24999,7.85842,7.77096,8.03358,NA,NA,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25093,6.47166,8.29315,7.14104,NA,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25399,6.41143,8.10834,8.37376,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25432,6.03918,8.51081,8.99695,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25722,5.77218,8.95572,8.79512,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25940,6.23528,7.62907,7.76638,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26015,4.99115,7.28111,7.68752,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26351,4.47358,7.70722,8.86405,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26518,3.97977,6.31179,7.99711,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26689,3.90698,4.63208,6.72042,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26815,3.15079,4.91997,7.78005,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27080,4.06632,4.47278,8.43425,NA,NA,NA,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27274,4.91757,2.62305,7.98599,NA,NA,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27405,5.12327,4.57352,7.18265,NA,NA,NA,NA,NA,NA,NA,-0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27696,4.95847,3.90298,7.33563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113
27954,6.59704,3.97651,6.51101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.038
28076,7.04017,4.1387,8.35774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326
28259,8.2797,4.36457,7.36184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37
28433,8.17222,3.9981,6.95002,NA,NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28788,7.75718,5.40189,7.52562,NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28816,5.94286,6.46406,7.48209,NA,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29156,4.90153,7.33254,7.95979,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29259,3.98766,6.96285,8.41091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289,NA,NA,NA,NA,NA,NA,NA,NA
29513,4.29752,7.60622,8.86381,NA,NA,NA,NA,NA,NA,NA,NA,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29678,4.66553,6.65332,8.34711,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29947,5.63467,7.14409,8.55837,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30033,5.8845,7.19082,8.44495,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30223,7.162,7.07111,8.8334,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30457,7.39851,5.4739,9.43627,NA,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30740,8.00053,5.44388,9.50869,NA,NA,NA,NA,NA,NA,-0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30854,7.43663,5.16302,9.07963,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31110,7.38089,5.84222,8.85692,NA,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31344,7.82782,4.72201,6.73001,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31500,7.42087,5.60152,8.74976,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31736,6.04351,6.35672,8.92099,NA,-0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31893,7.46393,6.09665,9.47595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.251,NA,NA,NA,NA,NA,NA,NA,NA
32165,6.42034,7.22723,8.16959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,NA,NA,NA,NA,NA,NA,NA,NA
32386,8.51022,8.39561,7.51286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA
32553,8.48177,8.72388,6.94684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,NA,NA,NA
32613,6.11654,9.36348,7.73774,NA,NA,NA,NA,NA,NA,-0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32848,6.12135,7.87809,6.83007,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33099,6.24422,8.62156,8.34864,NA,NA,NA,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33376,3.64687,7.5863,7.05493,NA,NA,NA,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
