id,x0,x1,x2,fitness-1,fitness-0.5,fitness0.5,fitness1,fitness0,fitness-1.5,fitness-2,fitness-2.5,fitness-3,fitness-3.5,fitness1.5,fitness2.5,fitness3,fitness4.5,fitness3.5,fitness5,fitness4,fitness2,fitness-4,fitness-4.5
3566,-0.296403,0.71753,-0.116378,2357.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797,-0.399184,-1.31943,-2.05111,NA,NA,NA,NA,NA,842.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3840,-0.498425,-1.56773,-0.692711,NA,NA,NA,NA,NA,NA,989.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4131,-2.03655,-1.34059,-0.0197963,NA,NA,NA,NA,NA,3924.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4325,-0.919709,-0.619417,-0.132623,10445.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4545,0.0956191,-0.62983,-0.159098,653.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4741,-0.155688,-0.945116,-0.150625,NA,NA,NA,NA,NA,6549.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4987,2.45035,-0.00580827,-0.666212,NA,547.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5192,2.17648,-0.191347,-1.44227,NA,NA,NA,NA,NA,2949.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5241,1.47642,-0.79782,-0.179133,NA,1982.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5535,1.72982,-0.556405,-0.776512,2120.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5741,0.272303,-0.686452,-0.751542,NA,NA,NA,NA,2942.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5812,0.241557,-1.65206,-0.889262,2194.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6114,-0.226437,-1.49775,-0.296579,NA,6890.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6395,-0.271914,-0.948251,-1.37328,NA,3190.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6534,-0.656659,-1.16554,-2.54594,NA,NA,NA,NA,958.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6790,-1.20715,-1.60188,-1.33406,NA,NA,NA,NA,1410.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6833,-2.21484,-1.59152,-2.00565,NA,NA,478.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,-1.84127,-0.327038,-1.44645,NA,NA,NA,749.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,0.00588899,-1.02891,-4.35914,NA,NA,NA,NA,82.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7442,-0.752589,-2.16701,-3.12462,1123.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7686,-0.347316,-2.63804,-1.22755,NA,NA,NA,NA,NA,NA,250.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7971,0.392481,-2.62791,-0.324681,NA,NA,NA,NA,NA,234.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8196,-0.53937,-1.48577,-1.24907,NA,NA,NA,NA,3572.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8215,-1.63066,-0.631472,-0.403394,NA,NA,NA,NA,1448.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8428,-1.21142,-0.802326,-0.88178,NA,NA,NA,NA,2450.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8621,-0.808399,-0.143393,-1.0243,NA,NA,1608.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8933,-0.827606,-0.917119,0.223986,NA,NA,NA,NA,2381.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9106,-0.78345,1.35186,-0.765852,NA,NA,NA,NA,5006.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9331,-1.97578,-0.236557,-1.06233,NA,NA,NA,NA,NA,NA,799.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9519,-2.01685,-0.0361644,-1.34573,NA,NA,NA,NA,NA,5205.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9730,-0.92471,-0.181378,-1.56675,NA,NA,NA,NA,NA,NA,NA,3575.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9913,-0.0788732,-0.649476,-2.05308,NA,NA,NA,NA,NA,NA,987.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10174,-0.533202,-0.834937,-1.2893,NA,NA,NA,NA,NA,NA,3521.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10265,-0.643748,0.163689,-0.834241,NA,NA,NA,NA,NA,2261.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10571,-1.84657,0.432101,-1.0421,NA,NA,NA,NA,NA,625.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10777,-1.18047,2.7038,0.258706,NA,NA,NA,NA,NA,355.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10828,-0.961638,2.96712,-0.237626,NA,NA,NA,NA,NA,NA,NA,151.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11114,-0.837378,2.51028,-1.12416,NA,NA,NA,NA,NA,NA,2.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11365,-0.877672,0.867643,-0.609929,NA,NA,NA,NA,NA,NA,NA,NA,721.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11551,-0.387101,-0.150766,-1.76094,NA,NA,NA,NA,NA,NA,56.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11688,-1.10306,-1.0266,-1.27545,NA,NA,NA,NA,NA,NA,226.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11877,-0.816219,-0.828726,-2.07685,3038.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12148,-1.244,-0.249485,-1.54992,9389.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12239,-1.3889,-1.48889,-0.302752,1409.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12517,-1.10504,-1.37455,0.399546,690.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12741,-0.391164,-1.405,-0.26033,5139.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12882,-1.80129,-0.752369,-0.919586,NA,NA,NA,NA,NA,2815.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13163,-0.886669,-0.772817,-1.53248,NA,NA,NA,NA,NA,NA,1549.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342,-1.24735,-0.719182,-0.772572,NA,NA,NA,NA,NA,NA,2476.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13578,-0.931892,-1.09626,1.28374,NA,NA,NA,NA,NA,617.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13788,-0.56789,-1.39194,0.918617,NA,2085.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13989,-0.17661,-0.0476283,1.95874,NA,NA,NA,NA,NA,NA,261.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14113,-0.328991,-0.732448,2.1138,NA,NA,NA,NA,NA,NA,NA,NA,73.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14314,-0.975392,-2.17857,1.72824,NA,NA,NA,NA,NA,NA,315.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14466,-0.617736,-0.808124,-0.915431,NA,NA,NA,NA,NA,NA,NA,1998.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14625,-0.179197,-1.92421,-0.760779,NA,NA,NA,NA,NA,NA,NA,NA,2246.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14891,-0.708177,-0.725746,-1.03554,NA,NA,NA,NA,NA,NA,NA,NA,NA,2649.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15103,-0.993733,-0.928211,-0.860777,NA,NA,NA,NA,NA,NA,NA,2704.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15231,-2.85807,-0.539208,-0.315639,NA,NA,NA,NA,NA,NA,NA,NA,196.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15540,-2.85234,-0.229755,-1.20615,NA,NA,NA,NA,NA,984.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15748,-3.11282,-0.1342,-0.264745,NA,888.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15866,-2.13258,2.40845,-0.934377,NA,NA,NA,NA,NA,1456.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16053,-0.985103,2.7533,-0.0830104,NA,NA,NA,NA,NA,2082.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16342,0.0128664,1.96255,-0.770252,NA,NA,NA,NA,NA,613.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16571,-1.08298,1.26922,-0.922171,NA,NA,NA,NA,NA,1055.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16750,-1.38591,-0.182136,-1.36915,19059.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16955,0.0189189,-1.10187,-0.824174,NA,NA,NA,NA,NA,NA,NA,NA,259.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17041,-0.882539,-1.59798,-1.00624,NA,NA,NA,NA,NA,NA,5452.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17323,-1.20325,-0.577177,-1.59303,NA,NA,NA,NA,NA,2356.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17496,-0.807055,-1.2051,-1.87973,NA,NA,NA,NA,NA,NA,NA,NA,230.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17620,-0.774835,0.492741,-2.24581,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17984,-1.50732,-0.417425,-1.56601,3696.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18111,-0.914173,-1.55633,-2.35407,NA,NA,NA,NA,NA,2613.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18383,-2.58124,-1.61891,-1.63282,1743.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18429,-3.06279,-1.45543,-1.0608,2497.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18647,-0.598124,-1.37863,-0.563221,8913.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18977,0.272151,-2.17404,-2.06305,NA,NA,NA,NA,580.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19051,-1.07676,-2.12959,-2.53269,NA,714.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19223,-0.222659,-2.10175,-1.50235,3413.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19599,-0.949282,-0.266708,-0.932173,7498.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19637,-0.919524,-0.651024,-0.197929,11078.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19952,-1.87752,-0.764211,-2.00183,1584.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20109,-1.54282,-0.787651,-1.88766,9932.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201,-2.09018,-1.34278,-1.57127,NA,NA,NA,NA,NA,6571.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20524,-0.709277,-1.05219,-0.777172,NA,NA,NA,NA,7757.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20664,-1.21186,-1.05034,-1.14944,NA,NA,NA,NA,430.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20903,-1.05577,-1.63924,-0.168902,NA,1170.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21115,-1.34033,-2.9922,-0.647256,NA,NA,NA,NA,NA,NA,NA,321.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21314,-0.523372,-2.62556,-0.328897,NA,455.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21576,1.5597,-2.64646,-1.41053,NA,NA,NA,NA,NA,25.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21720,1.19205,-1.58637,-1.47769,NA,NA,NA,NA,NA,2600.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21997,1.48321,-1.45071,0.306107,NA,NA,NA,NA,53.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22075,0.759937,-0.413379,-1.62987,NA,NA,226.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22387,-2.05054,-1.3465,-0.889547,NA,8131.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22484,0.011265,-1.19544,-2.11835,NA,NA,NA,NA,829.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22730,-2.01292,-0.76881,-1.32028,11987.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22953,-1.29456,-0.51611,-1.45481,NA,NA,NA,NA,NA,4742.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23071,-1.00231,-0.426759,-0.0368992,NA,NA,NA,NA,NA,959.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23339,-1.23674,0.241617,0.261299,930.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23407,-2.44352,-0.744974,1.0358,NA,NA,NA,NA,407.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23696,-1.23035,-0.352307,-0.0903558,1732.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23884,-0.966394,-0.913572,1.43802,NA,NA,NA,NA,NA,2685.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24179,-1.92893,0.68794,1.01423,NA,NA,NA,NA,164.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24293,-2.50298,0.0981715,0.894183,NA,126.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24464,-3.18049,0.15056,-0.142364,141.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24660,-2.12947,-0.161581,0.705491,NA,NA,NA,NA,NA,1354.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24992,-2.9337,-0.856453,-1.1546,NA,NA,NA,NA,NA,NA,629.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25120,-1.92778,-0.647482,-0.757922,NA,NA,NA,NA,NA,NA,NA,2523.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25326,-1.88883,-1.10642,-0.598318,NA,273.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25567,-1.35933,-1.36646,0.20195,NA,NA,NA,NA,2111.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25646,-0.756299,-0.806701,-0.0239989,NA,NA,NA,NA,2715.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25856,-0.752545,-0.965764,-0.609874,NA,NA,NA,NA,NA,10411.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26009,-0.427763,-0.925249,-0.205793,NA,NA,NA,NA,NA,2089.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26259,0.754847,-0.00517183,-0.915403,NA,NA,NA,NA,NA,2428.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26561,-0.562798,-0.247157,-0.909214,NA,8569.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26616,-0.938191,-1.2991,-1.77834,532.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26961,-0.752372,-0.910672,-1.05064,NA,NA,NA,NA,NA,6507.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27180,-1.37737,-0.861864,-1.25331,NA,NA,NA,NA,NA,15791.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27306,-1.01854,-1.45426,-1.97258,NA,5891.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27561,-1.42385,-1.66982,-1.28445,NA,NA,NA,NA,NA,NA,3876.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27614,-1.89173,-1.00667,-0.967423,NA,NA,NA,NA,NA,NA,NA,859.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27805,-1.99197,-2.70827,-0.80325,NA,920.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28133,-3.68392,-0.964411,-1.69647,NA,NA,NA,NA,NA,404.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28244,-1.82138,-0.0294269,-2.68635,NA,NA,NA,NA,NA,223.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28528,-0.844201,-0.912017,-2.39326,2961.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28688,-1.36787,-1.88759,-1.97422,NA,4640.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28813,-1.49661,-1.22471,-2.5622,3167.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29009,-0.771815,-0.959788,-1.94099,NA,NA,NA,NA,NA,8402.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29352,-1.44069,-0.780264,-1.04176,NA,9237.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29442,-1.7026,-0.726056,-0.678318,NA,3877.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29728,-2.88726,-0.729313,-1.84927,NA,510.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29802,-2.41443,-1.3031,-2.89827,NA,NA,NA,NA,NA,802.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30188,-1.86286,-1.02725,-2.04979,NA,NA,NA,NA,1224.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30209,-3.39625,-0.729507,-2.09272,2000.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30510,-4.37432,-0.807882,-1.27665,NA,NA,NA,NA,NA,3617.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30601,-3.4513,-0.936477,-0.831643,5916.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30839,-1.41862,-0.583431,-0.695077,NA,9553.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31091,-1.55218,-1.51286,-0.25517,NA,4556.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31289,-0.207771,-2.15911,0.500106,830.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31432,-0.99385,-2.20126,-0.539751,NA,753.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31751,-0.604009,-0.876069,-1.03049,NA,NA,NA,NA,4674.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31932,-1.58163,-0.539877,-1.46134,NA,NA,NA,NA,3760.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32163,-3.5239,-1.92894,-2.00209,NA,1202.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32299,-3.08933,-1.39792,-1.97517,3507.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32586,-2.03035,-0.597888,-1.9594,NA,NA,NA,NA,NA,3850.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32666,-1.5908,-0.480574,0.0267924,252.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32906,-1.82253,0.382298,-0.860227,NA,715.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33054,-2.48094,-0.172012,-1.07444,NA,NA,NA,NA,NA,1261.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
