id,x0,x1,x2,fitness-5,fitness-4.5,fitness-3.5,fitness-3,fitness-1.5,fitness-1,fitness-2,fitness-0.5,fitness-2.5,fitness0,fitness0.5,fitness1,fitness1.5,fitness2,fitness3.5,fitness5,fitness4.5,fitness4,fitness2.5,fitness-4,fitness3
3793,-1.68283,0.905888,0.0372394,NA,NA,NA,NA,NA,659.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3858,-1.39274,0.23122,-0.831354,NA,NA,NA,NA,NA,7548.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4024,-2.10996,-0.0836698,-0.751803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4342,-0.87808,-0.837931,-0.694427,NA,NA,NA,NA,NA,NA,NA,NA,NA,7867.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4591,-1.69054,-0.682983,-0.875075,NA,NA,NA,NA,NA,4004.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4639,-1.93637,0.0158851,-0.819117,NA,NA,NA,NA,NA,4494.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4942,-2.10785,0.1932,-0.251391,NA,NA,NA,NA,NA,NA,NA,914.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5023,-1.91605,-0.499403,-0.783189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5259,-1.51766,-0.443867,-0.809968,NA,NA,NA,NA,NA,NA,NA,955.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5416,-0.506421,-0.369532,2.0101,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5637,-0.284144,-0.402033,1.71572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5867,2.27186,-1.23018,0.916745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.442,NA,NA,NA,NA,NA,NA,NA,NA,NA
6145,-0.737806,0.380923,-0.672673,NA,NA,NA,NA,6181.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6302,-0.169635,-0.316357,-0.693718,NA,NA,NA,NA,NA,NA,NA,4728.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6528,-0.207032,-1.86,-1.00136,NA,NA,NA,NA,NA,NA,NA,2085.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6630,-0.221728,-1.50754,0.19462,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6831,-1.29352,-1.84749,1.97101,NA,NA,NA,NA,NA,NA,NA,335.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7141,-0.389535,-1.53031,0.756294,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7320,-1.87626,-1.22034,-0.389623,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7581,-2.10135,-1.14327,-0.918937,NA,NA,NA,NA,NA,1130.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7683,-2.11133,-2.36018,-0.0549751,NA,NA,NA,NA,683.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7987,-1.58392,-2.86221,0.445796,NA,NA,NA,NA,NA,586.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8199,-1.49229,-1.90585,-0.64733,NA,NA,NA,NA,NA,NA,NA,2009.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8286,-1.49834,-0.915536,-0.732545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8542,-1.63474,-0.983207,0.0804587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
8703,-0.881405,-0.750454,-0.357324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2697.959,NA,NA,NA,NA,NA,NA,NA,NA
8899,-0.705527,-1.93914,-0.351672,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9127,-0.49299,-1.0156,-0.60071,NA,NA,NA,NA,NA,NA,NA,1000.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9211,-0.551793,-1.39817,-0.144347,NA,NA,NA,NA,7323.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9408,-1.24798,-2.17882,-0.186479,NA,NA,NA,NA,NA,NA,NA,1348.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9696,-1.17621,-2.48248,-1.06043,NA,NA,NA,NA,587.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9942,-0.674172,-1.74161,-0.819137,NA,NA,NA,644.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10043,-0.769519,-3.18925,-0.628956,NA,NA,407.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10344,0.271652,-1.45958,-0.0428358,NA,NA,646.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10423,-1.34631,-1.52392,-0.248527,NA,NA,NA,3843.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10634,-1.56497,-0.942923,-1.07731,NA,NA,NA,NA,NA,NA,NA,4425.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10906,-1.06778,0.32076,-3.79054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11022,-1.01898,-0.21995,-1.97542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778.982,NA,NA,NA,NA,NA,NA,NA,NA,NA
11290,-0.315042,-0.151931,-0.797259,NA,NA,NA,NA,NA,NA,NA,4873.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11525,-0.609866,-0.24244,1.27056,NA,NA,NA,NA,NA,NA,NA,1593.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11778,-1.36138,1.24504,0.308235,NA,NA,NA,NA,NA,856.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11824,-1.35589,0.68883,-1.60482,NA,NA,NA,NA,NA,NA,1278.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12006,-1.98049,0.639178,-1.96188,NA,NA,NA,NA,NA,NA,265.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12365,-1.46884,0.486768,-0.662865,NA,NA,NA,NA,NA,NA,NA,3380.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12588,-0.973434,-0.706917,-0.321928,NA,NA,NA,NA,NA,5557.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12770,-1.86698,-1.26197,-1.35498,NA,NA,NA,NA,3220.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12802,-2.03511,-1.60499,-0.716656,NA,NA,NA,NA,NA,1187.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13181,-2.37583,-0.498762,0.682173,NA,NA,NA,NA,157.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13311,-3.38179,-1.22489,-0.937414,NA,NA,NA,NA,1259.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13413,-3.57696,-1.36205,-1.44982,NA,NA,NA,1166.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13617,-0.982996,-1.4756,-1.04448,NA,NA,NA,374.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13843,-1.44363,-1.13061,-0.0255799,NA,NA,NA,NA,NA,NA,231.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14082,-1.21682,-0.405228,1.30904,NA,NA,NA,NA,619.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14394,-1.30495,0.134008,0.777662,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14575,-1.16355,-0.957939,-0.885128,NA,NA,NA,NA,NA,2831.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14666,-1.09179,-0.115016,-0.356927,NA,NA,NA,NA,NA,268.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14868,-0.786464,-1.07584,-1.24666,NA,NA,NA,NA,NA,4495.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15142,-0.347973,-0.690457,0.723483,NA,NA,NA,NA,1985.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15224,-0.259338,-0.902641,-1.02784,NA,NA,NA,NA,NA,NA,NA,9082.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15456,0.819316,-0.888263,-0.96945,NA,NA,NA,NA,NA,4270.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15661,-0.155623,-0.651046,0.00228477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445.713,NA,NA,NA,NA,NA,NA,NA,NA,NA
15877,-1.55435,-0.961028,-0.843258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4417.015,NA,NA,NA,NA,NA,NA,NA,NA
16061,-0.877493,-2.13986,-0.646689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1410.317,NA,NA,NA,NA,NA,NA,NA,NA
16389,-1.80844,-0.702368,-1.4645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.168,NA,NA,NA,NA,NA,NA,NA,NA
16448,-1.49049,-0.807649,-2.60878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756.02,NA,NA,NA,NA,NA,NA,NA,NA
16614,-0.864177,-1.93847,-4.5544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
16914,-0.161091,-2.90928,-4.48876,NA,NA,NA,NA,886.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17198,-1.44497,-4.05828,-2.60913,NA,NA,NA,NA,1164.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17335,-2.10382,-1.25968,-0.940522,NA,NA,NA,1402.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17452,-2.03154,-2.05839,-0.0940671,NA,NA,NA,NA,NA,NA,869.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17689,-0.649378,-2.05415,-0.213594,NA,NA,NA,NA,NA,4777.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17908,-1.24141,-1.95513,-0.331666,NA,NA,NA,NA,1934.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18037,-1.34068,-2.37889,-1.7989,NA,NA,NA,NA,NA,NA,NA,52.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18330,-2.42549,-2.59132,-2.38861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18449,-1.0516,-1.51226,-2.45293,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18680,-2.07066,-2.46471,-2.55871,NA,NA,NA,NA,541.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18862,-0.940123,-2.37631,-2.93017,NA,NA,NA,NA,NA,NA,421.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19004,-1.01036,-3.05175,-1.10783,NA,NA,NA,NA,327.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19268,0.30283,-3.04807,-1.68244,NA,NA,NA,NA,NA,759.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19474,-0.320281,-1.74202,-0.978879,NA,NA,NA,NA,922.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19791,-0.783891,-1.28556,-1.32101,NA,NA,NA,NA,NA,NA,NA,12646.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19829,-2.00463,0.348865,-3.02916,NA,NA,NA,NA,NA,322.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20061,-2.05596,-1.60751,-2.51512,NA,NA,NA,NA,NA,NA,NA,NA,NA,1391.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20278,-2.20087,-1.55786,-1.47355,NA,NA,NA,NA,4494.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20496,-2.38846,-1.64982,-1.82748,NA,NA,NA,NA,401.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20789,-1.47755,-0.50035,-0.958992,NA,NA,NA,NA,NA,NA,2038.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20860,-0.549457,-1.2675,-1.76538,NA,NA,NA,NA,37.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21071,-0.71854,-0.405232,-1.45435,NA,NA,NA,NA,3285.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21244,-0.10891,-0.653292,-1.61018,NA,NA,NA,NA,5838.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21413,0.0531236,-1.48576,-3.14257,NA,NA,NA,NA,854.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21623,-0.760961,-0.37904,-3.17256,NA,NA,NA,NA,NA,NA,NA,951.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21829,0.220978,-0.673295,-2.44588,NA,NA,NA,NA,NA,NA,NA,918.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22041,-1.3738,-1.66848,-2.89658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22215,-0.57128,-2.54987,-2.53432,NA,NA,NA,NA,NA,193.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22518,-0.208065,-2.3634,-0.678413,NA,NA,NA,NA,1177.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22732,-0.319713,-1.88166,-1.97294,NA,NA,NA,606.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22978,-0.0375551,-1.27778,-2.03471,NA,384.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23084,-1.07958,-0.284365,-1.28325,NA,535.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23227,-0.648246,-0.876075,-2.00615,NA,NA,2230.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23555,-0.109593,-1.63296,-0.932247,NA,NA,NA,NA,NA,NA,NA,NA,823.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23682,-0.0261246,-0.794057,-0.345786,NA,NA,NA,NA,NA,NA,NA,NA,1456.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23921,0.536026,-0.322545,-0.796138,NA,NA,NA,NA,NA,NA,NA,618.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24062,-0.600249,0.927714,-1.87213,NA,NA,NA,NA,NA,1478.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24213,-1.86576,-1.46221,-0.351814,NA,NA,NA,NA,NA,NA,NA,1982.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24578,-2.66455,-0.981232,-0.259026,NA,NA,NA,NA,NA,NA,NA,389.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24716,-1.63337,-1.52192,-0.480252,NA,NA,NA,NA,NA,NA,NA,NA,NA,951.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24851,-2.04,-0.0119363,0.00325374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.468,NA,NA,NA,NA,NA,NA,NA,NA,NA
25164,-1.64478,-0.326332,0.252801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.307,NA,NA,NA,NA,NA,NA,NA
25300,-2.13137,-0.49395,-0.133983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25424,-0.613833,-0.0153354,-0.131358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25675,-0.945944,-0.504813,-1.51662,NA,NA,NA,NA,NA,1687.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25997,-0.944759,-1.40155,-0.916281,NA,NA,NA,NA,NA,24951.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26181,-1.42456,-0.036447,0.0042817,NA,NA,NA,NA,NA,3031.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26246,-1.592,-0.866144,-0.194861,NA,NA,NA,NA,11938.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26401,-0.838473,-0.754751,-0.747457,NA,NA,NA,NA,NA,NA,NA,NA,NA,14140.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26727,0.418428,-1.0225,-0.138505,NA,NA,NA,NA,NA,NA,611.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26854,0.239067,-0.321134,-0.811645,NA,NA,NA,NA,NA,NA,NA,862.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27034,-0.681713,0.995834,-1.57087,NA,NA,NA,NA,2819.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27331,-1.60226,-0.587601,-0.316813,NA,NA,NA,NA,5287.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27405,-1.54902,-0.570791,0.0427341,NA,NA,NA,NA,2697.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27750,-1.34318,-0.765136,0.945894,NA,NA,NA,NA,2670.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27810,-2.64445,-0.807034,1.80085,NA,NA,NA,NA,NA,NA,NA,527.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28105,-1.9596,-0.927633,1.24788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1535.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28316,-0.855425,-1.75704,1.97667,NA,NA,NA,NA,152.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28415,-0.679516,-0.622674,2.78491,NA,NA,NA,NA,NA,NA,1642.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28740,-0.936975,-0.597845,4.34584,NA,NA,NA,NA,NA,2366.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28918,0.0446201,0.0692899,4.47064,NA,NA,NA,NA,122.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29039,0.172107,-0.254355,4.71031,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29400,-1.00069,-1.02176,4.40706,NA,NA,NA,NA,NA,NA,NA,1675.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29497,-1.70425,-0.571911,4.67854,NA,NA,NA,NA,2491.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29664,-1.36087,-0.497199,4.1702,NA,NA,NA,NA,NA,1001.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29894,-0.900841,-0.471163,4.18149,NA,NA,NA,NA,676.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30129,-1.85476,-0.359232,4.68401,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30366,-0.930307,-0.0582045,4.82668,NA,NA,NA,NA,12095.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30456,-1.57683,-0.805313,3.71845,NA,NA,NA,NA,NA,1219.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30634,-0.886513,-0.220492,3.63376,NA,NA,NA,NA,2733.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30820,-0.599007,-0.599432,2.91648,NA,NA,NA,NA,NA,NA,601.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31063,-1.36107,-0.31817,2.79548,NA,NA,NA,NA,NA,NA,1180.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31299,-1.4997,0.367785,4.86406,NA,NA,NA,NA,7299.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31540,-1.42619,-0.839994,4.77668,NA,NA,NA,NA,NA,NA,NA,NA,NA,18312.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31713,-1.36667,-0.949019,4.66824,NA,NA,NA,NA,13387.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31801,-0.523112,-2.11538,4.90298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.569,NA,NA,NA,NA,NA,NA,NA,NA
32010,-1.65963,-2.92556,4.79076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768.748,NA,NA,NA,NA,NA,NA
