id,x0,x1,x2,fitness-1,fitness-2.5,fitness-3,fitness-2,fitness-4,fitness-3.5,fitness-1.5,fitness0.5
7125,2.05338,1.5659,-5,NA,-16.589,NA,NA,NA,NA,NA,NA
7302,1.69687,1.62434,-4.77827,NA,NA,NA,-16.697,NA,NA,NA,NA
7438,1.1376,2.37019,-5,NA,-34.957,NA,NA,NA,NA,NA,NA
7661,2.55977,1.94527,-4.57839,NA,NA,NA,-22.471,NA,NA,NA,NA
7966,1.73051,1.59355,-5,NA,NA,NA,-21.702,NA,NA,NA,NA
8198,2.09679,1.9717,-4.6015,NA,NA,NA,-14.411,NA,NA,NA,NA
8313,1.7778,1.6213,-5,NA,NA,-18.272,NA,NA,NA,NA,NA
8449,2.43823,1.89175,-5,NA,NA,NA,-31.198,NA,NA,NA,NA
8605,2.28277,1.5211,-5,NA,NA,-23.537,NA,NA,NA,NA,NA
8876,2.04045,1.85886,-3.82193,NA,NA,NA,NA,-48.916,NA,NA,NA
9102,1.56974,1.73683,-4.06888,NA,NA,-15.03,NA,NA,NA,NA,NA
9246,1.18825,1.86888,-4.70632,NA,-17.791,NA,NA,NA,NA,NA,NA
9560,1.64959,2.02991,-5,NA,NA,NA,-24.373,NA,NA,NA,NA
9692,1.7526,1.39464,-4.65267,NA,NA,-18.709,NA,NA,NA,NA,NA
9974,1.98677,2.15193,-5,NA,NA,-22.899,NA,NA,NA,NA,NA
10088,1.65992,2.12821,-5,NA,NA,-25.289,NA,NA,NA,NA,NA
10382,2.0228,1.32565,-5,NA,NA,NA,-26.526,NA,NA,NA,NA
10428,2.11414,1.1793,-5,NA,NA,NA,-28.46,NA,NA,NA,NA
10775,1.41064,2.0296,-4.67202,NA,-12.187,NA,NA,NA,NA,NA,NA
10904,1.68278,2.06705,-3.84225,NA,-13.079,NA,NA,NA,NA,NA,NA
11019,0.853208,1.45482,-5,NA,-45.247,NA,NA,NA,NA,NA,NA
11324,1.96826,1.26361,-4.97815,NA,NA,-22.912,NA,NA,NA,NA,NA
11480,2.05921,1.96362,-5,NA,-18.028,NA,NA,NA,NA,NA,NA
11604,1.36387,2.17082,-5,NA,NA,-29.701,NA,NA,NA,NA,NA
11876,2.12203,1.83606,-5,NA,NA,NA,-19.978,NA,NA,NA,NA
12104,2.03033,1.30114,-5,NA,-20.21,NA,NA,NA,NA,NA,NA
12318,1.61869,2.42095,-4.45552,NA,-17.815,NA,NA,NA,NA,NA,NA
12554,1.82516,2.0557,-4.59509,NA,NA,NA,-19.779,NA,NA,NA,NA
12758,1.80081,1.42007,-4.09735,NA,-3.596,NA,NA,NA,NA,NA,NA
12907,2.21503,2.32346,-3.48462,NA,-36.983,NA,NA,NA,NA,NA,NA
13158,1.98257,1.9096,-4.17276,NA,-5.756,NA,NA,NA,NA,NA,NA
13342,1.56447,2.28635,-3.88852,NA,-18.262,NA,NA,NA,NA,NA,NA
13552,2.43126,2.28767,-4.66794,NA,-24.948,NA,NA,NA,NA,NA,NA
13715,1.45838,1.19419,-5,NA,-29.434,NA,NA,NA,NA,NA,NA
13824,2.0058,1.58293,-3.76251,NA,NA,-15.414,NA,NA,NA,NA,NA
14109,2.14367,1.94545,-3.8028,NA,NA,-16.351,NA,NA,NA,NA,NA
14295,2.45272,1.71065,-3.81827,NA,NA,-27.009,NA,NA,NA,NA,NA
14528,2.06272,1.9523,-4.99684,NA,NA,NA,-19.035,NA,NA,NA,NA
14666,1.92083,1.15605,-5,NA,-24.944,NA,NA,NA,NA,NA,NA
14871,1.67106,1.38904,-5,NA,-18.027,NA,NA,NA,NA,NA,NA
15063,1.90556,1.93845,-5,NA,NA,NA,-17.723,NA,NA,NA,NA
15268,1.94281,1.56461,-5,NA,-15.564,NA,NA,NA,NA,NA,NA
15505,1.70473,1.56458,-5,NA,NA,NA,-19.412,NA,NA,NA,NA
15760,1.32874,1.7589,-5,NA,NA,NA,NA,NA,-33.048,NA,NA
15803,2.01585,2.4749,-5,NA,NA,NA,NA,NA,-41.319,NA,NA
16019,1.12289,2.09536,-4.67346,NA,NA,NA,-25.757,NA,NA,NA,NA
16345,1.42649,2.03255,-3.96107,NA,NA,-17.065,NA,NA,NA,NA,NA
16514,1.89874,2.04503,-4.98144,NA,-17.186,NA,NA,NA,NA,NA,NA
16718,2.23589,2.21574,-5,NA,-25.611,NA,NA,NA,NA,NA,NA
16961,1.53664,2.05239,-4.319,NA,NA,NA,-10.556,NA,NA,NA,NA
17172,1.17551,2.01848,-4.36636,NA,NA,NA,-17.49,NA,NA,NA,NA
17326,1.10676,1.92424,-4.12939,NA,-17.433,NA,NA,NA,NA,NA,NA
17488,1.08595,1.66307,-4.32584,NA,-18.345,NA,NA,NA,NA,NA,NA
17639,2.50006,2.41836,-5,NA,NA,NA,-40.526,NA,NA,NA,NA
17924,2.05033,1.93203,-5,NA,NA,-20.087,NA,NA,NA,NA,NA
18079,1.74596,2.65688,-3.90412,NA,-30.667,NA,NA,NA,NA,NA,NA
18263,1.36378,1.56537,-4.58768,NA,NA,-11.818,NA,NA,NA,NA,NA
18434,2.57366,2.26328,-4.57723,NA,NA,-28.234,NA,NA,NA,NA,NA
18789,1.97582,2.118,-4.6776,NA,-11.632,NA,NA,NA,NA,NA,NA
18958,1.65348,1.8983,-5,NA,-16.745,NA,NA,NA,NA,NA,NA
19004,2.06435,1.9561,-4.81636,NA,-12.328,NA,NA,NA,NA,NA,NA
19262,1.81436,1.18077,-4.63172,NA,-11.581,NA,NA,NA,NA,NA,NA
19415,1.94906,1.99515,-5,NA,-18.143,NA,NA,NA,NA,NA,NA
19649,1.48073,1.49057,-3.56165,NA,NA,-31.686,NA,NA,NA,NA,NA
19919,2.11112,2.21374,-3.85085,NA,NA,NA,-22.064,NA,NA,NA,NA
20024,2.07649,2.60866,-3.53263,NA,-41.811,NA,NA,NA,NA,NA,NA
20358,1.88036,1.85095,-3.79781,NA,-11.953,NA,NA,NA,NA,NA,NA
20478,2.01443,1.83908,-4.16942,NA,NA,-9.426,NA,NA,NA,NA,NA
20649,1.14616,1.36696,-4.52449,NA,-19.963,NA,NA,NA,NA,NA,NA
20878,2.21143,1.59757,-5,NA,NA,-23.56,NA,NA,NA,NA,NA
21023,1.72195,1.39788,-5,NA,NA,NA,-26.389,NA,NA,NA,NA
21391,2.22198,1.71823,-5,NA,NA,NA,-22.424,NA,NA,NA,NA
21518,1.46953,1.80651,-4.52011,NA,NA,-7.562,NA,NA,NA,NA,NA
21606,2.25114,2.16585,-3.93911,NA,NA,-28.023,NA,NA,NA,NA,NA
21855,1.91095,1.70569,-3.89383,NA,NA,-11.244,NA,NA,NA,NA,NA
22035,1.58251,2.12133,-4.11253,NA,NA,-14.497,NA,NA,NA,NA,NA
22247,2.03853,1.98833,-4.78093,NA,NA,-17.189,NA,NA,NA,NA,NA
22484,1.79108,2.0029,-5,NA,-17.158,NA,NA,NA,NA,NA,NA
22679,1.58997,2.24985,-5,NA,-23.731,NA,NA,NA,NA,NA,NA
22908,0.974452,1.62308,-5,NA,NA,NA,-41.39,NA,NA,NA,NA
23166,1.78302,1.30612,-5,NA,-19.854,NA,NA,NA,NA,NA,NA
23308,1.77344,2.13606,-3.82667,NA,NA,-15.937,NA,NA,NA,NA,NA
23452,2.02535,1.74429,-3.81427,NA,NA,NA,-18.086,NA,NA,NA,NA
23707,1.65471,1.42655,-4.2319,NA,NA,NA,-6.463,NA,NA,NA,NA
23933,1.0832,1.64085,-4.87093,NA,NA,NA,-26.975,NA,NA,NA,NA
24136,1.35905,1.99809,-4.79811,NA,NA,NA,-21.241,NA,NA,NA,NA
24399,1.34353,2.04936,-5,NA,-22.136,NA,NA,NA,NA,NA,NA
24503,1.84156,1.36701,-4.83199,NA,-12.586,NA,NA,NA,NA,NA,NA
24624,1.7129,1.36054,-5,NA,NA,NA,-29.646,NA,NA,NA,NA
24804,1.50209,1.66258,-5,NA,-17.995,NA,NA,NA,NA,NA,NA
25146,1.27197,1.71506,-5,NA,NA,-23.62,NA,NA,NA,NA,NA
25334,1.61238,2.24254,-4.49564,NA,NA,NA,NA,NA,-31.908,NA,NA
25571,1.60117,1.41615,-4.04628,NA,NA,NA,-14.25,NA,NA,NA,NA
25618,1.03071,1.74112,-4.20061,NA,NA,NA,-22.035,NA,NA,NA,NA
25926,2.18424,2.05281,-4.86244,NA,NA,-21.45,NA,NA,NA,NA,NA
26182,1.46572,1.19199,-3.91071,NA,-17.983,NA,NA,NA,NA,NA,NA
26348,1.60108,1.75022,-4.54173,NA,-5.01,NA,NA,NA,NA,NA,NA
26577,1.72542,1.40239,-4.08624,NA,NA,-12.56,NA,NA,NA,NA,NA
26654,2.19778,1.75858,-4.60531,NA,NA,-10.726,NA,NA,NA,NA,NA
26897,1.73204,1.45178,-5,NA,-18.541,NA,NA,NA,NA,NA,NA
27017,1.74086,1.60338,-5,NA,NA,NA,-18.536,NA,NA,NA,NA
27367,1.46627,2.00351,-4.21885,NA,NA,NA,-13.069,NA,NA,NA,NA
27475,1.42106,1.26878,-4.00598,NA,-13.645,NA,NA,NA,NA,NA,NA
27727,2.02046,1.9552,-4.1246,NA,NA,NA,-12.365,NA,NA,NA,NA
27966,2.10667,1.32687,-4.83603,NA,-14.72,NA,NA,NA,NA,NA,NA
28168,1.78527,1.2741,-4.0299,NA,-7.386,NA,NA,NA,NA,NA,NA
28231,1.69571,1.73183,-4.68123,NA,-5.279,NA,NA,NA,NA,NA,NA
28496,1.87412,2.45924,-4.98321,NA,NA,-29.104,NA,NA,NA,NA,NA
28698,1.39608,1.28027,-5,NA,NA,-29.36,NA,NA,NA,NA,NA
28986,0.92639,2.21297,-5,NA,-38.287,NA,NA,NA,NA,NA,NA
29107,1.14426,2.01765,-5,NA,-27.106,NA,NA,NA,NA,NA,NA
29281,1.29838,2.38716,-4.09117,NA,-23.539,NA,NA,NA,NA,NA,NA
29552,1.80889,2.49384,-3.93457,NA,NA,NA,-24.745,NA,NA,NA,NA
29746,1.69944,2.66947,-3.97368,NA,NA,NA,-33.004,NA,NA,NA,NA
29908,1.28082,1.98332,-3.94435,NA,NA,NA,-20.566,NA,NA,NA,NA
30075,1.33312,1.81478,-4.43689,NA,NA,-12.101,NA,NA,NA,NA,NA
30293,1.35641,1.01349,-4.46709,NA,-26.401,NA,NA,NA,NA,NA,NA
30414,1.46818,1.40047,-5,NA,NA,-22.618,NA,NA,NA,NA,NA
30648,1.21629,1.63831,-5,NA,NA,-30.115,NA,NA,NA,NA,NA
30997,1.72027,1.56331,-4.16734,NA,NA,-11.096,NA,NA,NA,NA,NA
31025,1.52596,1.99466,-5,NA,-18.878,NA,NA,NA,NA,NA,NA
31232,2.57822,2.38238,-5,NA,-38.313,NA,NA,NA,NA,NA,NA
31542,2.081,2.18108,-4.04274,NA,-13.415,NA,NA,NA,NA,NA,NA
31625,2.03474,1.03677,-3.90536,NA,NA,-28.352,NA,NA,NA,NA,NA
31807,2.19812,1.53873,-5,NA,NA,NA,-20.709,NA,NA,NA,NA
32099,1.59217,1.82517,-3.68407,NA,-16.608,NA,NA,NA,NA,NA,NA
32366,2.26309,1.60672,-4.62361,NA,NA,NA,-19.652,NA,NA,NA,NA
32473,1.54592,1.55129,-4.58159,NA,NA,NA,-14.394,NA,NA,NA,NA
32683,2.52748,1.484,-4.81634,NA,-25.026,NA,NA,NA,NA,NA,NA
32974,2.2066,1.91624,-4.86192,NA,-16.435,NA,NA,NA,NA,NA,NA
33119,2.50065,1.87322,-4.13764,NA,NA,NA,-19.892,NA,NA,NA,NA
33338,2.14867,1.61413,-4.37588,NA,NA,NA,-11.389,NA,NA,NA,NA
33444,3.0462,1.36623,-5,NA,NA,-52.506,NA,NA,NA,NA,NA
33646,1.85625,1.7586,-3.7918,NA,-9.719,NA,NA,NA,NA,NA,NA
33900,1.55101,1.82821,-5,NA,-16.802,NA,NA,NA,NA,NA,NA
34041,1.81048,2.49489,-4.81255,NA,-24.415,NA,NA,NA,NA,NA,NA
34312,2.30182,2.28181,-3.85191,NA,-24.317,NA,NA,NA,NA,NA,NA
34509,1.94084,2.32875,-4.48836,NA,NA,NA,-17.093,NA,NA,NA,NA
34754,1.97506,1.81585,-4.02972,NA,-6.274,NA,NA,NA,NA,NA,NA
34895,1.59285,1.29017,-5,NA,-21.637,NA,NA,NA,NA,NA,NA
35052,1.38963,1.97298,-5,NA,NA,-21.817,NA,NA,NA,NA,NA
35384,1.83722,1.70948,-5,NA,NA,-15.751,NA,NA,NA,NA,NA
35554,0.990808,2.3844,-5,NA,-39.169,NA,NA,NA,NA,NA,NA
35756,2.26151,1.64314,-4.45945,NA,NA,-10.793,NA,NA,NA,NA,NA
35838,2.62717,1.45169,-4.27349,NA,-22.267,NA,NA,NA,NA,NA,NA
36156,2.05819,1.50095,-5,NA,-17.135,NA,NA,NA,NA,NA,NA
36344,2.00169,1.25023,-3.92308,NA,NA,NA,-18.998,NA,NA,NA,NA
36532,2.11455,2.12775,-3.88769,NA,NA,NA,-18.953,NA,NA,NA,NA
36671,1.98958,1.60614,-4.54036,NA,NA,NA,-5.875,NA,NA,NA,NA
36866,1.2018,1.73971,-3.95012,NA,NA,NA,-25.231,NA,NA,NA,NA
37110,1.81671,2.47021,-4.34774,NA,NA,NA,-19.835,NA,NA,NA,NA
37378,2.24454,2.26508,-5,NA,NA,-30.699,NA,NA,NA,NA,NA
37598,1.58091,1.32792,-5,NA,-20.622,NA,NA,NA,NA,NA,NA
37662,1.90579,1.98248,-3.81019,NA,-13.561,NA,NA,NA,NA,NA,NA
37967,0.977976,1.83651,-5,NA,-32.509,NA,NA,NA,NA,NA,NA
38179,2.30702,1.74336,-5,NA,NA,-22.226,NA,NA,NA,NA,NA
38292,2.58297,1.7422,-5,NA,NA,-36.442,NA,NA,NA,NA,NA
38592,2.23888,1.687,-5,NA,NA,NA,-30.021,NA,NA,NA,NA
38628,1.96798,1.28794,-4.36038,NA,-6.529,NA,NA,NA,NA,NA,NA
38896,1.99702,2.32579,-3.86806,NA,NA,NA,-26.189,NA,NA,NA,NA
39131,1.49439,1.07664,-4.18079,NA,NA,-18.846,NA,NA,NA,NA,NA
39266,1.86545,2.56178,-5,NA,NA,NA,-36.402,NA,NA,NA,NA
39506,2.29572,2.09638,-4.34495,NA,-14.286,NA,NA,NA,NA,NA,NA
39729,1.53452,1.65133,-4.69104,NA,-6.633,NA,NA,NA,NA,NA,NA
39931,1.32303,1.32338,-4.19935,NA,NA,-18.245,NA,NA,NA,NA,NA
40125,1.29055,1.72938,-4.34715,NA,-8.959,NA,NA,NA,NA,NA,NA
40231,1.60934,1.90427,-4.88073,NA,-12.279,NA,NA,NA,NA,NA,NA
40406,1.33344,2.65299,-4.87241,NA,-35.833,NA,NA,NA,NA,NA,NA
40686,1.49344,1.70738,-4.97387,NA,NA,-19.069,NA,NA,NA,NA,NA
40885,1.77221,2.37486,-5,NA,-25.164,NA,NA,NA,NA,NA,NA
41113,1.5004,1.74649,-4.8016,NA,-10.384,NA,NA,NA,NA,NA,NA
41226,1.40075,1.59717,-4.71725,NA,-10.664,NA,NA,NA,NA,NA,NA
41486,1.97539,1.17815,-5,NA,NA,NA,-30.277,NA,NA,NA,NA
41718,2.50314,1.83222,-4.07587,NA,NA,NA,NA,NA,NA,-32.329,NA
41819,1.44475,1.90733,-4.10094,NA,-7.737,NA,NA,NA,NA,NA,NA
42123,1.8854,1.48392,-3.98166,NA,NA,NA,-8.751,NA,NA,NA,NA
42364,1.92709,1.23217,-5,NA,NA,NA,-24.454,NA,NA,NA,NA
42532,2.28951,1.67496,-4.61429,NA,NA,-20.474,NA,NA,NA,NA,NA
42660,1.65812,1.51761,-4.34806,NA,NA,NA,NA,NA,-24.308,NA,NA
42848,1.55935,1.79507,-3.77243,NA,NA,-17.129,NA,NA,NA,NA,NA
43139,1.97194,1.76468,-3.9216,NA,NA,-17.475,NA,NA,NA,NA,NA
43340,2.35621,2.33069,-4.46422,NA,NA,NA,-24.417,NA,NA,NA,NA
43514,1.87109,1.62553,-4.82137,NA,-9.829,NA,NA,NA,NA,NA,NA
43696,1.5507,2.98893,-5,NA,-52.138,NA,NA,NA,NA,NA,NA
43956,1.54223,2.62169,-4.8243,NA,-30.905,NA,NA,NA,NA,NA,NA
44155,2.09336,2.87404,-4.76614,NA,NA,NA,-42.622,NA,NA,NA,NA
44232,1.69542,2.26925,-5,NA,-22.174,NA,NA,NA,NA,NA,NA
44446,1.08388,2.05326,-4.78359,NA,NA,-28.377,NA,NA,NA,NA,NA
44714,2.14111,1.98885,-5,NA,NA,-23.007,NA,NA,NA,NA,NA
44802,2.03832,1.67418,-5,NA,NA,NA,-18.103,NA,NA,NA,NA
45040,2.21409,1.10558,-4.34108,NA,-17.443,NA,NA,NA,NA,NA,NA
45328,2.253,1.3631,-4.69505,NA,NA,NA,-28.626,NA,NA,NA,NA
45500,1.31621,0.920342,-4.46877,NA,-36.02,NA,NA,NA,NA,NA,NA
45696,1.55747,1.74963,-5,NA,NA,-21.672,NA,NA,NA,NA,NA
45819,1.86044,1.1915,-4.72563,NA,-13.471,NA,NA,NA,NA,NA,NA
46137,2.29011,1.18678,-5,NA,-28.92,NA,NA,NA,NA,NA,NA
46396,2.5887,1.37179,-4.85679,NA,NA,NA,-30.54,NA,NA,NA,NA
46468,1.59697,1.5633,-3.9218,NA,NA,-16.337,NA,NA,NA,NA,NA
46643,1.9986,1.23297,-4.64391,NA,-12.77,NA,NA,NA,NA,NA,NA
46875,1.7322,2.01658,-5,NA,NA,-20.038,NA,NA,NA,NA,NA
47085,2.11545,2.19107,-3.81795,NA,NA,-22.351,NA,NA,NA,NA,NA
47308,1.69523,1.98667,-4.16147,NA,NA,NA,-7.923,NA,NA,NA,NA
47420,1.52474,1.85574,-5,NA,NA,NA,-23.288,NA,NA,NA,NA
47723,0.706487,1.82947,-4.61201,NA,NA,-37.192,NA,NA,NA,NA,NA
47819,1.89239,1.49945,-5,NA,-16.775,NA,NA,NA,NA,NA,NA
48078,1.87724,1.88272,-5,NA,NA,-17.373,NA,NA,NA,NA,NA
48223,2.00364,1.98647,-5,NA,-17.493,NA,NA,NA,NA,NA,NA
48500,1.54467,1.68634,-5,NA,NA,NA,-23.696,NA,NA,NA,NA
48608,1.61353,0.906515,-5,NA,-43.344,NA,NA,NA,NA,NA,NA
48819,2.24219,2.6553,-3.83503,NA,-37.317,NA,NA,NA,NA,NA,NA
49200,1.82512,2.09214,-4.88039,NA,NA,NA,-17.583,NA,NA,NA,NA
49388,1.666,1.43636,-4.06069,NA,NA,NA,-13.342,NA,NA,NA,NA
49512,1.8236,1.42032,-4.37385,NA,-3.6,NA,NA,NA,NA,NA,NA
49771,2.19004,1.51911,-3.68306,NA,-19.251,NA,NA,NA,NA,NA,NA
49814,1.29716,1.13553,-4.77882,NA,-27.167,NA,NA,NA,NA,NA,NA
50029,1.90924,2.01467,-5,NA,NA,NA,-23.133,NA,NA,NA,NA
50275,1.73358,1.7309,-4.3496,NA,-0.787,NA,NA,NA,NA,NA,NA
50514,2.10245,1.38935,-5,NA,NA,NA,-22.456,NA,NA,NA,NA
50652,1.98872,1.67881,-5,NA,NA,NA,-25.199,NA,NA,NA,NA
50808,1.52159,1.55937,-5,NA,NA,NA,NA,NA,-36.568,NA,NA
51125,1.96129,1.5581,-5,NA,NA,NA,NA,NA,-28.661,NA,NA
51294,1.86318,1.95457,-5,NA,-16.063,NA,NA,NA,NA,NA,NA
51529,1.85359,2.32362,-4.13243,NA,-15.393,NA,NA,NA,NA,NA,NA
51618,2.02917,2.11889,-3.96818,NA,-12.237,NA,NA,NA,NA,NA,NA
51875,1.99092,1.40473,-4.8036,NA,-11.704,NA,NA,NA,NA,NA,NA
52028,1.55753,2.21372,-5,NA,NA,NA,-31.135,NA,NA,NA,NA
52366,1.60497,1.23839,-4.55312,NA,-8.938,NA,NA,NA,NA,NA,NA
52465,1.84257,1.79862,-4.80934,NA,NA,NA,-15.07,NA,NA,NA,NA
52721,1.86903,2.25408,-4.91709,NA,NA,-20.945,NA,NA,NA,NA,NA
52965,2.36035,1.4962,-4.70524,NA,-15.208,NA,NA,NA,NA,NA,NA
53089,1.86244,2.16419,-4.25235,NA,NA,-17.96,NA,NA,NA,NA,NA
53388,1.29744,2.04699,-3.57616,NA,-27.552,NA,NA,NA,NA,NA,NA
53566,1.00796,1.54576,-5,NA,-33.935,NA,NA,NA,NA,NA,NA
53634,1.84719,1.65185,-5,NA,-14.662,NA,NA,NA,NA,NA,NA
53983,1.64,1.91053,-4.66555,NA,NA,-8.775,NA,NA,NA,NA,NA
54034,2.14579,0.940523,-4.43642,NA,NA,-30.898,NA,NA,NA,NA,NA
54213,1.58018,1.06666,-4.2359,NA,NA,-24.42,NA,NA,NA,NA,NA
54496,1.79594,1.72042,-4.36727,NA,NA,-8.448,NA,NA,NA,NA,NA
54619,2.32725,2.22531,-4.91301,NA,NA,NA,-26.083,NA,NA,NA,NA
54804,1.32115,1.51479,-5,NA,-22.912,NA,NA,NA,NA,NA,NA
55033,2.12374,1.75566,-4.5174,NA,NA,NA,-10.035,NA,NA,NA,NA
55278,1.81667,1.48647,-5,NA,NA,-22.773,NA,NA,NA,NA,NA
55438,2.14556,1.59234,-5,NA,-17.617,NA,NA,NA,NA,NA,NA
55719,1.64936,1.40565,-5,NA,NA,-19.968,NA,NA,NA,NA,NA
55930,0.92317,1.93799,-4.45411,NA,NA,-26.497,NA,NA,NA,NA,NA
56188,1.81724,1.5599,-5,NA,-15.303,NA,NA,NA,NA,NA,NA
56292,1.31447,2.03542,-5,NA,NA,-23.621,NA,NA,NA,NA,NA
56427,1.98941,2.15889,-4.90378,NA,NA,-26.077,NA,NA,NA,NA,NA
56713,1.78067,1.59108,-4.36026,NA,-0.175,NA,NA,NA,NA,NA,NA
56875,2.23319,1.31472,-4.3214,NA,-10.728,NA,NA,NA,NA,NA,NA
57178,1.63584,1.93312,-5,NA,NA,NA,-18.602,NA,NA,NA,NA
57324,2.09175,1.70855,-5,NA,NA,NA,NA,NA,NA,-41.028,NA
57505,1.09064,1.87681,-5,NA,-28.042,NA,NA,NA,NA,NA,NA
57680,2.81892,1.5156,-4.71583,NA,-32.941,NA,NA,NA,NA,NA,NA
57919,1.90484,1.86567,-5,NA,NA,NA,-21.834,NA,NA,NA,NA
58073,2.36173,1.76564,-4.2829,NA,NA,NA,-12.876,NA,NA,NA,NA
58334,2.35644,1.64485,-4.27919,NA,-10.557,NA,NA,NA,NA,NA,NA
58589,1.54859,1.8711,-5,NA,NA,-21.654,NA,NA,NA,NA,NA
58661,1.97965,1.09923,-5,NA,-27.756,NA,NA,NA,NA,NA,NA
58877,1.96568,1.72769,-5,NA,-15.761,NA,NA,NA,NA,NA,NA
59120,1.44242,1.36988,-3.5936,NA,-28.503,NA,NA,NA,NA,NA,NA
59392,2.96816,2.2217,-4.79508,NA,NA,-51.351,NA,NA,NA,NA,NA
59598,1.71148,2.50309,-4.41229,NA,-20.872,NA,NA,NA,NA,NA,NA
59628,2.34651,1.79992,-4.72992,NA,NA,NA,-19.359,NA,NA,NA,NA
59817,2.35105,1.72496,-4.528,NA,NA,-17.486,NA,NA,NA,NA,NA
60017,1.93051,2.47719,-4.3363,NA,-18.998,NA,NA,NA,NA,NA,NA
60342,1.78009,1.40782,-4.74966,NA,NA,NA,-19.51,NA,NA,NA,NA
60469,2.37834,2.10604,-4.98603,NA,NA,NA,-30.581,NA,NA,NA,NA
60741,2.19433,1.89846,-4.88589,NA,NA,NA,NA,NA,-38.08,NA,NA
60862,1.67166,1.8114,-4.82329,NA,-9.424,NA,NA,NA,NA,NA,NA
61142,1.66818,2.5767,-4.68654,NA,-25.752,NA,NA,NA,NA,NA,NA
61325,1.68303,1.33544,-4.78222,NA,NA,-12.418,NA,NA,NA,NA,NA
61466,2.12329,1.524,-5,NA,-17.504,NA,NA,NA,NA,NA,NA
61619,2.34727,1.4911,-4.19357,NA,NA,-14.161,NA,NA,NA,NA,NA
61903,1.75842,2.08594,-4.25584,NA,NA,-14.991,NA,NA,NA,NA,NA
62046,1.80529,2.5003,-4.42426,NA,-20.316,NA,NA,NA,NA,NA,NA
62235,1.69425,1.81024,-4.13117,NA,NA,-5.247,NA,NA,NA,NA,NA
62593,2.42901,1.38027,-4.71845,NA,NA,-20.562,NA,NA,NA,NA,NA
62638,2.22664,1.65881,-4.26132,NA,NA,NA,NA,NA,-29.69,NA,NA
62918,1.33673,1.65374,-5,NA,NA,-31.514,NA,NA,NA,NA,NA
63043,0.986319,1.91648,-4.86863,NA,NA,-28.251,NA,NA,NA,NA,NA
