id,x0,x1,x2,fitness-2.5,fitness-2,fitness-1.5,fitness-3.5,fitness-3,fitness-4,fitness-1,fitness-0.5,fitness0,fitness-5,fitness-4.5,fitness0.5,fitness1
4583,2.13198,2.13451,-5,NA,-28.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4792,1.00999,3.44098,-3.65744,NA,NA,-134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4822,2.1232,3.89927,-4.68973,NA,NA,NA,NA,NA,NA,NA,NA,-225.711,NA,NA,NA,NA
5114,1.65638,3.49336,-4.99193,NA,NA,NA,NA,NA,NA,NA,-184.816,NA,NA,NA,NA,NA
5277,1.93208,2.57413,-4.08079,NA,NA,-41.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5532,-0.231386,1.93452,-3.37403,NA,NA,-155.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5753,1.98942,1.57771,-2.20868,NA,-135.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5831,2.29887,0.864669,-3.84176,NA,NA,-76.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6026,2.45917,0.922206,-2.47259,NA,NA,NA,NA,NA,NA,NA,-238.478,NA,NA,NA,NA,NA
6257,3.22686,-0.246409,-3.16067,-226.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6496,2.97873,1.2726,-4.57294,NA,NA,NA,NA,-51.511,NA,NA,NA,NA,NA,NA,NA,NA
6703,2.40162,0.0479082,-4.70855,NA,NA,NA,-130.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
6910,3.02494,1.52787,-4.98984,NA,NA,NA,-67.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
7087,2.6354,2.31815,-5,NA,-42.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7261,2.68564,3.24163,-5,-82.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7519,2.40338,2.71882,-5,NA,NA,-59.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7778,2.75049,2.84708,-4.93965,NA,NA,NA,NA,-64.265,NA,NA,NA,NA,NA,NA,NA,NA
7966,3.29545,1.88606,-3.17281,NA,NA,NA,NA,NA,NA,-122.607,NA,NA,NA,NA,NA,NA
8071,2.27554,2.08731,-3.83594,NA,NA,-42.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8395,1.70553,2.31092,-4.06542,NA,-21.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8401,1.66982,1.95842,-4.21116,-5.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8782,1.82902,1.60565,-4.07122,NA,-6.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8801,1.89971,2.80901,-5,NA,NA,NA,NA,-46.431,NA,NA,NA,NA,NA,NA,NA,NA
9033,0.634966,2.93101,-3.98524,-69.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9264,1.27768,2.68459,-4.48007,NA,NA,NA,NA,-37.93,NA,NA,NA,NA,NA,NA,NA,NA
9578,0.0643684,0.721875,-4.72421,NA,NA,NA,-152.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
9630,1.02568,2.0435,-4.37452,NA,NA,NA,NA,-22.329,NA,NA,NA,NA,NA,NA,NA,NA
9813,1.54008,1.91188,-4.65094,NA,NA,NA,NA,-9.662,NA,NA,NA,NA,NA,NA,NA,NA
10035,1.3443,0.965663,-5,NA,NA,NA,NA,NA,-75.04,NA,NA,NA,NA,NA,NA,NA
10334,1.04982,1.44189,-5,NA,NA,NA,NA,-42.143,NA,NA,NA,NA,NA,NA,NA,NA
10429,1.50591,2.24319,-4.04501,-15.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10639,0.448971,1.87821,-3.46321,NA,NA,NA,NA,-71.158,NA,NA,NA,NA,NA,NA,NA,NA
10921,0.877045,1.79249,-3.76304,NA,NA,NA,-51.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
11079,0.604102,1.55751,-4.02585,NA,-55.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11273,0.559568,3.06965,-3.32379,-105.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11567,0.733082,3.51054,-3.98168,NA,NA,NA,NA,NA,NA,NA,-222.783,NA,NA,NA,NA,NA
11612,0.864143,2.05368,-4.09955,NA,NA,-66.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11918,0.0781602,2.37825,-5,NA,NA,NA,-96.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
12046,0.969603,2.54276,-5,-44.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12272,1.94299,3.98,-4.79573,NA,NA,NA,NA,-121.916,NA,NA,NA,NA,NA,NA,NA,NA
12494,0.403776,3.40738,-5,NA,NA,NA,NA,-119.33,NA,NA,NA,NA,NA,NA,NA,NA
12616,0.862404,2.84981,-4.81423,NA,NA,NA,NA,NA,-89.899,NA,NA,NA,NA,NA,NA,NA
12865,-0.363222,3.0805,-3.93781,NA,NA,NA,-169.839,NA,NA,NA,NA,NA,NA,NA,NA,NA
13080,-0.170144,3.30038,-4.20616,NA,NA,NA,NA,NA,-178.179,NA,NA,NA,NA,NA,NA,NA
13371,1.15338,2.93003,-3.32144,NA,NA,NA,NA,-74.181,NA,NA,NA,NA,NA,NA,NA,NA
13494,0.00790138,2.21972,-4.86438,NA,NA,NA,-95.597,NA,NA,NA,NA,NA,NA,NA,NA,NA
13640,0.31293,0.963175,-3.84749,NA,NA,NA,NA,NA,-130.206,NA,NA,NA,NA,NA,NA,NA
13998,2.09184,1.85046,-2.97278,NA,NA,NA,NA,NA,NA,NA,NA,NA,-166.275,NA,NA,NA
14023,1.89009,1.37671,-3.92996,NA,NA,NA,NA,-10.621,NA,NA,NA,NA,NA,NA,NA,NA
14201,3.30187,0.940549,-5,NA,NA,NA,-103.676,NA,NA,NA,NA,NA,NA,NA,NA,NA
14468,3.90865,3.45513,-4.27801,NA,NA,NA,NA,-179.33,NA,NA,NA,NA,NA,NA,NA,NA
14700,2.502,2.83182,-3.41658,NA,-77.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14846,1.75673,1.3198,-3.98861,-8.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15076,1.80375,0.81009,-3.84495,NA,NA,NA,-71.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
15279,2.53251,0.810271,-4.38928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-107.891,NA,NA
15595,2.74362,1.25128,-4.57206,NA,NA,NA,NA,NA,-90.925,NA,NA,NA,NA,NA,NA,NA
15716,3.32598,1.54404,-3.94427,NA,NA,NA,NA,NA,NA,NA,NA,NA,-202.708,NA,NA,NA
15910,1.55126,1.02164,-4.47525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.204,NA,NA
16091,1.06,1.28462,-4.17362,NA,NA,NA,NA,NA,NA,NA,NA,NA,-138.909,NA,NA,NA
16291,1.66493,0.548212,-4.80525,NA,NA,NA,NA,NA,NA,NA,NA,NA,-179.731,NA,NA,NA
16541,1.6108,2.18731,-3.32683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.221,NA,NA
16776,0.608372,1.50047,-4.71285,NA,NA,NA,NA,NA,NA,NA,NA,NA,-167.386,NA,NA,NA
16829,-0.0591998,0.547448,-3.69252,NA,NA,NA,NA,NA,NA,NA,NA,NA,-282.513,NA,NA,NA
17041,2.50586,0.787309,-3.26528,NA,NA,NA,NA,NA,-119.333,NA,NA,NA,NA,NA,NA,NA
17302,1.12428,1.68762,-3.76681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.94,NA,NA
17437,0.936358,0.963737,-4.29996,NA,NA,NA,NA,NA,NA,NA,NA,NA,-170.157,NA,NA,NA
17658,1.67018,2.61978,-5,-33.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17999,1.41995,2.4123,-5,NA,-30.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18102,2.1794,2.1481,-4.33492,NA,NA,-29.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18359,1.41923,1.52,-4.37267,NA,NA,NA,NA,NA,NA,-52.683,NA,NA,NA,NA,NA,NA
18589,2.54392,2.76864,-5,NA,-57.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18614,3.4597,2.64923,-4.35355,NA,NA,NA,NA,-90.497,NA,NA,NA,NA,NA,NA,NA,NA
18906,2.63206,2.90341,-4.02592,NA,NA,NA,-90.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
19147,3.2044,2.1758,-3.37781,-84.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19338,3.31983,1.02935,-4.50943,NA,-72.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19491,2.95311,2.56813,-5,NA,NA,NA,NA,-63.183,NA,NA,NA,NA,NA,NA,NA,NA
19735,2.60664,2.56219,-3.94039,NA,NA,-61.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19890,1.53479,2.66662,-4.36392,NA,NA,NA,NA,NA,NA,-69.29,NA,NA,NA,NA,NA,NA
20159,2.11247,3.50547,-4.88657,-83.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20338,1.41871,3.46015,-5,-83.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20523,0.632101,2.86455,-4.7453,-66.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20760,0.401361,2.05214,-4.16306,NA,NA,NA,-62.911,NA,NA,NA,NA,NA,NA,NA,NA,NA
20953,1.57234,0.90932,-4.15955,NA,NA,NA,-49.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
21177,0.911162,1.23198,-5,NA,NA,NA,-66.398,NA,NA,NA,NA,NA,NA,NA,NA,NA
21306,0.881656,1.37968,-5,NA,NA,NA,-56.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
21592,0.477867,1.92715,-4.82616,NA,NA,NA,-77.359,NA,NA,NA,NA,NA,NA,NA,NA,NA
21794,2.35179,2.00819,-4.3418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.189,NA,NA
21954,1.93755,3.00617,-3.74201,NA,NA,NA,NA,NA,-88.842,NA,NA,NA,NA,NA,NA,NA
22071,2.04845,2.72586,-3.68609,-41.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22379,2.04419,2.82933,-3.55561,NA,-52.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22412,2.41014,3.09196,-4.2367,-57.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22760,2.51102,2.9663,-5,NA,NA,NA,NA,-65.898,NA,NA,NA,NA,NA,NA,NA,NA
22909,1.79168,3.49476,-5,-84.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23120,1.35733,3.51392,-5,NA,NA,NA,NA,-93.323,NA,NA,NA,NA,NA,NA,NA,NA
23234,1.90787,2.30115,-5,NA,NA,NA,-43.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
23448,3.15185,2.00106,-4.95431,NA,NA,NA,NA,-55.598,NA,NA,NA,NA,NA,NA,NA,NA
23726,3.06414,2.07208,-5,NA,-55.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23888,3.16896,1.64582,-5,NA,-65.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24051,1.74526,1.98299,-3.87688,NA,-24.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24276,1.4999,3.19802,-3.96517,-59.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24509,1.51218,3.9334,-4.98324,NA,-131.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24662,1.87198,3.06313,-4.64713,-48.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24867,1.82932,3.5181,-5,-85.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25089,1.68316,2.61284,-5,-33.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25212,1.84595,1.61517,-5,NA,NA,NA,NA,-16.141,NA,NA,NA,NA,NA,NA,NA,NA
25493,0.644489,2.64673,-4.0671,NA,-61.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25770,0.469495,2.00293,-5,-57.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25891,1.92268,1.55255,-3.98937,-5.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26090,2.22118,2.32173,-4.46237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.676,NA,NA
26347,2.02714,2.37173,-3.6931,NA,NA,NA,NA,NA,NA,NA,NA,NA,-156.348,NA,NA,NA
26456,0.956763,2.6513,-2.77583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.373,NA,NA
26755,1.39768,1.94467,-3.01016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.499,NA,NA
26961,1.23469,1.44203,-3.63206,NA,NA,NA,NA,NA,-74.553,NA,NA,NA,NA,NA,NA,NA
27006,1.83846,1.3862,-4.71068,NA,NA,NA,NA,-17.678,NA,NA,NA,NA,NA,NA,NA,NA
27370,2.28996,2.05246,-5,NA,NA,NA,-36.594,NA,NA,NA,NA,NA,NA,NA,NA,NA
27542,2.43538,1.92219,-4.76119,NA,NA,NA,NA,NA,-65.201,NA,NA,NA,NA,NA,NA,NA
27649,2.09444,1.10255,-5,-29.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27903,1.45159,1.68874,-5,NA,-20.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28150,2.09812,0.763524,-4.87285,NA,NA,-66.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28360,2.00221,0.136553,-3.84965,NA,NA,NA,NA,-119.805,NA,NA,NA,NA,NA,NA,NA,NA
28462,1.54716,1.03918,-4.25532,NA,NA,NA,NA,-33.84,NA,NA,NA,NA,NA,NA,NA,NA
28660,2.48037,0.656519,-4.97623,NA,NA,-82.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28831,2.88021,0.138353,-5,NA,NA,NA,-134.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
29125,2.23374,0.400028,-5,NA,NA,NA,NA,NA,-104.057,NA,NA,NA,NA,NA,NA,NA
29243,2.77327,1.22876,-4.70482,NA,NA,NA,NA,NA,-96.211,NA,NA,NA,NA,NA,NA,NA
29455,2.52661,0.715572,-3.42313,NA,NA,NA,NA,NA,-104.986,NA,NA,NA,NA,NA,NA,NA
29722,1.26656,0.998592,-4.16259,NA,NA,NA,NA,-43.123,NA,NA,NA,NA,NA,NA,NA,NA
29995,1.01359,1.68395,-3.3142,NA,NA,NA,-57.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
30094,0.735892,2.63581,-4.81597,NA,NA,NA,NA,-61.995,NA,NA,NA,NA,NA,NA,NA,NA
30385,1.47153,4.19801,-4.84273,-144.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30465,1.77931,3.89588,-3.38124,-133.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30770,2.01183,2.81565,-4.022,NA,NA,NA,NA,-38.075,NA,NA,NA,NA,NA,NA,NA,NA
30982,1.17767,1.5189,-3.37709,NA,NA,NA,-67.436,NA,NA,NA,NA,NA,NA,NA,NA,NA
31143,1.49828,1.32311,-4.61392,NA,NA,NA,NA,-22.06,NA,NA,NA,NA,NA,NA,NA,NA
31395,2.10047,0.954916,-4.25813,-23.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31503,2.47961,-0.0543322,-4.75602,NA,NA,NA,NA,-145.366,NA,NA,NA,NA,NA,NA,NA,NA
31701,2.26589,0.245848,-5,-104.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31941,2.82244,0.460136,-5,NA,NA,NA,-104.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
32098,2.37694,0.665943,-5,NA,NA,NA,NA,-68.909,NA,NA,NA,NA,NA,NA,NA,NA
32366,1.65044,0.523184,-4.89188,NA,NA,NA,NA,NA,-106.505,NA,NA,NA,NA,NA,NA,NA
32556,1.96644,0.47518,-5,NA,NA,NA,-89.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
32743,1.66525,1.72167,-3.66011,NA,NA,NA,-32.993,NA,NA,NA,NA,NA,NA,NA,NA,NA
32975,1.92173,1.63134,-4.43821,NA,NA,NA,NA,-16.309,NA,NA,NA,NA,NA,NA,NA,NA
33150,1.69363,1.36292,-5,-19.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33301,1.91031,2.15817,-4.46635,NA,NA,NA,-38.824,NA,NA,NA,NA,NA,NA,NA,NA,NA
33561,2.09666,3.19332,-4.2989,NA,NA,NA,NA,NA,-107.195,NA,NA,NA,NA,NA,NA,NA
33786,2.71042,3.49878,-3.85544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207.858,NA,NA
33837,1.56407,2.13017,-4.69139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.199,NA,NA
34125,0.83946,2.33729,-4.34188,NA,NA,NA,NA,NA,-68.876,NA,NA,NA,NA,NA,NA,NA
34298,1.44453,1.92048,-5,NA,NA,NA,NA,-21.483,NA,NA,NA,NA,NA,NA,NA,NA
34531,2.68616,2.4017,-5,NA,NA,NA,NA,-47.976,NA,NA,NA,NA,NA,NA,NA,NA
34692,1.78902,3.28403,-5,NA,NA,NA,-87.997,NA,NA,NA,NA,NA,NA,NA,NA,NA
34938,1.16713,3.35142,-5,NA,NA,NA,NA,NA,-114.757,NA,NA,NA,NA,NA,NA,NA
35009,2.37181,4.07722,-3.62971,NA,NA,NA,NA,NA,-199.664,NA,NA,NA,NA,NA,NA,NA
35319,1.09988,3.96768,-4.1509,NA,NA,-142.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35448,1.00983,1.98035,-4.92371,NA,NA,-47.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35628,3.26209,2.76615,-4.35916,NA,NA,NA,NA,NA,NA,NA,-139.734,NA,NA,NA,NA,NA
35948,2.54963,1.84146,-3.98672,NA,-23.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36188,3.16131,2.85614,-5,NA,-86.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36287,3.87594,3.12325,-4.81168,NA,NA,-172.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36465,2.50623,2.95618,-3.98443,NA,NA,NA,NA,NA,NA,NA,-119.649,NA,NA,NA,NA,NA
36604,1.81904,2.06124,-5,NA,NA,NA,NA,NA,NA,-72.42,NA,NA,NA,NA,NA,NA
36912,0.726786,1.90337,-5,NA,NA,NA,NA,NA,NA,-107.734,NA,NA,NA,NA,NA,NA
37004,1.23896,1.78515,-3.66819,NA,NA,-44.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37221,0.946605,2.51791,-4.11869,NA,NA,NA,NA,-43.567,NA,NA,NA,NA,NA,NA,NA,NA
37416,1.04061,2.05386,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.352,NA,NA,NA
37706,1.90975,2.60436,-4.60797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.102,NA,NA
37871,1.2146,2.87891,-5,NA,NA,NA,NA,NA,-109.007,NA,NA,NA,NA,NA,NA,NA
38042,1.08965,2.26075,-5,NA,-34.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38311,0.905584,2.8109,-4.64675,NA,NA,-69.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38483,0.65156,3.43685,-4.46074,NA,NA,-119.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38773,1.15292,3.92083,-4.86394,NA,NA,-150.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38907,1.78212,2.10157,-5,NA,-20.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39149,2.9297,2.92224,-3.7969,NA,-77.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39282,4.60675,2.71732,-4.03772,-204.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39527,3.43547,2.88159,-5,NA,NA,NA,NA,-102.744,NA,NA,NA,NA,NA,NA,NA,NA
39700,2.1475,2.42721,-5,NA,NA,-41.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39974,3.39625,1.84741,-5,NA,NA,NA,NA,NA,NA,-114.657,NA,NA,NA,NA,NA,NA
40078,2.10231,1.89056,-5,NA,NA,NA,NA,NA,NA,NA,-87.985,NA,NA,NA,NA,NA
40240,2.12809,2.3092,-3.91719,NA,NA,NA,NA,NA,NA,NA,-116.855,NA,NA,NA,NA,NA
40418,1.32352,2.00082,-4.55664,NA,NA,-48.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40639,3.15766,1.36715,-5,NA,NA,-76.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40843,2.59009,1.41302,-5,NA,NA,NA,NA,-35.736,NA,NA,NA,NA,NA,NA,NA,NA
41147,1.37534,2.24794,-4.67627,NA,NA,NA,-36.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
41388,1.60554,3.45603,-4.3928,NA,NA,NA,-84.893,NA,NA,NA,NA,NA,NA,NA,NA,NA
41590,2.04934,0.456962,-4.79144,NA,-78.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41775,1.8186,1.88621,-5,NA,NA,NA,NA,NA,-48.94,NA,NA,NA,NA,NA,NA,NA
41918,1.51413,1.94962,-4.72028,NA,NA,NA,NA,-19.554,NA,NA,NA,NA,NA,NA,NA,NA
42130,1.99617,3.00832,-5,NA,NA,NA,-69.514,NA,NA,NA,NA,NA,NA,NA,NA,NA
42251,1.78549,3.88812,-2.66922,NA,NA,NA,-206.882,NA,NA,NA,NA,NA,NA,NA,NA,NA
42424,1.11844,3.11808,-2.84621,NA,NA,NA,-136.219,NA,NA,NA,NA,NA,NA,NA,NA,NA
42632,1.42623,2.66689,-4.66853,NA,NA,NA,NA,-40.623,NA,NA,NA,NA,NA,NA,NA,NA
42857,1.35864,2.88101,-2.76537,-100.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43053,1.63377,2.93487,-4.89626,NA,NA,NA,NA,NA,-78.895,NA,NA,NA,NA,NA,NA,NA
43356,1.06802,3.81075,-4.48689,NA,NA,NA,-123.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
43554,0.961399,4.76985,-4.96916,-224.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43642,1.67757,2.95123,-5,NA,NA,-68.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43806,1.44505,2.27654,-5,NA,-27.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44185,0.965873,1.84844,-5,-33.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44357,0.145481,3.45632,-5,NA,NA,NA,-145.342,NA,NA,NA,NA,NA,NA,NA,NA,NA
44501,1.95634,3.63195,-4.58997,NA,NA,NA,NA,NA,-125.479,NA,NA,NA,NA,NA,NA,NA
44790,2.11721,4.06835,-5,NA,NA,NA,NA,NA,-194.881,NA,NA,NA,NA,NA,NA,NA
44842,1.43626,3.22387,-5,NA,NA,NA,NA,NA,-119.353,NA,NA,NA,NA,NA,NA,NA
45067,1.96511,3.35479,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.544,NA,NA,NA
45263,2.46771,2.38587,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.532,NA,NA,NA
45419,1.26076,0.6309,-4.28857,NA,NA,NA,NA,-72.565,NA,NA,NA,NA,NA,NA,NA,NA
45703,1.32989,1.08519,-4.05832,-24.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45881,2.1575,1.60127,-4.0982,NA,NA,-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46030,2.00603,1.31673,-4.48416,NA,-10.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46243,2.77241,1.47257,-3.47571,-49.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46427,1.72136,1.57812,-4.15482,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
