id,x0,x1,x2,fitness-1.5,fitness0,fitness-0.5,fitness1,fitness2.5,fitness5,fitness4.5,fitness4,fitness3.5,fitness3,fitness2,fitness1.5,fitness0.5,fitness-2,fitness-2.5,fitness-1,fitness-3,fitness-3.5,fitness-5,fitness-4,fitness-4.5
10124,-1.62688,-1.57537,-3.78405,NA,NA,NA,NA,NA,NA,546.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10236,-0.681146,-2.22208,-2.85384,NA,NA,NA,NA,NA,NA,NA,201.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10496,-0.873269,0.520251,-3.04754,NA,NA,NA,NA,NA,NA,450.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10625,-1.55514,-0.173021,-2.19675,NA,NA,NA,NA,NA,3177.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10841,-1.51756,-0.167409,-3.57265,NA,NA,NA,NA,NA,NA,NA,1297.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11145,-3.76108,-0.887469,-3.0664,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11300,-3.01281,-1.12016,-2.2054,NA,NA,NA,NA,1.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11571,-1.59575,-1.97347,-1.45896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
11694,-1.6414,-2.10912,-0.164896,NA,NA,NA,450.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11878,-1.63206,-1.11507,-0.272423,NA,83.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12022,-0.519414,-1.40222,0.908826,NA,NA,NA,266.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12301,0.160866,-1.57471,-0.117938,NA,NA,NA,265.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12485,-0.226827,-0.154223,-0.712463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796.708,NA,NA,NA,NA,NA,NA,NA,NA
12615,-0.275463,-1.58369,-0.51827,NA,NA,NA,928.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12877,-1.54689,-0.806464,-0.95973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196.067,NA,NA,NA,NA,NA,NA,NA,NA
13101,-1.66906,-0.67409,-1.51471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13286,-3.17332,-0.452544,-1.1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13460,-1.6036,-1.83047,-1.24377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13787,-1.52892,-2.09241,-2.03847,NA,NA,NA,NA,1043.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13875,-0.890298,-2.65379,-2.67867,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14057,-1.28372,-2.71922,-3.51203,NA,NA,NA,NA,NA,NA,NA,80.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14212,-1.03128,-2.11526,-3.97549,NA,NA,NA,NA,NA,NA,NA,319.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14433,-1.27676,-1.56955,-1.48695,NA,NA,NA,NA,NA,NA,NA,6307.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14799,-1.45796,-1.32785,-1.34238,NA,NA,NA,NA,NA,NA,10421.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14873,-1.68731,-1.93017,0.156456,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15157,-1.25702,0.416819,-0.438454,NA,NA,NA,NA,NA,NA,-26.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15218,0.00715831,-0.568507,-0.282175,NA,NA,NA,NA,NA,2082.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15482,-0.844193,-0.569932,-0.802925,NA,NA,NA,NA,NA,NA,12639.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15601,-2.63777,-0.0912349,-1.16849,NA,NA,NA,NA,NA,NA,NA,282.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15985,-1.58035,-0.235027,-2.10166,NA,NA,NA,NA,NA,NA,NA,1223.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16120,-0.923977,-0.540502,-3.31593,NA,NA,NA,NA,NA,NA,NA,NA,163.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16399,-0.897169,-0.979247,-2.04582,NA,NA,NA,NA,NA,8681.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16510,-0.962542,-0.33139,-1.33972,NA,NA,NA,NA,NA,9040.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16683,-0.0777408,-0.739225,-1.49501,NA,NA,NA,NA,NA,NA,NA,4077.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16940,0.726098,-0.243758,-2.09226,NA,NA,NA,NA,NA,NA,NA,490.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17002,0.233386,-0.487262,-1.01729,NA,NA,NA,NA,NA,NA,363.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17258,-0.0938566,-0.345956,-1.219,NA,NA,NA,NA,738.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17460,0.0785853,-0.0995799,-0.753051,NA,NA,NA,NA,348.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17700,1.38316,-0.862377,-1.38843,NA,NA,NA,NA,NA,NA,NA,2116.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17892,0.913579,-0.218479,-1.30693,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003,1.32357,-0.569558,-1.17985,NA,NA,NA,NA,112.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18349,1.03959,1.48231,-1.72326,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18453,2.69794,1.06863,-1.7302,NA,-13.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18734,1.66964,0.90415,-1.51344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.27,NA,NA,NA,NA,NA,NA,NA
18852,1.0719,0.667827,-0.650296,91.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19018,1.17849,0.316052,-0.768105,1216.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19264,-0.237808,-0.905168,-1.80337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.796,NA,NA,NA,NA,NA,NA,NA
19509,-0.244051,-1.98226,-3.32109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.8,NA,NA,NA,NA,NA,NA
19729,-0.124873,-0.725579,-3.7968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.806,NA,NA,NA,NA,NA
19806,-1.47117,-2.52694,-4.69006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.482,NA,NA,NA,NA,NA
20149,-1.34802,-3.64262,-4.60435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.911,NA,NA,NA,NA,NA,NA,NA
20262,-1.60555,-2.62614,-4.96551,387.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20507,-0.229105,-1.61642,-4.98018,2434.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20601,-2.09615,-2.47038,-4.93136,NA,NA,424.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20890,-2.85559,-1.97141,-4.56163,NA,NA,279.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21196,-3.57767,-1.32816,-4.43954,NA,214.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21248,-2.91532,-1.4042,-4.36753,NA,549.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21585,-0.118871,-0.99033,-4.3761,1649.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21719,0.0337317,-1.65258,-3.51022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.157,NA,NA,NA,NA,NA,NA,NA
21991,-0.81306,-3.07258,-2.02257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.704,NA,NA,NA,NA,NA,NA
22047,0.776254,-1.45303,-2.09974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.348,NA,NA,NA,NA,NA,NA
22360,-0.325386,0.378978,-1.77869,NA,NA,103.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22540,-0.559553,0.378058,-1.68947,NA,NA,869.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22650,-0.972527,-1.49869,-0.885775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5967.902,NA,NA,NA,NA,NA,NA,NA
22972,-0.37724,-0.937874,0.560866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.587,NA,NA,NA,NA
23060,-1.46279,0.307005,-1.70919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.947,NA,NA,NA,NA,NA,NA
23327,-2.19297,-0.710435,-2.0684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.934,NA,NA,NA,NA,NA,NA
23591,-1.50234,-0.486056,-2.02438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784.76,NA,NA,NA,NA,NA,NA,NA
23768,-0.835355,-0.764399,-0.210339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4369.894,NA,NA,NA,NA,NA,NA,NA
23832,-0.988458,-1.19652,-0.908493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.343,NA,NA,NA,NA,NA,NA,NA
24023,-0.217932,-1.62442,-0.58955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300.361,NA,NA,NA
24364,-1.83762,-1.92405,-1.67216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.985,NA,NA,NA,NA,NA,NA,NA
24431,-1.72013,-1.71303,-0.612432,791.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24696,-2.57729,-1.27966,-0.186274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213.475,NA,NA,NA,NA,NA,NA,NA
24993,-0.518442,-0.0887601,-0.901128,NA,NA,4689.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25001,-0.744538,-0.756321,-0.303677,NA,NA,5754.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25287,0.264864,-0.151759,0.0754065,NA,NA,387.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25478,-1.61491,-0.715385,-0.23898,NA,NA,NA,3243.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25771,-2.40444,-1.50621,0.640109,NA,NA,175.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25986,-4.0454,-1.21384,-0.623969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2292.148,NA,NA,NA,NA,NA
26129,-4.90967,-1.28613,0.358108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073.164,NA,NA,NA,NA,NA
26317,-4.36587,-0.449691,-0.642504,NA,NA,54.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26571,-4.37813,-0.491376,-1.26704,NA,NA,NA,-58.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26674,-3.63713,-0.244063,-1.3479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.879,NA,NA,NA,NA,NA,NA,NA,NA
26814,-2.60886,-0.30749,-0.625784,NA,378.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27133,-4.07062,1.17833,0.30023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27317,-1.99871,2.25361,0.365018,NA,31.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27467,-2.10977,1.80672,0.972312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.31,NA,NA,NA,NA,NA
27752,-1.20216,1.69759,2.44265,257.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27810,-0.251172,1.58481,4.19141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.589,NA,NA,NA,NA,NA,NA,NA
28166,-1.7949,1.80849,4.93296,424.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28304,-1.47672,2.34485,4.93139,5398.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28565,-0.704991,3.14064,4.67581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874.846,NA,NA,NA,NA,NA,NA,NA,NA
28646,0.273417,3.75739,3.11972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.525,NA,NA,NA,NA,NA,NA,NA,NA
28853,0.747853,3.51025,4.9549,NA,125.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29113,0.280358,2.84712,4.91842,NA,NA,557.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29303,-1.08673,2.64124,4.82676,NA,65.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29429,-1.29787,3.70376,4.35307,2100.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29657,-0.335454,2.73787,4.99823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.164,NA,NA,NA,NA,NA,NA,NA
29926,-0.0303077,0.82765,3.85577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.471,NA,NA,NA,NA
30036,-0.477368,2.47059,2.58398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.243,NA,NA,NA,NA,NA,NA,NA
30275,-0.356785,2.7848,3.06475,140.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30459,-1.1249,1.93408,3.36709,13.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30791,-0.54179,3.49619,2.98705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.271,NA,NA,NA
30908,-1.22184,2.10728,4.47304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.088,NA,NA,NA,NA
31198,-0.656067,1.3498,4.30001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.885,NA,NA,NA
31215,-2.29435,0.118423,3.54454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA
31547,-2.08845,2.39163,3.38993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.041,NA,NA,NA,NA,NA,NA
31669,-1.25656,0.810566,2.33578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.846,NA,NA,NA,NA,NA,NA
31854,-0.275339,-0.115764,3.16492,630.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32146,0.928618,-0.633502,3.89283,936.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32231,1.83972,-0.502547,3.38987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.172,NA,NA,NA,NA,NA,NA,NA
