id,x0,x1,x2,fitness4,fitness4.5,fitness5,fitness3.5,fitness2.5,fitness1,fitness0,fitness0.5,fitness-1.5,fitness-1,fitness-2,fitness1.5,fitness-0.5,fitness-3,fitness-2.5,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness2,fitness3
3530,0.453994,3.66577,5,NA,522.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3789,0.390416,3.94253,5,NA,NA,432.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3983,-0.0705032,5,5,NA,3532.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4064,0.592111,5,5,NA,252.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4342,1.62218,5,5,205.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4445,1.45825,5,5,NA,NA,1658.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4705,1.38012,5,5,NA,NA,2437.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4990,2.70563,4.30959,5,NA,958.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5137,2.18179,5,4.34189,608.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5330,2.12928,4.76966,4.8164,NA,NA,NA,733.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5428,1.8303,4.88734,5,NA,NA,NA,1186.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5619,1.06862,5,3.65381,NA,NA,NA,33.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5834,1.33505,5,4.98127,NA,2733.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6169,1.40028,5,5,NA,NA,2287.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6292,0.531683,5,4.96879,NA,NA,1025.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6496,1.44397,5,5,NA,NA,1838.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6626,-0.526861,5,4.77443,NA,NA,5345.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6899,-1.34005,3.34772,5,NA,4007.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7165,-0.583215,2.23485,4.04877,NA,NA,342.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7388,0.928822,3.32447,3.91589,NA,NA,256.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7580,2.83845,3.6807,4.89892,528.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7779,4.70049,4.68886,3.29891,NA,NA,2833.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7836,5,5,3.2972,1196.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8111,5,4.42361,4.04204,NA,NA,NA,NA,154.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8365,5,4.99571,2.13356,NA,NA,NA,NA,NA,485.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8419,5,5,1.38199,NA,NA,NA,NA,NA,NA,151.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8625,4.80471,5,1.82654,NA,NA,NA,NA,NA,766.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8972,4.52344,5,1.98557,NA,NA,NA,NA,NA,NA,NA,16.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9053,5,3.54136,4.3581,NA,NA,NA,NA,NA,NA,82.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9290,3.17093,3.82448,5,NA,NA,NA,NA,NA,347.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9476,3.93387,5,3.95736,NA,NA,NA,NA,NA,NA,NA,6.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9623,5,4.86996,4.79438,NA,NA,NA,NA,NA,NA,1741.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9889,4.01263,5,5,NA,NA,NA,NA,NA,NA,NA,NA,147.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10162,3.35708,4.55869,4.6316,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10347,3.33617,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4054.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10488,2.60029,4.80593,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10600,3.61509,5,4.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10828,4.32919,3.84354,4.91614,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11045,4.00588,5,4.97736,NA,NA,NA,NA,NA,NA,NA,NA,596.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11289,3.03515,5,3.811,NA,NA,NA,NA,NA,55.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11523,1.7597,4.85732,4.82756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
11621,3.05053,5,5,NA,NA,NA,NA,NA,261.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11947,5,4.04258,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.624,NA,NA,NA,NA,NA,NA,NA,NA
12088,5,4.78397,5,NA,NA,NA,NA,NA,NA,NA,3803.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12294,5,4.63118,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12460,4.60439,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2649.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12762,5,3.95095,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.103,NA,NA,NA,NA,NA,NA,NA
12879,4.69806,3.79537,4.28556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.489,NA,NA,NA,NA,NA,NA
13132,4.18813,4.22356,4.71562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782.235,NA,NA,NA,NA,NA,NA,NA
13301,4.09515,4.20634,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.314,NA,NA,NA,NA,NA
13586,3.43034,4.2301,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.231,NA,NA,NA,NA,NA
13654,4.26166,3.22711,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.494,NA,NA,NA,NA
13866,5,4.12342,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893.922,NA,NA,NA
14196,3.65589,5,4.36214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.065,NA,NA
14217,4.54226,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.537,NA,NA,NA,NA,NA,NA,NA
14493,4.36225,5,4.25455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807.55,NA,NA,NA,NA,NA,NA,NA
14773,5,5,4.3505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344.153,NA,NA
14964,5,5,3.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.086,NA,NA,NA,NA,NA,NA
15143,5,4.70505,2.77814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.385,NA,NA,NA,NA,NA
15351,5,4.23617,4.20948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.387,NA,NA,NA,NA,NA,NA,NA
15551,5,5,3.93948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15641,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11503.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15840,5,5,4.39099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,988.958,NA,NA,NA,NA,NA,NA,NA,NA,NA
16114,4.55958,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602.637,NA
16389,4.76791,5,4.60491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490.087
16426,5,4.80818,4.75088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4647.92
16670,5,4.2056,5,NA,NA,5074.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16915,5,5,5,NA,5548.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17128,5,5,4.99833,2097.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17341,3.98695,5,1.65419,NA,7.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17574,4.2787,5,1.55295,NA,NA,NA,27.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17651,3.96992,4.74442,3.25887,NA,NA,272.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17922,4.09238,4.46606,3.29172,NA,NA,216.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18011,5,3.344,3.79807,NA,NA,1099.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18224,5,3.43587,2.42373,241.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18579,5,3.22261,1.73597,NA,803.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18671,5,4.65048,-0.630224,NA,NA,6538.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18970,5,4.84994,-0.870603,NA,NA,19945.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19128,4.74503,5,-0.729334,NA,NA,14607.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19226,5,4.97047,-0.849465,NA,NA,14233.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19534,4.17851,5,-0.315167,NA,NA,3183.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19793,3.40225,5,-1.07841,166.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19881,2.82883,5,-0.363753,326.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20188,4.53718,5,-0.442425,NA,55.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20369,4.59761,4.55704,-0.951435,NA,NA,1018.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20426,5,5,-1.58937,4932.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20619,4.07363,4.43686,-2.00078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.582
20917,4.14402,4.8045,-2.14047,NA,NA,NA,166.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21182,3.80294,5,-1.36933,NA,NA,NA,1433.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21362,3.80465,5,-1.99221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.349
21506,3.85593,5,-3.09362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.647
21702,4.17727,5,-2.66998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
21810,4.60817,5,-1.99276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
22065,5,5,-1.59555,NA,NA,NA,NA,NA,2104.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22228,4.89849,4.00133,-1.7625,NA,NA,NA,NA,NA,5.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22516,4.64272,3.90911,-1.46548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.096,NA,NA,NA,NA,NA,NA,NA,NA,NA
22627,3.79991,5,-2.07281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.091
22984,4.95521,5,-1.352,NA,NA,NA,4696.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23036,5,4.5137,-0.718219,NA,NA,NA,47.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23258,4.70875,4.40295,0.498743,NA,NA,NA,NA,212.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23550,5,5,0.0115075,NA,NA,NA,1063.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23624,5,5,-0.048297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.804
23802,5,5,-2.92658,1076.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24128,4.77407,5,-1.97397,2067.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24294,5,5,-2.66443,551.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24582,5,4.74497,-2.44012,NA,1669.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24678,5,4.91257,-1.0104,NA,NA,10970.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24941,5,4.76859,-0.307673,2555.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25089,5,4.2862,1.17072,NA,NA,NA,321.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25321,3.13549,5,-0.634,NA,NA,NA,501.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25511,3.78393,3.87463,-0.491139,NA,NA,235.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25705,4.11748,4.87751,-0.18351,NA,3747.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25889,4.22072,5,-1.1682,NA,NA,1703.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26120,4.46187,5,-1.19464,NA,NA,995.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26338,4.67428,5,-2.12076,NA,NA,3683.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26429,5,5,-1.93206,NA,NA,4960.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26587,5,5,-1.25443,NA,3187.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26959,4.4199,5,-0.73421,NA,NA,NA,1787.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27122,5,4.65121,0.129931,NA,106.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27233,5,4.94815,1.29572,NA,NA,3114.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27505,5,5,2.19136,NA,NA,2058.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27697,4.70815,4.84133,1.31709,NA,NA,3481.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27847,5,5,0.345322,NA,NA,3452.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28171,3.98402,5,0.281137,NA,NA,59.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28339,5,5,-0.601333,NA,NA,9859.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28497,4.80464,3.94796,-0.909991,NA,NA,1736.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28655,5,4.64416,-0.892557,NA,NA,8175.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28856,5,5,0.358572,NA,NA,3415.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29081,5,3.6232,-0.831784,NA,NA,2883.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29259,5,2.34546,-1.15921,NA,NA,724.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29444,5,3.53352,-1.88208,NA,NA,12.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29640,5,2.12079,-1.40451,NA,NA,1543.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29919,5,1.74666,-2.03402,NA,NA,1436.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30175,3.63388,1.28209,-2.34964,NA,NA,91.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30307,5,1.76424,-1.13313,NA,55.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30548,3.68865,1.10492,-1.23779,NA,NA,82.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30608,4.3336,0.205055,-0.795857,NA,NA,1878.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30846,5,0.197645,-0.41233,NA,NA,486.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30984,5,-0.548725,0.077598,NA,197.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31259,4.88567,-0.312833,-0.55573,NA,NA,5636.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31438,5,1.03544,1.44869,NA,NA,197.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31650,5,0.900266,0.170252,NA,NA,441.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31929,5,2.06549,0.0543937,NA,20.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32093,3.99495,3.48641,0.454511,NA,NA,4.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32353,2.66272,2.96358,1.74669,-12.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32525,2.61196,5,2.18617,NA,NA,NA,10.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32589,2.62073,4.51144,4.1584,NA,NA,-0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32910,0.65494,2.40823,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.963
33043,-0.179902,2.23554,5,NA,NA,2133.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33287,0.154879,3.57195,5,-27.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33549,0.871503,3.22584,5,NA,NA,1488.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33645,3.01377,3.26775,5,4.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33853,3.70194,3.09397,5,NA,247.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34006,4.32609,4.63305,5,NA,NA,3378.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34333,5,3.37684,5,NA,151.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
