id,x0,x1,x2,fitness7.5,fitness6,fitness7,fitness9.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness4,fitness4.5,fitness2.5,fitness3.5,fitness3,fitness5,fitness10,fitness10.5,fitness5.5,fitness0.5,fitness1.5
3801,7.24045,4.29649,4.74588,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4139,7.11188,5.11284,5.51642,NA,NA,NA,NA,NA,NA,-0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4306,7.24178,4.64472,6.57692,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4530,6.825,5.05781,6.70352,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4789,8.86681,4.87659,6.44147,NA,NA,NA,NA,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4991,9.071,4.87711,6.61926,NA,NA,NA,-0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5095,7.25469,6.73709,6.91868,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5347,6.13397,6.16758,6.82351,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5546,6.03445,7.02216,8.89346,NA,NA,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5757,6.17393,6.93838,7.90408,NA,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5916,5.91181,5.57413,7.01211,NA,NA,NA,NA,NA,NA,NA,-0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6056,4.61728,5.89261,6.9517,NA,NA,NA,NA,NA,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6250,4.83255,6.84371,7.22174,NA,NA,NA,NA,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6596,4.69543,5.59798,6.91783,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6796,3.79092,3.922,5.32081,NA,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6975,4.49716,3.88069,5.89724,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7152,5.26306,4.55247,5.21993,NA,NA,NA,NA,NA,NA,NA,-0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7347,5.52991,4.52511,3.95939,NA,NA,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7445,5.37668,5.09357,4.48786,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7730,6.10579,8.19197,5.56867,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7904,6.44742,8.62711,7.74788,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,6.75904,8.2631,7.89962,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8389,5.72642,8.59086,7.40992,NA,NA,NA,NA,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8551,5.93327,8.40729,7.90096,NA,NA,NA,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8640,7.76982,7.88833,8.37536,NA,NA,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8904,7.0618,8.13935,5.77225,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9031,7.96284,6.11986,6.70349,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9331,7.11421,6.31543,7.37547,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9429,6.82939,5.52521,7.28304,NA,NA,NA,-0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9779,7.131,5.5045,7.83142,NA,NA,NA,NA,NA,NA,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9946,7.58265,7.06375,7.73968,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10132,7.43437,6.94142,8.79657,NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10356,8.53329,7.40909,9.73005,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10565,7.95966,7.4102,8.58849,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10745,8.09778,7.66274,8.87159,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11000,10.1305,7.47026,7.4466,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11073,9.19793,7.70807,8.0831,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA
11347,9.74688,8.72326,7.58995,NA,NA,NA,NA,NA,NA,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11552,7.75017,8.14546,7.68638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA
11607,7.12982,7.91169,6.94818,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11831,7.30815,7.02625,7.87522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA
12176,8.55942,7.30545,7.16569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309,NA,NA,NA,NA,NA,NA
12371,9.06031,6.97576,6.52733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA
12450,8.83574,7.34892,6.69182,NA,NA,NA,NA,NA,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12605,8.31691,7.79183,7.16982,NA,NA,NA,NA,NA,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12935,7.36735,8.30844,6.39239,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
13070,8.07559,7.70578,5.65927,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13304,7.85072,8.50732,5.94587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA
13464,8.46708,6.68528,8.19242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,NA
13624,6.96262,7.67473,8.48419,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
13939,7.56292,6.11206,7.52017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA
14009,7.39862,5.9475,7.67688,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA
14380,7.68443,7.35971,7.94471,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA
14436,5.80301,6.5054,6.83839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.166,NA,NA,NA,NA,NA
14762,6.78567,7.55054,5.64472,NA,NA,NA,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14898,5.55869,8.51214,6.83986,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15160,6.18293,7.63163,6.73587,NA,NA,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15274,6.33757,7.43161,7.26466,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15510,7.50193,7.92663,6.95936,NA,NA,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15721,7.13992,9.16909,8.13359,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15919,8.34064,10.4377,7.04264,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16196,8.74425,9.89221,7.0752,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16255,8.37869,9.36779,7.04234,NA,NA,NA,NA,NA,NA,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16567,9.3172,10.0357,7.33172,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16689,8.45796,8.88181,5.81454,NA,NA,NA,NA,NA,NA,NA,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16962,9.20135,8.56917,7.69751,NA,NA,NA,NA,NA,NA,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17172,8.12205,8.55007,7.13886,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17371,8.46901,9.93774,8.4212,NA,NA,NA,NA,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17592,8.20678,9.97262,8.69304,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17777,8.15633,9.86817,9.23072,NA,NA,NA,NA,NA,NA,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17903,8.05337,9.94561,8.45252,NA,NA,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18187,8.92026,8.98073,10.0532,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18280,7.44921,8.99305,10.5,NA,NA,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18553,7.99002,7.78315,9.7795,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18794,8.40051,8.41657,10.3104,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18903,9.91665,9.21982,8.74849,NA,NA,NA,NA,NA,-0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19145,7.91092,10.0299,8.72587,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19240,7.54233,9.58232,8.61211,NA,NA,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19535,6.69923,9.56076,8.69418,NA,NA,NA,NA,NA,-0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19696,6.87529,10.5,9.15415,NA,NA,-0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19932,7.3317,7.82978,8.43507,NA,NA,NA,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20157,6.92446,8.88518,7.28699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA
20275,7.08583,7.56842,8.60895,NA,NA,NA,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20529,6.76622,7.98118,7.12674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA
20762,5.99034,7.08091,8.13363,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20895,7.1978,5.32705,8.27925,NA,NA,NA,NA,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21068,6.89944,8.01596,9.01938,NA,NA,NA,NA,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21225,6.18101,7.88445,9.18732,NA,NA,NA,NA,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21591,4.75248,8.99077,7.729,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21648,4.00504,8.55269,7.0417,NA,NA,NA,NA,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21974,4.16614,7.05488,7.75374,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22109,3.21486,6.48797,7.53171,NA,NA,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22212,4.06424,4.77603,6.77289,NA,NA,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22408,3.87417,5.07469,4.91301,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22777,3.83499,4.99413,4.68914,NA,NA,NA,NA,NA,NA,NA,0.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22928,3.34066,4.8901,4.39904,NA,NA,NA,-0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23124,4.30311,4.50721,5.4589,NA,NA,NA,NA,NA,NA,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23314,4.93571,4.82078,4.54375,NA,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23423,5.16907,5.48468,4.26258,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23665,7.17435,7.70248,4.42225,NA,NA,NA,NA,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23801,6.96981,8.94073,6.45573,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24036,6.68079,7.24312,7.25134,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24256,6.47688,7.91536,8.69444,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24407,4.72821,8.14931,8.58206,NA,NA,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24688,4.55738,8.2494,8.43076,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24961,3.96312,7.57502,7.81868,NA,NA,NA,NA,NA,NA,NA,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25131,4.73459,7.18333,8.4465,NA,NA,NA,NA,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25217,4.29646,7.48487,8.38805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412,NA,NA,NA,NA
25470,4.12208,6.32394,8.25121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,NA,NA,NA
25662,3.97986,7.04587,7.49823,NA,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25961,3.56682,6.79511,7.33146,NA,NA,NA,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26186,4.26778,8.39452,7.89515,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26312,3.00042,7.80558,9.65919,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26459,1.97876,8.53046,8.64161,NA,NA,NA,NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26648,0.881962,8.15947,9.91186,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26831,2.40247,8.18766,9.30603,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27040,4.67964,7.76388,10.5,NA,NA,NA,NA,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27369,4.84954,8.17804,10.5,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27556,5.12069,8.91544,8.21509,NA,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27689,4.41701,8.26285,10.1009,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27939,4.855,8.55005,7.96039,NA,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28190,3.86263,8.9019,7.84601,NA,NA,NA,NA,NA,NA,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28210,3.51689,7.95105,7.58907,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28462,4.55765,7.84531,7.79248,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28663,5.81675,9.4668,7.89845,NA,NA,NA,NA,NA,-0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28863,4.97933,8.714,7.67452,NA,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29053,4.42169,8.34421,7.92485,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29230,4.72357,7.97334,5.36293,NA,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29556,4.48994,7.91845,4.20633,NA,NA,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29789,4.7239,8.0068,4.31165,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29865,4.62452,8.83132,6.71258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037,NA,NA
30010,3.84475,8.20207,6.62772,NA,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30349,4.46023,8.42167,7.44491,NA,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30514,6.1451,7.01679,8.15207,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30688,7.95818,6.90853,8.22913,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30842,7.83581,5.83096,6.72345,NA,NA,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31089,7.07896,7.26693,7.78814,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31208,7.4894,7.68486,7.39391,0.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31571,8.48041,6.86387,7.8676,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31667,7.67932,6.06978,8.17305,NA,NA,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31805,7.33136,6.97985,7.9664,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32144,7.34794,7.56534,8.08442,NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32255,7.16323,6.91018,7.29636,NA,NA,NA,NA,NA,NA,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32421,7.09749,6.28138,7.0499,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32624,8.54941,6.63932,8.64508,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32907,8.37971,7.21516,9.14385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141,NA,NA,NA,NA
33129,8.46613,7.7788,8.54536,NA,NA,NA,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33280,7.60095,7.58397,9.48677,NA,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33523,6.65984,7.76118,8.58648,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33651,6.294,9.04453,7.84403,NA,NA,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33881,7.82338,8.31584,7.94211,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34173,8.48719,7.80476,7.42394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533,NA,NA,NA,NA,NA
34390,7.41501,6.41762,9.06326,NA,NA,NA,NA,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34483,6.54705,7.24119,6.82856,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34665,4.90164,8.13202,7.09743,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34868,5.79397,8.84234,6.67916,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35113,4.76617,8.12964,6.71852,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35303,3.54373,7.88883,6.41885,NA,NA,NA,NA,NA,NA,NA,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35413,3.82613,6.2681,6.97592,NA,NA,NA,NA,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35667,4.19207,7.99827,7.90878,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35822,3.69376,8.82778,6.95167,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
