id,x0,x1,x2,fitness0.5,fitness-0.5,fitness-1.5,fitness-1,fitness-2.5,fitness-2,fitness0,fitness1.5,fitness1,fitness2,fitness2.5,fitness5,fitness3.5,fitness4,fitness4.5,fitness3,fitness-3,fitness-4,fitness-3.5,fitness-4.5,fitness-5
4101,-0.639926,-2.38785,4.54319,NA,NA,NA,NA,NA,NA,314.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4245,-0.765339,-1.30083,3.10359,NA,3159.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4552,-0.738821,-2.24981,3.17957,NA,NA,674.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,-1.32348,-0.662834,3.64071,NA,NA,3476.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4946,-0.722981,-1.61599,2.72919,NA,NA,NA,1718.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5076,-0.811221,-2.12254,2.31085,NA,1259.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218,-0.349084,-1.4472,0.760606,NA,NA,NA,NA,NA,NA,478.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5463,-0.665944,-1.07431,0.417111,NA,NA,1076.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5674,-0.997247,-1.29861,-0.61583,NA,NA,NA,10075.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5817,-0.932977,-1.67772,0.701611,NA,NA,NA,NA,385.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6024,-2.15895,-0.552345,-0.368413,NA,NA,NA,857.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6325,-1.36678,-1.93366,-1.1414,NA,NA,379.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6596,-1.83173,-2.37781,-1.51063,NA,NA,502.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6686,-2.03628,-1.33179,-0.31235,NA,NA,NA,3097.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6884,-1.64308,-0.92989,-1.46227,NA,NA,4051.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7171,-0.123604,-0.822951,-2.42494,NA,NA,NA,NA,1211.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7371,-1.42121,-0.0985896,-2.13662,NA,NA,NA,NA,1283.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7523,-1.19417,-0.825998,-3.03451,NA,NA,NA,NA,NA,1024.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7756,-0.359063,-0.191157,-4.39706,NA,NA,NA,NA,NA,429.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7915,-0.494587,-0.668542,-3.77899,NA,NA,NA,162.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8181,-1.41192,-0.900593,-3.84147,1155.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8241,-3.22497,-0.955584,-3.56586,NA,NA,NA,318.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8417,-2.05774,-1.44901,-1.0028,NA,NA,NA,8627.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8686,-1.05744,-2.02064,-3.12806,NA,NA,762.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8820,-0.244816,-0.882355,-0.219828,NA,NA,10471.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9183,-0.48726,-0.399413,-0.0378418,NA,163.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9387,-0.16986,-0.345874,-0.306545,NA,4390.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9531,-0.590312,0.354382,-1.09839,NA,NA,NA,NA,NA,NA,330.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9672,1.43988,-0.553953,-1.38479,NA,NA,NA,2190.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9964,1.83316,-0.339294,-0.697914,NA,NA,2175.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10117,-0.0325709,-0.583334,-1.81304,NA,820.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10210,-0.984784,-0.338564,-0.708802,NA,NA,NA,NA,NA,3025.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10576,-3.03084,-1.03229,0.28484,NA,NA,827.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10772,-0.729701,-1.92606,-0.997371,NA,NA,5697.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10934,-0.204149,-3.12269,-0.771852,NA,450.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11006,-0.245299,-4.90342,-1.45421,NA,NA,NA,1610.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11242,0.219852,-4.19129,-0.960416,NA,NA,77.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11582,-0.139641,-3.04272,-1.58388,NA,NA,NA,NA,943.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11776,-1.11143,-2.3463,-2.03139,NA,NA,NA,NA,NA,22.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11855,2.26166,-0.548346,-1.27276,NA,NA,NA,2035.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12174,1.65774,-0.836521,-0.625841,NA,NA,NA,NA,NA,NA,NA,453.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12222,0.854022,-1.5602,-0.694789,NA,NA,NA,NA,NA,NA,NA,NA,1132.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12471,-0.969312,-0.659794,-1.69557,1368.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12647,-1.60241,-0.901934,-1.83192,NA,NA,NA,NA,NA,1330.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12909,-0.122,-2.14178,-1.5099,NA,NA,NA,NA,1440.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13006,-0.407142,-2.18226,-1.39844,NA,NA,1440.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13390,0.332938,-1.85049,-1.32349,NA,NA,NA,NA,NA,552.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13419,-0.674282,-1.23151,-0.717836,NA,14568.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13769,-0.66723,-2.09306,-0.741791,NA,NA,9465.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13961,-1.51171,-1.45451,0.401248,NA,NA,NA,NA,NA,NA,2887.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14120,-2.07248,-2.59046,2.2678,NA,704.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14266,-1.45979,-0.613623,3.34032,NA,NA,NA,5623.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14572,-2.03616,-0.57983,4.20372,NA,NA,NA,NA,NA,NA,2059.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14648,-0.568281,-0.840084,3.87531,NA,1742.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14973,0.646143,-1.27556,4.89633,NA,1920.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15176,-0.292136,-0.877347,4.82999,NA,NA,NA,NA,NA,NA,NA,NA,3548.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15387,-1.23448,-1.98406,4.74361,NA,3578.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15600,-0.870851,-2.11951,4.87801,NA,NA,NA,7661.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15712,-1.54378,-1.24784,4.73753,3013.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15931,-1.38086,-1.5197,4.83209,6361.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16194,-0.212905,-2.48089,4.28883,NA,NA,NA,NA,NA,NA,NA,344.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16225,-0.166729,-1.63255,4.09223,NA,1080.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16417,-0.0522951,-2.52025,4.78296,NA,NA,NA,NA,NA,1574.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16667,-2.93055,-0.885859,4.73552,NA,NA,NA,6073.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16980,-1.9108,-1.54136,3.94428,NA,NA,785.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17083,-2.61173,-1.89072,3.12678,NA,NA,NA,NA,NA,172.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17297,-1.93507,-1.94714,4.89009,NA,4577.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17588,-1.51013,-1.34144,4.79935,NA,NA,NA,16143.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17715,0.43248,-1.56458,4.6037,NA,NA,NA,NA,460.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17994,-0.654561,-1.28602,3.7384,NA,NA,4661.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18094,-0.754611,-0.495781,3.12477,NA,NA,NA,NA,253.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18389,-1.35027,-1.39765,2.24018,NA,NA,3001.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18539,-1.51711,-1.07125,1.48072,NA,664.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18758,-1.54545,-1.51141,0.382209,NA,2237.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18853,-1.02941,-1.71762,-0.331893,NA,NA,1301.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19161,-0.913129,-0.876203,-0.411379,NA,NA,NA,4764.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19380,0.0560205,-0.762689,-0.792503,NA,NA,NA,7022.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19545,1.15356,-1.57026,-0.0340786,NA,NA,NA,NA,NA,NA,609.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19788,-0.49577,-1.50515,-0.831496,NA,5442.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19887,-0.156191,-3.019,-0.630554,NA,NA,NA,NA,NA,NA,NA,NA,721.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20175,-1.19251,-1.63039,-1.45669,NA,NA,NA,NA,NA,NA,NA,1243.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20253,-0.73006,-1.21216,-1.30618,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20558,-0.39034,-0.520765,-0.900236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20701,0.487305,-1.23843,-0.349513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
20862,0.359653,-3.08964,-0.393217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.451,NA,NA,NA,NA,NA,NA,NA,NA
21175,-0.618548,-3.42551,-1.6489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.059,NA,NA,NA,NA,NA,NA,NA,NA
21272,-0.769563,-3.87708,-2.44704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.021,NA,NA,NA,NA,NA,NA,NA,NA
21500,-0.777145,-3.46687,-1.8392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.174,NA,NA,NA,NA,NA,NA,NA
21657,-1.15082,-2.80699,-1.64853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.72,NA,NA,NA,NA,NA,NA
21860,-0.681614,-1.26116,-2.25297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.769,NA,NA,NA,NA,NA
22054,-0.296662,-1.4764,-1.40742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4095.666,NA,NA,NA,NA,NA,NA,NA,NA
22354,-1.59271,-0.142529,0.399743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3239.422,NA,NA,NA,NA,NA,NA,NA,NA,NA
22597,-1.69156,-1.42097,-0.496022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
22617,-2.15067,-0.81141,0.189629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377.597,NA,NA,NA,NA,NA,NA,NA,NA,NA
22869,-1.91882,1.89408,-1.40111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1632.724,NA,NA,NA,NA,NA,NA
23163,-0.674331,1.48307,-0.654312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.843,NA,NA,NA,NA,NA,NA,NA
23319,-1.01342,-0.211038,-2.35048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974.649,NA,NA,NA,NA,NA,NA,NA,NA,NA
23454,-1.83738,-0.320127,-0.511672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.578,NA,NA,NA,NA,NA,NA
23624,-1.27547,-0.645737,-1.0592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2059.495,NA,NA,NA,NA,NA,NA
23970,-0.699451,-1.45082,-1.76599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.996,NA,NA,NA,NA,NA,NA,NA,NA,NA
24197,-0.102347,-0.370443,-2.08322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.597,NA,NA,NA,NA,NA,NA,NA,NA,NA
24232,0.247798,-0.177784,-1.93587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.931,NA,NA,NA,NA,NA,NA
24440,0.00786042,-0.313618,-1.72716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.901,NA,NA,NA,NA,NA,NA,NA
24637,-1.42147,-2.13863,-1.73477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.754,NA,NA,NA,NA,NA,NA
24825,0.528907,-1.94514,-0.576648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.798,NA,NA,NA,NA,NA,NA,NA,NA,NA
25087,-0.819392,-2.59135,-0.362484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423.327,NA,NA,NA,NA,NA,NA
25382,0.455359,-1.96801,-0.653437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.821,NA,NA,NA,NA,NA,NA,NA
25523,-0.666827,-1.60494,-0.333667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070.949,NA,NA,NA,NA,NA,NA,NA
25655,-1.05674,-0.979253,1.01325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.687,NA,NA,NA,NA,NA,NA
25871,-1.1376,-1.31233,0.0146162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.747,NA,NA,NA,NA,NA,NA
26056,-0.936977,-1.38436,-0.872438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11054.692,NA,NA,NA,NA,NA,NA
26340,-1.51868,-1.30553,-0.337134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498.826,NA,NA,NA,NA,NA,NA,NA
26486,-0.68134,-1.53911,-0.311899,NA,NA,NA,NA,NA,NA,NA,NA,NA,2411.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26631,-0.350352,-0.908663,0.175489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.39,NA,NA,NA,NA,NA,NA,NA,NA
26861,-1.33977,-0.0879549,-0.740423,NA,NA,NA,NA,NA,NA,NA,1310.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27067,-0.0693863,-1.51774,-0.865117,NA,NA,NA,NA,NA,NA,NA,NA,NA,2851.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27218,-0.716393,-0.737597,-2.87876,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27595,-1.36547,-0.676894,-2.56361,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27701,-0.161768,-1.2356,-1.84986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27836,0.089406,-1.89866,-0.540494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.998,NA,NA,NA,NA,NA,NA,NA,NA
28092,-0.01373,-0.956424,-1.02779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157.03,NA,NA,NA,NA,NA,NA,NA,NA
28218,0.160097,-2.04518,-1.60143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28442,-1.10046,-1.34511,-0.899271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360.066,NA,NA,NA,NA,NA,NA,NA
28738,-1.61585,-1.44468,-0.740057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12511.806,NA,NA,NA,NA,NA,NA
28820,-0.627878,-3.65006,-0.382647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
29045,-0.408646,-4.08802,-0.0924755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.706,NA,NA,NA,NA,NA,NA,NA,NA,NA
29282,-1.32899,-2.65934,-0.933206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.709,NA,NA,NA,NA,NA,NA,NA,NA
29421,-1.5102,-1.88349,-1.22721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3886.82,NA,NA,NA,NA,NA,NA
29646,-1.36025,-0.926349,-0.862493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10511.578,NA,NA,NA,NA,NA,NA
29837,-0.0450633,-0.716125,-1.26202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8835.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
30018,0.528562,-1.15335,-0.307061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.616,NA,NA,NA,NA,NA,NA,NA,NA,NA
30275,0.9262,-0.907736,-1.34083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.247,NA,NA,NA,NA,NA,NA,NA,NA
30530,0.640067,-0.421843,-1.97385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.547,NA,NA,NA,NA,NA,NA,NA,NA,NA
30790,-0.944683,0.0362403,-2.55377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1536.837,NA,NA,NA,NA,NA,NA,NA,NA,NA
30883,-1.63282,0.287454,-1.53081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2961.871,NA,NA,NA,NA,NA,NA,NA,NA,NA
31035,-0.834783,-0.0470666,-1.24128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8160.943,NA,NA,NA,NA,NA,NA,NA,NA,NA
31382,-1.46353,-0.570115,-0.923804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.605,NA,NA,NA,NA,NA,NA
31534,-0.864093,-0.697427,-0.955475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19802.148,NA,NA,NA,NA,NA,NA
31644,-0.771431,-0.421957,-1.54942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3320.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
31914,-1.45958,-0.84105,-0.543403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3585.217,NA,NA,NA,NA,NA,NA
32132,-1.51366,-1.73842,0.196648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.486,NA,NA,NA,NA,NA,NA,NA,NA,NA
