id,x0,x1,x2,fitness-2.5,fitness-4,fitness-3,fitness-3.5,fitness-2,fitness-1.5,fitness-4.5,fitness-1,fitness-0.5,fitness-5
6809,1.85643,2.07312,-5,NA,NA,NA,NA,-20.926,NA,NA,NA,NA,NA
7030,2.03362,1.51355,-3.87447,NA,NA,-15.108,NA,NA,NA,NA,NA,NA,NA
7252,1.77393,1.84101,-4.20785,NA,NA,-8.183,NA,NA,NA,NA,NA,NA,NA
7506,1.70708,2.56372,-4.74729,-25.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
7778,1.57462,2.17505,-4.3028,NA,NA,NA,NA,NA,NA,NA,-67.866,NA,NA
7923,2.33495,2.38688,-3.95746,NA,NA,NA,NA,-36.939,NA,NA,NA,NA,NA
8124,0.933698,1.97064,-3.87355,NA,NA,NA,NA,NA,NA,NA,-104.844,NA,NA
8247,1.33626,1.89419,-4.87997,NA,NA,NA,NA,-19.664,NA,NA,NA,NA,NA
8476,1.0982,1.47451,-5,NA,NA,NA,NA,-35.249,NA,NA,NA,NA,NA
8794,2.18703,0.108453,-4.75843,NA,NA,NA,-120.203,NA,NA,NA,NA,NA,NA
8909,2.08122,0.62661,-5,NA,NA,NA,NA,NA,NA,NA,-110.142,NA,NA
9173,2.21403,1.40956,-5,NA,NA,NA,NA,NA,-38.43,NA,NA,NA,NA
9213,1.4342,2.29159,-5,NA,NA,NA,NA,NA,-38.124,NA,NA,NA,NA
9566,2.72329,1.82948,-5,NA,NA,NA,NA,NA,-46.354,NA,NA,NA,NA
9710,1.21859,1.30989,-5,NA,NA,NA,NA,-44.213,NA,NA,NA,NA,NA
9831,1.86621,1.15092,-4.11991,NA,NA,NA,NA,NA,-46.507,NA,NA,NA,NA
10161,2.0319,2.37625,-4.65641,NA,NA,-22.167,NA,NA,NA,NA,NA,NA,NA
10384,2.01205,2.04005,-4.87813,NA,NA,-19.911,NA,NA,NA,NA,NA,NA,NA
10448,2.06466,2.61526,-5,NA,NA,-36.271,NA,NA,NA,NA,NA,NA,NA
10649,1.13405,2.26314,-5,NA,NA,NA,NA,-44.139,NA,NA,NA,NA,NA
10957,0.990645,2.56418,-5,-46.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
11081,1.34888,2.28786,-5,NA,NA,NA,-57.724,NA,NA,NA,NA,NA,NA
11273,3.24396,2.72642,-5,NA,NA,-84.61,NA,NA,NA,NA,NA,NA,NA
11441,2.07915,2.43934,-5,-28.821,NA,NA,NA,NA,NA,NA,NA,NA,NA
11608,1.68757,1.9942,-5,NA,NA,-23.186,NA,NA,NA,NA,NA,NA,NA
11931,0.971694,2.36601,-5,-40.997,NA,NA,NA,NA,NA,NA,NA,NA,NA
12123,1.51274,1.89488,-5,-17.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
12224,1.19033,2.44666,-5,NA,NA,NA,-47.639,NA,NA,NA,NA,NA,NA
12502,2.3433,2.10924,-5,NA,NA,-27.589,NA,NA,NA,NA,NA,NA,NA
12722,1.53522,1.2394,-3.87749,NA,NA,NA,-31.904,NA,NA,NA,NA,NA,NA
12879,2.62583,1.33262,-3.82563,NA,NA,-40.677,NA,NA,NA,NA,NA,NA,NA
13123,3.21466,1.55262,-4.0589,NA,NA,NA,NA,-56.548,NA,NA,NA,NA,NA
13384,3.32545,3.06823,-4.57847,-98.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
13536,2.85667,1.57161,-4.36071,-31.102,NA,NA,NA,NA,NA,NA,NA,NA,NA
13743,1.23142,1.08514,-4.1292,NA,NA,-29.897,NA,NA,NA,NA,NA,NA,NA
13976,1.50799,1.36651,-4.58231,NA,NA,-18.275,NA,NA,NA,NA,NA,NA,NA
14033,2.32707,1.08886,-4.121,NA,NA,NA,NA,NA,NA,-92.923,NA,NA,NA
14222,1.84522,1.45713,-3.03393,NA,NA,-59.228,NA,NA,NA,NA,NA,NA,NA
14551,1.5599,0.819822,-5,NA,NA,NA,-72.942,NA,NA,NA,NA,NA,NA
14703,1.19488,1.92744,-5,NA,NA,NA,NA,NA,-56.444,NA,NA,NA,NA
14935,1.79663,1.14574,-5,-25.732,NA,NA,NA,NA,NA,NA,NA,NA,NA
15044,2.34202,2.08888,-5,-25.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
15285,2.30506,1.85701,-4.74007,-15.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
15418,1.80118,2.03969,-5,-18.101,NA,NA,NA,NA,NA,NA,NA,NA,NA
15674,2.33075,2.57533,-5,-38.166,NA,NA,NA,NA,NA,NA,NA,NA,NA
15823,1.48292,2.87897,-4.76089,NA,NA,-44.878,NA,NA,NA,NA,NA,NA,NA
16056,1.68889,2.21328,-5,NA,NA,-29.192,NA,NA,NA,NA,NA,NA,NA
16264,1.86427,1.11108,-4.50547,-12.247,NA,NA,NA,NA,NA,NA,NA,NA,NA
16545,1.90013,0.979243,-4.86443,NA,NA,NA,-52.195,NA,NA,NA,NA,NA,NA
16767,2.40235,1.34851,-5,NA,NA,-29.506,NA,NA,NA,NA,NA,NA,NA
16941,2.16373,1.85427,-3.78678,NA,NA,NA,NA,-23.109,NA,NA,NA,NA,NA
17024,1.21325,1.94904,-3.86211,NA,NA,NA,NA,-30.096,NA,NA,NA,NA,NA
17256,1.32827,1.08985,-4.13061,NA,NA,NA,NA,-33.968,NA,NA,NA,NA,NA
17571,1.39247,1.99821,-4.14088,NA,NA,NA,NA,NA,-29.823,NA,NA,NA,NA
17746,2.97612,0.992462,-3.32656,-81.399,NA,NA,NA,NA,NA,NA,NA,NA,NA
17911,1.89401,1.44943,-4.05274,NA,NA,NA,NA,NA,-29.365,NA,NA,NA,NA
18007,1.39677,3.01188,-5,NA,NA,NA,NA,-58.463,NA,NA,NA,NA,NA
18328,2.28846,3.0417,-5,NA,NA,NA,NA,NA,-83.465,NA,NA,NA,NA
18585,2.20533,2.88389,-5,NA,NA,NA,NA,-58.067,NA,NA,NA,NA,NA
18614,2.36629,4.1067,-4.98258,-143.778,NA,NA,NA,NA,NA,NA,NA,NA,NA
18887,2.37415,2.40734,-5,NA,NA,NA,NA,-37.656,NA,NA,NA,NA,NA
19081,3.02474,2.10472,-5,NA,NA,NA,NA,NA,-64.195,NA,NA,NA,NA
19302,2.5439,3.01387,-3.5484,-73.743,NA,NA,NA,NA,NA,NA,NA,NA,NA
19455,3.20924,2.67263,-4.54294,-71.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
19781,2.03783,1.41568,-4.74961,NA,NA,-16.74,NA,NA,NA,NA,NA,NA,NA
19873,1.9136,1.80705,-3.66361,-14.934,NA,NA,NA,NA,NA,NA,NA,NA,NA
20116,0.733114,2.28357,-4.07484,NA,NA,NA,NA,-50.913,NA,NA,NA,NA,NA
20337,2.12399,1.67864,-5,NA,NA,NA,NA,NA,-39.704,NA,NA,NA,NA
20446,1.34463,0.486431,-4.52544,NA,NA,-85.186,NA,NA,NA,NA,NA,NA,NA
20701,1.58847,1.62455,-5,NA,NA,-25.353,NA,NA,NA,NA,NA,NA,NA
20930,1.2016,1.11069,-5,NA,NA,NA,NA,-56.248,NA,NA,NA,NA,NA
21060,1.66139,1.36395,-4.20957,-3.711,NA,NA,NA,NA,NA,NA,NA,NA,NA
21274,1.25707,2.11268,-5,NA,NA,NA,NA,NA,-43.34,NA,NA,NA,NA
21497,1.14324,2.57269,-5,NA,NA,NA,NA,-43.168,NA,NA,NA,NA,NA
21763,1.67879,2.29373,-4.19448,NA,NA,-18.536,NA,NA,NA,NA,NA,NA,NA
21807,1.02277,1.44805,-5,NA,NA,-36,NA,NA,NA,NA,NA,NA,NA
22065,2.29042,1.91187,-5,NA,NA,-25.146,NA,NA,NA,NA,NA,NA,NA
22220,1.7577,1.62214,-5,-15.448,NA,NA,NA,NA,NA,NA,NA,NA,NA
22473,2.28875,1.42205,-4.64274,-13.776,NA,NA,NA,NA,NA,NA,NA,NA,NA
22604,2.61049,1.11671,-4.47118,NA,NA,NA,NA,-34.54,NA,NA,NA,NA,NA
22838,1.31763,1.27038,-5,-28.626,NA,NA,NA,NA,NA,NA,NA,NA,NA
23153,1.917,1.45847,-4.8839,-13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
23357,1.47744,1.03681,-5,-37.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
23464,1.34136,1.64416,-4.12177,-8.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
23610,1.51288,2.00248,-4.60835,NA,NA,NA,-22.234,NA,NA,NA,NA,NA,NA
23990,0.573581,1.40794,-5,NA,NA,NA,-69.823,NA,NA,NA,NA,NA,NA
24102,1.93145,1.45441,-5,NA,NA,NA,-32.189,NA,NA,NA,NA,NA,NA
24318,1.60992,2.52324,-5,-30.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
24556,1.48926,2.18691,-4.16953,-12.992,NA,NA,NA,NA,NA,NA,NA,NA,NA
24768,1.5387,1.64794,-4.11135,NA,NA,-6.771,NA,NA,NA,NA,NA,NA,NA
24873,2.52989,1.20385,-3.98889,-27.447,NA,NA,NA,NA,NA,NA,NA,NA,NA
25144,2.50772,1.45413,-2.76753,NA,NA,NA,NA,-89.48,NA,NA,NA,NA,NA
25370,2.66601,1.62149,-2.9992,NA,NA,NA,NA,NA,-101.196,NA,NA,NA,NA
25442,2.09993,1.84904,-3.61929,NA,NA,NA,NA,-30.403,NA,NA,NA,NA,NA
25673,1.54536,2.03069,-4.61597,NA,NA,-12.208,NA,NA,NA,NA,NA,NA,NA
25833,3.33705,3.0024,-4.77088,NA,NA,NA,-113.844,NA,NA,NA,NA,NA,NA
26106,2.07762,2.38022,-5,NA,NA,NA,-54.764,NA,NA,NA,NA,NA,NA
26232,1.6066,2.49619,-5,-29.469,NA,NA,NA,NA,NA,NA,NA,NA,NA
26403,1.59993,1.53149,-5,NA,NA,-27.083,NA,NA,NA,NA,NA,NA,NA
26682,1.55731,2.46395,-5,NA,NA,-30.368,NA,NA,NA,NA,NA,NA,NA
26843,0.795649,2.445,-5,NA,NA,-55.278,NA,NA,NA,NA,NA,NA,NA
27016,1.60164,2.67597,-5,NA,NA,NA,NA,-43.098,NA,NA,NA,NA,NA
27345,2.2481,2.86927,-4.68759,NA,NA,NA,NA,-52.387,NA,NA,NA,NA,NA
27582,0.758066,3.3686,-4.30919,-88.162,NA,NA,NA,NA,NA,NA,NA,NA,NA
27758,1.85639,3.14259,-5,NA,NA,NA,-78.286,NA,NA,NA,NA,NA,NA
27914,1.88026,2.07605,-4.26469,-6.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
28121,1.3892,1.59722,-4.83695,NA,NA,-15.092,NA,NA,NA,NA,NA,NA,NA
28348,0.793703,1.54383,-4.86527,-43.057,NA,NA,NA,NA,NA,NA,NA,NA,NA
28558,1.27948,1.57701,-5,NA,NA,-26.364,NA,NA,NA,NA,NA,NA,NA
28632,1.88207,1.94516,-5,-15.884,NA,NA,NA,NA,NA,NA,NA,NA,NA
28859,1.08192,2.10552,-4.52932,-20.857,NA,NA,NA,NA,NA,NA,NA,NA,NA
29067,1.84723,1.92531,-4.93385,-13.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
29347,2.46974,0.806908,-5,NA,NA,-53.598,NA,NA,NA,NA,NA,NA,NA
29410,1.83135,1.11947,-4.41848,-11.222,NA,NA,NA,NA,NA,NA,NA,NA,NA
29729,0.489624,0.727075,-5,NA,NA,-117.719,NA,NA,NA,NA,NA,NA,NA
29864,0.978176,1.77564,-5,NA,NA,NA,-57.545,NA,NA,NA,NA,NA,NA
30113,1.82533,1.64244,-5,NA,-59.167,NA,NA,NA,NA,NA,NA,NA,NA
30303,2.7115,1.63311,-5,NA,NA,NA,-46.344,NA,NA,NA,NA,NA,NA
30507,2.8628,2.47971,-5,NA,NA,-56.324,NA,NA,NA,NA,NA,NA,NA
30605,1.44771,1.81614,-4.2688,-6.428,NA,NA,NA,NA,NA,NA,NA,NA,NA
30994,2.25243,1.15267,-3.33587,-47.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
31112,1.29825,0.727213,-3.5121,NA,NA,-75.311,NA,NA,NA,NA,NA,NA,NA
31336,1.73397,0.354059,-4.95691,NA,NA,NA,NA,NA,-146.328,NA,NA,NA,NA
31423,1.64924,1.91615,-3.3246,NA,NA,-34.187,NA,NA,NA,NA,NA,NA,NA
31621,1.34197,2.12033,-3.97504,NA,NA,NA,NA,-28.814,NA,NA,NA,NA,NA
31877,2.07868,1.30236,-5,NA,NA,NA,NA,NA,-53.605,NA,NA,NA,NA
32158,1.6623,1.97007,-5,NA,NA,-17.994,NA,NA,NA,NA,NA,NA,NA
32352,2.37837,2.22413,-4.80918,NA,NA,-25.124,NA,NA,NA,NA,NA,NA,NA
32501,2.47989,1.58993,-5,NA,NA,NA,-51.381,NA,NA,NA,NA,NA,NA
32728,2.57672,1.08428,-5,NA,NA,NA,NA,NA,NA,-114.237,NA,NA,NA
32908,1.19977,0.466017,-4.99447,NA,-119.815,NA,NA,NA,NA,NA,NA,NA,NA
33087,1.65375,2.1506,-5,NA,NA,-26.035,NA,NA,NA,NA,NA,NA,NA
33279,1.2374,1.838,-4.71501,NA,-67.889,NA,NA,NA,NA,NA,NA,NA,NA
33564,1.54764,1.54594,-5,NA,NA,NA,NA,-26.425,NA,NA,NA,NA,NA
33620,1.64369,1.60757,-5,NA,NA,-23.112,NA,NA,NA,NA,NA,NA,NA
33934,1.85463,1.85276,-4.80164,-9.349,NA,NA,NA,NA,NA,NA,NA,NA,NA
34028,2.00088,1.73383,-5,-16.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
34304,3.14064,2.5453,-4.87676,-65.463,NA,NA,NA,NA,NA,NA,NA,NA,NA
34470,2.7784,2.74481,-5,NA,NA,NA,NA,NA,-72.097,NA,NA,NA,NA
34792,2.17195,1.50837,-5,NA,NA,NA,-36.459,NA,NA,NA,NA,NA,NA
34885,1.2027,1.66762,-4.5937,NA,NA,-17.425,NA,NA,NA,NA,NA,NA,NA
35153,1.48179,1.20825,-4.28931,-11.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
35330,2.71201,1.1732,-5,NA,NA,NA,NA,-56.935,NA,NA,NA,NA,NA
35587,1.67934,1.42807,-5,NA,NA,-19.843,NA,NA,NA,NA,NA,NA,NA
35745,2.09864,2.13463,-5,-20.781,NA,NA,NA,NA,NA,NA,NA,NA,NA
35932,2.7658,1.58427,-5,NA,NA,-37.059,NA,NA,NA,NA,NA,NA,NA
36046,1.35809,1.48435,-5,-22.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
36234,1.62046,2.8916,-5,-45.907,NA,NA,NA,NA,NA,NA,NA,NA,NA
36479,0.454722,2.33661,-4.34877,-53.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
36780,0.039659,1.7508,-3.01588,NA,NA,-122.112,NA,NA,NA,NA,NA,NA,NA
36989,0.720708,2.04869,-4.24687,-36.857,NA,NA,NA,NA,NA,NA,NA,NA,NA
37033,1.53587,2.05241,-4.25465,NA,NA,NA,-24.019,NA,NA,NA,NA,NA,NA
37266,1.86464,3.67436,-3.37532,NA,NA,-122.25,NA,NA,NA,NA,NA,NA,NA
37544,2.08142,2.28682,-4.01698,-17.197,NA,NA,NA,NA,NA,NA,NA,NA,NA
37763,1.58991,1.30008,-4.83475,-15.528,NA,NA,NA,NA,NA,NA,NA,NA,NA
37991,2.26591,1.63608,-4.73989,NA,NA,NA,NA,NA,-40.781,NA,NA,NA,NA
38059,2.72586,0.980951,-5,NA,NA,NA,NA,NA,-87.774,NA,NA,NA,NA
38225,0.935841,2.37527,-4.92313,NA,NA,NA,NA,-45.667,NA,NA,NA,NA,NA
38467,1.61394,2.84616,-5,NA,NA,-45.402,NA,NA,NA,NA,NA,NA,NA
38701,1.8751,2.40964,-4.8205,NA,NA,NA,NA,-25.351,NA,NA,NA,NA,NA
38879,0.400349,2.08933,-4.21857,-52.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
39124,1.85471,2.26082,-4.56064,-13.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
39251,1.89211,1.76482,-4.77329,NA,NA,NA,NA,NA,-38.677,NA,NA,NA,NA
39526,0.806826,1.99676,-5,NA,NA,NA,NA,-43.881,NA,NA,NA,NA,NA
39758,1.81422,1.31872,-4.08196,NA,NA,NA,NA,NA,NA,NA,-54.958,NA,NA
39954,1.98671,1.72935,-4.50543,NA,NA,NA,NA,-18.168,NA,NA,NA,NA,NA
40035,0.94244,2.20981,-4.0511,NA,NA,NA,NA,NA,-57.081,NA,NA,NA,NA
40396,1.26785,2.37462,-4.84297,-27.252,NA,NA,NA,NA,NA,NA,NA,NA,NA
40459,3.02042,2.21457,-5,-52.114,NA,NA,NA,NA,NA,NA,NA,NA,NA
40653,3.28172,1.77006,-4.53662,NA,NA,NA,NA,-57.278,NA,NA,NA,NA,NA
40863,1.79888,2.13737,-5,-19.189,NA,NA,NA,NA,NA,NA,NA,NA,NA
41200,1.57943,1.39273,-4.60593,NA,NA,NA,NA,-20.435,NA,NA,NA,NA,NA
41249,2.38542,2.3956,-5,-33.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
41592,2.40283,1.37232,-5,NA,NA,NA,NA,-28.541,NA,NA,NA,NA,NA
41774,3.95206,1.99543,-5,NA,NA,-113.88,NA,NA,NA,NA,NA,NA,NA
41901,3.01813,2.06199,-4.7869,-45.486,NA,NA,NA,NA,NA,NA,NA,NA,NA
42010,3.92928,1.71491,-5,-108.309,NA,NA,NA,NA,NA,NA,NA,NA,NA
42333,2.67167,0.790576,-5,-65.578,NA,NA,NA,NA,NA,NA,NA,NA,NA
42525,1.95843,1.01841,-5,-32.846,NA,NA,NA,NA,NA,NA,NA,NA,NA
42794,1.08509,1.07884,-4.68199,NA,NA,NA,NA,-47.268,NA,NA,NA,NA,NA
42885,1.31721,2.16729,-4.37332,NA,NA,NA,-38.795,NA,NA,NA,NA,NA,NA
43108,1.65915,1.77157,-4.48302,NA,NA,NA,NA,-5.73,NA,NA,NA,NA,NA
43222,3.04862,1.27309,-4.19915,NA,NA,NA,NA,NA,-58.909,NA,NA,NA,NA
43431,2.33398,1.88148,-4.3267,NA,NA,NA,NA,-15.038,NA,NA,NA,NA,NA
43709,1.59621,1.71359,-3.85438,NA,-45.594,NA,NA,NA,NA,NA,NA,NA,NA
43933,1.3249,1.45425,-4.04375,NA,NA,-19.489,NA,NA,NA,NA,NA,NA,NA
44143,0.933283,2.18588,-3.87505,NA,NA,-35.012,NA,NA,NA,NA,NA,NA,NA
44205,2.00217,2.19142,-5,NA,NA,NA,NA,NA,NA,NA,-59.06,NA,NA
44489,2.12632,2.12104,-3.75422,NA,NA,NA,NA,NA,-44.078,NA,NA,NA,NA
44784,0.877116,2.45919,-5,-46.516,NA,NA,NA,NA,NA,NA,NA,NA,NA
44871,0.529314,2.23258,-5,NA,NA,-62.07,NA,NA,NA,NA,NA,NA,NA
45065,1.20509,1.85687,-5,-24.353,NA,NA,NA,NA,NA,NA,NA,NA,NA
45370,2.42583,1.10149,-3.76084,-33.717,NA,NA,NA,NA,NA,NA,NA,NA,NA
45544,3.14169,1.90153,-3.71113,-60.069,NA,NA,NA,NA,NA,NA,NA,NA,NA
45628,1.8307,1.87789,-4.14105,NA,NA,NA,NA,-11.407,NA,NA,NA,NA,NA
45824,1.63425,1.48506,-5,NA,NA,NA,NA,-32.391,NA,NA,NA,NA,NA
46046,1.84833,1.58791,-5,-15.148,NA,NA,NA,NA,NA,NA,NA,NA,NA
46377,1.05722,1.53767,-4.2454,-18.601,NA,NA,NA,NA,NA,NA,NA,NA,NA
46510,1.15154,2.55803,-4.24062,NA,NA,NA,NA,NA,-58.641,NA,NA,NA,NA
46798,1.78445,1.61424,-5,NA,NA,NA,NA,NA,-32.051,NA,NA,NA,NA
46911,2.31807,1.08763,-5,NA,NA,NA,NA,-37.226,NA,NA,NA,NA,NA
47053,2.24755,1.97922,-4.59544,NA,NA,-13.379,NA,NA,NA,NA,NA,NA,NA
47312,1.6847,2.05958,-5,NA,NA,NA,-34.417,NA,NA,NA,NA,NA,NA
47492,0.203647,2.46075,-4.11252,-73.719,NA,NA,NA,NA,NA,NA,NA,NA,NA
47752,1.2009,1.68964,-4.31678,NA,NA,NA,-46.147,NA,NA,NA,NA,NA,NA
47883,1.81497,1.85535,-5,NA,NA,-16.222,NA,NA,NA,NA,NA,NA,NA
48006,0.990324,1.80022,-4.31426,-20.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
48330,1.06677,2.76507,-4.9916,NA,-83.437,NA,NA,NA,NA,NA,NA,NA,NA
48538,0.775208,1.61014,-5,-45.459,NA,NA,NA,NA,NA,NA,NA,NA,NA
48670,0.891425,2.29889,-3.84549,NA,NA,NA,NA,NA,-66.123,NA,NA,NA,NA
48902,0.608803,1.41956,-4.40721,-47.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
49194,1.96487,1.55018,-5,NA,NA,NA,-34.182,NA,NA,NA,NA,NA,NA
49371,2.70917,1.36276,-4.71304,NA,NA,NA,-47.622,NA,NA,NA,NA,NA,NA
49538,1.96398,1.28205,-5,NA,NA,NA,-37.281,NA,NA,NA,NA,NA,NA
49769,1.61288,2.06802,-5,NA,NA,NA,NA,-20.588,NA,NA,NA,NA,NA
49969,1.27347,2.22493,-4.68809,-19.808,NA,NA,NA,NA,NA,NA,NA,NA,NA
50078,2.12613,1.04887,-5,NA,NA,NA,-42.815,NA,NA,NA,NA,NA,NA
50261,0.90628,1.60736,-5,NA,NA,-41.725,NA,NA,NA,NA,NA,NA,NA
50533,0.56543,2.49328,-5,-60.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
50696,1.02445,3.02635,-4.6047,NA,NA,-63.962,NA,NA,NA,NA,NA,NA,NA
50952,0.909751,2.0965,-4.24596,NA,NA,-32.373,NA,NA,NA,NA,NA,NA,NA
51162,1.54213,2.2848,-3.96063,-16.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
51351,1.24979,2.0431,-3.75176,-21.964,NA,NA,NA,NA,NA,NA,NA,NA,NA
51525,1.34521,1.70412,-5,-20.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
51787,1.47856,1.48726,-5,-19.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
51836,1.38685,1.06051,-5,NA,NA,NA,NA,-47.729,NA,NA,NA,NA,NA
52092,0.803034,2.6795,-4.83287,NA,NA,NA,NA,-58.796,NA,NA,NA,NA,NA
52352,1.66674,2.54487,-5,-31.758,NA,NA,NA,NA,NA,NA,NA,NA,NA
52547,2.77222,1.78681,-4.9515,-35.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
52755,2.37225,1.55967,-4.63427,-14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
52805,1.93186,1.05291,-4.35765,-14.903,NA,NA,NA,NA,NA,NA,NA,NA,NA
53020,2.00897,2.40389,-3.85123,-22.894,NA,NA,NA,NA,NA,NA,NA,NA,NA
53321,3.01657,2.43579,-5,NA,NA,NA,NA,NA,-73.256,NA,NA,NA,NA
53533,1.84489,2.59725,-4.03419,-26.847,NA,NA,NA,NA,NA,NA,NA,NA,NA
53794,1.80868,1.95625,-4.31361,NA,NA,NA,NA,-17.117,NA,NA,NA,NA,NA
53806,1.80974,1.85898,-5,NA,NA,NA,NA,-17.874,NA,NA,NA,NA,NA
54196,2.81979,1.11729,-4.53665,NA,NA,NA,NA,NA,-66.59,NA,NA,NA,NA
54224,2.47229,0.89062,-5,NA,NA,NA,NA,-64.622,NA,NA,NA,NA,NA
54543,1.99029,1.65975,-3.99259,NA,NA,NA,NA,-14.715,NA,NA,NA,NA,NA
54648,1.91775,1.78751,-3.80649,NA,NA,NA,NA,-17.96,NA,NA,NA,NA,NA
54967,1.32231,1.7902,-3.52555,NA,NA,NA,NA,-32.551,NA,NA,NA,NA,NA
55037,1.20705,2.51422,-5,-37.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
55245,1.09292,3.81608,-5,NA,NA,NA,-136.905,NA,NA,NA,NA,NA,NA
55472,0.387187,3.68266,-4.31053,NA,NA,NA,-153.266,NA,NA,NA,NA,NA,NA
