id,x0,x1,x2,fitness9.5,fitness8,fitness8.5,fitness7.5,fitness7,fitness9,fitness4.5,fitness5,fitness6.5,fitness6,fitness10
11365,7.09639,7.38366,7.867,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA
11494,7.65996,8.22453,8.44805,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA
11679,8.38443,7.68682,7.34311,NA,NA,NA,NA,NA,NA,NA,NA,0.654,NA,NA
11986,8.15391,7.57381,7.77093,NA,NA,NA,0.913,NA,NA,NA,NA,NA,NA,NA
12176,7.42475,6.96153,7.84335,NA,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA
12263,8.32202,7.07621,8.77339,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA
12520,8.46215,7.75995,7.99821,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA
12793,9.13464,8.22849,7.97202,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA
12917,8.43009,8.31569,8.06857,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA
13189,8.16705,7.85262,7.53958,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA
13328,7.98489,7.83282,7.00021,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA
13588,8.31694,7.39818,7.7735,NA,NA,NA,0.873,NA,NA,NA,NA,NA,NA,NA
13724,7.05754,7.53049,7.90471,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA
13892,7.24541,7.91898,7.85948,NA,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA
14031,7.4715,8.14795,8.2742,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA
14374,7.70781,8.57901,7.31011,NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,NA
14424,7.71124,7.84369,6.90798,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA
14760,6.7204,7.71656,7.38492,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA
14848,7.58088,7.72385,8.93415,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA
15174,7.9917,8.17719,7.90012,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA
15362,7.33506,8.74781,7.41201,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA,NA
15500,7.44832,8.25912,7.89237,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA
15753,7.48812,7.76068,8.20954,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA
15872,7.05653,7.9217,7.24424,NA,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA
16116,8.13131,7.95386,8.21826,NA,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA
16307,7.09286,6.81565,8.39263,NA,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA
16551,7.68611,7.3585,8.61433,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA
16617,7.19922,7.10379,7.84051,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA,NA
16951,7.21705,7.28017,6.59796,NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA
17180,6.9525,8.15796,7.29828,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA
17360,8.01914,8.32887,7.51537,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA
17559,7.74369,8.599,7.04499,NA,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA
17721,8.547,8.35517,7.35372,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA
17837,8.40961,7.34207,7.73842,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA
18045,7.92301,7.05704,8.00238,NA,NA,0.729,NA,NA,NA,NA,NA,NA,NA,NA
18313,7.88753,7.42057,7.74258,NA,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA
18408,7.50276,8.20762,7.48616,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA
18791,7.97222,8.06797,8.19093,NA,NA,NA,NA,NA,0.612,NA,NA,NA,NA,NA
18822,7.8786,8.18746,9.05367,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA
19048,8.07822,8.03771,9.5842,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA
19258,8.06242,7.42776,8.88884,NA,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA
19464,7.82761,8.37212,8.42824,NA,0.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
19785,8.54083,8.03686,7.42192,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA
19922,7.24549,7.66196,7.09027,NA,NA,NA,0.859,NA,NA,NA,NA,NA,NA,NA
20082,7.26415,8.60334,7.34298,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA
20283,7.49203,7.56382,7.71328,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA
20428,7.30146,7.09744,8.11037,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA
20603,7.86567,6.94483,7.80026,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA
20929,7.89711,7.57284,8.2432,NA,NA,NA,NA,NA,0.679,NA,NA,NA,NA,NA
21196,8.07755,6.72389,7.34141,NA,NA,NA,0.733,NA,NA,NA,NA,NA,NA,NA
21378,7.19786,7.28786,7.24103,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA
21561,7.48141,7.75398,7.68267,NA,NA,NA,0.981,NA,NA,NA,NA,NA,NA,NA
21684,7.83987,8.31157,8.66499,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA
21908,7.59726,8.52136,8.04474,NA,NA,NA,0.833,NA,NA,NA,NA,NA,NA,NA
22196,7.47525,8.01455,8.43848,NA,NA,NA,0.873,NA,NA,NA,NA,NA,NA,NA
22209,7.62864,8.0029,7.82519,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA
22501,7.99933,8.371,7.33299,NA,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA
22715,9.07549,8.12456,8.39818,NA,NA,NA,NA,NA,NA,NA,NA,0.361,NA,NA
22917,9.37163,6.98938,7.42673,NA,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA
23119,8.08543,7.41958,7.81844,NA,NA,NA,NA,0.883,NA,NA,NA,NA,NA,NA
23311,8.28306,8.23448,6.51504,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA
23412,8.10755,7.33077,6.95385,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA
23793,8.23676,7.27491,6.66464,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA
23985,7.0079,9.08694,7.50657,NA,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA
24128,7.7416,8.67516,7.27032,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA,NA
24251,7.77639,8.08521,7.08438,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA
24490,7.55191,8.79321,7.92265,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA
24632,7.39873,8.59887,7.95277,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA
24992,8.89922,8.84773,8.00748,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA
25044,8.13667,7.80637,8.00018,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA,NA
25308,7.18951,7.58872,7.02798,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
25422,7.56502,8.37934,6.99666,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA
25611,7.61496,8.92906,7.48451,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA
25910,7.66223,8.10494,8.55362,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA
26028,7.32124,7.96462,9.11027,NA,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA
26359,8.35552,7.73395,8.59045,NA,NA,NA,0.758,NA,NA,NA,NA,NA,NA,NA
26533,7.50476,7.87336,8.05087,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA
26673,8.85381,7.65251,8.4023,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA
26917,8.76318,7.91415,7.5312,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA
27181,8.19237,8.50704,7.1893,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA
27215,8.80439,7.76946,8.06605,NA,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA
27432,7.18698,8.84742,8.33963,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA
27759,7.9167,9.31451,7.9045,NA,NA,NA,0.644,NA,NA,NA,NA,NA,NA,NA
27883,7.14733,9.09005,7.55133,NA,0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
28188,7.5897,8.8215,6.72379,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA
28359,7.24541,7.83181,8.70964,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA
28588,7.60787,7.37824,8.11049,NA,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA
28682,7.77427,6.94288,7.17341,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA
28895,7.51607,7.68716,8.31595,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA
29034,7.43362,8.18003,9.11335,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA
29357,7.79796,7.5978,8.32568,NA,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA
29457,7.50896,6.91788,8.45098,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
29747,8.135,7.08714,8.77909,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
29927,7.77261,7.25067,7.79344,NA,NA,NA,0.952,NA,NA,NA,NA,NA,NA,NA
30013,8.08659,7.55633,7.7749,NA,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA
30348,7.58959,7.73399,8.14848,NA,NA,NA,0.939,NA,NA,NA,NA,NA,NA,NA
30435,7.34783,7.79273,7.02747,NA,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA
30663,7.76492,7.46083,6.75457,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA
30836,7.1434,7.76635,7.6474,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA
31015,7.38678,7.92336,7.72746,NA,NA,NA,0.967,NA,NA,NA,NA,NA,NA,NA
31344,7.25255,7.95425,7.00218,NA,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA
31506,7.61582,7.74785,7.14416,NA,NA,NA,0.922,NA,NA,NA,NA,NA,NA,NA
31698,8.36329,8.18947,7.40299,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA
31995,7.56583,8.16807,7.54449,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA
32128,7.41896,8.0265,9.51368,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA
32224,7.68754,7.8075,9.04369,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA
32460,7.44519,8.42634,7.65127,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA
32724,8.33888,8.22224,8.90087,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
32832,7.12435,7.02783,9.15949,NA,NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA
33119,6.89027,7.30719,8.379,NA,0.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
33263,6.98162,8.41053,7.33032,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA
33503,7.91869,7.31862,7.18863,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA
33690,8.13,7.4889,7.68398,NA,NA,0.821,NA,NA,NA,NA,NA,NA,NA,NA
33991,7.64969,7.74017,8.35854,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA
34002,7.63079,7.71485,8.4736,NA,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA
34273,7.7602,7.9808,7.60739,NA,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA
34481,6.73138,8.32779,7.82844,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA
34794,7.25457,7.69327,7.13165,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA
34863,7.20153,7.96916,7.27189,NA,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA
35073,7.88642,7.2006,7.49201,NA,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA
35272,8.09398,8.49499,8.22135,NA,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA
35473,7.76564,7.55198,8.13232,NA,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA
35638,8.88292,8.21899,7.15947,NA,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA
35813,7.89389,8.69427,6.85767,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA
36181,8.23345,7.26772,7.50962,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA
36318,8.45849,8.34185,8.50105,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA
36527,7.6811,7.89404,7.94941,NA,NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA
36601,7.59981,8.43635,8.27566,NA,NA,NA,NA,0.792,NA,NA,NA,NA,NA,NA
36872,7.47956,8.24226,7.8568,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA
37085,7.66448,7.1987,7.24495,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA
37399,7.52799,7.0663,7.81384,NA,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA
37431,7.72656,7.90985,7.84081,NA,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA
37667,7.12004,7.68675,7.83974,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA
37960,7.59847,7.91066,7.60934,NA,NA,NA,0.977,NA,NA,NA,NA,NA,NA,NA
38001,7.22007,7.46188,8.13021,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA
38220,6.99084,7.29843,9.38329,NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
38511,8.0718,7.03899,8.76829,NA,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA
38773,7.95526,7.3429,7.63312,NA,NA,NA,0.958,NA,NA,NA,NA,NA,NA,NA
38821,7.53053,6.85553,7.55897,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA
39023,7.50245,6.47071,7.15214,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA
39322,9.39587,7.33827,7.57536,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
39551,8.87931,8.42547,8.55792,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
39629,8.29344,6.99237,7.49702,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA
39921,7.62801,7.48381,8.72317,NA,NA,NA,NA,NA,0.641,NA,NA,NA,NA,NA
40043,7.85126,7.23641,7.23518,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA
40281,7.5206,7.82328,7.53312,NA,NA,NA,0.948,NA,NA,NA,NA,NA,NA,NA
40507,7.87744,8.29463,7.64532,NA,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
40668,9.31554,8.3679,8.26447,NA,NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA
40931,8.01128,8.27782,7.92791,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA
41094,7.90026,7.61985,8.05313,NA,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
41321,8.35683,7.68125,7.29184,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA
41482,7.83586,7.16874,7.79467,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA
41612,7.34665,8.39077,7.68258,NA,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
41971,8.13203,8.25067,7.88962,NA,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA
42154,7.77684,7.64594,7.75357,NA,NA,0.885,NA,NA,NA,NA,NA,NA,NA,NA
42351,7.19073,7.59276,8.53619,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
42434,7.41604,7.9578,9.19137,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA,NA
42800,7.68197,7.55145,8.38138,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA
42977,8.99067,7.89989,7.23929,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA
43143,8.41693,8.38984,8.67336,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA
43289,8.14383,7.27045,8.41517,NA,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA
43597,7.28897,6.8222,7.8775,NA,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA
43695,7.64063,6.82,7.94246,NA,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA
43877,8.26875,8.06483,7.9,NA,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
44172,7.7301,8.97015,7.25122,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA
44279,8.44142,7.39289,7.99865,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA
44551,8.74941,7.32796,8.48756,NA,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA
44732,7.94585,6.8741,7.58103,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA,NA
44899,8.33608,8.27223,7.45329,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
45091,8.31483,7.67367,7.69361,NA,NA,NA,NA,0.882,NA,NA,NA,NA,NA,NA
45337,7.14828,7.36321,7.7907,NA,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA
45431,7.77045,6.92392,7.00304,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA
45768,7.85549,8.25432,7.66672,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA
45854,7.95826,7.53341,7.38621,NA,NA,NA,0.959,NA,NA,NA,NA,NA,NA,NA
46041,7.6437,7.90371,7.66769,NA,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA
46329,7.74867,6.72512,8.87006,NA,NA,NA,0.583,NA,NA,NA,NA,NA,NA,NA
46472,7.89656,7.32908,8.13514,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA
46751,7.60709,7.91888,6.78868,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA,NA
46813,7.60404,7.06579,8.13367,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA
47034,7.62494,6.63773,8.17907,NA,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA
47372,7.23622,7.85659,7.90137,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA,NA
47401,6.99093,8.04353,8.08455,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA
47672,8.68275,7.48557,7.40355,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA
47964,8.12489,8.20763,8.50293,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA
48065,6.58543,7.72879,7.69488,NA,NA,NA,0.738,NA,NA,NA,NA,NA,NA,NA
48315,7.78261,8.03882,7.43126,NA,NA,NA,NA,NA,NA,NA,NA,0.715,NA,NA
48572,8.58742,7.18083,7.4752,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA
48692,8.6546,7.77857,7.4354,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
48997,8.76541,7.72067,7.96167,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49062,8.32642,8.12817,8.90042,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA
49223,8.14566,6.87743,7.86988,NA,NA,NA,NA,NA,0.627,NA,NA,NA,NA,NA
49531,8.2334,7.61812,8.31966,NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA,NA
49786,7.70123,8.07389,8.59741,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
49996,7.48264,7.55601,7.78984,NA,NA,NA,0.981,NA,NA,NA,NA,NA,NA,NA
50142,8.22555,7.73007,8.46486,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
50210,8.07137,7.21839,7.9692,NA,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA
50501,8.38325,7.33446,6.72652,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA
50665,8.45236,6.94613,7.42756,NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA
50961,7.88488,7.07126,8.30176,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA
51069,7.8371,7.16511,7.80371,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA
51323,7.43455,7.39519,7.42728,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA
51556,7.26445,8.54438,7.4869,NA,NA,NA,NA,0.751,NA,NA,NA,NA,NA,NA
51616,8.86441,8.30353,7.52069,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA
51843,7.82164,7.12654,7.47931,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA
52150,7.63875,7.21129,7.04576,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA
52398,7.83787,7.68128,6.95149,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA
52439,7.85142,7.54233,7.51905,NA,NA,NA,NA,NA,NA,NA,NA,0.758,NA,NA
52618,7.4766,8.0974,7.73436,NA,NA,NA,0.958,NA,NA,NA,NA,NA,NA,NA
52994,7.61633,7.86202,7.7244,NA,NA,NA,0.992,NA,NA,NA,NA,NA,NA,NA
53005,7.66522,7.53801,7.05906,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA
