id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness7,fitness6.5,fitness7.5,fitness8,fitness8.5,fitness9,fitness9.5,fitness6
34757,7.74151,7.51482,6.42863,NA,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA
34850,8.02927,8.01656,7.82986,NA,NA,NA,NA,NA,NA,0.948,NA,NA,NA,NA
35158,7.71734,7.26158,8.33648,NA,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA
35374,8.21676,7.42284,8.14723,NA,NA,NA,NA,NA,NA,0.892,NA,NA,NA,NA
35434,7.99966,7.23135,9.38535,NA,NA,NA,NA,NA,NA,0.586,NA,NA,NA,NA
35604,7.25947,7.63617,8.10142,NA,NA,NA,NA,NA,0.905,NA,NA,NA,NA,NA
35910,8.2562,7.81642,7.14298,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA
36157,7.86466,7.45049,8.00816,NA,NA,NA,NA,NA,NA,0.959,NA,NA,NA,NA
36370,7.94142,8.15209,7.20946,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,NA
36526,7.94366,8.08979,7.77479,NA,NA,NA,NA,NA,NA,NA,0.902,NA,NA,NA
36776,7.97995,7.47732,8.78994,NA,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA
36814,8.40668,7.84811,6.9165,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA
37051,8.05377,7.19952,7.44308,NA,NA,NA,NA,NA,NA,NA,NA,0.611,NA,NA
37390,7.06112,7.36776,7.78515,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,NA
37563,7.49954,8.13205,7.35568,NA,NA,NA,NA,NA,0.914,NA,NA,NA,NA,NA
37789,7.74336,7.6922,7.87583,NA,NA,NA,0.891,NA,NA,NA,NA,NA,NA,NA
37932,7.33728,8.05634,8.21974,NA,NA,NA,0.714,NA,NA,NA,NA,NA,NA,NA
38054,7.09804,7.16426,7.66796,NA,NA,NA,NA,NA,NA,0.829,NA,NA,NA,NA
38382,7.57776,7.31089,7.28329,NA,NA,NA,NA,NA,0.903,NA,NA,NA,NA,NA
38434,7.46138,7.96069,6.86391,NA,NA,NA,NA,NA,NA,NA,NA,0.616,NA,NA
38642,7.43427,7.99727,7.95638,NA,NA,NA,NA,NA,NA,0.951,NA,NA,NA,NA
38911,7.01812,8.14415,7.9259,NA,NA,NA,NA,NA,NA,NA,0.792,NA,NA,NA
39162,7.58777,8.4421,7.75658,NA,NA,NA,NA,NA,0.892,NA,NA,NA,NA,NA
39324,8.11118,7.05493,7.68332,NA,NA,NA,NA,NA,0.876,NA,NA,NA,NA,NA
39440,7.44792,6.65245,8.74522,NA,NA,NA,NA,NA,NA,0.578,NA,NA,NA,NA
39788,9.42486,7.90006,8.02997,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA
39875,7.49353,7.87986,8.75429,NA,NA,NA,NA,NA,NA,NA,0.731,NA,NA,NA
40022,8.83354,7.82753,8.52192,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA
40293,7.65701,8.17613,8.52763,NA,NA,NA,NA,NA,NA,0.831,NA,NA,NA,NA
40420,8.12086,7.27156,7.22586,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA
40626,7.85301,8.61234,6.52738,NA,NA,NA,NA,NA,0.584,NA,NA,NA,NA,NA
40953,7.24537,7.88365,8.56571,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA
41170,7.88683,7.75686,7.59649,NA,NA,NA,NA,NA,0.966,NA,NA,NA,NA,NA
41227,7.94257,7.51037,7.68075,NA,NA,NA,NA,NA,0.979,NA,NA,NA,NA,NA
41580,7.74158,8.09783,7.32386,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA
41757,8.12381,7.76333,7.9658,NA,NA,NA,NA,NA,0.942,NA,NA,NA,NA,NA
41873,7.53173,7.03492,8.48162,NA,NA,NA,NA,NA,0.757,NA,NA,NA,NA,NA
42188,8.07816,7.47712,8.46887,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA
42310,7.17309,7.80085,8.48708,NA,NA,NA,NA,NA,NA,NA,0.729,NA,NA,NA
42466,7.6604,7.54018,8.06425,NA,NA,NA,NA,NA,NA,0.922,NA,NA,NA,NA
42671,8.05227,7.26992,8.40108,NA,NA,NA,NA,NA,NA,NA,0.674,NA,NA,NA
42963,8.43902,7.52176,8.5399,NA,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA
43070,7.95426,7.12875,8.0488,NA,NA,NA,NA,NA,0.883,NA,NA,NA,NA,NA
43400,8.64934,7.88542,8.89225,NA,NA,NA,NA,NA,0.607,NA,NA,NA,NA,NA
43544,7.39706,8.60024,8.63068,NA,NA,NA,NA,NA,0.671,NA,NA,NA,NA,NA
43696,7.7832,7.17097,8.37672,NA,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA
43948,7.15526,7.35981,7.51383,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA
44027,6.16656,7.27154,7.3588,NA,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA
44219,7.30851,7.43069,7.5815,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA
44496,8.72371,7.57806,7.29558,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA
44669,8.4932,7.51359,6.77229,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA
44919,7.28115,8.19716,8.05544,NA,NA,NA,NA,NA,NA,NA,0.819,NA,NA,NA
45114,7.83489,8.11084,8.23827,NA,NA,NA,NA,NA,NA,NA,0.794,NA,NA,NA
45367,7.07949,7.49206,7.36424,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA
45508,6.68036,7.94542,8.06653,NA,NA,NA,NA,NA,NA,0.714,NA,NA,NA,NA
45745,7.01378,7.0866,7.96811,NA,NA,NA,NA,NA,NA,0.794,NA,NA,NA,NA
45861,7.27641,7.20824,7.82976,NA,NA,NA,NA,NA,NA,0.886,NA,NA,NA,NA
46167,7.59434,8.12353,7.52716,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA
46335,8.21475,7.96323,8.40859,NA,NA,NA,0.757,NA,NA,NA,NA,NA,NA,NA
46453,7.67712,8.29273,7.5396,NA,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA
46641,7.21071,7.82708,7.99239,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA
46810,8.03821,7.72812,8.30716,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA
47144,7.24125,7.96902,8.0943,NA,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA
47282,7.6087,7.89825,7.97817,NA,NA,NA,NA,NA,NA,NA,NA,0.727,NA,NA
47457,7.91779,7.42509,7.54977,NA,NA,NA,NA,NA,0.969,NA,NA,NA,NA,NA
47715,8.10617,7.35408,7.93776,NA,NA,NA,NA,NA,0.931,NA,NA,NA,NA,NA
47836,8.38232,7.74952,7.03194,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA
48057,6.68607,8.58134,7.9134,NA,NA,NA,NA,NA,NA,0.617,NA,NA,NA,NA
48342,6.81238,7.91606,7.64949,NA,NA,NA,NA,NA,NA,NA,0.752,NA,NA,NA
48510,7.16613,8.32478,7.17014,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA,NA
48767,7.68154,7.98682,7.21771,NA,NA,NA,NA,NA,NA,0.931,NA,NA,NA,NA
48994,7.82602,7.63715,8.29375,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA
49131,7.27026,8.23235,7.76791,NA,NA,NA,NA,NA,NA,NA,0.844,NA,NA,NA
49354,8.39636,8.07725,8.25323,NA,NA,NA,NA,NA,NA,NA,0.773,NA,NA,NA
49485,7.72893,7.58698,8.26649,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA
49605,7.64217,8.72341,7.00555,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA
49934,8.38816,8.18585,6.41696,NA,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA
50194,8.54849,7.59661,7.39976,NA,NA,NA,NA,NA,NA,NA,0.776,NA,NA,NA
50371,7.97958,7.47061,7.37293,NA,NA,NA,NA,NA,NA,0.947,NA,NA,NA,NA
50401,7.8163,7.08392,7.45421,NA,NA,NA,NA,NA,NA,0.864,NA,NA,NA,NA
50651,6.88958,6.51306,7.26175,NA,NA,NA,NA,NA,NA,0.522,NA,NA,NA,NA
50965,8.42259,7.21673,8.39836,NA,NA,NA,NA,NA,0.731,NA,NA,NA,NA,NA
51016,7.57768,6.92713,8.83271,NA,NA,NA,0.606,NA,NA,NA,NA,NA,NA,NA
51243,8.51055,7.22454,7.49911,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA
51498,8.11928,7.07986,8.76983,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA
51615,7.97186,7.61281,9.12151,NA,NA,NA,NA,NA,0.676,NA,NA,NA,NA,NA
51872,8.85724,8.54672,8.6039,NA,NA,NA,NA,NA,NA,NA,0.458,NA,NA,NA
52088,7.86709,8.21466,7.92285,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA
52319,8.26679,7.76072,7.58284,NA,NA,NA,NA,NA,NA,NA,0.873,NA,NA,NA
52544,7.32916,8.44836,7.05012,NA,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA
52615,7.29154,8.21072,7.00486,NA,NA,NA,NA,NA,NA,NA,0.712,NA,NA,NA
52904,7.42634,8.52279,6.98996,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA
53164,6.57442,9.04777,7.71193,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA
