id,x0,x1,x2,fitness-4,fitness-1.5,fitness-1,fitness-2,fitness-2.5,fitness-3,fitness-3.5,fitness-0.5,fitness-4.5
11313,2.12377,1.39757,-5,NA,NA,NA,-29.036,NA,NA,NA,NA,NA
11434,3.1901,2.25274,-4.4146,NA,NA,NA,-59.381,NA,NA,NA,NA,NA
11746,2.36925,2.21587,-3.77727,NA,NA,NA,NA,-26.856,NA,NA,NA,NA
11912,1.5219,1.36064,-5,NA,NA,NA,-23.554,NA,NA,NA,NA,NA
12118,1.754,1.2867,-4.71791,NA,NA,NA,NA,-10.822,NA,NA,NA,NA
12306,1.51062,1.59829,-4.80058,NA,NA,NA,NA,-10.748,NA,NA,NA,NA
12473,2.03781,1.44493,-5,NA,NA,NA,NA,-17.533,NA,NA,NA,NA
12775,0.768728,0.883828,-5,NA,NA,NA,NA,NA,NA,-96.698,NA,NA
12888,1.62742,1.42207,-5,NA,NA,NA,NA,-18.273,NA,NA,NA,NA
13076,1.27657,1.55444,-4.50832,NA,NA,NA,NA,-10.786,NA,NA,NA,NA
13201,2.29655,1.7511,-5,NA,NA,NA,NA,NA,-32.205,NA,NA,NA
13466,1.52127,1.80234,-3.68138,NA,NA,NA,NA,NA,-18.043,NA,NA,NA
13624,2.77733,1.89766,-4.14612,NA,NA,NA,NA,NA,-31.505,NA,NA,NA
13958,3.67443,1.66618,-4.55612,-120.762,NA,NA,NA,NA,NA,NA,NA,NA
14141,2.88845,0.685301,-4.55279,NA,NA,NA,NA,NA,NA,-75.494,NA,NA
14334,1.83507,1.18975,-3.86584,NA,NA,NA,NA,NA,NA,-37.067,NA,NA
14431,2.3532,1.71401,-3.87383,NA,NA,NA,NA,-17.209,NA,NA,NA,NA
14740,2.37445,1.55253,-4.32564,NA,-31.324,NA,NA,NA,NA,NA,NA,NA
14909,1.1073,1.18341,-4.42935,NA,NA,NA,NA,NA,NA,NA,-147.535,NA
15065,1.44283,2.00203,-4.88112,NA,-29.873,NA,NA,NA,NA,NA,NA,NA
15368,1.44643,1.55607,-5,NA,NA,NA,-27.22,NA,NA,NA,NA,NA
15596,1.92905,1.97151,-5,NA,NA,NA,NA,-16.76,NA,NA,NA,NA
15615,1.52871,1.7434,-4.99265,NA,NA,NA,NA,NA,-19.22,NA,NA,NA
15970,1.21868,2.50625,-4.92956,NA,NA,NA,NA,-34.883,NA,NA,NA,NA
16020,2.59313,1.93331,-5,NA,NA,NA,NA,-30.467,NA,NA,NA,NA
16375,1.6941,2.00202,-4.42491,NA,NA,NA,NA,-6.88,NA,NA,NA,NA
16545,2.02821,3.14873,-4.47745,NA,NA,NA,-53.959,NA,NA,NA,NA,NA
16767,1.08047,2.31532,-4.06659,NA,NA,NA,NA,-26.254,NA,NA,NA,NA
16928,2.33566,1.63457,-4.86196,NA,NA,NA,NA,-18.21,NA,NA,NA,NA
17197,2.09828,2.74531,-3.60888,NA,NA,NA,NA,-45.362,NA,NA,NA,NA
17224,0.757465,1.88145,-5,NA,NA,NA,NA,NA,NA,-56.074,NA,NA
17503,1.63081,1.28138,-5,NA,NA,NA,NA,NA,-24.184,NA,NA,NA
17691,1.4821,2.44648,-5,NA,NA,NA,NA,NA,NA,-58.079,NA,NA
17834,1.54778,2.33259,-4.81145,NA,NA,NA,NA,-19.936,NA,NA,NA,NA
18058,3.10582,2.35539,-4.07567,NA,NA,NA,-56.207,NA,NA,NA,NA,NA
18228,1.88303,2.48532,-4.95294,NA,NA,NA,NA,NA,-36.328,NA,NA,NA
18577,2.20752,2.45322,-4.19298,NA,NA,NA,NA,-22.707,NA,NA,NA,NA
18661,1.75981,2.08614,-4.7866,NA,NA,NA,NA,NA,-18.768,NA,NA,NA
18834,0.93372,1.28114,-5,NA,NA,NA,-53.864,NA,NA,NA,NA,NA
19025,0.976765,1.05807,-4.92076,NA,NA,NA,-59.779,NA,NA,NA,NA,NA
19381,1.54508,2.88034,-3.54912,NA,NA,NA,NA,NA,-57.115,NA,NA,NA
19596,2.46527,1.44106,-5,NA,NA,NA,NA,-27.798,NA,NA,NA,NA
19748,1.30502,2.17115,-4.26298,NA,NA,NA,NA,NA,NA,-29.118,NA,NA
19823,2.51443,2.41231,-4.32178,NA,NA,NA,NA,-28.645,NA,NA,NA,NA
20071,1.15005,2.12215,-4.27115,NA,NA,NA,-32.008,NA,NA,NA,NA,NA
20246,0.522071,1.46094,-4.82132,NA,NA,NA,NA,-55.974,NA,NA,NA,NA
20488,1.51135,1.41548,-5,NA,NA,NA,NA,-19.864,NA,NA,NA,NA
20750,1.46686,1.9411,-4.75732,NA,NA,NA,-18.472,NA,NA,NA,NA,NA
20926,1.44374,1.66496,-5,NA,NA,NA,-24.886,NA,NA,NA,NA,NA
21192,1.77456,1.55378,-4.95675,NA,NA,NA,-27.31,NA,NA,NA,NA,NA
21243,1.93178,2.11864,-5,NA,NA,NA,NA,-19.351,NA,NA,NA,NA
21412,1.43795,2.73322,-5,NA,NA,NA,NA,NA,-41.939,NA,NA,NA
21638,1.74366,1.1633,-4.26649,NA,NA,NA,NA,NA,NA,-33.52,NA,NA
21848,1.88498,2.18451,-5,NA,NA,NA,-27.093,NA,NA,NA,NA,NA
22152,1.86728,1.37067,-4.17466,NA,NA,NA,-11.363,NA,NA,NA,NA,NA
22221,1.65709,3.14239,-4.18422,NA,NA,NA,-56.836,NA,NA,NA,NA,NA
22445,3.51037,2.7708,-5,NA,NA,NA,NA,NA,NA,-124.047,NA,NA
22664,1.86332,1.89121,-4.87275,-45.979,NA,NA,NA,NA,NA,NA,NA,NA
22947,0.972867,0.928297,-5,NA,-91.955,NA,NA,NA,NA,NA,NA,NA
23044,3.09594,1.55073,-4.34006,NA,NA,NA,NA,-43.838,NA,NA,NA,NA
23253,2.98713,0.990903,-4.02385,NA,NA,NA,NA,-54.922,NA,NA,NA,NA
23409,3.02149,1.55719,-3.8276,NA,NA,NA,NA,NA,-56.936,NA,NA,NA
23755,1.99502,1.44154,-4.39361,NA,NA,NA,-10.776,NA,NA,NA,NA,NA
23818,1.74574,1.99294,-4.28751,NA,-40.299,NA,NA,NA,NA,NA,NA,NA
24156,0.0116235,2.40225,-3.43462,NA,-141.237,NA,NA,NA,NA,NA,NA,NA
24388,0.704179,2.02588,-3.62629,NA,NA,NA,NA,-50.202,NA,NA,NA,NA
24524,0.670906,1.43682,-5,NA,NA,NA,-66.606,NA,NA,NA,NA,NA
24623,2.61866,2.07461,-4.67513,NA,-42.639,NA,NA,NA,NA,NA,NA,NA
24809,2.38832,2.14457,-5,NA,NA,NA,-28.491,NA,NA,NA,NA,NA
25169,1.70054,2.4019,-3.92301,NA,NA,NA,NA,-20.292,NA,NA,NA,NA
25283,2.43466,2.01586,-3.99279,NA,NA,NA,NA,NA,-25.612,NA,NA,NA
25419,0.379306,1.99902,-4.86172,NA,NA,NA,NA,NA,NA,-76.752,NA,NA
25704,1.28953,0.903976,-4.91197,NA,NA,NA,NA,-49.159,NA,NA,NA,NA
25813,0.707568,2.18913,-3.32984,NA,NA,NA,-73.799,NA,NA,NA,NA,NA
26138,1.35223,2.95497,-4.43814,NA,-69.221,NA,NA,NA,NA,NA,NA,NA
26358,1.718,2.76605,-4.98126,NA,NA,NA,-43.408,NA,NA,NA,NA,NA
26472,1.57182,1.45064,-5,NA,NA,NA,-25.411,NA,NA,NA,NA,NA
26707,0.85624,1.96999,-4.97671,NA,NA,NA,NA,-39.105,NA,NA,NA,NA
26819,0.776012,1.83559,-5,NA,NA,NA,NA,-42.267,NA,NA,NA,NA
27029,1.72786,2.15772,-4.64446,NA,NA,NA,-19.399,NA,NA,NA,NA,NA
27313,2.01519,0.87843,-4.82901,NA,NA,NA,NA,NA,-47.148,NA,NA,NA
27590,1.18301,1.24432,-5,NA,-55.812,NA,NA,NA,NA,NA,NA,NA
27771,1.03651,1.04029,-5,NA,NA,NA,NA,NA,-53.923,NA,NA,NA
27853,1.03224,2.70017,-3.95218,NA,NA,NA,NA,NA,-47.997,NA,NA,NA
28106,0.956297,2.09859,-3.8126,NA,NA,NA,NA,NA,-35.52,NA,NA,NA
28234,0.851168,2.63743,-3.8674,NA,NA,NA,NA,NA,NA,-75.606,NA,NA
28405,2.7717,1.59639,-5,NA,NA,NA,NA,NA,-39.14,NA,NA,NA
28647,1.4473,1.98403,-4.868,NA,NA,NA,NA,-16.667,NA,NA,NA,NA
28846,2.03807,1.81178,-4.09595,NA,-24.422,NA,NA,NA,NA,NA,NA,NA
29197,1.75436,2.00378,-4.50473,NA,NA,NA,NA,NA,-13.272,NA,NA,NA
29341,2.49646,2.36314,-5,NA,NA,NA,NA,NA,-39.182,NA,NA,NA
29479,2.07481,2.12527,-3.98756,NA,NA,NA,-22.931,NA,NA,NA,NA,NA
29654,2.33635,2.02406,-4.69144,NA,NA,NA,NA,-16.294,NA,NA,NA,NA
29912,1.4361,2.66038,-5,NA,NA,NA,NA,-38.049,NA,NA,NA,NA
30146,1.36835,2.1138,-5,NA,NA,NA,NA,-22.418,NA,NA,NA,NA
30360,1.71928,1.31829,-5,NA,NA,NA,NA,-19.867,NA,NA,NA,NA
30571,2.16967,2.61565,-4.91063,NA,NA,NA,NA,NA,NA,-59.028,NA,NA
30625,1.29261,2.54301,-5,NA,-47.81,NA,NA,NA,NA,NA,NA,NA
30821,2.38451,2.62432,-4.66012,NA,NA,NA,-37.964,NA,NA,NA,NA,NA
31038,2.58164,1.83507,-4.6075,NA,NA,NA,-29.29,NA,NA,NA,NA,NA
31286,2.59385,2.68669,-4.57749,NA,-54.49,NA,NA,NA,NA,NA,NA,NA
31438,1.41018,2.9265,-4.78072,NA,NA,NA,-54.234,NA,NA,NA,NA,NA
31671,0.879242,2.28892,-5,NA,NA,NA,NA,NA,-43.567,NA,NA,NA
31914,1.62379,1.99944,-4.73892,NA,NA,NA,NA,-11.205,NA,NA,NA,NA
32117,2.18139,1.4844,-5,NA,NA,NA,NA,-19.122,NA,NA,NA,NA
32243,1.65666,1.02138,-5,NA,-54.331,NA,NA,NA,NA,NA,NA,NA
32558,1.71077,1.1604,-4.44531,NA,-61.978,NA,NA,NA,NA,NA,NA,NA
32793,2.55982,2.29344,-3.2448,NA,NA,NA,NA,-59.678,NA,NA,NA,NA
32883,2.10709,1.56707,-4.39396,NA,NA,NA,NA,-4.383,NA,NA,NA,NA
33039,2.18892,1.52669,-5,NA,NA,NA,NA,NA,-19.81,NA,NA,NA
33340,1.66062,1.06492,-4.835,NA,-45.481,NA,NA,NA,NA,NA,NA,NA
33454,1.69043,0.603504,-4.47253,NA,-104.154,NA,NA,NA,NA,NA,NA,NA
33638,2.39167,1.20995,-3.7284,NA,NA,-71.354,NA,NA,NA,NA,NA,NA
33990,2.63427,2.8217,-3.18991,NA,NA,NA,-89.228,NA,NA,NA,NA,NA
34173,2.85195,2.27188,-5,NA,NA,NA,-47.634,NA,NA,NA,NA,NA
34287,2.67312,1.93589,-5,NA,NA,NA,NA,-34.271,NA,NA,NA,NA
34522,2.25773,1.56053,-5,NA,NA,NA,NA,-20.283,NA,NA,NA,NA
34672,2.98774,1.164,-4.69815,NA,NA,-82.944,NA,NA,NA,NA,NA,NA
34981,3.27751,1.2352,-5,NA,NA,NA,NA,NA,NA,-78.346,NA,NA
35044,2.18644,2.31852,-5,NA,NA,NA,-29.963,NA,NA,NA,NA,NA
35245,1.40052,1.97028,-5,NA,NA,NA,NA,-19.965,NA,NA,NA,NA
35510,1.75761,2.23355,-5,NA,NA,NA,-25.148,NA,NA,NA,NA,NA
35772,2.36356,1.35613,-5,NA,NA,NA,NA,-25.876,NA,NA,NA,NA
35948,1.45738,1.77577,-5,NA,NA,NA,NA,-18.701,NA,NA,NA,NA
36068,2.50024,1.59881,-5,NA,NA,NA,NA,NA,-30.349,NA,NA,NA
36368,2.05157,0.674031,-5,NA,NA,NA,NA,NA,-64.253,NA,NA,NA
36550,1.74287,1.04759,-4.60272,NA,NA,NA,NA,-19.406,NA,NA,NA,NA
36798,2.72951,2.53852,-5,NA,NA,-82.415,NA,NA,NA,NA,NA,NA
36944,1.8917,1.0546,-5,NA,NA,-73.367,NA,NA,NA,NA,NA,NA
37152,1.67318,1.28735,-4.18337,NA,NA,NA,NA,NA,-7.652,NA,NA,NA
37339,3.56099,1.21465,-5,NA,NA,NA,NA,NA,NA,-99.331,NA,NA
37550,3.3499,1.21183,-5,NA,-87.28,NA,NA,NA,NA,NA,NA,NA
37761,2.66638,2.04458,-4.81092,NA,NA,NA,NA,-29.215,NA,NA,NA,NA
37973,2.27825,1.58226,-4.57204,NA,NA,NA,NA,-10.819,NA,NA,NA,NA
38094,2.63101,0.885921,-3.84185,NA,NA,NA,NA,-51.328,NA,NA,NA,NA
38336,2.1712,0.838456,-4.50586,NA,NA,NA,NA,-32.641,NA,NA,NA,NA
38472,2.92102,1.68842,-5,NA,NA,-80.76,NA,NA,NA,NA,NA,NA
38766,4.05298,2.72859,-5,NA,NA,NA,-150.688,NA,NA,NA,NA,NA
38896,2.59564,2.70952,-4.47888,NA,NA,NA,NA,-43.041,NA,NA,NA,NA
39121,1.57644,1.36729,-4.18783,NA,NA,NA,-9.212,NA,NA,NA,NA,NA
39255,1.17943,1.48333,-4.62617,NA,NA,NA,NA,-16.724,NA,NA,NA,NA
39422,1.18139,3.40164,-4.37389,NA,NA,NA,NA,NA,-75.981,NA,NA,NA
39637,0.707574,1.94153,-5,NA,NA,NA,NA,-44.632,NA,NA,NA,NA
39860,1.55419,2.2137,-5,NA,NA,NA,NA,-21.743,NA,NA,NA,NA
40077,2.70939,2.05127,-5,NA,NA,NA,-38.526,NA,NA,NA,NA,NA
40309,1.53475,2.24662,-4.11611,NA,NA,NA,NA,NA,-20.088,NA,NA,NA
40561,2.26707,1.74884,-4.12397,-71.617,NA,NA,NA,NA,NA,NA,NA,NA
40756,1.26759,2.14283,-5,NA,NA,NA,NA,NA,-30.782,NA,NA,NA
40894,2.99943,1.50734,-4.71622,NA,NA,NA,-50.245,NA,NA,NA,NA,NA
41142,1.81041,1.29765,-5,NA,NA,NA,NA,-20.438,NA,NA,NA,NA
41210,0.730942,2.37963,-4.05626,-75.408,NA,NA,NA,NA,NA,NA,NA,NA
41552,1.54098,1.40315,-5,NA,NA,NA,NA,NA,-25.278,NA,NA,NA
41633,0.739,2.12108,-4.40313,NA,NA,NA,NA,-36.958,NA,NA,NA,NA
41839,1.27396,1.60057,-4.64155,NA,NA,NA,-24.649,NA,NA,NA,NA,NA
42144,2.19426,0.625013,-4.80263,NA,NA,NA,NA,-57.116,NA,NA,NA,NA
42263,3.25276,1.09773,-4.22176,NA,NA,NA,-72.257,NA,NA,NA,NA,NA
42549,2.56019,2.01142,-4.21928,NA,NA,NA,NA,NA,-22.742,NA,NA,NA
42633,2.05293,0.649793,-5,NA,NA,NA,-79.776,NA,NA,NA,NA,NA
42867,2.82682,1.63272,-5,NA,NA,NA,NA,-38.915,NA,NA,NA,NA
43137,1.98985,0.983313,-3.97328,NA,NA,NA,NA,-23.089,NA,NA,NA,NA
43365,2.87502,1.53019,-3.91491,NA,-63.118,NA,NA,NA,NA,NA,NA,NA
43469,1.91891,2.88615,-4.95326,NA,NA,NA,-52.375,NA,NA,NA,NA,NA
43703,1.59883,1.47645,-4.62314,NA,-30.535,NA,NA,NA,NA,NA,NA,NA
43947,1.88062,2.07221,-5,NA,NA,NA,NA,NA,-23.53,NA,NA,NA
44097,1.70695,1.32502,-5,NA,NA,NA,NA,-19.798,NA,NA,NA,NA
44285,1.32757,0.521401,-5,NA,NA,NA,NA,-96.986,NA,NA,NA,NA
44420,1.17047,1.90866,-5,NA,NA,NA,NA,NA,-30.252,NA,NA,NA
44615,1.24571,1.91446,-5,NA,NA,NA,NA,NA,NA,-46.967,NA,NA
44803,2.61813,2.5005,-5,NA,NA,NA,NA,-44.061,NA,NA,NA,NA
45135,1.9023,2.61768,-4.34022,NA,-40.439,NA,NA,NA,NA,NA,NA,NA
45247,1.41855,0.896616,-3.80206,NA,NA,NA,NA,-48.237,NA,NA,NA,NA
45596,0.805476,1.72965,-3.98222,NA,NA,NA,NA,NA,-37.38,NA,NA,NA
45759,1.20852,2.20125,-4.95508,NA,NA,NA,NA,-26.356,NA,NA,NA,NA
45970,1.33909,2.05843,-5,-55.183,NA,NA,NA,NA,NA,NA,NA,NA
46008,1.72426,2.74035,-4.66924,NA,-63.3,NA,NA,NA,NA,NA,NA,NA
46252,2.60554,2.90272,-5,NA,NA,NA,-63.638,NA,NA,NA,NA,NA
46409,1.88626,3.16496,-4.96955,NA,NA,NA,-65.792,NA,NA,NA,NA,NA
46771,2.4333,2.32281,-5,NA,NA,NA,NA,NA,-36.074,NA,NA,NA
46872,1.84549,1.57712,-5,-65.671,NA,NA,NA,NA,NA,NA,NA,NA
47143,2.69232,1.17201,-5,NA,NA,NA,NA,NA,NA,-61.383,NA,NA
47385,2.9193,1.72895,-4.52989,NA,NA,NA,-36.375,NA,NA,NA,NA,NA
47471,2.39727,1.25248,-4.84865,NA,NA,NA,NA,-24.008,NA,NA,NA,NA
47729,1.91213,2.2925,-5,NA,NA,NA,NA,NA,-24.972,NA,NA,NA
47970,2.27857,1.94982,-4.71488,NA,NA,NA,NA,NA,NA,-45.135,NA,NA
48054,1.68668,0.503187,-5,NA,NA,NA,-92.879,NA,NA,NA,NA,NA
48308,1.47128,1.60458,-4.70436,NA,NA,NA,-15.694,NA,NA,NA,NA,NA
48467,1.45982,0.823712,-4.87504,NA,NA,NA,NA,-52.525,NA,NA,NA,NA
48764,1.52411,0.91013,-4.77127,NA,NA,NA,NA,-36.007,NA,NA,NA,NA
48885,2.18533,1.43733,-5,NA,NA,NA,NA,NA,-26.555,NA,NA,NA
49179,1.92201,1.35238,-4.74133,NA,NA,NA,NA,NA,NA,-26.071,NA,NA
49305,2.35743,1.32414,-4.51715,NA,NA,NA,NA,-15.887,NA,NA,NA,NA
49594,1.22507,1.28967,-4.22255,-73.461,NA,NA,NA,NA,NA,NA,NA,NA
49739,0.449848,2.70672,-4.89156,NA,NA,NA,NA,-70.456,NA,NA,NA,NA
49861,0.859147,2.54163,-5,NA,NA,NA,NA,NA,-49.706,NA,NA,NA
50158,1.867,1.10503,-5,NA,NA,NA,NA,-27.223,NA,NA,NA,NA
50382,2.27042,0.545059,-5,NA,NA,NA,NA,-76.475,NA,NA,NA,NA
50426,2.38345,1.82761,-3.54563,NA,NA,NA,NA,-30.41,NA,NA,NA,NA
50681,1.9243,1.46972,-5,NA,NA,-61.104,NA,NA,NA,NA,NA,NA
50897,3.24417,1.84727,-5,NA,NA,NA,NA,-60.585,NA,NA,NA,NA
51167,3.02148,1.97239,-4.42583,NA,NA,NA,NA,NA,-45.041,NA,NA,NA
51291,2.2856,1.74915,-4.30851,NA,NA,NA,NA,NA,NA,-31.6,NA,NA
51421,0.363295,2.78751,-3.72652,NA,NA,NA,NA,NA,-85.375,NA,NA,NA
51734,1.24219,3.15521,-5,NA,NA,NA,NA,NA,NA,-77.873,NA,NA
51874,1.7477,3.14231,-4.40913,NA,NA,NA,-60.732,NA,NA,NA,NA,NA
52082,2.79905,3.11734,-3.82256,NA,NA,NA,NA,NA,-89.779,NA,NA,NA
52310,1.16619,1.42532,-4.10154,NA,NA,NA,NA,NA,-27.24,NA,NA,NA
52488,1.84073,0.7694,-5,NA,NA,NA,-63.13,NA,NA,NA,NA,NA
52649,0.810404,1.85747,-4.48543,NA,NA,NA,-35.469,NA,NA,NA,NA,NA
52927,1.82524,2.84967,-5,NA,NA,NA,NA,-43.461,NA,NA,NA,NA
53118,2.35152,3.07198,-5,NA,NA,NA,-63.413,NA,NA,NA,NA,NA
53310,1.83321,2.18843,-5,NA,NA,NA,NA,-19.91,NA,NA,NA,NA
53420,2.48024,2.76261,-5,NA,NA,NA,NA,-50.26,NA,NA,NA,NA
53672,2.425,0.400513,-5,NA,NA,NA,-94.948,NA,NA,NA,NA,NA
53831,2.26482,1.02611,-5,NA,-68.358,NA,NA,NA,NA,NA,NA,NA
54064,2.40037,1.68625,-5,NA,-45.541,NA,NA,NA,NA,NA,NA,NA
54265,2.04592,1.62012,-5,NA,NA,NA,NA,-16.321,NA,NA,NA,NA
54531,2.12454,1.76078,-5,NA,-37.334,NA,NA,NA,NA,NA,NA,NA
54756,2.02991,2.02637,-5,NA,NA,-58.432,NA,NA,NA,NA,NA,NA
54973,2.38284,2.24358,-3.21404,NA,-69.675,NA,NA,NA,NA,NA,NA,NA
55199,2.34816,1.57123,-4.82113,NA,NA,NA,-23.416,NA,NA,NA,NA,NA
55293,2.43388,1.39268,-4.39293,NA,NA,NA,NA,NA,-19.879,NA,NA,NA
55453,2.66125,1.68727,-5,NA,NA,NA,NA,-31.688,NA,NA,NA,NA
55689,2.38859,1.48082,-5,NA,NA,NA,NA,-25.599,NA,NA,NA,NA
56000,3.31566,1.72557,-4.02971,NA,NA,NA,NA,NA,-61.733,NA,NA,NA
56115,1.49868,1.79082,-5,NA,NA,NA,NA,-17.625,NA,NA,NA,NA
56261,1.83098,2.28847,-4.85792,NA,NA,NA,NA,NA,-22.012,NA,NA,NA
56566,2.19447,2.87374,-4.40115,-74.247,NA,NA,NA,NA,NA,NA,NA,NA
56678,0.125079,1.59735,-4.65976,NA,NA,NA,-87.217,NA,NA,NA,NA,NA
56976,1.39081,1.89532,-5,NA,-49.797,NA,NA,NA,NA,NA,NA,NA
57192,0.389762,1.86819,-5,NA,NA,NA,NA,NA,NA,NA,-135.467,NA
57248,1.20179,1.0863,-4.13958,NA,NA,NA,-40.351,NA,NA,NA,NA,NA
57584,1.14852,2.29749,-4.75216,NA,NA,NA,-34.957,NA,NA,NA,NA,NA
57717,1.48507,2.60652,-4.46754,NA,NA,NA,NA,NA,-27.54,NA,NA,NA
57838,1.55721,2.37878,-3.40377,NA,NA,NA,NA,-38.121,NA,NA,NA,NA
58132,2.0909,1.70496,-5,NA,NA,NA,NA,NA,-24.148,NA,NA,NA
58317,2.00023,1.71734,-5,NA,NA,NA,NA,-16.527,NA,NA,NA,NA
58587,1.63767,1.60295,-5,-52.848,NA,NA,NA,NA,NA,NA,NA,NA
58631,0.895489,1.30048,-4.63094,NA,NA,NA,NA,NA,-40.27,NA,NA,NA
58806,1.69974,1.29324,-4.77273,NA,NA,NA,NA,NA,-22.454,NA,NA,NA
59121,1.54329,1.69699,-5,NA,NA,NA,NA,NA,-18.161,NA,NA,NA
