x,y,fitness
-1.32,4.47,-773.8
-1.32,5.0,-816.57
-0.79,-5.0,-382.22
-0.79,-4.47,-243.67
-0.79,-3.95,-96.27
-0.79,-3.42,-285.15
-0.79,-2.89,-474.04
-0.79,-2.37,-708.3
-0.79,-1.84,-1087.92
-0.79,-1.32,-1176.38
-0.79,-0.79,-1336.82
-0.79,-0.26,-1122.64
-0.79,0.26,-1120.78
-0.79,0.79,-1019.64
-0.79,1.32,-907.2
-0.79,1.84,-813.91
-0.79,2.37,-578.1
-0.79,2.89,-669.84
-0.79,3.42,-426.89
-0.79,3.95,-503.94
-0.79,4.47,-1234.95
-0.79,5.0,-1226.49
-0.26,-5.0,-189.9
-0.26,-4.47,-116.41
-0.26,-3.95,-38.02
-0.26,-3.42,-177.7
-0.26,-2.89,-365.18
-0.26,-2.37,-591.63
-0.26,-1.84,-994.74
-0.26,-1.32,-1101.3
-0.26,-0.79,-1251.28
-0.26,-0.26,-1118.6
-0.26,0.26,-955.47
-0.26,0.79,-889.43
-0.26,1.32,-841.7
-0.26,1.84,-931.19
-0.26,2.37,-557.77
-0.26,2.89,-736.73
-0.26,3.42,-726.08
-0.26,3.95,-1027.95
-0.26,4.47,-1139.43
-0.26,5.0,-1157.77
0.26,-5.0,-116.29
0.26,-4.47,-116.89
0.26,-3.95,-119.93
0.26,-3.42,-178.64
0.26,-2.89,-302.16
0.26,-2.37,-518.76
0.26,-1.84,-937.51
0.26,-1.32,-1139.87
0.26,-0.79,-1467.42
0.26,-0.26,-1357.58
0.26,0.26,-1302.1
0.26,0.79,-1283.86
0.26,1.32,-1167.44
0.26,1.84,-1056.29
0.26,2.37,-905.25
0.26,2.89,-969.75
0.26,3.42,-710.22
0.26,3.95,-728.71
0.26,4.47,-822.95
0.26,5.0,-922.4
0.79,-5.0,-98.59
0.79,-4.47,-124.22
0.79,-3.95,-170.67
0.79,-3.42,-261.8
0.79,-2.89,-455.2
0.79,-2.37,-758.58
0.79,-1.84,-1324.69
0.79,-1.32,-1273.77
0.79,-0.79,-1623.1
0.79,-0.26,-1470.02
0.79,0.26,-1405.84
0.79,0.79,-928.82
0.79,1.32,-1320.96
0.79,1.84,-1166.33
0.79,2.37,-783.84
0.79,2.89,-522.67
0.79,3.42,-614.96
0.79,3.95,-823.96
0.79,4.47,-1115.84
0.79,5.0,-1251.09
1.32,-5.0,-124.23
1.32,-4.47,-156.6
1.32,-3.95,-211.71
1.32,-3.42,-317.87
1.32,-2.89,-531.08
1.32,-2.37,-772.29
1.32,-1.84,-1183.6
1.32,-1.32,-1356.77
1.32,-0.79,-1384.72
1.32,-0.26,-1245.72
1.32,0.26,-1422.66
1.32,0.79,-1589.35
1.32,1.32,-1504.74
1.32,1.84,-1071.24
1.32,2.37,-1130.68
1.32,2.89,-1373.69
1.32,3.42,-1120.11
1.32,3.95,-1162.24
1.32,4.47,-1224.3
1.32,5.0,-1240.31
1.84,-5.0,-155.18
1.84,-4.47,-197.51
1.84,-3.95,-292.7
1.84,-3.42,-467.57
1.84,-2.89,-747.85
1.84,-2.37,-1194.46
1.84,-1.84,-1730.27
1.84,-1.32,-1934.4
1.84,-0.79,-1555.82
1.84,-0.26,-1942.66
1.84,0.26,-1348.45
1.84,0.79,-1570.48
1.84,1.32,-1253.35
1.84,1.84,-2620.75
1.84,2.37,-883.98
1.84,2.89,-1013.67
1.84,3.42,-781.49
1.84,3.95,-1106.75
1.84,4.47,-1085.06
1.84,5.0,-1200.64
2.37,-5.0,-277.98
2.37,-4.47,-364.06
2.37,-3.95,-514.04
2.37,-3.42,-753.95
2.37,-2.89,-1112.41
2.37,-2.37,-1373.72
2.37,-1.84,-1680.12
2.37,-1.32,-1677.56
2.37,-0.79,-1586.98
2.37,-0.26,-1238.47
2.37,0.26,-1351.69
2.37,0.79,-1351.38
2.37,1.32,-1237.07
2.37,1.84,-1003.35
2.37,2.37,-1123.87
2.37,2.89,-1396.44
2.37,3.42,-1239.56
2.37,3.95,-1148.03
2.37,4.47,-1389.57
2.37,5.0,-1427.82
2.89,-5.0,-444.01
2.89,-4.47,-536.78
2.89,-3.95,-684.63
2.89,-3.42,-911.02
2.89,-2.89,-1273.53
2.89,-2.37,-1454.34
2.89,-1.84,-2060.96
2.89,-1.32,-1688.54
2.89,-0.79,-1861.61
2.89,-0.26,-1380.76
2.89,0.26,-1939.04
2.89,0.79,-1106.04
2.89,1.32,-1493.55
2.89,1.84,-1280.77
2.89,2.37,-1401.49
2.89,2.89,-960.3
2.89,3.42,-1216.84
2.89,3.95,-1100.67
2.89,4.47,-1282.07
2.89,5.0,-1309.14
3.42,-5.0,-811.5
3.42,-4.47,-1001.83
3.42,-3.95,-1289.91
3.42,-3.42,-1671.46
3.42,-2.89,-2074.58
3.42,-2.37,-2096.62
3.42,-1.84,-2138.03
3.42,-1.32,-2001.21
3.42,-0.79,-1804.4
3.42,-0.26,-1576.36
3.42,0.26,-1219.7
3.42,0.79,-1338.43
3.42,1.32,-885.13
3.42,1.84,-911.19
3.42,2.37,-774.05
3.42,2.89,-1232.04
3.42,3.42,-1014.34
3.42,3.95,-1133.37
3.42,4.47,-1210.19
3.42,5.0,-1472.82
3.95,-5.0,-1487.21
3.95,-4.47,-1636.47
3.95,-3.95,-1798.24
3.95,-3.42,-1956.09
3.95,-2.89,-2007.37
3.95,-2.37,-1982.63
3.95,-1.84,-1944.38
3.95,-1.32,-1826.15
3.95,-0.79,-1251.46
3.95,-0.26,-1549.42
3.95,0.26,-921.65
3.95,0.79,-1408.49
3.95,1.32,-956.79
3.95,1.84,-1412.65
3.95,2.37,-317.28
3.95,2.89,-818.77
3.95,3.42,-804.79
3.95,3.95,-1418.1
3.95,4.47,-1267.04
3.95,5.0,-1471.14
4.47,-5.0,-1912.33
4.47,-4.47,-2045.36
4.47,-3.95,-2210.45
4.47,-3.42,-2367.04
4.47,-2.89,-2564.33
4.47,-2.37,-2433.55
4.47,-1.84,-2305.12
4.47,-1.32,-2083.07
4.47,-0.79,-1913.53
4.47,-0.26,-1620.99
4.47,0.26,-1202.62
4.47,0.79,-1030.03
4.47,1.32,-752.15
4.47,1.84,-706.53
4.47,2.37,-606.49
4.47,2.89,-989.35
4.47,3.42,-954.16
4.47,3.95,-1052.22
4.47,4.47,-1037.84
4.47,5.0,-1319.34
5.0,-5.0,-2947.02
5.0,-4.47,-2963.28
5.0,-3.95,-2928.56
5.0,-3.42,-2838.61
5.0,-2.89,-2779.2
5.0,-2.37,-2377.29
5.0,-1.84,-2298.06
5.0,-1.32,-1720.54
5.0,-0.79,-1494.91
5.0,-0.26,-910.02
5.0,0.26,-1133.73
5.0,0.79,-827.29
5.0,1.32,-1204.8
5.0,1.84,-887.96
5.0,2.37,-935.79
5.0,2.89,-626.95
5.0,3.42,-1054.4
5.0,3.95,-1158.63
5.0,4.47,-1569.07
5.0,5.0,-1569.52
