x0,x1,fitness
-2.368,4.474,3.307
-2.368,5.0,-18.784
-1.842,-5.0,-8.565
-1.842,-4.474,8.218
-1.842,-3.947,-8.579
-1.842,-3.421,6.912
-1.842,-2.895,-8.558
-1.842,-2.368,5.86
-1.842,-1.842,-9.074
-1.842,-1.316,32.986
-1.842,-0.789,-43.636
-1.842,-0.263,23.815
-1.842,0.263,-10.178
-1.842,0.789,11.064
-1.842,1.316,-8.816
-1.842,1.842,7.991
-1.842,2.368,-8.012
-1.842,2.895,5.859
-1.842,3.421,-7.014
-1.842,3.947,3.572
-1.842,4.474,-5.12
-1.842,5.0,29.084
-1.316,-5.0,31.136
-1.316,-4.474,-29.873
-1.316,-3.947,31.187
-1.316,-3.421,-25.127
-1.316,-2.895,31.109
-1.316,-2.368,-21.304
-1.316,-1.842,32.986
-1.316,-1.316,-119.912
-1.316,-0.789,158.628
-1.316,-0.263,-86.574
-1.316,0.263,37.002
-1.316,0.789,-40.222
-1.316,1.316,32.048
-1.316,1.842,-29.051
-1.316,2.368,29.125
-1.316,2.895,-21.301
-1.316,3.421,25.497
-1.316,3.947,-12.986
-1.316,4.474,18.612
-1.316,5.0,-105.727
-0.789,-5.0,-41.189
-0.789,-4.474,39.518
-0.789,-3.947,-41.256
-0.789,-3.421,33.24
-0.789,-2.895,-41.154
-0.789,-2.368,28.183
-0.789,-1.842,-43.636
-0.789,-1.316,158.628
-0.789,-0.789,-209.846
-0.789,-0.263,114.527
-0.789,0.263,-48.948
-0.789,0.789,53.209
-0.789,1.316,-42.395
-0.789,1.842,38.431
-0.789,2.368,-38.529
-0.789,2.895,28.178
-0.789,3.421,-33.73
-0.789,3.947,17.178
-0.789,4.474,-24.621
-0.789,5.0,139.864
-0.263,-5.0,22.48
-0.263,-4.474,-21.568
-0.263,-3.947,22.516
-0.263,-3.421,-18.141
-0.263,-2.895,22.46
-0.263,-2.368,-15.381
-0.263,-1.842,23.815
-0.263,-1.316,-86.574
-0.263,-0.789,114.527
-0.263,-0.263,-62.505
-0.263,0.263,26.714
-0.263,0.789,-29.04
-0.263,1.316,23.138
-0.263,1.842,-20.974
-0.263,2.368,21.028
-0.263,2.895,-15.379
-0.263,3.421,18.409
-0.263,3.947,-9.375
-0.263,4.474,13.437
-0.263,5.0,-76.333
0.263,-5.0,-9.608
0.263,-4.474,9.218
0.263,-3.947,-9.623
0.263,-3.421,7.754
0.263,-2.895,-9.6
0.263,-2.368,6.574
0.263,-1.842,-10.178
0.263,-1.316,37.002
0.263,-0.789,-48.948
0.263,-0.263,26.714
0.263,0.263,-11.418
0.263,0.789,12.412
0.263,1.316,-9.889
0.263,1.842,8.964
0.263,2.368,-8.987
0.263,2.895,6.573
0.263,3.421,-7.868
0.263,3.947,4.007
0.263,4.474,-5.743
0.263,5.0,32.625
0.789,-5.0,10.444
0.789,-4.474,-10.02
0.789,-3.947,10.461
0.789,-3.421,-8.429
0.789,-2.895,10.435
0.789,-2.368,-7.146
0.789,-1.842,11.064
0.789,-1.316,-40.222
0.789,-0.789,53.209
0.789,-0.263,-29.04
0.789,0.263,12.412
0.789,0.789,-13.492
0.789,1.316,10.75
0.789,1.842,-9.745
0.789,2.368,9.769
0.789,2.895,-7.145
0.789,3.421,8.553
0.789,3.947,-4.356
0.789,4.474,6.243
0.789,5.0,-35.464
1.316,-5.0,-8.321
1.316,-4.474,7.984
1.316,-3.947,-8.335
1.316,-3.421,6.716
1.316,-2.895,-8.314
1.316,-2.368,5.694
1.316,-1.842,-8.816
1.316,-1.316,32.048
1.316,-0.789,-42.395
1.316,-0.263,23.138
1.316,0.263,-9.889
1.316,0.789,10.75
1.316,1.316,-8.565
1.316,1.842,7.764
1.316,2.368,-7.784
1.316,2.895,5.693
1.316,3.421,-6.815
1.316,3.947,3.471
1.316,4.474,-4.974
1.316,5.0,28.257
1.842,-5.0,7.543
1.842,-4.474,-7.237
1.842,-3.947,7.556
1.842,-3.421,-6.088
1.842,-2.895,7.537
1.842,-2.368,-5.161
1.842,-1.842,7.991
1.842,-1.316,-29.051
1.842,-0.789,38.431
1.842,-0.263,-20.974
1.842,0.263,8.964
1.842,0.789,-9.745
1.842,1.316,7.764
1.842,1.842,-7.038
1.842,2.368,7.056
1.842,2.895,-5.161
1.842,3.421,6.177
1.842,3.947,-3.146
1.842,4.474,4.509
1.842,5.0,-25.615
2.368,-5.0,-7.563
2.368,-4.474,7.256
2.368,-3.947,-7.575
2.368,-3.421,6.103
2.368,-2.895,-7.556
2.368,-2.368,5.174
2.368,-1.842,-8.012
2.368,-1.316,29.125
2.368,-0.789,-38.529
2.368,-0.263,21.028
2.368,0.263,-8.987
2.368,0.789,9.769
2.368,1.316,-7.784
2.368,1.842,7.056
2.368,2.368,-7.074
2.368,2.895,5.174
2.368,3.421,-6.193
2.368,3.947,3.154
2.368,4.474,-4.521
2.368,5.0,25.68
2.895,-5.0,5.531
2.895,-4.474,-5.307
2.895,-3.947,5.54
2.895,-3.421,-4.464
2.895,-2.895,5.526
2.895,-2.368,-3.784
2.895,-1.842,5.859
2.895,-1.316,-21.301
2.895,-0.789,28.178
2.895,-0.263,-15.379
2.895,0.263,6.573
2.895,0.789,-7.145
2.895,1.316,5.693
2.895,1.842,-5.161
2.895,2.368,5.174
2.895,2.895,-3.784
2.895,3.421,4.529
2.895,3.947,-2.307
2.895,4.474,3.306
2.895,5.0,-18.781
3.421,-5.0,-6.621
3.421,-4.474,6.352
3.421,-3.947,-6.631
3.421,-3.421,5.343
3.421,-2.895,-6.615
3.421,-2.368,4.53
3.421,-1.842,-7.014
3.421,-1.316,25.497
3.421,-0.789,-33.73
3.421,-0.263,18.409
3.421,0.263,-7.868
3.421,0.789,8.553
3.421,1.316,-6.815
3.421,1.842,6.177
3.421,2.368,-6.193
3.421,2.895,4.529
3.421,3.421,-5.422
3.421,3.947,2.761
3.421,4.474,-3.958
3.421,5.0,22.481
3.947,-5.0,3.372
3.947,-4.474,-3.235
3.947,-3.947,3.377
3.947,-3.421,-2.721
3.947,-2.895,3.369
3.947,-2.368,-2.307
3.947,-1.842,3.572
3.947,-1.316,-12.986
3.947,-0.789,17.178
3.947,-0.263,-9.375
3.947,0.263,4.007
3.947,0.789,-4.356
3.947,1.316,3.471
3.947,1.842,-3.146
3.947,2.368,3.154
3.947,2.895,-2.307
3.947,3.421,2.761
3.947,3.947,-1.406
3.947,4.474,2.016
3.947,5.0,-11.45
4.474,-5.0,-4.833
4.474,-4.474,4.637
4.474,-3.947,-4.841
4.474,-3.421,3.9
4.474,-2.895,-4.829
4.474,-2.368,3.307
4.474,-1.842,-5.12
4.474,-1.316,18.612
4.474,-0.789,-24.621
4.474,-0.263,13.437
4.474,0.263,-5.743
4.474,0.789,6.243
4.474,1.316,-4.974
4.474,1.842,4.509
4.474,2.368,-4.521
4.474,2.895,3.306
4.474,3.421,-3.958
4.474,3.947,2.016
4.474,4.474,-2.889
4.474,5.0,16.41
5.0,-5.0,27.453
5.0,-4.474,-26.339
5.0,-3.947,27.498
5.0,-3.421,-22.155
5.0,-2.895,27.43
5.0,-2.368,-18.784
5.0,-1.842,29.084
5.0,-1.316,-105.727
5.0,-0.789,139.864
5.0,-0.263,-76.333
5.0,0.263,32.625
5.0,0.789,-35.464
5.0,1.316,28.257
5.0,1.842,-25.615
5.0,2.368,25.68
5.0,2.895,-18.781
5.0,3.421,22.481
5.0,3.947,-11.45
5.0,4.474,16.41
5.0,5.0,-93.221
