x1,x2,fitness
-2.895,5.0,-617.646
-2.368,-5.0,-752.281
-2.368,-4.474,-474.715
-2.368,-3.947,-682.433
-2.368,-3.421,-347.175
-2.368,-2.895,-800.514
-2.368,-2.368,-367.461
-2.368,-1.842,-923.074
-2.368,-1.316,-435.64
-2.368,-0.789,-847.253
-2.368,-0.263,-671.185
-2.368,0.263,-656.177
-2.368,0.789,-495.341
-2.368,1.316,-304.557
-2.368,1.842,-284.36
-2.368,2.368,-401.463
-2.368,2.895,-370.322
-2.368,3.421,-434.598
-2.368,3.947,-341.694
-2.368,4.474,-510.581
-2.368,5.0,-426.42
-1.842,-5.0,-1003.508
-1.842,-4.474,-840.864
-1.842,-3.947,-969.409
-1.842,-3.421,-842.308
-1.842,-2.895,-1194.422
-1.842,-2.368,-966.14
-1.842,-1.842,-1368.793
-1.842,-1.316,-917.99
-1.842,-0.789,-1049.471
-1.842,-0.263,-765.511
-1.842,0.263,-666.719
-1.842,0.789,-508.352
-1.842,1.316,-287.017
-1.842,1.842,-305.414
-1.842,2.368,-354.28
-1.842,2.895,-282.47
-1.842,3.421,-333.533
-1.842,3.947,-72.099
-1.842,4.474,-1024.917
-1.842,5.0,-296.187
-1.316,-5.0,-628.428
-1.316,-4.474,-508.555
-1.316,-3.947,-489.644
-1.316,-3.421,-507.916
-1.316,-2.895,-703.144
-1.316,-2.368,-652.289
-1.316,-1.842,-892.819
-1.316,-1.316,-669.082
-1.316,-0.789,-892.587
-1.316,-0.263,-759.84
-1.316,0.263,-798.359
-1.316,0.789,-571.552
-1.316,1.316,-411.644
-1.316,1.842,-425.44
-1.316,2.368,-367.0
-1.316,2.895,-303.667
-1.316,3.421,-196.607
-1.316,3.947,-67.732
-1.316,4.474,-954.092
-1.316,5.0,-310.523
-0.789,-5.0,-537.684
-0.789,-4.474,-434.572
-0.789,-3.947,-265.406
-0.789,-3.421,-517.203
-0.789,-2.895,-665.957
-0.789,-2.368,-808.984
-0.789,-1.842,-925.47
-0.789,-1.316,-864.022
-0.789,-0.789,-1017.266
-0.789,-0.263,-815.573
-0.789,0.263,-994.315
-0.789,0.789,-591.697
-0.789,1.316,-577.154
-0.789,1.842,-459.152
-0.789,2.368,-390.274
-0.789,2.895,-390.423
-0.789,3.421,-268.636
-0.789,3.947,-305.314
-0.789,4.474,-324.788
-0.789,5.0,-386.131
-0.263,-5.0,-441.796
-0.263,-4.474,-377.434
-0.263,-3.947,-217.784
-0.263,-3.421,-441.411
-0.263,-2.895,-488.705
-0.263,-2.368,-710.739
-0.263,-1.842,-728.555
-0.263,-1.316,-771.989
-0.263,-0.789,-895.35
-0.263,-0.263,-855.748
-0.263,0.263,-916.653
-0.263,0.789,-662.471
-0.263,1.316,-628.47
-0.263,1.842,-458.135
-0.263,2.368,-430.773
-0.263,2.895,-392.293
-0.263,3.421,-153.949
-0.263,3.947,-286.119
-0.263,4.474,-124.786
-0.263,5.0,-425.209
0.263,-5.0,-564.165
0.263,-4.474,-517.381
0.263,-3.947,-377.667
0.263,-3.421,-586.374
0.263,-2.895,-602.643
0.263,-2.368,-861.029
0.263,-1.842,-860.7
0.263,-1.316,-850.714
0.263,-0.789,-762.785
0.263,-0.263,-1111.053
0.263,0.263,-492.901
0.263,0.789,-926.783
0.263,1.316,-517.423
0.263,1.842,-457.775
0.263,2.368,-537.455
0.263,2.895,-277.669
0.263,3.421,-139.045
0.263,3.947,-63.044
0.263,4.474,-136.874
0.263,5.0,-382.832
0.789,-5.0,-716.413
0.789,-4.474,-674.747
0.789,-3.947,-528.19
0.789,-3.421,-739.003
0.789,-2.895,-734.734
0.789,-2.368,-988.987
0.789,-1.842,-995.974
0.789,-1.316,-884.949
0.789,-0.789,-670.212
0.789,-0.263,-1249.611
0.789,0.263,-256.98
0.789,0.789,-1113.863
0.789,1.316,-462.775
0.789,1.842,-523.918
0.789,2.368,-674.648
0.789,2.895,-230.564
0.789,3.421,-391.039
0.789,3.947,-199.898
0.789,4.474,-276.094
0.789,5.0,-325.328
1.316,-5.0,-810.274
1.316,-4.474,-770.981
1.316,-3.947,-619.011
1.316,-3.421,-837.573
1.316,-2.895,-821.524
1.316,-2.368,-1093.954
1.316,-1.842,-1019.359
1.316,-1.316,-925.167
1.316,-0.789,-776.443
1.316,-0.263,-936.228
1.316,0.263,-575.808
1.316,0.789,-853.663
1.316,1.316,-594.067
1.316,1.842,-633.754
1.316,2.368,-610.677
1.316,2.895,-421.442
1.316,3.421,-462.296
1.316,3.947,-297.011
1.316,4.474,-375.447
1.316,5.0,-323.183
1.842,-5.0,-730.975
1.842,-4.474,-692.411
1.842,-3.947,-537.912
1.842,-3.421,-763.45
1.842,-2.895,-727.596
1.842,-2.368,-1093.204
1.842,-1.842,-812.255
1.842,-1.316,-965.265
1.842,-0.789,-1005.995
1.842,-0.263,-486.38
1.842,0.263,-1159.321
1.842,0.789,-447.088
1.842,1.316,-858.469
1.842,1.842,-771.852
1.842,2.368,-431.793
1.842,2.895,-889.816
1.842,3.421,-370.14
1.842,3.947,-609.382
1.842,4.474,-453.56
1.842,5.0,-452.093
2.368,-5.0,-805.056
2.368,-4.474,-766.728
2.368,-3.947,-611.517
2.368,-3.421,-842.923
2.368,-2.895,-783.199
2.368,-2.368,-1229.472
2.368,-1.842,-742.672
2.368,-1.316,-1004.183
2.368,-0.789,-1090.376
2.368,-0.263,-357.99
2.368,0.263,-1303.577
2.368,0.789,-359.012
2.368,1.316,-891.273
2.368,1.842,-852.101
2.368,2.368,-351.416
2.368,2.895,-1094.815
2.368,3.421,-301.186
2.368,3.947,-866.637
2.368,4.474,-486.199
2.368,5.0,-652.849
2.895,-5.0,-736.373
2.895,-4.474,-698.72
2.895,-3.947,-545.014
2.895,-3.421,-779.504
2.895,-2.895,-757.009
2.895,-2.368,-1125.586
2.895,-1.842,-897.963
2.895,-1.316,-974.092
2.895,-0.789,-992.828
2.895,-0.263,-716.997
2.895,0.263,-978.709
2.895,0.789,-720.384
2.895,1.316,-757.714
2.895,1.842,-903.608
2.895,2.368,-536.179
2.895,2.895,-1032.841
2.895,3.421,-489.356
2.895,3.947,-1023.356
2.895,4.474,-572.555
2.895,5.0,-977.184
3.421,-5.0,-1000.118
3.421,-4.474,-963.641
3.421,-3.947,-811.593
3.421,-3.421,-1028.826
3.421,-2.895,-1116.638
3.421,-2.368,-1042.446
3.421,-1.842,-1329.315
3.421,-1.316,-979.465
3.421,-0.789,-900.208
3.421,-0.263,-1168.775
3.421,0.263,-642.329
3.421,0.789,-1121.414
3.421,1.316,-664.345
3.421,1.842,-983.474
3.421,2.368,-697.231
3.421,2.895,-1010.046
3.421,3.421,-681.407
3.421,3.947,-1139.921
3.421,4.474,-661.163
3.421,5.0,-1297.524
3.947,-5.0,-954.915
3.947,-4.474,-921.181
3.947,-3.947,-777.927
3.947,-3.421,-983.86
3.947,-2.895,-1253.624
3.947,-2.368,-863.848
3.947,-1.842,-1457.783
3.947,-1.316,-946.476
3.947,-0.789,-853.624
3.947,-0.263,-1175.09
3.947,0.263,-510.711
3.947,0.789,-1073.555
3.947,1.316,-505.667
3.947,1.842,-890.64
3.947,2.368,-381.888
3.947,2.895,-946.123
3.947,3.421,-475.967
3.947,3.947,-1043.545
3.947,4.474,-482.331
3.947,5.0,-1258.131
4.474,-5.0,-1239.869
4.474,-4.474,-1207.33
4.474,-3.947,-1081.923
4.474,-3.421,-1295.789
4.474,-2.895,-1563.521
4.474,-2.368,-1272.203
4.474,-1.842,-1580.877
4.474,-1.316,-1238.012
4.474,-0.789,-1223.252
4.474,-0.263,-1265.266
4.474,0.263,-960.017
4.474,0.789,-1226.217
4.474,1.316,-817.927
4.474,1.842,-1223.4
4.474,2.368,-705.937
4.474,2.895,-1312.264
4.474,3.421,-700.724
4.474,3.947,-1422.051
4.474,4.474,-774.015
4.474,5.0,-1606.573
5.0,-5.0,-1028.053
5.0,-4.474,-998.603
5.0,-3.947,-938.81
5.0,-3.421,-1243.381
5.0,-2.895,-1383.538
5.0,-2.368,-1362.976
5.0,-1.842,-1271.978
5.0,-1.316,-1053.219
5.0,-0.789,-1059.112
5.0,-0.263,-847.437
5.0,0.263,-775.62
5.0,0.789,-807.319
5.0,1.316,-482.093
5.0,1.842,-863.582
5.0,2.368,-290.261
5.0,2.895,-948.116
5.0,3.421,-254.946
5.0,3.947,-1060.113
5.0,4.474,-360.137
5.0,5.0,-1217.02
