x,y,z,fitness
-4.29,-5.0,-1.43,-34.32
-4.29,-5.0,-0.71,35.08
-4.29,-5.0,0.0,-11.89
-4.29,-5.0,0.71,-7.67
-4.29,-5.0,1.43,5.92
-4.29,-5.0,2.14,4.26
-4.29,-5.0,2.86,-6.17
-4.29,-5.0,3.57,-2.29
-4.29,-5.0,4.29,16.39
-4.29,-5.0,5.0,-25.75
-4.29,-4.29,-5.0,-2.5
-4.29,-4.29,-4.29,0.83
-4.29,-4.29,-3.57,2.05
-4.29,-4.29,-2.86,-2.02
-4.29,-4.29,-2.14,-3.88
-4.29,-4.29,-1.43,11.32
-4.29,-4.29,-0.71,-11.57
-4.29,-4.29,0.0,3.92
-4.29,-4.29,0.71,2.53
-4.29,-4.29,1.43,-1.95
-4.29,-4.29,2.14,-1.4
-4.29,-4.29,2.86,2.04
-4.29,-4.29,3.57,0.76
-4.29,-4.29,4.29,-5.41
-4.29,-4.29,5.0,8.49
-4.29,-3.57,-5.0,-6.22
-4.29,-3.57,-4.29,2.05
-4.29,-3.57,-3.57,5.1
-4.29,-3.57,-2.86,-5.01
-4.29,-3.57,-2.14,-9.64
-4.29,-3.57,-1.43,28.13
-4.29,-3.57,-0.71,-28.76
-4.29,-3.57,0.0,9.75
-4.29,-3.57,0.71,6.29
-4.29,-3.57,1.43,-4.86
-4.29,-3.57,2.14,-3.49
-4.29,-3.57,2.86,5.06
-4.29,-3.57,3.57,1.88
-4.29,-3.57,4.29,-13.44
-4.29,-3.57,5.0,21.11
-4.29,-2.86,-5.0,6.11
-4.29,-2.86,-4.29,-2.02
-4.29,-2.86,-3.57,-5.01
-4.29,-2.86,-2.86,4.92
-4.29,-2.86,-2.14,9.47
-4.29,-2.86,-1.43,-27.64
-4.29,-2.86,-0.71,28.26
-4.29,-2.86,0.0,-9.58
-4.29,-2.86,0.71,-6.18
-4.29,-2.86,1.43,4.77
-4.29,-2.86,2.14,3.43
-4.29,-2.86,2.86,-4.97
-4.29,-2.86,3.57,-1.85
-4.29,-2.86,4.29,13.21
-4.29,-2.86,5.0,-20.74
-4.29,-2.14,-5.0,11.76
-4.29,-2.14,-4.29,-3.88
-4.29,-2.14,-3.57,-9.64
-4.29,-2.14,-2.86,9.47
-4.29,-2.14,-2.14,18.24
-4.29,-2.14,-1.43,-53.22
-4.29,-2.14,-0.71,54.4
-4.29,-2.14,0.0,-18.44
-4.29,-2.14,0.71,-11.89
-4.29,-2.14,1.43,9.19
-4.29,-2.14,2.14,6.6
-4.29,-2.14,2.86,-9.57
-4.29,-2.14,3.57,-3.56
-4.29,-2.14,4.29,25.43
-4.29,-2.14,5.0,-39.93
-4.29,-1.43,-5.0,-34.32
-4.29,-1.43,-4.29,11.32
-4.29,-1.43,-3.57,28.13
-4.29,-1.43,-2.86,-27.64
-4.29,-1.43,-2.14,-53.22
-4.29,-1.43,-1.43,155.29
-4.29,-1.43,-0.71,-158.73
-4.29,-1.43,0.0,53.81
-4.29,-1.43,0.71,34.71
-4.29,-1.43,1.43,-26.8
-4.29,-1.43,2.14,-19.27
-4.29,-1.43,2.86,27.93
-4.29,-1.43,3.57,10.38
-4.29,-1.43,4.29,-74.19
-4.29,-1.43,5.0,116.53
-4.29,-0.71,-5.0,35.08
-4.29,-0.71,-4.29,-11.57
-4.29,-0.71,-3.57,-28.76
-4.29,-0.71,-2.86,28.26
-4.29,-0.71,-2.14,54.4
-4.29,-0.71,-1.43,-158.73
-4.29,-0.71,-0.71,162.24
-4.29,-0.71,0.0,-55.0
-4.29,-0.71,0.71,-35.47
-4.29,-0.71,1.43,27.4
-4.29,-0.71,2.14,19.7
-4.29,-0.71,2.86,-28.54
-4.29,-0.71,3.57,-10.61
-4.29,-0.71,4.29,75.83
-4.29,-0.71,5.0,-119.11
-4.29,0.0,-5.0,-11.89
-4.29,0.0,-4.29,3.92
-4.29,0.0,-3.57,9.75
-4.29,0.0,-2.86,-9.58
-4.29,0.0,-2.14,-18.44
-4.29,0.0,-1.43,53.81
-4.29,0.0,-0.71,-55.0
-4.29,0.0,0.0,18.64
-4.29,0.0,0.71,12.02
-4.29,0.0,1.43,-9.29
-4.29,0.0,2.14,-6.68
-4.29,0.0,2.86,9.68
-4.29,0.0,3.57,3.6
-4.29,0.0,4.29,-25.71
-4.29,0.0,5.0,40.37
-4.29,0.71,-5.0,-7.67
-4.29,0.71,-4.29,2.53
-4.29,0.71,-3.57,6.29
-4.29,0.71,-2.86,-6.18
-4.29,0.71,-2.14,-11.89
-4.29,0.71,-1.43,34.71
-4.29,0.71,-0.71,-35.47
-4.29,0.71,0.0,12.02
-4.29,0.71,0.71,7.76
-4.29,0.71,1.43,-5.99
-4.29,0.71,2.14,-4.31
-4.29,0.71,2.86,6.24
-4.29,0.71,3.57,2.32
-4.29,0.71,4.29,-16.58
-4.29,0.71,5.0,26.04
-4.29,1.43,-5.0,5.92
-4.29,1.43,-4.29,-1.95
-4.29,1.43,-3.57,-4.86
-4.29,1.43,-2.86,4.77
-4.29,1.43,-2.14,9.19
-4.29,1.43,-1.43,-26.8
-4.29,1.43,-0.71,27.4
-4.29,1.43,0.0,-9.29
-4.29,1.43,0.71,-5.99
-4.29,1.43,1.43,4.63
-4.29,1.43,2.14,3.33
-4.29,1.43,2.86,-4.82
-4.29,1.43,3.57,-1.79
-4.29,1.43,4.29,12.81
-4.29,1.43,5.0,-20.11
-4.29,2.14,-5.0,4.26
-4.29,2.14,-4.29,-1.4
-4.29,2.14,-3.57,-3.49
-4.29,2.14,-2.86,3.43
-4.29,2.14,-2.14,6.6
-4.29,2.14,-1.43,-19.27
-4.29,2.14,-0.71,19.7
-4.29,2.14,0.0,-6.68
-4.29,2.14,0.71,-4.31
-4.29,2.14,1.43,3.33
-4.29,2.14,2.14,2.39
-4.29,2.14,2.86,-3.47
-4.29,2.14,3.57,-1.29
-4.29,2.14,4.29,9.21
-4.29,2.14,5.0,-14.46
-4.29,2.86,-5.0,-6.17
-4.29,2.86,-4.29,2.04
-4.29,2.86,-3.57,5.06
-4.29,2.86,-2.86,-4.97
-4.29,2.86,-2.14,-9.57
-4.29,2.86,-1.43,27.93
-4.29,2.86,-0.71,-28.54
-4.29,2.86,0.0,9.68
-4.29,2.86,0.71,6.24
-4.29,2.86,1.43,-4.82
-4.29,2.86,2.14,-3.47
-4.29,2.86,2.86,5.02
-4.29,2.86,3.57,1.87
-4.29,2.86,4.29,-13.34
-4.29,2.86,5.0,20.95
-4.29,3.57,-5.0,-2.29
-4.29,3.57,-4.29,0.76
-4.29,3.57,-3.57,1.88
-4.29,3.57,-2.86,-1.85
-4.29,3.57,-2.14,-3.56
-4.29,3.57,-1.43,10.38
-4.29,3.57,-0.71,-10.61
-4.29,3.57,0.0,3.6
-4.29,3.57,0.71,2.32
-4.29,3.57,1.43,-1.79
-4.29,3.57,2.14,-1.29
-4.29,3.57,2.86,1.87
-4.29,3.57,3.57,0.69
-4.29,3.57,4.29,-4.96
-4.29,3.57,5.0,7.79
-4.29,4.29,-5.0,16.39
-4.29,4.29,-4.29,-5.41
-4.29,4.29,-3.57,-13.44
-4.29,4.29,-2.86,13.21
-4.29,4.29,-2.14,25.43
-4.29,4.29,-1.43,-74.19
-4.29,4.29,-0.71,75.83
-4.29,4.29,0.0,-25.71
-4.29,4.29,0.71,-16.58
-4.29,4.29,1.43,12.81
-4.29,4.29,2.14,9.21
-4.29,4.29,2.86,-13.34
-4.29,4.29,3.57,-4.96
-4.29,4.29,4.29,35.45
-4.29,4.29,5.0,-55.67
-4.29,5.0,-5.0,-25.75
-4.29,5.0,-4.29,8.49
-4.29,5.0,-3.57,21.11
-4.29,5.0,-2.86,-20.74
-4.29,5.0,-2.14,-39.93
-4.29,5.0,-1.43,116.53
-4.29,5.0,-0.71,-119.11
-4.29,5.0,0.0,40.37
-4.29,5.0,0.71,26.04
-4.29,5.0,1.43,-20.11
-4.29,5.0,2.14,-14.46
-4.29,5.0,2.86,20.95
-4.29,5.0,3.57,7.79
-4.29,5.0,4.29,-55.67
-4.29,5.0,5.0,87.44
-3.57,-5.0,-5.0,18.85
-3.57,-5.0,-4.29,-6.22
-3.57,-5.0,-3.57,-15.45
-3.57,-5.0,-2.86,15.18
-3.57,-5.0,-2.14,29.23
-3.57,-5.0,-1.43,-85.29
-3.57,-5.0,-0.71,87.17
-3.57,-5.0,0.0,-29.55
-3.57,-5.0,0.71,-19.06
-3.57,-5.0,1.43,14.72
-3.57,-5.0,2.14,10.58
-3.57,-5.0,2.86,-15.34
-3.57,-5.0,3.57,-5.7
-3.57,-5.0,4.29,40.75
-3.57,-5.0,5.0,-64.0
-3.57,-4.29,-5.0,-6.22
-3.57,-4.29,-4.29,2.05
-3.57,-4.29,-3.57,5.1
-3.57,-4.29,-2.86,-5.01
-3.57,-4.29,-2.14,-9.64
-3.57,-4.29,-1.43,28.13
-3.57,-4.29,-0.71,-28.76
-3.57,-4.29,0.0,9.75
-3.57,-4.29,0.71,6.29
-3.57,-4.29,1.43,-4.86
-3.57,-4.29,2.14,-3.49
-3.57,-4.29,2.86,5.06
-3.57,-4.29,3.57,1.88
-3.57,-4.29,4.29,-13.44
-3.57,-4.29,5.0,21.11
-3.57,-3.57,-5.0,-15.45
-3.57,-3.57,-4.29,5.1
-3.57,-3.57,-3.57,12.67
-3.57,-3.57,-2.86,-12.45
-3.57,-3.57,-2.14,-23.96
-3.57,-3.57,-1.43,69.92
-3.57,-3.57,-0.71,-71.47
-3.57,-3.57,0.0,24.23
-3.57,-3.57,0.71,15.63
-3.57,-3.57,1.43,-12.07
-3.57,-3.57,2.14,-8.68
-3.57,-3.57,2.86,12.57
-3.57,-3.57,3.57,4.68
-3.57,-3.57,4.29,-33.41
-3.57,-3.57,5.0,52.47
-3.57,-2.86,-5.0,15.18
-3.57,-2.86,-4.29,-5.01
-3.57,-2.86,-3.57,-12.45
-3.57,-2.86,-2.86,12.23
-3.57,-2.86,-2.14,23.54
-3.57,-2.86,-1.43,-68.7
-3.57,-2.86,-0.71,70.22
-3.57,-2.86,0.0,-23.8
-3.57,-2.86,0.71,-15.35
-3.57,-2.86,1.43,11.86
-3.57,-2.86,2.14,8.53
-3.57,-2.86,2.86,-12.35
-3.57,-2.86,3.57,-4.59
-3.57,-2.86,4.29,32.82
-3.57,-2.86,5.0,-51.55
-3.57,-2.14,-5.0,29.23
-3.57,-2.14,-4.29,-9.64
-3.57,-2.14,-3.57,-23.96
-3.57,-2.14,-2.86,23.54
-3.57,-2.14,-2.14,45.33
-3.57,-2.14,-1.43,-132.26
-3.57,-2.14,-0.71,135.19
-3.57,-2.14,0.0,-45.83
-3.57,-2.14,0.71,-29.56
-3.57,-2.14,1.43,22.83
-3.57,-2.14,2.14,16.41
-3.57,-2.14,2.86,-23.79
-3.57,-2.14,3.57,-8.84
-3.57,-2.14,4.29,63.19
-3.57,-2.14,5.0,-99.25
-3.57,-1.43,-5.0,-85.29
-3.57,-1.43,-4.29,28.13
-3.57,-1.43,-3.57,69.92
-3.57,-1.43,-2.86,-68.7
-3.57,-1.43,-2.14,-132.26
-3.57,-1.43,-1.43,385.94
-3.57,-1.43,-0.71,-394.49
-3.57,-1.43,0.0,133.72
-3.57,-1.43,0.71,86.25
-3.57,-1.43,1.43,-66.62
-3.57,-1.43,2.14,-47.89
-3.57,-1.43,2.86,69.4
-3.57,-1.43,3.57,25.81
-3.57,-1.43,4.29,-184.39
-3.57,-1.43,5.0,289.6
-3.57,-0.71,-5.0,87.17
-3.57,-0.71,-4.29,-28.76
-3.57,-0.71,-3.57,-71.47
-3.57,-0.71,-2.86,70.22
-3.57,-0.71,-2.14,135.19
-3.57,-0.71,-1.43,-394.49
-3.57,-0.71,-0.71,403.23
-3.57,-0.71,0.0,-136.68
-3.57,-0.71,0.71,-88.16
-3.57,-0.71,1.43,68.09
-3.57,-0.71,2.14,48.95
-3.57,-0.71,2.86,-70.94
-3.57,-0.71,3.57,-26.38
-3.57,-0.71,4.29,188.47
-3.57,-0.71,5.0,-296.01
-3.57,0.0,-5.0,-29.55
-3.57,0.0,-4.29,9.75
-3.57,0.0,-3.57,24.23
-3.57,0.0,-2.86,-23.8
-3.57,0.0,-2.14,-45.83
-3.57,0.0,-1.43,133.72
-3.57,0.0,-0.71,-136.68
-3.57,0.0,0.0,46.33
-3.57,0.0,0.71,29.89
-3.57,0.0,1.43,-23.08
-3.57,0.0,2.14,-16.59
-3.57,0.0,2.86,24.05
-3.57,0.0,3.57,8.94
-3.57,0.0,4.29,-63.89
-3.57,0.0,5.0,100.34
-3.57,0.71,-5.0,-19.06
-3.57,0.71,-4.29,6.29
-3.57,0.71,-3.57,15.63
-3.57,0.71,-2.86,-15.35
-3.57,0.71,-2.14,-29.56
-3.57,0.71,-1.43,86.25
-3.57,0.71,-0.71,-88.16
-3.57,0.71,0.0,29.89
-3.57,0.71,0.71,19.28
-3.57,0.71,1.43,-14.89
-3.57,0.71,2.14,-10.7
-3.57,0.71,2.86,15.51
-3.57,0.71,3.57,5.77
-3.57,0.71,4.29,-41.21
-3.57,0.71,5.0,64.72
-3.57,1.43,-5.0,14.72
-3.57,1.43,-4.29,-4.86
-3.57,1.43,-3.57,-12.07
-3.57,1.43,-2.86,11.86
-3.57,1.43,-2.14,22.83
-3.57,1.43,-1.43,-66.62
-3.57,1.43,-0.71,68.09
-3.57,1.43,0.0,-23.08
-3.57,1.43,0.71,-14.89
-3.57,1.43,1.43,11.5
-3.57,1.43,2.14,8.27
-3.57,1.43,2.86,-11.98
-3.57,1.43,3.57,-4.45
-3.57,1.43,4.29,31.83
-3.57,1.43,5.0,-49.99
-3.57,2.14,-5.0,10.58
-3.57,2.14,-4.29,-3.49
-3.57,2.14,-3.57,-8.68
-3.57,2.14,-2.86,8.53
-3.57,2.14,-2.14,16.41
-3.57,2.14,-1.43,-47.89
-3.57,2.14,-0.71,48.95
-3.57,2.14,0.0,-16.59
-3.57,2.14,0.71,-10.7
-3.57,2.14,1.43,8.27
-3.57,2.14,2.14,5.94
-3.57,2.14,2.86,-8.61
-3.57,2.14,3.57,-3.2
-3.57,2.14,4.29,22.88
-3.57,2.14,5.0,-35.94
-3.57,2.86,-5.0,-15.34
-3.57,2.86,-4.29,5.06
-3.57,2.86,-3.57,12.57
-3.57,2.86,-2.86,-12.35
-3.57,2.86,-2.14,-23.79
-3.57,2.86,-1.43,69.4
-3.57,2.86,-0.71,-70.94
-3.57,2.86,0.0,24.05
-3.57,2.86,0.71,15.51
-3.57,2.86,1.43,-11.98
-3.57,2.86,2.14,-8.61
-3.57,2.86,2.86,12.48
-3.57,2.86,3.57,4.64
-3.57,2.86,4.29,-33.16
-3.57,2.86,5.0,52.08
-3.57,3.57,-5.0,-5.7
-3.57,3.57,-4.29,1.88
-3.57,3.57,-3.57,4.68
-3.57,3.57,-2.86,-4.59
-3.57,3.57,-2.14,-8.84
-3.57,3.57,-1.43,25.81
-3.57,3.57,-0.71,-26.38
-3.57,3.57,0.0,8.94
-3.57,3.57,0.71,5.77
-3.57,3.57,1.43,-4.45
-3.57,3.57,2.14,-3.2
-3.57,3.57,2.86,4.64
-3.57,3.57,3.57,1.73
-3.57,3.57,4.29,-12.33
-3.57,3.57,5.0,19.37
-3.57,4.29,-5.0,40.75
-3.57,4.29,-4.29,-13.44
-3.57,4.29,-3.57,-33.41
-3.57,4.29,-2.86,32.82
-3.57,4.29,-2.14,63.19
-3.57,4.29,-1.43,-184.39
-3.57,4.29,-0.71,188.47
-3.57,4.29,0.0,-63.89
-3.57,4.29,0.71,-41.21
-3.57,4.29,1.43,31.83
-3.57,4.29,2.14,22.88
-3.57,4.29,2.86,-33.16
-3.57,4.29,3.57,-12.33
-3.57,4.29,4.29,88.09
-3.57,4.29,5.0,-138.36
-3.57,5.0,-5.0,-64.0
-3.57,5.0,-4.29,21.11
-3.57,5.0,-3.57,52.47
-3.57,5.0,-2.86,-51.55
-3.57,5.0,-2.14,-99.25
-3.57,5.0,-1.43,289.6
-3.57,5.0,-0.71,-296.01
-3.57,5.0,0.0,100.34
-3.57,5.0,0.71,64.72
-3.57,5.0,1.43,-49.99
-3.57,5.0,2.14,-35.94
-3.57,5.0,2.86,52.08
-3.57,5.0,3.57,19.37
-3.57,5.0,4.29,-138.36
-3.57,5.0,5.0,217.31
-2.86,-5.0,-5.0,-18.52
-2.86,-5.0,-4.29,6.11
-2.86,-5.0,-3.57,15.18
-2.86,-5.0,-2.86,-14.92
-2.86,-5.0,-2.14,-28.72
-2.86,-5.0,-1.43,83.8
-2.86,-5.0,-0.71,-85.66
-2.86,-5.0,0.0,29.04
-2.86,-5.0,0.71,18.73
-2.86,-5.0,1.43,-14.46
-2.86,-5.0,2.14,-10.4
-2.86,-5.0,2.86,15.07
-2.86,-5.0,3.57,5.6
-2.86,-5.0,4.29,-40.04
-2.86,-5.0,5.0,62.88
-2.86,-4.29,-5.0,6.11
-2.86,-4.29,-4.29,-2.02
-2.86,-4.29,-3.57,-5.01
-2.86,-4.29,-2.86,4.92
-2.86,-4.29,-2.14,9.47
-2.86,-4.29,-1.43,-27.64
-2.86,-4.29,-0.71,28.26
-2.86,-4.29,0.0,-9.58
-2.86,-4.29,0.71,-6.18
-2.86,-4.29,1.43,4.77
-2.86,-4.29,2.14,3.43
-2.86,-4.29,2.86,-4.97
-2.86,-4.29,3.57,-1.85
-2.86,-4.29,4.29,13.21
-2.86,-4.29,5.0,-20.74
-2.86,-3.57,-5.0,15.18
-2.86,-3.57,-4.29,-5.01
-2.86,-3.57,-3.57,-12.45
-2.86,-3.57,-2.86,12.23
-2.86,-3.57,-2.14,23.54
-2.86,-3.57,-1.43,-68.7
-2.86,-3.57,-0.71,70.22
-2.86,-3.57,0.0,-23.8
-2.86,-3.57,0.71,-15.35
-2.86,-3.57,1.43,11.86
-2.86,-3.57,2.14,8.53
-2.86,-3.57,2.86,-12.35
-2.86,-3.57,3.57,-4.59
-2.86,-3.57,4.29,32.82
-2.86,-3.57,5.0,-51.55
-2.86,-2.86,-5.0,-14.92
-2.86,-2.86,-4.29,4.92
-2.86,-2.86,-3.57,12.23
-2.86,-2.86,-2.86,-12.02
-2.86,-2.86,-2.14,-23.13
-2.86,-2.86,-1.43,67.51
-2.86,-2.86,-0.71,-69.0
-2.86,-2.86,0.0,23.39
-2.86,-2.86,0.71,15.09
-2.86,-2.86,1.43,-11.65
-2.86,-2.86,2.14,-8.38
-2.86,-2.86,2.86,12.14
-2.86,-2.86,3.57,4.51
-2.86,-2.86,4.29,-32.25
-2.86,-2.86,5.0,50.66
-2.86,-2.14,-5.0,-28.72
-2.86,-2.14,-4.29,9.47
-2.86,-2.14,-3.57,23.54
-2.86,-2.14,-2.86,-23.13
-2.86,-2.14,-2.14,-44.54
-2.86,-2.14,-1.43,129.96
-2.86,-2.14,-0.71,-132.84
-2.86,-2.14,0.0,45.03
-2.86,-2.14,0.71,29.04
-2.86,-2.14,1.43,-22.43
-2.86,-2.14,2.14,-16.13
-2.86,-2.14,2.86,23.37
-2.86,-2.14,3.57,8.69
-2.86,-2.14,4.29,-62.09
-2.86,-2.14,5.0,97.52
-2.86,-1.43,-5.0,83.8
-2.86,-1.43,-4.29,-27.64
-2.86,-1.43,-3.57,-68.7
-2.86,-1.43,-2.86,67.51
-2.86,-1.43,-2.14,129.96
