x,y,fitness
0.79,-0.79,-1179.67
0.79,-0.26,-1232.82
0.79,0.26,-900.62
0.79,0.79,-720.72
0.79,1.32,-561.23
0.79,1.84,-506.13
0.79,2.37,-746.55
0.79,2.89,-735.23
0.79,3.42,-690.68
0.79,3.95,-813.38
0.79,4.47,-898.4
0.79,5.0,-976.02
1.32,-5.0,-961.67
1.32,-4.47,-1789.75
1.32,-3.95,-2575.29
1.32,-3.42,-1882.55
1.32,-2.89,-2005.82
1.32,-2.37,-2134.84
1.32,-1.84,-1796.8
1.32,-1.32,-1736.28
1.32,-0.79,-1094.58
1.32,-0.26,-666.6
1.32,0.26,-613.39
1.32,0.79,-572.71
1.32,1.32,-171.79
1.32,1.84,-235.06
1.32,2.37,-253.76
1.32,2.89,-658.92
1.32,3.42,-646.82
1.32,3.95,-810.95
1.32,4.47,-775.82
1.32,5.0,-965.48
1.84,-5.0,-1770.9
1.84,-4.47,-2003.64
1.84,-3.95,-2055.22
1.84,-3.42,-1530.35
1.84,-2.89,-1597.96
1.84,-2.37,-1825.62
1.84,-1.84,-2192.35
1.84,-1.32,-1738.46
1.84,-0.79,-1029.82
1.84,-0.26,-1031.48
1.84,0.26,-688.07
1.84,0.79,-269.25
1.84,1.32,-56.11
1.84,1.84,-44.96
1.84,2.37,-301.26
1.84,2.89,-456.1
1.84,3.42,-523.75
1.84,3.95,-710.05
1.84,4.47,-910.67
1.84,5.0,-1084.02
2.37,-5.0,-2855.44
2.37,-4.47,-2819.31
2.37,-3.95,-2179.87
2.37,-3.42,-1780.68
2.37,-2.89,-1521.63
2.37,-2.37,-1669.29
2.37,-1.84,-1959.62
2.37,-1.32,-1436.07
2.37,-0.79,-1331.83
2.37,-0.26,-925.18
2.37,0.26,-841.34
2.37,0.79,-441.14
2.37,1.32,-244.57
2.37,1.84,-178.93
2.37,2.37,-318.07
2.37,2.89,-403.03
2.37,3.42,-655.48
2.37,3.95,-687.03
2.37,4.47,-830.51
2.37,5.0,-1035.84
2.89,-5.0,-1895.56
2.89,-4.47,-2805.79
2.89,-3.95,-2610.51
2.89,-3.42,-1697.37
2.89,-2.89,-2101.16
2.89,-2.37,-2333.03
2.89,-1.84,-1545.48
2.89,-1.32,-1240.3
2.89,-0.79,-1364.33
2.89,-0.26,-1161.94
2.89,0.26,-812.11
2.89,0.79,-588.25
2.89,1.32,-457.72
2.89,1.84,-419.92
2.89,2.37,-455.28
2.89,2.89,-417.33
2.89,3.42,-507.98
2.89,3.95,-640.05
2.89,4.47,-955.47
2.89,5.0,-1069.31
3.42,-5.0,-1736.47
3.42,-4.47,-1959.16
3.42,-3.95,-1717.33
3.42,-3.42,-1951.14
3.42,-2.89,-2396.42
3.42,-2.37,-2339.98
3.42,-1.84,-1950.2
3.42,-1.32,-1610.41
3.42,-0.79,-1310.86
3.42,-0.26,-1220.02
3.42,0.26,-930.37
3.42,0.79,-775.38
3.42,1.32,-600.41
3.42,1.84,-516.18
3.42,2.37,-387.24
3.42,2.89,-429.43
3.42,3.42,-593.19
3.42,3.95,-707.76
3.42,4.47,-872.28
3.42,5.0,-1145.65
3.95,-5.0,-2499.18
3.95,-4.47,-1599.46
3.95,-3.95,-696.28
3.95,-3.42,-1956.0
3.95,-2.89,-2475.98
3.95,-2.37,-2094.14
3.95,-1.84,-2033.91
3.95,-1.32,-2001.95
3.95,-0.79,-1752.31
3.95,-0.26,-1443.61
3.95,0.26,-1056.11
3.95,0.79,-845.39
3.95,1.32,-699.05
3.95,1.84,-516.23
3.95,2.37,-104.45
3.95,2.89,-328.02
3.95,3.42,-509.28
3.95,3.95,-760.86
3.95,4.47,-910.72
3.95,5.0,-1212.4
4.47,-5.0,-2444.78
4.47,-4.47,-1610.35
4.47,-3.95,-1627.41
4.47,-3.42,-1890.1
4.47,-2.89,-1927.87
4.47,-2.37,-2115.06
4.47,-1.84,-2100.77
4.47,-1.32,-2107.37
4.47,-0.79,-2119.04
4.47,-0.26,-1678.63
4.47,0.26,-1296.97
4.47,0.79,-1104.01
4.47,1.32,-860.62
4.47,1.84,-576.61
4.47,2.37,-240.9
4.47,2.89,-400.74
4.47,3.42,-648.08
4.47,3.95,-773.25
4.47,4.47,-944.5
4.47,5.0,-1236.43
5.0,-5.0,-1918.64
5.0,-4.47,-1683.37
5.0,-3.95,-2430.24
5.0,-3.42,-2512.94
5.0,-2.89,-2263.41
5.0,-2.37,-2055.75
5.0,-1.84,-2179.04
5.0,-1.32,-2382.49
5.0,-0.79,-2273.17
5.0,-0.26,-1898.3
5.0,0.26,-1698.09
5.0,0.79,-1295.65
5.0,1.32,-1076.01
5.0,1.84,-847.77
5.0,2.37,-695.51
5.0,2.89,-668.55
5.0,3.42,-753.66
5.0,3.95,-851.03
5.0,4.47,-1060.05
5.0,5.0,-1287.52
