id,x0,x1,x2,fitness-2.5,fitness-3,fitness-4,fitness-1,fitness0.5,fitness0,fitness1.5,fitness1,fitness2,fitness2.5,fitness-1.5,fitness-0.5,fitness3,fitness3.5,fitness5,fitness4,fitness4.5,fitness-2,fitness-3.5
16442,-0.633711,5,2.64693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490.407,NA,NA,NA,NA
16784,-1.86535,5,1.78435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963.957,NA,NA,NA,NA
16851,-2.55283,4.80195,2.94395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.847,NA,NA,NA,NA,NA
17076,-2.06819,4.62908,3.35565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.64,NA,NA,NA,NA,NA,NA
17357,-1.51905,4.48009,3.96453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.58,NA,NA,NA,NA
17413,-1.08583,4.92085,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879.34,NA,NA,NA,NA
17704,-0.594882,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7334.724,NA,NA,NA,NA
17788,-1.43626,3.8607,4.29418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.989,NA,NA,NA,NA
18144,-0.866563,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11312.281,NA,NA
18208,-0.719658,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12079.401,NA,NA,NA,NA
18571,1.18244,4.42917,4.30252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.238,NA,NA,NA,NA
18660,1.51635,5,3.03088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.434,NA,NA
18805,1.56216,4.7995,4.62017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.03,NA,NA,NA,NA
19163,1.95549,4.34245,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.407,NA,NA,NA,NA
19313,2.15387,3.88151,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.989,NA,NA,NA,NA
19460,3.38253,2.86191,4.87796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.722,NA,NA,NA,NA
19612,3.32848,4.13185,4.12589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.428,NA,NA
19957,4.96168,4.45138,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.763,NA,NA,NA
20046,4.63789,3.52901,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.918,NA,NA,NA,NA
20269,5,3.28833,3.95922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.62,NA,NA,NA,NA
20389,5,3.15729,3.61253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.168,NA,NA,NA,NA
20614,5,4.82234,3.76273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2445.184,NA,NA
20799,4.63008,5,4.88614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2555.226,NA,NA
21139,5,3.37149,4.43921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.15,NA,NA,NA,NA,NA
21325,4.65893,3.93887,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
21460,5,4.61413,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.506,NA,NA,NA,NA,NA,NA,NA,NA,NA
21689,5,5,3.32195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859.953,NA,NA,NA,NA,NA,NA
21893,5,5,2.46575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.608,NA,NA,NA,NA,NA
22107,4.88328,4.21339,3.61757,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
22195,5,4.73864,2.90543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.218,NA,NA
22394,5,4.3686,3.67513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1379.743,NA,NA,NA,NA
22705,5,3.24372,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4207.899,NA,NA,NA,NA
22860,5,4.1964,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4946.855,NA,NA,NA,NA
23129,4.90492,3.18177,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119.993,NA,NA,NA
23255,5,2.51039,4.94056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810.509,NA,NA,NA,NA
23486,2.96455,2.58785,4.74484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.301,NA,NA,NA,NA
23762,3.26556,3.75282,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193.572,NA,NA,NA,NA
23839,4.26265,2.85957,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328.651,NA,NA,NA,NA
24094,5,3.00762,4.35406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.678,NA,NA,NA,NA
24257,5,5,3.42055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.106,NA,NA,NA
24502,4.41337,2.2752,4.93038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.043,NA,NA,NA,NA,NA,NA
24750,4.41399,1.43968,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.253,NA,NA,NA,NA,NA
24979,4.06806,0.408238,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.238,NA,NA,NA
25044,5,-0.7043,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15318.527,NA,NA,NA,NA
25219,5,-0.958607,4.80296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11974.148,NA,NA,NA,NA
25543,5,-1.62762,4.17423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3453.226,NA,NA,NA,NA
25685,5,-1.53534,4.53184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.752,NA,NA
25802,5,-2.05914,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5287.983,NA,NA,NA,NA
25985,5,-1.04993,4.63966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3003.39,NA,NA,NA,NA
26312,4.17059,-0.714268,3.46718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928.831,NA,NA,NA,NA
26571,5,-0.607414,3.16311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.774,NA,NA,NA
26594,5,1.43371,3.75343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-459.322,NA,NA
26883,5,-0.959242,3.6387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190.329,NA,NA,NA,NA
26993,3.61557,-0.246818,3.10283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.422,NA,NA,NA,NA
27345,4.8743,-0.718408,3.5635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184.375,NA,NA,NA,NA
27570,5,-0.571482,3.80398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2233.424,NA,NA,NA,NA
27757,5,-1.07757,3.85842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.756,NA,NA,NA,NA
27974,4.57018,-1.05732,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223.118,NA,NA,NA,NA
28119,5,-0.00238592,4.23115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2518.67,NA,NA,NA,NA
28260,4.97993,0.296639,4.76766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4372.034,NA,NA,NA,NA
28510,4.95845,-0.204762,3.86644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1465.335,NA,NA,NA
28709,5,-0.372606,4.70607,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.968,NA,NA,NA,NA,NA,NA,NA,NA,NA
28888,4.55658,-1.10927,4.29242,NA,NA,NA,NA,NA,NA,NA,NA,24.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29155,5,-1.20937,5,NA,NA,NA,NA,NA,NA,289.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29357,5,-0.0979865,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1831.549,NA,NA,NA,NA,NA,NA,NA,NA,NA
29572,5,0.348421,5,NA,NA,NA,NA,NA,NA,NA,NA,917.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29586,4.34071,-0.620516,5,NA,NA,NA,NA,NA,NA,501.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29780,4.5931,-0.801861,5,NA,NA,NA,NA,NA,NA,500.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30094,5,-0.311442,3.67062,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.663,NA,NA,NA,NA,NA,NA,NA,NA,NA
30283,4.9226,-1.85761,4.42321,NA,NA,NA,NA,NA,NA,NA,NA,302.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30447,5,-1.16136,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.044,NA,NA,NA,NA,NA,NA
30692,4.90176,-1.34952,3.7467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903.291,NA,NA,NA,NA,NA
30895,5,-1.66067,3.1016,NA,NA,NA,NA,NA,NA,NA,NA,18.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30999,4.97282,-0.272658,3.25028,NA,NA,NA,NA,NA,NA,NA,1105.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31246,5,-0.376967,3.18661,NA,NA,NA,NA,NA,NA,NA,312.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31562,5,1.40183,4.88208,NA,NA,NA,NA,1033.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31578,4.68933,-0.0589664,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2281.516,NA,NA,NA,NA,NA,NA,NA
31820,4.65826,-0.149431,5,NA,NA,NA,NA,1265.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31974,5,0.0147324,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3755.133,NA,NA,NA,NA,NA,NA,NA
32328,4.06223,0.159303,5,NA,NA,NA,228.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32473,4.18183,-0.594499,4.71932,NA,NA,NA,4278.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32603,5,-1.34877,4.7989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13908.925,NA,NA,NA,NA,NA,NA,NA
32772,5,-0.392733,3.76865,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.633,NA,NA,NA,NA,NA,NA,NA,NA,NA
33091,3.26885,-0.103287,4.88334,NA,NA,NA,NA,NA,NA,726.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33234,2.83142,0.0385427,4.39237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.067,NA,NA,NA,NA,NA
33480,2.70608,0.391804,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752.902,NA,NA,NA,NA
33642,4.04614,-0.134514,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257.177,NA,NA,NA,NA
33810,5,0.213215,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2253.162,NA,NA,NA,NA
34030,5,-0.314951,4.35289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3372.105,NA,NA,NA,NA
34262,5,-1.6103,3.58763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.131,NA,NA,NA,NA,NA
34452,4.85038,-1.25826,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2846.698,NA,NA,NA
34663,5,0.246567,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2824.5,NA,NA,NA,NA
34793,4.26958,-1.45547,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9380.943,NA,NA,NA,NA
35061,4.42927,-0.335375,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892.509,NA,NA,NA,NA
35262,4.33113,-0.280266,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.592,NA,NA,NA,NA
35496,4.81428,-0.586153,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11572.151,NA,NA,NA,NA
35654,4.11463,-1.47411,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4280.803,NA,NA,NA,NA
35781,4.58027,-2.45101,4.95028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.504,NA,NA,NA,NA,NA
36085,4.93308,-2.81712,4.8107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2824.165,NA,NA,NA,NA
36202,4.65427,-2.86932,4.35857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.357,NA,NA
36437,4.50452,-2.63386,4.44218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.351,NA,NA
36737,5,-2.24464,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299.455,NA,NA,NA,NA
