id,x0,x1,x2,fitness-2,fitness-1,fitness-2.5,fitness-1.5,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-3,fitness1,fitness0.5,fitness-0.5,fitness0,fitness2,fitness2.5,fitness3.5,fitness5,fitness4.5,fitness4,fitness3,fitness1.5
11379,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11697,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1505.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11882,5,4.79576,4.85697,NA,NA,NA,NA,NA,NA,4391.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11972,4.13863,5,3.75152,NA,NA,NA,NA,382.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12245,5,5,3.65738,NA,NA,NA,NA,NA,NA,597.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12464,4.6365,5,4.62333,NA,NA,NA,NA,NA,NA,525.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12751,5,4.82336,5,NA,NA,NA,NA,NA,NA,3197.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12772,5,4.71153,5,NA,NA,NA,NA,NA,NA,NA,NA,1473.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13072,4.75619,5,5,6448.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13257,5,4.92184,5,NA,3088.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13520,5,4.91868,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,871.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13668,5,4.82559,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4085.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13891,4.19613,4.45247,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888.404,NA,NA,NA,NA,NA,NA,NA,NA,NA
14058,4.05879,4.73755,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260.928,NA,NA,NA,NA,NA,NA,NA,NA
14278,5,5,4.88137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14382.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
14433,4.88396,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1695.695,NA,NA,NA,NA,NA,NA,NA,NA
14700,4.75428,4.2696,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.134,NA,NA,NA,NA,NA,NA,NA,NA
14921,4.8231,5,4.02014,NA,NA,NA,1161.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15096,5,5,2.86012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2168.399,NA,NA,NA,NA,NA,NA,NA,NA,NA
15319,5,5,4.23618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878.155,NA,NA,NA,NA,NA,NA,NA,NA
15558,4.75352,5,3.9574,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15754,5,4.31924,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935.538,NA,NA,NA,NA,NA,NA,NA
15949,3.65589,3.80348,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.291,NA,NA,NA,NA,NA,NA
16016,3.72672,2.86301,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.323,NA,NA,NA,NA,NA,NA
16208,3.18067,4.71684,4.78215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901.29,NA,NA,NA,NA,NA
16438,1.25069,4.64206,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2148.027,NA,NA,NA,NA
16673,2.67254,3.44924,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.427,NA,NA,NA,NA
16863,2.66413,4.16367,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.758,NA,NA,NA,NA
17139,1.50834,4.88841,4.99739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.388,NA,NA,NA,NA
17262,1.37596,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2463.772,NA,NA,NA,NA
17528,0.777069,5,4.43813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050.72,NA,NA,NA,NA
17722,2.24312,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473.094,NA,NA,NA,NA
17792,2.30401,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2632.096,NA,NA,NA,NA
17987,4.0092,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.932,NA,NA,NA,NA
18296,4.24962,4.97828,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5989.845,NA,NA,NA,NA
18406,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5547.738,NA,NA,NA
18711,4.91074,5,4.26957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7138.567,NA,NA,NA,NA
18828,5,5,4.06712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077.883,NA,NA,NA,NA
19123,5,4.51463,4.27317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.083,NA,NA,NA,NA
19356,4.18554,4.96473,2.78697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493.271,NA,NA,NA,NA
19492,3.48977,5,0.708108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.455,NA,NA,NA,NA
19672,4.73849,4.57297,0.322555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.105,NA,NA,NA,NA
19881,4.71896,3.06148,-1.17994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.571,NA,NA,NA,NA
20134,4.37693,2.58087,-2.40335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.122,NA,NA,NA,NA
20179,4.86301,3.78279,-2.03721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2698.498,NA,NA,NA,NA
20460,5,3.32065,-0.210811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3504.447,NA,NA,NA,NA
20689,5,4.30277,-0.109099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4316.259,NA,NA,NA,NA
20920,4.96093,4.86672,0.444841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3931.254,NA,NA,NA,NA
21000,4.13611,3.90689,2.04893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.487,NA,NA,NA,NA
21191,5,3.60888,3.19564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.121,NA,NA,NA,NA
21552,5,4.32837,1.67843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.516,NA,NA,NA,NA,NA
21588,5,4.72186,0.827078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732.275,NA,NA
21852,5,4.44492,0.181162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-523.051,NA,NA,NA,NA
22019,4.81226,3.92795,0.257727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.826,NA,NA,NA,NA
22245,3.84583,5,1.39405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761.051,NA,NA,NA,NA
22372,5,5,1.35571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2564.606,NA,NA,NA,NA
22602,5,4.94468,1.18785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044.596,NA,NA,NA,NA
22846,5,5,2.06835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.001,NA,NA,NA,NA
23030,5,4.43121,2.72461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.499,NA,NA,NA,NA,NA
23209,4.18582,5,3.70968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.583,NA,NA,NA
23528,1.81975,4.20325,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1419.343,NA,NA,NA,NA
23715,1.87968,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.303,NA,NA
23814,3.48413,4.72732,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043.036,NA,NA,NA,NA
24094,3.84002,4.68983,4.8429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046.937,NA,NA,NA
24313,3.75821,4.4833,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.221,NA,NA,NA
24475,4.71135,4.57524,4.18024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039.553,NA,NA,NA,NA
24753,5,5,4.40772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3730.38,NA,NA,NA,NA
24963,5,4.45624,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2189.804,NA,NA,NA,NA
25116,5,3.86723,4.21914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2042.991,NA,NA,NA,NA
25213,5,4.77527,3.73475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917.878,NA,NA,NA,NA,NA
25462,5,5,3.40168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2881.121,NA,NA,NA,NA
25699,5,3.82709,3.72463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.158,NA,NA,NA
25914,4.39017,5,3.34756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.474,NA,NA
26073,4.10165,5,4.06465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.418,NA
26268,4.79651,5,4.37997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5619.8,NA,NA,NA
26499,4.03546,3.89371,2.8599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.44,NA,NA,NA
26695,4.43625,2.73788,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.984,NA,NA
26865,4.14708,3.29831,3.8078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.529,NA,NA,NA
27157,5,2.79618,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506.106,NA,NA,NA
27202,3.55563,3.102,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.869,NA,NA,NA,NA
27378,4.89885,1.13173,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069.772,NA,NA,NA,NA
27693,5,2.38619,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.128,NA,NA,NA,NA
27878,5,3.50312,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595.962,NA,NA,NA,NA
28116,5,4.21586,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5200.431,NA,NA,NA,NA
28239,5,5,4.84845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2667.757,NA
28386,5,4.64691,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236.689,NA,NA,NA,NA,NA
28619,4.97342,4.92585,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.449,NA
28891,4.75385,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269.881,NA
29085,4.18671,3.50788,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.32,NA,NA,NA,NA,NA
29289,4.72788,3.30433,4.93988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3146.581,NA,NA,NA
29384,5,3.35695,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2895.999,NA,NA,NA,NA
29604,5,3.24136,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.106,NA,NA,NA,NA
29940,5,4.76573,4.10198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3586.153,NA,NA,NA,NA
30153,4.79565,5,3.37757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126.51,NA,NA
30337,5,5,1.71245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.512,NA,NA,NA,NA,NA
30445,5,4.95466,0.301113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.764,NA,NA,NA,NA,NA,NA
30682,5,5,-0.347188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2948.202,NA,NA,NA
30937,5,5,-0.881191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12051.394,NA,NA,NA,NA
31124,5,4.15091,-1.21443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2592.546,NA,NA,NA,NA
31296,4.33548,4.97107,-1.49953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7221.707,NA,NA,NA,NA
31447,3.22481,4.77775,-0.284374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2917.394,NA,NA,NA,NA
31573,2.86413,5,-0.729757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2902.13,NA,NA,NA,NA
31941,2.94954,5,-1.01322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.255,NA,NA,NA,NA
32128,1.6813,5,-0.983037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1590.125,NA,NA,NA,NA
32199,0.776009,5,0.215025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.352,NA,NA,NA,NA
32557,1.32279,5,0.783735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995.014,NA,NA,NA,NA
32594,1.73538,5,1.13184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.307,NA,NA,NA,NA
32783,1.34036,4.78066,-0.0808994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329.604,NA,NA,NA,NA
33148,0.963953,4.93871,1.2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.724,NA,NA,NA,NA
33227,-0.64041,4.99933,0.0564878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3118.614,NA,NA,NA,NA
33538,-0.914142,4.83193,-1.6356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10446.904,NA,NA,NA,NA
33664,-1.15254,5,-0.864576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961.367,NA,NA
33898,-0.871308,3.62347,-1.53247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.934,NA,NA,NA,NA,NA
34075,-0.806354,3.60463,-1.91374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.257,NA,NA,NA,NA,NA
34243,-0.403005,5,-0.673826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165.425,NA,NA
34377,-0.673944,5,-0.273099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9464.517,NA,NA,NA,NA
