id,x0,x1,x2,fitness5,fitness4,fitness3,fitness0.5,fitness2,fitness1,fitness-0.5,fitness-2,fitness-1,fitness4.5,fitness3.5
10845,5,-2.03505,5,5475.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11146,4.74627,-1.79276,5,1002.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11269,5,-0.703567,5,11662.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11525,4.13778,-1.34925,4.85006,NA,NA,NA,NA,NA,NA,NA,NA,NA,3835.888,NA
11798,4.94176,-3.11714,5,3057.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11981,5,-2.87177,5,2240.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12037,4.16122,-1.20339,5,2422.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12216,4.80217,-0.53874,5,5668.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12595,5,-1.55272,4.6032,NA,NA,NA,NA,NA,NA,NA,NA,NA,2722.549,NA
12679,5,-0.958202,5,11730.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12879,3.40476,-1.27804,5,2800.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13071,5,-1.83293,5,2401.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13333,4.84299,-4.47549,4.40611,1812.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13473,5,-5,4.6828,2261.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13670,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13845,5,-5,4.65206,1882.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14143,5,-5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165.293,NA
14273,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14435,5,-5,5,2874.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14608,5,-3.97903,5,2632.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14815,5,-5,4.87152,3403.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15015,4.99054,-5,5,2666.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15205,5,-5,5,3384.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15409,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15640,5,-4.91463,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.825,NA
15969,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16068,4.69043,-4.85489,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,944.048,NA
16372,4.75278,-3.94182,4.59757,1329.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16548,5,-4.91204,5,2491.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16781,5,-5,4.92795,3201.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16940,5,-4.92774,5,2565.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17106,4.72423,-5,5,2710.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17343,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17932,5,-5,5,2811.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18161,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18483,4.56941,-5,4.99127,797.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18650,4.71068,-4.9156,4.76093,2988.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18845,3.3598,-4.66178,5,290.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19074,4.81586,-3.52284,5,NA,1812.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
19350,4.45679,-1.22865,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625.911,NA
19476,5,-2.86323,4.85779,3673.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19734,4.931,-2.22501,5,2282.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19783,5,-1.94781,5,5183.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20037,5,-2.15608,3.81842,1698.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20366,5,-1.29057,4.9323,NA,4708.538,NA,NA,NA,NA,NA,NA,NA,NA,NA
20553,4.97517,-1.60871,4.24976,5116.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20678,5,-0.89735,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5715.433,NA
20913,5,-1.8816,5,3894.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21038,4.65008,-1.03346,5,3942.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21259,4.95559,-0.52523,5,4331.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21378,4.31572,-0.261088,4.72901,4774.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21773,2.67774,-0.899718,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958.364,NA
21962,1.8247,-0.810767,4.99052,5025.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22076,2.76841,-1.96071,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.446,NA
22334,4.70271,-1.99067,5,5370.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22423,5,-1.70882,4.29699,2395.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22702,5,-1.7189,4.48797,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.858,NA
22789,5,-2.21346,4.91565,2743.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23165,4.61862,-2.23374,4.84187,1195.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23312,3.68103,-0.614381,5,2523.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23459,4.94015,-0.811172,5,15908.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23749,5,0.482305,3.67439,564.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23824,5,-0.176974,3.36377,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750.953,NA
24035,5,-0.582376,4.76084,7943.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24273,5,-0.592742,5,7229.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24422,5,-0.655433,5,10036.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24642,3.48676,-0.310358,5,796.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24782,5,-1.83273,5,2394.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25095,5,0.336361,4.90977,4460.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25327,5,0.303893,5,3386.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25383,4.71222,-0.290706,4.32809,5177.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25658,5,-0.801083,5,13057.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25842,4.84123,-0.964766,5,12017.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26118,4.20794,-0.94911,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3029.123,NA
26256,5,-1.37673,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5165.622,NA
26417,4.33505,-2.48735,4.80403,2446.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26614,4.45318,-1.35716,5,2886.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26935,4.70889,-1.58863,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3992.28,NA
27130,4.97845,-0.601892,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.624,NA
27272,3.3455,-1.32571,5,3495.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27482,5,0.400443,4.70618,3080.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27750,5,-0.576028,4.90853,10437.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27895,4.93248,0.298141,5,4160.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28077,5,-0.885306,4.65311,NA,NA,NA,NA,NA,NA,NA,NA,NA,7737.806,NA
28265,5,-0.700363,5,11571.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28392,5,-0.743749,4.93988,15346.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28570,4.84627,-0.711566,5,15807.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28802,5,-0.858074,5,12542.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29006,5,-1.6377,4.86973,NA,NA,NA,NA,NA,NA,NA,NA,NA,5163.584,NA
29362,5,-1.89974,5,4337.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29398,5,-0.791789,5,NA,4291.827,NA,NA,NA,NA,NA,NA,NA,NA,NA
29695,4.99646,-0.778016,5,13188.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29801,4.88795,-0.879238,4.92368,20105.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30008,5,-1.8369,4.56295,843.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30250,4.26409,-1.21824,5,3603.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30554,3.76353,-1.81325,5,624.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30687,4.87026,-0.705629,5,20131.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30954,5,-0.910655,5,11201.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30985,5,0.248099,4.73064,3083.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31191,4.69454,0.936308,4.96108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.699
31435,5,-0.0657102,5,NA,2048.731,NA,NA,NA,NA,NA,NA,NA,NA,NA
31593,4.78749,-1.78564,5,972.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31876,2.74218,-2.04354,5,1418.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32142,3.19619,-1.63956,5,1970.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32196,5,-0.994183,5,7599.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32560,4.37858,-1.48958,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3547.013,NA
32615,5,-0.894162,5,11707.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32796,5,1.35633,5,2562.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33129,4.92888,1.16113,5,1627.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33205,5,2.2329,4.86992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448.995,NA
33533,5,1.41221,5,2181.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33688,5,3.0932,5,1436.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33839,4.79855,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3437.567,NA
34069,4.23505,5,5,5386.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34364,5,5,4.37111,4600.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34387,4.17947,5,3.623,1266.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34662,5,5,4.12827,NA,NA,NA,NA,NA,NA,NA,NA,NA,3611.86,NA
34876,4.67715,5,4.05382,NA,NA,NA,NA,NA,NA,NA,NA,NA,928.638,NA
35118,4.38705,4.6841,5,4823.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35255,4.32051,4.65555,5,4025.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35483,4.46398,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1524.906,NA
35630,5,5,4.14218,3947.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35777,5,5,4.19183,4878.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36125,5,4.74335,1.37563,2782.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36221,5,5,1.2019,2500.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36547,5,5,0.362734,3397.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36670,5,5,0.469611,2141.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36904,4.95669,4.87657,-0.657807,15732.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37122,5,5,-0.998918,7351.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37340,5,4.67781,-0.704096,10048.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37412,5,5,-1.95096,6866.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37598,5,5,-0.843229,NA,NA,NA,NA,NA,NA,NA,NA,NA,6806.329,NA
37857,4.9283,5,-0.663556,12936.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38062,4.87544,3.7952,-0.574519,3127.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38309,4.56183,4.29742,-1.699,541.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38402,5,5,-1.94414,5136.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38702,4.98181,5,-1.00158,7774.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38802,5,4.09698,-1.2599,NA,NA,NA,NA,NA,NA,NA,NA,NA,1657.268,NA
38970,5,4.79438,-1.88572,5071.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39313,5,4.89769,-0.978554,10963.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39514,5,4.1738,-1.30252,4957.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39579,4.96038,5,-0.822924,15028.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39764,4.55855,5,-0.87147,2973.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40085,4.43554,4.28046,-2.07346,1091.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40327,5,5,-1.94504,5148.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40541,5,5,-0.529629,5155.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40710,4.85905,5,-0.97333,11522.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40854,5,5,-0.754416,12736.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41127,5,4.37869,-0.0742781,NA,NA,NA,NA,NA,NA,NA,NA,NA,985.979,NA
41362,5,5,-0.853585,12619.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41399,5,5,-0.279029,NA,3945.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
41632,5,5,-1.53099,NA,NA,NA,NA,NA,NA,NA,NA,NA,4889.846,NA
41787,4.27258,5,-0.741386,NA,NA,NA,NA,NA,NA,NA,NA,NA,3106.501,NA
42158,5,4.62342,-0.931659,6148.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42194,5,4.73905,-0.734201,13802.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42523,4.69875,4.82141,-0.700979,NA,5389.592,NA,NA,NA,NA,NA,NA,NA,NA,NA
42571,5,5,-0.872508,NA,NA,NA,NA,NA,NA,NA,NA,NA,13576.769,NA
42797,5,4.40966,-0.248886,3895.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42964,3.774,5,-0.776166,4818.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43268,4.60976,4.78369,-0.593793,4675.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43499,5,4.79982,-0.855845,16079.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43563,5,4.7035,-1.94334,4999.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43960,5,5,-1.02657,5830.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44115,4.16922,4.882,-1.49285,7490.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44258,5,5,-1.91397,4638.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44438,5,5,-1.81303,1676.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44741,5,4.78741,-0.702923,NA,NA,NA,NA,NA,NA,NA,NA,NA,8119.648,NA
44838,4.76778,5,-1.63364,NA,NA,NA,NA,NA,NA,NA,NA,NA,4389.028,NA
45080,3.78661,4.70194,-0.991434,3693.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45297,5,5,0.275394,4180.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45430,5,5,-0.867307,12365.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45638,4.09541,5,-1.39183,3714.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45851,5,5,-1.89595,5554.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45997,4.64123,3.43832,-0.176036,1083.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46181,4.31131,5,-0.364035,2668.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46385,5,4.78559,0.426723,3513.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46606,5,2.86597,-0.813606,3050.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46890,4.75134,4.15763,-1.34251,6008.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47143,5,2.9548,-0.854306,1376.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47262,5,3.2822,-1.32025,3737.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47461,5,4.65471,-0.903107,NA,NA,NA,NA,NA,NA,NA,NA,NA,7149.63,NA
47673,5,5,-0.628432,8907.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47900,5,5,-2.21841,2014.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47957,5,5,-0.241224,NA,1274.562,NA,NA,NA,NA,NA,NA,NA,NA,NA
48245,5,4.38739,-1.25045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.768
48399,5,5,-0.768536,12902.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48625,5,5,-1.66105,NA,3121.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
48759,4.98998,4.94653,-2.2337,NA,556.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
48967,5,5,-0.737407,16509.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49206,4.61869,5,0.388401,NA,633.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
49465,4.52722,5,-0.834769,NA,142.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
49695,4.3217,4.91594,-1.2725,6469.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49915,5,4.45348,-1.31802,NA,NA,NA,NA,NA,NA,NA,NA,NA,595.947,NA
50064,5,4.74697,-1.85345,4612.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50244,5,5,-1.04462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1702.36
50402,5,5,-2.03592,5470.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50654,5,5,-0.769481,12912.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50837,4.85403,5,0.470379,2836.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51121,4.20472,5,-0.0174331,2652.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51170,3.76648,5,-0.744708,4673.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51475,5,5,-2.21937,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.471,NA
51684,4.8783,5,-1.46739,NA,6335.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
51915,4.46436,5,-1.58883,1772.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52016,5,5,0.344842,3453.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52330,5,5,1.3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687.403,NA
52445,4.97604,5,2.14027,1586.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52742,5,5,1.41034,2874.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52818,5,5,2.44168,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.776,NA
53111,5,5,0.206021,2793.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53297,4.85509,5,-0.906199,18241.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53537,5,5,-2.08326,4997.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53548,5,5,-1.33142,NA,NA,NA,NA,NA,NA,NA,NA,NA,6183.303,NA
53861,4.89374,4.41532,-1.36083,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459.993,NA
54043,5,5,0.1682,1228.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54201,5,5,-0.808931,13046.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54442,5,4.84458,-0.732987,16454.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54605,5,5,-0.757925,12783.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54872,4.42875,4.90225,-0.0608164,2690.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54987,4.89012,5,0.95101,NA,1907.552,NA,NA,NA,NA,NA,NA,NA,NA,NA
55154,5,4.14616,1.59414,272.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55401,4.75548,4.13252,-1.64985,2997.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55551,5,3.62762,-0.693345,2434.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55751,5,5,-0.96778,11492.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56054,4.35052,5,-0.414119,1204.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56150,4.3868,5,-1.19607,2176.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
