id,x0,x1,x2,fitness-3.5,fitness-4,fitness-3,fitness-1,fitness-2,fitness-2.5,fitness-1.5,fitness0,fitness0.5,fitness-4.5,fitness-5,fitness-0.5
42212,-0.217407,2.93626,-4.60974,NA,-153.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42500,0.976884,3.0692,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193.269,NA
42624,0.5688,3.68902,-5,NA,-162.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42854,0.856836,5,-5,-286.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43089,0.850674,3.34465,-5,-110.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43263,0.760078,1.73225,-4.5524,NA,-90.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43448,-0.818709,1.70485,-4.18291,NA,-187.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43700,-0.529692,2.6872,-4.77567,NA,-170.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43932,-0.712924,3.00941,-4.30112,NA,NA,NA,NA,NA,-171.486,NA,NA,NA,NA,NA,NA
44191,-0.812035,2.66921,-2.66965,NA,NA,NA,NA,NA,-275.63,NA,NA,NA,NA,NA,NA
44394,-0.176215,2.7112,-3.14471,NA,NA,NA,NA,NA,-148.186,NA,NA,NA,NA,NA,NA
44580,-0.678649,2.71267,-4.82215,NA,-195.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44638,-0.251593,2.4995,-5,NA,NA,-123.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
44993,0.502071,1.40127,-5,NA,NA,NA,NA,NA,-64.628,NA,NA,NA,NA,NA,NA
45084,0.852577,1.71068,-4.38795,-41.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45375,-0.278667,1.04824,-4.67324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-245.115,NA
45403,-0.245849,2.24243,-4.54362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-222.006,NA
45675,0.246695,0.663168,-4.83184,NA,NA,-143.629,NA,NA,NA,NA,NA,NA,NA,NA,NA
45823,0.0839596,1.58063,-3.98608,NA,NA,NA,NA,-91.408,NA,NA,NA,NA,NA,NA,NA
46173,0.999603,1.53647,-4.89351,NA,NA,NA,NA,NA,NA,-63.172,NA,NA,NA,NA,NA
46211,2.23796,2.08515,-5,NA,NA,NA,NA,-23.968,NA,NA,NA,NA,NA,NA,NA
46582,2.04799,2.50165,-5,NA,NA,NA,NA,NA,-31.428,NA,NA,NA,NA,NA,NA
46639,0.619251,3.01801,-4.90233,NA,NA,-82.601,NA,NA,NA,NA,NA,NA,NA,NA,NA
46951,-0.15777,3.29141,-4.9945,-159.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47052,0.850372,1.31516,-5,NA,NA,NA,NA,NA,-48.533,NA,NA,NA,NA,NA,NA
47272,0.798312,0.716437,-5,NA,NA,NA,NA,NA,-116.45,NA,NA,NA,NA,NA,NA
47591,0.939746,1.65682,-5,NA,NA,NA,NA,-49.539,NA,NA,NA,NA,NA,NA,NA
47769,1.46494,2.29311,-5,NA,NA,-28.389,NA,NA,NA,NA,NA,NA,NA,NA,NA
47951,2.84142,2.72255,-4.91492,NA,NA,NA,NA,NA,-58.834,NA,NA,NA,NA,NA,NA
48186,2.19416,2.05116,-4.80567,NA,NA,NA,NA,NA,-16.421,NA,NA,NA,NA,NA,NA
48347,2.23227,3.54716,-5,NA,NA,NA,NA,-101.862,NA,NA,NA,NA,NA,NA,NA
48407,1.95383,2.3646,-4.31985,NA,NA,NA,-55.9,NA,NA,NA,NA,NA,NA,NA,NA
48668,2.88459,1.91198,-3.73142,NA,NA,NA,NA,NA,-44.047,NA,NA,NA,NA,NA,NA
48911,1.19151,1.85555,-4.77742,NA,-56.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49036,1.7597,2.38179,-3.56693,NA,NA,-31.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
49318,0.844958,2.93207,-4.74211,NA,-99.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
