id,x0,x1,x2,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-3.5
13860,-2.13849,3.98924,-5,NA,NA,NA,-43.329,NA
14056,-2.45804,4.31206,-4.09599,NA,NA,-73.422,NA,NA
14301,-0.968815,4.51054,-5,NA,NA,NA,-89.875,NA
14506,-1.46835,3.9262,-5,NA,NA,NA,-38.017,NA
14698,-1.66275,4.33238,-4.60553,NA,NA,NA,-53.487,NA
14815,-2.39617,5,-5,NA,-82.479,NA,NA,NA
15199,-1.98025,4.76393,-5,NA,NA,-73.886,NA,NA
15388,-1.23104,4.34522,-4.9315,NA,-51.855,NA,NA,NA
15512,-1.41825,3.84673,-4.17082,NA,-46.235,NA,NA,NA
15779,-1.51247,4.03321,-4.64475,NA,NA,-24.308,NA,NA
15937,-2.34817,3.88874,-4.69594,NA,NA,-45.986,NA,NA
16014,-2.28107,3.30319,-4.16776,NA,NA,-61.457,NA,NA
16276,-2.68321,2.98498,-5,NA,NA,NA,-74.676,NA
16426,-2.93271,3.68493,-5,NA,NA,-69.986,NA,NA
16699,-2.52729,4.19126,-5,NA,NA,NA,-65.634,NA
16951,-2.03583,4.86075,-5,NA,NA,NA,-66.759,NA
17117,-1.84958,4.23027,-5,NA,-49.329,NA,NA,NA
17311,-1.50853,4.03703,-5,NA,NA,-28.612,NA,NA
17580,-1.18152,5,-5,NA,NA,NA,-88.744,NA
17721,-1.54969,5,-5,NA,NA,-80.253,NA,NA
17854,-2.02609,4.49811,-5,NA,NA,-52.396,NA,NA
18036,-1.41355,5,-5,NA,NA,-75.586,NA,NA
18244,-1.786,4.6236,-4.93914,NA,NA,NA,-70.994,NA
18408,-1.18571,4.17084,-5,NA,NA,NA,-56.197,NA
18647,-1.52874,4.03335,-4.52464,NA,NA,NA,-52.325,NA
18956,-1.40255,3.28279,-4.59077,NA,NA,NA,-71.438,NA
19158,-1.94987,4.40659,-5,NA,NA,NA,-59.831,NA
19344,-1.14779,3.46499,-5,NA,NA,-40.447,NA,NA
19465,-1.79195,3.80876,-5,NA,NA,NA,-42.478,NA
19649,-1.13708,3.48372,-5,NA,NA,NA,NA,-124.286
19811,-1.45359,3.74102,-5,NA,NA,NA,-28.129,NA
20124,-2.17345,5,-5,NA,NA,NA,-77.728,NA
20383,-2.24127,5,-5,NA,NA,NA,-76.761,NA
20525,-2.11639,4.36543,-5,NA,NA,NA,-59.709,NA
20711,-1.71387,4.6537,-5,NA,NA,NA,-76.007,NA
20851,-1.67931,4.63251,-5,NA,NA,NA,-74.987,NA
21181,-1.42205,3.66821,-5,NA,NA,-11.796,NA,NA
21251,-1.71124,3.3778,-5,NA,NA,NA,-35.298,NA
21409,-2.01322,3.47577,-4.56383,NA,NA,-41.013,NA,NA
21717,-1.88682,3.47376,-5,NA,-31.31,NA,NA,NA
21862,-1.73138,4.17116,-5,NA,NA,NA,-34.177,NA
22037,-2.62171,4.10044,-5,NA,NA,NA,-68.076,NA
22377,-3.28279,3.22746,-5,NA,NA,-94.718,NA,NA
22549,-2.12318,3.68656,-5,NA,NA,-38.587,NA,NA
22794,-1.78536,4.20671,-5,NA,NA,NA,-41.056,NA
22822,-2.20751,3.82039,-5,NA,NA,NA,-55.349,NA
23141,-1.94954,3.45921,-5,NA,NA,-23.979,NA,NA
23326,-2.56435,3.83647,-5,NA,NA,NA,-54.175,NA
23458,-1.96428,5,-5,NA,NA,-69.304,NA,NA
23727,-1.59733,4.54193,-5,NA,NA,-49.226,NA,NA
23825,-1.1245,3.48323,-5,NA,-43.256,NA,NA,NA
24125,-1.41512,3.39808,-5,NA,-35.43,NA,NA,NA
24262,-1.44733,2.95413,-5,NA,NA,NA,-65.721,NA
24542,-1.62747,3.05365,-5,NA,NA,-44.394,NA,NA
24703,-2.07463,3.64566,-5,NA,NA,NA,-45.367,NA
24838,-1.54743,4.50961,-5,NA,NA,NA,-61.061,NA
25011,-2.35526,4.077,-5,NA,-54.194,NA,NA,NA
25337,-2.13535,4.53171,-5,NA,NA,-55.989,NA,NA
25589,-1.80729,3.95819,-5,NA,NA,NA,-46.397,NA
25739,-1.07822,3.35097,-5,NA,NA,NA,-51.497,NA
25809,-3.00057,3.89338,-4.76448,NA,NA,-76.547,NA,NA
26084,-2.00042,4.18003,-4.41428,NA,NA,NA,-44,NA
26270,-1.61584,3.56908,-4.84147,NA,NA,-5.595,NA,NA
26526,-1.24691,3.98258,-5,NA,NA,-23.236,NA,NA
26750,-2.06729,4.44719,-5,NA,NA,-48.631,NA,NA
26860,-2.12379,3.87185,-5,NA,NA,NA,-43.893,NA
27028,-1.92084,4.62775,-5,NA,NA,NA,-56.014,NA
27330,-1.49697,3.11299,-5,NA,NA,-49.469,NA,NA
27560,-2.26895,3.87143,-4.60974,NA,NA,-44.24,NA,NA
27624,-2.02545,5,-5,NA,NA,NA,-81.864,NA
27835,-2.03189,4.82328,-5,NA,NA,NA,-62.944,NA
28121,-1.27838,3.68973,-4.76564,NA,NA,NA,-44.746,NA
28350,-2.43917,3.31902,-5,NA,NA,NA,-60.526,NA
28525,-1.76575,3.68363,-5,NA,NA,-9.77,NA,NA
28642,-2.84797,4.32244,-5,NA,NA,NA,-72.708,NA
28954,-1.7565,4.38504,-4.64605,NA,NA,NA,-52.156,NA
29124,-1.90527,3.71915,-4.49467,NA,NA,NA,-55.391,NA
29237,-1.65394,3.50558,-4.69646,NA,NA,NA,-40.185,NA
29404,-1.45872,3.62929,-4.8421,NA,NA,NA,-40.84,NA
29641,-1.60234,3.33495,-5,NA,NA,-24.718,NA,NA
29903,-1.04128,3.82611,-5,NA,NA,-23.876,NA,NA
30181,-1.7435,3.31905,-5,NA,NA,NA,-40.324,NA
30325,-2.17947,3.87196,-5,NA,NA,NA,-51.202,NA
30505,-2.56311,4.55502,-4.48033,NA,NA,NA,-77.39,NA
30643,-1.99727,3.8851,-5,NA,NA,NA,-35.375,NA
30928,-2.07885,4.58142,-5,NA,NA,NA,-56.122,NA
31098,-0.991611,4.37824,-4.95035,NA,-78.89,NA,NA,NA
31367,-1.96682,4.63545,-5,NA,-65.735,NA,NA,NA
31478,-2.54873,5,-5,NA,NA,NA,-86.75,NA
31696,-2.61914,3.91068,-5,NA,NA,NA,-55.771,NA
31945,-2.59636,3.94197,-4.96235,NA,NA,NA,-54.32,NA
32054,-2.27262,4.01297,-5,NA,NA,NA,-54.847,NA
32354,-1.35685,3.94933,-5,NA,NA,NA,-39.634,NA
32536,-1.53169,3.25777,-4.94892,NA,NA,NA,-62.544,NA
32715,-1.3356,3.92493,-5,NA,NA,-17.238,NA,NA
32849,-2.39298,3.4878,-5,NA,NA,-57.335,NA,NA
33186,-2.17463,3.69681,-4.90945,NA,NA,-39.625,NA,NA
33359,-1.40712,3.95802,-5,NA,NA,NA,-31.686,NA
33564,-2.47342,4.0249,-4.9982,NA,NA,NA,-59.022,NA
33616,-1.419,3.62903,-4.64529,NA,-9.588,NA,NA,NA
33923,-1.69102,4.02865,-4.67645,NA,NA,NA,-46.71,NA
34063,-1.20884,3.65385,-4.7708,NA,NA,NA,-59.09,NA
34389,-1.37957,4.17384,-5,NA,NA,NA,-66.475,NA
34477,-1.42123,3.38143,-5,NA,NA,NA,-75.064,NA
34782,-1.44012,4.52096,-5,NA,NA,NA,-60.432,NA
34959,-1.43137,4.19263,-5,NA,NA,-21.648,NA,NA
35073,-2.10317,4.63347,-5,NA,-63.57,NA,NA,NA
35278,-1.67712,3.35148,-5,NA,NA,-31.261,NA,NA
35519,-2.15674,4.54558,-5,NA,NA,NA,-60.723,NA
35737,-1.71129,4.07026,-5,NA,NA,NA,-42.226,NA
35804,-2.34285,3.99416,-5,NA,NA,NA,-58.244,NA
36200,-2.58367,3.48374,-5,NA,NA,NA,-74.804,NA
36297,-1.4983,4.93537,-5,NA,NA,NA,-79.429,NA
36446,-2.20279,3.8888,-5,NA,NA,NA,-51.141,NA
36717,-2.8164,3.69226,-5,NA,NA,NA,-73.354,NA
36960,-2.4597,3.64881,-5,NA,NA,NA,-61.167,NA
37194,-1.85224,3.47146,-5,NA,NA,NA,-48.54,NA
37338,-1.7755,3.39814,-5,NA,NA,NA,-39.79,NA
37529,-2.03837,4.30786,-5,NA,NA,-39.569,NA,NA
37765,-2.76418,3.9736,-4.91763,NA,NA,-64.498,NA,NA
37898,-2.51986,3.66949,-4.28482,NA,NA,NA,-76.1,NA
38118,-1.96582,3.65331,-4.90192,NA,-26.661,NA,NA,NA
38314,-1.88606,4.55009,-5,NA,NA,NA,-57.639,NA
38540,-2.61903,4.08808,-5,NA,NA,NA,-67.157,NA
38795,-2.28644,3.95024,-5,NA,NA,-37.66,NA,NA
38861,-2.38809,4.97918,-4.71047,NA,NA,NA,-79.9,NA
39140,-2.78348,4.22646,-5,NA,NA,NA,-72.776,NA
39265,-1.87973,3.96783,-5,NA,NA,NA,-42.953,NA
39584,-2.17121,4.41499,-5,NA,NA,NA,-57.714,NA
39666,-0.94209,4.75951,-5,NA,NA,NA,-103.582,NA
39887,-0.96912,4.93962,-5,NA,-106.983,NA,NA,NA
40014,-2.27642,4.95055,-5,NA,NA,NA,-76.685,NA
40314,-1.88465,4.43768,-5,NA,NA,NA,-56.688,NA
40533,-1.57703,3.25815,-5,NA,-34.621,NA,NA,NA
40781,-1.78557,3.83699,-5,NA,NA,-12.148,NA,NA
40949,-2.31313,4.36156,-4.86695,NA,NA,NA,-47.966,NA
41094,-1.90325,4.0861,-5,NA,NA,NA,-48.284,NA
41355,-2.25735,4.0387,-4.46642,NA,NA,NA,-58.736,NA
41437,-1.4642,3.96206,-5,NA,NA,NA,-40.304,NA
41637,-2.67414,3.56775,-5,NA,NA,-63.581,NA,NA
41839,-2.2679,3.29602,-4.89418,NA,NA,NA,-47.424,NA
42026,-1.96852,4.03431,-5,NA,NA,-32.857,NA,NA
42353,-1.79458,3.09871,-5,NA,NA,NA,-74.132,NA
42525,-2.06668,4.2886,-5,NA,NA,NA,-62.4,NA
42739,-1.50215,3.91668,-5,NA,NA,-15.897,NA,NA
42898,-1.83909,5,-4.92444,NA,NA,-73.228,NA,NA
43106,-1.81425,3.80935,-5,NA,NA,-27.318,NA,NA
43335,-1.75776,5,-5,NA,NA,-79.609,NA,NA
43590,-2.45353,3.31373,-5,NA,-69.318,NA,NA,NA
43766,-1.82674,3.67416,-5,NA,NA,-21.957,NA,NA
43895,-2.09719,4.29441,-5,NA,NA,NA,-60.714,NA
44184,-1.79435,4.55048,-4.35497,NA,NA,NA,-63.236,NA
44395,-1.25516,4.41713,-4.98631,NA,-67.643,NA,NA,NA
44451,-1.85301,4.24541,-5,NA,NA,-38.048,NA,NA
44749,-2.32974,4.94724,-5,NA,NA,NA,-77.612,NA
44903,-1.22078,3.66301,-5,NA,NA,NA,-56.317,NA
45117,-2.03965,3.60288,-5,NA,NA,NA,-48.242,NA
45295,-1.08441,4.16728,-3.70437,NA,NA,NA,-85.878,NA
45405,-1.49217,3.87938,-4.13582,NA,NA,NA,-75.396,NA
45663,-1.19142,3.77198,-4.68926,NA,NA,-18.323,NA,NA
45895,-2.30465,3.60272,-5,NA,NA,NA,-56.842,NA
46194,-2.14789,4.7148,-5,NA,NA,NA,-64.647,NA
46216,-2.38989,3.29207,-5,NA,NA,NA,-56.864,NA
46541,-3.13273,3.68806,-5,NA,NA,-82.582,NA,NA
46607,-2.44995,3.5468,-5,NA,NA,NA,-60.259,NA
46869,-1.99994,2.92504,-5,NA,NA,NA,-58.715,NA
47129,-1.04437,3.80925,-5,NA,NA,-29.123,NA,NA
47365,-1.9742,3.6144,-5,NA,NA,NA,-45.531,NA
47567,-3.11635,3.91443,-5,NA,NA,-80.196,NA,NA
47743,-3.03367,3.5922,-4.43349,NA,NA,NA,-88.351,NA
47949,-2.1273,4.03341,-5,NA,NA,-39.623,NA,NA
48071,-1.21506,3.78187,-5,NA,NA,NA,-56.854,NA
48327,-1.12731,3.49487,-5,NA,NA,NA,-51.22,NA
48542,-1.26267,3.47523,-5,NA,NA,NA,-65.137,NA
48688,-1.80053,3.36497,-5,NA,NA,NA,-44.286,NA
48891,-2.18759,4.04994,-5,NA,NA,-40.274,NA,NA
49149,-2.06328,3.07663,-5,NA,NA,NA,-62.335,NA
49245,-1.58198,3.75532,-5,NA,NA,NA,-46.682,NA
49530,-2.06177,4.06371,-4.17605,NA,NA,-62.111,NA,NA
49616,-1.08929,3.94193,-5,NA,NA,-35.259,NA,NA
49935,-1.28814,4.20121,-5,NA,NA,NA,-67.294,NA
50012,-1.89911,4.41059,-5,NA,NA,NA,-57.283,NA
50284,-1.60146,4.2947,-4.3164,NA,NA,NA,-79.954,NA
50513,-2.45538,3.35565,-4.50303,NA,NA,NA,-74.999,NA
50735,-2.3085,4.45523,-5,NA,NA,-58.89,NA,NA
50813,-1.18931,3.5325,-4.795,NA,NA,-35.556,NA,NA
51167,-1.96958,3.90138,-5,NA,NA,NA,-36.354,NA
51222,-2.16688,4.32669,-5,NA,NA,NA,-55.804,NA
51501,-2.19647,3.80053,-5,NA,NA,-41.621,NA,NA
51627,-1.33671,4.09129,-5,NA,NA,-22.028,NA,NA
51801,-1.04995,4.03739,-5,NA,NA,NA,-69.141,NA
52146,-2.17541,3.38908,-5,NA,NA,-46.998,NA,NA
52267,-1.42354,3.89945,-4.59554,NA,NA,-16.771,NA,NA
52598,-2.95839,5,-5,NA,NA,NA,-100.554,NA
52660,-2.32531,5,-5,NA,NA,-78.871,NA,NA
52936,-1.40089,4.35957,-4.51993,NA,NA,NA,-58.021,NA
53185,-2.19036,4.62121,-5,NA,NA,NA,-65.818,NA
53324,-2.25219,3.36029,-5,NA,NA,-62.52,NA,NA
53442,-1.50898,3.19989,-5,NA,-37.353,NA,NA,NA
53654,-1.46547,3.61399,-5,NA,-7.609,NA,NA,NA
53975,-1.6584,3.29538,-4.6365,NA,-35.752,NA,NA,NA
54039,-1.37964,2.97409,-4.91214,NA,NA,NA,-47.401,NA
54400,-1.77736,3.1961,-4.82896,NA,NA,NA,-55.952,NA
54471,-1.74671,3.94125,-5,NA,-26.876,NA,NA,NA
54681,-1.22605,3.33677,-4.50033,NA,NA,-53.197,NA,NA
54885,-1.72927,3.96103,-4.5803,NA,NA,-30.713,NA,NA
55157,-1.82883,3.66958,-4.83667,NA,-14.996,NA,NA,NA
55311,-2.12838,3.45556,-5,NA,NA,-35.719,NA,NA
55600,-1.75267,3.82578,-5,NA,NA,NA,NA,-80.732
55634,-2.17181,4.44261,-4.70574,NA,NA,NA,-56.442,NA
55842,-1.88539,4.30482,-4.36724,NA,-59.191,NA,NA,NA
56135,-1.68952,3.50133,-5,NA,NA,NA,-37.368,NA
56352,-2.09914,3.01695,-4.70757,NA,NA,-73.613,NA,NA
56429,-2.22008,3.77119,-5,NA,NA,NA,-57.089,NA
56702,-2.20372,4.06895,-5,NA,NA,NA,-48.636,NA
56831,-1.7029,3.76445,-5,NA,NA,NA,-36.739,NA
57132,-2.04443,3.39622,-4.39348,NA,NA,NA,-43.033,NA
57247,-1.26223,3.05886,-4.58332,NA,NA,NA,-98.115,NA
57413,-1.6061,3.29596,-4.93857,NA,NA,NA,-36.41,NA
57703,-2.50325,3.96624,-5,NA,NA,-54.36,NA,NA
57876,-1.39314,3.91661,-4.44179,NA,NA,NA,-73.888,NA
58046,-1.89229,3.13445,-5,NA,NA,NA,-59.447,NA
58205,-2.57061,4.00872,-5,NA,-59.666,NA,NA,NA
58514,-2.32006,4.29526,-5,NA,NA,-55.614,NA,NA
58609,-1.38382,4.46967,-5,NA,NA,-52.097,NA,NA
58982,-1.51793,4.24859,-5,NA,NA,NA,-55.334,NA
59111,-1.21243,3.9388,-5,NA,NA,-29.692,NA,NA
59330,-1.80658,4.08407,-5,NA,NA,-26.73,NA,NA
59460,-1.13973,4.2021,-4.95514,NA,NA,-53.747,NA,NA
59743,-2.13017,3.22338,-5,NA,NA,-49.514,NA,NA
59812,-1.85343,5,-4.6044,NA,NA,-78.084,NA,NA
60185,-1.91163,5,-5,NA,NA,-70.234,NA,NA
60311,-1.74622,5,-4.93076,NA,-78.488,NA,NA,NA
60496,-2.34496,4.47105,-5,NA,NA,NA,-60.22,NA
60794,-1.82156,4.19516,-4.6738,NA,NA,-37.091,NA,NA
60934,-1.78413,4.15526,-4.62153,NA,NA,NA,-47.803,NA
61188,-1.0292,3.40616,-5,NA,NA,NA,-54.987,NA
61321,-1.52248,3.55229,-5,NA,NA,NA,-46.995,NA
61471,-1.18104,3.62207,-5,NA,NA,NA,-61.291,NA
61761,-2.37026,3.47311,-5,NA,NA,NA,-51.648,NA
61828,-2.21058,4.25461,-5,NA,NA,NA,-50.662,NA
62022,-1.57539,3.91529,-4.37536,NA,NA,NA,-50.333,NA
62391,-1.9803,4.18109,-3.41837,NA,NA,NA,-101.199,NA
62470,-1.95842,3.39271,-5,NA,-27.694,NA,NA,NA
62797,-1.24766,4.26153,-5,NA,NA,-40.69,NA,NA
62931,-1.65613,3.52272,-4.82421,NA,NA,NA,-35.483,NA
63108,-1.99015,3.75929,-5,NA,NA,-32.078,NA,NA
63353,-2.19502,3.66624,-5,NA,NA,-39.357,NA,NA
63592,-1.43477,3.95924,-5,NA,NA,NA,-39.335,NA
63614,-2.31435,4.17603,-5,NA,NA,NA,-47.526,NA
63971,-1.89806,3.93884,-4.98786,NA,-28.097,NA,NA,NA
64048,-1.12666,3.83924,-5,NA,NA,NA,-78.415,NA
64391,-1.88476,4.05519,-5,NA,NA,NA,-44.345,NA
64484,-2.27762,3.53212,-5,NA,NA,NA,-51.749,NA
64736,-1.8479,3.8217,-5,NA,-37.412,NA,NA,NA
64817,-1.28664,5,-5,NA,NA,-81.512,NA,NA
65054,-1.77282,3.82216,-4.26349,NA,-45.54,NA,NA,NA
65394,-2.23266,4.23112,-4.98756,NA,NA,NA,NA,-67.162
65522,-1.48132,4.07592,-5,NA,NA,-18.936,NA,NA
65601,-1.75507,3.49502,-5,NA,-21.357,NA,NA,NA
65825,-2.04265,3.85943,-5,NA,NA,-37.323,NA,NA
66056,-1.87929,4.26672,-5,NA,NA,NA,-53.355,NA
66339,-2.58278,3.31399,-4.86851,NA,NA,NA,-88.424,NA
66470,-2.49202,4.30816,-4.28883,NA,NA,NA,-70.328,NA
66732,-2.22069,3.92087,-4.67408,NA,NA,-38.23,NA,NA
66845,-1.31486,3.89154,-5,NA,NA,NA,-38.675,NA
67038,-1.2244,3.47733,-4.172,NA,NA,NA,-95.341,NA
67246,-2.10216,3.82971,-5,NA,NA,NA,-40.755,NA
67530,-2.16816,3.90461,-5,NA,NA,NA,-49.749,NA
67796,-1.92491,4.13214,-5,NA,NA,NA,-52.286,NA
67926,-2.02763,3.90009,-4.71116,NA,NA,NA,-34.676,NA
68020,-2.80168,4.48155,-4.97143,NA,NA,NA,-77.25,NA
68387,-1.75851,3.91016,-5,NA,NA,NA,-39.163,NA
68555,-1.28781,3.83202,-4.83942,NA,-27.266,NA,NA,NA
68766,-0.706272,4.22263,-4.71465,NA,NA,-66.675,NA,NA
68944,-1.94977,4.48463,-4.49385,NA,NA,-55.368,NA,NA
69152,-1.66736,3.91061,-5,NA,NA,NA,-38.689,NA
69259,-1.84141,5,-5,NA,NA,NA,-76.327,NA
69412,-2.61369,4.1113,-5,NA,NA,NA,-68.428,NA
69767,-1.92681,4.19392,-5,NA,NA,NA,-55.914,NA
69846,-1.51841,5,-5,NA,NA,NA,-82.992,NA
70003,-0.919653,4.08625,-5,NA,NA,NA,-80.443,NA
70247,-2.22724,4.66459,-5,NA,NA,-57.151,NA,NA
70402,-2.17764,5,-4.03518,NA,NA,-94.135,NA,NA
70750,-1.75724,5,-5,NA,NA,-79.784,NA,NA
70828,-1.81238,4.24665,-3.99025,NA,NA,-75.019,NA,NA
71124,-2.14551,4.70349,-4.38794,-115.083,NA,NA,NA,NA
71375,-1.46834,3.21915,-5,NA,-69.796,NA,NA,NA
71422,-1.44365,4.05387,-5,NA,NA,-26.18,NA,NA
71636,-0.886735,4.42536,-5,NA,NA,NA,-94.061,NA
71941,-1.5158,5,-5,NA,NA,NA,-79.148,NA
72112,-1.38511,5,-5,NA,NA,NA,-92.77,NA
72252,-1.3751,4.53165,-5,NA,-67.369,NA,NA,NA
72587,-2.17807,4.23872,-5,NA,NA,NA,-50.287,NA
72733,-1.50428,4.43083,-4.42607,NA,NA,-59.322,NA,NA
72942,-1.98217,3.73398,-4.73594,NA,NA,-32.697,NA,NA
73132,-1.59593,3.94364,-4.56748,NA,-46.198,NA,NA,NA
73206,-2.01061,4.61523,-5,NA,NA,NA,-53.184,NA
73568,-1.92422,5,-5,NA,NA,-70.788,NA,NA
73672,-2.01489,4.86585,-5,NA,NA,-72.785,NA,NA
73853,-1.47764,3.96277,-5,NA,NA,NA,-40.839,NA
74086,-1.4019,3.56262,-5,NA,NA,NA,-51.64,NA
74210,-1.50453,3.60103,-4.77538,NA,NA,NA,-44.881,NA
74583,-1.11192,3.00127,-5,NA,NA,-61.973,NA,NA
74724,-1.75962,4.16267,-5,NA,-34.016,NA,NA,NA
74911,-1.97062,3.87515,-4.59988,NA,NA,NA,-46.848,NA
75178,-2.22785,5,-5,NA,NA,NA,-74.68,NA
75287,-2.39511,3.53836,-5,NA,NA,NA,-56.238,NA
75550,-2.51113,4.24905,-5,NA,NA,NA,-64.989,NA
75749,-1.63938,3.57521,-5,NA,NA,NA,-42.584,NA
75986,-2.12463,3.32659,-5,NA,NA,NA,-66.337,NA
76092,-1.43782,4.45637,-5,NA,NA,NA,-54.919,NA
76357,-1.57716,3.71496,-5,NA,NA,NA,-45.767,NA
76449,-1.43827,3.67813,-5,NA,-4.168,NA,NA,NA
76716,-1.56292,3.56299,-5,NA,NA,-24.009,NA,NA
76950,-1.28634,4.25333,-5,NA,-35.347,NA,NA,NA
77002,-2.02523,4.03259,-5,NA,NA,NA,-41.551,NA
77353,-2.32092,3.46624,-5,NA,NA,NA,-48.843,NA
77459,-2.32635,3.68969,-5,NA,NA,NA,-63.039,NA
77653,-2.6274,2.91776,-4.98603,NA,NA,NA,-71.915,NA
77817,-2.38685,4.1412,-5,NA,NA,NA,-51.921,NA
78065,-2.50509,3.60406,-5,NA,NA,-56.335,NA,NA
78315,-2.07824,3.10138,-5,NA,NA,NA,-65.446,NA
78449,-2.1135,3.94976,-5,NA,NA,NA,-45.092,NA
78702,-1.98405,4.09987,-5,NA,NA,-29.788,NA,NA
78883,-2.71595,3.47062,-5,NA,-78.703,NA,NA,NA
79051,-3.15355,5,-5,NA,NA,-108.582,NA,NA
79216,-1.73107,5,-5,NA,NA,NA,-72.3,NA
79542,-1.52522,4.40033,-5,NA,NA,-44.543,NA,NA
79762,-1.00028,3.84129,-5,NA,NA,-41.69,NA,NA
79919,-3.03353,2.79031,-5,NA,NA,NA,-111.068,NA
80143,-2.70872,4.40437,-5,NA,NA,NA,-75.102,NA
80291,-2.71771,3.91856,-5,NA,NA,NA,-61.953,NA
