id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-3
6834,-1.52993,4.26081,-5,NA,NA,NA,-32.396,NA
7016,-1.9282,4.46772,-5,NA,-57.568,NA,NA,NA
7254,-1.80705,3.70543,-4.21557,NA,NA,NA,-54.997,NA
7502,-1.61529,3.82791,-5,NA,-50.357,NA,NA,NA
7683,-1.99392,3.98218,-4.76185,NA,NA,NA,-33.777,NA
7923,-1.50884,4.07904,-5,NA,NA,NA,-22.765,NA
8112,-2.54372,3.86066,-5,NA,NA,NA,-56.845,NA
8279,-1.49136,4.03489,-5,NA,NA,NA,-19.645,NA
8586,-2.13812,3.70246,-5,NA,-47.279,NA,NA,NA
8731,-2.03987,4.08472,-5,NA,NA,-33.051,NA,NA
8952,-1.30653,4.03377,-5,NA,-52.006,NA,NA,NA
9165,-0.990369,4.13095,-5,NA,-64.992,NA,NA,NA
9384,-2.50407,4.74105,-5,NA,-73.288,NA,NA,NA
9532,-2.07383,4.02577,-5,NA,NA,-52.636,NA,NA
9740,-2.60353,3.87021,-4.99639,NA,NA,-67.857,NA,NA
9804,-2.30313,3.39176,-5,NA,-47.465,NA,NA,NA
10187,-1.42055,4.79519,-5,NA,-63.228,NA,NA,NA
10361,-2.22737,3.83736,-4.40761,NA,-49.38,NA,NA,NA
10547,-1.64635,3.43294,-5,NA,-36.547,NA,NA,NA
10766,-1.4794,3.84078,-5,NA,-35.609,NA,NA,NA
10823,-2.13591,4.17314,-5,NA,-52.49,NA,NA,NA
11013,-2.03047,4.59909,-4.90353,NA,NA,-59.257,NA,NA
11274,-2.46122,4.05872,-4.88789,NA,-54.547,NA,NA,NA
11492,-2.07892,4.11335,-5,NA,-50.852,NA,NA,NA
11667,-1.92956,4.56341,-4.53074,NA,-65.994,NA,NA,NA
11817,-2.26202,4.53565,-5,NA,NA,NA,-53.787,NA
12077,-1.73484,5,-5,NA,NA,NA,-74.606,NA
12291,-1.79061,5,-5,NA,-73.967,NA,NA,NA
12461,-2.04127,5,-5,NA,-81.742,NA,NA,NA
12619,-1.44738,3.9328,-5,NA,-37.455,NA,NA,NA
12825,-1.55932,3.38438,-5,NA,-49.479,NA,NA,NA
13030,-1.72939,3.39537,-4.6876,NA,-38.925,NA,NA,NA
13260,-1.32846,3.64289,-5,NA,-45.206,NA,NA,NA
13544,-1.71495,3.75709,-5,NA,-53.001,NA,NA,NA
13744,-1.4909,3.81597,-5,NA,-25.166,NA,NA,NA
13911,-1.11071,4.35646,-5,NA,-57.284,NA,NA,NA
14195,-1.88021,4.78622,-4.9253,NA,-64.505,NA,NA,NA
14338,-1.76644,3.89365,-5,NA,NA,NA,-20.584,NA
14401,-1.9072,3.90964,-4.60345,NA,-46.648,NA,NA,NA
14790,-1.77565,3.6137,-5,NA,-45.136,NA,NA,NA
14823,-2.12771,4.21927,-5,NA,NA,-57.469,NA,NA
15162,-1.66712,4.27412,-5,-45.35,NA,NA,NA,NA
15319,-2.08413,4.58951,-4.62598,NA,NA,NA,-60.363,NA
15569,-2.45357,4.6216,-4.94814,NA,-71.555,NA,NA,NA
15650,-1.45845,3.89379,-5,NA,-33.409,NA,NA,NA
15886,-1.61782,3.52147,-4.60235,NA,NA,-36.036,NA,NA
16165,-1.43744,3.15963,-5,NA,NA,-44.586,NA,NA
16344,-1.09191,3.33093,-5,NA,-53.175,NA,NA,NA
16513,-1.57589,3.62091,-4.67779,NA,NA,NA,-6.072,NA
16609,-1.51662,3.04772,-5,NA,-74.772,NA,NA,NA
16901,-2.1927,4.24284,-5,NA,-51.849,NA,NA,NA
17182,-1.98612,3.32619,-5,NA,NA,NA,-28.568,NA
17367,-1.69752,3.68176,-5,NA,NA,NA,-15.917,NA
17579,-1.37321,3.93603,-4.85342,NA,-31.779,NA,NA,NA
17614,-1.34708,3.4096,-5,NA,-76.889,NA,NA,NA
17850,-1.83621,3.68249,-5,NA,-29.682,NA,NA,NA
18052,-2.37625,3.49996,-5,NA,-53.179,NA,NA,NA
18255,-1.54339,3.58891,-5,-69.429,NA,NA,NA,NA
18489,-2.40623,4.05575,-5,-99.072,NA,NA,NA,NA
18782,-1.29591,3.71369,-5,NA,NA,NA,-14.127,NA
18913,-1.65831,3.14768,-5,NA,-58.864,NA,NA,NA
19123,-1.6204,2.97986,-5,NA,NA,NA,-48.102,NA
19285,-1.2098,4.26479,-4.91086,NA,NA,NA,-48.507,NA
19465,-1.60604,3.57828,-4.41021,NA,NA,-37.852,NA,NA
19765,-1.47823,3.26558,-5,NA,NA,-30.184,NA,NA
19805,-1.54606,3.87014,-4.31729,NA,-58.956,NA,NA,NA
20095,-1.40666,3.62088,-5,NA,-32.024,NA,NA,NA
20240,-1.66247,3.44822,-5,NA,-35.843,NA,NA,NA
20545,-2.18602,4.53653,-5,NA,-62.039,NA,NA,NA
20617,-1.65045,4.55654,-5,NA,-66.985,NA,NA,NA
20840,-1.61127,4.06731,-5,NA,-43.625,NA,NA,NA
21100,-1.39993,3.99793,-5,NA,-43.684,NA,NA,NA
21398,-1.76448,3.97738,-5,NA,-47.392,NA,NA,NA
21539,-1.86036,4.68515,-4.59467,NA,-66.96,NA,NA,NA
21732,-1.74546,4.0391,-4.63489,NA,-47.098,NA,NA,NA
21889,-1.27818,4.32442,-5,NA,-70.771,NA,NA,NA
22054,-2.05694,5,-5,NA,-81.529,NA,NA,NA
22347,-1.81628,3.93242,-5,NA,NA,NA,-23.245,NA
22497,-1.71737,4.02599,-5,NA,-45.142,NA,NA,NA
22766,-1.87087,3.75919,-5,NA,NA,NA,-27.565,NA
22897,-1.0806,3.61976,-5,NA,-72.039,NA,NA,NA
23170,-1.40344,3.91536,-4.52775,NA,-58.985,NA,NA,NA
23311,-1.83615,3.70426,-5,NA,NA,NA,-14.672,NA
23424,-1.93457,4.79277,-5,NA,NA,NA,-67.24,NA
23768,-1.6862,5,-5,NA,-72.348,NA,NA,NA
23868,-2.2223,5,-5,NA,-77.063,NA,NA,NA
24103,-2.46978,5,-5,NA,-83.827,NA,NA,NA
24275,-2.17585,3.70251,-5,NA,-51.512,NA,NA,NA
24413,-2.83137,4.26089,-5,NA,-70.508,NA,NA,NA
24715,-2.20354,5,-5,NA,NA,NA,-74.606,NA
24956,-1.78146,3.65341,-5,NA,NA,NA,-11.281,NA
25001,-1.09695,4.1543,-4.72221,NA,NA,-55.493,NA,NA
25386,-1.35327,4.5981,-5,NA,-57.832,NA,NA,NA
25559,-2.06078,5,-5,NA,NA,NA,-69.714,NA
25790,-2.34133,4.38337,-5,NA,NA,-60.157,NA,NA
25814,-1.50413,4.64166,-5,NA,-62.002,NA,NA,NA
26025,-2.01159,4.27117,-5,NA,-63.244,NA,NA,NA
26203,-0.476296,4.29791,-5,NA,-91.825,NA,NA,NA
26574,-1.25455,3.97613,-5,NA,NA,NA,-32.671,NA
26656,-2.09466,3.82939,-5,NA,NA,-38.505,NA,NA
26939,-2.24928,4.5483,-5,NA,-65.899,NA,NA,NA
27046,-2.60543,4.29831,-5,NA,-67.978,NA,NA,NA
27359,-2.24046,4.21008,-5,NA,-48.3,NA,NA,NA
27579,-1.31266,3.82519,-5,NA,-36.761,NA,NA,NA
27662,-1.73926,3.76915,-5,NA,-52.573,NA,NA,NA
27844,-1.82893,4.3792,-5,NA,-51.458,NA,NA,NA
28136,-2.51686,4.23707,-5,NA,-65.452,NA,NA,NA
28285,-1.87432,4.58406,-4.87986,NA,-58.145,NA,NA,NA
28587,-1.60559,4.87526,-4.5845,NA,-77.602,NA,NA,NA
28720,-2.56818,4.50441,-5,NA,NA,NA,-64.792,NA
28875,-2.80078,4.25385,-5,NA,-69.364,NA,NA,NA
29194,-2.63398,3.62875,-5,NA,-63.522,NA,NA,NA
29302,-2.63347,4.18084,-4.29651,NA,-61.913,NA,NA,NA
29590,-2.12228,4.3528,-4.36741,NA,-57.5,NA,NA,NA
29791,-1.75311,4.39044,-5,NA,-47.364,NA,NA,NA
29996,-1.22743,4.65752,-5,NA,-77.202,NA,NA,NA
30057,-3.01375,3.65327,-5,NA,-84.16,NA,NA,NA
30298,-2.39581,3.99144,-5,NA,-57.855,NA,NA,NA
30475,-2.04621,3.64604,-5,NA,-44.02,NA,NA,NA
30711,-1.08213,4.56088,-4.80979,NA,NA,NA,-81.074,NA
30992,-1.96032,3.92527,-4.76988,NA,-35.458,NA,NA,NA
31108,-1.72329,3.40683,-5,NA,-35.267,NA,NA,NA
31353,-2.08086,3.63124,-4.51758,NA,NA,NA,-40.047,NA
31556,-1.23934,3.5868,-5,NA,NA,NA,-18.541,NA
31605,-1.7229,3.40447,-5,NA,NA,NA,-30.145,NA
31956,-1.35851,3.85137,-5,NA,NA,NA,-12.309,NA
32156,-1.8643,3.72856,-5,NA,-41.66,NA,NA,NA
32349,-1.26945,4.04938,-5,NA,-55.144,NA,NA,NA
32506,-1.8329,4.14113,-5,NA,-38.794,NA,NA,NA
32737,-1.96957,5,-4.94064,NA,NA,NA,-69.287,NA
32864,-2.1824,4.74266,-4.59675,NA,NA,-78.175,NA,NA
33176,-2.20281,3.69711,-5,NA,NA,NA,-42.281,NA
33209,-2.23389,4.28399,-5,NA,-49.784,NA,NA,NA
33434,-2.15529,3.88726,-5,NA,-48.062,NA,NA,NA
33785,-0.968361,4.08468,-5,NA,NA,NA,-61.316,NA
33822,-1.95191,3.68143,-5,NA,-32.145,NA,NA,NA
34142,-2.65846,4.19054,-5,NA,NA,NA,-53.54,NA
34262,-1.54305,3.8465,-5,NA,-42.738,NA,NA,NA
34525,-2.27827,3.57517,-4.8908,NA,-53.333,NA,NA,NA
34681,-1.71672,3.7086,-4.90652,NA,-54.322,NA,NA,NA
34932,-2.20735,2.87425,-5,NA,-94.601,NA,NA,NA
35089,-2.75288,3.62957,-5,NA,NA,-69.296,NA,NA
35202,-2.10338,4.85754,-5,NA,-67.205,NA,NA,NA
35562,-1.2867,3.95192,-5,NA,-42.901,NA,NA,NA
35647,-0.868684,3.39457,-5,NA,NA,NA,-64.883,NA
35842,-1.45221,3.16836,-5,NA,-73.252,NA,NA,NA
36127,-1.52789,3.95712,-5,NA,-31.642,NA,NA,NA
36390,-0.840755,4.09816,-5,NA,NA,NA,-70.455,NA
36561,-1.2942,3.69051,-4.96593,NA,-30.677,NA,NA,NA
36616,-2.81431,2.7896,-5,NA,-103.601,NA,NA,NA
36849,-2.65993,3.92468,-5,NA,-56.932,NA,NA,NA
37090,-2.13463,5,-5,NA,NA,NA,-72.034,NA
37290,-2.38915,4.5991,-5,NA,NA,NA,-57.377,NA
37576,-1.95766,4.46182,-4.93444,NA,NA,-66.126,NA,NA
37639,-1.81603,3.53996,-4.87955,-71.563,NA,NA,NA,NA
37944,-2.50721,3.84426,-5,NA,NA,NA,-54.052,NA
38121,-2.56956,3.61311,-5,NA,NA,NA,-58.878,NA
38399,-1.96357,4.72322,-4.56832,NA,-69.972,NA,NA,NA
38527,-1.87564,4.24413,-5,NA,-52.283,NA,NA,NA
38717,-1.72733,3.99264,-5,NA,-47.233,NA,NA,NA
38875,-1.19005,3.52261,-5,NA,-51.453,NA,NA,NA
39095,-1.92454,3.16934,-5,NA,-66.619,NA,NA,NA
39256,-1.7666,3.88381,-4.63245,NA,NA,NA,-26.262,NA
39483,-1.95238,3.29642,-4.19364,NA,-60.22,NA,NA,NA
39719,-2.0879,4.17692,-4.24283,NA,-53.142,NA,NA,NA
39986,-1.74783,4.17458,-5,NA,NA,NA,-35.167,NA
40114,-2.50743,3.9381,-5,NA,NA,NA,-55.566,NA
40311,-1.57576,3.46483,-5,NA,NA,NA,-19,NA
40544,-1.67206,3.14593,-4.79549,NA,NA,NA,-40.582,NA
40696,-1.23024,3.60179,-4.99171,NA,-56.524,NA,NA,NA
40862,-1.77537,4.1585,-5,NA,-37.351,NA,NA,NA
41013,-1.71399,5,-4.39407,NA,NA,NA,-79.889,NA
41309,-2.72693,5,-4.92423,NA,NA,NA,-84.413,NA
41487,-1.91988,4.58414,-5,NA,NA,-59.706,NA,NA
41767,-2.3411,4.21065,-5,NA,-47.795,NA,NA,NA
41974,-2.05505,5,-5,NA,NA,-84.815,NA,NA
42030,-1.73735,4.41631,-5,NA,NA,NA,-46.868,NA
42233,-2.13875,4.42748,-5,NA,-58.852,NA,NA,NA
42494,-1.90554,3.69109,-5,NA,-40.732,NA,NA,NA
42747,-2.71235,4.62366,-5,NA,-73.396,NA,NA,NA
42917,-1.50074,3.88717,-5,NA,-30.951,NA,NA,NA
43045,-1.39575,4.67105,-4.66734,NA,-61.209,NA,NA,NA
43375,-2.16672,4.59534,-5,NA,-62.768,NA,NA,NA
43404,-3.09005,4.89445,-4.93345,NA,-105.179,NA,NA,NA
43725,-2.61776,5,-5,NA,-91.731,NA,NA,NA
43936,-1.68587,4.49268,-5,NA,NA,NA,-47.256,NA
44139,-2.60089,4.1445,-5,NA,-69.697,NA,NA,NA
44378,-2.58884,5,-4.66111,NA,NA,NA,-84.989,NA
44460,-1.67212,4.05701,-5,NA,-35.027,NA,NA,NA
44662,-2.46054,4.11252,-5,NA,NA,NA,-53.507,NA
44847,-2.5777,4.29429,-4.48772,NA,-63.837,NA,NA,NA
45176,-2.42871,4.23134,-4.2059,NA,-75.694,NA,NA,NA
45293,-1.97395,4.26251,-4.27984,NA,-44.328,NA,NA,NA
45484,-1.95491,4.12607,-5,NA,-53.584,NA,NA,NA
45758,-1.23389,4.26525,-4.19415,NA,NA,NA,-77.222,NA
45848,-1.61712,3.4399,-4.81596,-41.328,NA,NA,NA,NA
46147,-1.60664,3.92753,-4.34246,NA,NA,-44.534,NA,NA
46217,-2.13809,3.52751,-4.20453,NA,-67.932,NA,NA,NA
46525,-1.96716,4.43633,-4.53058,NA,-56.156,NA,NA,NA
46756,-1.68502,3.54062,-5,NA,NA,NA,-18.208,NA
46854,-2.17047,4.38221,-5,NA,-56.881,NA,NA,NA
47116,-1.2953,3.92557,-4.73579,NA,-42.614,NA,NA,NA
47363,-2.22555,3.61837,-4.6146,NA,-56.885,NA,NA,NA
47417,-1.38938,4.6753,-4.51693,NA,NA,-76.325,NA,NA
47789,-1.87012,4.61191,-5,NA,NA,NA,-55.72,NA
47908,-2.07661,5,-5,NA,-77.08,NA,NA,NA
48027,-1.5931,4.32268,-5,NA,-46.87,NA,NA,NA
48292,-2.96765,4.18843,-5,NA,-73.141,NA,NA,NA
48453,-2.02219,3.55722,-4.95465,NA,NA,-29.257,NA,NA
48773,-2.22461,4.20085,-5,NA,NA,NA,-51.462,NA
48981,-1.966,3.95132,-5,NA,-39.448,NA,NA,NA
49036,-2.48128,4.13975,-5,NA,-59.99,NA,NA,NA
49365,-2.12565,3.83992,-4.9533,NA,-42.238,NA,NA,NA
49474,-2.30219,4.37418,-5,NA,-52.679,NA,NA,NA
49718,-2.16001,3.82672,-5,NA,-48.547,NA,NA,NA
49838,-1.95091,3.58519,-5,NA,-48.083,NA,NA,NA
50171,-1.68105,4.373,-5,NA,-44.629,NA,NA,NA
50255,-2.06525,3.85493,-5,NA,-37.35,NA,NA,NA
50553,-2.41634,4.32688,-5,NA,-55.915,NA,NA,NA
50605,-1.73349,4.3472,-5,NA,-42.744,NA,NA,NA
50995,-1.20221,3.56246,-5,NA,-58.678,NA,NA,NA
51058,-2.04198,4.67,-4.60349,NA,-64.62,NA,NA,NA
51230,-2.47152,3.38944,-5,NA,-63.412,NA,NA,NA
51466,-2.33593,4.07736,-4.36939,NA,NA,-79.693,NA,NA
51761,-2.58514,3.91719,-5,NA,-55.746,NA,NA,NA
51824,-2.51245,4.37227,-5,NA,-65.4,NA,NA,NA
52133,-1.97099,4.28441,-5,NA,NA,NA,-35.138,NA
52387,-2.16086,4.63693,-4.65578,NA,-63.544,NA,NA,NA
52457,-1.95626,3.8843,-3.93326,NA,-66.568,NA,NA,NA
52725,-1.70065,3.63761,-5,NA,-30.632,NA,NA,NA
52982,-2.89642,3.51773,-4.32024,NA,NA,NA,-74.744,NA
53079,-2.45356,4.41093,-5,NA,-62.623,NA,NA,NA
53236,-2.37328,5,-5,NA,NA,NA,-77.289,NA
53425,-2.34629,4.62297,-4.89339,NA,-69.063,NA,NA,NA
53758,-2.43717,4.22298,-4.54444,NA,NA,NA,-56.146,NA
53813,-2.7411,5,-4.39788,NA,-96.552,NA,NA,NA
54115,-1.94736,4.69891,-4.68978,NA,-57.767,NA,NA,NA
54362,-0.972176,3.79773,-5,NA,NA,NA,-37.84,NA
54493,-1.52037,4.14708,-4.99415,NA,-50.768,NA,NA,NA
54796,-1.40596,4.05155,-5,NA,-50.321,NA,NA,NA
54968,-2.05093,3.64987,-5,NA,-43.86,NA,NA,NA
55060,-1.46741,4.16073,-5,NA,-57.869,NA,NA,NA
55352,-1.45289,3.6772,-5,NA,-38.516,NA,NA,NA
55445,-1.18269,3.55627,-4.77596,NA,-58.316,NA,NA,NA
55664,-2.59212,3.70944,-4.93695,NA,NA,NA,-63.64,NA
55960,-2.18461,4.02002,-5,NA,-51.165,NA,NA,NA
56131,-2.37707,3.99102,-5,NA,NA,NA,-50.87,NA
56321,-1.75306,4.26378,-4.14354,NA,NA,NA,-62.461,NA
56525,-2.31757,4.89681,-5,NA,NA,-72.334,NA,NA
56704,-2.78926,4.41953,-5,NA,-75.643,NA,NA,NA
56850,-1.77104,3.25049,-5,NA,-43.384,NA,NA,NA
57103,-2.45878,4.25492,-5,NA,-58.737,NA,NA,NA
57256,-2.85651,4.52463,-4.43704,NA,-84.29,NA,NA,NA
57491,-1.89289,3.60247,-4.51046,NA,NA,-32.283,NA,NA
57624,-0.533562,4.1381,-5,NA,-107.562,NA,NA,NA
57934,-1.71525,4.5316,-4.8869,NA,-65.675,NA,NA,NA
58120,-2.40565,4.25618,-5,NA,-51.521,NA,NA,NA
58247,-1.55553,4.28043,-5,NA,-50.323,NA,NA,NA
58539,-0.897368,3.88187,-5,NA,-78.031,NA,NA,NA
58710,-1.97162,4.04938,-5,NA,NA,-35.853,NA,NA
58820,-1.58765,4.3752,-5,NA,-46.466,NA,NA,NA
59133,-1.61732,4.09797,-4.95007,NA,-40.964,NA,NA,NA
59386,-2.16814,3.97068,-5,NA,-50.09,NA,NA,NA
59404,-1.74062,3.44365,-5,NA,-36.509,NA,NA,NA
59672,-2.06643,4.07085,-5,NA,-51.06,NA,NA,NA
59807,-2.85089,4.20307,-5,NA,-70.63,NA,NA,NA
60007,-1.80044,4.07171,-5,NA,-43.815,NA,NA,NA
60206,-2.37702,4.35816,-5,NA,-54.323,NA,NA,NA
60463,-2.50478,3.55687,-5,NA,-63.877,NA,NA,NA
60667,-1.23732,3.17276,-5,NA,NA,NA,-53.176,NA
60976,-1.82321,3.03349,-5,NA,NA,-68.09,NA,NA
61157,-2.14545,3.53808,-4.75273,NA,NA,NA,-44.944,NA
61253,-2.00568,4.30428,-5,NA,NA,NA,-31.14,NA
61582,-1.06459,3.4704,-4.7624,NA,NA,NA,-55.582,NA
61739,-1.69896,3.52344,-5,NA,NA,-14.621,NA,NA
61889,-0.436767,4.66064,-4.27795,NA,-91.24,NA,NA,NA
62077,-2.42916,4.20945,-5,NA,-54.815,NA,NA,NA
62217,-1.67961,3.5232,-5,NA,NA,-13.133,NA,NA
62454,-2.1827,3.28997,-4.79468,NA,NA,-64.979,NA,NA
62697,-1.27615,3.51485,-4.75612,NA,NA,NA,-23.695,NA
62986,-0.943341,3.56739,-5,NA,-76.164,NA,NA,NA
63051,-2.0292,3.27072,-5,NA,-73.246,NA,NA,NA
63385,-1.85458,3.48226,-5,NA,NA,-22.258,NA,NA
63439,-2.50429,3.44151,-5,NA,NA,-69.626,NA,NA
63784,-2.4864,3.93936,-5,NA,NA,-64.22,NA,NA
63975,-1.11282,3.83845,-5,NA,NA,NA,-21.348,NA
64009,-1.35902,3.32814,-5,NA,NA,NA,-17.088,NA
64332,-2.00976,3.62288,-4.94651,NA,NA,NA,-35.071,NA
64535,-1.76688,3.75668,-5,NA,-50.817,NA,NA,NA
64727,-2.40077,4.42662,-5,NA,-58.101,NA,NA,NA
64941,-1.75797,5,-5,NA,-72.846,NA,NA,NA
65177,-1.98838,4.57244,-4.73358,NA,-53.578,NA,NA,NA
65378,-2.46775,5,-4.63557,NA,NA,NA,-81.786,NA
65539,-1.29948,4.39512,-5,NA,-71.316,NA,NA,NA
65666,-2.05975,3.92516,-5,NA,-37.006,NA,NA,NA
65834,-1.88085,4.44922,-5,NA,-56.668,NA,NA,NA
66091,-2.18998,5,-5,NA,NA,NA,-74.425,NA
66221,-1.84407,4.3702,-4.52897,NA,-53.657,NA,NA,NA
66449,-2.1284,5,-5,NA,NA,NA,-71.832,NA
66606,-1.83065,4.54215,-5,NA,-60.235,NA,NA,NA
66909,-1.32448,5,-5,NA,-93.774,NA,NA,NA
67126,-1.68996,4.25211,-5,NA,-36.904,NA,NA,NA
67206,-1.12579,4.56535,-4.72582,NA,-80.443,NA,NA,NA
67424,-1.16291,4.40066,-5,NA,-64.459,NA,NA,NA
67616,-1.16512,4.09769,-5,NA,-57.148,NA,NA,NA
67976,-1.17692,4.0323,-5,NA,-60.002,NA,NA,NA
68090,-1.73537,4.35296,-5,NA,-43.288,NA,NA,NA
68206,-1.42502,4.17481,-4.52064,NA,-51.865,NA,NA,NA
68527,-1.31711,2.8491,-5,NA,NA,NA,-120.203,NA
68677,-2.11364,4.05355,-5,NA,NA,NA,-36.355,NA
68999,-2.06973,4.32419,-4.27506,NA,NA,-62.188,NA,NA
69012,-2.48625,3.92162,-5,NA,-58.796,NA,NA,NA
69262,-1.8817,4.76045,-5,NA,NA,NA,-63.624,NA
69595,-2.71106,3.99399,-4.76563,NA,NA,NA,-62.383,NA
69756,-1.93442,3.19592,-5,NA,-67.656,NA,NA,NA
69987,-1.22502,3.37056,-4.76754,NA,-68.011,NA,NA,NA
70191,-2.01468,3.43505,-4.18494,NA,-53.133,NA,NA,NA
70371,-1.36071,4.04097,-4.95705,NA,-50.221,NA,NA,NA
70424,-2.77154,2.77948,-5,NA,-99.346,NA,NA,NA
70708,-3.0838,4.11995,-5,NA,-83.262,NA,NA,NA
70986,-1.87733,4.58744,-4.08227,NA,-78.889,NA,NA,NA
71133,-2.1284,4.83464,-5,NA,-66.267,NA,NA,NA
71358,-2.36447,4.22997,-5,NA,NA,NA,-60.21,NA
71582,-2.68251,3.69323,-4.74959,NA,-59.158,NA,NA,NA
71787,-2.41281,3.70722,-5,NA,NA,NA,-51.484,NA
71837,-1.54897,4.03054,-5,NA,NA,NA,-17.92,NA
72095,-1.04062,4.40302,-5,NA,-66.889,NA,NA,NA
72225,-1.73131,5,-5,NA,-72.303,NA,NA,NA
72530,-1.59002,3.41892,-5,NA,-42.969,NA,NA,NA
72727,-1.00988,4.47899,-5,NA,NA,NA,-76.592,NA
72845,-2.27743,4.41416,-4.67635,NA,NA,-61.88,NA,NA
73171,-3.18985,4.15517,-4.53778,NA,NA,-96.087,NA,NA
73400,-1.85757,4.0583,-4.8568,NA,NA,NA,-25.729,NA
73541,-1.65805,4.1807,-4.81686,NA,-32.693,NA,NA,NA
73653,-1.66474,4.33817,-5,NA,NA,-47.108,NA,NA
73881,-1.6253,3.92011,-5,NA,NA,-50.903,NA,NA
74019,-1.58712,4.50854,-5,NA,-61.215,NA,NA,NA
74308,-0.983187,4.37664,-5,NA,-71.233,NA,NA,NA
74424,-1.80839,3.6289,-5,NA,NA,NA,-17.447,NA
74768,-1.41551,3.92583,-5,NA,-30.007,NA,NA,NA
74958,-2.07879,3.3286,-5,NA,-70.825,NA,NA,NA
75096,-1.83651,3.40612,-5,NA,-48.436,NA,NA,NA
75387,-1.92175,3.68297,-4.4587,-98.717,NA,NA,NA,NA
75588,-2.57854,3.99788,-4.33887,NA,NA,-83.991,NA,NA
75671,-3.08946,3.83927,-4.42414,-107.55,NA,NA,NA,NA
75893,-2.27633,4.19991,-4.84497,NA,NA,-45.292,NA,NA
76139,-1.44837,3.42758,-5,NA,NA,NA,-8.974,NA
76201,-1.37648,3.76368,-5,NA,NA,-9.032,NA,NA
76447,-1.65209,3.93424,-5,NA,NA,-11.252,NA,NA
76616,-1.96715,3.98884,-5,NA,NA,NA,-31.08,NA
76964,-1.46057,3.44692,-5,NA,NA,-10.357,NA,NA
77029,-1.56911,3.76135,-4.33895,NA,NA,NA,-40.648,NA
77252,-1.90344,4.06618,-4.40431,NA,NA,NA,-43.808,NA
77556,-2.69615,3.89448,-5,NA,-59.258,NA,NA,NA
77700,-1.84665,4.94536,-5,NA,-74.517,NA,NA,NA
77984,-1.50972,4.28686,-5,NA,NA,NA,-38.663,NA
78137,-2.66659,4.60313,-4.92745,NA,-68.254,NA,NA,NA
78206,-2.54662,3.68122,-5,NA,-57.152,NA,NA,NA
78485,-1.44853,4.2207,-5,NA,-64.463,NA,NA,NA
78738,-1.05866,3.30298,-5,NA,-58.31,NA,NA,NA
78857,-2.16395,3.45428,-4.39737,NA,-64.607,NA,NA,NA
79048,-1.84915,4.35408,-5,NA,-52.292,NA,NA,NA
79255,-1.66212,4.1454,-5,NA,NA,-32.85,NA,NA
79428,-1.1599,3.6182,-5,-72.425,NA,NA,NA,NA
79663,-1.13084,3.81402,-4.93829,NA,NA,-20.144,NA,NA
79816,-1.50283,4.00461,-5,NA,NA,-20.682,NA,NA
80163,-1.94756,5,-4.33295,NA,NA,-89.608,NA,NA
