id,x0,x1,x2,fitness-5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-2.5,fitness-2
33113,-2.76414,4.48375,-3.96743,NA,NA,NA,-91.465,NA,NA,NA
33308,-3.15204,4.76778,-3.00909,NA,-194.435,NA,NA,NA,NA,NA
33470,-2.36972,4.67445,-4.07887,NA,NA,NA,-81.376,NA,NA,NA
33659,-2.28824,4.73055,-4.99378,NA,-63.583,NA,NA,NA,NA,NA
33870,-1.87638,4.10215,-2.85425,NA,-176.935,NA,NA,NA,NA,NA
34102,-0.802524,4.07696,-4.19121,NA,-129.517,NA,NA,NA,NA,NA
34249,-1.05811,4.63261,-4.44749,NA,-86.458,NA,NA,NA,NA,NA
34567,-1.10073,4.68619,-4.42313,NA,NA,NA,NA,-239.798,NA,NA
34614,-1.41398,4.0645,-4.77076,NA,NA,NA,NA,-130.475,NA,NA
34838,-3.7049,4.93686,-4.01882,NA,NA,NA,NA,-196.53,NA,NA
35173,-3.58911,4.92661,-4.7309,NA,NA,-157.957,NA,NA,NA,NA
35247,-2.96878,4.11334,-4.08875,NA,NA,-123.911,NA,NA,NA,NA
35579,-3.20713,4.17535,-4.69922,NA,-102.943,NA,NA,NA,NA,NA
35671,-2.91498,4.5503,-3.63015,NA,NA,-137.121,NA,NA,NA,NA
35978,-2.53732,4.93477,-4.41128,NA,-97.317,NA,NA,NA,NA,NA
36189,-0.980298,3.6485,-3.96111,NA,NA,-198.276,NA,NA,NA,NA
36361,-1.48963,4.21725,-4.74829,NA,-58.115,NA,NA,NA,NA,NA
36517,-2.14922,4.4728,-4.32761,NA,NA,NA,-64.94,NA,NA,NA
36628,-3.37917,3.1863,-3.81814,NA,NA,NA,-132.148,NA,NA,NA
36912,-1.88281,3.87822,-3.78612,NA,NA,-100.755,NA,NA,NA,NA
37081,-1.77008,3.20497,-4.36888,-76.243,NA,NA,NA,NA,NA,NA
37274,-0.510301,3.80027,-4.60573,NA,NA,NA,-129.766,NA,NA,NA
37488,-1.57552,3.86773,-3.99211,-75.306,NA,NA,NA,NA,NA,NA
37772,-0.881879,4.96416,-4.94385,NA,NA,NA,-106.324,NA,NA,NA
37866,-1.18794,4.89083,-4.62018,NA,-92.949,NA,NA,NA,NA,NA
38038,-1.62115,3.45719,-3.83276,-85.478,NA,NA,NA,NA,NA,NA
38364,-2.39908,4.29551,-3.93933,NA,NA,-87.109,NA,NA,NA,NA
38572,-2.22906,3.96749,-4.73854,NA,NA,NA,NA,NA,-184.535,NA
38648,-3.03548,3.64447,-4.06842,NA,-100.281,NA,NA,NA,NA,NA
38986,-1.7663,4.45624,-4.3519,-67.324,NA,NA,NA,NA,NA,NA
39158,-2.76612,3.15989,-4.45272,-86.966,NA,NA,NA,NA,NA,NA
39204,-3.66157,3.30145,-4.17184,-142.066,NA,NA,NA,NA,NA,NA
39577,-0.506488,3.5182,-2.6963,NA,NA,-438.356,NA,NA,NA,NA
39774,-2.86855,4.36221,-4.12946,-92.042,NA,NA,NA,NA,NA,NA
39949,-2.40253,3.85275,-4.84415,NA,-81.774,NA,NA,NA,NA,NA
40076,-1.62296,4.64897,-4.99752,NA,-64.152,NA,NA,NA,NA,NA
40219,-2.1801,4.68922,-3.89436,NA,NA,NA,-86.59,NA,NA,NA
40536,-2.36614,4.25392,-3.6897,-79.246,NA,NA,NA,NA,NA,NA
40747,-1.93084,3.39098,-3.3586,NA,NA,NA,-166.105,NA,NA,NA
40804,-1.76514,2.76823,-4.68809,NA,NA,NA,-85.647,NA,NA,NA
41105,-1.63513,4.28787,-4.58996,NA,NA,NA,-40.671,NA,NA,NA
41363,-2.23172,4.36862,-4.6329,NA,NA,NA,-55.95,NA,NA,NA
41488,-4.10146,3.6033,-3.82653,-179.88,NA,NA,NA,NA,NA,NA
41679,-3.99252,3.9567,-3.68816,NA,NA,NA,-173.685,NA,NA,NA
41936,-3.03957,3.22267,-4.72895,NA,NA,NA,NA,-166.783,NA,NA
42163,-2.43676,3.51635,-4.39717,NA,NA,NA,-59.411,NA,NA,NA
42379,-1.97344,3.18943,-4.47455,NA,NA,NA,-63.125,NA,NA,NA
42493,-2.42227,3.80581,-3.37796,NA,NA,NA,NA,-194.646,NA,NA
42687,-1.67544,2.2917,-3.7195,NA,NA,NA,-233.473,NA,NA,NA
42922,-2.72917,3.19331,-4.76075,-82.352,NA,NA,NA,NA,NA,NA
43179,-3.14638,4.0243,-4.86834,NA,NA,NA,-82.268,NA,NA,NA
43217,-2.13053,4.2075,-4.89646,-54.658,NA,NA,NA,NA,NA,NA
43577,-2.08058,3.56383,-4.38455,-53.023,NA,NA,NA,NA,NA,NA
43742,-1.76365,2.48854,-4.78635,NA,NA,NA,-187.447,NA,NA,NA
43921,-2.76971,2.17705,-4.8295,-139.588,NA,NA,NA,NA,NA,NA
44011,-3.14983,3.30419,-3.63788,NA,NA,NA,-123.433,NA,NA,NA
44277,-2.94013,4.10746,-4.00962,NA,NA,NA,-92.722,NA,NA,NA
44404,-0.709949,4.35201,-4.64325,-119.44,NA,NA,NA,NA,NA,NA
44658,-1.38435,4.77961,-3.37801,NA,NA,-198.727,NA,NA,NA,NA
44886,-1.63416,4.91977,-4.8568,-76.199,NA,NA,NA,NA,NA,NA
45015,-0.823063,4.80009,-4.43759,NA,NA,NA,-99.027,NA,NA,NA
45210,-1.78121,4.71856,-4.80528,NA,NA,NA,-47.262,NA,NA,NA
45401,-2.22091,4.61762,-3.80854,NA,NA,NA,-85.773,NA,NA,NA
45692,-2.27007,4.28568,-4.37204,NA,NA,NA,-44.325,NA,NA,NA
45819,-0.660897,4.73929,-3.77121,NA,NA,NA,-206.819,NA,NA,NA
46162,-0.790965,4.42743,-4.92144,-112.177,NA,NA,NA,NA,NA,NA
46361,-2.1914,4.23466,-3.64606,NA,NA,NA,-100.751,NA,NA,NA
46525,-2.21765,3.73209,-3.30415,-110.948,NA,NA,NA,NA,NA,NA
46736,-2.89813,4.53942,-4.08454,NA,NA,-115.828,NA,NA,NA,NA
46887,-2.85266,4.90798,-4.46534,NA,-104.122,NA,NA,NA,NA,NA
47128,-3.47346,3.91794,-4.33022,NA,NA,NA,-108.573,NA,NA,NA
47242,-2.98277,4.28442,-4.35498,NA,NA,NA,-73.046,NA,NA,NA
47419,-1.87486,3.41859,-4.82274,NA,NA,NA,-22.494,NA,NA,NA
47601,-2.80188,3.67182,-4.55929,NA,-86.708,NA,NA,NA,NA,NA
47984,-3.6711,4.18159,-3.97729,NA,NA,NA,-136.187,NA,NA,NA
48169,-3.55313,4.27983,-4.65806,NA,NA,NA,-112.413,NA,NA,NA
48333,-2.73117,4.90554,-3.99876,NA,-111.199,NA,NA,NA,NA,NA
48523,-3.04517,4.08229,-4.50564,NA,NA,NA,-79.936,NA,NA,NA
48672,-1.26117,3.57415,-4.93822,NA,NA,-122.901,NA,NA,NA,NA
48928,-1.50832,3.11025,-4.61058,NA,-85.751,NA,NA,NA,NA,NA
49063,-2.75472,3.79615,-4.73205,NA,-70.7,NA,NA,NA,NA,NA
49232,-3.01585,4.4801,-4.48814,NA,NA,NA,-85.493,NA,NA,NA
49447,-0.612362,4.8561,-4.27018,NA,NA,NA,-140.001,NA,NA,NA
49753,-1.63093,3.90406,-4.84896,NA,NA,NA,NA,-78.623,NA,NA
49922,-2.32882,3.79818,-3.64942,NA,-82.328,NA,NA,NA,NA,NA
50115,-2.87255,4.36199,-4.76344,NA,NA,NA,-77.017,NA,NA,NA
50329,-1.34276,3.97649,-4.99712,NA,NA,-97.814,NA,NA,NA,NA
50575,-3.87552,3.47022,-4.84542,NA,NA,-158.981,NA,NA,NA,NA
50702,-3.50976,3.40668,-3.09069,NA,NA,-216.239,NA,NA,NA,NA
50987,-1.9909,4.48951,-3.81608,NA,NA,-115.939,NA,NA,NA,NA
51155,-2.85887,4.4032,-4.20804,NA,-87.504,NA,NA,NA,NA,NA
51382,-2.64668,3.53157,-4.48408,NA,NA,-85.03,NA,NA,NA,NA
51536,-3.1436,2.94424,-3.83186,NA,NA,-182.879,NA,NA,NA,NA
51623,-3.66263,2.31102,-3.93698,NA,NA,-208.138,NA,NA,NA,NA
51857,-2.4509,1.87034,-4.00271,NA,NA,NA,NA,-279.198,NA,NA
52050,-2.6369,3.55552,-3.57905,NA,NA,NA,NA,NA,-237.309,NA
52261,-2.21349,4.02083,-4.43136,NA,NA,NA,NA,NA,NA,-208.377
52575,-1.99801,4.52749,-4.13297,NA,NA,-107.404,NA,NA,NA,NA
52712,-2.28967,4.8639,-4.60167,NA,-85.093,NA,NA,NA,NA,NA
52833,-2.34241,4.45209,-3.98647,NA,-86.771,NA,NA,NA,NA,NA
53095,-3.32856,3.77341,-4.2799,NA,NA,NA,-97.074,NA,NA,NA
53307,-4.3928,4.96841,-4.64048,NA,NA,NA,-211.208,NA,NA,NA
53578,-3.89821,4.55521,-3.86055,NA,-170.408,NA,NA,NA,NA,NA
53607,-3.59469,3.90827,-4.90517,NA,NA,NA,-112.267,NA,NA,NA
54000,-4.22255,3.65203,-4.7284,NA,NA,-184.491,NA,NA,NA,NA
54124,-2.38408,3.52523,-4.09949,NA,-83.093,NA,NA,NA,NA,NA
54205,-1.96777,4.76945,-4.71518,NA,NA,NA,NA,-151.646,NA,NA
54582,-2.35499,4.83315,-2.68084,NA,NA,-232.471,NA,NA,NA,NA
54626,-1.87622,2.76529,-4.10569,NA,NA,-182.921,NA,NA,NA,NA
54976,-1.74614,2.05182,-3.18169,-200.316,NA,NA,NA,NA,NA,NA
55095,-2.55627,2.05042,-4.89602,NA,NA,NA,-150.219,NA,NA,NA
55335,-3.17388,2.9664,-4.80406,NA,-113.913,NA,NA,NA,NA,NA
55408,-1.6543,3.70883,-4.61399,-34.822,NA,NA,NA,NA,NA,NA
55798,-1.36712,3.44329,-4.95661,NA,NA,NA,-10.163,NA,NA,NA
55992,-0.196003,4.90658,-4.79749,NA,NA,-208.58,NA,NA,NA,NA
56024,-1.03132,4.41946,-4.3985,NA,NA,NA,-74.432,NA,NA,NA
56392,-0.866872,4.67196,-4.56777,NA,NA,NA,-101.957,NA,NA,NA
56539,-1.21197,4.29297,-4.97073,NA,NA,NA,-49.933,NA,NA,NA
56768,-2.34416,3.99881,-4.88263,NA,-67.531,NA,NA,NA,NA,NA
56990,-2.84305,3.73342,-3.71338,NA,NA,-138.262,NA,NA,NA,NA
57159,-3.32573,3.80316,-4.96236,NA,NA,-122.292,NA,NA,NA,NA
57357,-3.80619,4.92586,-3.90303,NA,NA,NA,NA,NA,-260.254,NA
57514,-4.186,4.75998,-4.76844,NA,-181.96,NA,NA,NA,NA,NA
57608,-3.14011,4.45438,-4.98851,-89.561,NA,NA,NA,NA,NA,NA
57871,-2.38297,4.94179,-4.01809,NA,-95.861,NA,NA,NA,NA,NA
58163,-1.95637,4.46756,-4.00637,NA,-78.951,NA,NA,NA,NA,NA
58362,-1.90521,4.14771,-2.48284,-206.389,NA,NA,NA,NA,NA,NA
58444,-2.10295,3.91826,-3.95338,-71.303,NA,NA,NA,NA,NA,NA
58767,-0.931121,4.14135,-4.43561,NA,-93.192,NA,NA,NA,NA,NA
58956,-1.29599,4.83228,-3.72704,NA,-123.632,NA,NA,NA,NA,NA
59118,-2.49654,4.52235,-4.40572,-72.574,NA,NA,NA,NA,NA,NA
59209,-2.54119,4.91569,-4.83497,-81.484,NA,NA,NA,NA,NA,NA
59469,-3.87655,4.84201,-4.46677,NA,NA,-168.475,NA,NA,NA,NA
59661,-2.88321,4.93541,-4.97898,NA,-95.156,NA,NA,NA,NA,NA
59881,-0.886634,4.57859,-4.5475,-99.286,NA,NA,NA,NA,NA,NA
60170,-1.75321,2.89741,-4.46503,NA,NA,NA,-99.727,NA,NA,NA
60332,-1.34861,4.78374,-3.6477,NA,NA,NA,-151.749,NA,NA,NA
60551,-0.161763,4.53097,-3.04033,NA,NA,-354.492,NA,NA,NA,NA
60735,-1.7628,4.50966,-3.10361,NA,-154.856,NA,NA,NA,NA,NA
60849,-1.82321,4.76965,-3.55596,NA,NA,NA,NA,-161.556,NA,NA
61184,-3.60204,4.61957,-4.38673,NA,NA,NA,NA,-179.159,NA,NA
61302,-3.07305,4.71921,-3.82437,NA,-115.968,NA,NA,NA,NA,NA
61422,-4.63792,4.97888,-4.63364,NA,-241.137,NA,NA,NA,NA,NA
61638,-4.4932,4.39145,-4.86148,NA,NA,NA,NA,-240.479,NA,NA
61935,-4.46755,4.1802,-4.22246,NA,NA,NA,NA,-255.508,NA,NA
62185,-2.52208,4.93368,-3.6309,NA,NA,NA,NA,-189.421,NA,NA
62317,-2.50461,4.9457,-4.60327,NA,-88.472,NA,NA,NA,NA,NA
62459,-2.76275,3.92049,-4.42893,NA,NA,-103.765,NA,NA,NA,NA
62672,-1.55998,4.85232,-4.53854,NA,NA,-100.691,NA,NA,NA,NA
62990,-1.39153,4.51226,-4.66537,NA,NA,NA,NA,NA,NA,-284.587
63009,-1.81673,3.56975,-4.67541,NA,-48.459,NA,NA,NA,NA,NA
63352,-3.68166,3.43301,-4.13362,-137.846,NA,NA,NA,NA,NA,NA
63500,-3.92185,2.58804,-3.86033,-198.447,NA,NA,NA,NA,NA,NA
63784,-4.90913,3.42945,-4.88738,NA,NA,NA,-248.831,NA,NA,NA
63807,-4.14745,3.7629,-4.75558,-160.181,NA,NA,NA,NA,NA,NA
64145,-3.82654,3.10893,-4.67613,NA,NA,NA,-142.098,NA,NA,NA
64277,-3.55444,4.20681,-4.70696,NA,-112.081,NA,NA,NA,NA,NA
64561,-3.04009,4.09671,-4.63082,NA,-81.551,NA,NA,NA,NA,NA
