id,x0,x1,x2,fitness2,fitness2.5,fitness1.5,fitness1,fitness0.5,fitness3,fitness3.5,fitness4,fitness4.5,fitness5,fitness0,fitness-0.5,fitness-1.5,fitness-3,fitness-5,fitness-4.5,fitness-4,fitness-3.5,fitness-2,fitness-1,fitness-2.5
2881,-0.41378,-1.20314,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3057,0.186725,-1.43468,-4.23187,NA,NA,NA,NA,NA,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3345,-0.336196,-1.39578,-1.19473,NA,NA,NA,NA,NA,NA,1294.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3578,-1.35929,-1.50869,-3.55603,NA,578.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3769,-2.75626,-1.86397,-3.41329,2.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3802,-2.51469,-2.286,-2.53023,NA,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4198,-1.05304,-4.17572,0.281813,NA,-17.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4320,-1.80923,-3.53806,0.409633,NA,NA,NA,NA,NA,-21.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4585,-2.7526,-4.2315,0.410385,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4603,-1.62813,-3.17251,1.0384,NA,NA,NA,NA,NA,NA,34.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4975,0.419903,-3.49069,1.17277,NA,40.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5042,-0.132154,-2.76543,1.7192,NA,NA,NA,NA,NA,3.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5227,1.55562,-4.08685,3.27462,NA,NA,3.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5418,1.05127,-2.64745,2.95731,NA,NA,NA,NA,NA,-1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5708,1.24061,-3.12533,3.6722,NA,NA,NA,NA,NA,NA,NA,-47.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5801,1.31712,-4.63305,3.61958,NA,NA,NA,NA,NA,NA,12.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6002,0.402375,-5,2.93366,24.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6287,0.906524,-5,2.43691,-13.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6411,1.48688,-5,4.89661,NA,102.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6696,3.2848,-4.94724,3.67384,NA,-10.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6923,2.73169,-3.99101,3.90468,NA,NA,NA,NA,NA,NA,NA,-82.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7056,1.6762,-5,5,NA,NA,NA,NA,NA,NA,158.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7292,2.49255,-5,3.72007,NA,NA,NA,NA,NA,NA,NA,37.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7567,2.31302,-4.62302,4.28629,NA,NA,NA,NA,NA,NA,NA,31.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7644,-1.22571,-4.91201,5,NA,NA,NA,NA,NA,NA,NA,643.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7936,-2.19719,-5,4.42826,74.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8041,-1.80558,-4.06035,1.74199,19.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8235,-0.980713,-4.02196,1.3166,NA,NA,NA,NA,NA,157.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8517,-0.221036,-3.80634,2.34344,NA,89.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8625,-0.498408,-1.58946,2.3224,NA,60.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8922,1.52214,-1.75132,3.01895,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9097,2.07796,-1.04763,3.74278,NA,11.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9202,2.7663,-3.13649,4.19219,NA,NA,NA,NA,NA,NA,NA,179.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9553,1.33859,-3.22469,5,NA,NA,NA,NA,NA,-68.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9677,2.70708,-2.59439,5,NA,NA,NA,NA,NA,NA,NA,NA,413.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9895,4.66914,-2.21071,5,NA,482.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001,4.57911,-1.62106,5,NA,NA,573.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10317,4.30193,-2.01222,5,NA,NA,NA,NA,NA,-749.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10522,5,-1.40794,4.55139,NA,NA,NA,NA,NA,690.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10715,5,-2.74078,5,NA,NA,NA,NA,NA,NA,39.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10824,4.50959,-2.12215,5,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11043,5,-2.46023,5,NA,889.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11220,4.81393,-0.442464,5,201.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11417,3.74771,-0.833,5,NA,NA,NA,NA,NA,1282.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11601,2.25778,-2.51765,5,NA,NA,NA,NA,NA,257.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11893,1.95999,-1.03808,4.09383,NA,-51.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12138,2.76143,-1.92557,4.94342,NA,NA,NA,NA,NA,430.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12292,3.37467,-1.25794,4.4409,NA,NA,NA,NA,NA,137.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12582,2.8595,1.08125,4.66559,NA,NA,NA,NA,NA,NA,NA,4.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12629,2.94556,-0.431928,2.61311,NA,NA,NA,NA,NA,NA,-2.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12940,1.71662,-1.20325,3.9668,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13102,2.55902,-2.21696,0.488931,NA,-1.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13243,2.12832,-4.13441,-0.795052,NA,NA,NA,NA,NA,84.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13494,3.23736,-5,-0.16228,NA,119.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13781,3.65109,-4.12282,0.171746,NA,-6.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13860,3.40676,-4.91872,1.91441,NA,NA,NA,NA,NA,50.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14177,1.84649,-4.22207,2.83837,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14259,2.73144,-3.71381,4.62648,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14587,3.00958,-2.94305,2.90861,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14776,2.63252,-4.80604,4.07533,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14824,3.27961,-5,5,NA,NA,NA,NA,NA,NA,NA,NA,589.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15155,3.35538,-5,5,NA,NA,NA,NA,NA,NA,201.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15312,2.24813,-4.62553,3.45258,NA,NA,NA,NA,NA,24.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15590,2.13058,-2.9031,4.17976,NA,NA,NA,NA,NA,NA,NA,16.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15646,1.28821,-2.36724,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15864,0.563298,-3.41536,4.8758,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16155,0.587447,-1.54251,4.05802,NA,NA,NA,NA,NA,NA,14.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16254,0.221889,-2.06693,4.02516,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16566,1.1604,-1.39907,4.31454,NA,NA,NA,NA,NA,NA,NA,NA,602.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16612,0.544994,-3.45904,3.47875,NA,NA,NA,NA,NA,NA,7.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16806,1.37308,-3.2953,0.802224,NA,NA,NA,3.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17108,2.83878,-3.73158,-0.000979448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17381,2.75095,-1.66287,0.883791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.202,NA,NA,NA,NA,NA,NA,NA,NA,NA
17425,3.6813,-2.01803,1.6342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.547,NA,NA,NA,NA,NA,NA,NA,NA
17744,2.41971,-1.43715,-0.141518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17963,0.801842,-3.05613,-2.59052,NA,NA,NA,NA,113.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18144,0.890038,-3.43132,-2.83787,NA,NA,NA,30.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18305,0.774559,-4.41579,-1.23628,NA,NA,NA,NA,222.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18442,1.09923,-5,-0.456392,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18704,3.32901,-4.95958,0.314741,103.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18880,1.9396,-4.17718,0.114663,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19176,2.89393,-4.42641,1.18057,-23.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19250,4.09159,-3.37319,1.02275,NA,NA,NA,NA,NA,5.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19486,5,-4.92717,2.1822,NA,174.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19746,5,-5,4.06075,NA,NA,NA,NA,NA,NA,NA,236.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19869,4.61879,-5,3.42059,NA,NA,NA,NA,NA,NA,NA,NA,222.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20074,3.5252,-4.17373,2.72159,NA,NA,NA,NA,NA,NA,NA,NA,-1.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260,2.90656,-3.80819,1.0636,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20420,1.99448,-3.50063,0.084279,NA,NA,NA,NA,NA,NA,NA,NA,-0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20752,1.76702,-3.78513,0.909987,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20957,1.96615,-2.48638,2.10778,NA,NA,NA,NA,NA,NA,NA,NA,40.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21086,3.0578,-2.9014,0.798314,NA,NA,NA,NA,NA,NA,NA,NA,42.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21267,1.74404,-2.77593,0.28342,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21582,0.159304,-1.67813,0.0215999,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21648,-1.79889,-1.45527,-0.341194,NA,NA,NA,NA,NA,NA,NA,NA,NA,874.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21807,-2.11595,-0.586287,1.82073,NA,NA,NA,NA,NA,5.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22096,-2.16247,-2.00723,2.23227,171.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22284,-2.93365,-0.541538,2.76299,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22451,-1.84363,-2.04912,4.16172,NA,203.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22777,-2.08566,-2.28604,3.93048,-1.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22901,-1.20456,-2.14517,3.9732,NA,NA,23.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23172,-0.313493,-2.73817,5,NA,NA,NA,NA,NA,-33.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23203,0.952677,-4.1156,5,NA,NA,NA,NA,NA,NA,NA,180.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23579,2.05923,-3.84977,5,NA,NA,NA,NA,NA,NA,NA,NA,-22.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23685,1.66206,-3.39355,4.94191,NA,NA,NA,NA,NA,NA,NA,NA,-92.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23929,2.59504,-4.10181,3.73588,NA,NA,NA,NA,NA,NA,NA,NA,29.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24013,2.38406,-2.46937,3.10157,NA,NA,NA,NA,NA,NA,NA,NA,82.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24365,2.80248,-2.92399,4.42624,NA,39.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24597,3.66548,-3.91965,4.98226,152.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24733,2.557,-3.83391,4.98,-1.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24853,3.82001,-5,5,NA,-263.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25191,4.01763,-3.75877,5,3.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25360,4.5073,-5,5,NA,15.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25561,3.60495,-4.75864,4.47389,3.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25783,4.54316,-5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25962,5,-5,4.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
26159,5,-5,4.14559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.123,NA,NA,NA,NA,NA,NA,NA
26280,4.69537,-4.29747,4.85628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.545,NA,NA,NA,NA,NA,NA
26441,5,-5,4.34129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.832,NA,NA,NA,NA,NA,NA
26653,5,-5,4.47146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.103,NA,NA,NA,NA,NA,NA
26892,3.81926,-2.09989,3.11761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.973,NA,NA,NA,NA,NA,NA
27068,3.41768,-0.958188,2.28346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.387,NA,NA,NA,NA,NA
27255,2.93089,-1.08529,2.30806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.264,NA,NA,NA,NA,NA,NA
27403,4.78953,-1.25914,2.90131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.754,NA,NA,NA,NA,NA,NA
27694,4.02047,-1.87644,2.2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.689,NA,NA,NA,NA,NA
27966,3.56453,-1.64399,0.599711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.815,NA,NA,NA,NA
28012,4.49366,-1.74844,1.67029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.255,NA,NA,NA,NA,NA
28211,3.50181,-1.64522,1.9397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.145,NA,NA,NA,NA,NA,NA
28474,3.45269,-0.497875,1.51462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.431,NA,NA,NA
28795,3.48753,-0.727949,1.7053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.567,NA,NA
28920,3.34998,1.21149,0.202332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.941,NA,NA,NA,NA,NA,NA,NA,NA
29076,4.6621,0.515377,1.32393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.671,NA,NA
29388,4.53918,0.823063,0.641283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.532,NA
29549,4.92954,1.01583,0.0659999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.794,NA,NA
29785,5,-0.358268,-0.269017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.895,NA,NA,NA,NA,NA,NA,NA
29851,2.78011,-1.26886,-0.275918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.052,NA,NA
30141,3.53974,-2.18804,0.0492212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,NA,NA,NA
30378,4.91147,-0.799388,-0.717119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5037.871,NA,NA,NA,NA
30443,4.72674,-2.18208,-0.742413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349.611,NA,NA,NA,NA
30667,4.60704,-2.08081,-1.37337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.655,NA,NA,NA
30953,5,-0.658316,-1.8819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1144.468,NA,NA,NA
31131,5,-1.46326,-1.57285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.007,NA,NA,NA,NA,NA,NA,NA
31342,5,-1.21745,-1.92624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.471,NA,NA,NA,NA,NA
31449,4.89542,-1.07818,-1.09356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.102,NA,NA,NA,NA
31670,4.96659,-2.75057,-0.422009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.367,NA,NA,NA
31955,4.26937,-2.84632,-0.541023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.251,NA,NA,NA,NA
32145,3.99954,-3.55696,-1.24176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.723
32317,4.23763,-5,-0.890553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.334
32493,5,-4.95161,-1.17813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.1
32638,4.53248,-5,-2.41555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.634,NA,NA,NA,NA,NA,NA,NA,NA,NA
32970,4.23714,-5,-1.70776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
33023,4.10985,-4.52039,-2.4421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
