id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness7,fitness8.5,fitness9.5,fitness9,fitness6,fitness4.5
41078,7.57298,7.69151,8.19364,NA,0.95,NA,NA,NA,NA,NA,NA,NA
41247,8.14621,7.81253,9.21644,NA,NA,NA,0.552,NA,NA,NA,NA,NA
41557,8.45937,7.99563,8.1501,NA,NA,NA,0.765,NA,NA,NA,NA,NA
41678,8.19903,8.02133,7.30563,NA,NA,NA,0.791,NA,NA,NA,NA,NA
41929,7.33114,7.78985,7.57247,NA,NA,0.74,NA,NA,NA,NA,NA,NA
42185,7.406,7.11359,6.62272,NA,0.634,NA,NA,NA,NA,NA,NA,NA
42394,7.27333,8.28939,6.53973,NA,0.625,NA,NA,NA,NA,NA,NA,NA
42436,7.44457,8.39332,6.28913,0.499,NA,NA,NA,NA,NA,NA,NA,NA
42736,7.44203,7.22857,7.00792,NA,0.83,NA,NA,NA,NA,NA,NA,NA
42920,7.18584,7.57505,8.18201,NA,0.893,NA,NA,NA,NA,NA,NA,NA
43196,7.83714,7.92669,8.04648,NA,NA,NA,0.909,NA,NA,NA,NA,NA
43278,7.57765,6.76538,7.22422,NA,NA,NA,0.66,NA,NA,NA,NA,NA
43571,8.45962,7.48632,7.57329,0.873,NA,NA,NA,NA,NA,NA,NA,NA
43733,8.30707,6.97601,8.36902,NA,NA,NA,NA,0.665,NA,NA,NA,NA
43812,7.18556,8.28073,7.57442,NA,NA,NA,0.771,NA,NA,NA,NA,NA
44169,7.25267,7.9349,6.92035,0.791,NA,NA,NA,NA,NA,NA,NA,NA
44271,7.85862,8.3656,7.37734,0.857,NA,NA,NA,NA,NA,NA,NA,NA
44526,8.17681,6.86954,7.79204,NA,NA,NA,NA,NA,0.487,NA,NA,NA
44705,7.65367,4.56134,7.73152,NA,0.87,NA,NA,NA,NA,NA,NA,NA
44856,6.98901,7.59762,8.12407,0.841,NA,NA,NA,NA,NA,NA,NA,NA
45135,7.6778,7.53598,8.01927,0.971,NA,NA,NA,NA,NA,NA,NA,NA
45334,7.55278,7.16799,8.70904,0.766,NA,NA,NA,NA,NA,NA,NA,NA
45487,8.36552,6.55371,7.72149,NA,0.658,NA,NA,NA,NA,NA,NA,NA
45679,6.14561,7.63981,8.57283,NA,0.441,NA,NA,NA,NA,NA,NA,NA
45878,6.84708,7.76476,7.78641,0.833,NA,NA,NA,NA,NA,NA,NA,NA
46196,6.98469,7.98763,7.36424,NA,0.81,NA,NA,NA,NA,NA,NA,NA
46209,7.08524,8.38597,8.25845,NA,NA,NA,0.646,NA,NA,NA,NA,NA
46451,7.12901,8.16767,8.16478,NA,0.838,NA,NA,NA,NA,NA,NA,NA
46700,8.27521,7.76228,8.7345,NA,0.73,NA,NA,NA,NA,NA,NA,NA
46879,7.57189,7.91657,8.31503,NA,0.918,NA,NA,NA,NA,NA,NA,NA
47140,7.43155,8.53947,8.65114,NA,0.711,NA,NA,NA,NA,NA,NA,NA
47210,8.03206,8.35469,7.25982,NA,0.851,NA,NA,NA,NA,NA,NA,NA
47452,7.77585,7.89328,6.57721,NA,0.73,NA,NA,NA,NA,NA,NA,NA
47697,7.54609,7.39547,7.36678,0.947,NA,NA,NA,NA,NA,NA,NA,NA
47838,7.82986,7.06009,6.30374,0.55,NA,NA,NA,NA,NA,NA,NA,NA
48192,7.39676,7.02516,7.01168,0.754,NA,NA,NA,NA,NA,NA,NA,NA
48400,7.44069,8.35737,6.71661,0.704,NA,NA,NA,NA,NA,NA,NA,NA
48537,7.98244,7.57473,7.29483,NA,NA,NA,0.859,NA,NA,NA,NA,NA
48617,7.83696,7.27315,8.311,NA,NA,NA,0.759,NA,NA,NA,NA,NA
48809,8.34207,6.93887,7.63619,NA,NA,NA,0.682,NA,NA,NA,NA,NA
49109,8.09705,7.78033,7.57423,0.956,NA,NA,NA,NA,NA,NA,NA,NA
49357,7.52413,8.21444,8.03275,0.868,NA,NA,NA,NA,NA,NA,NA,NA
49501,7.54873,7.45872,8.54894,NA,NA,NA,NA,0.705,NA,NA,NA,NA
49641,7.64115,7.29098,8.09252,NA,0.918,NA,NA,NA,NA,NA,NA,NA
49980,7.64971,8.3408,7.25558,NA,0.881,NA,NA,NA,NA,NA,NA,NA
50132,7.47572,8.42614,6.75207,0.706,NA,NA,NA,NA,NA,NA,NA,NA
50268,7.46852,7.97597,6.62134,0.734,NA,NA,NA,NA,NA,NA,NA,NA
50430,7.42024,7.77639,7.28903,NA,0.942,NA,NA,NA,NA,NA,NA,NA
50601,8.20876,7.91242,7.05086,NA,NA,0.581,NA,NA,NA,NA,NA,NA
50910,8.13321,8.18189,6.77749,0.734,NA,NA,NA,NA,NA,NA,NA,NA
51089,8.0834,7.98264,6.39223,NA,NA,NA,NA,0.464,NA,NA,NA,NA
51230,8.78654,8.41199,7.4002,0.696,NA,NA,NA,NA,NA,NA,NA,NA
51496,8.347,8.12795,7.8409,NA,NA,NA,0.725,NA,NA,NA,NA,NA
51630,7.74063,7.90822,8.67184,NA,NA,0.561,NA,NA,NA,NA,NA,NA
51882,7.70178,8.22622,9.10096,NA,NA,0.453,NA,NA,NA,NA,NA,NA
52067,6.33768,8.97186,8.9774,NA,NA,NA,0.119,NA,NA,NA,NA,NA
52279,7.25385,7.65318,7.6826,NA,0.955,NA,NA,NA,NA,NA,NA,NA
52473,7.88793,7.62655,7.34072,NA,NA,NA,NA,0.794,NA,NA,NA,NA
52659,7.4407,7.29471,7.95671,0.917,NA,NA,NA,NA,NA,NA,NA,NA
52824,8.26536,7.12263,7.9776,0.826,NA,NA,NA,NA,NA,NA,NA,NA
53173,7.49003,7.4708,8.9471,NA,NA,NA,NA,0.626,NA,NA,NA,NA
53216,6.76227,7.64154,7.98591,0.762,NA,NA,NA,NA,NA,NA,NA,NA
53518,7.1131,8.76168,7.04587,0.65,NA,NA,NA,NA,NA,NA,NA,NA
53616,7.70371,7.83668,7.58781,NA,0.993,NA,NA,NA,NA,NA,NA,NA
53944,7.90414,8.42282,7.49013,NA,0.858,NA,NA,NA,NA,NA,NA,NA
54175,8.40811,7.84489,7.91935,NA,0.87,NA,NA,NA,NA,NA,NA,NA
54333,7.89767,7.40261,7.834,NA,NA,NA,NA,0.82,NA,NA,NA,NA
54531,8.00682,7.38101,7.77072,NA,0.958,NA,NA,NA,NA,NA,NA,NA
54610,7.17806,8.22932,7.05476,NA,NA,NA,0.716,NA,NA,NA,NA,NA
54853,7.64349,7.92678,7.67117,NA,NA,NA,0.895,NA,NA,NA,NA,NA
55164,8.04218,6.85372,7.92886,NA,0.814,NA,NA,NA,NA,NA,NA,NA
55228,7.48566,7.92556,7.33816,0.928,NA,NA,NA,NA,NA,NA,NA,NA
55550,8.69377,7.6328,7.70035,NA,0.814,NA,NA,NA,NA,NA,NA,NA
55791,8.12406,8.9351,7.1151,0.628,NA,NA,NA,NA,NA,NA,NA,NA
55924,7.87791,8.09906,7.74406,NA,0.957,NA,NA,NA,NA,NA,NA,NA
56017,7.92351,7.47547,7.6443,0.951,NA,NA,NA,NA,NA,NA,NA,NA
56287,8.21597,7.21904,7.49526,NA,0.881,NA,NA,NA,NA,NA,NA,NA
56467,7.12839,7.85762,8.37033,0.814,NA,NA,NA,NA,NA,NA,NA,NA
56615,7.83285,8.23731,7.49923,NA,NA,NA,0.868,NA,NA,NA,NA,NA
56836,7.85296,8.01116,6.6934,NA,NA,NA,NA,0.619,NA,NA,NA,NA
57178,7.16,8.23618,7.34119,NA,NA,NA,0.737,NA,NA,NA,NA,NA
57395,7.12281,8.73008,7.27113,NA,0.681,NA,NA,NA,NA,NA,NA,NA
57478,7.49109,8.68487,7.54851,NA,NA,NA,0.769,NA,NA,NA,NA,NA
57689,8.61104,7.91226,6.83205,NA,NA,NA,0.614,NA,NA,NA,NA,NA
57915,7.60337,8.817,8.35453,NA,NA,NA,0.649,NA,NA,NA,NA,NA
58150,7.07467,8.63192,8.95983,0.525,NA,NA,NA,NA,NA,NA,NA,NA
58228,7.49583,7.87918,8.18426,NA,NA,NA,0.895,NA,NA,NA,NA,NA
58565,7.92372,7.63732,7.83394,0.975,NA,NA,NA,NA,NA,NA,NA,NA
58726,7.77585,7.26573,6.94381,0.822,NA,NA,NA,NA,NA,NA,NA,NA
58978,7.17691,6.8524,7.48695,NA,NA,NA,NA,0.715,NA,NA,NA,NA
59194,7.08613,7.80883,7.94591,NA,0.883,NA,NA,NA,NA,NA,NA,NA
59383,7.57663,8.53293,7.16958,0.79,NA,NA,NA,NA,NA,NA,NA,NA
59556,7.5389,7.60131,7.30168,NA,NA,NA,0.853,NA,NA,NA,NA,NA
59775,8.15287,7.70905,8.38295,0.85,NA,NA,NA,NA,NA,NA,NA,NA
59957,7.50417,7.6881,8.82888,NA,0.781,NA,NA,NA,NA,NA,NA,NA
60019,6.93536,8.35802,8.19084,NA,0.748,NA,NA,NA,NA,NA,NA,NA
