id,x0,x1,x2,fitness-1,fitness0.5,fitness2.5,fitness3.5,fitness3,fitness4,fitness5,fitness4.5,fitness1.5,fitness2,fitness1,fitness-0.5,fitness-2,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-1.5,fitness0,fitness-2.5,fitness-3
6873,5,5,4.60619,NA,NA,NA,1616.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,5,5,4.01595,NA,NA,NA,128.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7205,5,5,3.90334,NA,NA,NA,NA,NA,NA,NA,1263.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7506,5,4.71943,5,NA,NA,NA,NA,NA,3785.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7627,4.82762,4.72186,5,NA,NA,NA,NA,NA,6675.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7951,5,3.3914,4.63166,NA,NA,NA,NA,NA,NA,1588.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8133,5,4.08304,5,NA,NA,NA,NA,NA,NA,2503.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8331,4.40749,3.92456,5,NA,NA,NA,NA,NA,NA,670.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8410,3.6586,4.95894,4.47671,NA,NA,NA,NA,NA,NA,448.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8775,2.76431,5,4.43992,NA,NA,NA,NA,NA,NA,744.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8962,2.29792,5,4.11638,NA,NA,NA,NA,NA,601.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9114,3.78093,5,4.28641,NA,NA,NA,NA,NA,763.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9330,4.11485,5,5,NA,NA,NA,NA,NA,120.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9503,4.93228,5,4.19885,NA,NA,NA,NA,NA,1787.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9798,4.9248,3.80633,4.22056,NA,NA,NA,NA,NA,NA,2390.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9979,5,5,4.13141,NA,NA,NA,NA,NA,1369.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10152,4.56532,4.16868,4.65687,NA,NA,NA,NA,253.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10264,5,5,5,NA,NA,NA,NA,2348.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10595,5,5,4.28919,NA,NA,NA,NA,NA,NA,NA,1592.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10645,3.51645,4.56047,4.88525,NA,NA,NA,NA,NA,NA,NA,102.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10804,3.48501,5,5,NA,NA,NA,NA,NA,NA,956.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11145,2.3818,4.92694,5,NA,NA,NA,NA,NA,NA,2870.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11289,2.13372,5,5,NA,NA,NA,NA,NA,NA,1349.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11462,2.25492,5,3.71206,NA,NA,NA,NA,NA,NA,865.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11781,3.83231,4.4302,3.63211,NA,NA,NA,NA,NA,NA,233.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11819,3.2391,4.8283,5,NA,NA,NA,NA,NA,NA,NA,4013.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12103,3.4075,5,5,NA,NA,NA,NA,NA,NA,2297.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12367,4.50774,5,4.79039,NA,NA,NA,NA,NA,NA,202.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12462,4.76891,4.73174,4.21694,NA,NA,NA,NA,NA,NA,6840.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12791,3.88001,4.26563,5,NA,NA,NA,NA,NA,NA,1515.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12871,3.64431,3.98235,4.94217,NA,NA,NA,NA,NA,NA,NA,-28.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13134,2.05831,4.54557,4.81934,NA,NA,NA,NA,NA,NA,50.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13214,-0.647014,4.72297,5,NA,NA,NA,NA,NA,NA,10226.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13490,-0.912377,5,5,NA,NA,NA,NA,NA,NA,11144.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13658,-0.846657,5,5,NA,NA,NA,NA,NA,NA,NA,13768.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13996,-0.703603,5,4.69763,NA,NA,NA,NA,NA,4082.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14020,-0.790057,3.88549,4.67849,NA,NA,NA,NA,NA,NA,2965.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14394,-0.355467,4.12652,4.70525,NA,NA,NA,NA,NA,NA,1869.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14492,-0.0763722,4.30308,5,NA,NA,NA,NA,NA,NA,3882.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14632,-0.428525,4.47961,5,NA,NA,NA,NA,NA,NA,NA,99.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14830,-2.21538,4.71801,5,NA,NA,NA,NA,NA,NA,2169.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15197,-2.81424,5,5,NA,NA,NA,NA,NA,NA,1265.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15388,-3.70955,4.77097,5,NA,NA,NA,NA,NA,241.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15492,-3.97312,5,5,NA,NA,NA,NA,NA,NA,2627.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15750,-5,3.71316,5,NA,NA,NA,NA,NA,NA,NA,-78.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15978,-4.96821,4.23428,4.59817,NA,NA,NA,NA,262.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16116,-3.98606,4.24132,4.8134,NA,NA,NA,NA,NA,NA,NA,1364.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16382,-5,5,3.81125,NA,NA,NA,NA,NA,NA,917.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16581,-5,5,4.63081,NA,NA,NA,NA,NA,NA,1604.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16736,-5,5,4.27064,NA,NA,NA,NA,NA,NA,NA,697.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16868,-5,5,4.68171,NA,NA,NA,NA,NA,NA,2248.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17106,-4.20544,5,5,NA,NA,NA,NA,NA,NA,500.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17238,-2.96743,5,4.75123,NA,NA,NA,NA,NA,NA,3664.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17545,-4.36224,4.91367,3.23154,NA,NA,NA,NA,NA,NA,1089.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17638,-4.89555,5,5,NA,NA,NA,NA,NA,NA,2386.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17842,-4.20051,5,4.42973,NA,NA,NA,NA,NA,27.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18012,-4.50641,5,3.44687,NA,NA,NA,NA,NA,NA,462.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18359,-5,5,3.9952,NA,NA,NA,NA,NA,NA,NA,10.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18423,-5,5,4.51311,NA,NA,NA,NA,NA,NA,22.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18787,-5,5,5,NA,NA,NA,NA,NA,NA,2569.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18925,-5,5,5,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19314,-4.39179,5,5,NA,NA,NA,NA,NA,NA,NA,1259.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19517,-5,5,5,NA,NA,NA,NA,NA,899.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19797,-5,5,5,NA,NA,NA,NA,NA,880.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19886,-5,4.79071,5,NA,NA,NA,NA,NA,NA,3802.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20130,-3.92892,4.99345,5,NA,NA,NA,NA,NA,NA,NA,339.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20269,-2.39373,4.06152,5,NA,NA,NA,NA,NA,NA,492.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20496,-1.97885,2.67003,4.81809,NA,NA,NA,NA,NA,NA,1393.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20754,-0.962294,1.76615,5,NA,NA,NA,NA,NA,NA,2503.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20934,-0.840773,0.842945,5,NA,NA,NA,NA,NA,NA,NA,1889.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21119,-0.865209,-0.547305,5,NA,NA,NA,NA,NA,NA,NA,4448.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21285,-0.209846,-0.626636,5,NA,NA,NA,NA,NA,NA,NA,6889.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21441,-0.591467,0.191665,5,NA,NA,NA,NA,NA,763.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21726,-0.778372,-1.59756,5,NA,NA,NA,NA,NA,NA,NA,6245.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21813,-0.783639,-2.76721,4.90271,NA,NA,NA,NA,NA,NA,NA,343.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22105,-0.32497,-4.14875,5,NA,NA,NA,NA,NA,NA,NA,772.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22235,-0.449819,-4.72144,4.27544,NA,NA,NA,NA,NA,-0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22516,-1.91376,-3.48982,5,NA,NA,NA,NA,NA,NA,1265.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22745,-2.20673,-3.17041,4.06467,NA,NA,NA,NA,NA,NA,109.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22974,-1.63929,-2.21992,5,NA,NA,NA,NA,NA,NA,1370.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23069,-0.322535,-2.75174,5,NA,NA,NA,NA,NA,NA,10.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23250,0.216942,-1.55635,5,NA,NA,NA,NA,NA,NA,NA,643.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23403,0.318052,-3.48957,5,NA,NA,NA,NA,NA,NA,NA,220.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23678,1.39474,-2.44845,5,NA,NA,NA,NA,NA,NA,789.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23913,1.47733,-1.3339,5,NA,NA,NA,NA,NA,NA,1669.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24022,0.80342,-0.675892,5,NA,NA,NA,NA,NA,NA,4165.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24298,-1.46836,-1.08048,5,NA,NA,NA,NA,NA,NA,3911.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24435,-0.846009,-1.85447,3.50784,NA,NA,NA,NA,NA,NA,262.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24692,-0.31496,-0.887246,4.32049,NA,NA,NA,NA,812.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24869,0.173232,0.0267571,4.65834,NA,NA,81.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25166,-0.90376,-1.06429,4.99024,NA,NA,NA,NA,NA,NA,NA,NA,1432.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25268,-2.06613,-0.217298,5,NA,NA,NA,NA,NA,NA,NA,NA,557.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25525,-1.62342,-0.907724,4.74226,NA,NA,NA,NA,NA,NA,NA,NA,NA,2759.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25738,-1.26858,-1.25653,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1837.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25949,-1.19815,0.000165364,5,NA,NA,594.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26157,-0.523819,0.90398,5,NA,NA,NA,NA,235.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26342,-0.148811,2.63862,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26471,-0.491576,1.74099,4.5216,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26680,0.728043,2.14733,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26988,0.13753,3.78671,4.65766,NA,22.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27112,-0.0535942,3.57298,5,NA,NA,143.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27351,0.434538,3.92933,4.7689,NA,NA,NA,NA,NA,201.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27472,-0.604615,3.79912,5,NA,NA,NA,NA,NA,NA,2853.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27742,-1.31871,4.73348,4.16292,NA,NA,NA,NA,NA,NA,5472.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27836,-1.7503,5,5,NA,NA,NA,NA,NA,NA,NA,477.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28152,-1.76081,5,4.80845,NA,NA,NA,178.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28381,-1.4261,5,3.88512,NA,NA,NA,NA,NA,NA,NA,1878.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28434,-0.776439,4.8634,5,NA,NA,NA,NA,NA,NA,23037.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28597,-0.598324,5,5,NA,NA,NA,NA,NA,NA,7503.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28852,-0.906483,5,5,NA,NA,NA,NA,NA,NA,NA,3801.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29078,0.282146,5,4.70873,NA,NA,NA,NA,NA,NA,3229.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29311,0.128937,5,5,NA,NA,NA,NA,NA,NA,137.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29582,2.05658,4.89846,4.64322,NA,NA,NA,NA,NA,NA,144.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29663,4.45656,5,5,NA,NA,NA,NA,NA,NA,2178.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29992,3.37824,5,5,NA,NA,NA,NA,NA,NA,2676.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30173,4.70738,3.69883,4.2436,NA,NA,NA,NA,NA,NA,NA,1278.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30222,5,3.81649,3.17043,NA,NA,NA,NA,NA,NA,NA,871.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30424,4.61617,3.24286,3.72336,NA,NA,NA,NA,NA,NA,NA,656.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30789,5,2.73239,3.28757,NA,NA,NA,NA,NA,NA,831.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30890,5,2.61344,4.58633,NA,NA,NA,NA,NA,NA,NA,238.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31043,5,2.85621,4.41475,NA,NA,NA,NA,NA,NA,884.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31332,5,2.40057,4.88021,NA,NA,NA,NA,NA,NA,NA,2737.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31516,4.79176,2.47325,4.99193,NA,NA,NA,NA,NA,NA,NA,1436.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31728,3.89124,4.27076,5,NA,NA,NA,NA,NA,NA,1400.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31925,3.88135,4.06271,4.70329,NA,NA,NA,NA,NA,NA,517.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32122,4.40152,5,4.49802,NA,NA,NA,NA,NA,NA,NA,153.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32394,5,5,4.59591,NA,NA,NA,NA,NA,NA,NA,2442.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32425,4.22956,5,5,NA,NA,NA,NA,NA,NA,5340.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32789,5,5,4.73364,NA,NA,NA,NA,1371.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32831,5,5,4.24784,NA,NA,NA,NA,NA,NA,NA,107.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33026,5,5,4.37401,NA,NA,NA,NA,NA,NA,5476.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33374,5,3.84688,4.01135,NA,NA,NA,NA,NA,NA,181.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33526,4.33104,4.77758,4.81762,NA,NA,NA,NA,NA,NA,9369.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33652,4.30665,4.70339,4.50748,NA,NA,NA,NA,NA,NA,NA,52.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33825,4.90499,5,5,NA,NA,NA,NA,NA,6873.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34100,4.29603,5,4.89522,NA,NA,NA,NA,NA,NA,NA,7111.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34214,3.87804,4.96704,4.46641,NA,NA,NA,NA,NA,NA,570.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
