id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness10,fitness9.5,fitness6,fitness5,fitness5.5,fitness10.5,fitness4.5,fitness4,fitness3.5
3091,8.07533,8.47107,8.3291,NA,NA,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3248,8.18748,8.48661,8.43782,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3536,8.52866,7.89084,8.34352,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3736,8.13327,6.51435,7.78988,NA,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3932,8.73443,7.03461,8.62654,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4135,7.94297,7.80267,8.0112,NA,NA,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4312,7.64333,7.37251,7.62754,NA,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4579,8.31155,7.97108,6.87887,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4696,7.34938,7.62575,5.49684,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4875,7.86834,7.53519,6.95621,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5157,6.77027,7.48973,7.54577,NA,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5343,6.2938,7.58504,7.10607,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5413,6.08024,8.03157,8.17234,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5776,6.30292,8.46708,7.43526,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5919,7.38717,7.83563,6.92397,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6011,8.42699,6.86826,7.6245,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6242,9.08828,6.9323,7.40226,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6551,7.38605,7.11895,8.59969,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6724,9.16837,7.08378,7.91295,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6809,7.15435,7.1554,7.3391,NA,NA,NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7139,7.0797,7.5731,6.88994,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7306,8.99917,8.24947,7.9698,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7537,8.10798,7.55546,8.42531,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7700,8.42676,7.29905,8.73616,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7933,8.28187,8.20998,8.31406,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8057,8.47382,8.30655,8.28983,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8302,8.34795,8.47088,7.81368,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA
8488,8.81703,8.06473,7.04094,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8653,7.71672,7.12954,8.48608,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA
8805,7.53039,7.98733,8.34696,NA,NA,NA,NA,NA,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA
9197,8.12181,7.47108,7.2517,NA,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9394,7.4909,7.85581,6.99173,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
9563,7.72593,7.16635,6.88568,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9676,7.58353,7.94232,6.83378,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
9943,7.88227,7.49819,6.9303,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133,8.10653,8.68181,7.24601,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10239,7.6547,8.39818,7.66276,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10593,8.01663,9.24099,7.40731,NA,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10765,7.33838,9.40313,6.93174,NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10802,7.48385,8.48965,6.19288,NA,NA,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11108,8.52859,7.58022,7.03603,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11279,8.88663,7.10042,7.69681,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11420,7.58608,7.78491,7.17334,NA,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11601,9.05556,8.71792,8.69581,NA,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11893,8.88229,8.19504,8.54399,NA,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12122,8.21294,8.2225,7.32059,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12242,8.26425,8.39392,6.51011,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12543,9.01176,8.27109,5.60551,NA,NA,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12688,8.0813,8.76829,6.81508,NA,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12830,7.02668,8.21566,6.67968,NA,NA,NA,NA,NA,NA,NA,NA,0.259,NA,NA,NA,NA,NA,NA
13083,7.29227,7.49537,6.0876,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13230,7.3499,6.20692,6.95842,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13546,7.96048,6.89687,7.35032,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13713,7.60616,7.33548,6.23524,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13816,8.64005,7.55681,8.23485,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14058,7.6809,7.52628,8.49829,NA,NA,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14326,8.10938,8.20793,7.501,NA,NA,NA,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14437,7.43909,7.46503,6.90563,NA,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14759,6.75203,5.96826,6.85014,NA,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14951,6.66377,4.94981,7.80703,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15036,7.14045,6.39679,7.9889,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15297,7.77609,7.77881,9.76999,NA,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15452,8.57238,7.32945,7.07109,NA,NA,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15793,9.26044,7.13833,7.17973,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15833,7.75563,7.93026,7.61673,NA,NA,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16163,6.56584,8.11028,8.45898,NA,NA,NA,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16348,8.00233,7.50839,7.75673,NA,NA,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16522,8.36795,8.86853,7.65998,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16627,8.37991,8.28685,6.87203,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16856,8.04918,7.98309,7.19653,NA,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17037,8.04065,7.49866,6.69779,NA,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17365,7.22242,8.48794,7.35883,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17564,7.20325,8.80341,7.5618,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17762,8.11703,7.77216,7.05474,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17862,7.14849,8.70971,7.83732,NA,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18110,7.24777,9.02209,6.7086,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18322,7.51546,9.30732,8.04773,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18521,8.03184,8.83192,8.05235,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18735,8.05371,8.72773,8.87097,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18973,8.97091,7.50139,8.22745,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19055,7.30735,8.00476,8.22791,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19268,7.12578,7.21626,7.01727,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA
19494,8.24753,6.46384,7.46257,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19605,6.50925,7.19403,7.07635,NA,NA,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19941,8.49169,7.70301,7.15323,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20002,7.67805,8.59253,6.63334,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20325,7.29673,8.23123,7.4475,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA
20411,7.17609,8.74249,7.96525,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
20790,4.68244,8.20529,8.17939,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20919,6.14238,6.85438,7.63587,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21065,6.97917,7.67613,7.8474,NA,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21398,5.80498,6.98673,7.67109,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21566,7.36235,8.08864,7.89603,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21678,7.95426,8.8497,6.94875,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21813,7.30102,8.57118,7.20409,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22051,7.55593,8.27712,7.82072,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22260,8.11851,8.87181,6.83116,NA,NA,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22517,8.10222,9.4036,7.43928,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22732,8.51579,7.59484,7.4775,NA,NA,NA,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA,NA,NA
22952,7.48234,7.66022,7.44647,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA
23109,8.58692,7.06682,7.80881,NA,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23268,8.17283,7.59708,7.57831,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23465,8.47071,6.85583,6.51102,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23647,8.8708,7.43627,7.35626,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23901,9.10438,7.02475,7.74267,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24088,8.29822,7.95382,6.62667,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24372,8.60816,7.81319,8.49104,NA,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24445,8.37751,7.25524,8.33119,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24768,8.78017,7.36268,8.21123,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24910,8.15474,7.44719,8.07655,NA,NA,NA,NA,NA,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA
25167,7.83433,6.78175,7.44375,NA,NA,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA
25289,7.26831,5.91219,7.8653,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25576,8.48663,4.39559,7.44579,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25633,8.0299,5.81548,7.3315,NA,NA,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25882,7.62619,7.30935,7.35252,NA,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26181,7.26878,9.89277,8.22978,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26269,7.13001,8.29286,8.58558,NA,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26571,8.50218,9.09711,6.78681,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26705,9.21439,9.00541,8.05298,NA,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26978,8.88458,8.61429,8.15614,NA,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27172,8.12354,7.19514,7.35859,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27302,7.19049,7.11165,6.89024,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27517,7.56706,7.12093,6.49024,NA,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27621,7.71682,7.07804,7.63736,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27833,6.62179,9.25505,7.76364,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28092,7.05634,9.01444,8.36857,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28291,5.58553,9.72009,8.46918,NA,NA,-0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28463,8.09126,8.71452,9.64378,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28659,7.76558,8.65526,8.34359,NA,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA
28978,8.0283,8.87557,8.4213,NA,NA,NA,NA,NA,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA
29186,8.72637,8.68086,7.48375,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29227,7.90406,8.02168,6.72302,NA,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29582,8.23812,6.47238,7.20071,NA,NA,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29683,7.42039,6.78707,7.66198,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29823,7.41877,7.22048,8.11643,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
30012,7.599,8.63784,8.84453,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30322,9.00902,7.25971,7.83161,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30468,8.43833,8.716,7.24902,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30706,8.0391,6.82862,7.56105,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30966,8.11271,6.85457,7.98449,NA,NA,NA,NA,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA,NA
31076,7.22524,6.52776,8.05652,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31265,7.6865,7.08645,7.77569,NA,NA,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31462,7.44348,7.15482,7.8732,NA,NA,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31781,8.65917,7.73172,8.28799,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31823,7.27937,6.74031,8.44554,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32176,7.16924,6.23893,8.60554,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32290,7.6545,6.08314,9.31713,NA,NA,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32483,6.61702,5.09029,7.84907,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32702,7.15805,7.19927,8.50263,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32989,7.52018,7.15677,7.76214,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33105,8.08904,7.99296,7.89895,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33247,7.38176,7.07737,6.86202,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33562,7.23999,8.83873,6.83182,NA,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33693,8.17682,8.22688,7.07132,NA,NA,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
33871,7.73135,8.10961,7.85121,NA,NA,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34156,8.00203,7.55947,7.71796,NA,NA,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34317,7.56982,7.99305,7.8832,NA,NA,0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34553,8.35566,7.7362,7.80696,NA,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34687,7.70471,7.49311,8.39301,NA,NA,NA,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA
34803,7.44979,7.7922,7.35305,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35135,8.48554,7.28192,8.91787,NA,NA,NA,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35204,8.32611,7.92062,8.149,NA,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA
35571,7.67927,7.02055,8.30759,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35622,7.28849,7.58199,7.39737,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35843,8.46454,7.04422,7.7851,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36026,9.26779,7.23123,7.60043,NA,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36360,7.62578,7.39204,6.96645,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36575,6.85676,8.61197,6.98306,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36793,7.04613,8.34453,7.63474,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36859,6.58639,8.22647,7.77767,NA,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37049,6.39242,8.57006,8.48122,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37261,6.90182,8.29858,8.18381,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37526,7.16685,8.25041,7.25098,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37780,7.33484,7.32316,8.42721,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37939,7.39644,7.93731,7.65913,NA,NA,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38064,8.37833,7.97668,8.29076,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38396,7.76225,8.22017,7.34852,NA,NA,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38577,6.92595,6.58867,8.39558,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38790,7.782,8.14626,8.0011,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38913,7.06182,8.52671,8.92697,NA,NA,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39033,7.14596,8.43063,8.59123,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39232,8.21658,8.51196,8.14017,NA,NA,NA,NA,NA,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA
39500,8.93094,8.28077,8.22913,NA,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA
39722,8.75622,8.43365,8.10137,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39811,6.57857,8.31654,7.32846,NA,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40164,8.15371,7.7937,7.35527,NA,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40201,8.15227,7.48182,7.96569,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40545,6.80965,7.81058,6.82915,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40704,7.40777,7.79971,6.03037,NA,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40819,7.40427,7.90791,7.139,NA,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41165,7.26307,8.59185,7.79618,NA,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41218,6.56461,9.00721,7.99747,NA,NA,NA,NA,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,6.92272,8.94825,7.86955,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA
41614,6.32721,8.28409,7.18295,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41837,5.71419,7.00959,7.57041,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42115,6.44448,7.3342,7.90347,NA,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42294,8.52983,7.70542,7.88044,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42516,8.81044,7.7843,8.5111,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42711,7.82526,9.17945,7.23001,NA,NA,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42924,7.07683,9.28777,7.26919,NA,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
