id,x0,x1,x2,fitness-3.5,fitness-3,fitness-4.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness0,fitness0.5,fitness-0.5,fitness-1,fitness-5
7030,0.977828,0.431132,-2.99433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-241.261,NA
7324,1.36312,1.46017,-3.09356,NA,NA,NA,NA,NA,-56.026,NA,NA,NA,NA,NA,NA
7551,0.0520604,1.8206,-4.06698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-143.606,NA
7794,0.550019,1.05534,-4.04811,NA,NA,NA,NA,NA,NA,NA,NA,NA,-205.208,NA,NA
7957,1.59627,0.791077,-3.89535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-126.979,NA
8153,2.55322,1.19471,-5,NA,NA,NA,NA,NA,NA,NA,-163.354,NA,NA,NA,NA
8274,1.96211,2.06863,-5,NA,NA,NA,NA,NA,NA,-33.55,NA,NA,NA,NA,NA
8523,2.77438,2.73682,-5,NA,NA,NA,NA,-58.61,NA,NA,NA,NA,NA,NA,NA
8717,3.21511,2.2394,-5,NA,NA,NA,NA,-63.898,NA,NA,NA,NA,NA,NA,NA
8954,2.42202,1.7558,-3.68306,NA,NA,NA,NA,-24.835,NA,NA,NA,NA,NA,NA,NA
9042,1.73134,2.24186,-4.46022,NA,NA,NA,NA,NA,-13.935,NA,NA,NA,NA,NA,NA
9253,1.9342,2.96974,-4.72166,NA,NA,NA,NA,NA,NA,-74.563,NA,NA,NA,NA,NA
9437,1.58023,2.87183,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.173,NA,NA
9674,0.668085,2.31215,-4.35723,NA,NA,NA,NA,NA,NA,-73.456,NA,NA,NA,NA,NA
9820,1.3522,1.61726,-5,NA,NA,NA,NA,NA,-33.178,NA,NA,NA,NA,NA,NA
10112,2.42107,0.657322,-4.3474,-64.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10258,3.10762,0.815879,-5,NA,NA,NA,NA,-76.427,NA,NA,NA,NA,NA,NA,NA
10452,3.15661,-0.600721,-5,-251.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10621,3.09987,-0.368798,-5,NA,-208.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10986,2.84858,0.799158,-5,NA,NA,NA,NA,-67.597,NA,NA,NA,NA,NA,NA,NA
11015,2.81001,2.49531,-5,NA,NA,NA,NA,-51.096,NA,NA,NA,NA,NA,NA,NA
11269,3.53728,2.29048,-5,NA,NA,NA,NA,-86.306,NA,NA,NA,NA,NA,NA,NA
11539,3.39529,1.46575,-4.62358,NA,-66.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11746,1.60114,1.16168,-5,NA,NA,NA,NA,NA,-40.507,NA,NA,NA,NA,NA,NA
11889,2.08013,1.48916,-4.842,NA,NA,NA,NA,NA,-19.347,NA,NA,NA,NA,NA,NA
12001,3.13153,1.211,-5,NA,NA,NA,NA,-60.103,NA,NA,NA,NA,NA,NA,NA
12297,3.09983,2.34052,-3.7616,NA,NA,NA,NA,-62.984,NA,NA,NA,NA,NA,NA,NA
12583,3.069,2.49393,-4.0908,NA,NA,NA,NA,-57.428,NA,NA,NA,NA,NA,NA,NA
12616,3.002,2.41281,-5,NA,-67.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12992,2.83998,2.95979,-5,-84.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13033,1.41939,1.67133,-4.12069,NA,NA,NA,-43.034,NA,NA,NA,NA,NA,NA,NA,NA
13267,0.782019,2.18555,-4.37822,NA,NA,NA,-85.054,NA,NA,NA,NA,NA,NA,NA,NA
13410,1.58565,1.09426,-5,-58.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13676,2.3244,0.0681524,-5,NA,NA,-175.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
13993,1.86055,1.12622,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-150.837
14038,1.463,2.63763,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-138.865
14273,1.0964,1.60715,-4.26329,-30.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14524,1.9184,0.762649,-5,NA,NA,NA,NA,-55.024,NA,NA,NA,NA,NA,NA,NA
14645,1.76609,1.63085,-4.33503,NA,NA,NA,NA,NA,-2.279,NA,NA,NA,NA,NA,NA
14801,1.27373,1.3752,-5,NA,NA,NA,NA,NA,-35.07,NA,NA,NA,NA,NA,NA
15078,1.54159,1.13284,-4.7038,NA,NA,NA,NA,NA,-25.13,NA,NA,NA,NA,NA,NA
15342,1.49708,0.402644,-5,NA,NA,NA,NA,NA,-118.375,NA,NA,NA,NA,NA,NA
15558,1.24835,1.60185,-4.92392,NA,NA,NA,NA,NA,-31.805,NA,NA,NA,NA,NA,NA
15768,2.56386,1.42264,-5,-51.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15824,2.69589,1.23577,-4.22289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-141.489
16123,2.38679,2.2761,-2.78832,NA,NA,-216.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
16342,2.44596,1.15638,-3.19268,-72.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16431,1.62526,0.894917,-2.89217,-104.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16753,1.11811,0.337694,-4.15352,NA,NA,NA,-141.065,NA,NA,NA,NA,NA,NA,NA,NA
16871,0.433487,2.90686,-3.14658,NA,NA,NA,-144.96,NA,NA,NA,NA,NA,NA,NA,NA
17037,1.15806,2.99263,-2.95576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212.783
17383,1.1583,1.33095,-3.19021,NA,-55.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17416,1.22915,1.41994,-2.94623,NA,NA,NA,NA,NA,-76.418,NA,NA,NA,NA,NA,NA
17779,0.577228,1.7465,-3.73387,NA,NA,NA,NA,NA,-70.757,NA,NA,NA,NA,NA,NA
17818,3.18502,1.42011,-3.18887,-121.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18008,1.71447,1.73378,-3.86103,NA,NA,NA,-53.168,NA,NA,NA,NA,NA,NA,NA,NA
18250,1.30972,1.80971,-4.44947,NA,NA,NA,-68.787,NA,NA,NA,NA,NA,NA,NA,NA
18490,1.09673,1.97413,-4.0304,NA,NA,NA,-51.786,NA,NA,NA,NA,NA,NA,NA,NA
18636,1.78617,1.14521,-4.23982,NA,NA,NA,NA,-9.979,NA,NA,NA,NA,NA,NA,NA
18949,1.49793,1.69288,-4.05978,NA,NA,NA,NA,-6.111,NA,NA,NA,NA,NA,NA,NA
19001,1.41568,2.11903,-4.59115,NA,NA,NA,NA,NA,-17.166,NA,NA,NA,NA,NA,NA
19329,1.41609,3.44337,-3.30566,NA,-101.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19526,2.24395,2.93904,-4.1698,NA,NA,NA,-82.512,NA,NA,NA,NA,NA,NA,NA,NA
19621,2.59251,2.65569,-5,NA,NA,NA,NA,NA,-50.391,NA,NA,NA,NA,NA,NA
19992,2.78494,1.38354,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.628,NA
20052,2.81953,0.814301,-4.987,NA,NA,NA,NA,NA,-74.32,NA,NA,NA,NA,NA,NA
20259,3.41952,1.66333,-5,NA,-74.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20581,3.28065,2.59509,-5,NA,NA,-159.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
20717,3.07331,2.71353,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-199.267
20924,4.42049,2.69419,-5,NA,NA,-266.991,NA,NA,NA,NA,NA,NA,NA,NA,NA
21084,3.93293,2.39957,-5,-132.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21326,3.54181,2.05853,-5,NA,NA,NA,-118.595,NA,NA,NA,NA,NA,NA,NA,NA
21564,2.83759,0.689358,-4.77233,NA,-71.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21741,1.44068,1.25406,-5,NA,NA,NA,NA,NA,-37.827,NA,NA,NA,NA,NA,NA
21942,2.48262,0.727035,-5,NA,NA,NA,NA,NA,-69.049,NA,NA,NA,NA,NA,NA
22074,1.69778,1.06535,-5,NA,-31.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22310,2.59905,2.03983,-4.46193,NA,NA,NA,NA,-23.095,NA,NA,NA,NA,NA,NA,NA
22470,3.25918,2.35397,-4.69889,NA,NA,NA,NA,-64.563,NA,NA,NA,NA,NA,NA,NA
22606,2.11643,1.70948,-5,NA,-19.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22874,2.06488,2.37998,-5,NA,NA,NA,NA,-27.571,NA,NA,NA,NA,NA,NA,NA
23199,2.13753,1.49449,-5,NA,NA,NA,NA,-18.742,NA,NA,NA,NA,NA,NA,NA
23228,2.49406,2.2503,-4.68644,NA,NA,NA,NA,NA,-30.897,NA,NA,NA,NA,NA,NA
23412,3.07291,2.46891,-5,NA,-69.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23740,3.88882,2.25292,-4.88947,-133.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23961,2.39271,1.80449,-4.97298,-46.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24011,3.21381,1.28546,-5,NA,-69.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24287,2.63403,2.15971,-5,NA,-37.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24415,3.77469,2.02291,-5,NA,-105.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24709,3.62754,1.41878,-5,NA,NA,NA,-123.146,NA,NA,NA,NA,NA,NA,NA,NA
24898,1.50152,0.195257,-5,NA,NA,NA,-159.308,NA,NA,NA,NA,NA,NA,NA,NA
25141,1.50923,0.746501,-3.80321,NA,NA,-130.631,NA,NA,NA,NA,NA,NA,NA,NA,NA
25234,1.27796,0.340773,-4.85598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207.838
25487,0.836753,0.732621,-4.14423,NA,NA,-167.894,NA,NA,NA,NA,NA,NA,NA,NA,NA
25667,-0.0719714,1.95261,-4.22401,NA,-91.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25960,0.145106,1.58408,-4.33726,NA,NA,NA,NA,NA,-82.19,NA,NA,NA,NA,NA,NA
26022,-0.75172,1.33941,-5,-189.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26277,-0.136966,1.7943,-5,NA,NA,NA,NA,-101.076,NA,NA,NA,NA,NA,NA,NA
26521,0.0399957,1.80692,-4.45159,NA,NA,NA,NA,-80.102,NA,NA,NA,NA,NA,NA,NA
26702,1.57387,1.24649,-4.73949,NA,NA,NA,NA,NA,NA,-42.777,NA,NA,NA,NA,NA
26875,2.02272,2.14035,-4.27032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.337,NA
27046,1.77544,0.767051,-4.52436,NA,NA,NA,NA,NA,-50.129,NA,NA,NA,NA,NA,NA
27245,1.3549,0.858828,-4.51487,NA,-41.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27474,1.20425,1.00667,-5,NA,NA,NA,NA,-47.882,NA,NA,NA,NA,NA,NA,NA
27626,0.923947,1.36185,-4.26134,NA,NA,NA,NA,NA,NA,-76.039,NA,NA,NA,NA,NA
27882,1.6098,1.08883,-3.61587,NA,NA,NA,NA,NA,-39.569,NA,NA,NA,NA,NA,NA
28112,2.17635,1.80375,-4.75552,NA,NA,NA,NA,-11.286,NA,NA,NA,NA,NA,NA,NA
28201,2.76123,1.95262,-5,NA,NA,NA,NA,NA,-43.689,NA,NA,NA,NA,NA,NA
28424,2.97291,1.76058,-5,NA,NA,NA,-77.465,NA,NA,NA,NA,NA,NA,NA,NA
28757,1.42953,0.454651,-4.63967,NA,NA,NA,-131.396,NA,NA,NA,NA,NA,NA,NA,NA
28809,0.860792,1.16871,-5,-78.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29161,2.31192,0.792743,-3.1745,NA,NA,NA,-113.853,NA,NA,NA,NA,NA,NA,NA,NA
29332,3.52048,0.438447,-3.92721,NA,NA,NA,NA,-122.918,NA,NA,NA,NA,NA,NA,NA
29432,1.26368,0.969148,-3.51262,NA,NA,NA,NA,NA,NA,-89.305,NA,NA,NA,NA,NA
29652,2.1776,2.17552,-4.25468,NA,NA,NA,NA,NA,NA,-42.46,NA,NA,NA,NA,NA
29874,1.62022,1.95834,-4.0315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.151,NA
30141,0.812292,1.57827,-4.98638,NA,NA,NA,NA,NA,NA,-74.082,NA,NA,NA,NA,NA
30242,2.35959,2.58107,-5,NA,NA,NA,NA,NA,NA,-58.851,NA,NA,NA,NA,NA
30492,1.70394,1.70428,-4.24877,NA,NA,NA,NA,NA,NA,-42.109,NA,NA,NA,NA,NA
30798,0.233115,0.599177,-5,NA,NA,NA,NA,-170.34,NA,NA,NA,NA,NA,NA,NA
30820,0.73411,1.01203,-4.97379,NA,NA,NA,NA,-76.542,NA,NA,NA,NA,NA,NA,NA
31147,1.66877,0.72556,-4.71376,-59.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31363,2.97301,1.80707,-5,NA,NA,NA,NA,NA,-51.353,NA,NA,NA,NA,NA,NA
31553,1.64432,1.6745,-4.15668,NA,NA,NA,NA,NA,-13.211,NA,NA,NA,NA,NA,NA
31740,1.48669,2.46416,-5,NA,NA,NA,NA,NA,NA,-43.779,NA,NA,NA,NA,NA
31889,2.41622,3.12125,-5,NA,NA,NA,NA,-66.52,NA,NA,NA,NA,NA,NA,NA
32169,1.89427,3.9692,-4.18021,NA,NA,NA,NA,-116.595,NA,NA,NA,NA,NA,NA,NA
32278,1.68151,2.73401,-5,NA,NA,NA,NA,NA,NA,-59.413,NA,NA,NA,NA,NA
32461,1.16407,3.11307,-5,NA,NA,NA,NA,-65.112,NA,NA,NA,NA,NA,NA,NA
32662,1.48994,2.79666,-3.82842,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.086,NA,NA
32960,2.05405,1.75964,-2.55343,NA,NA,NA,NA,NA,-96.454,NA,NA,NA,NA,NA,NA
33113,1.72571,1.56605,-3.48517,NA,NA,NA,NA,NA,NA,-51.516,NA,NA,NA,NA,NA
33364,0.484284,2.17425,-4.00436,NA,NA,NA,NA,-51.204,NA,NA,NA,NA,NA,NA,NA
33510,0.840823,2.43888,-4.57474,NA,NA,NA,NA,-38.778,NA,NA,NA,NA,NA,NA,NA
33708,-0.0753447,1.00765,-5,NA,NA,NA,NA,NA,-150.208,NA,NA,NA,NA,NA,NA
33823,-0.658791,1.09334,-3.86252,NA,NA,NA,NA,NA,-208.48,NA,NA,NA,NA,NA,NA
34096,0.870324,1.3162,-4.22741,NA,NA,NA,NA,-38.345,NA,NA,NA,NA,NA,NA,NA
34357,2.17596,0.367384,-4.37469,NA,NA,NA,NA,-79.919,NA,NA,NA,NA,NA,NA,NA
34509,2.08112,1.07085,-5,NA,NA,NA,NA,-31.149,NA,NA,NA,NA,NA,NA,NA
34777,1.81862,2.08604,-5,NA,NA,NA,NA,-19.074,NA,NA,NA,NA,NA,NA,NA
34974,1.57377,2.24902,-4.69828,-38.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35028,1.16922,2.11859,-4.78957,NA,NA,NA,NA,-22.512,NA,NA,NA,NA,NA,NA,NA
35353,1.11266,1.44808,-5,NA,NA,NA,NA,-31.782,NA,NA,NA,NA,NA,NA,NA
35487,1.03053,1.12839,-5,-59.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35665,1.97854,1.77731,-4.90258,NA,NA,NA,NA,-13.125,NA,NA,NA,NA,NA,NA,NA
35835,2.47537,0.986266,-4.80576,NA,NA,NA,NA,-36.756,NA,NA,NA,NA,NA,NA,NA
36037,3.0383,0.825979,-3.62056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.683,NA
36305,1.23085,1.45786,-2.60691,NA,NA,NA,NA,-96.297,NA,NA,NA,NA,NA,NA,NA
36559,0.358302,1.88659,-2.10992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-365.258,NA
36624,0.69599,1.81842,-2.36872,NA,NA,NA,NA,NA,NA,-202.33,NA,NA,NA,NA,NA
36916,-0.0020709,2.86404,-3.35416,NA,NA,NA,NA,NA,-139.498,NA,NA,NA,NA,NA,NA
37006,1.09851,4.04151,-3.76783,NA,NA,NA,NA,NA,-143.507,NA,NA,NA,NA,NA,NA
37374,1.96342,3.53502,-4.77254,NA,NA,NA,NA,NA,-89.592,NA,NA,NA,NA,NA,NA
37435,3.26501,3.39485,-4.44296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-172.28,NA
37751,3.35742,2.26812,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.178,NA
37877,3.04869,1.33508,-5,NA,-58.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38101,1.98756,2.84161,-4.52409,NA,-44.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38225,2.48369,2.32331,-5,NA,NA,NA,NA,-33.701,NA,NA,NA,NA,NA,NA,NA
38480,2.51216,3.06268,-5,NA,NA,NA,NA,NA,-73.612,NA,NA,NA,NA,NA,NA
38712,2.27997,2.88949,-3.72824,NA,NA,NA,-95.991,NA,NA,NA,NA,NA,NA,NA,NA
38867,0.847567,2.844,-4.10362,NA,NA,-116.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
39199,1.06411,1.22478,-5,NA,NA,NA,NA,-41.604,NA,NA,NA,NA,NA,NA,NA
39297,0.0371053,2.12502,-5,NA,-90.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39536,-0.44422,2.73319,-5,NA,NA,NA,NA,-139.22,NA,NA,NA,NA,NA,NA,NA
39721,-0.232315,1.78603,-5,NA,NA,NA,NA,-112.338,NA,NA,NA,NA,NA,NA,NA
39838,-0.224036,1.67436,-5,NA,-109.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40174,1.22087,2.50413,-4.15821,NA,NA,NA,NA,-27.443,NA,NA,NA,NA,NA,NA,NA
40354,1.64704,3.45849,-2.11929,NA,NA,NA,NA,-220.775,NA,NA,NA,NA,NA,NA,NA
40489,1.35782,3.35656,-3.85771,NA,-82.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40690,1.22434,2.66148,-3.69117,NA,NA,NA,NA,-42.531,NA,NA,NA,NA,NA,NA,NA
40943,1.71185,1.80102,-2.39726,-116.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41108,0.435263,1.38881,-3.1911,NA,NA,-164.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
41332,0.971437,0.966906,-4.08493,NA,-55.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41416,0.831246,0.723969,-3.17699,NA,NA,NA,NA,-125.898,NA,NA,NA,NA,NA,NA,NA
41687,1.76691,0.580904,-5,NA,NA,NA,NA,NA,-85.759,NA,NA,NA,NA,NA,NA
41956,1.36683,1.81046,-3.0251,NA,NA,NA,NA,NA,NA,-76.601,NA,NA,NA,NA,NA
42087,1.00775,1.88074,-4.13358,NA,NA,NA,NA,NA,NA,-53.314,NA,NA,NA,NA,NA
42237,1.12162,2.44985,-4.81771,NA,NA,NA,NA,NA,NA,-57.571,NA,NA,NA,NA,NA
42510,1.12803,3.26235,-4.78141,NA,NA,NA,NA,NA,-78.085,NA,NA,NA,NA,NA,NA
42777,-0.0616373,2.28121,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-150.566,NA
42922,-0.509082,4.07529,-5,NA,NA,NA,NA,NA,NA,-269.295,NA,NA,NA,NA,NA
43011,1.28016,2.56584,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.037,NA,NA
43293,0.228448,2.26059,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.134,NA
43576,0.46188,1.81787,-5,NA,-60.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43780,0.091083,3.2373,-4.38027,NA,-123.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43870,0.722526,1.59961,-4.75919,-59.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44048,-0.172606,0.726634,-5,-177.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44345,1.25932,0.874422,-4.22159,NA,NA,NA,NA,NA,-54.281,NA,NA,NA,NA,NA,NA
44582,2.45969,1.54971,-3.30008,NA,-46.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44722,1.07453,2.33903,-3.5668,-62.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44953,2.03274,0.862124,-4.46907,NA,-41.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45023,2.8009,0.208252,-5,NA,NA,NA,NA,-129.127,NA,NA,NA,NA,NA,NA,NA
45290,1.17979,1.26315,-4.66521,NA,-30.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45578,1.67106,1.29652,-5,NA,-22.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45681,2.45762,2.28811,-5,NA,NA,NA,NA,NA,NA,-54.336,NA,NA,NA,NA,NA
45872,2.15055,2.12874,-5,NA,NA,NA,NA,NA,-25.8,NA,NA,NA,NA,NA,NA
46179,1.5121,1.97674,-4.30569,NA,-17.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46316,1.80723,2.13395,-3.94643,-24.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46541,2.22338,3.38734,-2.57023,-194.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46689,2.99391,2.90072,-2.83255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-163.545,NA
46816,3.23058,3.39443,-3.98374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-167.891,NA
47157,3.5609,3.13932,-3.95609,NA,NA,NA,NA,NA,-126.977,NA,NA,NA,NA,NA,NA
47333,2.17901,2.77227,-5,NA,NA,NA,NA,-42.734,NA,NA,NA,NA,NA,NA,NA
47512,1.03159,0.386043,-3.96218,-125.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47709,1.28941,1.04754,-3.83767,-51.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47982,1.0764,0.708749,-5,NA,NA,-164.303,NA,NA,NA,NA,NA,NA,NA,NA,NA
48031,2.03976,1.69909,-4.00828,NA,NA,NA,-42.472,NA,NA,NA,NA,NA,NA,NA,NA
48240,1.91708,1.74277,-5,NA,-25.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48580,2.338,3.40926,-5,NA,NA,NA,NA,-84.375,NA,NA,NA,NA,NA,NA,NA
48639,1.87489,3.8938,-5,NA,NA,NA,NA,-117.818,NA,NA,NA,NA,NA,NA,NA
48964,0.604509,3.54532,-3.86679,-124.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49018,1.27569,3.16294,-5,NA,NA,-157.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
49205,0.800288,3.36524,-5,NA,NA,NA,-128.42,NA,NA,NA,NA,NA,NA,NA,NA
