id,x0,x1,x2,fitness-2.5,fitness-1,fitness-0.5,fitness-2,fitness-1.5,fitness-3,fitness0,fitness-4.5,fitness-5,fitness-3.5,fitness-4
12105,1.45936,3.28392,-3.43451,-81.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12309,2.04575,0.6187,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.558
12495,2.39078,1.39963,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.508
12792,3.21002,0.774281,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.62,NA
12960,1.79807,1.62193,-4.92348,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.855,NA
13058,2.45075,1.54839,-4.10676,-17.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13328,3.64788,1.06966,-2.67825,NA,NA,NA,NA,NA,-214.953,NA,NA,NA,NA,NA
13537,2.88798,2.68857,-3.19513,NA,-123.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
13737,2.66894,3.00427,-2.61485,NA,NA,NA,-156.778,NA,NA,NA,NA,NA,NA,NA
13862,0.143914,4.81437,-3.31107,NA,NA,NA,-312.257,NA,NA,NA,NA,NA,NA,NA
14019,1.5015,3.34462,-3.88034,NA,NA,NA,NA,NA,-73.902,NA,NA,NA,NA,NA
14373,1.76052,2.86259,-3.7805,-42.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14423,2.69297,2.17585,-5,-37.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14643,2.50156,2.28316,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.559,NA
14864,2.85228,2.88921,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.703,NA
15142,1.3706,1.37025,-4.5064,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.713,NA
15318,1.68862,1.08839,-4.37396,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.673,NA
15480,2.32312,1.7582,-5,NA,NA,NA,NA,NA,-25.667,NA,NA,NA,NA,NA
15709,2.42754,0.397415,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.449,NA
15846,2.5278,1.84412,-4.59476,-19.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16103,4.29381,2.42599,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.386,NA
16382,3.71562,1.37329,-5,NA,NA,NA,NA,NA,NA,NA,-156.266,NA,NA,NA
16559,1.31142,1.89856,-5,NA,NA,NA,NA,NA,-29.781,NA,NA,NA,NA,NA
16602,3.34885,1.19774,-5,NA,NA,NA,NA,-85.653,NA,NA,NA,NA,NA,NA
16937,2.76316,1.58692,-5,-36.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17116,4.58936,1.69529,-5,NA,NA,-270.257,NA,NA,NA,NA,NA,NA,NA,NA
17334,3.85837,0.870911,-5,NA,NA,NA,NA,NA,NA,-266.71,NA,NA,NA,NA
17416,3.73569,1.98805,-5,NA,NA,NA,NA,NA,NA,-244.993,NA,NA,NA,NA
17616,2.91205,0.794494,-5,NA,-141.332,NA,NA,NA,NA,NA,NA,NA,NA,NA
17858,2.03728,2.06101,-5,NA,NA,-111.849,NA,NA,NA,NA,NA,NA,NA,NA
18069,0.836618,3.35915,-4.13326,NA,NA,NA,-88.59,NA,NA,NA,NA,NA,NA,NA
18354,1.34859,2.63013,-4.63674,NA,-91.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
18526,2.07064,3.04454,-5,NA,NA,-135.142,NA,NA,NA,NA,NA,NA,NA,NA
18765,2.32202,3.37843,-5,NA,NA,NA,NA,NA,NA,-183.307,NA,NA,NA,NA
18834,2.00647,1.63307,-5,-16.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19084,2.6768,2.371,-5,NA,NA,NA,NA,NA,-44.676,NA,NA,NA,NA,NA
19317,3.70059,2.4985,-5,NA,NA,-164.68,NA,NA,NA,NA,NA,NA,NA,NA
19451,2.45912,1.39905,-5,NA,NA,NA,NA,NA,NA,-140.117,NA,NA,NA,NA
19662,0.556078,0.685742,-4.22102,NA,-182.734,NA,NA,NA,NA,NA,NA,NA,NA,NA
19834,1.78285,1.4088,-5,-17.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20065,2.24303,1.32235,-2.91513,-67.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20370,1.16443,-0.0600015,-4.59523,NA,NA,NA,-240.599,NA,NA,NA,NA,NA,NA,NA
20410,2.07516,1.285,-4.6445,-11.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20775,0.162762,1.61763,-4.12197,NA,NA,NA,NA,NA,NA,NA,-142.827,NA,NA,NA
20802,-0.331871,3.09254,-4.44353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-196.326
21099,0.182711,1.04478,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.985
21373,0.647597,1.48503,-5,NA,NA,NA,NA,NA,NA,NA,-144.879,NA,NA,NA
21497,1.32007,0.836906,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.785,NA
21749,2.56281,2.28528,-4.95223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.833
21981,3.69297,3.3085,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-194.376
22114,2.00969,1.9313,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.693
22344,0.993139,2.11792,-5,NA,NA,NA,NA,NA,NA,NA,-130.324,NA,NA,NA
22545,1.04421,1.44624,-5,NA,NA,NA,NA,NA,NA,NA,NA,-156.609,NA,NA
22657,1.28286,2.43707,-4.65552,NA,NA,NA,NA,NA,NA,NA,NA,-150.475,NA,NA
22992,1.3352,3.67124,-4.15162,NA,NA,NA,NA,NA,NA,NA,NA,-220.158,NA,NA
23114,1.61738,1.32415,-5,NA,NA,NA,NA,NA,NA,NA,NA,-146.426,NA,NA
23371,1.03245,1.14792,-5,NA,NA,NA,NA,NA,NA,NA,NA,-166.057,NA,NA
23463,2.36661,2.29277,-5,NA,NA,NA,NA,NA,NA,NA,NA,-156.112,NA,NA
23675,3.15872,1.66545,-4.39182,NA,NA,NA,NA,NA,NA,NA,NA,-176.792,NA,NA
23861,2.87716,0.893566,-5,NA,NA,NA,NA,NA,NA,NA,-118.894,NA,NA,NA
24008,2.60796,2.17532,-4.88975,NA,NA,NA,NA,NA,-37.614,NA,NA,NA,NA,NA
24282,2.62062,2.20112,-5,-35.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24427,2.78632,2.36002,-4.81837,NA,NA,NA,NA,-52.792,NA,NA,NA,NA,NA,NA
24740,2.59583,1.14992,-4.40575,NA,NA,NA,NA,NA,-41.085,NA,NA,NA,NA,NA
24830,2.00096,1.53823,-4.82127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.643
25148,1.535,1.52541,-4.61655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.474
25253,0.810016,1.03119,-4.93034,NA,NA,NA,NA,NA,NA,NA,-146.502,NA,NA,NA
25587,2.06444,1.87207,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.462
25777,2.04997,2.01909,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.734,NA
25998,2.87472,2.24332,-5,NA,NA,NA,-48.048,NA,NA,NA,NA,NA,NA,NA
26182,3.76574,3.32022,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180.273,NA
26306,2.02021,3.37572,-4.3545,NA,NA,NA,-76.828,NA,NA,NA,NA,NA,NA,NA
26588,1.73995,1.33836,-5,NA,-63.098,NA,NA,NA,NA,NA,NA,NA,NA,NA
26644,3.1114,1.39592,-5,NA,NA,NA,NA,NA,-55.815,NA,NA,NA,NA,NA
26979,2.03241,1.52183,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.621
27186,0.945507,1.14657,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.344
27273,0.439493,1.46078,-5,-66.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27570,1.72635,0.914964,-4.87737,NA,NA,NA,-42.287,NA,NA,NA,NA,NA,NA,NA
27748,2.18169,0.686175,-4.01555,-46.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27887,2.05729,1.16595,-4.30877,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.807,NA
28174,0.258834,0.650122,-3.10393,-178.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28255,0.382965,1.93835,-4.21569,-53.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28575,-0.0710458,2.72815,-5,-109.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28730,-0.668325,2.33913,-5,NA,NA,NA,NA,-168.653,NA,NA,NA,NA,NA,NA
28955,-0.185556,1.57536,-5,NA,NA,NA,NA,-126.158,NA,NA,NA,NA,NA,NA
29111,-0.69054,3.57376,-4.46438,-205.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29211,1.3025,2.94015,-3.35141,NA,NA,NA,NA,-86.014,NA,NA,NA,NA,NA,NA
29499,1.53978,3.3516,-3.72758,NA,-126.768,NA,NA,NA,NA,NA,NA,NA,NA,NA
29649,1.70316,2.07325,-5,NA,NA,NA,-26.785,NA,NA,NA,NA,NA,NA,NA
29943,2.83315,1.21564,-4.72905,NA,NA,NA,NA,-61.192,NA,NA,NA,NA,NA,NA
30137,2.74676,1.04053,-3.62983,-55.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30322,2.36497,1.17801,-3.74879,NA,NA,NA,-34.484,NA,NA,NA,NA,NA,NA,NA
30423,2.69045,0.94176,-4.82183,NA,-86.389,NA,NA,NA,NA,NA,NA,NA,NA,NA
30721,2.87482,1.7422,-4.02286,NA,NA,NA,-38.04,NA,NA,NA,NA,NA,NA,NA
30872,2.40717,3.64764,-4.57979,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.493,NA
31104,2.15354,3.22594,-5,-67.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31322,1.33028,2.08111,-5,-23.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31442,0.507649,4.3772,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-223.093,NA
31683,1.50666,2.18514,-5,-22.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31854,2.10974,2.26044,-4.9442,-22.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32182,3.11328,1.41753,-5,NA,NA,NA,NA,NA,-58.408,NA,NA,NA,NA,NA
32227,4.58672,2.14921,-5,NA,NA,NA,NA,NA,-190.611,NA,NA,NA,NA,NA
32538,4.43101,2.55298,-5,NA,NA,NA,NA,NA,-177.929,NA,NA,NA,NA,NA
32701,4.65244,1.7269,-4.58392,NA,NA,NA,NA,NA,-177.074,NA,NA,NA,NA,NA
32977,4.19395,2.15351,-5,-137.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33091,3.2825,2.63761,-5,-80.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33243,3.66228,1.5017,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.33,NA
33558,3.16411,2.18309,-4.41822,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.319,NA
33609,3.13084,3.44131,-4.59032,NA,NA,NA,NA,NA,-120.215,NA,NA,NA,NA,NA
33935,4.33593,1.23068,-5,NA,NA,NA,NA,NA,-161.413,NA,NA,NA,NA,NA
34085,3.76895,0.850241,-5,NA,NA,NA,NA,NA,NA,NA,NA,-236.792,NA,NA
34361,2.08891,2.52268,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.344,NA
34420,2.29206,2.53683,-4.50528,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.211,NA
34759,3.43504,3.18811,-4.91945,NA,NA,NA,NA,NA,-126.153,NA,NA,NA,NA,NA
34939,3.07197,2.60782,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.117
35136,2.29352,3.73002,-5,NA,NA,NA,NA,NA,-115.033,NA,NA,NA,NA,NA
35251,1.43565,2.22812,-5,NA,NA,NA,NA,NA,-24.923,NA,NA,NA,NA,NA
35438,0.771368,2.42712,-5,NA,NA,NA,-56.238,NA,NA,NA,NA,NA,NA,NA
35794,0.981727,1.71703,-4.5636,NA,NA,NA,NA,NA,-23.708,NA,NA,NA,NA,NA
35989,1.95409,1.85664,-4.42578,-4.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36196,1.11908,3.90948,-5,NA,NA,NA,NA,NA,-137.004,NA,NA,NA,NA,NA
36338,2.19577,4.17961,-4.97328,NA,NA,NA,NA,NA,-151.361,NA,NA,NA,NA,NA
36500,2.13678,4.8463,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-265.081
36682,1.24173,5,-3.87193,NA,NA,NA,NA,NA,NA,NA,NA,-380.66,NA,NA
36830,2.24602,4.01415,-4.69381,NA,NA,NA,NA,NA,NA,NA,NA,NA,-153.838,NA
37093,1.00247,2.82175,-4.68954,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.159,NA
37335,2.56379,1.80647,-3.93372,NA,NA,NA,-25.926,NA,NA,NA,NA,NA,NA,NA
37466,3.07099,1.91346,-4.45568,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.275,NA
37660,2.72779,1.45775,-4.79543,-30.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37940,2.25532,2.17749,-5,NA,NA,NA,NA,-47.602,NA,NA,NA,NA,NA,NA
38193,2.73966,2.11407,-5,NA,NA,NA,NA,-53.023,NA,NA,NA,NA,NA,NA
38232,2.3746,2.68948,-5,NA,NA,NA,NA,NA,-48.356,NA,NA,NA,NA,NA
38446,1.52541,2.74567,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.599
38663,2.4972,0.526334,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.431,NA
38840,2.82729,1.58361,-5,NA,NA,NA,NA,NA,NA,NA,-105.94,NA,NA,NA
39016,0.682372,2.32501,-3.64436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.626
39319,1.6807,2.0779,-5,-18.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39473,0.597519,3.07904,-4.40182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.731
39602,1.85619,3.26334,-3.96642,NA,NA,NA,NA,NA,NA,NA,-135.877,NA,NA,NA
39944,1.87058,2.40204,-4.14621,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.436,NA
40176,2.98208,2.48313,-3.51459,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.892,NA
40359,2.4862,2.50861,-3.6351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.44
40441,2.68796,1.66529,-3.51199,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.561,NA
40648,2.59797,2.89026,-3.33402,NA,NA,NA,NA,NA,-88.488,NA,NA,NA,NA,NA
40873,2.29686,1.98339,-3.92277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.379
41157,1.09675,2.1142,-3.26936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.021
41393,3.00366,0.843035,-3.37685,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.176,NA
41572,1.95385,0.582873,-3.63065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.653,NA
41663,3.46955,1.07631,-4.08121,-80.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41850,2.61483,2.25505,-4.41808,NA,NA,NA,NA,NA,-37.022,NA,NA,NA,NA,NA
42162,2.29388,2.55549,-4.67931,NA,NA,NA,-33.507,NA,NA,NA,NA,NA,NA,NA
42264,3.21325,2.08863,-4.30902,NA,NA,NA,NA,NA,-64.864,NA,NA,NA,NA,NA
42543,2.88132,2.81421,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.588,NA
42750,0.589661,1.76764,-5,NA,NA,NA,NA,NA,-59.989,NA,NA,NA,NA,NA
42891,1.25999,2.54657,-5,-36.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43121,0.953046,1.57359,-5,NA,NA,NA,-48.979,NA,NA,NA,NA,NA,NA,NA
43341,1.8724,1.55308,-5,-14.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43503,1.18056,0.579974,-4.98958,NA,NA,NA,NA,NA,-91.54,NA,NA,NA,NA,NA
43655,1.39214,1.86054,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.442,NA
43820,2.5816,0.423624,-4.72834,NA,NA,NA,NA,NA,-83.409,NA,NA,NA,NA,NA
44077,1.13941,0.302911,-5,NA,NA,NA,NA,NA,-142.222,NA,NA,NA,NA,NA
44327,2.29924,0.846467,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.577
44479,2.0328,1.37906,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.363,NA
44701,2.16399,1.2764,-5,NA,NA,NA,NA,NA,-33.874,NA,NA,NA,NA,NA
44973,2.06684,0.265862,-4.08321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.861
45074,2.07772,1.02876,-4.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.933,NA
45360,0.638873,1.1583,-4.47579,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.563,NA
45486,-0.933812,2.71925,-4.88636,NA,NA,NA,NA,NA,NA,NA,NA,NA,-198.968,NA
45752,0.215593,2.63512,-4.04758,-79.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45803,0.504396,1.89361,-4.74833,NA,NA,NA,NA,NA,-57.86,NA,NA,NA,NA,NA
46089,-0.17286,0.522351,-4.03633,NA,NA,NA,-229.233,NA,NA,NA,NA,NA,NA,NA
46224,-0.0191272,2.53437,-4.94757,NA,NA,NA,-100.901,NA,NA,NA,NA,NA,NA,NA
46543,0.737553,1.99946,-5,NA,NA,NA,NA,-58.227,NA,NA,NA,NA,NA,NA
46673,1.52317,2.65102,-5,NA,NA,NA,NA,-67.79,NA,NA,NA,NA,NA,NA
46922,3.35695,2.95932,-5,NA,NA,NA,-104.7,NA,NA,NA,NA,NA,NA,NA
47143,2.49358,2.08272,-5,NA,NA,NA,NA,-53.36,NA,NA,NA,NA,NA,NA
47260,2.6956,3.30794,-2.66451,NA,NA,NA,NA,NA,-187.822,NA,NA,NA,NA,NA
47411,1.60834,3.37457,-3.62239,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.482,NA
47692,1.23495,2.89103,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.117,NA
47816,1.38473,1.28327,-3.60869,NA,NA,NA,NA,NA,-29.456,NA,NA,NA,NA,NA
48194,1.96827,2.32364,-4.17455,NA,NA,NA,NA,NA,-21.733,NA,NA,NA,NA,NA
48280,2.20982,1.93516,-4.61131,NA,NA,NA,-21.044,NA,NA,NA,NA,NA,NA,NA
48592,2.39199,0.834769,-5,NA,NA,NA,NA,-82.181,NA,NA,NA,NA,NA,NA
48642,3.25134,1.50218,-4.39375,NA,NA,NA,NA,-70.033,NA,NA,NA,NA,NA,NA
48902,2.97599,0.439355,-4.30722,NA,NA,NA,NA,NA,-87.135,NA,NA,NA,NA,NA
49014,3.24142,-0.241117,-4.1678,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.208,NA
49351,1.9121,0.571849,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.773,NA
49438,1.51282,0.409687,-4.44524,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.251,NA
49731,2.46972,1.5491,-4.42882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.817
49864,2.57436,1.03393,-2.86934,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.969,NA
50121,2.26879,1.0307,-3.772,-34.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50294,2.41384,1.84919,-3.54165,NA,NA,-101.474,NA,NA,NA,NA,NA,NA,NA,NA
50439,1.25953,2.21838,-4.37315,NA,NA,-115.97,NA,NA,NA,NA,NA,NA,NA,NA
50648,1.6453,2.56424,-4.07092,NA,NA,NA,NA,-53.886,NA,NA,NA,NA,NA,NA
50864,2.18,1.94799,-4.20438,NA,NA,NA,NA,NA,-14.582,NA,NA,NA,NA,NA
51027,1.74243,1.67475,-5,NA,NA,NA,NA,NA,-19.145,NA,NA,NA,NA,NA
51292,2.61883,1.19267,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.249
51518,2.47256,1.09235,-4.71301,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.068,NA
51677,2.22941,1.08598,-4.18619,-19.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51929,1.41065,0.631132,-3.0114,NA,NA,NA,NA,-146.956,NA,NA,NA,NA,NA,NA
52156,1.89332,1.64252,-3.83911,NA,NA,NA,-16.377,NA,NA,NA,NA,NA,NA,NA
52357,0.777534,2.5536,-2.72634,-106.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
