id,x0,x1,x2,fitness-1.5,fitness-3.5,fitness-4,fitness-5,fitness-4.5,fitness-2.5,fitness-1,fitness1,fitness-2,fitness0,fitness0.5,fitness4,fitness4.5,fitness2.5,fitness2,fitness3,fitness5,fitness-0.5,fitness1.5,fitness-3,fitness3.5
13303,3.73593,1.45724,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13463,5,1.73323,3.44449,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13718,5,2.3355,2.15853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.641,NA,NA,NA
13888,4.93121,1.39144,1.97705,285.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14141,4.88662,0.201902,1.70595,NA,NA,NA,NA,NA,NA,NA,183.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14233,4.86336,0.139397,1.99102,NA,NA,NA,NA,NA,NA,NA,2.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14536,5,0.402765,2.74167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.555,NA,NA,NA
14614,5,-0.122656,3.88158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14991,5,0.0798173,3.12288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15193,3.74137,0.282599,1.71142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15273,3.46571,1.10253,1.35001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.08,NA,NA
15528,4.10148,0.453,3.16746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.475,NA,NA,NA,NA,NA
15766,5,0.226233,3.21335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.171,NA,NA,NA,NA,NA,NA,NA
15848,5,0.882954,3.96976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.122,NA,NA
16109,5,1.08699,3.76881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA
16350,4.8057,1.45825,3.85618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.494,NA,NA,NA,NA,NA,NA,NA
16417,5,1.39307,3.32856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.656,NA,NA,NA,NA,NA,NA
16693,4.81619,0.99874,2.97184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.964,NA,NA
16906,4.93667,-0.0662071,2.77209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2444.485,NA,NA,NA
17089,4.61106,-0.290803,2.95368,NA,NA,NA,NA,NA,NA,182.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17378,4.80867,-0.346852,2.37506,1574.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17441,5,-0.77544,0.557088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.985,NA,NA,NA
17701,4.77586,-0.13721,-0.481401,NA,NA,NA,NA,NA,66.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17981,5,0.75563,-0.35086,NA,NA,NA,NA,NA,NA,1850.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18106,5,2.42326,-0.786192,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18295,5,2.00165,0.0986164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.31,NA,NA,NA
18592,5,2.95242,1.50404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.83,NA,NA,NA
18768,4.34788,1.36546,-0.604357,NA,NA,NA,NA,NA,NA,NA,NA,NA,865.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18910,4.65533,0.551449,0.953336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19099,4.51748,0.0870121,0.875936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19207,5,0.920191,2.71662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19429,3.82859,0.0395371,3.56312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.748,NA,NA,NA
19794,2.34155,-0.820495,2.53292,NA,NA,NA,NA,NA,NA,NA,NA,-47.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19804,0.464346,-0.908631,3.23859,NA,NA,NA,NA,NA,126.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20111,-0.169035,-0.383325,1.76034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.473,NA
20273,0.333087,-0.979573,1.87848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.767,NA
20493,-0.0106458,-3.08439,2.40398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.919,NA
20673,1.30795,-2.25876,3.63299,NA,NA,NA,NA,NA,-22.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20858,1.83097,-0.88421,2.6482,726.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21168,1.79386,-0.879591,4.67549,NA,NA,NA,NA,NA,929.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21300,1.06088,-0.57364,4.44304,NA,NA,NA,NA,NA,NA,NA,NA,34.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21451,1.89471,-0.746146,3.30637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.341,NA
21784,2.8781,-1.25559,3.13007,324.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21932,0.877187,-0.436488,2.9064,NA,-3.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22107,0.542971,-0.633899,1.9465,NA,NA,NA,NA,-26.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22374,-0.136569,0.116022,1.88858,NA,NA,13.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22492,0.677997,0.145203,0.931432,NA,NA,NA,NA,10.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22714,-0.0478576,3.62963,-0.814911,NA,482.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22927,1.64335,4.10774,-1.0971,NA,-10.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23050,2.33004,3.38777,-2.59844,NA,NA,17.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23256,4.30469,2.5756,-0.908191,NA,NA,NA,NA,-8.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23571,4.72306,3.7059,0.0358019,NA,NA,NA,297.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23657,3.8023,4.67964,-0.146571,NA,NA,NA,688.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23992,4.96768,5,-1.64218,NA,NA,NA,1969.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24090,4.48974,4.80286,-0.723519,NA,NA,489.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24246,3.80457,5,-1.95417,NA,513.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24485,4.45865,5,-1.6043,NA,NA,NA,NA,NA,159.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24713,3.75489,5,-1.3884,NA,NA,NA,NA,NA,NA,NA,NA,2450.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24881,2.87766,4.42306,-1.22079,NA,NA,NA,NA,NA,NA,NA,NA,-173.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25042,2.67181,4.24278,-1.55705,1054.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25278,0.911305,3.59348,-2.7436,NA,NA,NA,NA,NA,NA,4.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25518,1.55799,4.91902,-2.96246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.799,NA,NA,NA
25608,0.786092,4.78878,-3.43132,NA,NA,NA,NA,NA,NA,NA,172.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25850,1.68041,4.25514,-2.64693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.957,NA,NA
26141,1.18053,4.928,-3.1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.988,NA,NA,NA,NA,NA,NA
26276,-0.39789,5,-3.91786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26540,-2.11737,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.923,NA,NA,NA,NA,NA,NA,NA
26702,-2.63746,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.833,NA,NA,NA,NA,NA,NA
26885,-3.14284,4.0863,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.947,NA,NA,NA,NA,NA
27175,-2.78414,4.60077,-3.41211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.369,NA,NA,NA,NA,NA
27289,-2.41449,5,-4.96123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.321,NA,NA,NA,NA,NA
27527,-1.8226,4.72211,-4.08271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.472
27648,-2.45294,3.26949,-4.22116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.045,NA,NA,NA,NA,NA
27878,-2.61059,4.87115,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.567
28036,-2.98792,4.11268,-3.62023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.267
28212,-4.49731,4.0155,-2.92149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.844,NA,NA,NA,NA,NA,NA,NA,NA,NA
28510,-2.92298,2.78596,-1.97841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.672,NA,NA,NA,NA,NA,NA,NA,NA
28797,-2.88668,3.41819,-1.20562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.381,NA,NA,NA,NA,NA,NA,NA,NA
28865,-2.99746,3.83608,-0.861188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.424,NA,NA,NA,NA,NA,NA,NA,NA
29015,-3.22579,3.58864,-0.229678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.913,NA,NA,NA,NA,NA
29354,-3.76041,3.10863,1.24745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.179
29438,-4.19145,3.86269,1.33037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.849
29619,-3.06131,3.00644,1.71788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.417,NA,NA,NA,NA,NA,NA
29806,-3.22607,2.51009,2.07036,NA,NA,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30026,-5,3.56416,3.44939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.668,NA,NA,NA,NA,NA,NA
30299,-5,2.90442,4.11617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.753,NA,NA
30426,-4.74525,4.14785,4.03638,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30619,-5,2.38238,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510.979,NA,NA,NA
30866,-3.19411,2.02604,5,58.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31130,-1.62032,1.92523,5,NA,NA,NA,NA,NA,NA,NA,NA,736.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31311,-1.82323,3.16838,3.95315,NA,1.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31499,-0.427734,3.63691,3.54404,NA,NA,1.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31715,0.549296,2.43235,3.75675,NA,NA,7.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31872,0.0100167,1.64656,3.84819,NA,NA,28.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32031,0.189584,1.34434,2.49438,NA,NA,-14.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32202,-1.74189,1.52879,0.755593,NA,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32526,-0.998066,2.32285,0.219672,NA,NA,NA,NA,49.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32753,-2.28655,0.59841,-0.677535,NA,NA,NA,3.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32815,-3.82374,1.8215,-2.22553,NA,NA,NA,NA,-4.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33169,-4.65008,2.17465,-1.51843,NA,NA,NA,NA,NA,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
