id,x0,x1,x2,fitness4,fitness3.5,fitness4.5,fitness6.5,fitness7.5,fitness8,fitness7,fitness9,fitness8.5,fitness9.5,fitness10,fitness10.5,fitness6,fitness5,fitness5.5,fitness2.5,fitness3,fitness2
3725,8.10554,6.06936,6.93827,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3971,7.1669,6.96183,7.78736,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4047,6.90079,6.96897,7.04292,NA,NA,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA
4348,4.99658,7.33476,6.9698,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4433,4.40365,7.40025,8.2329,NA,NA,NA,NA,NA,NA,NA,NA,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA
4661,3.16759,7.51673,8.82133,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007,NA,NA,NA,NA,NA,NA,NA,NA
4928,3.09831,8.38821,8.06708,NA,NA,NA,NA,NA,NA,NA,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,3.05889,9.43175,8.05109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359,NA,NA,NA,NA,NA,NA,NA
5294,3.37896,8.64149,9.22224,NA,NA,NA,NA,NA,NA,NA,-0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5536,3.49201,8.40401,8.08066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119,NA,NA,NA,NA,NA,NA
5663,3.47606,10.0304,8.54098,NA,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
5943,2.52689,9.631,7.87299,NA,NA,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6122,1.99858,10.5,8.47754,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6225,1.59146,8.26776,7.46862,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6495,1.26016,7.81435,7.23648,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568,NA,NA,NA,NA,NA,NA,NA,NA
6683,1.85336,8.62656,7.57196,NA,NA,NA,NA,NA,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6984,2.7248,8.38632,9.465,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7131,2.40397,6.61237,8.56392,NA,NA,NA,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7208,4.13864,6.13854,7.48347,NA,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
7528,1.63446,6.41807,9.11443,NA,NA,NA,NA,-0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7630,2.33967,8.81576,8.2373,NA,NA,NA,NA,NA,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7802,2.56331,8.69278,8.38083,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8088,2.41465,10.1735,7.73463,NA,NA,NA,NA,NA,NA,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380,3.55894,9.88534,8.19709,NA,NA,NA,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8539,3.33722,8.48881,8.55175,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8622,1.01985,8.42512,6.6556,NA,NA,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8854,0.5,8.18945,6.87547,NA,NA,NA,NA,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9054,0.5,9.2432,7.16103,NA,NA,NA,NA,NA,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9236,0.5,8.97548,7.64526,NA,NA,NA,NA,NA,NA,NA,NA,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA
9519,0.66756,10.0366,7.81332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.024,NA,NA,NA,NA,NA,NA
9607,0.5,7.89824,9.47622,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
9973,0.5,8.37021,7.75592,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
10183,1.03802,7.94158,7.54099,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
10220,4.53452,8.15532,9.41528,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
10447,2.39114,6.87794,7.85569,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10773,2.91612,6.70042,7.76984,NA,NA,NA,NA,NA,NA,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10975,3.74422,6.44155,8.27885,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11013,5.32574,7.09991,8.26519,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11324,5.17533,6.90888,9.04437,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11500,4.50028,8.10523,8.73626,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11740,3.10739,8.98614,8.39606,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11911,4.42325,10.0869,8.32329,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12108,5.95257,10.0702,8.69339,NA,NA,NA,NA,-0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12292,6.59781,10.2165,9.73525,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.478,NA,NA,NA,NA,NA,NA,NA,NA
12481,7.47466,8.65855,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162,NA,NA,NA,NA,NA,NA
12686,6.99099,8.15724,8.26048,NA,NA,NA,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA
12985,7.69046,7.91678,5.80425,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13047,7.14728,6.91679,7.78255,NA,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13209,8.57449,7.67164,8.16543,NA,NA,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13401,9.00547,6.66716,7.77482,NA,NA,NA,NA,NA,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13602,7.11915,7.32522,8.33176,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
13995,6.96915,6.97442,8.28975,NA,NA,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14196,7.95942,6.76986,7.77064,NA,NA,NA,NA,NA,NA,NA,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14374,7.47915,7.50906,6.84587,NA,NA,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14574,7.74303,8.56466,6.06369,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
14643,7.76834,7.52712,5.55328,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14915,6.9922,7.31213,6.36005,NA,NA,NA,NA,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15090,6.55402,7.88894,8.11701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213,NA,NA,NA,NA,NA
15339,6.58969,7.66451,9.15905,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15523,5.297,8.89826,7.31447,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15788,6.37982,8.27338,7.96562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA
15868,7.34171,9.82376,7.68195,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16152,8.88147,9.01406,7.8241,NA,NA,NA,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16359,8.94598,8.24781,7.52109,NA,NA,NA,NA,NA,NA,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16540,8.25326,7.79209,8.06375,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16650,8.55329,7.39621,8.4913,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16916,8.00181,7.86577,8.57832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA,NA
17096,8.25074,6.97447,8.56634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226,NA,NA,NA,NA,NA
17245,8.14829,7.00158,7.83822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
17529,7.28265,5.81762,8.07296,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17680,7.46938,6.91304,7.87747,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17858,7.73131,7.60471,6.85228,NA,NA,NA,NA,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18114,7.68098,7.7084,5.60535,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18247,5.80721,7.84116,4.72665,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18521,3.35265,7.74476,4.43022,NA,NA,NA,NA,NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18714,4.30404,8.39435,3.99423,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18971,6.47152,7.73432,5.04097,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19133,7.44004,7.55695,3.08051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA
19293,8.59604,5.93307,4.33246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA
19508,8.4988,7.81176,4.0622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA
19737,8.20843,8.38096,3.23448,NA,NA,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19823,6.84843,6.2086,2.51398,NA,NA,NA,NA,NA,NA,NA,NA,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA
20090,7.64256,6.49402,4.991,NA,NA,NA,NA,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20283,7.01151,5.88207,3.66219,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20514,7.15385,5.45638,3.98713,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20682,8.71581,7.51104,5.28581,NA,NA,NA,0.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20852,8.23271,6.90956,3.88069,NA,NA,NA,NA,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21102,7.09381,7.6664,3.66368,NA,NA,NA,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21398,6.39371,7.64291,2.8105,NA,NA,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA
21444,7.70793,8.6579,3.68687,NA,NA,NA,NA,NA,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21682,7.06455,7.53898,4.81126,NA,NA,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
21984,8.03342,8.37606,4.68324,NA,NA,NA,NA,NA,NA,NA,NA,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA
22018,8.78614,8.82492,3.20591,NA,NA,NA,NA,NA,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22239,8.17899,7.69488,3.78936,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22458,8.69255,8.60957,3.93431,NA,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22682,7.49662,8.62761,4.17866,NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22862,8.85688,7.64548,4.12886,NA,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23098,7.27587,6.53204,2.40515,NA,NA,NA,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23338,7.83349,7.16589,2.51677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,NA,NA,NA
23470,8.28846,7.29437,3.58921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447,NA,NA,NA,NA
23799,7.40553,7.20419,3.26248,NA,NA,NA,NA,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23872,7.33733,6.72645,2.72371,NA,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24170,7.66727,6.42407,3.89441,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24372,7.23736,4.93853,4.15872,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA
24525,6.13114,4.95999,4.51972,NA,NA,NA,NA,NA,NA,NA,-0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24641,7.03004,4.53382,5.65801,NA,NA,NA,NA,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24881,7.81751,5.35588,4.40377,NA,NA,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25146,7.13794,4.10873,4.54616,NA,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25320,8.45566,5.69806,4.02492,NA,NA,NA,NA,NA,NA,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25536,7.55478,4.6184,3.62596,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25657,6.79358,3.77125,4.23422,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25947,7.77416,4.08167,4.45647,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26001,8.48386,3.61005,4.00031,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26237,8.23712,4.96481,3.91247,NA,NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
26490,7.21649,5.54121,3.18812,NA,NA,NA,NA,NA,NA,NA,NA,-0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
26649,6.60652,6.93236,1.84543,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26974,7.05572,6.49652,1.69677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.239,NA,NA,NA,NA,NA
27020,6.77748,7.37158,1.48272,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27260,7.21495,8.33274,0.820383,NA,NA,NA,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27448,7.72497,7.73791,1.05116,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27786,7.8062,7.46749,1.45998,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27989,10.1594,8.06667,1.90076,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28057,10.0227,7.49963,1.32855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.065,NA,NA,NA,NA,NA
28309,9.42691,7.35338,1.07769,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28403,7.90022,8.36091,0.619521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA
28690,6.8171,7.6067,0.5,NA,NA,NA,NA,NA,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28934,6.41191,7.71909,2.18917,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29177,6.60195,8.30764,1.78644,NA,NA,NA,NA,NA,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
29265,6.47616,8.41855,2.98749,NA,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29434,6.66477,8.74194,3.71402,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
29748,7.57599,8.38578,2.21308,NA,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29903,7.99789,7.38716,1.03241,NA,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30158,8.28229,6.56388,1.55549,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30301,7.81257,6.30212,0.762577,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30582,8.02387,6.5121,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
30764,8.14078,6.41874,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
30888,7.738,7.70934,2.12089,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31089,7.39886,9.21502,1.8897,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA
31276,7.04726,8.64707,1.2061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA,NA
31556,6.84361,8.9702,1.14306,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,NA,NA,NA,NA
31652,6.11019,8.89406,1.26558,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.089,NA,NA,NA,NA,NA,NA,NA,NA
31860,7.11953,8.07401,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA
32061,7.71728,7.82505,0.518407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA
32332,7.68345,8.30337,0.744877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135,NA,NA,NA,NA,NA,NA
32431,7.78567,7.83828,2.56661,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA
32711,8.74205,8.75819,3.67471,NA,NA,NA,NA,NA,NA,NA,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA
32890,8.99791,7.96433,4.34801,NA,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33156,8.71477,8.605,4.61479,NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33361,9.5391,8.38753,6.55218,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
33481,10.5,8.49407,7.33829,NA,NA,NA,NA,NA,NA,NA,NA,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA
33633,10.0817,8.33829,7.44646,NA,NA,NA,NA,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
33922,9.03379,8.01817,6.42535,NA,NA,NA,NA,NA,NA,NA,NA,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA
34110,8.4188,7.80688,4.83308,NA,NA,NA,NA,NA,NA,NA,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA
34334,8.07915,8.24598,4.08889,NA,NA,NA,NA,NA,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34587,7.97622,9.31944,4.92664,NA,NA,NA,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34621,7.38052,8.07662,5.67169,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34968,7.43513,7.83095,5.4695,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA
35068,7.6361,7.66304,6.52317,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35204,6.18626,8.66861,7.49529,NA,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35543,7.4958,8.28282,7.3734,NA,NA,NA,NA,NA,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35604,7.27001,8.85214,7.84333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA
35882,7.62067,9.20809,7.69231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197,NA,NA,NA,NA,NA,NA
36074,7.93745,7.84618,7.71965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,NA,NA,NA,NA,NA,NA
36373,8.52708,9.11276,7.28721,NA,NA,NA,NA,NA,NA,NA,NA,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
36535,8.26254,6.4306,6.3891,NA,NA,NA,NA,NA,NA,NA,NA,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA
36779,6.59558,7.65432,7.70189,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36983,7.26158,8.28646,8.28342,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37013,7.43274,7.62915,7.21454,NA,NA,NA,NA,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37276,7.60042,7.31569,7.84348,NA,NA,NA,NA,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA
37590,7.97788,6.74732,7.00964,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
