id,x0,x1,x2,fitness-4.5,fitness-5,fitness-4,fitness-3,fitness-3.5,fitness-1.5,fitness-2.5,fitness-2
5417,-3.12245,4.56648,-5,NA,NA,-91.145,NA,NA,NA,NA,NA
5695,-1.59653,5,-5,NA,-76.371,NA,NA,NA,NA,NA,NA
5840,-2.23786,5,-5,NA,-76.806,NA,NA,NA,NA,NA,NA
6062,-1.27147,5,-4.53501,NA,-91.977,NA,NA,NA,NA,NA,NA
6256,-2.17574,4.46523,-5,NA,-59.138,NA,NA,NA,NA,NA,NA
6538,-3.13683,5,-4.38382,-113.776,NA,NA,NA,NA,NA,NA,NA
6673,-3.20824,5,-4.13333,-125.293,NA,NA,NA,NA,NA,NA,NA
6848,-3.39191,4.71656,-3.42653,NA,-162,NA,NA,NA,NA,NA,NA
7158,-3.08085,3.79551,-3.43848,NA,-129.138,NA,NA,NA,NA,NA,NA
7263,-1.72574,3.27663,-4.014,NA,NA,-96.534,NA,NA,NA,NA,NA
7581,-0.384939,3.84579,-5,NA,-168.35,NA,NA,NA,NA,NA,NA
7655,-1.92086,4.31255,-4.06965,NA,-71.152,NA,NA,NA,NA,NA,NA
7812,-1.80912,4.01335,-3.762,NA,-92.734,NA,NA,NA,NA,NA,NA
8159,-3.22234,3.66573,-5,NA,-88.495,NA,NA,NA,NA,NA,NA
8230,-2.64332,3.03761,-4.09657,NA,-103.599,NA,NA,NA,NA,NA,NA
8421,-2.13036,4.51517,-4.67027,NA,-57.105,NA,NA,NA,NA,NA,NA
8625,-2.34592,5,-5,NA,-76.061,NA,NA,NA,NA,NA,NA
8918,-2.72666,5,-5,NA,-94.523,NA,NA,NA,NA,NA,NA
9056,-1.64685,5,-4.54754,NA,NA,-93.233,NA,NA,NA,NA,NA
9380,-2.68027,5,-3.9842,NA,-110.481,NA,NA,NA,NA,NA,NA
9510,-1.53998,5,-3.77752,NA,NA,-123.823,NA,NA,NA,NA,NA
9728,-1.03032,5,-4.65282,-107,NA,NA,NA,NA,NA,NA,NA
9831,-1.5919,4.17249,-4.68764,NA,-45.155,NA,NA,NA,NA,NA,NA
10188,-2.07509,3.93798,-5,NA,-41.569,NA,NA,NA,NA,NA,NA
10358,-2.07137,4.53701,-5,NA,-56.664,NA,NA,NA,NA,NA,NA
10489,-1.97614,3.30247,-5,-31.556,NA,NA,NA,NA,NA,NA,NA
10664,-2.40151,3.14589,-3.65002,NA,-117.271,NA,NA,NA,NA,NA,NA
10983,-3.17734,5,-4.69252,NA,-116.68,NA,NA,NA,NA,NA,NA
11099,-2.62328,5,-5,NA,-87.335,NA,NA,NA,NA,NA,NA
11371,-2.62319,4.55906,-3.52875,NA,NA,NA,-172.21,NA,NA,NA,NA
11463,-2.19351,5,-3.75254,NA,NA,NA,-181.689,NA,NA,NA,NA
11751,-2.52115,5,-4.18598,NA,NA,NA,NA,-105.127,NA,NA,NA
11950,-2.75764,3.09367,-5,NA,NA,-94.83,NA,NA,NA,NA,NA
12086,-2.85937,3.91112,-4.99509,-67.506,NA,NA,NA,NA,NA,NA,NA
12316,-3.74392,2.60933,-3.90718,-177.348,NA,NA,NA,NA,NA,NA,NA
12570,-3.13614,4.1521,-5,-83.306,NA,NA,NA,NA,NA,NA,NA
12635,-2.86998,3.5996,-5,NA,NA,-74.314,NA,NA,NA,NA,NA
12866,-2.53861,3.95038,-5,NA,NA,NA,NA,-93.297,NA,NA,NA
13193,-2.21245,5,-5,NA,NA,NA,NA,-90.344,NA,NA,NA
13323,-3.44937,4.51474,-5,NA,NA,NA,NA,-124.467,NA,NA,NA
13478,-2.48078,3.51775,-4.11256,NA,-81.067,NA,NA,NA,NA,NA,NA
13603,-2.1372,4.15462,-3.72088,-88.534,NA,NA,NA,NA,NA,NA,NA
13994,-1.49681,4.926,-4.05863,NA,-97.912,NA,NA,NA,NA,NA,NA
14097,-2.19563,2.81852,-4.48927,NA,-93.779,NA,NA,NA,NA,NA,NA
14252,-1.83475,3.45808,-4.95692,-22.649,NA,NA,NA,NA,NA,NA,NA
14447,-0.305721,3.30939,-5,NA,-175.878,NA,NA,NA,NA,NA,NA
14719,-1.21211,3.44265,-4.80043,-37.567,NA,NA,NA,NA,NA,NA,NA
14889,-1.50685,2.89233,-4.92194,-94.522,NA,NA,NA,NA,NA,NA,NA
15036,-2.41676,4.95194,-5,NA,NA,-82.485,NA,NA,NA,NA,NA
15353,-1.70046,4.92151,-5,NA,-75.378,NA,NA,NA,NA,NA,NA
15474,-2.98903,4.48788,-4.92604,NA,-83.052,NA,NA,NA,NA,NA,NA
15620,-2.02366,5,-5,NA,-81.871,NA,NA,NA,NA,NA,NA
15886,-3.10292,4.0015,-4.68875,NA,-85.598,NA,NA,NA,NA,NA,NA
16053,-2.83826,4.5289,-5,NA,-80.898,NA,NA,NA,NA,NA,NA
16314,-2.37033,3.85764,-5,-39.416,NA,NA,NA,NA,NA,NA,NA
16459,-2.81947,3.83245,-5,-64.351,NA,NA,NA,NA,NA,NA,NA
16759,-1.11948,3.67593,-5,NA,NA,NA,NA,-125.73,NA,NA,NA
16920,-2.45707,2.84923,-4.50431,NA,NA,NA,-163.091,NA,NA,NA,NA
17165,-1.74305,3.32161,-4.154,-53.9,NA,NA,NA,NA,NA,NA,NA
17396,-1.30267,3.94749,-3.01875,NA,-180.037,NA,NA,NA,NA,NA,NA
17565,-2.03917,5,-4.17587,-95.417,NA,NA,NA,NA,NA,NA,NA
17784,-3.17773,5,-4.70443,NA,-111.818,NA,NA,NA,NA,NA,NA
17899,-1.63975,5,-4.10415,-91.201,NA,NA,NA,NA,NA,NA,NA
18198,-1.0714,4.16872,-5,NA,-52.17,NA,NA,NA,NA,NA,NA
18289,-1.27246,3.96575,-4.16735,NA,-86.817,NA,NA,NA,NA,NA,NA
18566,-1.11012,4.34129,-4.30162,-58.631,NA,NA,NA,NA,NA,NA,NA
18652,-2.01058,5,-5,NA,-79.411,NA,NA,NA,NA,NA,NA
18965,-0.979055,4.55248,-5,NA,-94.913,NA,NA,NA,NA,NA,NA
19037,-2.2434,4.99647,-4.74359,NA,-76.671,NA,NA,NA,NA,NA,NA
19384,-1.88202,3.93069,-5,NA,-41.787,NA,NA,NA,NA,NA,NA
19521,-2.30037,3.77443,-5,NA,NA,-78.249,NA,NA,NA,NA,NA
19798,-2.72155,5,-4.94758,NA,NA,-98.036,NA,NA,NA,NA,NA
19941,-3.49491,5,-5,NA,NA,-131.386,NA,NA,NA,NA,NA
20191,-2.84052,4.57968,-5,NA,-81.136,NA,NA,NA,NA,NA,NA
20205,-3.55082,4.70234,-5,NA,-130.78,NA,NA,NA,NA,NA,NA
20503,-3.63461,4.05767,-5,NA,NA,-118.037,NA,NA,NA,NA,NA
20792,-3.31093,3.41899,-5,NA,-107.554,NA,NA,NA,NA,NA,NA
20987,-3.54474,2.80721,-5,-126.046,NA,NA,NA,NA,NA,NA,NA
21067,-2.72321,2.54014,-5,NA,NA,-133.122,NA,NA,NA,NA,NA
21241,-3.30838,4.7138,-5,NA,-104.835,NA,NA,NA,NA,NA,NA
21596,-2.29709,5,-4.77334,NA,-75.613,NA,NA,NA,NA,NA,NA
21624,-2.10664,5,-4.03578,NA,-95.262,NA,NA,NA,NA,NA,NA
21869,-2.26184,4.67263,-3.8947,NA,-100.743,NA,NA,NA,NA,NA,NA
22082,-2.92536,5,-3.04013,NA,-179.403,NA,NA,NA,NA,NA,NA
22348,-1.90536,5,-5,NA,-79.399,NA,NA,NA,NA,NA,NA
22592,-2.5815,5,-4.86049,NA,-91.529,NA,NA,NA,NA,NA,NA
22693,-2.57998,5,-4.37535,NA,-89.673,NA,NA,NA,NA,NA,NA
22975,-1.97719,5,-5,NA,-81.587,NA,NA,NA,NA,NA,NA
23154,-2.49105,5,-4.31987,NA,-92.012,NA,NA,NA,NA,NA,NA
23342,-3.4131,4.15939,-3.83939,NA,-128.866,NA,NA,NA,NA,NA,NA
23509,-5,3.50939,-4.48321,NA,NA,NA,NA,-281.723,NA,NA,NA
23765,-4.90239,4.21415,-3.56862,NA,NA,NA,NA,-295.158,NA,NA,NA
23973,-4.25452,5,-5,NA,NA,NA,NA,-203.903,NA,NA,NA
24062,-4.56207,3.54618,-4.41937,NA,-212.122,NA,NA,NA,NA,NA,NA
24293,-4.20553,4.13604,-3.16793,NA,NA,NA,NA,-252.182,NA,NA,NA
24464,-3.97476,2.81588,-5,NA,NA,NA,NA,-173.994,NA,NA,NA
24767,-2.22875,3.08486,-5,NA,NA,-92.931,NA,NA,NA,NA,NA
24915,-1.52571,3.07866,-4.78364,NA,NA,NA,NA,-103.194,NA,NA,NA
25101,-1.2987,2.86006,-5,NA,-85.979,NA,NA,NA,NA,NA,NA
25380,-2.66562,3.06478,-5,-79.548,NA,NA,NA,NA,NA,NA,NA
25494,-2.76076,2.09022,-5,NA,-143.271,NA,NA,NA,NA,NA,NA
25675,-1.58309,3.49638,-3.57848,-121.875,NA,NA,NA,NA,NA,NA,NA
25989,-1.71959,3.01051,-3.05874,NA,NA,-178.801,NA,NA,NA,NA,NA
26093,-0.230589,4.54817,-3.35403,NA,NA,-274.166,NA,NA,NA,NA,NA
26298,0.272902,3.92293,-4.19597,NA,-236.565,NA,NA,NA,NA,NA,NA
26566,-1.29043,3.82306,-5,NA,-40.259,NA,NA,NA,NA,NA,NA
26676,-1.34464,5,-4.94435,-75.192,NA,NA,NA,NA,NA,NA,NA
26909,-3.36053,4.68117,-3.7879,NA,-132.856,NA,NA,NA,NA,NA,NA
27119,-3.592,3.77168,-5,NA,-120.133,NA,NA,NA,NA,NA,NA
27354,-3.50513,3.58682,-4.49794,NA,-113.922,NA,NA,NA,NA,NA,NA
27519,-3.98771,3.84998,-4.46627,NA,-153.706,NA,NA,NA,NA,NA,NA
27782,-3.31565,4.43053,-5,NA,-104.489,NA,NA,NA,NA,NA,NA
27871,-3.57792,4.91794,-3.84631,-155.727,NA,NA,NA,NA,NA,NA,NA
28101,-3.76871,5,-2.68971,NA,-266.382,NA,NA,NA,NA,NA,NA
28311,-3.1559,3.90812,-4.94968,NA,-83.751,NA,NA,NA,NA,NA,NA
28598,-1.24722,4.07132,-5,NA,-50.895,NA,NA,NA,NA,NA,NA
28700,-1.77919,4.14284,-5,NA,-36.024,NA,NA,NA,NA,NA,NA
28801,-1.57726,4.57973,-5,NA,-66.239,NA,NA,NA,NA,NA,NA
29172,-1.12952,5,-5,NA,-87.27,NA,NA,NA,NA,NA,NA
29279,-1.75613,5,-5,NA,-72.797,NA,NA,NA,NA,NA,NA
29455,-3.17752,5,-3.36177,NA,-163.824,NA,NA,NA,NA,NA,NA
29676,-3.17796,5,-4.46198,NA,-117.451,NA,NA,NA,NA,NA,NA
29842,-2.94803,4.17257,-5,NA,-72.298,NA,NA,NA,NA,NA,NA
30161,-3.53032,4.31081,-3.5919,NA,-147.434,NA,NA,NA,NA,NA,NA
30216,-3.30393,5,-3.89411,-135.152,NA,NA,NA,NA,NA,NA,NA
30409,-2.28442,4.52646,-4.1251,-78.171,NA,NA,NA,NA,NA,NA,NA
30726,-2.44417,4.62558,-4.56954,NA,NA,NA,NA,-85.2,NA,NA,NA
30879,-2.62781,3.20654,-4.17003,NA,NA,-100.817,NA,NA,NA,NA,NA
31021,-1.28855,3.35975,-4.82475,NA,NA,NA,NA,-129.074,NA,NA,NA
31210,-1.28773,4.36892,-4.63368,NA,NA,NA,NA,-99.185,NA,NA,NA
31513,-1.46655,3.55459,-4.53417,NA,-53.754,NA,NA,NA,NA,NA,NA
31647,-1.50375,4.0703,-4.76461,NA,-48.841,NA,NA,NA,NA,NA,NA
31975,-3.17514,3.77644,-4.99939,NA,-84.067,NA,NA,NA,NA,NA,NA
32134,-3.66392,4.39193,-5,NA,-125.343,NA,NA,NA,NA,NA,NA
32292,-2.35582,4.27543,-4.94429,NA,-46.159,NA,NA,NA,NA,NA,NA
32478,-2.45748,3.92872,-5,NA,-57.108,NA,NA,NA,NA,NA,NA
32604,-1.37684,4.9683,-4.98318,NA,-88.929,NA,NA,NA,NA,NA,NA
32802,-1.2046,4.91185,-4.4309,NA,-94.861,NA,NA,NA,NA,NA,NA
33147,-0.628419,5,-5,NA,-131.591,NA,NA,NA,NA,NA,NA
33277,-1.65792,3.95297,-4.63912,-29.204,NA,NA,NA,NA,NA,NA,NA
33509,-1.57434,5,-5,NA,-76.191,NA,NA,NA,NA,NA,NA
33631,-0.771435,5,-5,NA,NA,-111.369,NA,NA,NA,NA,NA
33918,-1.32406,5,-5,NA,-86.865,NA,NA,NA,NA,NA,NA
34163,-1.16653,5,-5,NA,NA,-101.73,NA,NA,NA,NA,NA
34336,-2.82104,5,-5,NA,NA,NA,NA,-103.063,NA,NA,NA
34440,-2.68058,4.96376,-5,NA,NA,NA,-138.684,NA,NA,NA,NA
34768,-3.35414,5,-5,NA,NA,NA,NA,-136.747,NA,NA,NA
34954,-4.63051,5,-5,NA,NA,NA,-282.824,NA,NA,NA,NA
35085,-4.56826,4.38672,-5,NA,NA,NA,-261.979,NA,NA,NA,NA
35304,-5,2.76202,-4.84544,NA,NA,NA,-306.592,NA,NA,NA,NA
35490,-4.35186,3.44989,-4.92472,NA,NA,-182.688,NA,NA,NA,NA,NA
35644,-3.93922,3.89126,-4.19628,NA,NA,-148.736,NA,NA,NA,NA,NA
35807,-2.9765,3.85876,-5,NA,NA,NA,-111.537,NA,NA,NA,NA
36183,-2.45806,3.754,-5,NA,-61.401,NA,NA,NA,NA,NA,NA
36337,-3.64641,3.73308,-4.22392,NA,-122.033,NA,NA,NA,NA,NA,NA
36423,-2.47522,3.69948,-4.64392,NA,-62.379,NA,NA,NA,NA,NA,NA
36785,-1.77774,4.4905,-4.15423,NA,-74.168,NA,NA,NA,NA,NA,NA
36912,-1.55848,3.65396,-4.68248,-6.89,NA,NA,NA,NA,NA,NA,NA
37001,-1.29574,4.91542,-5,NA,NA,-89.586,NA,NA,NA,NA,NA
37395,-2.96627,4.84609,-5,NA,NA,-95.744,NA,NA,NA,NA,NA
37422,-2.47473,5,-4.45243,NA,-89.326,NA,NA,NA,NA,NA,NA
37629,-3.44638,5,-5,NA,-132.116,NA,NA,NA,NA,NA,NA
37842,-2.47593,5,-5,NA,NA,NA,NA,-108.071,NA,NA,NA
38193,-1.99159,4.93658,-5,NA,NA,NA,NA,-94.968,NA,NA,NA
38224,-2.11508,5,-5,NA,NA,-91.643,NA,NA,NA,NA,NA
38588,-0.672748,4.35594,-5,-99.133,NA,NA,NA,NA,NA,NA,NA
38751,-0.137157,4.08662,-5,NA,-198.874,NA,NA,NA,NA,NA,NA
38919,-1.40895,3.28632,-5,NA,-81.108,NA,NA,NA,NA,NA,NA
39084,-0.454808,4.00926,-5,NA,NA,-171.414,NA,NA,NA,NA,NA
39253,-1.21631,4.02269,-4.68047,NA,NA,NA,-168.342,NA,NA,NA,NA
39570,-1.65249,4.29622,-3.81235,NA,NA,-71.499,NA,NA,NA,NA,NA
39652,-3.04359,3.86512,-4.63612,NA,NA,NA,NA,-106.612,NA,NA,NA
39900,-3.43318,4.58084,-5,NA,NA,-116.4,NA,NA,NA,NA,NA
40145,-3.41189,5,-5,NA,-130.225,NA,NA,NA,NA,NA,NA
40350,-3.21706,4.88544,-3.87945,NA,NA,NA,-165.564,NA,NA,NA,NA
40456,-3.18268,5,-3.75833,NA,NA,-148.114,NA,NA,NA,NA,NA
40645,-1.9877,4.98529,-4.3525,NA,NA,NA,-142.817,NA,NA,NA,NA
40895,-1.65849,5,-5,NA,NA,NA,-147.858,NA,NA,NA,NA
41157,-2.38076,4.92352,-4.84258,NA,NA,NA,NA,NA,NA,-169.918,NA
41311,-0.636626,5,-4.94864,NA,NA,NA,NA,-179.838,NA,NA,NA
41564,-0.78873,3.78563,-5,NA,NA,NA,NA,-89.591,NA,NA,NA
41725,-2.18511,4.54116,-5,-55.338,NA,NA,NA,NA,NA,NA,NA
41859,-2.27987,4.76587,-5,-68.802,NA,NA,NA,NA,NA,NA,NA
42045,-2.98707,4.97036,-4.28007,-106.461,NA,NA,NA,NA,NA,NA,NA
42316,-2.23784,4.73136,-5,NA,-74.326,NA,NA,NA,NA,NA,NA
42515,-3.11479,4.51968,-5,-87.603,NA,NA,NA,NA,NA,NA,NA
42738,-4.0356,4.55914,-4.29878,NA,-171.673,NA,NA,NA,NA,NA,NA
42812,-3.38576,4.45112,-5,-101.547,NA,NA,NA,NA,NA,NA,NA
43192,-2.78765,4.07539,-5,NA,-70.518,NA,NA,NA,NA,NA,NA
43255,-2.89889,4.66329,-5,NA,NA,NA,NA,-106.596,NA,NA,NA
43537,-3.27959,5,-4.60925,NA,NA,NA,-151.674,NA,NA,NA,NA
43657,-2.75439,4.86658,-3.23798,NA,NA,NA,NA,-180.171,NA,NA,NA
43831,-3.51181,5,-3.51331,NA,NA,-177.025,NA,NA,NA,NA,NA
44119,-2.84335,5,-4.55183,NA,NA,-97.147,NA,NA,NA,NA,NA
44216,-2.9383,4.73476,-4.17029,-105.088,NA,NA,NA,NA,NA,NA,NA
44441,-2.60168,4.65318,-3.47397,NA,-121.417,NA,NA,NA,NA,NA,NA
44751,-2.40149,5,-4.5331,NA,NA,-90.903,NA,NA,NA,NA,NA
44828,-3.4439,5,-5,NA,NA,-126.479,NA,NA,NA,NA,NA
45035,-3.35683,5,-5,-118.097,NA,NA,NA,NA,NA,NA,NA
45294,-3.08057,5,-4.92062,NA,-108.172,NA,NA,NA,NA,NA,NA
45553,-2.94956,4.67986,-5,NA,-93.769,NA,NA,NA,NA,NA,NA
45753,-2.21784,3.55336,-4.89484,NA,-51.784,NA,NA,NA,NA,NA,NA
45927,-1.60201,4.52947,-5,-53.598,NA,NA,NA,NA,NA,NA,NA
46143,-1.96597,5,-4.4021,NA,-76.962,NA,NA,NA,NA,NA,NA
46371,-2.1269,3.32432,-4.64237,NA,-66.118,NA,NA,NA,NA,NA,NA
46477,-3.5729,3.47553,-3.85129,-146.532,NA,NA,NA,NA,NA,NA,NA
46692,-2.95196,3.01306,-5,NA,-106.612,NA,NA,NA,NA,NA,NA
46876,-2.48802,3.17402,-3.83174,NA,-105.963,NA,NA,NA,NA,NA,NA
47132,-0.893805,4.00961,-5,NA,-81.604,NA,NA,NA,NA,NA,NA
47337,-1.41684,5,-5,NA,NA,NA,-140.58,NA,NA,NA,NA
47566,-1.57012,5,-5,-81.534,NA,NA,NA,NA,NA,NA,NA
47762,-1.22559,5,-3.43421,NA,-144.944,NA,NA,NA,NA,NA,NA
47925,-2.69134,4.01149,-2.98106,NA,-151.712,NA,NA,NA,NA,NA,NA
48177,-3.24473,4.17337,-3.3534,NA,-139.218,NA,NA,NA,NA,NA,NA
48399,-3.51263,5,-5,NA,-136.129,NA,NA,NA,NA,NA,NA
48416,-3.72426,5,-5,NA,NA,-149.328,NA,NA,NA,NA,NA
48726,-3.77839,5,-4.73021,NA,-159.496,NA,NA,NA,NA,NA,NA
48831,-3.36249,4.3783,-5,NA,-106.652,NA,NA,NA,NA,NA,NA
49049,-1.56002,3.30364,-5,NA,-54.253,NA,NA,NA,NA,NA,NA
49393,-2.53638,4.08448,-5,NA,-62.631,NA,NA,NA,NA,NA,NA
49404,-1.50917,5,-5,NA,-83.841,NA,NA,NA,NA,NA,NA
49742,-2.26063,5,-5,NA,-76.586,NA,NA,NA,NA,NA,NA
49880,-2.40618,5,-4.64329,-82.213,NA,NA,NA,NA,NA,NA,NA
50095,-3.24761,4.9319,-3.15728,-176.46,NA,NA,NA,NA,NA,NA,NA
50281,-2.20921,5,-4.91358,NA,-76.547,NA,NA,NA,NA,NA,NA
50583,-2.22686,5,-5,NA,-76.98,NA,NA,NA,NA,NA,NA
50669,-3.8357,4.29229,-5,-128.813,NA,NA,NA,NA,NA,NA,NA
50854,-2.14829,4.13925,-5,NA,NA,NA,NA,-77.405,NA,NA,NA
51055,-2.24845,3.87658,-5,NA,-59.436,NA,NA,NA,NA,NA,NA
51260,-1.04177,4.43079,-5,NA,-71.596,NA,NA,NA,NA,NA,NA
51450,-1.54339,4.05192,-4.09645,NA,-74.644,NA,NA,NA,NA,NA,NA
51659,-2.38896,3.90959,-4.14003,NA,-65.066,NA,NA,NA,NA,NA,NA
51962,-2.00343,4.56113,-3.42576,NA,-118.851,NA,NA,NA,NA,NA,NA
52142,-0.931734,4.64453,-4.14685,NA,-109.036,NA,NA,NA,NA,NA,NA
52328,-2.38248,4.16471,-4.81601,NA,NA,-55.42,NA,NA,NA,NA,NA
52579,-2.08957,4.26669,-5,NA,NA,-52.573,NA,NA,NA,NA,NA
52681,-1.48973,4.11257,-5,NA,-51.877,NA,NA,NA,NA,NA,NA
52835,-2.78808,3.29061,-5,NA,-80.545,NA,NA,NA,NA,NA,NA
53102,-1.30837,3.66393,-5,NA,-44.685,NA,NA,NA,NA,NA,NA
53212,-1.20065,4.46151,-4.74265,NA,-67.497,NA,NA,NA,NA,NA,NA
53471,-1.9519,4.52887,-4.80461,NA,-52.118,NA,NA,NA,NA,NA,NA
53673,-2.23613,5,-5,NA,-76.831,NA,NA,NA,NA,NA,NA
53897,-3.09903,5,-5,NA,-110.027,NA,NA,NA,NA,NA,NA
54190,-2.31035,4.41755,-5,-54.711,NA,NA,NA,NA,NA,NA,NA
54378,-1.07648,5,-4.78615,NA,-84.459,NA,NA,NA,NA,NA,NA
54419,-2.05587,4.05574,-5,NA,-44.383,NA,NA,NA,NA,NA,NA
54693,-3.12437,3.14565,-5,NA,-98.041,NA,NA,NA,NA,NA,NA
54801,-2.26515,2.74162,-4.03978,NA,-119.172,NA,NA,NA,NA,NA,NA
55100,-2.91254,3.25957,-3.98198,NA,NA,NA,NA,-128.609,NA,NA,NA
55350,-2.40958,3.48434,-3.87402,NA,NA,-94.927,NA,NA,NA,NA,NA
55588,-1.4892,5,-4.06727,NA,NA,-105.874,NA,NA,NA,NA,NA
55650,-1.90761,4.27396,-4.68966,NA,-53.379,NA,NA,NA,NA,NA,NA
55834,-0.830691,4.34261,-4.25438,NA,-81.462,NA,NA,NA,NA,NA,NA
56131,-1.70095,4.0839,-4.46868,NA,-57.442,NA,NA,NA,NA,NA,NA
56307,-3.35211,4.02318,-5,NA,-98.545,NA,NA,NA,NA,NA,NA
56430,-3.70578,2.78087,-5,-143.635,NA,NA,NA,NA,NA,NA,NA
56622,-4.61094,4.50717,-5,NA,-225.137,NA,NA,NA,NA,NA,NA
56959,-1.9894,4.50574,-4.75391,NA,-56.692,NA,NA,NA,NA,NA,NA
57045,-2.25963,5,-4.40363,NA,-89.448,NA,NA,NA,NA,NA,NA
57261,-2.08025,4.03838,-5,NA,-48.705,NA,NA,NA,NA,NA,NA
57587,-1.91912,3.14184,-4.863,NA,-65.457,NA,NA,NA,NA,NA,NA
57745,-2.25195,1.57748,-3.82734,NA,-190.212,NA,NA,NA,NA,NA,NA
57891,-3.84278,2.01661,-3.31027,-242.961,NA,NA,NA,NA,NA,NA,NA
58012,-4.06899,3.81884,-4.30475,NA,NA,NA,NA,-176.432,NA,NA,NA
58390,-1.86314,3.46815,-4.25344,NA,NA,-73.945,NA,NA,NA,NA,NA
58544,-2.09548,5,-5,NA,-78.062,NA,NA,NA,NA,NA,NA
58685,-2.83304,4.26716,-3.93852,NA,-92.54,NA,NA,NA,NA,NA,NA
58909,-1.93228,4.47787,-5,-51.24,NA,NA,NA,NA,NA,NA,NA
59188,-1.81914,3.36083,-5,-32.582,NA,NA,NA,NA,NA,NA,NA
59343,-2.44999,2.37838,-4.7559,NA,-117.938,NA,NA,NA,NA,NA,NA
59555,-4.62533,2.70585,-4.13172,NA,-250.722,NA,NA,NA,NA,NA,NA
59759,-3.32371,2.39956,-4.28084,NA,-139.368,NA,NA,NA,NA,NA,NA
59817,-2.30703,2.35971,-5,NA,-108.384,NA,NA,NA,NA,NA,NA
60087,-0.584302,3.78424,-5,NA,NA,NA,NA,-189.391,NA,NA,NA
60216,-2.50672,4.88973,-5,NA,NA,NA,NA,-98.772,NA,NA,NA
60467,-2.38081,5,-5,NA,NA,NA,NA,-115,NA,NA,NA
60664,-2.20009,3.67696,-5,NA,NA,-49.854,NA,NA,NA,NA,NA
60894,-1.98226,4.12274,-5,NA,NA,NA,NA,-74.192,NA,NA,NA
61049,-1.15382,5,-4.49419,NA,NA,-107.394,NA,NA,NA,NA,NA
61366,-1.38008,4.9055,-4.38925,NA,NA,NA,NA,-132.166,NA,NA,NA
61541,-1.30432,5,-3.64472,NA,-136.429,NA,NA,NA,NA,NA,NA
61776,-1.71642,4.99795,-4.84719,NA,-69.322,NA,NA,NA,NA,NA,NA
61837,-2.14912,5,-5,NA,-79.049,NA,NA,NA,NA,NA,NA
62084,-3.69606,4.44746,-5,NA,-130.481,NA,NA,NA,NA,NA,NA
62331,-2.78568,4.37056,-5,NA,-74.839,NA,NA,NA,NA,NA,NA
62531,-3.20159,4.90818,-5,NA,-109.532,NA,NA,NA,NA,NA,NA
62752,-3.89075,5,-4.91546,NA,-169.99,NA,NA,NA,NA,NA,NA
62995,-5,2.67725,-4.92921,-279.913,NA,NA,NA,NA,NA,NA,NA
63015,-5,2.63364,-4.81778,-282.608,NA,NA,NA,NA,NA,NA,NA
63265,-4.23117,4.21017,-4.34954,NA,NA,-178.706,NA,NA,NA,NA,NA
