id,x0,x1,x2,fitness-4,fitness-5,fitness-3.5,fitness-4.5,fitness-3,fitness-2,fitness-1.5,fitness-2.5,fitness-1
15254,-2.92944,3.5472,-4.67104,NA,-77.884,NA,NA,NA,NA,NA,NA,NA
15501,-3.98537,4.35791,-5,NA,-155.373,NA,NA,NA,NA,NA,NA,NA
15781,-2.69417,3.98389,-4.66414,NA,NA,NA,-63.431,NA,NA,NA,NA,NA
15923,-2.26832,2.85065,-3.17112,NA,-135.097,NA,NA,NA,NA,NA,NA,NA
16134,-3.09078,3.02284,-4.9635,NA,-103.414,NA,NA,NA,NA,NA,NA,NA
16343,-2.92351,4.47944,-4.50434,NA,-86.194,NA,NA,NA,NA,NA,NA,NA
16455,-2.77328,3.91012,-5,NA,-67.455,NA,NA,NA,NA,NA,NA,NA
16608,-2.38398,2.33023,-4.93635,NA,-114.175,NA,NA,NA,NA,NA,NA,NA
16882,-2.6771,1.67234,-4.83418,NA,NA,NA,-191.39,NA,NA,NA,NA,NA
17043,-3.35934,3.3131,-4.52207,NA,-106.651,NA,NA,NA,NA,NA,NA,NA
17213,-2.73703,3.66509,-4.61213,-76.658,NA,NA,NA,NA,NA,NA,NA,NA
17501,-2.16346,4.457,-4.4583,NA,NA,-85.919,NA,NA,NA,NA,NA,NA
17656,-2.36158,5,-3.7865,NA,NA,NA,-107.631,NA,NA,NA,NA,NA
17951,-2.13398,5,-4.01312,NA,NA,NA,-93.49,NA,NA,NA,NA,NA
18029,-2.61332,4.34014,-5,NA,-74.145,NA,NA,NA,NA,NA,NA,NA
18323,-1.52834,4.31547,-3.98416,NA,-85.84,NA,NA,NA,NA,NA,NA,NA
18542,-2.65479,4.81455,-3.70129,NA,-105.657,NA,NA,NA,NA,NA,NA,NA
18661,-1.19401,4.90922,-4.32098,NA,NA,NA,-102.769,NA,NA,NA,NA,NA
18884,-1.123,5,-3.77908,NA,-113.802,NA,NA,NA,NA,NA,NA,NA
19024,-0.976674,5,-5,NA,NA,-132.022,NA,NA,NA,NA,NA,NA
19238,-1.47986,5,-3.51789,NA,NA,NA,NA,-224.401,NA,NA,NA,NA
19522,-1.88357,5,-5,NA,NA,-113.778,NA,NA,NA,NA,NA,NA
19784,-1.84946,3.45135,-4.9965,NA,NA,NA,-24.955,NA,NA,NA,NA,NA
19821,-1.95292,4.14999,-5,NA,NA,NA,-33.955,NA,NA,NA,NA,NA
20103,-1.60272,3.18953,-5,NA,NA,NA,-48.164,NA,NA,NA,NA,NA
20343,-1.43488,3.94638,-5,NA,NA,NA,-26.973,NA,NA,NA,NA,NA
20579,-1.85733,4.29798,-5,NA,-51.498,NA,NA,NA,NA,NA,NA,NA
20602,-1.9242,3.71001,-5,NA,-38.916,NA,NA,NA,NA,NA,NA,NA
20869,-2.9718,3.34365,-5,NA,-74.781,NA,NA,NA,NA,NA,NA,NA
21186,-2.86478,3.14049,-4.45567,NA,-92.265,NA,NA,NA,NA,NA,NA,NA
21298,-2.04701,3.29855,-4.10678,NA,-72.989,NA,NA,NA,NA,NA,NA,NA
21590,-1.71902,4.0377,-5,NA,-44.369,NA,NA,NA,NA,NA,NA,NA
21695,-1.89622,3.09457,-5,NA,-66.556,NA,NA,NA,NA,NA,NA,NA
21999,-1.11562,5,-5,NA,-87.178,NA,NA,NA,NA,NA,NA,NA
22186,-2.67189,4.20742,-5,NA,-74.742,NA,NA,NA,NA,NA,NA,NA
22217,-1.92593,3.35245,-5,NA,NA,NA,-33.35,NA,NA,NA,NA,NA
22445,-1.14057,3.89367,-4.4059,NA,NA,NA,-62.371,NA,NA,NA,NA,NA
22758,-1.97187,4.68925,-5,NA,-54.262,NA,NA,NA,NA,NA,NA,NA
22925,-1.51753,3.45072,-5,NA,-53.555,NA,NA,NA,NA,NA,NA,NA
23075,-3.04726,4.16655,-5,NA,NA,NA,-81.084,NA,NA,NA,NA,NA
23244,-3.79847,5,-5,NA,NA,NA,-152.052,NA,NA,NA,NA,NA
23571,-3.81841,5,-4.24398,NA,NA,-191.303,NA,NA,NA,NA,NA,NA
23647,-2.67226,5,-3.47159,NA,NA,-158.524,NA,NA,NA,NA,NA,NA
23924,-3.7839,5,-3.63428,NA,NA,NA,-185.397,NA,NA,NA,NA,NA
24025,-5,4.92928,-5,NA,NA,-294.576,NA,NA,NA,NA,NA,NA
24351,-4.03142,5,-5,NA,NA,NA,-173.775,NA,NA,NA,NA,NA
24517,-3.1591,5,-4.88013,NA,NA,NA,-106.574,NA,NA,NA,NA,NA
24737,-2.5009,4.50587,-5,NA,-67.309,NA,NA,NA,NA,NA,NA,NA
24924,-1.3709,5,-5,NA,NA,NA,-79.955,NA,NA,NA,NA,NA
25163,-2.20979,5,-4.78811,NA,-76.95,NA,NA,NA,NA,NA,NA,NA
25276,-1.96749,4.46575,-3.96487,NA,NA,-102.979,NA,NA,NA,NA,NA,NA
25477,-2.06703,3.5039,-5,-35.107,NA,NA,NA,NA,NA,NA,NA,NA
25774,-0.857501,4.34186,-5,NA,-104.358,NA,NA,NA,NA,NA,NA,NA
25863,-0.467125,4.75944,-5,NA,-169.27,NA,NA,NA,NA,NA,NA,NA
26121,-2.13374,3.88131,-5,NA,-45.275,NA,NA,NA,NA,NA,NA,NA
26264,-3.20009,4.43629,-5,NA,-93.885,NA,NA,NA,NA,NA,NA,NA
26405,-3.08518,5,-4.31135,NA,-117.617,NA,NA,NA,NA,NA,NA,NA
26682,-2.99866,5,-4.493,NA,-109.944,NA,NA,NA,NA,NA,NA,NA
26867,-0.826572,4.80609,-5,NA,-91.074,NA,NA,NA,NA,NA,NA,NA
27001,-1.93019,3.33783,-5,NA,NA,NA,-28.083,NA,NA,NA,NA,NA
27265,-1.37149,4.29794,-4.49263,NA,NA,-66.145,NA,NA,NA,NA,NA,NA
27466,-2.1032,4.23449,-5,NA,NA,-81.634,NA,NA,NA,NA,NA,NA
27657,-2.76777,4.65503,-5,-84.416,NA,NA,NA,NA,NA,NA,NA,NA
27947,-2.33863,3.74613,-4.50938,NA,-53.245,NA,NA,NA,NA,NA,NA,NA
28002,-2.47331,4.76003,-5,NA,-75.366,NA,NA,NA,NA,NA,NA,NA
28245,-1.98968,4.27489,-5,NA,-62.849,NA,NA,NA,NA,NA,NA,NA
28560,-2.04654,4.95329,-4.95739,NA,NA,NA,-71.843,NA,NA,NA,NA,NA
28680,-2.27652,4.33681,-5,NA,NA,NA,-59.803,NA,NA,NA,NA,NA
28868,-2.55952,3.46335,-5,NA,NA,NA,-55.575,NA,NA,NA,NA,NA
29191,-2.36229,2.94277,-5,NA,-88.778,NA,NA,NA,NA,NA,NA,NA
29263,-2.86064,4.89364,-4.36332,NA,-98.485,NA,NA,NA,NA,NA,NA,NA
29407,-2.69216,5,-4.69572,NA,NA,NA,-85.599,NA,NA,NA,NA,NA
29688,-2.79988,5,-5,NA,-95.59,NA,NA,NA,NA,NA,NA,NA
29929,-2.74002,5,-4.58416,NA,NA,NA,-90.177,NA,NA,NA,NA,NA
30197,-2.61265,3.98115,-5,NA,NA,NA,-62.388,NA,NA,NA,NA,NA
30270,-1.56742,4.84001,-5,NA,NA,NA,-67.223,NA,NA,NA,NA,NA
30547,-2.09565,5,-5,NA,-77.7,NA,NA,NA,NA,NA,NA,NA
30666,-3.07371,4.15023,-5,NA,NA,NA,-80.497,NA,NA,NA,NA,NA
30913,-2.67915,4.12785,-4.90996,NA,-73.375,NA,NA,NA,NA,NA,NA,NA
31122,-2.18542,4.08047,-5,NA,-51.078,NA,NA,NA,NA,NA,NA,NA
31280,-2.20591,4.41758,-5,NA,-56.822,NA,NA,NA,NA,NA,NA,NA
31402,-1.05644,4.2527,-5,NA,NA,-66.587,NA,NA,NA,NA,NA,NA
31768,-1.42724,5,-5,NA,NA,-119.41,NA,NA,NA,NA,NA,NA
31949,-3.32901,5,-5,NA,NA,NA,NA,-145.026,NA,NA,NA,NA
32198,-2.42418,4.25012,-5,-60.652,NA,NA,NA,NA,NA,NA,NA,NA
32394,-1.20309,5,-5,NA,-89.684,NA,NA,NA,NA,NA,NA,NA
32442,-2.7721,5,-5,NA,-95.184,NA,NA,NA,NA,NA,NA,NA
32655,-2.2811,5,-4.88157,NA,-74.692,NA,NA,NA,NA,NA,NA,NA
32982,-2.09654,4.90943,-5,NA,NA,NA,-70.784,NA,NA,NA,NA,NA
33066,-1.81409,4.84492,-5,NA,-73.191,NA,NA,NA,NA,NA,NA,NA
33377,-1.62926,5,-5,NA,-74.324,NA,NA,NA,NA,NA,NA,NA
33458,-1.22718,5,-5,NA,-89.553,NA,NA,NA,NA,NA,NA,NA
33671,-2.71439,4.19939,-5,NA,NA,NA,-57.466,NA,NA,NA,NA,NA
33967,-3.57325,2.76556,-4.6632,NA,NA,-169.395,NA,NA,NA,NA,NA,NA
34004,-2.64882,4.26627,-4.73254,-90.797,NA,NA,NA,NA,NA,NA,NA,NA
34265,-2.58156,5,-5,NA,NA,NA,NA,-113.812,NA,NA,NA,NA
34574,-0.522772,5,-4.12492,NA,NA,NA,-153.381,NA,NA,NA,NA,NA
34674,-1.45693,5,-4.34725,NA,NA,NA,-99.833,NA,NA,NA,NA,NA
34919,-1.80198,4.207,-4.62618,-38.316,NA,NA,NA,NA,NA,NA,NA,NA
35038,-0.730613,3.55898,-5,NA,-120.878,NA,NA,NA,NA,NA,NA,NA
35263,-1.33439,2.85191,-5,NA,-79.018,NA,NA,NA,NA,NA,NA,NA
35566,-3.07411,3.24178,-5,NA,-90.303,NA,NA,NA,NA,NA,NA,NA
35785,-1.6347,2.9947,-5,NA,-99.984,NA,NA,NA,NA,NA,NA,NA
35885,-0.380784,4.33381,-3.75478,NA,-125.359,NA,NA,NA,NA,NA,NA,NA
36101,-0.429698,4.25053,-3.84524,NA,-102.132,NA,NA,NA,NA,NA,NA,NA
36271,-1.44927,4.09981,-5,NA,NA,-70.361,NA,NA,NA,NA,NA,NA
36411,-2.30612,5,-4.92558,NA,NA,NA,-75.103,NA,NA,NA,NA,NA
36673,-1.91736,2.82382,-4.25796,-118.894,NA,NA,NA,NA,NA,NA,NA,NA
36906,-1.38895,4.70278,-4.69098,NA,-58.848,NA,NA,NA,NA,NA,NA,NA
37106,-1.87511,4.97922,-4.41869,NA,-79.669,NA,NA,NA,NA,NA,NA,NA
37240,-2.71104,2.8993,-5,NA,NA,-93.023,NA,NA,NA,NA,NA,NA
37482,-1.48254,2.45529,-5,NA,NA,NA,-123.271,NA,NA,NA,NA,NA
37680,-1.17721,3.00456,-5,NA,-119.725,NA,NA,NA,NA,NA,NA,NA
37984,-0.966736,4.02688,-5,NA,-77.03,NA,NA,NA,NA,NA,NA,NA
38044,-2.98914,3.70121,-5,NA,-85.227,NA,NA,NA,NA,NA,NA,NA
38291,-2.46549,5,-5,NA,-83.566,NA,NA,NA,NA,NA,NA,NA
38491,-2.84695,5,-5,NA,-96.47,NA,NA,NA,NA,NA,NA,NA
38783,-2.42409,5,-5,NA,NA,NA,-79.154,NA,NA,NA,NA,NA
38885,-2.3767,3.71774,-4.87421,NA,-68.638,NA,NA,NA,NA,NA,NA,NA
39186,-2.75673,4.3197,-4.91913,-78.616,NA,NA,NA,NA,NA,NA,NA,NA
39398,-1.79696,3.32339,-5,NA,-46.063,NA,NA,NA,NA,NA,NA,NA
39497,-0.863288,4.12988,-4.81508,NA,-100.095,NA,NA,NA,NA,NA,NA,NA
39735,-1.25417,4.22128,-5,NA,-63.897,NA,NA,NA,NA,NA,NA,NA
39966,-1.85768,5,-3.77657,NA,NA,-135.929,NA,NA,NA,NA,NA,NA
40158,-1.59231,5,-4.6609,NA,NA,-95.472,NA,NA,NA,NA,NA,NA
40217,-2.82269,5,-5,NA,-92.225,NA,NA,NA,NA,NA,NA,NA
40480,-2.68068,5,-4.79058,NA,-90.577,NA,NA,NA,NA,NA,NA,NA
40627,-2.05592,3.9174,-4.61733,-41.259,NA,NA,NA,NA,NA,NA,NA,NA
40964,-1.7231,3.92426,-4.44656,NA,NA,NA,NA,-177.64,NA,NA,NA,NA
41183,-1.92045,3.32327,-4.57904,NA,NA,NA,NA,-151.475,NA,NA,NA,NA
41272,-1.44487,4.78771,-3.84119,-106.369,NA,NA,NA,NA,NA,NA,NA,NA
41443,-1.99437,4.25171,-4.30913,NA,-42.146,NA,NA,NA,NA,NA,NA,NA
41699,-1.43897,5,-3.82551,NA,-124.042,NA,NA,NA,NA,NA,NA,NA
41900,-2.61341,3.42817,-4.94913,NA,-84.29,NA,NA,NA,NA,NA,NA,NA
42020,-3.41168,3.49964,-3.81066,NA,NA,NA,-127.23,NA,NA,NA,NA,NA
42257,-2.73314,3.71152,-3.33387,-126.109,NA,NA,NA,NA,NA,NA,NA,NA
42404,-2.38204,3.74101,-4.21045,NA,-57.554,NA,NA,NA,NA,NA,NA,NA
42635,-2.68877,4.56111,-4.61168,NA,-76.099,NA,NA,NA,NA,NA,NA,NA
42883,-2.44964,5,-5,NA,-79.598,NA,NA,NA,NA,NA,NA,NA
43089,-3.11771,4.71332,-5,NA,NA,-117.632,NA,NA,NA,NA,NA,NA
43327,-2.63745,3.87279,-2.8245,NA,NA,NA,-185.526,NA,NA,NA,NA,NA
43480,-2.28455,2.72321,-5,NA,NA,-151.309,NA,NA,NA,NA,NA,NA
43738,-1.83749,2.37684,-4.81967,-162.657,NA,NA,NA,NA,NA,NA,NA,NA
43983,-2.15145,2.76354,-4.91371,NA,NA,NA,-98.398,NA,NA,NA,NA,NA
44166,-3.28695,3.68114,-5,NA,-91.27,NA,NA,NA,NA,NA,NA,NA
44237,-2.79885,3.47083,-5,NA,NA,NA,-71.113,NA,NA,NA,NA,NA
44418,-2.60221,2.66575,-5,NA,-110.156,NA,NA,NA,NA,NA,NA,NA
44616,-2.20839,2.87205,-4.59953,NA,-92.292,NA,NA,NA,NA,NA,NA,NA
44931,-3.05626,2.98364,-5,NA,-107.241,NA,NA,NA,NA,NA,NA,NA
45011,-1.43249,2.79602,-3.58539,NA,NA,NA,-182.574,NA,NA,NA,NA,NA
45213,-1.79884,3.01632,-4.72255,NA,-89.741,NA,NA,NA,NA,NA,NA,NA
45434,-1.98424,4.04938,-3.74814,NA,-90.877,NA,NA,NA,NA,NA,NA,NA
45703,-2.16514,5,-3.5254,NA,-121.319,NA,NA,NA,NA,NA,NA,NA
45840,-3.2893,5,-5,NA,-123.511,NA,NA,NA,NA,NA,NA,NA
46144,-4.69175,5,-5,NA,-255.495,NA,NA,NA,NA,NA,NA,NA
46345,-3.29429,4.88683,-4.35727,NA,NA,-140.226,NA,NA,NA,NA,NA,NA
46546,-3.17325,5,-3.51796,NA,NA,NA,NA,NA,NA,-352.416,NA,NA
46765,-3.6552,3.5593,-4.86342,NA,NA,NA,NA,-170.655,NA,NA,NA,NA
46906,-3.42738,4.45707,-4.93968,-108.548,NA,NA,NA,NA,NA,NA,NA,NA
47190,-3.49812,4.99549,-5,-135.713,NA,NA,NA,NA,NA,NA,NA,NA
47343,-2.44943,5,-5,-84.172,NA,NA,NA,NA,NA,NA,NA,NA
47542,-1.54896,5,-5,NA,-80.22,NA,NA,NA,NA,NA,NA,NA
47771,-0.868698,5,-4.01768,NA,-133.33,NA,NA,NA,NA,NA,NA,NA
47845,-1.72675,5,-5,NA,NA,NA,NA,-148.443,NA,NA,NA,NA
48087,-1.67321,5,-4.36677,-106.86,NA,NA,NA,NA,NA,NA,NA,NA
48261,-2.3007,5,-5,NA,NA,NA,-76.842,NA,NA,NA,NA,NA
48462,-0.891533,3.89371,-4.26155,NA,NA,NA,-89.972,NA,NA,NA,NA,NA
48608,-0.464625,5,-4.59687,NA,-143.787,NA,NA,NA,NA,NA,NA,NA
48932,-1.07349,4.85435,-5,NA,NA,-135.336,NA,NA,NA,NA,NA,NA
49055,-2.6539,5,-4.9837,NA,NA,NA,NA,-115.495,NA,NA,NA,NA
49390,-1.21973,4.00783,-5,NA,NA,-82.653,NA,NA,NA,NA,NA,NA
49593,-1.90874,3.61802,-4.55648,NA,-51.244,NA,NA,NA,NA,NA,NA,NA
49653,-2.18573,4.20723,-4.41098,-57.142,NA,NA,NA,NA,NA,NA,NA,NA
49886,-2.16004,3.71691,-4.00328,NA,-76.872,NA,NA,NA,NA,NA,NA,NA
50154,-3.79579,2.93294,-5,NA,-144.192,NA,NA,NA,NA,NA,NA,NA
50281,-2.54389,4.07333,-5,NA,-62.783,NA,NA,NA,NA,NA,NA,NA
50584,-2.49716,3.99796,-5,NA,-58.044,NA,NA,NA,NA,NA,NA,NA
50693,-4.07426,4.83793,-5,NA,-178.783,NA,NA,NA,NA,NA,NA,NA
50948,-2.40004,3.94531,-5,NA,-61.303,NA,NA,NA,NA,NA,NA,NA
51074,-3.20767,4.85589,-3.89206,NA,-129.144,NA,NA,NA,NA,NA,NA,NA
51270,-2.559,4.23727,-3.88431,NA,-97.178,NA,NA,NA,NA,NA,NA,NA
51518,-3.01435,4.57332,-5,NA,NA,NA,-81.316,NA,NA,NA,NA,NA
51668,-2.52881,5,-5,NA,NA,-97.692,NA,NA,NA,NA,NA,NA
51813,-2.27074,5,-4.54014,NA,-84.343,NA,NA,NA,NA,NA,NA,NA
52177,-2.13426,4.9586,-5,NA,-76.865,NA,NA,NA,NA,NA,NA,NA
52256,-2.09767,5,-4.46382,-88.435,NA,NA,NA,NA,NA,NA,NA,NA
52411,-2.05117,5,-4.66388,NA,-82.008,NA,NA,NA,NA,NA,NA,NA
52744,-3.38005,4.09931,-5,-99.485,NA,NA,NA,NA,NA,NA,NA,NA
52916,-2.50003,4.89535,-5,-79.76,NA,NA,NA,NA,NA,NA,NA,NA
53063,-2.24977,5,-5,-80.788,NA,NA,NA,NA,NA,NA,NA,NA
53246,-1.5693,5,-5,-83.025,NA,NA,NA,NA,NA,NA,NA,NA
53480,-1.39345,5,-5,NA,-92.426,NA,NA,NA,NA,NA,NA,NA
53638,-1.08138,5,-5,-109.291,NA,NA,NA,NA,NA,NA,NA,NA
53938,-2.86613,4.89485,-4.86514,-96.332,NA,NA,NA,NA,NA,NA,NA,NA
54147,-2.06516,5,-5,NA,-78.616,NA,NA,NA,NA,NA,NA,NA
54273,-2.84764,5,-4.76273,NA,-96.368,NA,NA,NA,NA,NA,NA,NA
54479,-1.30221,4.70113,-4.79118,NA,-58.538,NA,NA,NA,NA,NA,NA,NA
54776,-2.23571,5,-5,NA,-76.837,NA,NA,NA,NA,NA,NA,NA
54863,-1.71737,5,-5,NA,-72.18,NA,NA,NA,NA,NA,NA,NA
55162,-2.58521,5,-4.05363,NA,-102.899,NA,NA,NA,NA,NA,NA,NA
55312,-2.04035,5,-3.96781,NA,-100.371,NA,NA,NA,NA,NA,NA,NA
55435,-2.11683,4.24177,-3.42387,NA,-106.312,NA,NA,NA,NA,NA,NA,NA
55760,-2.84533,5,-4.32631,NA,-103.057,NA,NA,NA,NA,NA,NA,NA
55895,-1.44366,5,-3.74927,NA,-128.331,NA,NA,NA,NA,NA,NA,NA
56086,-1.98539,5,-4.60145,NA,-80.325,NA,NA,NA,NA,NA,NA,NA
56211,-1.58498,3.82142,-4.92898,NA,-48.797,NA,NA,NA,NA,NA,NA,NA
56414,-1.93697,4.05407,-4.69714,-40.422,NA,NA,NA,NA,NA,NA,NA,NA
56792,-1.35918,4.07177,-5,NA,NA,NA,-20.754,NA,NA,NA,NA,NA
56831,-2.17202,3.64834,-5,NA,-51.714,NA,NA,NA,NA,NA,NA,NA
57186,-0.596776,3.19912,-4.57537,NA,-162.636,NA,NA,NA,NA,NA,NA,NA
57371,-1.79538,4.16183,-3.48925,NA,NA,NA,-112.194,NA,NA,NA,NA,NA
57452,-2.45739,1.82081,-4.94799,NA,-178.309,NA,NA,NA,NA,NA,NA,NA
57633,-2.7477,3.01546,-4.3595,NA,NA,NA,-88.182,NA,NA,NA,NA,NA
57872,-1.41814,3.09156,-4.63344,NA,-78.423,NA,NA,NA,NA,NA,NA,NA
58073,-1.69144,3.88423,-5,NA,-52.948,NA,NA,NA,NA,NA,NA,NA
58247,-0.465516,4.64344,-5,NA,-168.478,NA,NA,NA,NA,NA,NA,NA
58524,-1.56373,4.9969,-5,NA,-78.862,NA,NA,NA,NA,NA,NA,NA
58778,-1.62854,5,-5,NA,-74.362,NA,NA,NA,NA,NA,NA,NA
58846,-3.22988,5,-4.95028,NA,-120.099,NA,NA,NA,NA,NA,NA,NA
59199,-3.21596,5,-5,NA,-116.788,NA,NA,NA,NA,NA,NA,NA
59317,-4.14812,4.06122,-5,NA,-164.197,NA,NA,NA,NA,NA,NA,NA
